propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
108607472,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/bf/dc/1349819563.webp,17,6,355000.0,flat,sale,90.0,True,3,1,Barrio Parque Lisboa - La Paz,Madrid,Alcorcón,Parque Lisboa - La Paz,es,Parque Lisboa - La Paz,40.3539316,-3.8164225,False,https://www.idealista.com/inmueble/108607472/,"Piso Muy MODERNO en el PARQUE LISBOA Con Vistas PANORÁMICAS Piso con REFORMA Total y Listo para entrar a VIVIR! 6º Planta Exterior ASCENSORES (2) Portero Físico Toldo Nuevo Acceso al Portal con Tarjeta Magnética Calefacción a Gas Natural Salón con Amplia Terraza Abierta Dormitorio Principal con Vestidor Suelos de Cerámica y Tarima Persianas Motorizadas Paredes Lisas Puertas Lacadas Tuberías y Electricidad cambiadas Actuales Ventanas con Aislamiento Acústico y Térmico Baño con Plato de Ducha Armarios Puerta Blindada de Seguridad, Nueva Silla elevadora para personas Minusválidas Posibilidad de que se quede, gran parte del Mobiliario La Vivienda no presenta Parking, pero tiene muy cerca Plazas de Garaje, tanto en Compra como en Alquiler El Parque Lisboa, es un Barrio bien conocido por su Buena Calidad de Vida! Está Rodeado de los Mejores Servicios: COLEGIOS, (Concertados, Públicos y Privados) CENTRO de SALUD (Ambulatorio y Emergencias de 24 hs) El HOSPITAL Central está a escasos 10 minutos El TRANSPORTE público es Variado y está a pocos Pasos. Tenemos la RENFE, los METROS L/10 y 12 Intercambiador a la Circular y a Madrid y luego el Metro del Parque Lisboa (L/12) El Ramal de Líneas de AUTOBUSES Abarca desde Líneas Urbanas e Inter-urbanas y a Madrid También tenemos cerca, Grandes Centros comerciales y de Ocio como ser, EL CORTE INGLES, X- MADRID Y TRES AGUAS El POLIDEPORTIVO está casi en frente, con Piscinas para Adultos y Niños, Gimnasio y Pistas Deportivas. Además de Extensas Zonas Arboladas, como ser el Parque de la Paz Está Rodeado de Parkings, de Supermercados, Restaurantes, Confiterías. etc MEJOR Ven a CONOCERLO!",False,good,False,True,3944.0,False,False,False,False,[],False,False,355000.0,€,flat,"Parque Lisboa - La Paz, Alcorcón",Piso,,,,,,,
108298513,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/a3/1c/1339941301.webp,15,,289000.0,chalet,sale,233.0,,3,2,Villa del Prado,Madrid,Villa del Prado,,es,,40.2851449,-4.356789,False,https://www.idealista.com/inmueble/108298513/,"Chalet independiente de 197 m² sobre parcela de 1.386 m² en la urbanización del Encinar del Alberche. La vivienda consta de dos plantas completamente independientes. La planta principal dispone de salón con cocina americana, tres dormitorios, dos baños (uno en suite) y porche. En el semisótano encontramos zona completamente diáfana con tomas de agua, luz y sumidero, aparte cuenta con puerta motorizada. La parcela esta distribuida en zonas ajardinadas y zonas soladas donde encontramos amplio espacio de aparcamiento con hormigón impreso, pérgola, piscina de cloración salina, ducha, cuarto de depuradora y zona de recreo infantil. La vivienda dispone de armarios empotrados en todas las habitaciones, carpintería interior de madera, aire acondicionado con bomba de calor, portero automático, ventanas oscilobatientes de pvc con rotura térmica, canalones, persiana y termo eléctrico. La casa está en la urbanización del Encinar del Alberche. Se trata de una urbanización privada con seguridad propia, supermercado, zonas deportivas (piscina, pista fútbol, baloncesto, tenis, etc. ), restaurantes, entorno en plena naturaleza. Hay tres líneas de autobuses que pasan cada 20minutos hacia Príncipe Pio.",False,good,False,,1240.0,False,False,False,False,[],False,False,289000.0,€,chalet,Villa del Prado,Casa independiente,EN2025RE,299000.0,10000.0,3.0,True,True,independantHouse
108401149,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/8f/fc/a6/1343083790.webp,75,,445000.0,chalet,sale,325.0,,4,3,Morata de Tajuña,Madrid,Morata de Tajuña,,es,,40.2302212,-3.4383857,False,https://www.idealista.com/inmueble/108401149/,"Azzure les ofrece esta inmejorable y exclusiva oportunidad. Espectacular chalet de 325m construido sobre parcela de 957m. En su planta baja disponde de: vestibulo de entrada, un baño completo con plato de ducha, cuarto de caldera, bodega-salón, una habitación, cocina con comedor y salida al porche posterior y jardín, en la misma planta tambien encontramos un amplio garaje, y dos cuartos trasteros; en la planta superior dispone de un distribuidor, 3 dormitorios amplios, el principal con un gran armario empotrado, salón comedor con salida a una amplia terraza con inmejorables vistas, y un gran baño completo; en la buhardilla dispone de dos habitaciones, un aseo, y una sala acondicionada y con barra. En la planta baja disponde un gran porche cubierto de 55m, cocina cubierta, amplio cuarto de herramientas, piscina, y todo con unas increibles vistas y muchisima privacidad. Si busca una vivienda exclusiva aun paso de madrid no lo dude esta es sin lugar a dudas su nueva casa, visitela y compruebelo, hoy como siempre las mejores ofertas con el mejor servico las encontrará en azzure, simplemente compruebelo y sin cobrarle ni un 3 ni 4% al comprador como es practica habitual en el resto de empresas. ¡azzure! 27 años en velilla haciendo realidad el sueño de nuestros vecinos. ¿quiere cumplir el suyo? llamenos.",False,good,False,,1369.0,False,False,False,False,[],False,False,445000.0,€,chalet,Morata de Tajuña,Casa independiente,MORT-1309,,,,True,True,independantHouse
108455836,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/bd/d1/e3/1345430426.webp,9,6,250000.0,flat,sale,90.0,True,3,1,calle de Maqueda,Madrid,Madrid,Latina,es,Aluche,40.3915365,-3.7643945,False,https://www.idealista.com/inmueble/108455836/,"¡Oportunidad de inversión en Madrid! Se ofrece a la venta un piso de 90 m² ubicado en una finca con ascensor. La vivienda cuenta con: 3 dormitorios 1 baño completo Salón amplio y luminoso Cocina independiente Plaza de garaje incluida Lavadero plaza de (parking)  trastero Actualmente se encuentra alquilado, por lo que se vende con inquilino actual, con un contrato vigente hasta el 31 de marzo de 2026. El inquilino abona 700 € mensuales, lo que representa una excelente oportunidad para obtener rentabilidad inmediata desde el primer día. Ideal para inversores que buscan un activo con ingresos estables. Para más información pasar por la Oficina o concertar una visita, no dudes en contactar.",False,good,False,True,2778.0,False,False,False,False,[],False,False,250000.0,€,flat,"Aluche, Madrid",Piso en calle de Maqueda,,,,,True,True,
108466004,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/ae/9d/1349003676.webp,7,1,495000.0,flat,sale,84.0,True,2,2,CL VALDETORRES DE JARAMA,Madrid,Madrid,Hortaleza,es,Pinar del Rey,40.4717774,-3.6424852,False,https://www.idealista.com/inmueble/108466004/,"GLOBAL VADEAIN, S. L ofrece piso de 2 dormitorios a estrenar en zona Gran Vía de Hortaleza en urbanización cerrada. La vivienda cuenta con una distribución perfectamente diseñada para aprovechar espacios. Salón-comedor con cocina integrada y totalmente equipada, dos dormitorios con armarios empotrados y dos baños completos, uno de ellos en-suite. Excelentes calidades. La urbanización es cerrada y cuenta con jardines, piscina y zona de recreo. Se trata de uno de los edificios más emblemáticos y con mayor demanda de la zona. Posibilidad de plaza de garaje en venta o alquiler. La ubicación es inmejorable y, por ello, se ha convertido en una de las zonas más revalorizadas de la capital, ya que cuenta con muy fácil acceso a M-30, M-40 y M-11 y A-2, además de numerosas paradas de autobús y líneas 4 y 8 de metro, que conectan en muy pocos minutos con Nuevos Ministerios o el Aeropuerto.  La urbanización se encuentra rodeada de zonas verdes, numerosos comercios, colegios públicos y privados, supermercados y todo tipo de servicios. Justo enfrente se encuentra el centro comercial Gran Vía de Hortaleza y se encuentra muy próximo al Palacio de Hielo y El Corte Inglés. Centro de Salud a 1 minuto a pie y muy próximo a reconocidos hospitales públicos y privados. ¡No dejes pasar la oportunidad de vivir en un entorno atractivo y bien situado! ¡Oportunidad! Se trata de un proyecto de 5 viviendas con tipologías de 1, 2 y 3 dormitorios. Podrás elegir todos los materiales y crear un hogar a tu medida, siempre asesorado por nuestro equipo técnico. Inicio de obras: septiembre 2025 Entrega prevista: mayo de 2026 PRECIO FINAL. SOMOS PROPIETARIOS. *Personalización siempre siguiendo todos los criterios técnicos, legales y de normativa. Materiales según memoria de calidades entregada en oficina.",False,good,False,True,5893.0,False,False,False,False,[],False,False,495000.0,€,flat,"Pinar del Rey, Madrid",Piso en Cl Valdetorres De Jarama,EM/2515,,,,,,
108402752,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/c3/c4/1343266616.webp,8,5,725000.0,flat,sale,113.0,True,3,2,calle de Isabel la Católica,Madrid,Madrid,Centro,es,Palacio,40.4208827,-3.7102529,False,https://www.idealista.com/inmueble/108402752/,"Este magnífico piso reformado se encuentra en una quinta planta exterior, lo que garantiza una excelente luminosidad durante todo el día. Ubicado en pleno centro de Madrid, en el prestigioso barrio de Sol, es ideal para aquellos que buscan vivir en una de las zonas más emblemáticas y mejor conectadas de la ciudad. La vivienda cuenta con tres dormitorios amplios, cada uno equipado con camas de tamaño matrimonial, y dos baños de diseño, uno de ellos en suite, ofreciendo un confort adicional y privacidad. El espacioso salón-comedor es perfecto para disfrutar de momentos de descanso o reuniones, con una cocina completamente equipada con electrodomésticos modernos, como horno, microondas, lavavajillas y cafetera. Todo esto, en un inmueble que ha sido reformado y listo para entrar a vivir, lo convierte en una oportunidad única de inversión o para establecer tu residencia en uno de los puntos más deseados de la ciudad.",False,good,False,False,6416.0,False,False,False,False,[],False,False,725000.0,€,flat,"Palacio, Madrid",Piso en calle de Isabel la Católica,,,,,,,
108435989,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/69/01/1344806334.webp,19,3,290000.0,flat,sale,85.0,True,3,2,Parque Roma - Coronas,Madrid,San Fernando de Henares,Parque Roma - Coronas,es,,40.4191797,-3.526165,False,https://www.idealista.com/inmueble/108435989/,"¡UNYHOGAR VENDE PISO EN PARQUE HENARES CON GARAJE ACCESO DIRECTO! Descripción: 85m2, 3 dormitorios todos con toldo, 2w/c uno con bañera y otro con plato de ducha, preciosa cocina reformada con doble comunicación, Salón con terraza exterior cerrada con toldo, calefacción de gas natural, suelos de parquet, doble ventana de aluminio con mosquiteras, Ascensor y GARAJE DE ACCESO DIRECTO, ¡PRECIOSO, VEN A VERLO TE ENCANTARA! ¡GRAN OPORTUNIDAD! Cerca de todos los servicios, autobuses, colegios, supermercados, zonas verdes.. . Unyhogar Gestores Inmobiliarios, especialistas en San Fernando de Henares, desde 1998 trabajando en la zona, dedicados a la venta y tramitación de financiación, con los honorarios mas bajos del mercado, PROFESIONALIDAD y TRANSPARENCIA, 27 años nos avalan, CONFÍA en los de siempre. LOS HONORARIOS MAS BAJOS DEL MERCADO Estudio financiero gratuito Valoraciones gratuitas Financiación hasta el 100% con las mejores condiciones del mercado.",False,good,False,True,3412.0,False,False,False,False,[],False,False,290000.0,€,flat,"Parque Roma - Coronas, San Fernando de Henares",Piso,,,,,True,True,
108517494,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/bd/3f/1347271830.webp,16,8,243000.0,flat,sale,84.0,,3,1,avenida Olímpica,Madrid,Móstoles,El Soto - Coveta,es,,40.3247789,-3.8829756,False,https://www.idealista.com/inmueble/108517494/,"Acogedor piso en venta en la zona de El Soto - Móstoles, VIVIENDA con 3 dormitorios y 1 baño. Este luminoso y amplio piso de 75m2 cuenta con una cocina amueblada. Se encuentra en buen estado, listo para entrar a vivir, suelos de tarima, puertas de roble, calefacción individual con radiadores de aluminio,  ¡ COMPLETAMENTE REFORMADO! La ubicación es inmejorable, en una zona tranquila y bien comunicada, cerca de comercios, colegios y zonas verdes. Ideal para familias que buscan un hogar cómodo y funcional. No pierdas la oportunidad de adquirir esta vivienda y disfrutar de todas las comodidades que ofrece. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,True,2893.0,False,False,False,False,[],False,False,243000.0,€,flat,"El Soto - Coveta, Móstoles",Piso en avenida Olímpica,GRV8246,,,,,,
108313362,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/9a/9d/1340409007.webp,23,,175000.0,chalet,sale,100.0,,3,1,"calle Huelva, 121",Madrid,Villa del Prado,,es,,40.2642466,-4.3503826,True,https://www.idealista.com/inmueble/108313362/,"Encinar del Alberche se vende coqueto chalet, 3 dormitorios 2 salones cocina y baño, tambien tiene garage y un cuarto aparte y pequeña bodeguita, esta en proceso de escrituracion tardara 1 mes en hacerlo.",False,good,False,,1750.0,False,False,False,False,[],False,False,175000.0,€,chalet,Villa del Prado,"Casa independiente en calle Huelva, 121",,,,,True,True,independantHouse
108691946,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/6f/d0/1352287162.webp,3,1,1299000.0,flat,sale,135.0,True,2,2,calle de Castelló s/n,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4306256,-3.6810668,True,https://www.idealista.com/inmueble/108691946/,"¡Descubre esta exclusiva vivienda reformada en la prestigiosa calle Castelló, en pleno barrio de Salamanca! Este espectacular piso de 102 m² construidos destaca por su amplio salón-comedor luminoso, que cuenta con grandes ventanales que inundan de luz natural el espacio. La cocina abierta de diseño moderno, equipada con electrodomésticos integrados de primeras marcas, es perfecta para los amantes de la gastronomía.  La propiedad cuenta con dos dormitorios dobles, ambos con armarios empotrados, y uno de ellos con baño en suite. Además, dispone de dos baños completos con platos de ducha y acabados contemporáneos. La reforma integral ha sido realizada con materiales de alta gama, garantizando un ambiente elegante y acogedor.  El sistema de climatización por conductos asegura el confort durante todo el año, mientras que el sistema domótico permite controlar la iluminación, persianas y temperatura desde cualquier lugar. Las ventanas de alta eficiencia térmica y acústica contribuyen a un hogar tranquilo y eficiente.  Ubicada en una finca representativa con portero físico y ascensor, esta vivienda es ideal para quienes buscan calidad de vida en una zona rodeada de servicios: restaurantes, tiendas exclusivas, colegios y transporte público. A pocos minutos del emblemático parque del Retiro, esta es una oportunidad única para vivir o invertir en uno de los barrios más codiciados de Madrid. ¡No dejes pasar esta ocasión y ven a visitarla!",False,good,False,True,9622.0,False,False,False,False,[],False,False,1299000.0,€,flat,"Castellana, Madrid",Piso en calle de Castelló s/n,,,,,,,
