propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,newDevelopmentFinished
108651011,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/f3/07/1358692983.webp,85967364,50,5,3845000.0,flat,sale,267.0,True,3,4,paseo de la Castellana,Madrid,Madrid,Chamartín,es,El Viso,40.4371211,-3.6910728,False,https://www.idealista.com/inmueble/108651011/,"BARNES presenta una elegante y amplia residencia situada en la 5ª planta de uno de los desarrollos más exclusivos del centro de Madrid. Con aproximadamente 266 m² construidos, incluyendo 205 m² de superficie interior útil y una terraza privada, esta vivienda completamente exterior combina elegancia, funcionalidad moderna y sostenibilidad certificada en una de las zonas más consolidadas y deseadas de la capital. El corazón de la vivienda es un salón-comedor de planta abierta de 65 m² con cocina integrada, grandes ventanales y techos de más de 3 metros que permiten una luminosidad excepcional durante todo el día. La terraza ofrece un espacio exterior tranquilo, ideal para desayunos al sol o momentos de relajación al atardecer. La suite principal dispone de una espaciosa zona de descanso, vestidor y baño en suite. Dos dormitorios adicionales, igualmente luminosos, se acompañan de dos baños completos. Una zona de lavandería independiente, aseo de cortesía y pasillos de distribución aportan funcionalidad y privacidad al conjunto. Los residentes disfrutan de una gama completa de servicios premium: spa privado con salas de masaje y sauna, gimnasio totalmente equipado, garaje robotizado con carga para vehículos eléctricos, lounge gourmet, espacios de coworking y servicio de conserjería 24/7. El edificio cuenta con certificación BREEAM y calificación energética A, gracias a sistemas avanzados como suelo radiante y refrescante por aerotermia, paneles solares, aislamiento de alta eficiencia y renovación continua del aire. Esta propiedad ofrece una experiencia de vida excepcional y, al mismo tiempo, un activo sostenible y duradero. Resumen de Unidades Disponibles Todas las viviendas pueden ser personalizadas en distribución y acabados con el equipo de diseño UNI. Los precios no incluyen impuestos (IVA/ITP) y pueden variar según la planta. Tipo D – 2 Dormitorios | 124,95 m² | €1.425. 000 – €1.710. 000 Tipo C – 3 Dormitorios | 134,96 m² | €1.640. 000 – €2.240. 000 Tipo B – 3 Dormitorios | 266,59 m² | €3.225. 000 – €4.015. 000 Tipo A – 3 Dormitorios | 321,03 m² | €3.370. 000 – €5.190. 000 Planos detallados y dossier completo disponibles bajo solicitud. Estamos a su disposición para ampliar información o coordinar una visita privada cuando lo desee.",False,good,False,True,14401.0,True,False,False,False,[],False,False,3845000.0,€,True,True,flat,"El Viso, Madrid",Piso en paseo de la Castellana,,,,,
108565286,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/4d/c1/1348612542.webp,W-030EIO,40,,2950000.0,chalet,sale,885.0,,9,6,Barrio El Plantío,Madrid,Madrid,Moncloa,es,El Plantío,40.4718246,-3.8158553,False,https://www.idealista.com/inmueble/108565286/,"Chalet independiente en la Florida Engel & Völkers presenta esta impresionante propiedad ubicada en la exclusiva Urbanización La Florida, en plena naturaleza y a pocos minutos del centro de Madrid.  Exclusivo chalet unifamiliar de 885 m2 con excepcionales prestaciones, ubicado en una parcela de 2510 m2 con jardín consolidado y vegetación muy bien cuidada. Esta propiedad destaca por su amplitud, luminosidad y funcionalidad, ideal para una vida familiar de alto confort. Distribución por Plantas: Planta Principal (Planta Social):  •Gran salón principal con acceso directo al porche exterior y terraza cubierta con vistas al jardin.  •Comedor independiente. •Cocina con office y dos aseos de cortesía.   •Despacho o sala de estar adicional. •Porche exterior amplio y muy luminoso, ideal para reuniones sociales.  Planta Alta (Zona Nocturna): •Cuatro alas separadas de dormitorios para mayor privacidad, componen un total de nueve habitaciones y cuatro baños completos, algunos con terraza independiente. •Una de las alas cuenta con puerta blindada, proporcionando un espacio seguro y exclusivo. Encontramos dentro de esta sala una buhardilla amplia y luminosa, perfecta como zona de descanso, estudio o sala privada.  Planta Sótano: •Bodega privada con excelente conservación de temperatura. •Trastero de gran capacidad. •Vestuario y baño independiente para dar servicio a la zona de la piscina.  •Acceso directo al jardín. •Zona de servicio independiente.   • Zona de lavanderia.  Exteriores y Garajes: •Jardín con vegetación madura y mantenimiento exquisito. •Piscina privada rodeada de zonas verdes.  • Garaje con capacidad para cuatro vehículos. •Garaje exterior cubierto para dos coches adicionales. La Florida, es una de las urbanizaciones de más prestigio de la Comunidad de Madrid. De larga tradición, nació como zona vacacional para importantes familias del mundo social, económico-financiero, político y cultural de la sociedad española de la década de los cincuenta/sesenta. Con el crecimiento de la ciudad y el cambio generacional, se ha convertido en uno de los barrios residenciales de Madrid, con mayor calidad de vida, al formar parte de la zona verde de El Monte de El Pardo, y también por sus servicios de alto nivel. Como su máxima seguridad 24 horas mediante cámaras por toda la urbanización, garitas de control en puntos estratégicos de acceso, y rondas constantes con coches patrulla de seguridad privada. Además de selectas prestaciones de ocio como el nuevo Centro Comercial Sexta Avenida, tenemos una oferta deportiva amplia, cercano el club de tenis David Lloyd, el Club de Puerta de Hierro y el Club de Campo de Madrid. Todo ello a tan sólo unos minutos del centro de la ciudad, por sus excelentes comunicaciones: salidas 12 y 13 de la A-6, con acceso directo a M-40; servicio de autobús 163 de la EMT, con varias paradas dentro de la urbanización, directo al intercambiador de Moncloa, con enlace a toda la red de Metro de la capital.",False,good,False,,3333.0,True,False,True,False,[],False,False,2950000.0,€,True,True,chalet,"El Plantío, Madrid",Casa independiente,3350000.0,400000.0,12.0,independantHouse,
107433475,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3b/4f/ca/1312533414.webp,BFCA-V181,46,,620000.0,chalet,sale,180.0,,6,4,calle Gil de Siloe,Madrid,Torrejón de Ardoz,Sureste,es,,40.4615445,-3.4357799,False,https://www.idealista.com/inmueble/107433475/,"CONTACTAR CON EXTENSIÓN Nº4 SI CONTACTA POR TELÉFONO, MARCAR LA EXTENSIÓN Nº4 Se trata de un chalet ubicado en Torrejón de Ardoz, con una superficie construida de 180 metros cuadrados y una parcela de 200 metros cuadrados. Actualmente, el chalet se encuentra alquilado, lo que lo convierte en una excelente opción tanto como inversión como para uso residencial en el futuro. El chalet se encuentra en una de las mejores zonas de Torrejón de Ardoz.  A unos cuantos metros del hospital universitario de Torrejón, y a escasos minutos de la estación de tren de Soto del Henares.  Además, cuenta con facilidades a menos de 10 minutos como el Mercadona, hospital veterinario, club de pádel, variedad de bares y restaurantes. La vivienda está distribuida en tres plantas.  Distribución por plantas: Planta baja: Un aseo. Una habitación. Un salón amplio. Cocina independiente con zona de tendedero. Un segundo salón con chimenea, ideal para reuniones familiares o momentos de relax. Primera planta: Tres habitaciones: La habitación principal incluye un baño en suite y un vestidor. Dos baños en total. Segunda planta: Dos habitaciones. Un baño. Un salón con chimenea. Una terraza amplia Detalles adicionales: Calefacción: Por gas natural. Aire acondicionado: Instalado en los salones. Tejado: De estilo canadiense, instalado por la propiedad para aumentar el aislamiento térmico.  Cuenta con Garaje exterior y trastero ubicado en el jardín.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ) > Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",True,good,False,,3444.0,True,True,False,False,[],False,False,620000.0,€,True,True,chalet,"Sureste, Torrejón de Ardoz",Chalet adosado en calle Gil de Siloe,,,,terracedHouse,
108709817,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/5a/a7/1352818386.webp,4273,43,4,360000.0,flat,sale,30.0,False,1,1,calle de Hortaleza,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4229492,-3.7012431,False,https://www.idealista.com/inmueble/108709817/,"TORALIA CAPITAL EN EXCLUSIVA, Piso luminoso y silencioso en el corazón de Chueca – Calle Hortaleza Vivienda ubicada en un edificio histórico con encanto, que conserva en buen estado sus escaleras originales y cuenta con ascensor. A pesar de estar en una de las zonas más céntricas y vibrantes de Madrid, el piso destaca por su tranquilidad y luminosidad, ofreciendo un equilibrio perfecto entre vida urbana y confort. Ideal para quienes buscan vivir en el centro sin renunciar al descanso. El inmueble dispone de aire acondicionado con bomba de calor y cocina completamente equipada. Una oportunidad única de vivir en Chueca, disfrutando de la historia, el diseño y la comodidad en una de las calles más emblemáticas del barrio.",True,good,False,True,12000.0,True,False,True,False,[],False,False,360000.0,€,,,flat,"Chueca-Justicia, Madrid",Piso en calle de Hortaleza,365000.0,5000.0,1.0,,
108038150,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/9c/9f/1331951985.webp,MAD59128,43,,1725000.0,chalet,sale,388.0,,4,4,Encinar de los Reyes,Madrid,La Moraleja,Encinar de los Reyes,es,,40.5070626,-3.6428906,False,https://www.idealista.com/inmueble/108038150/,"Lucas Fox presenta esta casa adosada a reformar en venta en una urbanización en El Encinar de los Reyes en Madrid. El complejo residencial cuenta con seguridad 24 horas, piscina comunitaria, pistas de pádel, tenis, zona infantil, club social y amplias zonas ajardinadas. La vivienda de 388 m² se distribuye en dos plantas, más la buhardilla y la planta semisótano. En la planta principal, se dispone el recibidor de entrada, el salón-comedor con salida al jardín privado, una cocina de buen tamaño con luz natural y un aseo de cortesía. En la primera planta, encontramos la zona de noche con tres dormitorios. El dormitorio principal dispone de baño privado y acceso a una terraza privada. Los otros dos dormitorios comparten un baño completo. La buhardilla alberga un espacio diáfano con luz natural, apto para distintos usos (zona de estar, trabajo o juegos). Finalmente, la planta sótano ofrece una zona de lavandería, un dormitorio de servicio con baño y garaje con capacidad para tres vehículos. Póngase en contacto para más información.",True,renew,False,,4446.0,True,True,False,True,[],False,False,1725000.0,€,,,chalet,"Encinar de los Reyes, La Moraleja",Chalet,,,,,
103233972,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b9/2d/5f/1183515322.webp,,78,,3000000.0,chalet,sale,880.0,,6,8,calle Siguero,Madrid,Madrid,Fuencarral,es,Fuentelarreina,40.4793269,-3.74169,False,https://www.idealista.com/inmueble/103233972/,"1º Línea con el GOLF, VISTAS únicas, chalet independiente en parcela de 1.385m2, situado en una cota bien alta, en la urbanización de Puerta de Hierro - Fuentelarreyna. La vivienda es de estilo inglés, con las ventanas de ""cuadradillos"" y el tejado a dos aguas. La distribución es la siguiente: Planta 0:  Buen hall de entrada con doble altura de techos Despacho / Biblioteca, con chimenea Gran salón en dos grandes ambientes y salida al jardín Gran comedor Cocina con comedor de diario y salida al jardín.  Dormitorio de servicio con baño. Aseo de cortesía. Planta 1: Gran Dormitorio principal con una bonita terraza con VISTAS al GOLF y al PARDO, el dormitorio principal tiene 2 baños (ella/él). Sala de estar con chimenea 3 habitaciones para cama de matrimonio + mesa de estudio, cada una con su baño completo. Buhardilla: Sala, perfectamente acondicionada de unos 20m2. Planta -1: Garaje Baño completo Sala multiusos Trasteros  Cuarto de máquinas. DISPONEMOS DE UNA GRAN OFERTA DE PROPIEDADES EN EXCLUSIVA, QUE NO ESTÁN PUBLICADAS EN PORTALES INMOBILIARIOS. CONSULTE NUESTRA PÁGINA WEB ""JAIME VALCARCE"".",True,renew,False,,3409.0,False,False,False,True,[],False,False,3000000.0,€,True,True,chalet,"Fuentelarreina, Madrid",Casa independiente en calle Siguero,,,,independantHouse,
108915800,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/07/f6/1358830952.webp,,15,bj,429000.0,duplex,sale,74.0,True,1,2,plaza Bami,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4295096,-3.6540719,False,https://www.idealista.com/inmueble/108915800/,"Royal Home le ofrece en EXCLUSIVA esta magnífica vivienda ¡DUPLEX MUY LUMINOSA Y LISTA PARA ENTRAR A VIVIR! La vivienda se distribuye en gran hall de entrada con zona de estar, amplia cocina con zona de comedor, amplio dormitorio superior y dos cuartos de baño con plato de ducha uno de ellos en suite. El inmueble es de obra nueva y sin estrenar justo para entrar a vivir. Cuenta con puertas en madera macizas, suelos de parquet, paredes lisas, aire acondicionado por conducto con bomba de frio y calor, altos techos con altura de hasta 4 metros, ventanas con carpintería de PVC y con apertura de persiana mecanizada mediante mando a distancia. La finca queda muy bien situada, metro de El Carmen a dos minutos a pie, buena comunicación con transporte publico, rodeada de todo tipo de servicios como restaurantes, bares, bancos, farmacia, escuelas.. . ¡RESERVE SU VISITA! ¡MÁS DE 15 AÑOS NOS AVALAN EN EL SECTOR INMOBILIARIO!",False,good,False,True,5797.0,False,False,False,False,[],False,False,429000.0,€,,,flat,"Ventas, Madrid",Dúplex en plaza Bami,,,,duplex,
107405724,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/c7/28/1315391323.webp,W-02WF4Y,19,1,575000.0,flat,sale,71.0,True,1,1,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4241283,-3.7029261,False,https://www.idealista.com/inmueble/107405724/,"Exclusivo apartamento de 1 habitación en Tribunal Engel & Völkers tiene el placer de comercializar este magnífico apartamento de 1 habitación en el corazón de Madrid. Se encuentra situado en un lujoso edificio con piscina en su azotea. Cuenta con cocina abierta al salón y con una habitación independiente. Ambas estancias con amplios ventanales.  En el capítulo de climatización encontramos que cuenta con geotérmia para la calefacción y aerotermina para la refrigeración. El edificio en el que se emplaza cuenta con servicio de conserjería, 2 ascensores y amplias zonas sociales comunitarias que incluyen una piscina. El inmueble se encuentra en la Calle Fuencarral a la altura del metro Tribunal, zona icónica de la capital que se caracteriza por su vibrante actividad, sus tiendas de segunda mano, barberías y por contar con algunos de los bares y cafeterías más vanguardistas, en los que podremos disfrutar de un café bio cultivado en los lugares más recónditos del planeta, por poner un ejemplo.",True,good,False,True,8099.0,True,False,True,False,[],False,False,575000.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso,,,,,
107656611,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/6a/bd/1337160512.webp,brunete2,13,bj,227900.0,flat,sale,58.0,True,1,1,"Doctor Rodríguez de la Fuente, 23",Madrid,Brunete,,es,,40.4018248,-3.9950704,True,https://www.idealista.com/obra-nueva/107656611/,"¡Descubre tu nuevo hogar en el corazón de Brunete! Este exclusivo piso de obra nueva ofrece una oportunidad única para vivir en un entorno moderno y cómodo. Con 58 m² construidos, cuenta con un acogedor dormitorio con vestidor y un baño completo, ideal para disfrutar de la tranquilidad y la privacidad.  La propiedad destaca por sus altas calidades y su eficiente sistema de calefacción y refrigeración mediante geotermia, que garantiza un ambiente agradable durante todo el año. Además, el suelo radiante en toda la vivienda proporciona una sensación de confort inigualable.  Situado en una finca con ascensor, este bajo exterior orientado al sur y este te permitirá disfrutar de luz natural durante todo el día. La plaza de garaje incluida en el precio es un gran plus, facilitando aún más tu día a día.  Ubicado en el casco urbano de Brunete, tendrás acceso a todos los servicios necesarios para una vida cómoda y práctica. No dejes pasar esta oportunidad de vivir en un lugar donde la calidad y la comodidad se unen. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,,True,True,3929.0,True,False,False,False,[],False,False,227900.0,€,True,True,flat,Brunete,"Piso en Doctor Rodríguez de la Fuente, 23",,,,,False
106893297,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/78/ce/1072973576.webp,COOP-806@P6ATA,11,3,805699.0,penthouse,sale,219.0,True,3,2,"Higuera, 8",Madrid,Las Rozas de Madrid,El Cantizal,es,El Cantizal,40.5184168,-3.9275659,True,https://www.idealista.com/obra-nueva/106893297/,"OBRA INICIADA DESDE OCTUBRE DE 2024.  CASTILLA PLAZA 2018 S. COOP. 40 VIVIENDAS EN RÉGIMEN DE COOPERATIVA. Las Rozas, El Cantizal Viviendas de 2, 3 y 4 dormitorios con terrazas, áticos y bajos con jardín.  Consiste en un residencial privado con piscina, solárium, zona de juegos infantiles, pádel y un local destinado a distintos usos a definir por los futuros socios.  La promoción está situada en Las Rozas, concretamente en el Cantizal, al noreste de Madrid, aproximadamente a 25 km del Centro de la capital.  Ubicación de la parcela: Se encuentra en las inmediaciones del zoco Rozas de la avenida de Atenas y del colegio del Cantizal. En las confluencias de la calle Higuera y Wisteria. Es una zona muy consolidada gracias a su gran oferta educativa, comercial y de ocio que te permite tener todo a tu alcance sin renunciar a tu calidad de vida.  A pocos minutos, encontrarás numerosos centros educativos para todos los niveles como el colegio El Cantizal, Mario Vargas Llosa, la escuela bilingüe infantil Logos Nursery School y la Uned, entre otros. Con respecto a los servicios comerciales, cuenta con Las Rozas Village un espacio de más de 100 boutiques de los principales diseñadores del mundo. Además, podrás disfrutar de otros grandes centros comerciales como: The Style Outlets, Heron City, Europolis, BurgoCentro.  Las Rozas siempre ha estado ligada al deporte, muestra de ello son sus equipamientos deportivos como El Polideportivo Municipal o La Real Federación Española de Fútbol. También, tendrás próximo el Centro de Salud Monterrozas.  Dispondrás de muy buena comunicación, hay accesos con conexiones a la M40, M50, la A6 y la carretera del Escorial. Además, podrás optar por el trasporte público con la estación de cercanías de las Rozas, (Líneas C-7 y C-10), y los autobuses interurbanos, (Líneas C-7 y C-10) que completan la oferta de transporte. Es un proyecto en elaboración susceptible modificaciones durante este proceso de elaboración. Se pretende formar un colectivo de socios para desarrollar el proyecto contando con la profesionalidad del equipo de Prygesa perteneciente al Grupo Pryconsa, el más solvente del país y con más de 50 años de experiencia. Prygesa es experta en la gestión de cooperativas con presencia en Madrid, Guadalajara, Valencia, Málaga, Sevilla y Valladolid. Actualmente gestionamos más de 1500 viviendas. Es el momento de ser informado de manera preferente. ¡No pierdas la oportunidad de ser de los primeros en elegir!",False,newdevelopment,True,True,3679.0,True,False,False,False,[],False,False,805699.0,€,True,True,flat,"El Cantizal, Las Rozas de Madrid","Ático en Higuera, 8",,,,penthouse,False
