propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,exterior,neighborhood,hasLift,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108457513,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/8f/7d/1345479173.webp,,14,3,1589000.0,flat,sale,145.0,3,3,Barrio Huertas-Cortes,Madrid,Madrid,Centro,es,40.4138962,-3.6987508,False,https://www.idealista.com/inmueble/108457513/,"Descubra esta magnífica propiedad en el corazón de Madrid con luz natural y un diseño que combina la modernidad y lo clásico de 145m2 situada en la tercera planta cuenta con servicio de portería los siete días de la semana, garantizando tranquilidad y seguridad. Esta exclusiva vivienda de lujo destaca por su cuidada distribución y acabados de alta gama dispone de tres amplios dormitorios y tres baños completos, uno de ellos equipado con una relajante bañera de hidromasaje tipo jacuzzi, ideal para disfrutar de momentos de bienestar y confort. Las áreas comunes, el salón-comedor muy amplio y diáfano, con entono señorial por los acabados clásicos y modernos, dan un encanto especial y cómodo a este espacio de la casa, brindando comodidad y satisfacción a la hora de las comidas y cenas, la cocina totalmente equipada, hace un lugar especial al ser tan amplia, donde no sólo se disfruta del cocinar, sino del hacer desayunos largos y extensos, los fines de semana.  El diseño de la propiedad combina elegancia, funcionalidad y lujo en cada detalle, ofreciendo espacios luminosos y perfectamente distribuidos para garantizar el máximo confort tanto en el día a día como en ocasiones especiales. El inmueble se encuentra en uno de los enclaves más emblemáticos de la capital. Una oportunidad única para vivir con estilo, comodidad y prestigio en el corazón de Madrid. Estaremos encantados de atenderle y ofrecerle más información.",False,good,False,10959.0,False,False,False,False,[],False,False,1589000.0,€,flat,"Huertas-Cortes, Madrid",Piso,True,Huertas-Cortes,True,,,
108825972,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/a6/d7/1356246360.webp,00097,7,2,1110000.0,flat,sale,95.0,2,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,40.4281202,-3.6784564,False,https://www.idealista.com/inmueble/108825972/,"LARENA REAL ESTATE ofrece esta vivienda, actualmente en proceso de reforma, ubicada en el prestigioso barrio de Salamanca. Las fotos no se corresponden con el inmueble.  La vivienda consta de 95 m² construidos, distribuidos en 2 dormitorios dobles, 1 de ellos con baño en suite, un baño más que da servicio al segundo dormitorio y a los invitados y la zona social con la cocina, el salón y el comedor incorporados. Tiene mucha luz debido a sus tres ventanales orientando a la calle.  Se entrega totalmente reformado a estrenar.  Consta de calefacción individual y de aire acondicionado en todas las estancias.  CONTACTA Y LE PASAMOS MAS INFORMACIÓN!",False,good,False,11684.0,False,False,False,False,[],False,False,1110000.0,€,flat,"Goya, Madrid",Piso,True,Goya,True,,,
108506613,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/a0/a5/1346938761.webp,1993,39,2,240000.0,flat,sale,80.0,3,1,Cercedilla,Madrid,Cercedilla,,es,40.7418702,-4.0566206,False,https://www.idealista.com/inmueble/108506613/,"Precioso piso amplio en urbanización cerrada con piscinas, tenis, parques infantiles, y paseos rodeados de naturaleza. La vivienda esta lista para ser ocupada y pasar el verano sin el agobiante calor de Madrid, cuenta con tres dormitorios con armarios empotrados, baño completo, cocina independiente con terraza cubierta, salón comedor con chimenea y calefacción de gas natural. Orientación sureste. No te quedes con dudas y ven a visitarlo!",False,good,False,3000.0,False,False,False,False,[],False,False,240000.0,€,flat,Cercedilla,Piso,True,,False,,,
108799368,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/d7/83/1355487574.webp,2008,2,bj,650000.0,flat,sale,130.0,3,2,Barrio Buena Vista,Madrid,Madrid,Carabanchel,es,40.3709771,-3.7501382,False,https://www.idealista.com/inmueble/108799368/,"¡Bajo con espectacular terraza! Auténtico piso reformado recientemente, espacio exterior. Distribución: - 3 dormitorios amplios - 2 baños completos, uno de ellos en suite. - Cocina independiente con salida directa a una terraza - Salón-comedor amplio y luminoso con acceso directo a una terrazas - Plaza de garaje incluida en el precio Urbanización moderna con ascensor y piscina. Excelente comunicación: Metro Línea 11, y varias líneas de autobús, M-40 y A-42. Rodeado de supermercados, colegios, parques e instalaciones deportivas. Por motivos de confidencialidad se mostrarán fotos por privado. Contáctanos sin compromiso!",False,good,False,5000.0,False,False,False,False,[],False,False,650000.0,€,flat,"Buena Vista, Madrid",Piso,True,Buena Vista,True,,True,True
96989595,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/a6/71/962383997.webp,,1,4,113500.0,flat,sale,65.0,3,1,Rio Torote s/n,Madrid,Torrejón de Ardoz,Sureste,es,40.4516695,-3.4688045,True,https://www.idealista.com/inmueble/96989595/,Se vende piso en 4º planta de 65m² Se vende okupado 3 dormitorios y 1 baño. Buen acceso y cerca de tren y servicios. Sin comisiones de intermediación Estudiamos su financiación.,False,renew,False,1746.0,False,False,False,False,[],False,False,113500.0,€,flat,"Sureste, Torrejón de Ardoz",Piso en Rio Torote s/n,True,,False,,,
108594264,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/cf/2d/1349477175.webp,03429,11,bj,156500.0,flat,sale,72.0,2,1,Coslada Pueblo,Madrid,Coslada,Coslada Pueblo,es,40.4220816,-3.5658219,False,https://www.idealista.com/inmueble/108594264/,"ALQUILADO, OPORTUNIDAD DE INVERSION. ACTUALMENTE, NO ES POSIBLE REALIZAR VISITAS AL INTERIOR DE LA VIVIENDA. LAS FOTOGRAFIAS PUEDEN NO REFLEJAR EL ESTADO ACTUAL DE LA PROPIEDAD. FECHA DE FIN DE CONTRATO: 05/2029. Es importante tener en cuenta que esta propiedad se transfiere ""como cuerpo cierto"" y en su estado actual, sin garantías de ningún tipo.  Biba Home presenta este piso en Coslada, ubicado en la zona de Coslada Pueblo, a pocos minutos a pie de la estación de Metro y Cercanías Coslada Central. La vivienda se encuentra en planta baja y cuenta con una superficie construida de 72 m², distribuidos en: 2 dormitorios, Salón-comedor luminoso con salida a una terraza de 6 m², cocina independiente con acceso a un patio privativo de 9 m², ideal para disfrutar del aire libre o como espacio adicional. Una excelente oportunidad tanto para vivir como para invertir en una zona consolidada y bien comunicada. � Llámanos y consulta condiciones sin compromiso. SIN COMISIÓN DE AGENCIA.",False,good,False,2174.0,False,False,False,False,[],False,False,156500.0,€,flat,"Coslada Pueblo, Coslada",Piso,True,,False,,,
107567767,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/ea/82/1316418525.webp,17609,1,7,2000000.0,flat,sale,280.0,10,10,via Gran,Madrid,Madrid,Centro,es,40.4218863,-3.7094258,False,https://www.idealista.com/inmueble/107567767/,"Oportunidad de inversión en el centro de Madrid, ubicación estratégica.  Para más información contacta con nosotros.",False,good,False,7143.0,False,False,False,False,[],False,False,2000000.0,€,flat,"Malasaña-Universidad, Madrid",Piso en via Gran,True,Malasaña-Universidad,True,,,
108169609,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/05/d2/812966042.webp,,5,bj,79900.0,flat,sale,65.0,1,1,Centro,Madrid,Móstoles,Centro,es,40.3232265,-3.8657558,False,https://www.idealista.com/inmueble/108169609/,"¡Oportunidad única para inversores! Venta Rápida de Inmuebles ofrece este espectacular vivienda reformada recientemente.  Se encuentra a pie de calle, en una ubicación privilegiada y bien comunicada con transporte público, incluyendo metro, Renfe y autobús.  Con 65 m² construidos y 60 m² útiles, este apartamento exterior ofrece un ambiente moderno y acogedor, ideal para quienes buscan comodidad y estilo. El interior destaca por sus nuevas calidades, con paredes en liso y un suelo porcelánico que imita a la tarima, creando un espacio elegante y fácil de mantener. El aire acondicionado garantiza un clima agradable durante todo el año, mientras que los armarios empotrados ofrecen un amplio espacio de almacenamiento.  El dormitorio cuenta con un baño incorporado que incluye un plato de ducha con mampara y extractor, brindando funcionalidad y confort. La cocina está totalmente equipada con electrodomésticos nuevos.  **La vivienda NO se puede visitar, compra con subrogación al contrato de alquiler** No dejes pasar esta oportunidad. ¡Contáctanos para mas información gran oportunidad de inversión en el corazón de la ciudad!",False,good,False,1229.0,False,False,False,False,[],False,False,79900.0,€,flat,"Centro, Móstoles",Piso,True,,False,,,
107583177,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/83/16/f0/1316852224.webp,AP063,12,1,199900.0,flat,sale,88.0,3,1,Barrio Villaverde Alto,Madrid,Madrid,Villaverde,es,40.3460544,-3.7070176,False,https://www.idealista.com/inmueble/107583177/,"LA LUPA SAN FERMIN GESTION INMOBILIARIA PONE A LA VENTA: Vivienda ubicada en Madrid en el barrio de Villaverde Alto a escasos minutos de la estación de RENFE ( estación Puente De Alcocer) y varias líneas de autobuses ( 22, 1) y conexiones con M30-m40. DESCRIPCION DE LA VIVIENDA: Piso Primera Planta de 88 m2 según catastro, entrada con pasillo distribuidor, salón independiente, 3 dormitorios de las cuales 1 es doble con armario empotrado y 2 dormitorios simples, cocina amueblada y equipada, cuarto de baño con plato de ducha. ENTORNO DE LA VIVIENDA: La ubicación de la finca es privilegiada con excelentes vías de comunicación tanto en transportes públicos y accesos a carreteras a escasos minutos de la misma, cercano a todo tipo de comercios y centros de primeras necesidades publicas. Una zona tranquila y familiar, ideal para vivir con mucha comodidad y tranquilidad. No dudes en contactarnos para mayor información sin ningún compromiso.",False,renew,False,2272.0,False,False,False,False,[],False,False,199900.0,€,flat,"Villaverde Alto, Madrid",Piso,True,Villaverde Alto,False,,,
108776783,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/8c/9d/1354849415.webp,,4,4,565000.0,flat,sale,70.0,2,1,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,40.429175,-3.7045112,False,https://www.idealista.com/inmueble/108776783/,"Exclusiva vivienda reformada en pleno corazón de Malasaña. Descubre esta magnífica oportunidad en una de las zonas con más carácter y demanda de Madrid. Se vende espectacular piso exterior de 70 m², ubicado en una cuarta planta sin ascensor, en el emblemático barrio de Malasaña, a escasos pasos de la Gran Vía y rodeado de cultura, gastronomía y vida urbana. La vivienda ha sido íntegramente reformada en 2024, combinando diseño contemporáneo con detalles funcionales y acabados de calidad. Cuenta con una cocina independiente totalmente equipada, perfecta para los amantes de la cocina, dos amplios dormitorios, un baño completo con ducha moderna, y un acogedor salón que se abre a la luz natural gracias a sus grandes ventanales. Muy luminosa y con vistas despejadas, la orientación y altura del piso garantizan luz natural durante todo el día y una sensación de amplitud y tranquilidad, algo poco habitual en pleno centro de la ciudad. Incluye además un trastero de 6 m² ubicado en el propio edificio, ideal para almacenamiento adicional. Situado en el corazón de Malasaña, una zona conocida por su ambiente bohemio, su excelente oferta gastronómica, cultural y de ocio. A pocos pasos de la Plaza del Dos de Mayo, Glorieta de Bilbao, Gran Vía, Tribunal, Chueca y Callao, con excelente comunicación por transporte público (varias líneas de metro y autobuses cercanas). Todo tipo de servicios a pie de calle: supermercados, colegios, centros culturales y zonas verdes. Una propiedad ideal tanto para vivir como para invertir, con una alta rentabilidad potencial en una de las zonas más cotizadas y con mayor proyección de Madrid.",False,good,False,8071.0,False,False,False,False,[],False,False,565000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,True,Malasaña-Universidad,False,,,
