propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,newDevelopmentFinished,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108441502,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c1/f1/ea/1344972111.webp,AAA000209202,32,3,1100000.0,flat,sale,161.0,True,3,3,paseo de la Castellana,Madrid,Madrid,Fuencarral,es,La Paz,40.4742795,-3.6862974,False,https://www.idealista.com/inmueble/108441502/,"Exclusiva vivienda reformada en Paseo de la Castellana Ubicada en una tercera planta de un edificio representativo en el Paseo de la Castellana, esta espectacular vivienda de 160 m² ha sido completamente reformada con materiales de primerísima calidad y diseñada para ofrecer el máximo confort. Destaca su impresionante salón-comedor con cocina integrada, un espacio abierto de 60 m² con tres grandes ventanales que inundan la estancia de luz natural y ofrecen vistas directas al Paseo de la Castellana. La cocina cuenta con una elegante y funcional encimera de cuarzo Perla Venata, que aporta sofisticación y resistencia. La distribución incluye tres amplios dormitorios, todos con armarios empotrados completamente vestidos, y tres baños completos, pensados al detalle para combinar diseño y funcionalidad. Las ventanas son de PVC con cristales térmicos y persianas motorizadas, garantizando un excelente aislamiento térmico y acústico. Además, la vivienda dispone de una plaza de garaje, un valor añadido en esta zona. Situada a pocos pasos de las Cuatro Torres y del intercambiador de Plaza de Castilla, la ubicación ofrece todos los servicios y comodidades a su alrededor: transporte público, comercios, colegios y zonas verdes. Una vivienda única, lista para entrar a vivir, en una de las arterias más exclusivas y bien conectadas de Madrid.",False,good,False,True,6832.0,True,False,False,False,[],False,False,1100000.0,€,True,True,flat,"La Paz, Madrid",Piso en paseo de la Castellana,Top,,,,,,
107333453,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/4d/5f/1310976226.webp,ef2849fb-4c0d-4415-8df5-5a5be4497550,52,4,279900.0,flat,sale,82.0,True,3,1,calle de Puentelarra,Madrid,Madrid,Villa de Vallecas,es,Santa Eugenia,40.3812851,-3.6105673,False,https://www.idealista.com/inmueble/107333453/,"Acogedor y luminoso piso en Santa Eugenia, Villa de Vallecas, Madrid, ideal para quien busca comodidad y calidad de vida.  Su ubicación es inmejorable, a pocos minutos del Hospital Infanta Leonor y con excelentes conexiones de metro y autobús para desplazarse fácilmente por la ciudad. La vivienda destaca por su luminosidad y ambiente acogedor. Con 82 m², esta propiedad en buen estado ofrece un espacio ideal para familias con sus 3 dormitorios y 1 baño. O para adaptar a sus necesidades, ya sean como dormitorios, despacho o sala de juegos. La cocina equipada y los armarios empotrados facilitan la organización y el confort diario. El confortable salón da acceso a una encantadora terraza con vistas a un jardín, perfecta para momentos de relax.  Con muy buenas posibilidades de reforma, ideal para personalizarlo a tu gusto y crear el hogar que siempre has soñado. Posibilidad de instalar Gas Natural. Situado en un edificio accesible para personas en silla de ruedas y equipado con ascensor, este piso asegura fácil acceso para todos. No pierdas la oportunidad de visitarlo. Te encantará su entorno tranquilo y gran potencial. Ubicado en el corazón de Villa de Vallecas, el barrio de Santa Eugenia destaca por su ambiente familiar y su completa oferta de servicios. Con calles tranquilas y espacios verdes, esta zona residencial es ideal para familias y profesionales que buscan calidad de vida sin renunciar a la conexión con el centro de Madrid. Santa Eugenia cuenta con colegios, centros de salud, comercios y zonas de ocio, lo que facilita el día a día y fomenta un fuerte sentido de comunidad. Su estratégica ubicación y excelente red de transporte público permiten un fácil acceso a las principales vías de la capital. Vivir en Santa Eugenia es disfrutar de un entorno seguro y acogedor, donde la tradición se une a la modernidad para ofrecer un estilo de vida equilibrado y pleno en Madrid.",True,good,False,True,3413.0,True,True,False,False,[],False,False,279900.0,€,,,flat,"Santa Eugenia, Madrid",Piso en calle de Puentelarra,Top,,,,,,
106445465,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/9a/0f/1283122447.webp,atico-3d-0203B,12,3,882600.0,penthouse,sale,221.0,True,3,2,Miguel Ángel Cantero Oliva s/n,Madrid,Boadilla del Monte,Viñas Viejas,es,,40.4145643,-3.8946673,True,https://www.idealista.com/obra-nueva/106445465/,"Residencial INBISA Viñas Viejas es una nueva promoción de viviendas exclusivas que se emplaza en la confluencia de las calles Francisco Tomás y Valiente y Miguel Ángel Cantero Oliva en Boadilla del Monte (Madrid), uno de los municipios de España mejor valorados para vivir, gracias a su excepcional calidad de vida y entorno natural. Residencial INBISA Viñas Viejas presenta una exclusiva selección de 48 viviendas, con calificación energética ‘A’, en una urbanización cerrada con amplia dotación de aparcamiento y trasteros. La promoción se compone de viviendas en planta baja con magníficos jardines privados y bodegas, dos plantas de viviendas con amplias terrazas y planta ático con terraza y gran solárium.  Su diseño innovador con un atractivo juego de terrazas, su luminosidad y la amplitud de espacios, la convierten en una promoción exclusiva, única en la zona. Mientras, la disposición escalonada de los edificios le dotan de un carácter especial y permite que todas las fachadas cuenten con la mejor orientación y vistas. Residencial INBISA Viñas Viejas ofrece una amplia variedad de servicios habiendo sido estudiados con detalle y proyectados con la máxima calidad que la promoción merece. Entre sus exclusivas zonas comunes, encontrarás una piscina infinity con cloración salina, sala fitness, club social, zona solárium y área de juegos especialmente diseñada para los más pequeños, entre otros.  Dando importancia a la seguridad, la urbanización se encuentra en un recinto cerrado y vallado perimetralmente con acceso a través de una garita de vigilancia y control de accesos y cuenta con instalación de sistema de videovigilancia. Residencial INBISA Viñas Viejas se ha concebido pensando en la comodidad, el bienestar y el lujo de vivir donde siempre habías soñado, donde disfrutar de la tranquilidad de vivir en una urbanización privada, en la que tendrás todo lo que necesitas sin salir de casa.",False,newdevelopment,True,True,3994.0,True,False,False,False,[],False,False,882600.0,€,True,True,flat,"Viñas Viejas, Boadilla del Monte",Ático en Miguel Ángel Cantero Oliva s/n,Top,False,penthouse,,,,
108143569,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/d6/84/1335151126.webp,W-02ZWES,65,,6850000.0,chalet,sale,1740.0,,6,7,Barrio Somosaguas,Madrid,Pozuelo de Alarcón,Somosaguas,es,Somosaguas,40.4181728,-3.7862162,False,https://www.idealista.com/inmueble/108143569/,"Espectacular Propiedad en exclusiva parcela en Somosaguas Engel & Völkers les ofrece en exclusiva esta propiedad de diseño moderno en una de las parcelas más privilegiadas de la prestigiosa urbanización Somosaguas A. Ubicada en zona alta, destaca por su imponente arquitectura contemporánea, grandes dimensiones y una privacidad inigualable, rodeada de propiedades de alto nivel. Desde su acceso señorial, el inmueble impresiona con un cuidado paisajismo y majestuosos árboles. En su interior, un amplio hall de entrada da paso a zonas sociales luminosas y de estilo minimalista, conectadas visualmente a través de grandes ventanales que inundan los espacios de luz natural y con un patio interior acristalado que actúa como núcleo luminoso de la vivienda.  El salón principal se articula en tres ambientes diferenciados con zona de estar, área de televisión y una acogedora biblioteca, todo ello se conecta con un espectacular porche y un comedor ideal para recepciones formales. En esta misma planta se encuentra un elegante aseo de cortesía y dos generosos dormitorios con baño en suite, vestidor y área de estar privada. La cocina con estética moderna, combina funcionalidad y amplitud con zona de office y salida directa al porche y área de barbacoa. La zona de servicio es completamente independiente y dispone de dormitorio, baño, sala de estar, cocina y lavandería. La planta superior ofrece un espacio multifuncional para ocio y juegos, con abundante luz natural, áreas de almacenamiento y un aseo. En zona más privada se encuentra el dormitorio principal con impresionante baño en suite, vestidor y acceso a una terraza. Las vistas son privilegiadas. Por último, en esta planta, un dormitorio adicional y un luminoso despacho con terraza independiente. En la planta inferior se encuentra una espectacular piscina interior climatizada de agua salada conexionada con el jardín exterior, un gimnasio, sauna, vestuarios, bolera y amplias salas de almacenaje. El garaje interior tiene capacidad para dos vehículos, complementado con espacio exterior para cuatro vehículos más. La parcela, con jardines consolidados, piscina exterior, una encantadora huerta trasera y caseta de jardinería convierte esta propiedad en un enclave único para quienes buscan lujo, privacidad y diseño, en un entorno natural privilegiado. Somosaguas es una de las zonas más atractiva de la zona noroeste de Madrid. A la excelente ubicación geográfica, hay que sumar la gran cantidad de vías de conexión con otros municipios, sobre todo su proximidad con el centro de Madrid a 10 minutos. Vivir en Somosaguas, en amplias parcelas con arbolado y zonas verdes, rodeado por ese gran pulmón verde que es la Casa de Campo, donde poder caminar y hacer deporte es un auténtico lujo y privilegio con acceso directo desde la propia urbanización de Somosaguas A. Esta zona resulta atractiva para familias de poder adquisitivo alto, que buscan una primera o segunda residencia de alto nivel. Destacamos el acceso controlado y vigilado a la urbanización por personal especializado con garitas de vigilancia y cámaras de video y grabación en todos los accesos a la urbanización, con vehículos de seguridad circulando las 24 horas del día. Las infraestructuras cercanas son excelentes y goza de un gran número de servicios a muy poca distancia. Se sitúa en las proximidades de los más prestigiosos Colegios Nacionales e Internacionales, como el Colegio Retamar, British Council, Colegio Americano y Colegio Veritas entre otros y de Universidades como la Complutense de Madrid en Somosaguas, la Europea de Madrid en Villaviciosa de Odón y la Francisco de Vitoria en Pozuelo. A un paso de los Hospitales más importantes de Madrid como es el Hospital Quirón Salud en Pozuelo, el Hospital Puerta de Hierro en Majadahonda y el Hospital Universitario La Zarzuela en Aravaca. ¡Privacidad, tranquilidad, seguridad y confort!",True,good,False,,3937.0,True,False,True,False,[],False,False,6850000.0,€,True,True,chalet,"Somosaguas, Pozuelo de Alarcón",Casa independiente,Top,,independantHouse,7500000.0,650000.0,9.0,
107238038,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/fb/03/1307073259.webp,DS-P22711,32,9,968560.0,penthouse,sale,144.0,True,2,3,paseo de San Francisco de Sales,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4395335,-3.7149124,False,https://www.idealista.com/inmueble/107238038/,"DIZA Consultores presenta atico triplex en el mejor edificio de Chamberí. Descubre este espectacular ático tríplex ubicado en el prestigioso Edificio Mindanao, diseñado para quienes buscan exclusividad, confort y las mejores vistas de la ciudad. Con una superficie distribuida en tres plantas, este ático cuenta con 2 habitaciones y 2 baños, destacando el dormitorio principal con baño en suite. El salón-comedor, amplio y luminoso, se conecta con una cocina moderna completamente equipada con electrodomésticos de alta gama. En la planta más alta, disfrutarás de una magnífica terraza privada con piscina, ideal para relajarte y disfrutar del aire libre. El precio incluye 2 plazas de garaje y un trastero, proporcionando comodidad adicional. El edificio ofrece servicios de lujo, como seguridad 24 horas, spa, gimnasio, piscina climatizada y una espectacular azotea con solárium y piscina exterior. Su ubicación privilegiada y sus excepcionales instalaciones lo convierten en un lugar único para vivir. DIZA Consultores. Convertimos Sueños en Hogares.",False,good,False,True,6726.0,True,False,False,False,[],False,False,968560.0,€,True,True,flat,"Vallehermoso, Madrid",Ático en paseo de San Francisco de Sales,Top,,penthouse,,,,
108827965,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/ed/65/1356304154.webp,BFU-V1930,25,2,375000.0,flat,sale,94.0,True,2,1,calle de Jesús del Gran Poder,Madrid,Madrid,Usera,es,Moscardó,40.3904787,-3.7038635,False,https://www.idealista.com/inmueble/108827965/,"CONTACTAR CON EXTENSIÓN Nº1 Piso en venta en Moscardó, perteneciente al barrio de Usera, Madrid Exterior, en plena reforma integral. Descubre este magnífico piso situado en una de las zonas más consolidadas y mejor comunicadas de Madrid. Ubicado en la segunda planta de un edificio moderno (año 1991) con ascensor e ITE favorable, este inmueble ofrece comodidad, funcionalidad y una excelente calidad de vida. Características de la vivienda: Superficie bien distribuida con 2 dormitorios con armarios empotrados, otro armario de dos puertas en pasillo distribuidor 1 baño completo  Paredes lisas Cocina independiente, con buena ventilación y recién reformada Salón comedor luminoso y exterior  Aire acondicionado  Calefacción y agua caliente individual por gas natural (caldera) Ascensor Instalación eléctrica y fontanería cambiada y actualizada El inmueble esta ahora mismo en plena reforma y aún se pueden decidir materiales, acabados, etc.. . ofrece muchas posibilidades para personalizarlo con una reforma a medida. Sobre la zona: Moscardó-Usera Una ubicación estratégica dentro de la almendra central de Madrid. A solo 2 minutos de Madrid Río, el Matadero, y cerca de zonas culturales como La Casa Encendida o el Museo del Ferrocarril. Ideal tanto para familias como para profesionales o inversores. Conectividad excepcional: Metro Usera (L6) a 1 minuto, y Almendrales (L3) a 5 minutos Líneas de autobús EMT con conexión directa al centro Fácil acceso a la M-30 y principales vías de salida de Madrid Además, cuenta con todos los servicios a pie de calle: supermercados, colegios, centros de salud, parques, zonas deportivas y una gran oferta de bares y restaurantes. Una oportunidad ideal para vivir en una zona céntrica, tranquila y bien conectada, con todas las comodidades y servicios a tu alcance. Contáctanos para más información o para agendar una visita. ¡No dejes pasar esta oportunidad! (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ) > Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",True,good,False,True,3989.0,True,True,False,False,[],False,False,375000.0,€,,,flat,"Moscardó, Madrid",Piso en calle de Jesús del Gran Poder,Top,,,,,,
108896700,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/c6/d1/1358251127.webp,CM-426623-J,22,2,485000.0,flat,sale,57.0,False,2,1,calle de Ilustración,Madrid,Madrid,Moncloa,es,Argüelles,40.4198382,-3.7179929,False,https://www.idealista.com/inmueble/108896700/,"UNICA ofrece EN EXCLUSIVA, este magnífico y luminoso piso totalmente reformado en la zona de Arguelles, en el tercer piso de un edificio con ascensor. Con una superficie total de 57 m², este inmueble destaca por su exclusiva reforma con funcional y con estilo. Distribuida en 2 dormitorios Y 1 baño completo, aire acondicionado y calefacción de gas natural asegurando el confort durante todo el año. La cocina cuenta con un gran diseño moderno y funcional, el salón da a una grandiosa vista despejada, por lo cual cuenta con una maravillosa luz totalmente natural. Además la finca cuenta con adaptación para personas con discapacidad. La orientación noroeste garantiza la entrada de luz natural durante gran parte del día. Ubicado en el corazón de una zona residencial tranquila y bien comunicada, este piso ofrece una localización inmejorable. A pocos pasos de las líneas de metro 3, 6 y 10, y con la estación de Príncipe Pío. A tan solo 10 minutos de la Gran Vía, Plaza España y el centro de Madrid, rodeado de zonas verdes este piso ofrece la posibilidad de vivir en un entorno cómodo y seguro. ¡No dejes pasar esta oportunidad única de adquirir tu nueva vivienda en una de las zonas más demandadas de Madrid!",False,good,False,True,8509.0,False,False,False,False,[],False,False,485000.0,€,,,flat,"Argüelles, Madrid",Piso en calle de Ilustración,Top,,,,,,
107700782,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/6f/8c/1321273674.webp,df5d38d4-43ec-4978-912c-416a89c89952,49,12,780000.0,flat,sale,116.0,True,3,2,calle de Federico Moreno Torroba,Madrid,Madrid,Retiro,es,Adelfas,40.4065612,-3.6694324,False,https://www.idealista.com/inmueble/107700782/,"Descubre este encantador piso muy luminoso en Adelfas, Retiro, Madrid, con 116 m² perfectamente distribuidos. Esta propiedad con grandes vistas ofrece tres amplios dormitorios y dos baños completos, ideal para familias o compartir con amigos. La cocina equipada y los armarios empotrados aseguran comodidad y funcionalidad. El edificio en una urbanización elegante y tranquila cuenta con servicios de conserjería y portero las 24 horas, y dispone de dos ascensores y un montacargas para mayor accesibilidad. Disfruta de un refrescante chapuzón en la piscina compartida o relájate en el jardín comunitario. Además, la accesibilidad para sillas de ruedas está garantizada en todo el edificio y el piso. El piso incluye aire acondicionado de obra para los calurosos días de verano y caldera individual de gas para el invierno. También cuenta con un práctico trastero y garaje. Amueblado con buen gusto, este hogar es una joya lista para habitar en una de las zonas más deseadas de Madrid. ¡No pierdas esta oportunidad! El barrio de Adelfas cuenta con una infraestructura de servicios excelente. Desde colegios y centros de salud hasta una variada oferta comercial que incluye supermercados, tiendas especializadas y mercados locales, todo lo necesario para una vida cómoda está al alcance de la mano. La oferta gastronómica del barrio es igualmente destacada, con una amplia selección de restaurantes y cafeterías que satisfacen todos los gustos. Excelentemente comunicado con el metro Conde de Casal, varias líneas de autobuses y el intercambiador.",True,good,False,True,6724.0,True,True,False,False,[],False,False,780000.0,€,True,True,flat,"Adelfas, Madrid",Piso en calle de Federico Moreno Torroba,Top,,,,,,
107992532,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/fe/cf/1330501571.webp,dc471a8c-d7e7-4c78-a6bc-7f4a9769c92d,31,3,1040000.0,flat,sale,150.0,True,3,3,calle Mayor,Madrid,Madrid,Centro,es,Sol,40.4160717,-3.7073728,False,https://www.idealista.com/inmueble/107992532/,"Descubre este encantador piso de 150 m² situado en la emblemática Plaza Mayor, España. Alquilado actualmente, estea propiedad representa una excelente oportunidad de inversión. Recientemente reformado, ofrece un ambiente moderno y acogedor. Cuenta con 3 dormitorios y 3 baños, ideales para una familia o para inquilinos que buscan comodidad. La cocina equipada invita a explorar tus dotes culinarias, mientras que la calefacción a gas garantiza confort durante todo el año. Disfruta del aire fresco desde el balcón privado, perfecto para relajarse o entretener. El edificio cuenta con ascensor, facilitando el acceso a la vivienda. Aprovecha esta oportunidad única de adquirir una propiedad en una ubicación privilegiada, con alta demanda y ya generando ingresos por alquiler. El barrio de Sol, es el más céntrico de los barrios de Madrid, su nombre deriva de su plaza central, Puerta del Sol, donde está la placa del Kilómetro Cero. En esta zona, que algunos denominan Sol-Gran Vía, encontramos muchas de las principales atracciones de la ciudad. Algunas dentro de la misma Puerta del Sol, otras en sus proximidades.",False,good,False,True,6933.0,True,False,False,False,[],False,False,1040000.0,€,,,flat,"Sol, Madrid",Piso en calle Mayor,Top,,,,,,
108496313,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/52/3b/1346634160.webp,M11722V,45,5,1075000.0,flat,sale,91.0,True,2,2,calle del Alcalde Sainz de Baranda,Madrid,Madrid,Retiro,es,Niño Jesús,40.4169123,-3.6688698,False,https://www.idealista.com/inmueble/108496313/,"Le presentamos un piso de 91 m² construidos en la quinta planta de una finca regia de 1950 en la cotizada zona de Ibiza, en Madrid. El edificio, con ascensores y servicio de conserjería, ofrece un entorno de gran comodidad y seguridad. La propiedad destaca por su funcional distribución y la abundante luz natural que recibe gracias a su orientación sur, creando un ambiente acogedor y cálido durante todo el día. Actualmente en proceso de obra, el piso se entregará a estrenar, totalmente reformado y completamente amueblado. La vivienda dispone de un amplio y luminoso salón-comedor con grandes ventanales que garantizan una ventilación cruzada ideal. La cocina se entrega completamente equipada con electrodomésticos de alta gama. La zona de noche cuenta con dos dormitorios dobles; el principal con baño en suite y armarios empotrados para un óptimo almacenamiento. Un segundo baño completo da servicio al resto de la vivienda. Además, la finca cuenta con piscina, un valor añadido para disfrutar del buen tiempo. Situado en el barrio de Ibiza, una de las zonas más valoradas de Madrid, el inmueble se encuentra a escasos metros del parque de El Retiro. Esta localización privilegiada ofrece una excelente conexión con transporte público, así como una amplia oferta de servicios, comercios y restaurantes. Disfrutará de un entorno residencial tranquilo y bien cuidado, sin renunciar a la cercanía de la vibrante vida de la ciudad y con unas magníficas vistas despejadas. En Walter Haus entendemos que encontrar el hogar ideal va más allá de una inversión: es encontrar ese lugar que encaja con su estilo de vida. Esta propiedad es una excelente oportunidad para quienes buscan calidad, diseño y confort en una ubicación preferente. Le invitamos a conocer las propiedades que tenemos entrando a nuestro sitio web y descubrir los inmuebles que solo Walter Haus tiene para usted. ¡Contáctenos para más información!",False,good,False,True,11813.0,True,False,False,False,[],False,False,1075000.0,€,,,flat,"Niño Jesús, Madrid",Piso en calle del Alcalde Sainz de Baranda,Top,,,,,,
