propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,neighborhood,floor,exterior,hasLift,parkingSpace.parkingSpacePrice,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107335121,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/c6/15/1356725046.webp,0056-00578,47,1890000.0,chalet,sale,703.0,7,6,calle Playa de Sitges,Madrid,Boadilla del Monte,Bonanza,es,40.4482809,-3.903175,False,https://www.idealista.com/inmueble/107335121/,"Chalet independiente en venta en Playa de Sitges, Bonanza. Magnifico chalet construido en 2001 en excelente estado de conservación.  Ubicado en una parcela de 1.677m2, se distribuye en tres plantas, con amplias y luminosas estancias en su gran mayoría orientadas al sur. La vivienda se vertebra sobre un hall distribuidor de doble altura y luz cenital, simplemente espectacular.  La zona principal de la vivienda se articula en torno a un amplio recibidor que da paso a dos ambientes diferenciados de salón y comedor, ambos con salida al porche y orientación sur, lo que permite que la luz natural inunde todos los rincones. El porche posterior, con vistas despejadas al jardín y la piscina, ofrece un generoso espacio con comedor de verano y área de estar; el entorno perfecto para relajarse o compartir momentos agradables con familia y amigos. Al fondo, la pista de pádel no interfiere con el espacio principal y visual del jardín. En la planta baja también se encuentra una espaciosa cocina con isla central, completamente amueblada, acceso directo al comedor y abierta al jardín, lo que aporta funcionalidad y continuidad visual. Cuenta además con despensa y un dormitorio de servicio con baño en suite. La cocina dispone de una entrada independiente desde el exterior, ideal para facilitar la descarga de la compra directamente desde el coche. Esta planta dispone de una acogedora sala de estar y un aseo de cortesía para invitados. En la planta superior se sitúa la zona de descanso, compuesta por cinco dormitorios. La suite principal destaca por sus amplios ventanales con vistas al jardín, vestidor independiente y un baño en suite exterior equipado con bañera y ducha de obra. Dos de los dormitorios comparten un baño con acceso privado desde cada habitación, mientras que los otros dos comparten un tercer baño, todos ellos exteriores. La planta semisótano alberga una bodega perfecta para reuniones con amigos, un despacho, zona de lavandería, garaje con trastero y un aseo de cortesía. La urbanización Bonanza es una de las más demandadas en Boadilla del Monte, por su calidad de vida y seguridad, la excelente comunicación a través de las carreteras A6- y M50, así como por la oferta de colegios nacionales e internacionales de gran prestigio. Ofrece su propio club social y todo tipo de servicios en proximidad. Esta vivienda fue concebida para una vida familiar con las máximas comodidades: espacios generosos, gran luminosidad y una atmósfera verdaderamente cálida y acogedora. Dispone de suelo radiante y aire acondicionado en el salón y el dormitorio principal.  No pierda la oportunidad, llámenos y venga a visitarla.",True,good,False,2688.0,True,False,True,False,[],False,False,1890000.0,€,True,True,chalet,independantHouse,"Bonanza, Boadilla del Monte",Casa independiente en calle Playa de Sitges,Destacado,,,,,,,,,
107303908,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/98/dc/1309385116.webp,Only House,45,700000.0,chalet,sale,180.0,4,2,avenida de la Guardia,Madrid,Madrid,Fuencarral,es,40.5171794,-3.7752483,False,https://www.idealista.com/inmueble/107303908/,"Tu nueva vivienda en El Pardo, dentro de la discreta colonia histórica de San Fernando. Desayunar al aire libre con sol de mañana en invierno es una pasada¡ Pero si te gusta la sombra hay dos parcelas con distinta orientación, de modo que puedes elegir, es un privilegio de unos pocos. Como el de vivir en el monte del pardo, con la parada de autobús a 25m de tu casa y plantarte en Moncloa en 15´ en el bus de la EMT. O en la vaguada y la paz en otro trayecto. Este encantador chalet pareado, construido en 1949, ofrece una combinación de historia y calidad de vida inigualables.  En 15 años han salido a la venta apenas 3 viviendas en esta pequeña colonia de El Pardo. Ahora hay dos a la venta. Con una superficie construida de 180 m² y 150 m² útiles, y muchas posibilidades de ampliación, esta vivienda de dos plantas más bajo cubierta es ideal para familias que buscan un estilo de vida distinto, tranquilo, seguro y con mucha calidad de vida. En la planta baja, te recibe un acogedor hall de acceso tipo colonial, con su ventana ovalada que conduce a un amplio salón con chimenea en dos ambientes, una cocina, un comedor y un aseo. Desde ahí accedes al patio posterior, ideal para tus reuniones de verano. En la planta superior, tres dormitorios muy espaciosos, el principal con un bonito balcón. Un cuarto de baño completo que da servicio a las tres habitaciones. El bajo cubierta, con ventanas tipo troneras, ofrece múltiples posibilidades de uso.  La propiedad cuenta con dos patios, delantero y trasero, el último con garaje, trastero/invernadero y un área ideal para comidas al aire libre. Además, la posibilidad de añadir una piscina y jardín hace de esta casa una joya para vivir. Otra de las virtudes de la vivienda es la cantidad de grandes ventanales por estancia, lo que te aporta una luz natural en toda la vivienda y facilita la rehabilitación a tu gusto. La ubicación es inmejorable: A 50 metros de parada de autobuses EMT hacia Moncloa, Plaza de Castilla y La Vaguada. La cercanía al monte del Pardo, donde podrás disfrutar de actividades al aire libre como mountain bike, hípica y senderismo.  Puedes visitar esta casa a través de dos vídeos en este anuncio y virtual tour y planos en breve.  Dispones de infinidad de zonas verdes, rutas de senderismo, carril bici hasta la casa de campo y Madrid río, complejos deportivos como Somontes, Puerta de Hierro etc. La seguridad en esta colonia es una garantía, y la paz que se vive en te traslada a otro lugar pero... Estás a 15 minutos de Moncloa con transporte público en la puerta de casa¡ Contáctanos de lunes a viernes de 10:00 a 14:00 y de 17:00 a 20:30h para más información. Tu nuevo hogar te espera. queña y.",True,renew,False,3889.0,True,False,True,False,[],False,False,700000.0,€,True,True,chalet,semidetachedHouse,"El Pardo, Madrid",Chalet pareado en avenida de la Guardia,Destacado,El Pardo,,,,,,,,
105097821,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/bc/e7/1341161869.webp,35996850,94,686800.0,chalet,sale,200.0,3,3,calle Valle del Jerte,Madrid,Torrejón de Ardoz,Suroeste,es,40.4458616,-3.4697948,False,https://www.idealista.com/inmueble/105097821/,"No cobramos ningún coste al comprador, ayudando a gestionar su hipoteca sin coste adicional.  -Somos Expertos en Torrejón de Ardoz, Asesoramiento Altamente Cualificado- Cassas. es les presenta en exclusiva este PRECIOSO CHALET EN LOS FRESNOS. Está situado en una urbanización exclusiva de chalets de reciente construcción ( año 2021) Está situado en una de las Mejores zonas de Torrejón de Ardoz. La superficie de la vivienda es de aproximadamente 200 m2, distribuidos en 3 plantas más el jardín de 60m2 aproximados con porche y jacuzzi. - Semi-sótano, donde se puede acceder directamente a la vivienda. Garaje con capacidad de 2 coches con punto de carga eléctrico, gimnasio, cuarto de lavado y trastero. - Planta baja, distribuida en una gran salón-comedor con salida al jardín exterior cocina abierta al salón, aseo. - Planta 1º, 2 habitaciones, la principal con vestidor y baño en suite (la 3º sería lo que ahora es el vestidor) y baño completo. Se han realizado grandes mejoras en la vivienda que proporcionan un valor añadido a la misma. Construcción reciente con Altas calidades, suelo de Porcelana, puertas, ventanas de Climalit con rotura de puente térmico, Aire Acondicionado por conductos en toda la vivienda, calefacción por medio de Aerotermia, armarios empotrados vestidos y con cajoneras, vestidores amueblados, tragaluces que dan gran luminosidad a la vivienda, placas solares que mejoran el coste y la eficiencia energética. Vivienda rodeada de todos los servicios: supermercados, colegios, Junto a la nueva ciudad deportiva, parques, tren, polideportivo municipal… ¡No dude en visitarlo! 686.800 €  expertos en conseguirte el mejor piso al mejor precio.",True,good,False,3434.0,True,False,True,False,[],False,False,686800.0,€,True,True,chalet,terracedHouse,"Suroeste, Torrejón de Ardoz",Chalet adosado en calle Valle del Jerte,Destacado,,,,,,,,,
108022615,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b6/b3/79/1331482313.webp,02.5 OR,43,1880000.0,flat,sale,200.0,4,4,calle de Alonso Cano,Madrid,Madrid,Chamberí,es,40.4406172,-3.6977714,False,https://www.idealista.com/inmueble/108022615/,"Tailor&Key ofrece en exclusiva este elegante piso en Ríos Rosas recién reformado completamente. Con sus casi 200 m2, esta espectacular vivienda cuenta con unos excelentes acabados llenos de diseño y elegancia. Accedemos a la vivienda a un hall recibidor desde el que apreciar la luz que disfruta. La terraza, recuperada con arquitectura moderna y cerramientos en negro destaca junto al pilar recuperado de hierro que articula el salón y el comedor. El salón, con dos ambientes diferenciados y el comedor configuran el área social de la vivienda. Un aseo de cortesía y el acceso a la cocina con cerrajería en negro, dan el caracter elegante buscado en esta reforma. Los dormitorios se ubican a lo largo de un largo pasillo que con una ilumiacion exquisita va dando lugar a las distintas estancias. Dos dormitorios secundarios, dobles con armario empotrado cada uno comparten un amplio cuarto de baño con ducha. El dormitorio principal se ubica al final del recorrido. Se accede a el a través del gran vestidor, distribución premeditada para ofrecer mayor privacidad. El cuarto de baño en suite, disfruta de una gran ducha. Todos los baños cuentan con elegantes acabados en sus despieces de cerámica así como en la elección de los colores.  La cocina, ubicada en la parte anterior de la vivienda, configura su espacio junto con una pequela habitación de servicio y un cuarto de baño independiente.  La vivienda dispone de calefacción comunitaria y aire acondicionado por conductos en todas sus estancias.  Además dispone de trastero y garaje en el edificio. En Tailor & Key estamos especializados en el mercado residencial y de oficinas en Madrid. Ofrecemos un servicio integral y personalizado, acompañando a nuestros clientes a lo largo de las diferentes fases del ciclo inmobiliario, en operaciones de compra-venta, alquiler y reformas. Si está interesado en esta propiedad o quiere recibir información adicional sobre nuestros servicios no dude en contactar con nosotros o dirigirse a nuestra web tailorkey. com.",True,good,False,9400.0,True,False,True,False,[],False,False,1880000.0,€,True,True,flat,,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Alonso Cano,Destacado,Nuevos Ministerios-Ríos Rosas,6,True,True,,,,,
108309123,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/84/65/1340263878.webp,11513,43,279000.0,chalet,sale,96.0,3,2,calle Media,Madrid,Madrid,Usera,es,40.3878506,-3.7089567,False,https://www.idealista.com/inmueble/108309123/,"¡ TU PROPIEDAD por MENOS de un ALQUILER! ¡ FINANCIACIÓN 100 %! . ¡ SIN COMISIÓN de AGENCIA y SIN Aportar AVALES! ¡ SIN entrada, SÓLO con tu nomina y APORTANDO los gastos de ESCRITURACIÓN! Madrid. Zona Usera. Casa adosada de 96 m2, para reformar íntegramente, ubicada junto a metro Usera. Planta Baja: amplio salón, cocina, baño con ducha, cocina, dormitorio, 2 trasteros. Planta Primera: amplia terraza de m2, 2 dormitorios, baño con ducha.  En periodo de pujas hasta el 27/06/2025. ¡ NO te COBRAMOS COMISIÓN, NI por la VENTA de la VIVIENDA NI por la TRAMITACIÓN del PRÉSTAMO!",True,renew,False,2906.0,True,False,True,False,[],False,False,279000.0,€,,,chalet,terracedHouse,"Moscardó, Madrid",Chalet adosado en calle Media,Destacado,Moscardó,,,,,,,,
108535208,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/c2/2b/8e/1347768220.webp,,25,225000.0,flat,sale,66.0,3,1,calle Andrea Doria,Madrid,Alcalá de Henares,Juan de Austria,es,40.4829753,-3.3536624,False,https://www.idealista.com/inmueble/108535208/,"Sólo whataspp a cualquier hora del día o de la noche y fines de semana. al seis seis dos cuarenta y tres ochenta sesenta y cuatro. No cobramos comisión al comprador. Admitimos ofertas. Vendo piso en calle ajardinada, buena zona a cinco minutos Plaza de Cervantes. El piso tiene estupendos inquilinos, que pagan puntualmente siempre. Les quedan tres años. Cuidan el piso estupendamente como pueden ver el las fotos, El piso se vende amueblado. Se pagan setecientos cincuenta euros de alquiler.  La comunidad es buena. tiene buenas vistas desde el salón cocina y dormitorio. no se ven vecinos. la calefacción es caldera individual Muchas Gracias por leer este anuncio. José Maria.",False,good,False,3409.0,True,False,True,False,[],False,False,225000.0,€,,,flat,,"Juan de Austria, Alcalá de Henares",Piso en calle Andrea Doria,Destacado,,1,True,True,,,,,
103952518,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/0a/57/1211678572.webp,,96,820000.0,chalet,sale,385.0,5,4,"BERZOSA, 4",Madrid,Hoyo de Manzanares,,es,40.6135052,-3.9341658,True,https://www.idealista.com/inmueble/103952518/,"PROMOCION Y GESTION INMOBILIARIA HOYO DE MANZANARES presenta esta preciosa casa con diseño único de ladrillo visto con diversos aparejos y cornisas francesas.  La vivienda consta de 2 plantas sobre rasante y un semisótano. En la planta semisótano, nos encontramos con varias estancias, un gran salón-comedor, el cuarto de la caldera donde se encuentra un deposito de agua integrado en la caldera de gasoil, un baño con ducha, otro cuarto-despensa y cuarto para la lavadora. Desde esta planta se accede directamente al jardín y piscina. También está el garaje con capacidad para tres coches. En la planta baja, accediendo por un gran vestíbulo, nos dirigimos por una parte al Gran salón comedor con espacios abiertos y salida directa al precioso y espacioso porche-terraza, cocina integrada con comedor disponiendo de salidas a la terraza y al porche.  Un cuarto-despacho, habitación en suite con vestidor y baño con ducha.  Aseo de cortesía y armarios empotrados en el pasillo. Todas las ventanas y puertas de exterior son de excelente calidad, PVC con cámara de aire y oscilobatientes. El aislamiento de la vivienda es excepcional. Diseñada con materiales de alta gama. Accediendo por el vestíbulo principal nos encontramos con una maravillosa escalera de mármol para acceder a la planta primera. Planta primera dispone de tres amplios dormitorios uno de ellos en suite con vestidor y baño dividido en dos partes, un cuarto con inodoro y bidé y el otro con lavabo de dos senos, bañera hidromasaje y ducha independiente. Esta habitación principal tiene salida a una terraza con unas vistas espectaculares a la sierra y a El Escorial.  Las otras dos habitaciones comparten baño. Vivienda para entrar a vivir, estando en perfecto estado de uso por su buen mantenimiento. Parcela ajardinada con árboles consolidados y huerto en uso. Riego automático en toda la parcela. Piscina de agua salada. Disponen de depósitos acumuladores de aguas fluviales. Orientación sur y oeste. Disfrutar del entorno natural y sus alrededores es un lujo.  Calidad de vida, exclusividad y bienestar se dan la mano.",False,good,False,2130.0,True,False,True,False,[],False,False,820000.0,€,True,True,chalet,independantHouse,Hoyo de Manzanares,"Casa independiente en Berzosa, 4",Destacado,,,,,,,,,
108764168,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/13/2d/1354455137.webp,,57,420000.0,flat,sale,79.0,2,2,camino de Perales,Madrid,Madrid,Usera,es,40.3791898,-3.6892712,False,https://www.idealista.com/inmueble/108764168/,"Cuadrado & Burgos Asesores vende esta magnífica vivienda. No se cobran honorarios al comprador. Está ubicada en una moderna urbanización cerrada, de más de 7000 m2, con piscina y conserje. 118 m2 construidos, que comprenden: vivienda, garaje, trastero y zonas comunes. La vivienda ocupa 79 m2 construidos, 66 m2 útiles.  Piso de 2 dormitorios y 2 baños, amplia cocina con tendedero-lavadero acristalado. Salón de 20 m2 con mirador y amplio ventanal.  Suelos de Tarima de madera, Carpintería interior lacada en blanco. Armarios empotrados vestidos.  Carpintería exterior de aluminio con climalit.  Agua caliente y calefacción individual gas natural.  En muy buen estado, para pintar y entrar. 1º piso orientado al suroeste. Muy tranquilo y luminoso.  Finca con piscina y zona de juegos infantil. Conserje de lunes a domingo.  Trastero y Plaza de garaje para coche grande incluidos en el precio. Muy buena ubicación en una zona residencial con todos los servicios a mano: supermercados, colegios, farmacias, centro de salud, comercios, Junto al Parque Lineal del Manzanares, Madrid Río, Caja Mágica,  Muy buena comunicación: Metro L3 Hospital 12 de Octubre y Almendrales. Autobuses: 13, 23, N12.  Cercanias Renfe Doce de Octubre. Rápido acceso en coche a M-30 M-40 y A4 No pierdas la oportunidad de venir a visitarlo.",False,good,False,5316.0,True,False,True,False,[],False,False,420000.0,€,True,True,flat,,"San Fermín, Madrid",Piso en camino de Perales,Destacado,San Fermín,1,True,True,,,,,
108525902,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/7a/99/1353495135.webp,66220,36,1790000.0,flat,sale,154.0,4,2,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,40.4262859,-3.67982,False,https://www.idealista.com/inmueble/108525902/,"Inmejorable piso de 4 habitaciones (3 dormitorios y 1 despacho) y 2 baños, en Goya (Barrio de Salamanca). Completamente exterior a C/ General Pardiñas.    154 m2 construidos. 126 m2 útiles. Orientación Este.    Salón independiente.    2 balcones.    Cocina independiente.    Calefacción central con contador individual y aire acondicionado.    Armarios empotrados, suelo de tarima C5, ventanas climalit oscilobatientes y puertas lacadas.    Amueblado negociable.    Dispone de 2 plazas de garaje (en el portal de enfrente) y trastero.    Portero físico en horario comercial.    Ascensor.    NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.    Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no.    INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio.    Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",True,good,False,11623.0,True,False,True,False,[],False,False,1790000.0,€,True,True,flat,,"Goya, Madrid",Piso en calle del General Pardiñas,Destacado,Goya,5,True,True,,,,,
108491230,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/63/2c/1346498105.webp,,37,875000.0,penthouse,sale,118.0,2,2,"calle de Antonio López, 139",Madrid,Madrid,Usera,es,40.3885519,-3.6994864,True,https://www.idealista.com/inmueble/108491230/,"NO COBRAMOS COMISIÓN En Iceberg: Te asesoramos en todo el proceso de compra, con servicio de asesoramiento legal propio. Para que la compra de tu vivienda sea una experiencia única y maravillosa que recordar siempre. Vamos a ir de tu mano en todo momento y hacerte fácil toda la experiencia. Un ático espectacular con dos terrazas en Madrid Río Imagina vivir en un ático de ensueño en el corazón de Madrid Río. El proyecto Antonio López 139 te ofrece la posibilidad de disfrutar de una vivienda exclusiva en la cuarta planta de un edificio clásico completamente reformado de 1925. Un hogar a estrenar que combina historia, diseño moderno y una ubicación privilegiada. 117 m² de confort y estilo, diseñados para ti Este impresionante ático exterior en esquina cuenta con 2 amplias habitaciones en suite, ambas con baño completo, ofreciendo privacidad y comodidad. El salón-comedor, bañado por luz natural gracias a sus grandes ventanales, se abre a dos terrazas perfectas para disfrutar de cenas al aire libre, encuentros con amigos o simplemente relajarte con vistas despejadas. La cocina independiente está totalmente equipada con mobiliario moderno y electrodomésticos de alta gama. La vivienda dispone de aire acondicionado, armarios empotrados, trastero y ascensor. Cada detalle ha sido cuidadosamente pensado para ofrecer una experiencia de vida única desde el primer día. Ubicación inmejorable Situado a pocos pasos del Parque Madrid Río y el centro cultural Matadero, esta zona consolidada de la capital ofrece un entorno vibrante, ideal para pasear, hacer deporte o disfrutar de la cultura. Además, cuenta con excelentes conexiones de transporte y acceso directo a la M-30. Una oportunidad para vivir como siempre has querido Este ático es perfecto para cualquier tipo de público: parejas, familias o quienes buscan una vivienda con carácter y comodidades de alto nivel. No dejes pasar esta oportunidad única. Llámanos y en menos de 2 horas resolveremos todas tus dudas. ¡SOLICITA UNA VISITA y descubre tu nuevo hogar en Antonio López 139!",False,good,False,7415.0,True,False,True,False,[],False,False,875000.0,€,,,flat,penthouse,"Moscardó, Madrid","Ático en calle de Antonio López, 139",Destacado,Moscardó,4,True,True,,,,,
