propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,district,neighborhood,hasLift,parkingSpace.parkingSpacePrice
108707136,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/f0/76/1352738567.webp,24,217260.0,chalet,sale,124.0,2,1,calle de Buero Vallejo,Madrid,San Martín de la Vega,es,40.2109067,-3.5739237,False,https://www.idealista.com/inmueble/108707136/,"Las imagenes de la vivienda una vez reformada, no se corresponde con la realidad, son imágenes creadas por la Intelegencia Artificial. � **Casa baja con patio de 160 m² y garaje: potencia tu inversión y tu calidad de vida** Descubre esta casa baja con carácter y posibilidades infinitas, situada en una zona tranquila, perfecta para quienes buscan espacio, luz y la libertad de diseñar su hogar a medida. La vivienda cuenta con dos habitaciones, un salón acogedor, cocina independiente y baño completo. Su distribución funcional permite aprovechar cada metro cuadrado y adaptarlo a las necesidades de tu familia. Su gran joya es su **amplio patio de 160 m²**, un espacio exterior único donde podrás crear tu zona de ocio, jardín, huerto urbano o ese lugar para disfrutar de reuniones familiares al aire libre. Un verdadero lujo en una casa baja. Además, dispone de garaje propio, añadiendo comodidad y seguridad a tu día a día. La vivienda está para reformar, ofreciéndote la oportunidad de diseñarla a tu gusto y revalorizar tu inversión desde el primer momento. Una excelente opción tanto para quienes buscan su primera vivienda con espacio exterior como para inversores que deseen sacar rentabilidad en una zona con demanda. Si buscas una casa con patio, con potencial y con la libertad de hacerla tuya, esta vivienda es una oportunidad que no puedes dejar pasar. � **Llámanos y agenda tu visita. Te acompañamos a descubrir su potencial. ** PARA AGENDAR UNA VISITA ES NECESARIO HACER UN ESTUDIO DE VIABILIDAD PARA EN CASO DE COMPRA GARANTIZAR LA OPERACIÓN.",False,renew,False,1752.0,False,False,False,False,[],False,False,217260.0,€,257260.0,40000.0,16.0,True,True,chalet,independantHouse,San Martín de la Vega,Casa independiente en calle de Buero Vallejo,,,,,,,
106776520,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/f3/61/1293642235.webp,37,1200000.0,flat,sale,180.0,4,2,paseo de San Francisco de Sales,Madrid,Madrid,es,40.4389275,-3.717668,False,https://www.idealista.com/inmueble/106776520/,"Vende señorial vivienda ubicada en una de las mejores calles de Vallehermoso, en Chamberí. ARROYOASTUR INMOBILIARIA en exclusiva.  Clásica finca de 1959, piso en 5 planta, la vivienda destaca por su luminosidad. Los 180 m² se distribuyen en zona de recibo, 4 dormitorios con 2 cuartos de baño completos y cocina independiente con office.   De planta rectangular distribuida a ambos lados del pasillo, se encuentra para reforma integral. Su construcción por sistema de pilares permite rediseñar la distribución y los espacios a su gusto y necesidades.  Accedemos a través de un amplio hall a los dos salones contiguos, uno de ellos actualmente despacho, orientados a fachada, San Francisco de Sales, así como los dos dormitorios principales con cuarto de baño completo. Y orientadas a patio se sitúan 2 dormitorios secundarios también con cuarto de baño completo. Cocina independiente con office. Un total de 7 estancias, que permiten abrir y ampliar los espacios.  Cuenta con trastero con acceso directo desde el ascensor y plaza de garaje PAR para residentes, que se traspasaría de acceso por San Francisco de Sales.  La finca dispone de portero físico en portal señorial con ascensor y salva escaleras para personas con movilidad reducida. Propiedad con ubicación privilegiada, muy próxima a la plaza de Cristo Rey con salida directa a la A6. Barrio tradicional con tiendas de proximidad, comercios, actuales supermercados y todos los servicios así como colegios, universidades y hospitales (Fundación Jimenez Diaz, Hospital San Carlos). Zona de variada oferta de restaurantes y terrazas para disfrutar de buena gastronomía y ocio. Excelente conexión de transporte público, las estaciones de metro más cercana son la de Moncloa (L3 Y L6 ) e Islas Filipinas (L7) y en el mismo paseo varias líneas de autobús, lo que asegura una excelente conexión con el resto de la ciudad de Madrid. ARROYOASTUR INMOBILIARIA somos una empresa con larga experiencia en el sector inmobiliario, le ofrecemos un servicio personalizado, serio y exclusivo, asegurando a nuestros clientes las máximas garantías de ÉXITO. "".",True,renew,False,6667.0,True,False,False,False,[],False,False,1200000.0,€,,,,True,True,flat,,"Vallehermoso, Madrid",Piso en paseo de San Francisco de Sales,OTC-3163Sfs,4,True,Chamberí,Vallehermoso,True,
106336901,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0c/59/41/1286894833.webp,45,419000.0,chalet,sale,120.0,4,2,Urbanización Silillos,Madrid,Valdetorres de Jarama,es,40.6778584,-3.5270809,False,https://www.idealista.com/inmueble/106336901/,"VISTA HOMES ofrece un CHALET INDEPENDIENTE EN UNA PLANTA CON PISCINA PRIVADA, PORCHE CUBIERTO Y GARAJE, ubicado en la urbanización Silillos, en el municipio de Valdetorres del Jarama. Construido en 1986, dispone de 120 m² construidos en PARCELA de 2800 m². A través de un estupendo porche se accede al hall de entrada que nos lleva a a las diferentes estancias de la vivienda. El salón comedor es muy grande, tiene chimenea con cassette y 4 ventanales que iluminan la estancia durante todo el día.  La cocina está completamente rehabilitada y amueblada; es independiente y se podría diseñar como espacio abierto al salón. La zona de noche privada de la casa cuenta con un dormitorio principal con cuarto de baño en suite y tres dormitorios secundarios, todos con armarios empotrados.  EL CHALET destaca por sus espectaculares exteriores que se encuentran en parte solados y en parte ajardinados con zona de huerto y árboles frutales consolidados. Incluyen tres garajes techados, zona de barbacoa, piscina y cuarto de baño. Parcela vallada y completamente iluminada. La casa se climatiza mediante calefacción de gasoil con depósito en caseta independiente a la vivienda. Puertas barnizadas, suelos de gres y ventanas de aluminio. Agua del canal, y dos pozos para el riego y mantenimiento del jardín. Valdetorres del Jarama ofrece un estilo de vida idílico, combinando la tranquilidad de la naturaleza con la conveniencia de contar con todos los servicios de un pueblo bien establecido. Con colegios, supermercados, centros de salud, restaurantes y más, tendrás todo lo que necesitas a tu alcance. Además, su excelente ubicación, a solo 20 minutos de Madrid por la A-1 y con líneas de autobuses interurbanos frecuentes, garantiza una conexión fácil y rápida con la capital. ¿HABLAMOS? ¡Contacta con nosotros y programa tu visita ahora! En VISTA HOMES, estamos comprometidos a convertir tus aspiraciones en una realidad extraordinaria. Te ayudamos a conseguir las mejores condiciones de financiación, pregúntanos 100%. Disponemos de Viviendas en Venta Privada, ¡pregunta al responsable de la zona que buscas para visitarlas!",True,good,False,3492.0,True,False,False,False,[],False,False,419000.0,€,,,,True,True,chalet,independantHouse,Valdetorres de Jarama,Casa independiente en Urbanización Silillos,VIS-366,,,,,,
108850357,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/7f/c7/1359055647.webp,39,375000.0,chalet,sale,112.0,4,2,calle Ajalvir,Madrid,Cobeña,es,40.5660782,-3.5032087,False,https://www.idealista.com/inmueble/108850357/,"Presentamos esta excepcional vivienda unifamiliar ubicada en el exclusivo Residencial La Iglesia, adosada y con acceso a piscina y zonas comunes. Esta propiedad se distribuye en dos plantas, ofreciendo una distribución funcional y espacios luminosos. En la planta baja encontramos dos terrazas ideales para disfrutar del aire libre; al ingresar nos recibe un hall de acceso que conecta con un amplio salón-comedor dotado de chimenea tipo casette, ideal para los días más fríos.  Además, cuenta con aseo de cortesía y una cocina moderna reformada recientemente que dispone de ventana hacia el patio privado, lo cual ilumina generosamente este espacio culinario. En la primera planta se ubican cuatro acogedoras habitaciones: una principal equipada con armario empotrado y balcón particular; además hay tres habitaciones adicionales donde destacan las unidades de aire acondicionado instaladas por comodidad durante los meses cálidos. También incluye baño completo actualizado equipado con ducha y bidé.  Cabe mencionar características como calefacción eficiente, ventanas climalit que aseguran aislamiento térmico adecuado e instalaciones renovadas tanto en baños como cocina. Esta atractiva opción no solo resalta sus comodidades internas sino también su ubicación estratégica pues está rodeada por todos los servicios esenciales accesibles a pie tales como supermercados, colegios, centros médicos, iglesias, etc. , sin renunciar a estar inmersa entre naturaleza pura. Una oportunidad única si busca calidad vida familiar! Contáctanos ahora y agenda tu visita.",True,good,False,3348.0,True,False,False,False,[],False,False,375000.0,€,,,,,,chalet,terracedHouse,Cobeña,Chalet adosado en calle Ajalvir,01809,,,,,,
108735627,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/ca/7c/1353614703.webp,23,369900.0,flat,sale,91.0,2,2,"calle Agatha Christie, 21",Madrid,Rivas-Vaciamadrid,es,40.3788895,-3.5318291,True,https://www.idealista.com/inmueble/108735627/,"Inmobiliaria en Zona Centro - Tecnocasa Oficina Rivas Centro S. L. U. presenta: FANTÁSTICO PISO EN CALLE AGATHA CHRISTIE COMPLETAMENTE NUEVO. Piso en venta en calle Agatha Christie, en el Barrio de la Luna, una de las mejores zonas en cuanto a servicios y comunicaciones de todo el municipio, la construcción del edificio es de 2011. El piso se encuentra en la primera planta y consta de 91 m2 útiles más una enorme zona comun. Un hall de entrada, una cocina totalmente equipada, un salón comedor muy luminoso, con amplios ventanales climalit, 2 habitaciones, 2 baños, uno con plato de ducha, y otro con bañera en suite de la habitación principal. Sobre la ubicación es inmejorable, colegios, comercios, autobuses, zonas deportivas y muy cercano de la salida a la autopista (A-3). Zonas comunes con piscina, pista de padel y espacios verdes. POSIBILIDAD DE MEJORAR TUS CONDICIONES HIPOTECARIAS CON NUESTRO DEPARTAMENTO FINANCIERO KIRON. MEJOR VER!",False,good,False,4065.0,False,False,False,False,[],False,False,369900.0,€,389900.0,20000.0,5.0,True,True,flat,,"Rivas Urbanizaciones, Rivas-Vaciamadrid","Piso en calle Agatha Christie, 21",,1,True,Rivas Urbanizaciones,,True,
108691899,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/fe/4a/1357027884.webp,37,299000.0,chalet,sale,133.0,4,3,CL CHAVILLOS,Madrid,Chapineria,es,40.3814446,-4.2083011,False,https://www.idealista.com/inmueble/108691899/,"GreenLife VENDE: **Casa Pareada en Esquina con Encanto y Jardín Privado** Descubre esta maravillosa casa pareada de esquina, construida en 2002, que combina comodidad y ubicación inigualable en un entorno tranquilo. Con una superficie construida de 133m² y una parcela de 394m², esta propiedad es ideal para disfrutar de la vida al aire libre.  En la planta principal, te recibe un hall luminoso que da paso a un salón comedor de esquina (19m²), ideal para relajarse. La cocina individual (8m²) tiene acceso directo al jardín, facilitando las comidas al aire libre. En esta planta también se encuentra una habitación doble en suite (9.52m²) con armario empotrado y baño completo exterior (4.40m²), además de un práctico aseo (2m²). En la planta superior, hay dos habitaciones dobles (9.52m²/9.52m²), una de ellas con salida a una encantadora terraza exterior. También hay un baño completo exterior (5m²) y una estancia abuhardillada que puede servir como sala de juegos o despacho. El garaje, actualmente utilizado como cocina de verano (18m²), ofrece múltiples posibilidades. El amplio jardín cuenta con palmeras, olivos, rosales consolidados, una zona de barbacoa y un acogedor cenador, perfecto para reuniones familiares o con amigos. Dispone de calefacción por gasoil, ventanas exteriores de aluminio (todas con mosquiteras y rejas en la planta principal), interiores de madera maciza y puntos de agua y de desagüe distribuidos por la parcela.  No pierdas la oportunidad de hacer de este hogar tu refugio personal. ¡Ven a visitarla y déjate enamorar! CONTAMOS CON DEPARTAMENTO FINANCIERO, que ofrece ASESORAMIENTO SIN COMPROMISO NI COSTE Para estudiar tu capacidad real de CRÉDITOS/FINANCIACIÓN. Nuestros Asesores proporcionan todas las garantías en la compraventa con financiación. **ANUNCIO NO VINCULANTE, A TITULO INFORMATIVO Y NO CONTRACTUAL**.",True,good,False,2248.0,True,True,False,False,[],False,False,299000.0,€,,,,,,chalet,semidetachedHouse,Chapineria,Chalet pareado en Cl Chavillos,CHC101 ,,,,,,
107616163,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/ff/f4/1317711260.webp,2,1200000.0,flat,sale,132.0,2,2,Barrio Chueca-Justicia,Madrid,Madrid,es,40.4236172,-3.6951649,False,https://www.idealista.com/inmueble/107616163/,"Exclusiva vivienda en el distrito Centro de Madrid. Con una ubicación privilegiada, este inmueble ofrece todas las comodidades y servicios necesarios para disfrutar de la vida en la ciudad. Con una superficie de 132 m2, este piso cuenta con 2 amplios dormitorios y 2 baños completos. La distribución original incluía 3 dormitorios, pero se ha adaptado para ofrecer espacios más amplios y luminosos. Gracias a su ubicación en la última planta del edificio, esta vivienda se beneficia de una gran cantidad de luz natural en todas las estancias. La cocina, de diseño moderno y funcional, está completamente equipada con electrodomésticos de alta gama. El salón-comedor, de generosas dimensiones, es el lugar perfecto para relajarse y disfrutar de momentos de ocio en un ambiente acogedor. El piso cuenta con calefacción individual de gas natural, lo que garantiza un ambiente cálido y confortable durante todo el año. Además, dispone de ascensor y portero automático/físico para garantizar la máxima seguridad y comodidad. En cuanto a la ubicación, este piso se encuentra en una zona privilegiada de Madrid. A menos de 10 kilómetros se encuentra el prestigioso colegio ""Colegio Internacional de Madrid"", garantizando la mejor educación para tus hijos. Además, el centro comercial ""Gran Vía"" está a poca distancia, ofreciendo una amplia gama de tiendas, restaurantes y opciones de ocio. En cuanto al transporte público, las líneas de metro más cercanas son la línea 1 (Estación de Gran Vía) y la línea 10 (Estación de Tribunal). Además, las líneas de cercanías C3 y C4 tienen parada en la estación de Sol, que está a pocos minutos a pie.",False,good,False,9091.0,False,False,False,False,[],False,False,1200000.0,€,,,,,,flat,,"Chueca-Justicia, Madrid",Piso,AG315730,4,True,Centro,Chueca-Justicia,True,
108505494,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f5/d6/83/1350632478.webp,26,1550000.0,flat,sale,192.0,5,3,"CL DIEGO DE LEON, 52",Madrid,Madrid,es,40.4342441,-3.6785799,True,https://www.idealista.com/inmueble/108505494/,"Fantástico piso señorial, exterior, en una ubicación privilegiada, casi en la esquina de Ppe Vergara. Amplio piso de 192 m² para reforma total, con muchas posibilidades  Con 4 dormitorios y un dormitorio de servicio. Gran zona de recibo de 80 m², con tres grandes ventanales y vistas agradables entre las copas de los árboles. El edificio cuenta con un portal bien cuidado y portero físico, lo que añade un extra de comodidad y seguridad.  La cocina, muy amplia, tiene espacio para una mesa y acceso a una puerta de servicio con ascensor.  Los suelos de tarima antigua pueden ser restaurados y recuperados  Este piso incluye un trastero.  plaza de garaje en el edificio de enfrente.  Con calefacción central y gastos de comunidad de 320€, . 6 3 6 8 7 9 0 8 3 6 4 5 8 3 1 5 0 3.",False,renew,False,8073.0,True,False,False,False,[],False,False,1550000.0,€,1600000.0,50000.0,3.0,True,True,flat,,"Lista, Madrid","Piso en Cl Diego De Leon, 52",636879083,1,True,Barrio de Salamanca,Lista,True,
106108749,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/62/4a/00/1273037062.webp,44,1350000.0,flat,sale,122.0,2,2,calle de San Nicolás,Madrid,Madrid,es,40.41448,-3.7122703,False,https://www.idealista.com/inmueble/106108749/,"Totalmente reformado con 3 balcones a la calle a escasos metros de la Catedral de la Almudena, Palacio Real, Teatro Real y Plaza de Oriente. La vivienda consta de un salón con dos balcones a la calle, dormitorio principal con balcón exterior, vestidor y baño en su interior. El segundo dormitorio con dos ventanas interiores. Cocina totalmente equipada abierta al comedor con isla central y amplia despensa. Cuenta también con un segundo baño completo. Zona totalmente consolidada y dotada, con todo tipo de servicios (ocio, restauración, transportes, colegios, universidades, centros de salud, etc.. . ). Somos una empresa joven y dinámica que entiende las necesidades de nuestros clientes y ofrece soluciones para cada caso. Llevamos años en el sector inmobiliario y tenemos la suerte de haber formado un gran equipo de personas y profesionales. Ponemos mucho empeño y utilizamos la transparencia para que las cosas salgan bien, lo primero para nosotros son las personas, por eso queremos conocerte. Porque en cada compra, venta o alquiler, PENSAMOS EN TI. VETUCA es tu consultora inmobiliaria para la venta y alquiler rápido y seguro. Especialistas en las mejores zonas de Madrid, cubriendo todas las necesidades inmobiliarias, tasaciones inmobiliarias gratuitas valor de mercado. VENDEMOS TU CASA. No dudes en llamarnos, estamos a tu disposición. "". "". "". "".",True,good,False,11066.0,True,False,True,False,[],False,False,1350000.0,€,,,,,,flat,,"Palacio, Madrid",Piso en calle de San Nicolás,,1,True,Centro,Palacio,True,
108884008,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/da/df/1358229306.webp,31,335000.0,flat,sale,57.0,2,1,travesía del Ferrocarril,Madrid,Pozuelo de Alarcón,es,40.4480564,-3.7990896,False,https://www.idealista.com/inmueble/108884008/,"NO SOLO COMPRAS UN PISO EN POZUELO, COMPRAS CALIDAD DE VIDA. Los primeros días, hubo algo que les resultó extraño. Pero luego te cuento por qué. Antes déjame que te hable de lo que compras, porque no solo compras un piso en Pozuelo. Tu coche es una extremidad más de tu cuerpo, hasta tal punto de que si ves un rayón en la carrocería, lo sientes en tu propia piel. Lo utilizas para todo.  Para ir al trabajo coleccionando atascos, para ir al médico, hasta para comprar el pan... Así vivían ellos.  Con dos coches.  Cada uno trabajando en una punta diferente de Madrid. En su antiguo barrio, la estación más cercana estaba a más de 2 kilómetros. Pero aquí, en cuanto se instalaron, todo cambió. La estación de tren está justo al lado. A dos pasos. Y eso lo cambió todo. Cambiar atascos por agilidad. Agobios por tranquilidad.  Llegar a la oficina relajados, por levantarse una hora más tarde, sin prisas. A las dos semanas de vivir aquí, vendieron uno de los coches. Incluso se plantearon vender el segundo, pero decidieron dejarlo para escapadas y vacaciones. Durante esos trayectos en tren recuperaron algo que habían perdido: tiempo para leer. Para pensar. Para volver a sí mismos. El estrés dejó de ser un problema.  Cambiaron tiempo embotellados en el tráfico por calidad de vida.  Y eso, amigo, no está pagado (o sí). Este piso tiene 54 m² útiles mejor aprovechados que muchos pisos de 70 m² con una mala distribución. Dos habitaciones (sí, dos, porque una nunca es suficiente). Un baño completo. Un salón con salida a una terraza donde desayunar viendo cómo empieza el día. Y un balcón en el dormitorio principal que te recuerda cada mañana que estás en un sitio donde se respira otro ritmo. El edificio tiene ascensor.  El piso está en una primera planta. Y aunque no tiene aire acondicionado, su orientación sureste y suroeste, y los muros de 1961, lo hacen más fresco que muchas viviendas nuevas que se recalientan con la primera hora de sol. La calefacción es individual de gas natural. Control total. ¿Comunidad? 52 € al mes. ¿IBI? 160 € al año. ¿Trastero? También incluido. Vive eligiendo calidad de vida. ¿El precio es negociable? No estás pagando solo por ladrillos. Estás invirtiendo en vivir, donde otros solo sueñan con conseguirlo. Abstenerse buscachollos, pierdetiempos e inversores somnolientos del €/m². ¿Y qué fue eso que les resultó tan extraño al mudarse? Que no echaban de menos el coche. Ni los atascos. Ni el estrés. Aquí todo estaba al alcance.  Todo era más fácil.  Más humano. Hay muchas personas buscando esta calidad de vida. Y sabes que no es fácil encontrarla. Si buscas calidad de vida, no lo dejes pasar. Porque los que buscan lo mismo, ya están llamando.",False,good,False,5877.0,False,False,False,False,[],False,False,335000.0,€,,,,,,flat,,"Zona Estación, Pozuelo de Alarcón",Piso en travesía del Ferrocarril,Noval - Pozuelo,1,True,Zona Estación,Zona Estación,True,
