propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108159075,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/6b/2e/1335624227.webp,RP192025137466,5,6,369000.0,flat,sale,150.0,True,3,2,Barrio Parque Lisboa - La Paz,Madrid,Alcorcón,Parque Lisboa - La Paz,es,Parque Lisboa - La Paz,40.3482002,-3.8156096,False,https://www.idealista.com/inmueble/108159075/,"********************Se vende la NUDA PROPIEDAD****************** de esta vivienda situada en una de las mejores urbanizaciones de Alcorcón. La actual propietaria, señora de 80 años, conservará el derecho de uso y disfrute de la propiedad hasta su fallecimiento.  LAS FOTOGRAGIAS PODRÁN SER VISUALIZADAS EN NUESTRA OFICINA BAJO CITA PREVIA.  Descripción del inmueble: Presentamos esta luminosa y amplia vivienda, con doble orientación, en sexta planta, con 150 m² construidos, que cuenta con tres amplios dormitorios (antes 4), uno de ellos con baño en suite, salón comedor independiente, cocina office y un baño completo. El edificio dispone de ascensor, conserje 24h, trastero, piscina y pista de tenis. Se encuentra en una zona tranquila, cerca de pequeños y grandes comercios, colegios e institutos, centro de salud, banco, farmacia. Puerta del sur L10, L12 a menos de 200 metros, y paradas de autobús directos a Madrid. GASTOS DE FORMALIZACIÓN: Abonados en su totalidad por el comprador. Los gastos generados en la compraventa (Impuesto de Transmisiones Patrimoniales, notario y registro). A excepción del Impuesto de Plusvalía Municipal, que será abonado por el vendedor. GASTOS DE MANTENIMIENTO: Una vez formalizada la operación ante notario, los gastos de la vivienda se distribuirán de la siguiente manera: 1. El Impuesto de Bienes Inmuebles (IBI), las derramas extraordinarias y el seguro de continente serán asumidos POR LA PARTE COMPRADORA. 2. La cuota ordinaria de la comunidad, el seguro de contenido, la tasa de residuos urbanos y los suministros (luz, agua, etc. ); individualizados o no, serán asumidos POR LA PARTE VENDEDORA.  Redpiso ""tu hogar, nuestro compromiso"". El precio no incluye el Impuesto de Transmisiones Patrimoniales (max. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni el 3% más IVA (21%) (con un mínimo de 4.000€) sobre el precio final del inmueble equivalente a los honorarios del comprador por la intermediación inmobiliaria, ni los gastos notariales y/o registrales (según el caso).",False,good,False,True,2460.0,False,False,False,False,[],False,False,369000.0,€,flat,"Parque Lisboa - La Paz, Alcorcón",Piso,Destacado,,,,,,,
108255799,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/c7/1d/1338635337.webp,RP08201841963,9,bj,158500.0,flat,sale,70.0,False,2,2,Barrio Palomeras Bajas,Madrid,Madrid,Puente de Vallecas,es,Palomeras Bajas,40.3893003,-3.6562643,False,https://www.idealista.com/inmueble/108255799/,"Vivienda tipo casa baja. La misma consta de 2 dormitorios, salón, cocina, buhardilla y 2 baños. La vivienda esta completamente para reformar. Ubicado cercano a metro buenos aire y varias lineas de autobus. *Este anuncio no es vinculante, puede contener errores. **Es importante tener en cuenta que el precio de compra no incluye el impuesto de transmisiones patrimoniales (máximo 6% sobre el precio de venta o el valor del inmueble que marque la Comunidad de Madrid). Tampoco incluye el 3% más IVA (21%) sobre el precio final del inmueble, equivalente a los honorarios del comprador por la intermediación inmobiliaria (con un mínimo de 5.000€ + IVA), ni los gastos notariales y/o registrales, según el caso.",False,renew,False,False,2264.0,False,False,False,False,[],False,False,158500.0,€,flat,"Palomeras Bajas, Madrid",Piso,Destacado,,,,,,,
108592054,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/da/d6/1349379348.webp,RP202025139389,12,2,167500.0,flat,sale,52.0,False,2,1,Barrio Casco Histórico de Vallecas,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3755754,-3.6206177,False,https://www.idealista.com/inmueble/108592054/,"REDPISO CONGOSTO VENDE PISO DE 2 DORMITORIOS! ¡No dejes pasar esta increíble oportunidad! Características del inmueble: - Dos dormitorios independientes ideales para el descanso y confort. – Salón independiente, para momentos de ocio y reuniones familiares. - Baño completo. Cocina equipada, lista para que preparar las mejores recetas. Ubicación y comodidades: Disfruta de la tranquilidad y conveniencia de estar cerca de todo lo que necesitas: comercios, supermercados, colegios, centro de salud y cafeterías, ¡todo a tu alcance! Además, las excelentes comunicaciones hacen que moverse por la ciudad sea muy fácil. Con las estaciones de metro Congosto y Villa de Vallecas (línea 1) a pocos pasos y las líneas de autobús 142, 54 y 103 cercanas, estar conectado nunca fue tan sencillo. ¡No esperes más! Llama ahora para concertar tu cita y visita sin compromiso. Y lo mejor de todo, te ofrecemos financiación de hasta el 100% del valor de compra gracias a nuestro Departamento Financiero Dcredit. ¡Te esperamos!",False,good,False,False,3221.0,False,False,False,False,[],False,False,167500.0,€,flat,"Casco Histórico de Vallecas, Madrid",Piso,Destacado,,,,,,,
107819376,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/32/d4/1324755443.webp,RP422025136408,9,4,188500.0,flat,sale,62.0,True,2,1,Barrio Puerta Bonita,Madrid,Madrid,Carabanchel,es,Puerta Bonita,40.3833281,-3.7302634,False,https://www.idealista.com/inmueble/107819376/,"REDPISO PUERTA BONITA vende vivienda de 2 dormitorios (antes 3, lo que aporta más amplitud) está listo para entrar a vivir. Situado en la cuarta planta de un edificio sin ascensor, cuenta con un salón luminoso, una cocina con salida a un tendedero cubierto, y un baño completo. Además, dispone de un hall recibidor y pasillo que conecta todas las estancias. Con suelo de tarima flotante, calefacción de gas natural y aire acondicionado, ofrece un ambiente cálido y confortable durante todo el año. EXCELENTE UBICACIÓN a 3 minutos del metro Abrantes (linea 11) y muy cerca del Parque de la Emperatriz de Austria, la propiedad disfruta de una excelente conectividad y un entorno tranquilo y verde. , una zona privilegiada y muy bien comunicada, y con la ruta de los buses 47, 108, 118 de la EMT y 484 interurbanos. La zona dispone de colegios, centro de salud y diferentes comercios como: oficinas bancarias, supermercados, farmacias, peluquerías, cafeterías, etc. Comunícate con nosotros y solicita una visita. - Redpiso, tu hogar nuestro compromiso.",False,good,False,False,3040.0,False,False,False,False,[],False,False,188500.0,€,flat,"Puerta Bonita, Madrid",Piso,Destacado,,,,,,,
106747860,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7d/38/cd/1292797077.webp,RP1942024132649,8,,345000.0,chalet,sale,164.0,,3,1,Casa Amarilla,Madrid,Galapagar,Casa Amarilla,es,,40.5792402,-3.999951,False,https://www.idealista.com/inmueble/106747860/,"REDPISO Galapagar les ofrece en exclusiva esta casa independiente de piedra sobre una parcela de 620m2. El inmueble cuenta con una distribución en planta en la que encontramos un salón comedor muy luminoso con chimenea, cocina, 3 dormitorios y un baño completo con bañera. CALIDADES: suelos de gres, ventanas de hierro, paredes de gotele y carpintería interior de madera. Calefacción por gasoleo. La vivienda se encuentra en una zona muy cercana a zonas comerciales, centro de salud, colegios y zonas de ocio. Excelentes comunicaciones, tanto por transporte público como por carretera. Visítela sin compromiso. FINANCIACION hasta el 100%. Contáctenos en nuestra oficina de la C/ Casa veleta 1, 28260-Galapagar.",False,renew,False,,2104.0,False,False,False,False,[],False,False,345000.0,€,chalet,"Casa Amarilla, Galapagar",Casa independiente,Destacado,True,True,independantHouse,,,,
108134471,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/0e/e7/1334896443.webp,RP202025137442,14,1,167500.0,flat,sale,54.0,True,2,1,Barrio Casco Histórico de Vallecas,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3741515,-3.6212251,False,https://www.idealista.com/inmueble/108134471/,"REDPISO CONGOSTO VENDE PISO DE 2 DORMITORIOS! ¡No dejes pasar esta increíble oportunidad! Te presentamos una espectacular vivienda. Características del inmueble: - Dos dormitorios independientes ideales para el descanso y confort. - Salón amplio para momentos de ocio y reuniones familiares. - Baño completo – Cocina amplia, lista para que preparar las mejores recetas. Detalles adicionales: - Ubicación y comodidades: Disfruta de la tranquilidad y conveniencia de estar cerca de todo lo que necesitas: comercios, supermercados, colegios, centro de salud y cafeterías, ¡todo a tu alcance! Además, las excelentes comunicaciones hacen que moverse por la ciudad sea muy fácil. Con las estaciones de metro Congosto y Villa de Vallecas (línea 1) a pocos pasos, la estación de Renfe Sierra de Guadalupe y las líneas de autobús 142, 54 y 103 cercanas, estar conectado nunca fue tan sencillo. ¡No esperes más! Llama ahora para concertar tu cita y visita sin compromiso. Y lo mejor de todo, te ofrecemos financiación de hasta el 100% del valor de compra gracias a nuestro Departamento Financiero Dcredit. Nota: El precio no incluye el Impuesto de Transmisiones Patrimoniales, honorarios del comprador por intermediación inmobiliaria, gastos notariales y/o registrales (según el caso). ¡Te esperamos!",False,good,False,False,3102.0,False,False,False,False,[],False,False,167500.0,€,flat,"Casco Histórico de Vallecas, Madrid",Piso,Destacado,,,,,,,
108796097,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/2c/9c/1355380040.webp,,1,3,890000.0,flat,sale,75.0,True,2,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4247624,-3.6699974,False,https://www.idealista.com/inmueble/108796097/,"ÉXITO HOMES by Esriv presenta en exclusiva esta vivienda reformada con terraza MUY LUMINOSA en el corazón del Barrio de Salamanca. Con 75 m², esta propiedad ha sido totalmente renovada con materiales de alta calidad y se entrega amueblada. Su diseño moderno y funcional aprovecha al máximo cada espacio, con un salón luminoso que se abre a varios balcones y una terraza privada ideal para disfrutar al aire libre. Cuenta con dos dormitorios dobles, dos baños completos (uno en suite con vestidor) y una cocina independiente totalmente equipada con electrodomésticos de gama alta. Grandes ventanales y mucha luz natural Dos balcones + terraza privada Aire acondicionado en todas las estancias Calefacción central Edificio con ascensor Situado a pocos pasos de calles como Serrano y Goya, rodeado de tiendas, restaurantes y muy bien comunicado por metro y autobús. Ideal para vivir o invertir. ¡Contáctanos y solicita tu visita!",False,good,False,True,11867.0,False,False,False,False,[],False,False,890000.0,€,flat,"Goya, Madrid",Piso,Destacado,,,,,,,
108427835,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/22/26/1344568857.webp,RP452025138665,8,3,155000.0,studio,sale,33.0,False,0,1,avenida de la Albufera,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.3986232,-3.6660373,False,https://www.idealista.com/inmueble/108427835/,"REDPISO VENDE EN EXCLUSIVA, estudio con dormitorio-salón, cocina, baño, en plena Avenida de la Albufera con todos los servicios necesarios, transporte hacia todo Madrid, a sólo 15 minutos de Atocha y estación de autobuses Méndez Álvaro, finca con ascensor, el estudio se encuentra para entrar a vivir. Disponibilidad inmediata, puede solicitar una cita para verlo o contactar por teléfono para resolver sus dudas.",False,good,False,True,4697.0,False,False,False,False,[],False,False,155000.0,€,flat,"Numancia, Madrid",Estudio en avenida de la Albufera,Destacado,,,studio,,,,
108706960,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/3d/b8/1352731113.webp,PD20,13,5,990000.0,flat,sale,93.0,True,3,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4213499,-3.6731414,False,https://www.idealista.com/inmueble/108706960/,"Espectacular inmueble en quinta planta exterior Luminoso piso con amplio salón-comedor y cocina integrada, ideal para disfrutar de un espacio moderno y funcional. Dispone de tres dormitorios dobles de buen tamaño, todos ellos con armarios empotrados. Cuenta con dos baños completos, uno de ellos en suite en el dormitorio principal. Incluye una plaza de garaje en la misma finca.",True,good,False,True,10645.0,False,False,False,False,[],False,False,990000.0,€,flat,"Goya, Madrid",Piso,Destacado,True,True,,,,,
107041836,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/52/d6/1301217526.webp,RP2892025133840,3,4,168500.0,flat,sale,70.0,True,3,1,Barrio Puerta Bonita,Madrid,Madrid,Carabanchel,es,Puerta Bonita,40.3755601,-3.7384049,False,https://www.idealista.com/inmueble/107041836/,"REDPIDO PUERTA BONITA Presentamos este cómodo y práctico piso de 70 m², en una excelente ubicación, ideal para inversores que busquen rentabilidad inmediata o para aquellos que desean una primera vivienda con acceso a todos los servicios. El piso está alquilado con contrato vigente hasta octubre, lo que te ofrece una oportunidad única para inversores que busquen obtener ingresos de manera inmediata gracias al contrato de alquiler. Distribución: 3 habitaciones, amplio salón con acceso a una terraza acristalada, perfecta para crear un espacio extra para tu hogar. La vivienda está lista para entrar a vivir. Cocina independiente y funcional, 1 baño completo que ofrece comodidad y opciones de mejora. Dispone de gas natural y aire acondicionado en el salón. El piso se encuentra ubicado en un entorno tranquilo y rodeado de todo tipo de comercios y servicios a menos de 5 minutos (supermercados, comisaría de policía, centro cultural, colegios, bancos, farmacias, centro de salud) Así como una excelente comunicación con el transporte público (autobuses: 34, 35, 108, 118, 108, 47, 121, 131) Metro San Francisco, línea 11. No dude en solicitar una visita con nuestros asesores. Recuerde que REDPISO, cuenta con un departamento financiero que le ayudará a conseguir su hipoteca en las mejores condiciones del mercado. - REDPISO, tu hogar nuestro compromiso -.",False,good,False,False,2407.0,False,False,False,False,[],False,False,168500.0,€,flat,"Puerta Bonita, Madrid",Piso,Destacado,,,,,,,
