propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
106847870,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/be/ec/1295751760.webp,9205##9205_0043_PE0001,1,165000.0,flat,sale,83.0,2,1,"calle de Ramón Serrano, 26 -38",Madrid,Madrid,Carabanchel,es,40.3845434,-3.7459155,True,https://www.idealista.com/inmueble/106847870/,"Oportunidad de inversión: pendiente de Posesión. Piso Exterior en Carabanchel, situado en un entorno dotado de todo tipo de comercios, colegios y servicios asistenciales. A sólo 5 minutos del metro, además de varias líneas de autobús. Se encuentra en planta semisótano y consta de salón, dos dormitorios, cocina independiente, lavadero y patio mancomunado. Una vivienda para actualizar a su gusto.",False,good,False,1988.0,False,False,False,False,[],False,False,165000.0,€,flat,"Vista Alegre, Madrid","Piso en calle de Ramón Serrano, 26 -38",,,Vista Alegre,,,,,,,
108175526,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/84/c2/1336115786.webp,7407,12,215000.0,flat,sale,82.0,3,2,Noroeste,Madrid,Torrejón de Ardoz,Noroeste,es,40.4606731,-3.4867359,False,https://www.idealista.com/inmueble/108175526/,"ALTACASA gestiona de forma exclusiva vivienda de 82 m2, distribuida por hall, salon independiente con cocina americana, dos baños uno de ellos en suite y 3 habitaciones.",False,good,False,2622.0,False,False,False,False,[],False,False,215000.0,€,flat,"Noroeste, Torrejón de Ardoz",Piso,1,False,,False,,,,235000.0,20000.0,9.0
107746131,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/73/56/1322062423.webp,,12,7600000.0,flat,sale,680.0,6,6,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,40.4249543,-3.6835808,False,https://www.idealista.com/inmueble/107746131/,"Propiedad muy exclusiva en el corazón de Recoletos Ubicada en un edificio clásico y señorial con muy pocos vecinos, esta impresionante vivienda representa una oportunidad única para quienes buscan exclusividad y distinción en una de las zonas más prestigiosas de Madrid. La propiedad, que ocupa una planta completa, destaca por su estructura en plano rectangular, permitiendo una distribución fluida y funcional de los espacios. Actualmente, cuenta con seis habitaciones y techos de más de 3,5 metros de altura, lo que aporta una amplitud y elegancia incomparables. El inmueble se encuentra en un excelente estado de conservación, y el edificio, cuidadosamente mantenido, conserva sus vidrieras originales de la época, añadiendo un toque de historia y carácter. Además, goza de un frente exterior espectacular, con grandes ventanales que bañan los espacios de luz natural. Como valor añadido, la vivienda dispone de una amplia plaza de garaje, un auténtico lujo en esta zona. El edificio cuenta con un portero uniformado, garantizando seguridad y comodidad a sus residentes. Una propiedad excepcional para quienes buscan exclusividad, privacidad y una ubicación inigualable en Recoletos.",False,renew,False,11176.0,False,False,False,False,[],False,False,7600000.0,€,flat,"Recoletos, Madrid",Piso,3,True,Recoletos,True,True,True,,,,
103222581,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/8f/9e/1182483443.webp,1738,14,249800.0,chalet,sale,180.0,3,1,Valdetorres de Jarama,Madrid,Valdetorres de Jarama,,es,40.6962316,-3.5134954,False,https://www.idealista.com/inmueble/103222581/,Visita hoy! rogel propiedades! vende! CASA PARA REFORMAR! GRAN PARCELA! ibi 444€ para mas información contactar con el anunciante.,True,renew,False,1388.0,False,False,False,False,[],False,False,249800.0,€,chalet,Valdetorres de Jarama,Casa independiente,,,,,True,True,independantHouse,,,
108175199,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/69/96/1336106373.webp,C000009,19,350000.0,chalet,sale,171.0,3,1,Camarma de Esteruelas,Madrid,Camarma de Esteruelas,,es,40.5981018,-3.3670663,False,https://www.idealista.com/inmueble/108175199/,"¡DISTRITO 82 VENDE! ¡Descubre este encantador chalet en una sola planta con gran parcela y piscina, ubicado en la tranquila urbanización El Practicante, en Camarma de Esteruelas! Te presentamos esta fantástica vivienda unifamiliar de una planta con una parcela de aproximadamente 1.600 m², ideal para quienes buscan amplitud, privacidad y conexión con la naturaleza. Dispone de una bodega, chimenea de leña, piscina privada y amplio espacio exterior para disfrutar con familia y amigos. Características principales: Chalet de una sola planta Parcela de 1.649 m² con jardín y piscina Chimenea de leña en salón Bodega subterránea Sin calefacción (posibilidad de instalar sistema de aerotermia, radiadores eléctricos o caldera) Zona tranquila y con gran privacidad Ubicación y servicios: Situado en la urbanización El Practicante de Camarma de Esteruelas (Madrid), un entorno residencial muy demandado por su cercanía a Alcalá de Henares y su excelente calidad de vida. Comunicaciones: Acceso rápido en coche a través de la M-119, M-121 y M-113 A tan solo 10 minutos de Alcalá de Henares y 30 minutos del centro de Madrid Líneas de autobús interurbano (línea 256 y 261) con conexión directa a Alcalá de Henares, Torrejón de Ardoz y Madrid (Avenida de América) Cercanías Renfe en Alcalá de Henares (C2 y C7) a escasos kilómetros Servicios cercanos: Colegios públicos y concertados en Camarma (CEIP San Pedro Apóstol) y en Alcalá (Colegio Alborada, Gredos San Diego, entre otros) Centro de Salud Camarma de Esteruelas y hospitales a pocos minutos en Alcalá (Hospital Universitario Príncipe de Asturias) Supermercados (Ahorramás, Carrefour Express) Instalaciones deportivas municipales y parques Farmacia, bancos, comercios y restaurantes en el centro urbano Una oportunidad ideal para vivir rodeado de naturaleza sin renunciar a los servicios de una gran ciudad. ¡No dejes pasar esta oportunidad! Contacta con nosotros para más información o para concertar una visita. En el precio de venta no están incluidos los gastos de compra (ITP, Notaría, Registro, Gestoría, Intermediación Inmobiliaría y Financiera si se diera el caso. ).",False,good,False,2047.0,False,False,False,False,[],False,False,350000.0,€,chalet,Camarma de Esteruelas,Casa independiente,,,,,,,independantHouse,,,
107540991,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/98/59/1315724421.webp,,5,1575000.0,flat,sale,200.0,3,3,paseo de la Castellana,Madrid,Madrid,Tetuán,es,40.4619255,-3.6922233,False,https://www.idealista.com/inmueble/107540991/,"Piso con reforma integral reciente, en exclusivo edificio señorial, con materiales premium, se entrega memoria de calidades y factura. Consta de 3 dormitorios en suite, zona de servicio/lavandería, amplio salón, terraza, garaje y trastero.",False,good,False,7875.0,False,False,False,False,[],False,False,1575000.0,€,flat,"Cuzco-Castillejos, Madrid",Piso en paseo de la Castellana,5,True,Cuzco-Castillejos,True,True,True,,,,
108391832,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/29/9f/2c/1342738800.webp,1778,12,165000.0,flat,sale,71.0,3,2,calle de Abdón Bordoy,Madrid,Aranjuez,Nuevo Aranjuez-Ciudad de las Artes,es,40.0300967,-3.5943293,False,https://www.idealista.com/inmueble/108391832/,"INMUEBLES LA GLORIETA pone a su disposición vivienda ubicada en la zona del Nuevo Aranjuez, consta de 71m distribuidos en 3 dormitorios, 2 baños completos (ducha y bañera), salón amplio, cocina independiente equipada, calefacción de gas natural, aparatos de aire acondicionado, exterior. La vivienda se encuentra cerca de comercios, supermercados, parques infantiles y farmacias! PIDA INFORMACIÓN SIN COMPROMISO!",False,good,False,2324.0,False,False,False,False,[],False,False,165000.0,€,flat,"Nuevo Aranjuez-Ciudad de las Artes, Aranjuez",Piso en calle de Abdón Bordoy,2,True,,False,,,,,,
108508872,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/88/63/1347008346.webp,1629,5,735000.0,flat,sale,126.0,3,1,Barrio Trafalgar,Madrid,Madrid,Chamberí,es,40.4303996,-3.700905,False,https://www.idealista.com/inmueble/108508872/,"¡pendiente de reportaje fotográfico! magnífica vivienda ubicada en madrid, en la zona de chamberi, junto a la plaza de olavide y la calle luchana. Vivienda exterior con 5 balcones a la calle, para reforma total, ideal para dejar un piso distribuido en salón comedor, cocina, 3 dormitorios dobles, dos cuartos de baño. Se encuentra en una finca con ascensor.",False,renew,False,5833.0,False,False,False,False,[],False,False,735000.0,€,flat,"Trafalgar, Madrid",Piso,en,True,Trafalgar,True,,,,,,
107778984,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/be/00/1323528153.webp,1607,9,1880000.0,flat,sale,108.0,2,2,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,40.4277779,-3.6812113,False,https://www.idealista.com/inmueble/107778984/,"Ubicado en una de las zonas más exclusivas de Madrid, en el corazón de Recoletos, este magnífico piso de 108 m² destaca por su amplitud, diseño moderno y excelente luminosidad, superando incluso a muchas viviendas exteriores. Dispone de dos habitaciones y dos baños, con una distribución optimizada para aprovechar al máximo el espacio. Su orientación interior garantiza tranquilidad absoluta sin renunciar a la luz natural, que inunda la vivienda gracias a su cuidada disposición.   Totalmente amueblado, este piso combina confort y estilo. Está equipado con aire acondicionado y calefacción individual, lo que asegura el máximo bienestar en cualquier época del año. El edificio cuenta con ascensor y está situado en una ubicación inmejorable, rodeado de comercios, restaurantes y excelentes conexiones de transporte. Una oportunidad única para vivir en una de las zonas más prestigiosas de Madrid con todas las comodidades.",False,good,False,17407.0,False,False,False,False,[],False,False,1880000.0,€,flat,"Recoletos, Madrid",Piso,3,False,Recoletos,True,,,,,,
107679144,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/6f/ba/1320734619.webp,1590,7,1580000.0,flat,sale,115.0,3,3,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,40.4260265,-3.6780189,False,https://www.idealista.com/inmueble/107679144/,"En el barrio de Salamanca, en la zona de Goya, se encuentra este exclusivo piso de 115 m², completamente reformado y a estrenar. Con un diseño moderno y funcional, ofrece estancias amplias y luminosas, con acabados de alta calidad. La vivienda cuenta con tres habitaciones y tres baños. Se entrega totalmente amueblada, con una cuidada selección de mobiliario y detalles que aportan elegancia y confort. Dispone de calefacción individual y aire acondicionado, asegurando el máximo bienestar en cualquier época del año. Ubicada en una finca con ascensor, esta propiedad es una excelente opción para quienes buscan un hogar sofisticado y listo para entrar a vivir en una de las mejores zonas de Madrid.",False,good,False,13739.0,False,False,False,False,[],False,False,1580000.0,€,flat,"Goya, Madrid",Piso,2,True,Goya,True,,,,,,
108615870,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/90/6c/1350039006.webp,60777515,6,315000.0,flat,sale,93.0,3,2,calle Oriente,Madrid,Majadahonda,Casco Antiguo,es,40.4719419,-3.8758014,False,https://www.idealista.com/inmueble/108615870/,"piso ubicado en la zona de Majadahonda. Este inmueble cuenta con tres luminosos dormitorios y dos baños, . Su ubicación ofrece fácil acceso a servicios esenciales como colegios, supermercados y transporte público, así como amplias zonas verdes. 93 metros construidos con tres dormitorios y dos baños.",False,renew,False,3387.0,False,False,False,False,[],False,False,315000.0,€,flat,"Casco Antiguo, Majadahonda",Piso en calle Oriente,2,True,,False,,,,,,
108435467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/80/40/1344789317.webp,,2,105000.0,flat,sale,80.0,2,2,"calle Alfonso X el Sabio, 65",Madrid,Parla,Las Américas,es,40.2289049,-3.7671015,True,https://www.idealista.com/inmueble/108435467/,¡GRAN OPORTUNIDAD DE INVERSIÓN! Piso actualmente ocupado. Ideal para inversores con experiencia en procesos de desocupación. No es posible realizar visitas. Precio ajustado a la situación del inmueble.,False,good,False,1313.0,False,False,False,False,[],False,False,105000.0,€,flat,"Las Américas, Parla","Piso en calle Alfonso x el Sabio, 65",2,True,,False,,,,,,
108008285,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/4f/0d/1331005497.webp,,4,87000.0,flat,sale,49.0,2,1,calle de Versalles,Madrid,Aranjuez,La Montaña-El Cortijo,es,40.0578957,-3.5945966,False,https://www.idealista.com/inmueble/108008285/,Local reformado con menos de un año de antigüedad a pie de calle.,False,good,False,1776.0,False,False,False,False,[],False,False,87000.0,€,flat,"La Montaña-El Cortijo, Aranjuez",Piso en calle de Versalles,bj,True,,True,,,,,,
108301994,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/21/7c/1340048471.webp,9212##9212_0126_PE0001,1,200000.0,flat,sale,77.0,2,1,"calle de Arlanza, 2",Madrid,Madrid,Carabanchel,es,40.3868835,-3.7164815,True,https://www.idealista.com/inmueble/108301994/,"CESIÓN DE REMATE Altamira by doValue comercializa este piso en Madrid. Se trata de una Cesión de Remate. Se trata de una vivienda de 77m2 de superficie construida distribuidos en 2 dormitorios y un baño. Ubicado en el barrio de Usera, cerca de comercios, servicios y con excelentes conexiones de transporte público. En sus alrededores existen variedad de zonas verdes, infantiles y pistas deportivas.",False,good,False,2597.0,False,False,False,False,[],False,False,200000.0,€,flat,"Comillas, Madrid","Piso en calle de Arlanza, 2",,,Comillas,,,,,,,
108473595,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/b4/8e/1345981059.webp,DW-BAT-001-014,5,195000.0,duplex,sale,57.0,2,1,calle de Francisca Calonge,Madrid,Madrid,Tetuán,es,40.4704155,-3.7034807,False,https://www.idealista.com/inmueble/108473595/,"¡Atención inversores! Se vende vivienda duplex ático ocupado sin posesión NO SE PUEDE VISITAR - PROCEDIMIENTO JUDICIAL AVANZADO.  Con 57 metros construidos, esta propiedad es una oportunidad única para aquellos que buscan invertir en el mercado inmobiliario. Aunque no se puede visitar, podemos asegurar que esta vivienda cuenta con varias habitaciones, servicios, dos terrazas y trastero. ¡No dejes pasar esta oportunidad!",False,renew,False,3421.0,False,False,False,False,[],False,False,195000.0,€,flat,"Valdeacederas, Madrid",Dúplex en calle de Francisca Calonge,3,True,Valdeacederas,False,,,duplex,,,
