propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108616155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/9d/bb/1350044458.webp,MAD02-00451,20,5,188000.0,flat,sale,72.0,True,3,1,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,40.4774665,-3.3779284,False,https://www.idealista.com/inmueble/108616155/,"Ocasion Casa pone a la venta en exclusiva esta piso listo para entrar a vivir en la zona de Reyes Católicos. Con 67 m² construidos, distribuidos en tres dormitorios, un baño, salón, cocina equipada. La cocina cuenta con muebles altos y bajos y electrodomésticos básicos. Ubicación inmejorable, a solo 10 minutos del centro de Alcalá de Henares, ciudad Patrimonio de la Humanidad, con todos los servicios al alcance: colegios, supermercados, transporte público, parques, zonas arboladas y áreas infantiles, centro médico, y todos los servicios al alcance. Ideal para quienes buscan comodidad y buena conexión con todo lo necesario para el día a día. No dejes pasar esta oportunidad y ven a visitarlo. Te encantará Los metros de la vivienda están contrastados según catastro/registro. Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. ¿Tienes que vender tu casa para comprar esta? llámame y te damos una valoración gratuita. Ven a verlo sin ningún compromiso, te ayudamos con la financiación gracias a nuestro departamento financiero. En el precio de venta no está, incluidos los impuestos legales ni gastos de escrituración.",False,good,False,True,2611.0,False,False,False,False,[],False,False,188000.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,,,,,,,,
108617931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/91/c4/1350091984.webp,FHOG-3058,5,,429000.0,chalet,sale,195.0,,5,3,calle de los Eucaliptos,Madrid,Rivas-Vaciamadrid,Rivas Urbanizaciones,es,40.3615641,-3.529348,False,https://www.idealista.com/inmueble/108617931/,"INMUEBLE OCUPADO - SIN POSIBILIDAD DE VISITA Se trata de una Vivienda adosada de tres alturas sobre rasante, ubicado en la calle de Los Eucaliptos, en el municipio de Rivas Vaciamadrid, en la provincia Madrid. La vivienda tiene la siguiente distribución un hall de entrada, que da acceso a una cocina independiente, y un pasillo que distribuye a un salón comedor, varias estancias que se considerarían dormitorios, y un cuarto de baño completo con bañera. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,,2200.0,False,False,False,False,[],False,False,429000.0,€,chalet,"Rivas Urbanizaciones, Rivas-Vaciamadrid",Chalet adosado en calle de los Eucaliptos,terracedHouse,,,,,,,
107930176,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/cd/cb/1342131411.webp,7276,21,3,305000.0,flat,sale,86.0,True,2,1,Universidad,Madrid,Getafe,Universidad,es,40.315071,-3.729355,False,https://www.idealista.com/inmueble/107930176/,"   OH! KEY SERVICIOS INMOBILIARIOS, VENDE encantador piso en uno de los barrios más solicitados de la ciudad. Estrenado en 1994, el edificio combina una arquitectura moderna con la comodidad de sus instalaciones, asegurando una vida placentera y funcional.  Situado en la planta tercera, el inmueble cuenta con un área útil de 69 metros cuadrados. Los espacios están diseñados para maximizar cada rincón, ofreciendo una distribución armoniosa que se adapta perfectamente a sus necesidades cotidianas. Este piso tiene un total de 86 metros construidos, lo que habla de amplias dimensiones y una estructura sólida.  En su interior, encontrarán dos habitaciones, ideales para establecer un espacio personal cómodo y acogedor. Estas, bien iluminadas y ventiladas, se presentan como un refugio perfecto tras un día atareado, ofreciéndole descanso y privacidad. El diseño interior ha sido pensado para ofrecer funcionalidad y estilo, características que le permitirán personalizar su hogar a su gusto.  Dispone de un amplio salón, que se conecta a una práctica cocina equipada. Este espacio es ideal para reuniones familiares o momentos de relajación. Una atmósfera cálida inunda el hogar, gracias a sus grandes ventanas que proveen de luz natural y contribuyen a un ambiente sereno y apacible.  El edificio dispone de un ascensor, garantizando la accesibilidad para personas de todas las edades y simplificando la vida diaria. Este añadido es solo uno de los muchos aspectos pensados para asegurar su confort. La construcción, en perfecto estado de conservación, ha sido mantenida con esmero, ofreciendo una sensación de seguridad y tranquilidad.  La localización estratégica de este piso es sin duda uno de sus mayores atractivos. La proximidad a la Universidad de Getafe lo convierte en una excelente opción tanto para estudiantes como para profesionales que buscan cercanía a su lugar de trabajo o estudio. Además, la zona está bien conectada mediante transporte público, permitiendo un fácil acceso al centro de Getafe y a Madrid.  Esta propiedad representa una excelente inversión, no solo por su ubicación privilegiada sino también por el ambiente acogedor que logra ofrecer. Imagine dar el paso hacia una nueva etapa de su vida, en un hogar que satisface sus expectativas de confort, accesibilidad y buen gusto.  Para aquellos que buscan calidad de vida y comodidad en un ambiente tranquilo y bien conectado, esta es la elección perfecta.   Para concertar una visita y descubrir esta maravillosa propiedad puede llamarnos al   y un asesor especialista en la zona le ayudará en todo lo que se precise REF: 7276   .",False,good,False,True,3547.0,False,False,False,False,[],False,False,305000.0,€,flat,"Universidad, Getafe",Piso,,,,,,,,
108568388,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/f8/a1/1348696888.webp,bg29-004,17,bj,420000.0,duplex,sale,55.0,True,2,1,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,40.4111204,-3.6972408,False,https://www.idealista.com/inmueble/108568388/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este espectacular piso totalmente reformado se encuentra a solo dos minutos de la emblemática Puerta del Sol, ideal para disfrutar de la vibrante vida de la ciudad. Con instalaciones y muebles a estrenar, este inmueble ofrece un ambiente moderno y acogedor.  Ubicado en planta baja, cuenta con un encantador patio de uso y disfrute, perfecto para relajarse al aire libre. El piso dispone de 55 m² bien distribuidos, con 2 dormitorios equipados con armarios empotrados, un salón-cocina luminoso y un baño completo. Además, el edificio ha sido completamente rehabilitado y se encuentra en excelente estado, sin derramas pendientes y con una baja cuota de comunidad. La ubicación es inmejorable, a pasos de la Plaza Santa Ana y del Museo Reina Sofía, así como frente al Mercado Antón Martín. No dejes pasar esta oportunidad única de vivir en una de las zonas más emblemáticas de la capital. ¡Ven a verlo y enamórate de tu nuevo hogar! ¡Llama al 607_498_298 (tambien whatsapp.",False,good,False,True,7636.0,False,False,False,False,[],False,False,420000.0,€,flat,"Lavapiés-Embajadores, Madrid",Dúplex,duplex,Lavapiés-Embajadores,,,,,,
106612587,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/9d/4c/1288712565.webp,pozuelo zamora,44,,1790000.0,chalet,sale,692.0,,8,6,Barrio La Cabaña,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,40.4141936,-3.8330455,False,https://www.idealista.com/inmueble/106612587/,"** Grupo Fincasa dispone a la venta de espectacular vivienda en Pozuelo** ¡Descubre el hogar de tus sueños en Pozuelo de Alarcón!  Esta impresionante casa independiente, construida en 2007, ofrece 690 m² de lujo y confort distribuidos en dos plantas más un sótano. Situada en una parcela de 1.200 m², esta vivienda destaca por su diseño arquitectónico meticulosamente estudiado y su orientación sur que garantiza luz natural durante todo el día. Con 8 amplios dormitorios y 6 baños, esta propiedad es perfecta para familias numerosas o aquellos que buscan espacio adicional. La cocina está equipada con una zona independiente de lavado y planchado, ideal para mantener todo en orden. Además, la casa cuenta con un garaje y cuatro trasteros, proporcionando amplio espacio de almacenamiento. Relájate en su piscina cubierta, cuidada al detalle, o disfruta de las vistas desde la terraza y el balcón. Las ventanas de doble acristalamiento aseguran un ambiente tranquilo y eficiente energéticamente. La calefacción de bomba de frío/calor por gas natural garantiza confort en cualquier estación del año. Por último, la comodidad está asegurada con un ascensor que conecta todas las plantas.  No pierdas la oportunidad de vivir en una casa que combina elegancia, funcionalidad y una ubicación privilegiada.  ¡Ven a conocerla y enamórate de tu nuevo hogar!",False,good,False,,2587.0,False,False,False,False,[],False,False,1790000.0,€,chalet,"La Cabaña, Pozuelo de Alarcón",Casa independiente,independantHouse,La Cabaña,True,True,,,,
108556623,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/e4/51/1352638737.webp,,5,3,5150000.0,flat,sale,233.0,True,3,4,calle de Columela,Madrid,Madrid,Barrio de Salamanca,es,40.4195056,-3.6868982,False,https://www.idealista.com/inmueble/108556623/,"Consulting Inmobiliario Esquivel presenta esta elegante vivienda situada en la prestigiosa calle Columela, en el corazón del barrio de Salamanca, una de las zonas más codiciadas de Madrid. Esta propiedad ha sido completamente reformada con un gusto exquisito, combinando diseño contemporáneo, distribución funcional y detalles de calidad en cada rincón. Desde el amplio hall de entrada, equipado con un práctico armario gabanero, se accede a una zona de lavandería discretamente integrada. El corazón de la vivienda es un espectacular espacio diáfano donde se fusionan la moderna cocina americana con isla central, el espacioso comedor y una confortable zona de salón con balcones a la calle. Un ambiente lleno de luz natural, ideal tanto para el día a día como para disfrutar con invitados. En la zona de descanso, encontramos tres dormitorios, todos con baño en suite, garantizando privacidad y comodidad. El dormitorio principal destaca por su zona de vestidor y su balcón exterior, un verdadero refugio urbano de confort y estilo. Una oportunidad excepcional para quienes buscan una propiedad lista para entrar a vivir en una ubicación prime, rodeada de boutiques exclusivas, restaurantes de alta categoría y todos los servicios. No dude en contactarnos para más información. Disponemos de una cuidada selección de inmuebles exclusivos, muchos de ellos no publicados.",True,good,False,True,22103.0,False,False,False,False,[],False,False,5150000.0,€,flat,"Recoletos, Madrid",Piso en calle de Columela,,Recoletos,,,,,,
108644548,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/e4/d1/1350921048.webp,1856,24,2,287000.0,flat,sale,112.0,True,3,2,Guardia Civil - Zona Industrial,Madrid,Valdemoro,Guardia Civil - Zona Industrial,es,40.1955338,-3.6783474,False,https://www.idealista.com/inmueble/108644548/,"¡Te presentamos este espectacular piso en venta, ideal para familias que buscan comodidad y calidad de vida! Con una superficie construida de 112 m² y 100 m² útiles, este inmueble cuenta con 3 amplios dormitorios y 2 baños, proporcionando el espacio perfecto para vivir y disfrutar. Ubicado en la tranquila zona de Valdemoro, este piso, construido en 2002, cuenta con calefacción a gas individual y agua caliente por gas natural, garantizando tu confort en todo momento. La cocina es independiente, perfecta para aquellos que disfrutan de la gastronomía. Además, dispone de una terraza no acristalada donde podrás relajarte y disfrutar del aire libre. La propiedad incluye un garaje, lo que añade un gran valor práctico a tu día a día ¡No pierdas la oportunidad de visitar este hogar que tiene todo lo que necesitas! [IW].",False,good,False,True,2563.0,False,False,False,False,[],False,False,287000.0,€,flat,"Guardia Civil - Zona Industrial, Valdemoro",Piso,,,True,True,,,,
101747265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/e8/40/1218874126.webp,VI-000-020-716-277,13,6,202500.0,flat,sale,79.0,,3,1,Suroeste,Madrid,Móstoles,Suroeste,es,40.3159651,-3.8666183,False,https://www.idealista.com/inmueble/101747265/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 04/2027.  Piso en Móstoles, Madrid. Dispone de una superficie de 79 m² distribuidos en 3 habitaciones con armarios empotrados, un luminoso salón-comedor, cocina amueblada y 1 baño completo con bañera. Situado en el centro de la localidad, cerca de comercios, restaurantes, supermercados, centros educativos, centros de salud, zonas verdes y paradas de autobús. Con acceso a la pradillo y la M-506.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,True,2563.0,True,False,True,False,[],False,False,202500.0,€,flat,"Suroeste, Móstoles",Piso,,,,,212000.0,9500.0,4.0,
108543919,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5c/d2/06/1348041234.webp,,14,2,200000.0,flat,sale,80.0,True,2,1,calle de María Mínguez s/n,Madrid,Cercedilla,,es,40.7403897,-4.0541463,True,https://www.idealista.com/inmueble/108543919/,"*****L-HOME***** PRESENTA PRECIOSO PISO EN EL CENTRO DE CERCEDILLA!  Luminoso piso céntrico con terraza y chimenea francesa – ¡Tu nuevo hogar en el corazón de Cercedilla! Descubre este encantador piso situado en una segunda planta, ideal para quienes buscan comodidad, amplitud y una ubicación privilegiada. La vivienda cuenta con un amplio y luminoso salón, perfecto para disfrutar de momentos en familia o con amigos, con acceso directo a una agradable terraza privada que aporta luz natural durante todo el día. Además, el salón está equipado con una elegante chimenea francesa, que añade calidez y un toque distintivo al ambiente. Dispone de dos habitaciones ESPACIOSAS, ideales tanto para dormitorios como para adaptarlas a despacho o zona de teletrabajo. El piso cuenta con un baño completo y se encuentra en una zona muy céntrica, con todos los servicios al alcance: comercios, transporte público, centros de salud, colegios y más. La cocina no está amueblada, lo que te da la oportunidad de diseñarla totalmente a tu gusto. Para facilitarte el proceso, puedes solicitar presupuesto sin compromiso a través de L-HOME, especialistas en reformas y diseño a medida. No dejes pasar esta oportunidad de vivir en una de las zonas más cómodas y bien conectadas de la ciudad. ¡Llámanos y ven a visitarlo sin compromiso!",False,good,False,False,2500.0,False,False,False,False,[],False,False,200000.0,€,flat,Cercedilla,Piso en calle de María Mínguez s/n,,,,,,,,
107808162,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0c/c7/e9/1324375592.webp,YH79,47,,1020000.0,chalet,sale,350.0,,5,3,Barrio Monte Rozas,Madrid,Las Rozas de Madrid,Monte Rozas,es,40.5207949,-3.9120612,False,https://www.idealista.com/inmueble/107808162/,"Descubre esta impresionante casa/chalet de 2400 m², ideal para quienes buscan un hogar espacioso y lleno de comodidades. Con 5 dormitorios y 3 baños, esta propiedad es perfecta para familias que valoran el confort y la funcionalidad. Construida en 1989, la vivienda cuenta con un diseño luminoso y acogedor, gracias a su orientación oeste y sur que permite disfrutar de la luz natural durante todo el día. La cocina, completamente amueblada y equipada, se convierte en el corazón del hogar, seguido de un amplio salón independiente de unos 60m2 con salida a terraza exterior, ideal para compartir momentos inolvidables con familiares y amigos. Entre sus características destacadas, encontramos acceso para personas con movilidad reducida, aire acondicionado y calefacción de gas natural individual, garantizando un ambiente agradable en cualquier época del año. El suelo de parquet añade un toque de elegancia y calidez a los espacios. La zona del sótano cuenta de un espacio abierto de unos 150m2 aproximados, con grandes ventanales y salida directa al jardín.  Disfruta de la tranquilidad de un jardín privado, perfecto para relajarse o celebrar reuniones al aire libre. Además, la propiedad cuenta con una parcela de 2400m2 la cual se podrá equipar para dejar un jardín de ensueño donde podrás disfrutar de las vistas y del entorno natural que la rodea. Para los amantes del deporte y la diversión, la comunidad ofrece una piscina, pista de tenis, pista de padel y zona infantil, ideales para disfrutar en familia. También dispone de garaje y una puerta blindada que asegura tu tranquilidad. Esta magnifica vivienda tiene un gran potencial de mejora para crear un hogar de diseño con todas las comodidades, Your home le brinda asesoramiento para el diseño, interiorismo, renders y reforma.  No dejes pasar la oportunidad de vivir en este hogar que combina comodidad, espacio y un entorno privilegiado. ¡Solicita una visita y déjate enamorar!",False,good,False,,2914.0,False,False,False,False,[],False,False,1020000.0,€,chalet,"Monte Rozas, Las Rozas de Madrid",Casa independiente,independantHouse,Monte Rozas,True,True,,,,
