propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,detailedType.subTypology,parkingSpace.parkingSpacePrice,highlight.groupDescription
108785056,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/8f/30/1355034002.webp,W-030O02,28,3,2200000.0,flat,sale,300.0,True,6,3,Barrio Gaztambide,Madrid,Madrid,Chamberí,es,Gaztambide,40.4388135,-3.7116962,False,https://www.idealista.com/inmueble/108785056/,"Exclusiva propiedad con garaje y apartamento independiente en Gaztambide Engel & Völkers, tiene el placer de presentarles esta exclusiva propiedad en Gaztambide. Ofrece una combinación sobresaliente de espacio, luz natural y funcionalidad, ideal tanto para uso residencial como para inversión.  La vivienda principal se caracteriza por sus grandes ventanales, que aportan una excelente luminosidad en todas las estancias. La distribución es amplia y equilibrada, con zonas de día y de noche bien definidas. Un salón principal de grandes dimensiones, cocina con office, dormitorios, el principal con baño en suite y amplio espacio de almacenaje en todos ellos. Uno de los mayores atractivos de esta propiedad es que incluye un apartamento independiente con acceso propio, ideal para alquiler, visitas o como espacio profesional. Esta unidad adicional representa una excelente oportunidad de rentabilidad.   Además, cuenta con plaza de garaje y trastero, elementos muy valorados que completan la funcionalidad del conjunto. La finca cuenta con portero y está adaptada para movilidad reducida.  En definitiva, se trata de una propiedad versátil, luminosa y lista para habitar, con el valor añadido de ofrecer una vivienda complementaria independiente. Está situada en Gaztambide, barrio residencial con mucha personalidad, en el corazón de Chamberí. Es una de las zonas más valoradas de Madrid por su equilibrio entre vida urbana, tranquilidad residencial y amplias zonas verdes.  Es un barrio consolidado y muy bien cuidado, con una gran variedad de servicios, comercios de proximidad, colegios, universidades, centros de salud y una excelente oferta gastronómica.  Uno de sus grandes atractivos es la cercanía al Parque del Oeste, uno de los pulmones verdes de la capital, ideal para pasear, practicar deporte o disfrutar de sus vistas y jardines históricos. La conexión por transporte público es excelente, con varias líneas de metro y autobuses que permiten llegar a cualquier punto de la ciudad. Así como un fácil acceso a la A-6 y M-30.  En resumen, una ubicación inmejorable para quienes buscan vivir en el centro de Madrid sin renunciar a la tranquilidad, la naturaleza y todos los servicios al alcance.",True,good,False,True,7333.0,True,False,True,False,[],False,False,2200000.0,€,True,True,flat,"Gaztambide, Madrid",Piso,,,,
108721745,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/ab/a2/1353162416.webp,19  4,7,,186551.0,flat,sale,47.0,True,1,2,"Calle de Venancio Martín 16 y y Asención Bielsa, 17",Madrid,Madrid,Puente de Vallecas,es,Numancia,40.3978176,-3.6615762,True,https://www.idealista.com/obra-nueva/108721745/,"Numancia Suites – Viviendas de obra nueva con diseño y rentabilidad en Madrid Descubre Numancia Suites, una exclusiva promoción de obra nueva compuesta por 22 viviendas modernas, funcionales y luminosas. Diseñadas para ofrecer confort, eficiencia y estilo, cada unidad cuenta con una distribución optimizada, cocina completamente equipada, baños terminados, armarios empotrados y estores a medida que garantizan privacidad y comodidad desde el primer día. Los acabados contemporáneos y los materiales cuidadosamente seleccionados aportan un alto nivel de calidad y bienestar. Ubicadas en una zona con alta demanda y escasa oferta de obra nueva, estas viviendas representan una excelente oportunidad de inversión, en un entorno en plena transformación, con gran potencial de revalorización a corto y medio plazo. No dejes pasar esta oportunidad de adquirir una propiedad con todo lo que buscas: diseño, confort y proyección.",False,newdevelopment,True,False,3969.0,True,False,False,False,[],False,False,186551.0,€,,,flat,"Numancia, Madrid","Piso en Calle de Venancio Martín 16 y y Asención Bielsa, 17",False,,,
108788381,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/13/39/1355174474.webp,9B,9,,1115000.0,chalet,sale,287.0,,4,5,"calle San Juan Bautista, 9",Madrid,Las Rozas de Madrid,Marazuela- El Torreón,es,Marazuela- El Torreón,40.4927046,-3.8649298,True,https://www.idealista.com/obra-nueva/108788381/,"LAS ROZAS DE MADRID, MARAZUELA - EL TORREÓN- OBRA NUEVA ESPECTACULAR CHALET ADOSADO EXCLUSIVO DE DISEÑO con 287 m² construidos divididos en 3 plantas sobre una parcela de 261 m2. Accedemos a la vivienda por la planta de acceso a través de un precioso jardín delantero. Al entrar nos encontramos con un amplio recibidor, 1 dormitorio con armarios empotrados vestidos, 1 baño completo, cocina independiente, gran salón-comedor independiente con acceso a un jardín trasero, a una estupenda terraza exterior y espectacular piscina privada. A la planta superior accedemos por las escaleras desde el recibidor, que dan a un distribuidor, por el cual se accede al dormitorio principal, en suite con zona de vestidor integrada y 2 dormitorios adicionales con armarios empotrados vestidos, todos en suite, con 1 baño completo incorporado y ambos con 1 terraza exterior con salida independiente. La planta sótano consta de un garaje con capacidad para 3 vehículos, 1 amplio lavadero independiente, 1 baño completo y 2 trasteros. La vivienda cuenta con acabados de lujo de primeras calidades. La calefacción cuenta con lo más novedoso en energías renovables, ya que ésta va por aerotermia y paneles fotovoltaicos. Se trata de un chalet único disponible de este tipo en construcción en una de las mejores zonas de Las Rozas. Excelente ubicación, próximo a la estación de Renfe a 3 min. caminando. DISTRIBUCIÓN: Dormitorios 3 Baños 5 Cocinas 1 Salones 1 Cuartos de planchado 1 Despachos 1 Distribuidores 2 Garajes 1 Jardines privados 2 Piscinas privadas 1 Recibidores 1 Terrazas 3 Trasteros 2 Vestidores 1.",False,newdevelopment,True,,3885.0,True,False,False,False,[],False,False,1115000.0,€,True,True,chalet,"Marazuela- El Torreón, Las Rozas de Madrid","Chalet adosado en calle San Juan Bautista, 9",False,terracedHouse,,
106398506,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/d1/03/1281682947.webp,1033,79,,820000.0,chalet,sale,729.0,,6,6,Fuente el Saz de Jarama,Madrid,Fuente el Saz de Jarama,,es,,40.6425496,-3.5073772,False,https://www.idealista.com/inmueble/106398506/,"Espectacular chalet en urbanización privada con control de acceso en Fuente el Saz del Jarama. Ofrece un total de 729 metros construidos y amplias zonas de jardín gracias a su parcela de 2.700 metros cuadrados. La vivienda principal cuenta con mas de quinientos metros construidos con altas calidades y distribuidos en tres plantas.  La planta semisótano ofrece una gran zona recreativa ademas de un baño completo, baño turco, un almacén/despensa y salida al exterior.   El la planta baja encontramos un salón comedor muy amplio y luminoso con orientación sur y que cuenta con chimenea y salida a terraza exterior. Desde el hall con techos de hasta 6,5 metros de alto podremos acceder a la cocina de diseño. Esta cocina dispone de despensa y da acceso al garaje y zona de servicio de la vivienda. En esta planta baja podremos disfrutar de tres dormitorios dobles con armarios empotrados, aire acondicionado y salida al exterior independiente para cada uno de ellos. Estas habitaciones comunican a través del pasillo con dos baños completos, uno de ellos con jacuzzi, ademas de un aseo de cortesía mas cercano a la zona social. La escalera abierta nos lleva a la habitación principal con terraza privada, chimenea, baño con jacuzzi y vestidor. En esta misma planta encontramos una despacho tan amplio como la habitación principal que también dispone de zona de vestidor y baño privado. En el exterior encontraremos un garaje tipo americano para 3 vehículos, adosado a un apartamento de invitados con zona de cocina y baño propio. Un salón de verano en la zona de piscina, con barbacoa y horno de leña. Almacén para jardinería y varias zonas de descanso donde poder disfrutar del aire libre.",False,good,False,,1125.0,True,False,True,False,[],False,False,820000.0,€,True,True,chalet,Fuente el Saz de Jarama,Casa independiente,,independantHouse,,
108559253,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/b0/fd/1345659838.webp,Tipo 003,20,2,1064000.0,flat,sale,187.0,True,5,3,"bulevar Picos de Europa, 34",Madrid,San Sebastián de los Reyes,Tempranales,es,,40.5565853,-3.6522393,True,https://www.idealista.com/obra-nueva/108559253/,"Dos plazas de garaje incluidas en el precio. Olea de Tempranales, un complejo residencial único en una de las zonas más exclusivas de San Sebastián de Los Reyes.  Le presentamos Olea de Tempranales, una promoción de vivienda libre estratégicamente ubicada en San Sebastián de Los Reyes: una apuesta decidida por la calidad de vida. En Tempranales podrá encontrar numerosas y amplias zonas verdes, dotaciones deportivas, equipamientos educativos, sanitarios y comerciales. En entorno tranquilo y perfectamente conectado con Madrid. La promoción dispone de 52 viviendas en torno a un gran espacio central con numerosas zonas verdes y un cuidado paisajismo. Olea de Tempranales contará con numerosos equipamientos comunes que permitirán disfrutar de todo tipo de actividades para toda la familia:        _Piscina exterior desbordante de 200m2 de superficie, cloración salina e iluminación nocturna, permite disfrutar de un refrescante chapuzón a cualquier hora del día.       _Jardín florar, la arquitectura y el paisajismo te envuelven guiándote en un recorrido único donde las pérgolas y la vegetación generan distintas áreas de descanso.       _Club social, completamente equipado. Un espacio destinado al ocio y la convivencia de los residentes.       _Gimnasio, totalmente equipado, permite entrenamientos intensivos. Con una zona exterior para el bienestar al aire libre.       _Zona exterior de juegos infantiles. Los más pequeños contarán con un parque infantil y mesas de Ping Pong para su diversión y desarrollar su aprendizaje. Se trata de un edificio de viviendas diseñado con una visión singular y una delicada atención a los detalles, buscando una mayor eficiencia para un bajo consumo energético. Contará con calificación A, la máxima calificación energética, reduciendo la huella de carbono y las emisiones y repercutiendo favorablemente en el consumo y ahorro energético. Existen distintas tipologías de vivienda de 3, 4 y 5 dormitorios, todas ellas con doble o triple orientación y con una cuidada distribución interior con dos plazas de garaje y trastero.  Naiz Homes ofrece un servicio adicional de personalización con variadas alternativas en cuanto a distribuciones, acabados interiores, instalaciones o mobiliario con la que poder adecuar cada vivienda a sus preferencias y necesidades. Le invitamos a visitar la página web de la promoción donde podrá encontrar los planos de las viviendas disponibles e imágenes de la promoción. Así mismo, si desea ampliar la información puede reservar una cita, tanto de manera presencial como por videollamada a través de la plataforma Zoom, en el apartado ""Reservar cita"" en la web o contactándonos en el teléfono. No olvide visitar nuestras redes sociales donde podrá conocer las últimas novedades y actualización de las obras.",True,,True,True,5690.0,True,False,False,False,[],False,False,1064000.0,€,True,True,flat,"Tempranales, San Sebastián de los Reyes","Piso en bulevar Picos de Europa, 34",False,,,
108220727,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/f7/b3/1337518728.webp,W-02ZT8W,24,1,1295000.0,flat,sale,94.0,True,2,2,calle de Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4266545,-3.6716182,False,https://www.idealista.com/inmueble/108220727/,"Exclusivo piso completamente exterior con 5 balcones en la calle Goya Engel & Völkers tiene el gusto de presentarles este precioso piso en el corazón de Madrid, una joya arquitectónica que combina el encanto histórico con la modernidad. Con una superficie de alrededor de unos 100 metros cuadrados, esta residencia destaca por su luz, que se desliza a través de sus 5 balcones y porque todas sus estancias son exteriores.  La amplia zona social, con la cocina integrada, los dos dormitorios, y dos baños uno de ellos en suite, ha sido meticulosamente restaurada en 2022, manteniendo su esencia original de 1928 mientras incorpora las comodidades más sofisticadas. Al entrar, se percibe una atmósfera de elegancia y confort. Los suelos de madera añaden calidez y estilo, mientras que el diseño accesible de la cocina integrada en el salón, con las mejores marcas en los electrodomésticos ofrecen funcionalidad y espacio. Cada rincón de esta luminosa vivienda con orientación sur, está diseñada para maximizar la comodidad, desde el baño de invitados hasta los amplios dormitorios, creando un refugio de bienestar, con domótica en persianas, aire acondicionado por conductos y estores automatizados. El elegante portal de mármol tiene el acceso libre, salvando las barreras arquitectónicas. ¡No pierda la oportunidad de ser parte de este exclusivo enclave en Madrid, donde cada detalle ha sido pensado para ofrecer lo mejor en estilo y comodidad! Ubicada en la prestigiosa Calle de Goya, en el corazón del exclusivo barrio de Salamanca, esta propiedad ofrece una experiencia de vida inigualable en Madrid. El barrio de Salamanca es sinónimo de lujo y sofisticación, conocido por sus elegantes avenidas, boutiques de alta costura y una vibrante oferta gastronómica. Este enclave es altamente codiciado por compradores de alto nivel que buscan una combinación de tradición y modernidad en un entorno urbano de primer nivel. La infraestructura de la zona es excepcional, con excelentes conexiones de transporte que facilitan el acceso a toda la ciudad. La estación de metro más cercana, Goya, se encuentra a solo 5 minutos a pie, conectando rápidamente con el resto de Madrid. Además, la proximidad a importantes arterias viales permite un acceso eficiente en coche a destinos clave, como a la M-30 y al Aeropuerto Adolfo Suárez Madrid-Barajas, a unos 20 minutos en coche. Para los amantes del ocio y la cultura, el barrio ofrece una amplia gama de actividades. A pocos pasos se encuentra el Parque del Retiro, un oasis verde ideal para paseos relajantes o actividades al aire libre. Además, la cercanía al Museo del Prado y al Museo Thyssen-Bornemisza proporciona acceso a algunas de las colecciones de arte más importantes del mundo. La Calle de Goya es un símbolo de prestigio, con su mezcla de arquitectura clásica y moderna, y su proximidad a instituciones educativas de renombre y centros de negocios. Esta ubicación no solo ofrece una residencia, sino un estilo de vida que combina lo mejor de la cultura, el lujo y la comodidad urbana.",True,good,False,True,13777.0,True,False,True,False,[],False,False,1295000.0,€,,,flat,"Goya, Madrid",Piso en calle de Goya,,,,
108715432,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/b9/a6/1240054365.webp,RU-11-2,14,,418000.0,chalet,sale,114.0,,4,3,"Francisco Umbral, 10 U",Madrid,Alcalá de Henares,Espartales,es,,40.5121329,-3.3709367,True,https://www.idealista.com/obra-nueva/108715432/,"Con Licencia.  Dendra pone a tu disposición 56 exclusivos chalets de 4 dormitorios, en  Espartales Norte, barrio residencial junto al centro de Alcalá de Henares. Chalets adosados de 4 dormitorios con planta baja y planta primera. Todas las viviendas cuentan con jardín posterior donde cabe la posibilidad de poner una piscina ( opcional con coste)  y aparcamiento en superficie en la parte delantera de la vivienda.  Las viviendas destacan por su sostenibilidad al contar con aerotermia  y suelo radiante refrescante. El barrio cuenta con todo tipo de servicios y dotaciones. En Espartales, a un paso de Madrid. La excelente ubicación de Dendra, en Alcalá de Henares, muy cerca del centro histórico, pone a tu alcance todos los servicios que necesitas: desde colegios hasta supermercados, pasando por superficies deportivas, centros de salud y una gran oferta de ocio. La promoción se sitúa en Espartales una tranquila zona residencial a menos de 10 minutos en coche al centro de la ciudad. Los traslados a Madrid y otros municipios de la zona te resultarán comodísimos a través de una rápida conexión con la A-2, R-2.",False,,True,,3667.0,True,False,False,False,[],False,False,418000.0,€,True,True,chalet,"Espartales, Alcalá de Henares","Chalet adosado en Francisco Umbral, 10 u",False,terracedHouse,,
108918029,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/54/7a/1358897438.webp,1301867,20,1,365000.0,flat,sale,73.0,True,3,1,avenida de Moratalaz,Madrid,Madrid,Moratalaz,es,Vinateros,40.4079711,-3.6456958,False,https://www.idealista.com/inmueble/108918029/,"VOhome pone a disposición esta vivienda REFORMADA en la Avenida de Moratalaz 91_032_73_67 Somos especialistas en cambios de vivienda, consúltanos como hacemos el proceso, totalmente diferente y ajustado a las necesidades de cada cliente! Luminoso piso reformado al detalle en primera planta con una superficie de 73m², situado en una de las zonas más demandadas de Moratalaz. La vivienda se distribuye en 3 dormitorios, amplio salón, cocina independiente y baño completo con ventana.  Dispone de ventanas con cristal Climalit para un excelente aislamiento, y cuenta con mobiliario, lámparas y electrodomésticos incluidas de primeras calidades. La vivienda dispone videoportero y el ascensor ya está aprobado para su instalación, lo que añade un importante valor a la propiedad.  La cuota de comunidad asciende a 79€ con CALEFACCION CENTRAL y AGUA FRIA INCLUIDAS Ubicación inmejorable, rodeada de comercios, colegios, transporte público y zonas verdes. Una oportunidad ideal para familias o inversores que buscan una vivienda bien ubicada en Madrid. En el precio no están incluidos gastos de compraventa tales como ITP, Notariales, Registro de la propiedad, honorarios de intermediación inmobiliaria. Consúltanos!",False,good,False,False,5000.0,False,False,False,False,[],False,False,365000.0,€,,,flat,"Vinateros, Madrid",Piso en avenida de Moratalaz,,,,
108559267,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/57/75/82/1345659906.webp,Tipo 002,20,3,932000.0,flat,sale,167.0,True,3,2,"bulevar Picos de Europa, 34",Madrid,San Sebastián de los Reyes,Tempranales,es,,40.5565853,-3.6522393,True,https://www.idealista.com/obra-nueva/108559267/,"Dos plazas de garaje incluidas en el precio. Olea de Tempranales, un complejo residencial único en una de las zonas más exclusivas de San Sebastián de Los Reyes.  Le presentamos Olea de Tempranales, una promoción de vivienda libre estratégicamente ubicada en San Sebastián de Los Reyes: una apuesta decidida por la calidad de vida. En Tempranales podrá encontrar numerosas y amplias zonas verdes, dotaciones deportivas, equipamientos educativos, sanitarios y comerciales. En entorno tranquilo y perfectamente conectado con Madrid. La promoción dispone de 52 viviendas en torno a un gran espacio central con numerosas zonas verdes y un cuidado paisajismo. Olea de Tempranales contará con numerosos equipamientos comunes que permitirán disfrutar de todo tipo de actividades para toda la familia:        _Piscina exterior desbordante de 200m2 de superficie, cloración salina e iluminación nocturna, permite disfrutar de un refrescante chapuzón a cualquier hora del día.       _Jardín florar, la arquitectura y el paisajismo te envuelven guiándote en un recorrido único donde las pérgolas y la vegetación generan distintas áreas de descanso.       _Club social, completamente equipado. Un espacio destinado al ocio y la convivencia de los residentes.       _Gimnasio, totalmente equipado, permite entrenamientos intensivos. Con una zona exterior para el bienestar al aire libre.       _Zona exterior de juegos infantiles. Los más pequeños contarán con un parque infantil y mesas de Ping Pong para su diversión y desarrollar su aprendizaje. Se trata de un edificio de viviendas diseñado con una visión singular y una delicada atención a los detalles, buscando una mayor eficiencia para un bajo consumo energético. Contará con calificación A, la máxima calificación energética, reduciendo la huella de carbono y las emisiones y repercutiendo favorablemente en el consumo y ahorro energético. Existen distintas tipologías de vivienda de 3, 4 y 5 dormitorios, todas ellas con doble o triple orientación y con una cuidada distribución interior con dos plazas de garaje y trastero.  Naiz Homes ofrece un servicio adicional de personalización con variadas alternativas en cuanto a distribuciones, acabados interiores, instalaciones o mobiliario con la que poder adecuar cada vivienda a sus preferencias y necesidades. Le invitamos a visitar la página web de la promoción donde podrá encontrar los planos de las viviendas disponibles e imágenes de la promoción. Así mismo, si desea ampliar la información puede reservar una cita, tanto de manera presencial como por videollamada a través de la plataforma Zoom, en el apartado ""Reservar cita"" en la web o contactándonos en el teléfono. No olvide visitar nuestras redes sociales donde podrá conocer las últimas novedades y actualización de las obras.",True,,True,True,5581.0,True,False,False,False,[],False,False,932000.0,€,True,True,flat,"Tempranales, San Sebastián de los Reyes","Piso en bulevar Picos de Europa, 34",False,,,
108906566,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/56/d6/1358868785.webp,,30,5,245000.0,flat,sale,109.0,True,3,2,avenida de Abrantes,Madrid,Madrid,Carabanchel,es,Abrantes,40.3773209,-3.7340164,False,https://www.idealista.com/inmueble/108906566/,"Agencia inmobiliaria de MADRID zona ABRANTES - PAN BENDITO oficina Tecnocasa vende piso a escasos metros de Vía Lusitana y avenida de los poblados. Cabe destacar la tranquilidad, la consolidación, el buen ambiente que tiene el barrio y la comunicación de la zona a nivel de comercios y de los distintos medios de transporte que hay en la zona. El metro de Abrantes (línea 11) lo tenemos a 5 minutos y a solo unos pasos, de la línea de la EMT (118 - 47). Este acogedor piso reformado de 3 dormitorios, salón, cocina, baño, aseo y terraza es perfecto para quienes buscan una propiedad lista para entrar a vivir. Situado en una quinta planta con ascensor, el inmueble ha sido cuidadosamente renovado, por lo que no tendrás que hacer reformas al ingresar. El edificio tiene ASCENSOR y la ITE favorable del año 2019 Ubicado en la popular Avenida de Abrantes, disfrutarás de una excelente ubicación con todos los servicios necesarios a tu alcance: comercios, supermercados, colegios, ambulatorio y, por supuesto, una excelente conexión de transporte público con la estación de metro de Abrantes (Línea 11) y diversas paradas de autobuses. ¡No dejes pasar esta oportunidad de inversión o de futuro hogar! Contacta con nosotros para más información o para programar una visita.",False,good,False,True,2248.0,False,False,False,False,[],False,False,245000.0,€,,,flat,"Abrantes, Madrid",Piso en avenida de Abrantes,,,,
