propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108888951,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/c9/df/1358022036.webp,RP1242025140362,29,5,725000.0,flat,sale,110.0,True,3,2,paseo del Marqués de Zafra,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.425033,-3.6614051,False,https://www.idealista.com/inmueble/108888951/,"Redpiso Fuente del Berro ofrece: Estupendo inmueble exterior con magníficas vistas panorámicas a Torrespaña (El Piruli). Piso con amplia terraza, orientación sureste, muy luminoso y portal señorial. A un paso del parque La Quinta de Fuente del Berro. El piso se encuentra distribuido en 110 metros cuadrados con tres dormitorios, un baño, un aseo, cocina independiente completamente equipada y salón. Ventanas climalit, suelos de parquet y calefacción central. La zona cuenta con todos los servicios necesarios, todo tipo de ocio, restaurantes y comercio especializado. Próximo a metro y autobús. En Redpiso ponemos a su disposición nuestro departamento financiero, Dcredit, con asesoramientos gratuitos y posibilidad de financiación de hasta el 100%. Consúltenos sin compromiso. El presente anuncio puede estar sujeto a variaciones en la información.",True,good,False,True,6591.0,True,False,False,False,[],False,False,725000.0,€,flat,"Fuente del Berro, Madrid",Piso en paseo del Marqués de Zafra,Destacado,,,,,,,
108168363,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/5c/98/1335900154.webp,ARRO-12,19,2,235000.0,flat,sale,90.0,True,3,1,calle de Austria,Madrid,Fuenlabrada,Fuenlabrada II - El Molino,es,,40.2875085,-3.8023824,False,https://www.idealista.com/inmueble/108168363/,"PISO REFORMADO HACE 10 AÑOS Y CON FINANCIACIÓN HASTA EL 100%! La agencia inmobiliaria HOGARES FUENLABRADA VENDE EN EXCLUSIVA piso EXTERIOR de 90m compuesto por 3 amplios dormitorios, 1 baño completo con plato de ducha, salón de paso muy luminoso con terraza cerrada y cocina independiente. La vivienda dispone de suelo de tarima, ventanas de aluminio, puertas de roble, cocina totalmente equipada, 2 A/A, y 1 A/E ubicado en la entrada y calefacción CENTRAL. ¡VIVIENDA EN BUEN estado de conservación. Plaza de garaje opcional por 15.000€, no ubicada en la misma finca. Ubicado en edificio que dispone de ascensor y FACHADA REHABILITADA. ; próximo a todos los servicios: colegios, supermercados, zonas verdes y deportivas, centro de salud, a menos de 10 minutos de Renfe y Metro Fuenlabrada Central y de Metro Parque Europa. VISÍTALO SIN COMPROMISO, TE CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN CON LAS MEJORES CONDICIONES!",True,good,False,True,2611.0,True,False,False,False,[],False,False,235000.0,€,flat,"Fuenlabrada II - El Molino, Fuenlabrada",Piso en calle de Austria,Destacado,True,False,15000.0,,,,
108441020,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/1b/15/1345883765.webp,p1782,26,8,1390000.0,flat,sale,181.0,True,5,3,PZ REYES MAGOS,Madrid,Madrid,Retiro,es,Niño Jesús,40.4085091,-3.6747343,False,https://www.idealista.com/inmueble/108441020/,"**Piso en Venta a un Paso del Parque del Retiro - Madrid** Descubre este amplio y luminoso piso en una de las zonas más selectas de Madrid, a solo unos pasos del emblemático Parque del Retiro. Con 181 m² construidos, esta propiedad cuenta con 5 dormitorios, ideales para familias que buscan espacio y confort. El salón de 25 m² es perfecto para disfrutar de momentos en familia o recibir a amigos, mientras que la cocina de 13 m², junto con un práctico tendedero, ofrece múltiples posibilidades para los amantes de la gastronomía. La distribución incluye una habitación principal de 15 m² con baño en suite, así como otras tres habitaciones adicionales que se adaptan a tus necesidades. La planta alta garantiza una fantástica luminosidad y una total ausencia de ruidos, creando un ambiente tranquilo y acogedor. Además, la finca cuenta con una piscina en el ático, perfecta para relajarse durante los días calurosos. Este piso, aunque necesita una reforma integral, ofrece un sinfín de oportunidades para personalizarlo a tu gusto. Con armarios empotrados y un baño adicional en la habitación de servicio, cada rincón está pensado para maximizar el espacio. La propiedad también incluye garaje y ascensor, facilitando el acceso a la vivienda. Situado en una ubicación privilegiada, tendrás a tu alcance comercios, transportes y colegios, todo lo que necesitas para disfrutar de la vida urbana sin renunciar a la tranquilidad. No dejes pasar esta oportunidad única de crear el hogar de tus sueños en Madrid. ¡Contáctanos para más información y ven a visitarlo!",False,renew,False,True,7680.0,True,False,False,False,[],False,False,1390000.0,€,flat,"Niño Jesús, Madrid",Piso en Pz Reyes Magos,Destacado,True,True,,,,,
108503805,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b0/c1/cf/1346851576.webp,ARRO-21,21,2,350000.0,flat,sale,140.0,True,3,2,calle Santa Gema,Madrid,Fuenlabrada,El Arroyo - La Fuente,es,,40.2781348,-3.7871718,False,https://www.idealista.com/inmueble/108503805/,"PISO SEMINUEVO Y CON FINANCIACIÓN HASTA EL 100%! La agencia inmobiliaria HOGARES FUENLABRADA VENDE EN EXCLUSIVA piso EXTERIOR de 140m compuesto por 3 amplios dormitorios, 2 baños completos con bañera y mampara, salón independiente muy luminoso y cocina independiente con tendedero cerrado, amplio trastero de 11m y garaje en el mismo edificio.  La vivienda dispone de suelo de parque, ventanas de aluminio, puertas de roble, cocina totalmente equipada, 2 aires acondicionados en salón y habitación principal, y 4 armarios empotrados ubicados en habitaciones y recibidor y calefacción INDIVIDUAL DE GAS NATURAL.  ¡VIVIENDA EN BUEN estado de conservación. ; próximo a todos los servicios: colegios, supermercados, zonas verdes y deportivas, centro de salud, a menos de 10 minutos de Renfe y Metro Fuenlabrada Central. VISÍTALO SIN COMPROMISO, TE CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN CON LAS MEJORES CONDICIONES!",True,good,False,True,2500.0,True,False,False,False,[],False,False,350000.0,€,flat,"El Arroyo - La Fuente, Fuenlabrada",Piso en calle Santa Gema,Destacado,True,True,,,,,
108299789,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/ee/51/1339989557.webp,AT10,49,5,970000.0,penthouse,sale,146.0,True,4,2,calle Alcalde Henche de la Plata,Madrid,Madrid,Hortaleza,es,Sanchinarro,40.4904468,-3.6508664,False,https://www.idealista.com/inmueble/108299789/,"Deyvi & Menchu Real Estate Madrid vende ¡Exclusivo Ático de Lujo con Amplias Terrazas y Excelentes Calidades! Te presentamos esta magnífica propiedad de 146 m² construidos, ubicada en una finca cerrada con vigilancia 24h, conserje y piscina comunitaria. Un hogar único que combina confort, privacidad y elegancia en cada rincón. Características principales: Superficie de vivienda- 146 m² Terraza principal de 28 m² con toldos eléctricos, perfecta para disfrutar del aire libre y momentos inolvidables. Salón con acceso directo a la terraza principal y a una terraza mirador adicional. 4 dormitorios, todos con excelente luminosidad.  Dormitorio principal con baño en suite.  Segundo dormitorio con acceso a terraza mirador privada. 2 baños completos. Cocina independiente, con salida a terraza acondicionada como lavandería. Extras y zonas comunes: Construido con primeras calidades, cuidando cada detalle. Finca cerrada con videovigilancia, seguridad y tranquilidad garantizadas. Piscina comunitaria, ideal para disfrutar en verano. 3 plazas de aparcamiento:  2 plazas de garaje muy amplias  1 plaza extra para dos motos Trastero incluido en el precio. Una vivienda especial, ideal para quienes buscan espacio, comodidad y exclusividad. ¡Contáctanos y ven a conocer tu próximo hogar!",True,good,False,True,6644.0,True,False,False,False,[],False,False,970000.0,€,flat,"Sanchinarro, Madrid",Ático en calle Alcalde Henche de la Plata,Destacado,True,True,,1050000.0,80000.0,8.0,penthouse
108343803,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/08/1d/1341311994.webp,EXP09974,29,2,628000.0,flat,sale,81.0,True,2,2,calle de Téllez,Madrid,Madrid,Retiro,es,Pacífico,40.4025897,-3.6801556,False,https://www.idealista.com/inmueble/108343803/,"Oportunidad de Inversión Única: Piso con Inquilino y Rentabilidad Asegurada en El Retiro ¿Buscas una inversión inmobiliaria sólida y sin complicaciones en una de las zonas más codiciadas de Madrid? Descubre esta excepcional oportunidad en barrio Pacifico del Retiro, ideal para inversores que buscan rentabilidad desde el primer día. Este atractivo piso de 2 dormitorios y 2 baños completos se presenta como una opción ideal para aquellos que desean sumar un activo de valor a su portfolio, o iniciarse en la inversión inmobiliaria con la máxima tranquilidad. ¿Por qué este inmueble es perfecto para ti como inversor? •Rentabilidad Inmediata y Garantizada: La vivienda cuenta actualmente con inquilino solvente, y se encuentra en el primer año de su prórroga contractual obligatoria, lo que te asegura un retorno de inversión desde el momento de la adquisición, sin la necesidad de gestionar la búsqueda de un nuevo arrendatario. Olvídate de los quebraderos de cabeza y empieza a rentabilizar tu compra al instante. •Ubicación Premium: El Retiro, Madrid. Ubicado en el corazón de uno de los distritos más demandados y con mayor prestigio de la capital. La proximidad al icónico Parque del Retiro garantiza una demanda constante de alquiler y una revalorización sostenida del inmueble. Excelentes comunicaciones, servicios de primer nivel, zonas verdes y una vibrante vida cultural y gastronómica a tu alcance. •Comodidades Exclusivas: Este piso no solo ofrece una distribución funcional con dos dormitorios y dos baños completos, sino que además incluye una plaza de garaje, un bien muy valorado en la zona, y el disfrute de una piscina comunitaria, un lujo escaso en el centro de Madrid que eleva su atractivo para el inquilino y su valor de alquiler. Características destacadas del inmueble: •2 dormitorios luminosos. •2 baños completos. •Incluye plaza de garaje. •Acceso a piscina comunitaria. •Ubicación inmejorable en El Retiro. No dejes pasar la oportunidad de adquirir un activo inmobiliario. Este piso es la elección inteligente para el inversor exigente.",True,good,False,True,7753.0,True,False,False,False,[],False,False,628000.0,€,flat,"Pacífico, Madrid",Piso en calle de Téllez,Destacado,True,True,,648000.0,20000.0,3.0,
100715412,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/aa/e3/1096660324.webp,,24,,549900.0,chalet,sale,292.0,,4,3,Tilos,Madrid,Guadarrama,,es,,40.6694554,-4.0975502,False,https://www.idealista.com/inmueble/100715412/,"ESTUDIO GUADARRAMA 2020 S. L. Agencia inmobiliaria de GUADARRAMA zona GUADARRAMA Oficina HOGARES: EN VENTA: ESPECTACULAR CHALET EN LA MEJOR ZONA DE GUADARRAMA, cercano a zonas verdes, colegios, parada de autobús, etc… Fantástico chalet independiente en la zona del Redondillo. La vivienda se distribuye de la siguiente forma: Una entrada amplia con acceso a las diferentes estancias como, salón comedor, con salida directa al jardín trasero, cocina equipada y habitación en planta con cuarto de baño completo. En la segunda planta nos encontramos tres habitaciones con dos cuartos de baño, una de las habitaciones es la principal con uno de los baños en suite.  En la parte inferior se sitúa el garaje, de unos 116 metros con acceso desde el interior de la vivienda. La vivienda tiene jardín tanto en la parte delantera como la parte trasera al igual que la comunicación de ambas partes por los laterales, en la parte delantera nos encontramos un porche muy agradable con acceso directo a la vivienda.  La situación es excepcional con todos los servicios muy cercanos y accesibles andando. No dudes en ponerte en contacto con nosotros para poder ver la vivienda y ver condiciones de FINANCIACIÓN 100%.",False,good,False,,1883.0,True,False,False,False,[],False,False,549900.0,€,chalet,Guadarrama,Casa independiente en Tilos,Destacado,True,True,,,,,independantHouse
104914492,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/36/63/1347655551.webp,,50,,465000.0,chalet,sale,434.0,,4,3,calle Salvador Dalí,Madrid,Torres de la Alameda,,es,,40.4038892,-3.3586977,False,https://www.idealista.com/inmueble/104914492/,"En Sky Real Estate, estamos encantados de presentarte esta impresionante vivienda unifamiliar en el acogedor barrio residencial ""Los Pintores"", en Torres de la Alameda, Madrid.  Una casa diseñada para ofrecerte el máximo confort y un estilo de vida inigualable. Características del Inmueble: espacio, confort y elegancia. El piso de distribuye en: PLANTA BAJA: funcionalidad y comodidad Salón Espacioso: Ideal para reuniones familiares y momentos de relajación. Cocina Moderna: Completamente equipada, con lavadero y despensa. Patio y Parking: Amplio patio con espacio para 2 coches, un trasteros y cuarto de caldera. Persianas Automáticas: Comodidad y seguridad en todas las ventanas de la planta baja. Cuarto de Baño: Un baño completo para mayor conveniencia. PLANTA SUPERIOR: descanso y privacidad Cuatro Dormitorios: Dormitorios amplios y luminosos, todos con armarios empotrados y vestidos. Baños de Lujo: Dos baños completos, uno de ellos en suite con la habitación principal. Vestidor: Un vestidor amplio en la habitación principal. Salón: Un segundo salón, perfecto como área de descanso o entretenimiento. EXTERIOR: Disfruta del aire libre Porche y Patio Amplio: Un espacio perfecto para disfrutar al aire libre. Zona de Barbacoa: Ideal para comidas y reuniones al aire libre. Piscina Privada: Un oasis de frescura en tu propio hogar. Ascensor: Comodidad en Cada Planta Acceso Fácil: La vivienda cuenta con un ascensor que conecta todas las plantas, asegurando comodidad y accesibilidad para todos los miembros de la familia. Servicios y Ubicación: Torres de la Alameda, Madrid Un Barrio Residencial con Todo lo Necesario Torres de la Alameda es conocido por su tranquilidad y ambiente familiar, haciendo de ""Los Pintores"" un lugar perfecto para vivir. Proximidad a Puntos de Interés Servicios Completos: Centros de salud, colegios, supermercados y tiendas a tu disposición. Transporte Público: Excelentes conexiones con Madrid y otras áreas a través de autobús y carreteras principales. Actividades al Aire Libre: Proximidad a parques y zonas verdes para disfrutar de la naturaleza. Calidad de Vida y Ocio Cultura y Entretenimiento: Cercanía a centros culturales, cines y restaurantes. Deportes y Recreación: Instalaciones deportivas y clubes cercanos. Contáctanos Hoy Mismo No dejes pasar esta oportunidad de vivir en una casa que lo tiene todo: espacio, comodidad y una ubicación inmejorable. En Sky Real Estate, estamos aquí para ayudarte a encontrar el hogar de tus sueños. Llámanos para más información y organiza una visita. ¡Te esperamos!",True,good,False,,1071.0,True,False,True,False,[],False,False,465000.0,€,chalet,Torres de la Alameda,Casa independiente en calle Salvador Dalí,Destacado,True,True,,,,,independantHouse
108820166,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/1d/13/1356082377.webp,MH1126,40,8,1225000.0,flat,sale,206.0,True,4,3,avenida de Bruselas,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4422906,-3.6654272,False,https://www.idealista.com/inmueble/108820166/,"MOREHOUSE Real Estate presenta esta fantástica vivienda reformada íntegramente en la mejor zona del Parque de las Avenidas, rodeada de zonas verdes y excelentes comunicaciones y servicios. Este exclusivo inmueble de 206 m² construidos de 4 habitaciones y 3 baños es el hogar perfecto para quienes buscan comodidad, espacio y estilo en una de las mejores zonas de la capital. Con una distribución moderna y funcional, la propiedad cuenta con dos baños en suite, proporcionando privacidad y confort para los dormitorios principales. Cada rincón de la vivienda ha sido diseñado para ofrecer la mejor calidad de vida. El amplio salón es ideal para disfrutar de momentos en familia o con amigos, mientras que las habitaciones, todas con mucha amplitud, proporcionan el descanso y tranquilidad necesario. Los baños están equipados con acabados de lujo, destacando por su diseño y elegancia. La cocina, completamente equipada, incorpora electrodomésticos panelados de última generación de la prestigiosa marca Bosch, lo que la convierte en el espacio ideal para los apasionados de la gastronomía. La vivienda ha sido completamente reformada con materiales de alta calidad y un diseño moderno. Cuenta con suelos de tarima laminada, puerta principal y de servicio acorazadas para mayor seguridad, y carpintería exterior de aluminio con rotura de puente térmico, lo que garantiza un gran aislamiento térmico y acústico. Las persianas son motorizadas, aportando comodidad y un toque de sofisticación. Además, dispone de un eficiente sistema de climatización Airzone, con termostatos independientes en cada estancia que permiten ajustar la temperatura por zonas, optimizando el confort y el consumo energético. Dispone de un trastero en la misma finca. El portal ha sido totalmente renovado y la comunidad dispone de conserje. Acerca de la zona: El Parque de las Avenidas, ubicado en el barrio de Guindalera, Distrito de Salamanca, cuenta con una amplia oferta de comercios, supermercados, centros educativos y deportivos, además de una buena selección de bares y restaurantes con terrazas que invitan a disfrutar de un ambiente relajado y familiar. Esta parte del barrio también se encuentra excelentemente comunicada, gracias a la estación de metro Parque de las Avenidas y las cercanas paradas de autobús, que ofrecen acceso directo a distintas zonas de Madrid. El Parque de las Avenidas ofrece una magnífica opción para quienes desean vivir en un entorno céntrico y bien comunicado, pero con el atractivo añadido de espacios verdes, autenticidad y tranquilidad dentro del bullicio de la capital. Por petición de algunos clientes, no publicamos parte de nuestros inmuebles en portales inmobiliarios. Aunque la mayoría de nuestra cartera está en nuestra página web, también tenemos oportunidades de inversión off-market. En MOREHOUSE Real Estate estamos especializados en comprar, vender y alquilar pisos en todo Madrid. Para cualquier gestión no dude en contactar con nosotros.",True,good,False,True,5947.0,True,False,True,False,[],False,False,1225000.0,€,flat,"Guindalera, Madrid",Piso en avenida de Bruselas,Destacado,,,,1250000.0,25000.0,2.0,
108164190,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/ab/5b/1335770583.webp,3385-04638,27,,927000.0,chalet,sale,279.0,,7,4,calle de la Carretera Hoyo de Manzanares,Madrid,Colmenar Viejo,El Olivar - La Magdalena,es,,40.6558177,-3.7699061,False,https://www.idealista.com/inmueble/108164190/,"¿AÚN NO CONOCES ESTA ESTUPENDA Y GRAN INVERSIÓN?  ! ÚNICA! PARA DARLE EL USO QUE NECESITES! NO COBRAMOS NINGUNA COMISIÓN A LOS COMPRADORES ES UNA MARAVILLOSA CASA en el mismo centro de COLMENAR VIEJO. De 1.012 m2 con 533 m2 edificados en 2 plantas. Aunque la altura máxima a construir puede ser de 3 plantas y 12 metros de alero. Todo preparado únicamente para hacer la distribución que se desee. Y el uso que necesite. ¿Qué USOS DOTACIONALES y comunitarios quiere darle? ¿QUE NECESITAS? *Vivienda particular *escolar o educativo. *deportivo. *sanitario-asistencial. *socio-cultural y recreativo. *religioso. *administrativo /administración pública. *bar, cafetería y/o restaurante. *alojamientos (hotel, residencia). *oficinas!  ¿QUIERE APROVECHAR ESTA OPORTUNIDAD!",False,good,False,,3323.0,True,False,True,False,[],False,False,927000.0,€,chalet,"El Olivar - La Magdalena, Colmenar Viejo",Casa independiente en calle de la Carretera Hoyo de Manzanares,Destacado,,,,,,,independantHouse
