propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
107884553,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/4e/2f/1327236437.webp,C008,21,560000.0,chalet,sale,247.0,5,3,La Pizarra,Madrid,San Lorenzo de El Escorial,La Pizarra,es,,40.6196593,-4.1143218,False,https://www.idealista.com/inmueble/107884553/,"Chalet adosado en pizarra, con 247 m² construidos, 5 dormitorios, 3 baños, 1 garaje/s, reformado, cocina amueblada, entre 15 y 20 años, calefacción individual, combustible gas natural, agua caliente individual, gastos de comunidad/mes de 38 €, alta suministros realizada. Una hermosa casa de campo se encuentra a la venta. Esta encantadora propiedad ofrece un entorno tranquilo y natural, perfecto para aquellos que buscan escapar del ajetreo y el bullicio de la ciudad. Con una ubicación privilegiada en la zona de La Pizarra, esta casa ofrece impresionantes vistas panorámicas de la sierra de Guadarrama, creando un ambiente de paz y serenidad. Recientemente se ha instalado aerotermia, paneles solares, se ha reparado la piscina, cambiado las puertas y las ventanas.",False,good,False,2267.0,False,False,False,False,[],False,False,560000.0,€,chalet,terracedHouse,"La Pizarra, San Lorenzo de El Escorial",Chalet adosado,,,,,,,True,True
105109444,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/37/e6/1241968763.webp,RETI-03634,1,400000.0,chalet,sale,670.0,7,3,ronda Hispano-Americana,Madrid,Eurovillas,,es,,40.3504416,-3.2724624,False,https://www.idealista.com/inmueble/105109444/,"Oportunidad de inversión: inmueble sin posesión. Imposibilidad de visita interior, no se puede financiar la compra de este inmueble. Advertimos que la información contenida puede no estar actualizada, solicita más información sobre el activo sin compromiso.",False,renew,False,597.0,False,False,False,False,[],False,False,400000.0,€,chalet,independantHouse,Eurovillas,Casa independiente en ronda Hispano-Americana,,,,,,,,
105150828,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ce/2f/cb/1243316654.webp,,15,186000.0,flat,sale,131.0,5,2,Campo Real,Madrid,Campo Real,,es,,40.3373113,-3.3864434,False,https://www.idealista.com/inmueble/105150828/,"FINCAS GONZALO INMOBILIARIA VENDE MAGNÍFICO PISO EN CAMPO REAL. 131 m2 según Catastro. Consta de salón, cocina (ambos con acceso a la terraza), cinco dormitorios y dos baños. Así mismo, plaza de garaje (en torno a 45 m2) incluida en el precio. El piso está recién pintado. Caldera de gasoil nueva.  **El patio es comunitario. SE ESTUDIARÁN OFERTAS SERIAS DE COMPRA. Si desea obtener más información y realizar una visita, no dude en contactar.",False,good,False,1420.0,False,False,False,False,[],False,False,186000.0,€,flat,,Campo Real,Piso,1,True,False,,,,True,True
108772644,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/c8/07/1354691282.webp,GVPT1423,7,153000.0,flat,sale,51.0,1,1,Hispanoamérica - Comunidades,Madrid,Valdemoro,Hispanoamérica - Comunidades,es,,40.1889668,-3.6840208,False,https://www.idealista.com/inmueble/108772644/,"¡Estupendo piso en venta en zona Comunidades de Valdemoro!  Con una ubicación privilegiada, este acogedor inmueble de 51 m² construidos es ideal para quienes buscan comodidad y estilo. Su amplio salón te invita a disfrutar de momentos inolvidables, mientras que la cocina americana, moderna y funcional, se convierte en el espacio perfecto para preparar deliciosas comidas.  El dormitorio independiente cuenta con un armario empotrado que maximiza el espacio y ofrece un toque de orden. Además, el baño completo con plato de ducha garantiza confort en tu día a día. Este piso exterior y con ascensor, se encuentra en un edificio en buen estado, listo para entrar a vivir. La zona es inmejorable, con todos los servicios a tu alcance: comercios, centros docentes, zonas verdes y un centro de salud cercano. También disfrutarás de la comodidad de tener paradas de autobús urbano e interurbano a pocos pasos. No dejes pasar la oportunidad de vivir en este maravilloso piso que combina calidad de vida y una ubicación estratégica. ¡Ven a verlo y enamórate de tu nuevo hogar!",False,good,False,3000.0,False,False,False,False,[],False,False,153000.0,€,flat,,"Hispanoamérica - Comunidades, Valdemoro",Piso,1,True,True,,,,,
38351758,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/33/40/235579462.webp,,22,2800000.0,chalet,sale,2200.0,6,4,Centro,Madrid,Villaviciosa de Odón,Centro,es,,40.3245532,-3.9704063,False,https://www.idealista.com/inmueble/38351758/,"VENTA DE FINCA EN MADRID. Se vende finca en Madrid. Con muchas posibilidades ya que se trata de una de las mayores fincas de la comunidad de Madrid. Ideal para uso privado o exploración gandera Diferentes edificaciones, naves, 30 cuadras, plaza de tientas. Completamente vallada en todo el perímetro. Ermita privada. Zona privilegiada de encinares, olivos y muchísima vegetación. Piscina. Todos los suministros Magnifica situación a escasos minutos del centro de la capital y junto a núcleo urbano zona dotada de todos los servicios.",False,good,False,1273.0,False,False,False,False,[],False,False,2800000.0,€,chalet,independantHouse,"Centro, Villaviciosa de Odón",Casa independiente,,,,,,,True,True
108771021,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/73/b1/1354632697.webp,,4,485000.0,flat,sale,64.0,2,1,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,40.4047816,-3.6747928,False,https://www.idealista.com/inmueble/108771021/,"MARIO INMOBILIARIA OFRECE INMUEBLE PARA CONCERTAR UNA VISITA LLAMAR A MARIO Se vende MAGNÍFICA vivienda REFORMADA, IDEAL PARA SU USO PERSONAL O PARA INVERTIR, situada en pleno barrio de Pacifico y bien comunicada con la red de transporte tanto en metro como en autobús. El inmueble dispone de un salón luminoso, dos dormitorios independientes y equipados, un cuarto de baño completo y una cocina independiente y totalmente equipada. Tiene al alcance de la mano numerosas ofertas de ocio. URGE VENTA! Gran oportunidad. MEJOR VER.",False,good,False,7578.0,False,False,False,False,[],False,False,485000.0,€,flat,,"Pacífico, Madrid",Piso,3,True,True,,,,,
106345075,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/d8/14/1280031079.webp,4255,1,115000.0,flat,sale,52.0,2,1,Barrio San Isidro,Madrid,Madrid,Carabanchel,es,San Isidro,40.3948086,-3.7340206,False,https://www.idealista.com/inmueble/106345075/,"OPORTUNIDAD DE INVERSIÓN / INMUEBLE EN SITUACIÓN ESPECIAL, se recomienda obtener asesoramiento jurídico. Dispone de 2 dormitorios y 1 cuarto de baño. El inmueble se encuentra en situación especial, vendiéndose sin posesión del vendedor, estando ocupado por tercero sin título que legitime su posesión. Si a fecha de venta el vendedor hubiera demandado judicialmente la ocupación, el comprador podrá subrogarse en dicha demanda, no pudiendo reclamar importe alguno al vendedor como consecuencia de ello. Si en la fecha de venta, el vendedor hubiese interpuesto una denuncia penal, que se encontrase en curso, se comunicará al juzgado la venta, apartándose el vendedor del procedimiento como acusación particular. El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos que impiden i) su tasación oficial conforme exige la orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación, no podrá ser hipotecado. En consecuencia, no podrá constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética (en el caso de que el activo lo requiera). Se recomienda que el comprador obtenga asesoramiento profesional antes de adoptar la decisión de compra.",False,renew,False,2212.0,False,False,False,False,[],False,False,115000.0,€,flat,,"San Isidro, Madrid",Piso,2,True,False,,,,,
107873998,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/9d/38/1326897445.webp,1200,14,179000.0,flat,sale,68.0,2,1,Fuencasa,Madrid,San Fernando de Henares,Fuencasa,es,,40.4297047,-3.5386044,False,https://www.idealista.com/inmueble/107873998/,"� Piso en venta en San Fernando de Henares – Zona Centro ¿Buscas un piso con buena luz natural, bien ubicado y listo para actualizar a tu gusto? Esta vivienda en San Fernando de Henares, zona Centro, es una excelente oportunidad para vivir con comodidad o invertir con proyección. ✨ Características principales: •Superficie: 68 m² aprox. •Dormitorios: 2 habitaciones dobles, espaciosas y luminosas •Baño: 1 baño completo exterior, con plato de ducha •Salón: De paso, con acceso directo a una terraza abierta de 8 m² aprox. •Cocina: Independiente •Trastero incluido •Altura: 3ª planta con ascensor •Estado general: Bien cuidado, aunque admite actualización •Calefacción: Eléctrica •Ventanas: Doble acristalamiento en aluminio •Suelos: Gres •Puertas: De madera •Comunidad: 70 €/mes aprox. •Antigüedad del edificio: 50 años � Ubicación y entorno: La vivienda se encuentra en una de las zonas más prácticas de San Fernando de Henares, rodeada de todo tipo de servicios como supermercados, comercios, colegios, centros de salud y transporte público. Ideal para quienes buscan comodidad y conexión sin renunciar a la tranquilidad. � Precio: 179.000 € � Cargas: Libre de cargas ✨ Una oportunidad perfecta para actualizar y convertir en tu nuevo hogar. ¡No la dejes escapar!",False,renew,False,2632.0,False,False,False,False,[],False,False,179000.0,€,flat,,"Fuencasa, San Fernando de Henares",Piso,3,True,True,,,,,
107805928,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/eb/49/1324303392.webp,1198,16,193000.0,flat,sale,86.0,3,1,Montserrat - Parque Empresarial,Madrid,San Fernando de Henares,Montserrat - Parque Empresarial,es,,40.4303806,-3.5280007,False,https://www.idealista.com/inmueble/107805928/,"� Piso en venta en San Fernando de Henares  Descubre este luminoso piso de 86 m², ideal para familias que buscan comodidad, buena ubicación y una excelente relación calidad-precio. ✨ Ubicación y entorno: Este piso se encuentra en una zona residencial muy tranquila de San Fernando de Henares, ideal para quienes valoran la paz del hogar sin renunciar a las comodidades de una buena comunicación. A solo unos minutos a pie encontrarás zonas verdes, parques ideales para pasear o disfrutar en familia, y una gran variedad de colegios y centros educativos que hacen que esta vivienda sea perfecta para familias con niños. La zona cuenta con todo tipo de servicios a mano: supermercados, farmacias, tiendas, centros deportivos y bares de barrio con encanto. Además, está muy bien conectada mediante transporte público (autobuses y cercanías) y con rápido acceso a las principales vías de comunicación, lo que facilita los desplazamientos tanto dentro como fuera del municipio. Sin duda, una ubicación que equilibra tranquilidad, vida de barrio y accesibilidad. � Distribución interior:  3 dormitorios amplios (2 de matrimonio)  1 baño completo exterior, reformado con plato de ducha y mampara  Cocina independiente, amueblada y con tendedero incorporado  Salón amplio y muy luminoso, con acceso a una terraza acristalada cerrada de aprox. 6 m²  Tendedero acristalado incorporado a la cocina � Detalles adicionales:  Calefacción individual de Gas Natural  Aire acondicionado (1 bomba frío-calor en salón)  Suelos de gres  Ventanas de aluminio con doble acristalamiento  Puertas de sapelly  Estado: Reformado baño y cocina, paredes lisas y radiadores nuevos  Comunidad: 50 €/mes con agua fría incluida � Edificio sin ascensor, con 20 años de antigüedad. � Precio: 193.000 € � Superficie: 86 m² aprox. � Altura: 4ª planta ¡Ideal para entrar a vivir o como inversión! ✨ Un hogar listo para empezar una nueva etapa, rodeado de tranquilidad, servicios y excelente conexión. ¡Ven a visitarlo y siente su encanto! ✨.",False,good,False,2244.0,False,False,False,False,[],False,False,193000.0,€,flat,,"Montserrat - Parque Empresarial, San Fernando de Henares",Piso,4,True,False,,,,,
108816251,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d3/49/6f/1355967389.webp,BA-120,12,120000.0,flat,sale,55.0,3,1,Barrio San Cristóbal,Madrid,Madrid,Villaverde,es,San Cristóbal,40.345604,-3.6882128,False,https://www.idealista.com/inmueble/108816251/,"¡SIN COMISIONES! - ¡SIN ENTRADA! - ¡SIN AVALES! Solo con tus ingresos y los gastos de escrituración. Al ser una vivienda de banco se concede el 100% de financiación! Zona San Cristobal. Edificio rehabilitado. Piso 5º con ascensor. 55m2, 3 dormitorios, cocina y salon independientes, 1 baño completo. Muy bien ubicado, barrio con todos los servicios. No dudes en llamar para concertar una visita.",False,renew,False,2182.0,False,False,False,False,[],False,False,120000.0,€,flat,,"San Cristóbal, Madrid",Piso,5,True,True,,,,,
