propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,externalReference,district,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
106070694,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/0c/b3/1288841383.webp,2,,350000.0,flat,sale,259.0,False,2,1,calle del Duque de Alba,Madrid,San Lorenzo de El Escorial,es,40.5912486,-4.1470866,False,https://www.idealista.com/inmueble/106070694/,"id: 195497 Deberá introducir este código para poder atenderle telefónicamente. Oportunidad de adquirir edificio a reformar en Cesión de remate. Edificio para reformar compuesto por 4 viviendas ( locales inferiores no están incluídos ) de 79, 75, 56 y 49 m2 de superficie en dos plantas. No dudes en contactar con nosotros para visitar y te podamos informar de todo.",False,good,False,False,1351.0,False,False,False,False,[],False,False,350000.0,€,flat,"Centro - Casco Histórico, San Lorenzo de El Escorial",Piso en calle del Duque de Alba,,id: 195497,Centro - Casco Histórico,,,,,,,
107759384,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/3a/12/747841921.webp,6,bj,170000.0,flat,sale,60.0,True,3,1,Barrio Palomeras Bajas,Madrid,Madrid,es,40.3856005,-3.6534372,False,https://www.idealista.com/inmueble/107759384/,MADPISO SERVICIOS INMOBILIARIOS S. L. les ofrece estavivienda de 3 habitaciones. Para mas información y visitas contacte con nuestro equipo comercial.,False,good,False,False,2833.0,False,False,False,False,[],False,False,170000.0,€,flat,"Palomeras Bajas, Madrid",Piso,,A-5546678876-COM,Puente de Vallecas,Palomeras Bajas,,,,,,
107708707,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/0e/20/1348536988.webp,11,4,5100000.0,flat,sale,290.0,True,4,5,Barrio Recoletos,Madrid,Madrid,es,40.4219584,-3.683359,False,https://www.idealista.com/inmueble/107708707/,"Precioso piso recién reformado a estrenar, fantásticas vistas. Por deseo expreso de la propiedad las fotos que se muestran son de otros pisos similares y de los alrededores. Tenemos mas viviendas off market en esta zona para mas información de este y de otros pisos conectar por mail o por teléfono.",False,good,False,True,17586.0,False,False,False,False,[],False,False,5100000.0,€,flat,"Recoletos, Madrid",Piso,,,Barrio de Salamanca,Recoletos,,,,,,
108834930,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0a/8d/52/1356512353.webp,9,1,260000.0,flat,sale,60.0,True,2,1,Barrio Peñagrande,Madrid,Madrid,es,40.4809116,-3.7194363,False,https://www.idealista.com/inmueble/108834930/,"¿Te gustaría solicitar una visita presencial o más información? Por favor, escríbenos un correo electrónico y te contactamos lo mas rápido posible para gestionar tus peticiones. Ref. 1404 Gracias!",False,good,False,True,4333.0,False,False,False,False,[],False,False,260000.0,€,flat,"Peñagrande, Madrid",Piso,,1404,Fuencarral,Peñagrande,,,,,,
107676969,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/af/f2/1319509267.webp,7,3,3180000.0,flat,sale,230.0,True,3,3,Barrio Trafalgar,Madrid,Madrid,es,40.4282593,-3.6974482,False,https://www.idealista.com/inmueble/107676969/,"Bonito piso recién reformado con excelentes calidades y acabados. Gran zona de recibo y salón con cuatro balcones exteriores. Preciso edificio y portal clásico, gran altura de techos. Fantástico salón. Consta de tres dormitorios en suite más un aseo de visitas. Magnífica ubicación en Chamberi.",False,good,False,True,13826.0,False,False,False,False,[],False,False,3180000.0,€,flat,"Trafalgar, Madrid",Piso,,,Chamberí,Trafalgar,,,,,,
108675711,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/10/04/1351821110.webp,16,3,1150000.0,flat,sale,106.0,True,3,2,Barrio Goya,Madrid,Madrid,es,40.4263118,-3.6706992,False,https://www.idealista.com/inmueble/108675711/,"¿Te gustaría solicitar una visita presencial o más información? Por favor, escríbenos un correo electrónico y te contactamos lo mas rápido posible para gestionar tus peticiones. Ref. 1399 Gracias!",False,good,False,True,10849.0,False,False,False,False,[],False,False,1150000.0,€,flat,"Goya, Madrid",Piso,,1399,Barrio de Salamanca,Goya,,,,,,
108526857,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ee/df/4f/1347530491.webp,5,bj,90000.0,flat,sale,70.0,True,3,1,Parque Inlasa,Madrid,Parla,es,40.237135,-3.775916,False,https://www.idealista.com/inmueble/108526857/,"Piso en Venta en Parla ""Ocupado ilegalmente"". Oportunidad para inversores. No se puede visitar. Distribución: * 3 dormitorios. * 1 Baño completo. * Cocina. * Tendedero. Se desconoce el estado interior actual del inmueble ya que no ha podido ser verificado por no tener la posesión. Llámenos para ampliar información sin compromiso de este inmueble al.",False,good,False,True,1286.0,False,False,False,False,[],False,False,90000.0,€,flat,"Parque Inlasa, Parla",Piso,,ID00501P,Parque Inlasa,,,,,,,
106186388,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/e5/ff/1275161654.webp,9,1,220000.0,duplex,sale,80.0,True,2,2,El Álamo,Madrid,El Álamo,es,40.2314586,-3.9958279,False,https://www.idealista.com/inmueble/106186388/,"Construido en 2009, duplex 2 dormitorio, cocina americana amueblada, baño en planta baja y otro en planta alta, garaje incluido en el precio en planta -1, ventas en climalit oscilobatientes.",False,good,False,False,2750.0,False,False,False,False,[],False,False,220000.0,€,flat,El Álamo,Dúplex,duplex,0586,,,True,True,,,,
108370003,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/fc/53/1342076097.webp,13,4,999500.0,flat,sale,150.0,True,4,2,Barrio Argüelles,Madrid,Madrid,es,40.4301501,-3.7207284,False,https://www.idealista.com/inmueble/108370003/,"¿Te gustaría solicitar una visita presencial o más información? Por favor, escríbenos un correo electrónico y te contactamos lo mas rápido posible para gestionar tus peticiones. Ref. 1365. Gracias!",False,good,False,True,6663.0,False,False,False,False,[],False,False,999500.0,€,flat,"Argüelles, Madrid",Piso,,1365,Moncloa,Argüelles,,,,,,
104287990,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/ed/96/1215585000.webp,6,5,890000.0,flat,sale,102.0,False,3,2,Barrio La Paz,Madrid,Madrid,es,40.4852508,-3.6987808,False,https://www.idealista.com/inmueble/104287990/,"Situado en la zona de La Paz, buena finca, a la venta piso exterior en quinta altura, 102 m2 que se distribuyen en salón-comedor en dos ambientes y pequeña terraza, 3 dormitorios con armarios empotrados, cocina amplia, baño y aseo. Reformado completamente, fecha prevista de finalización de las obras a mediados de julio.",False,good,False,True,8725.0,False,False,False,False,[],False,False,890000.0,€,flat,"La Paz, Madrid",Piso,,2012,Fuencarral,La Paz,,,,,,
