propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108013882,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/9a/24/1331219121.webp,26,,689000.0,chalet,sale,184.0,,4,3,Sureste,Madrid,Torrejón de Ardoz,Sureste,es,,40.4637818,-3.4343619,False,https://www.idealista.com/inmueble/108013882/,"¿Buscas un hogar que combine espacio, comodidad y lujo? Este impresionante chalet pareado con piscina privada ubicado en la deseada zona de Soto del Henares, es la oportunidad perfecta para ti. Con una distribución inteligente y espacios amplios: La Planta Baja cuenta con habitación para invitados o despacho, cocina luminosa y salón comedor espacioso; mientras que en la Primera Planta encontrarás tres dormitorios generosos todos ellos dobles incluyendo un dormitorio principal en suite. Además, disfruta de una buhardilla diáfana versátil que puede adaptarse a tus necesidades personales. En el exterior podrás relajarte junto a tu propia piscina privativa y aprovechar su ducha solar adicionalmente instalada.  Comprometido con eficiencia energética gracias a las placas solares instaladas, este chalet también ofrece plaza de garaje ampliable.  Su ubicación privilegiada garantiza tranquilidad y acceso rápido a servicios esenciales como colegios reconocidos e instalaciones recreativas al aire libre.  ¿Estás listo para disfrutar no solo de una vivienda sino realmente adoptar todo un estilo vida exclusivo?  ¡Contáctanos hoy mismo!",False,good,False,,3745.0,False,False,False,False,[],False,False,689000.0,€,chalet,semidetachedHouse,"Sureste, Torrejón de Ardoz",Chalet pareado,02580,,,,True,True
108081352,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/7f/2b/1333247146.webp,15,1,165900.0,penthouse,sale,77.0,True,2,1,calle Don Quijote de la Mancha,Madrid,Villarejo de Salvanés,,es,,40.1678289,-3.2767129,False,https://www.idealista.com/inmueble/108081352/,"Vivienda en Villarejo de Salvanés  ¡Descubre tu nuevo hogar en un entorno tranquilo y bien comunicado!  Jarama Real Estate pone en venta esta encantadora vivienda es ideal para quienes buscan comodidad, funcionalidad y calidad de vida.  ·2 habitaciones luminosas, ambas con prácticos armarios empotrados.  ·Amplio salón amueblado  ·Cocina independiente totalmente equipada.  ·Baño completo.  ·Estupenda terraza privada.  ·Plaza de garaje incluida. Perfecta como residencia habitual, segunda vivienda o inversión. Villarejo de Salvanés – Madrid  ¡No pierdas esta oportunidad!  Contáctanos y agenda tu visita hoy mismo.",False,good,False,True,2155.0,False,False,False,False,[],False,False,165900.0,€,flat,penthouse,Villarejo de Salvanés,Ático en calle Don Quijote de la Mancha,,,,,True,True
108449380,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9d/6a/58/1345223166.webp,10,bj,176000.0,studio,sale,25.0,False,0,1,calle de Zurita,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.40787,-3.7007219,False,https://www.idealista.com/inmueble/108449380/,Excelente piso completamente reformado y amueblado a estrenar situado en la mejor zona del distrito Centro Lavapies.,False,good,False,False,7040.0,False,False,False,False,[],False,False,176000.0,€,flat,studio,"Lavapiés-Embajadores, Madrid",Estudio en calle de Zurita,,179000.0,3000.0,2.0,,
106165536,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/b2/82/1321197000.webp,10,,189200.0,chalet,sale,240.0,,4,2,calle Santander,Madrid,Colmenar de Oreja,,es,,40.0855372,-3.4922969,False,https://www.idealista.com/inmueble/106165536/,"Chalet adosado de 241 m² ubicado en Colmenar de Oreja, Madrid. Se trata de un chalet adosado de 241 m² distribuidos en dos plantas. Planta baja, diáfana destinada a garaje. La planta primera distribuida en 4 dormitorios, 2 baños, uno de ellos incorporado en el dormitorio principal, salón-comedor, cocina, trastero y distribuidor. Pequeña terraza abierta El chalet se sitúa en la Urbanización Urtajo, proporcionando un entorno tranquilo y residencial. Colmenar de Oreja está bien conectado por carretera con accesos desde la A-3, facilitando el desplazamiento hacia Madrid capital y otras localidades cercanas. En cuanto a transportes públicos, cuenta con servicios de autobús que conectan con la capital y otras áreas circundantes. En la localidad encontrará servicios como supermercados, restaurantes y centros educativos, así como el Centro de Salud de Colmenar de Oreja que garantiza atención médica. Además, se puede disfrutar del Parque Regional del Sureste, un punto de interés natural destacado que ofrece diversas actividades al aire libre. Con nuestros servicios podrá encontrar el chalet adosado que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.",False,good,False,,788.0,False,False,False,False,[],False,False,189200.0,€,chalet,independantHouse,Colmenar de Oreja,Casa independiente en calle Santander,C6-03028-0001,195000.0,5800.0,3.0,,
108089619,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/df/f2/1355555692.webp,28,,426000.0,chalet,sale,220.0,,4,3,Algete,Madrid,Algete,,es,,40.5927077,-3.4945819,False,https://www.idealista.com/inmueble/108089619/,"Bonito chalet adosado en una de las mejores zonas de Algete con 220 m2 repartidos en cuatro plantas! En la planta principal, tenemos aseo de cortesía, armario empotrado, amplia cocina equipada con muebles altos y bajos, zona comedor y toma de antena. Amplio salón diferenciado en dos ambientes, con acceso a un patio en dos alturas. La escalera de distribución nos lleva a la primera planta con cuatro dormitorios, dos de ellos dobles, con armarios empotrados, uno de ellos con baño en suite. El pasillo distribuidor también posee un gran armario empotrado. También dispone de una tercera planta diáfana abuhardillada de gran altura, con ventana velux de más de 50m2 En la planta semisótano se encuentra un garaje doble, trastero y cuarto de caldera Además, la urbanización dispone de unas fantásticas zonas comunes con piscina, parques infantiles, etc. La localidad se encuentra perfectamente comunicada con Madrid a través de una amplia red de autobuses interurbanos, unos que salen de Algete y otros que vienen de otros municipios. La principal vía de acceso es la A-1, aunque también cuenta con la vía de circunvalación M-50. ¡No pierdas la oportunidad! Solicita más información! Se informa al cliente que los gastos de notaría, tasación, registro, gestoría, impuesto de transmisiones, gastos financieros, gastos de gestión u honorarios de intermediación de la agencia, y/o cualquier otro gasto inherente a la compraventa, no están incluidos en el precio publicado y corresponden a la parte compradora.",False,good,False,,1936.0,False,False,False,False,[],False,False,426000.0,€,chalet,terracedHouse,Algete,Chalet adosado,00074,,,,True,True
107309486,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/ff/5f/1309137311.webp,17,7,495000.0,flat,sale,201.0,True,6,3,avenida del Alcalde de Móstoles,Madrid,Móstoles,Norte - Universidad,es,,40.3362584,-3.8688693,False,https://www.idealista.com/inmueble/107309486/,"Inmobiliarias Encuentro vende fantástica y exclusiva vivienda de 201 m² con dos TERRAZAS en la zona de Estoril II de Móstoles, El inmueble esta distribuido en un recibidor con acceso a salón y cocina, salón-comedor con salida a una de las terrazas, cocina office independiente, cuatro dormitorios dobles, una habitación individual y la habitación principal con baño en suit con jacuzzi, aseo y baño completo con bañera.  En cuanto a las calidades la vivienda consta de suelo de gres, ventanas de climalit, puerta blindada, calefacción central, termo eléctrico, toda la vivienda es exterior y cuenta con tres orientaciones garantizando luz del sol directa todo el día. En la zona puedes encontrar todo tipo de servicios como; centros médicos, transporte público como autobuses y a tan solo 5 minutos del ""Metro Universidad Rey Juan Carlos"", comercios, supermercados, colegios y zonas infantiles. También cuenta con una fácil salida a la carretera A-5. ¡No dudes en contactarnos para concertar una visita!",False,good,False,True,2463.0,False,False,False,False,[],False,False,495000.0,€,flat,,"Norte - Universidad, Móstoles",Piso en avenida del Alcalde de Móstoles,IE11-CKTO,,,,,
108349245,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/0f/68/1341451103.webp,21,,180000.0,flat,sale,85.0,True,3,1,Reyes,Madrid,Parla,Reyes,es,,40.2337593,-3.7710565,False,https://www.idealista.com/inmueble/108349245/,"REF. 2304/460. ALFA INMOBILIARIA te ofrece esta acogedora vivienda en Parla. ¡No dejes escapar esta oportunidad para vivir en una de las zonas mejor valoradas de Parla! Esta vivienda dispone de un acogedor salón con terraza cerrada, 3 habitaciones amplias y un baño. La cocina es independiente se entrega amueblado, con vitrocerámica, horno y campana.  El inmueble esta reformado recientemente, cambiando el suelo a gres/tarima y puertas macizas. Segunda planta sin ascensor.  La vivienda está ubicada en una zona muy privilegiada, con todos los servicios esenciales a mano, como, centro de salud, parada de tranvía, supermercados y restaurantes. Además de disponer de muy buen servicio de transporte público mediante la linea 461 hacía Madrid y con buen acceso hacia la A - 42. ALFA URBIZA, tu oficina de Alfa Inmobiliaria en Parla, te ofrecemos asesoramiento personalizado y un Departamento Financiero para ayudarte a encontrar la mejor financiación según tu perfil. ¡Te lo ponemos fácil! ¡Llama hoy mismo a ALFA URBIZA para más información.",True,good,False,False,2118.0,False,False,False,False,[],False,False,180000.0,€,flat,,"Reyes, Parla",Piso,2304/460,185000.0,5000.0,3.0,,
108821615,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/6f/27/1356126567.webp,10,5,120000.0,flat,sale,57.0,True,3,1,CL BENIMAMET,Madrid,Madrid,Villaverde,es,San Cristóbal,40.3457263,-3.6862415,False,https://www.idealista.com/inmueble/108821615/,"Chez Marie Servicios Inmobiliarios vende vivienda procedente de entidad bancaria, piso en San Cristóbal, al lado de Villaverde Bajo, ubicación magnífica con todos los servicios centro de salud, guardería, muy bien comunicado con transporte público a 5 - 6 min de la estación de RENFE CDAD. DE LOS ANGELES! El piso es una quinta planta con ascensor, consta de tres dormitorios, salón, cocina y baño, muy luminoso, además de tener ascensor. Ideal para inversores, alquiler garantizado, o para primera vivienda, ya que la hipoteca es mínima, menos que un alquiler. FINANCIACION 100%, procedente de entidad bancaria, esta en periodo de subasta hasta el día 14 de Agosto de 2025, a la mejor puja. Consúltenos sin compromiso, se puede visitar, libre de inquilinos y ocupas. No deje pasar esta oportunidad. FINANCIACION 100% SOLO CON LOS GASTOS INICIALES.",False,renew,False,True,2105.0,False,False,False,False,[],False,False,120000.0,€,flat,,"San Cristóbal, Madrid",Piso en Cl Benimamet,MAD-04 ,,,,,
107914819,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/d5/7a/1330198596.webp,25,5,234800.0,penthouse,sale,58.0,True,2,1,La Avanzada - La Cueva,Madrid,Fuenlabrada,La Avanzada - La Cueva,es,,40.2897401,-3.7841215,False,https://www.idealista.com/inmueble/107914819/,"Hola! Si estás buscando un ático espectacular en Fuenlabrada, este podría ser el lugar perfecto para ti. Ubicado en la zona del Parque de los Estados, tendrás todo lo que necesitas a tu alcance: colegios, institutos, bancos, farmacias y tiendas, además de estar a menos de 300 metros del metro. El ático cuenta con dos dormitorios, un gran salón que se conecta a una amplia terraza, ideal para disfrutar de reuniones familiares. También tiene un baño espacioso y una cocina con acceso a un tendedero y a la terraza. ¡Incluso hay un trastero en la terraza! Si te interesa, no dudes en visitarlo. Estoy aquí para ayudarte a hacer realidad tus sueños de hogar. ¡Espero que te animes!",False,renew,False,True,4048.0,False,False,False,False,[],False,False,234800.0,€,flat,penthouse,"La Avanzada - La Cueva, Fuenlabrada",Ático,FC1,,,,,
108522661,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/bb/e6/1347420025.webp,31,1,2300000.0,flat,sale,158.0,False,3,3,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,40.4234651,-3.6781896,False,https://www.idealista.com/inmueble/108522661/,"Se vende este maravillo piso con 2 orientaciones, norte y sur. La vivienda tiene una distribución perfecta por lo que hace que apenas se pierdan metros en pasillos y espacios no habitables. El salón se compone de 2 zonas bien diferenciadas con unas vidrieras originales que permiten el paso de luz y tener intimidad a la vez, una de las zonas está como área de comedor y la otra es una zona de sofás con chimenea. dispone además de una espaciosa cocina con galería. Tiene una habitación con baño en suite y otra muy grande, ambas con muchísimos armarios. Pegado a la cocina dispone de una habitación con otro baño que puede servir como office. Es un piso con muchas posibilidades o para poder entrar tal y como está ya que tiene una distribución muy bien pensada ya que está modificada de la original.  El inmueble se ubica en una finca señorial con portero y varios ascensores, en la calle O´Donnell a escasos pasos del parque Retiro Las primeras fotografías son una simulación. No dude en concertar una visita.  ref: CRPIS_381 (2).",False,good,False,True,14557.0,False,False,False,False,[],False,False,2300000.0,€,flat,,"Ibiza, Madrid",Piso,CRPIS_381 (2),,,,,
