propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,district,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice
108603019,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/83/06/1349706328.webp,,15,,250000.0,chalet,sale,110.0,,3,1,CL SANTA CLARA,Madrid,Arganda,es,40.2970915,-3.4372833,False,https://www.idealista.com/inmueble/108603019/,"IA AGENCIA DE BIENES RAICES S. C VENDE! Vivienda unifamiliar en planta baja en Arganda del Rey – Calle Santa Clara Se ofrece a la venta una casa baja situada en una zona residencial tranquila de Arganda del Rey, concretamente en Calle Santa Clara. La propiedad dispone de tres dormitorios, un baño completo, y dos patios interiores con posibilidad de unificarse en un único espacio exterior amplio y funcional. La vivienda cuenta con aire acondicionado y se encuentra en buen estado de conservación, si bien ofrece amplias posibilidades de reforma para adaptarse a diferentes necesidades o gustos personales. Características principales: 3 dormitorios 1 baño completo 2 patios interiores (posibilidad de unirlos) Aire acondicionado instalado Vivienda en estado habitable con potencial de actualización Fácil acceso a Madrid por la A-3 y la R-3 Zona consolidada con todos los servicios: colegios, centros de salud, supermercados, transporte público y zonas verdes Además, disponemos de departamento financiero propio para asesorar a los interesados sobre las mejores condiciones hipotecarias disponibles, sin compromiso. Ofrecemos un estudio personalizado para facilitar el acceso a la compra de esta vivienda. Una excelente oportunidad tanto para familias como para inversores, en una ubicación bien comunicada y con alto potencial de mejora y revalorización. Para más información o concertar una visita, no dude en ponerse en contacto.",False,good,False,,2273.0,False,False,False,False,[],False,False,250000.0,€,chalet,"Centro, Arganda",Chalet adosado en Cl Santa Clara,Centro,terracedHouse,,,,,,,
105183256,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/d9/43/1244364307.webp,B-Montera,44,4,1299000.0,flat,sale,193.0,True,4,4,calle de la Montera,Madrid,Madrid,es,40.4187069,-3.7015367,False,https://www.idealista.com/inmueble/105183256/,"El estudio de Arquitectura Arctempus ha renovado este inmueble. La ubicación del inmueble es excelente. Cuenta con cuatro habitaciones, tres de ellas con baño en suite. La cocina está equipada con electrodomésticos de alta gama, se vende completamente amueblado con muebles de diseño hechos a medida, acabados en madera y una excelente iluminación mediante luces LED y decorado.",False,good,False,True,6731.0,False,False,False,False,[],False,False,1299000.0,€,flat,"Sol, Madrid",Piso en calle de la Montera,Centro,,,,,Sol,,,
108866687,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/d8/97/1357448332.webp,DJ1236S,4,bj,159990.0,flat,sale,83.0,True,3,1,Barrio San Diego,Madrid,Madrid,es,40.3874168,-3.6689706,False,https://www.idealista.com/inmueble/108866687/,"¡oportunidad solo para inversores, venta con POSESION. Condiciones especiales de compra: En este tipo de adquisiciones se requieren una serie de requisitos detallados a continuación. 1º. - no permite hipoteca sobre el inmueble, los bancos no financian estas operaciones. 2º. -en caso de interés por la propiedad, se le pedirán una serie de datos y se le pasará la información necesaria, de acuerdo a la protección de datos y su tratamiento. 3. No se escucharan ofertas por debajo del precio. 4. Siempre se visitara la propiedad por parte del cliente, SIEMPRE. El precio de venta está sujeto a la aprobación definitiva por parte de la entidad. Contáctenos para más información.",False,good,False,False,1928.0,False,False,False,False,[],False,False,159990.0,€,flat,"San Diego, Madrid",Piso,Puente de Vallecas,,,,,San Diego,,,
107601508,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/5a/0b/1317276903.webp,4754,6,2,118000.0,flat,sale,57.0,True,3,1,calle de Villafuerte,Madrid,Madrid,es,40.3574997,-3.690155,False,https://www.idealista.com/inmueble/107601508/,"INMUEBLE ILEGALMENTE OKUPADO SITUADO EN CALLE VILLAFUERTE 37, ESC. I (IZQ),   2ºA,   MADRID, MADRID No se puede visitar, no se puede tasar ni se puede hipotecar. Se tiene que comprar pagando al contado y el comprador asume la tarea de la desocupación. Os presentamos este práctico piso situado en Madrid. La vivienda se distribuye en salón-comedor, cocina. Situado en la 2a planta del edificio. Cuenta con todos los servicios necesarios a su alrededor, como escuelas, supermercados, bancos, farmacias, oficinas de correos, centros deportivos, la estación de metro Villaverde bajo-Cruce y la estación de tren Villaverde bajo. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a Autovía del Sur.",False,good,False,False,2070.0,False,False,False,False,[],False,False,118000.0,€,flat,"Los Rosales, Madrid",Piso en calle de Villafuerte,Villaverde,,,,,Los Rosales,,,
108017261,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/b6/18/1331328307.webp,A_6435628,5,,130000.0,flat,sale,72.0,,3,1,calle de San Aureliano,Madrid,Madrid,es,40.3438263,-3.7167868,False,https://www.idealista.com/inmueble/108017261/,"� OPORTUNIDAD DE INVERSIÓN: PROPIEDAD EN PROCESO DE SUBASTA � Piso en Madrid capital. Está ubicado en la Calle San Aureliano 10, en el distrito de Villaverde, una zona residencial consolidada del sur de Madrid con excelente conexión al centro y todos los servicios a pocos pasos. Ideal como primera residencia o como inversión en una zona con alta demanda de alquiler y buena rentabilidad. El inmueble se encuentra en la planta 2ª de un edificio de 5 alturas. Cuenta con una superficie construida de 72 m², distribuidos en 3 habitaciones y 1 baño. � Puntos de Interés y Conectividad Situado en una zona con acceso inmediato a supermercados (Mercadona, Día, Ahorramás), colegios e institutos, centro de salud, farmacias, y Universidad Carlos III (campus de Getafe) a 15 minutos en transporte. � Estación de metro Villaverde Alto (línea 3) — a 5 minutos a pie � Cercanías Renfe Villaverde Alto (líneas C4 y C5) — a 6 minutos a pie � Líneas de autobús EMT 22, 1 — paradas a menos de 5 minutos � Acceso rápido a M-30, M-40 y A-42 — excelente conexión por carretera ✈️ Aeropuerto Adolfo Suárez Madrid-Barajas — a 25 minutos en coche 1. ¿Qué es una subasta judicial? Es la oportunidad de adquirir un inmueble a un precio muy atractivo, por debajo del valor de mercado. 2. ¿Dónde ocurre la subasta? La subasta ocurre en el Portal de Subastas del Boletín Oficial del Estado, por orden judicial. Se puja online y el mejor postor se adjudica la propiedad. 3. ¿Qué es necesario para poder pujar?  Para pujar tendrás que registrarte en el Portal y pagar un depósito del 5% del valor de subasta. En caso de no ser la mejor puja, el depósito se devolverá inmediatamente. 4. ¿Qué debo tener en cuenta antes de pujar en una subasta inmobiliaria? En caso de ser ganador, tendrás 40 días para pagar el precio restante en la cuenta del juzgado. Es necesario contar con liquidez, ya que no se puede financiar con una hipoteca.  Por lo general no es posible visitar el interior del inmueble. Necesitarás un abogado y un procurador para terminar el proceso judicial. *DISCLAIMER: La información proporcionada en el anuncio es orientativa y podría no coincidir con la configuración actual del inmueble.",False,good,False,False,1806.0,False,False,False,False,[],False,False,130000.0,€,flat,"Villaverde Alto, Madrid",Piso en calle de San Aureliano,Villaverde,,,,,Villaverde Alto,,,
107965033,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/a6/8c/1329662251.webp,,23,1,275000.0,flat,sale,119.0,True,4,4,camino de Las Charcas,Madrid,Sevilla la Nueva,es,40.3523969,-4.0332012,False,https://www.idealista.com/inmueble/107965033/,"Se pone a la venta venta esta gran oportunidad de rentabilidad. Vivienda en Sevilla la Nueva reformada y distribuida en 4 apartamentos individuales, compuestos de 2 dormitorios cada uno de ellos, baño completo y cocina. Para mas información, no dudes en llamarnos.",False,good,False,False,2311.0,False,False,False,False,[],False,False,275000.0,€,flat,Sevilla la Nueva,Piso en camino de Las Charcas,,,,,,,,,
108604376,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/0a/3c/1349740534.webp,TNTCL-0036,2,bj,525000.0,flat,sale,218.0,True,2,2,Getafe norte,Madrid,Getafe,es,40.32231,-3.7256314,False,https://www.idealista.com/inmueble/108604376/,"INMUEBLE SIN POSESION Y SIN ACCESO AL INTERIOR. INMUEBLE SIN POSESION Y SIN ACCESO AL INTERIOR. Las fotografías y las características del activo, pueden no ajustarse al estado actual. Ideal para Invertir. NO COBRAMOS HONORARIOS AL COMPRADOR. Dado que el inmueble no puede ser visitado impide que puedan realizarse la tasación oficial, por lo que mientras perdure la situación, no podrá ser hipotecado. En consecuencia, se recomienda que el interesado se asesore con un profesional antes de adoptar la decisión de compra. No se puede realizar visita al interior de la propiedad, sin embargo representa una excelente oportunidad de inversión este piso ubicado en Getafe, Madrid. No dejes pasar la oportunidad, para más información puedes contactarnos por teléfono, correo, mediante el portal inmobiliario y/o páginas web. Somos una empresa Inmobiliaria con posicionamiento en España y en el Mundo, estas cordialmente a conocer más de nosotros. Estamos en +84 países con +134.000 Agentes inmobiliarios. Es una propiedad de procedencia bancaria. Cualquier duda pueden consultar con nosotros, será un placer atenderles. El Propietario de la Vivienda Puede Realizar Ajustes de Precios sin previo aviso (pueden bajar o subir de acuerdo a condiciones del mercado). No dejes pasar la oportunidad, mañana puede ser tarde. ¡Te esperamos! Los datos indicados son de carácter informativo, sin valor contractual. Los impuestos no están incluidos...",False,renew,False,False,2408.0,False,False,False,False,[],False,False,525000.0,€,flat,"Getafe norte, Getafe",Piso,Getafe norte,,,,,,,,
108876484,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/0b/79/1357669543.webp,DJ1243S,5,bj,114990.0,flat,sale,40.0,True,2,1,Barrio San Diego,Madrid,Madrid,es,40.3939374,-3.6680313,False,https://www.idealista.com/inmueble/108876484/,"¡oportunidad solo para inversores, venta con POSESION. Condiciones especiales de compra: En este tipo de adquisiciones se requieren una serie de requisitos detallados a continuación. 1º. - no permite hipoteca sobre el inmueble, los bancos no financian estas operaciones. 2º. -en caso de interés por la propiedad, se le pedirán una serie de datos y se le pasará la información necesaria, de acuerdo a la protección de datos y su tratamiento. 3. No se escucharan ofertas por debajo del precio. 4. Siempre se visitara la propiedad por parte del cliente, SIEMPRE. El precio de venta está sujeto a la aprobación definitiva por parte de la entidad. Contáctenos para más información.",False,good,False,False,2875.0,False,False,False,False,[],False,False,114990.0,€,flat,"San Diego, Madrid",Piso,Puente de Vallecas,,,,,San Diego,,,
108154118,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/0b/ae/1336698952.webp,,15,5,1350000.0,flat,sale,167.0,True,2,2,calle del Prado,Madrid,Madrid,es,40.4136131,-3.6997813,False,https://www.idealista.com/inmueble/108154118/,"Los metros útiles son 103 de vivienda sin los espacios abuhardillados, más 28 de terraza. Se vende ático en finca clásica noble con reforma a estrenar terminada en 2024, de lujo, con 2 habitaciones, 2 baños, cocina integrada en un salón de 38m más la cocina, con acceso a una terraza en dos ambientes y en propiedad. Vivienda muy íntima y tranquila por la orientación y las calidades de la reforma que se hizo para vivir la actual propietaria. Dispone de suelo radiante vía aerotermia en toda la casa además de aire frio/calor por conducto, ventanas triple capa de cristal y dos cámaras de aire de la marca Schüco, baños Lofen, aislamiento de poliestireno y 20 capas de Wurth. Muy pocos gastos de suministros. Muy silencioso. Finca reformada íntegramente por Vallehermoso en 1995 con las vigas cambiadas por las de hierro, sistema corta fuegos y todo en última normativa. Vecindario tranquilo y estable. Portal de piedra y escalinata. Zona consolidada y al alza por los palacetes de los que dispone, muy cerca de Botánico y del Retiro y toda una gran oferta gastronómica y cultural al ser el barrio de las letras, Teatro Español, Calderón, Monumental, Ateneo. Casa museo Lope de Vega, CaixaForum, Reina Sofía, Prado, Thyssen. Mercado de Antón Martín y varios supermercados. Metro Antón Martín L1 y Sol L1, L2, L3 y Renfe a 5minutos andando. Buena salida a la Castellana y a la M-30.",False,good,False,True,8084.0,False,False,False,False,[],False,False,1350000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle del Prado,Centro,,,,,Huertas-Cortes,True,False,30000.0
108449864,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/ff/26/1355007102.webp,,5,3,3685000.0,flat,sale,361.0,True,4,4,Barrio El Viso,Madrid,Madrid,es,40.4480252,-3.6892639,False,https://www.idealista.com/inmueble/108449864/,"Piso para REFORMA TOTAL en LA MEJOR ZONA DEL Viso, en una calle tranquila, sin ruido y con vistas a verde. CON MUCHÍSIMA LUZ! no tiene ningún edificio pegado. Con jardín y piscina comunitaria recién reformados. Una tercera planta en un edificio de 4 alturas. Tiene muchísimas posibilidades de distribución. Los huecos de ventana son muy grandes y tiene 2 terrazas. Cuenta con conserje, 2 plazas de garaje en la misma finca y trastero.",False,renew,False,True,10208.0,True,False,False,False,[],False,False,3685000.0,€,flat,"El Viso, Madrid",Piso,Chamartín,,,,,El Viso,True,True,
