propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,newDevelopmentFinished,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108728183,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/0b/ab/1353373395.webp,19,bj,235000.0,flat,sale,119.0,False,1,2,"avenida M-40, 11",Madrid,Alcorcón,Campodón - Ventorro del Cano,es,Campodón - Ventorro del Cano,40.3930017,-3.8337103,True,https://www.idealista.com/inmueble/108728183/,"INMOBILIARIA HOGARES BOADILLA DEL MONTE vende FANTASTICO LOFT CON DOS PLAZAS DE GARAJE en la zona de Ventorro del Cano.  Loft dúplex totalmente reformado de 119m² en la zona del Polígono industrial de ‘Ventorro del Cano’, frente a la urbanización Montepríncipe de Boadilla del Monte.  Este loft se distribuye en dos plantas. En la planta principal encontramos un amplio espacio diáfano con cocina americana, un aseo y un gran salón con salida directa al jardín de unos 20m².   En la planta superior, encontramos una segunda zona diáfana donde contamos con el dormitorio principal, baño completo y vestidor. El loft cuenta con aire acondicionado por Split. Dispone de dos plazas de garaje y un amplio trastero. Además, cuenta con servicio de Conserjería de lunes a sábado. Se encuentra muy bien comunicada, cerca del metro ligero, paradas de autobús y acceso directo a M40.  ¡NO PERDÁIS LA OPORTUNIDAD DE VENIR A VISITARLO.",True,good,False,True,1975.0,True,True,False,False,[],False,False,235000.0,€,True,True,flat,"Campodón - Ventorro del Cano, Alcorcón","Piso en avenida M-40, 11",Top,,,,,,,
108686153,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/42/5a/1352118730.webp,21,7,1863808.0,penthouse,sale,175.0,True,2,2,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4366164,-3.7009118,False,https://www.idealista.com/obra-nueva/108686153/,"Descubre esta gran oportunidad de inversión. Proyecto residencial de Obra Nueva ubicado en la calle Santa Engracia, en pleno corazón de Madrid, en el Barrio de Chamberí, donde se fusionan la elegancia clásica y la modernidad vanguardista. El edificio está compuesto por 14 apartamentos de 1 y 2 dormitorios, incluyendo un magnífico ático dúplex de 2 dormitorios con terraza y piscina. Existe la posibilidad también de unir 2 viviendas, obteniendo así amplios apartamentos de 2 dormitorios en suit. Además, el edificio cuenta con amenities, gimnasio y sala de ocio o business center. ¿Te imaginas vivir aquí?",False,newdevelopment,True,True,10650.0,True,False,False,False,[],False,False,1863808.0,€,,,flat,"Almagro, Madrid",Ático,Top,ONM2502004,False,penthouse,,,,
108008310,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/e4/29/1331005412.webp,56,,2190000.0,chalet,sale,507.0,,6,6,calle Volga,Madrid,Ciudalcampo,,es,,40.6281133,-3.6047551,False,https://www.idealista.com/inmueble/108008310/,"Cristina Torras de GV | CIUDALCAMPO comercializa el siguiente inmueble: Estupenda casa de 507 metros cuadrados sobre una parcela de 2843 metros en una de las mejores zonas de la urbanización. Se encuentra en un cul-de-sac a pocos minutos del control de acceso, lindando con una reserva natural, lo que le proporciona unas vistas impresionantes a la sierra de Madrid desde sus amplias y luminosas estancias. Reformada por una conocida interiorista, esta casa está pensada para disfrutar de la familia en su parte más íntima en la planta baja y con una gran zona social diferenciada para poder recibir a invitados de manera independiente en la planta superior. El jardín ha sido diseñado por un reconocido paisajista y cuenta con una gran variedad de árboles consolidados y zonas de bajo mantenimiento, así como una bonita piscina orientación sur y zona chill out con fuente de agua. Certificado energético A. Distribución:  Entramos en la vivienda a través de un hall que nos lleva a la zona de salón sala de estar y comedor con salida a un gran porche con vistas panorámicas. Completa esta planta una luminosa cocina con acceso al porche. En la planta de abajo tenemos tres zonas. La primera con un cuarto de estar con salida a la piscina y tres dormitorios con dos baños. En la segunda a continuación tenemos una cocina con zona de lavandería y un dormitorio de invitados con baño en suite. Y por último tenemos un gran dormitorio principal con baño en suite chimenea despacho sauna y salida directa a otro porche. Destacamos de esta vivienda los acabados de gran calidad así como el diseño del jardín realizado por un reconocido paisajista. Esta información no tiene Carácter contractual. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.",True,good,False,,4320.0,True,False,False,False,[],False,False,2190000.0,€,True,True,chalet,Ciudalcampo,Casa independiente en calle Volga,Top,100002,,independantHouse,,,,
108364347,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/a8/0e/1341907215.webp,66,,1012000.0,chalet,sale,315.0,,8,4,Parque de la Coruña - Las Suertes,Madrid,Collado Villalba,Parque de la Coruña - Las Suertes,es,,40.6178074,-4.0101747,False,https://www.idealista.com/inmueble/108364347/,"Villas de Bravante gestiona la venta, EN EXCLUSIVA Y SIN HONORARIOS AL COMPRADOR, de este chalet con 315m2 construidos y parcela de 1.218m2.  A la planta baja se accede desde un zaguán perfectamente aislado con ventanales clilmalit, dando paso a un gran recibidor con doble altura gracias a a la escalera de madera. A su izquierda, encontramos el salón comedor, en el que, al fondo, existe un ventanal que ofrece las mejores vistas al jardín y piscina. La chimenea en esquina hace del salón un conformable lugar en invierno. Se accede al porche cubierto exterior, con una enorme mesa de granito para disfrutar de comidas y cenas en familia y amigos, junto con una barbacoa, horno, encimera y fregadero exterior. Adornado con sillas de forja, butacas y lámparas de latón. El comedor y salón disfrutan de la luz de la orientación Este y Sur, con altos techos y amplias ventanas. La cocina, de 14 m2 útiles, tiene una magnifica disposición de muebles altos y bajos, con una gruesa encimera de granito y mesa para desayunar al lado de la ventana. También tiene una puerta con salida o entrada a la zona de garaje, para facilitar la carga y descarga de la compra. En esta misma planta, se sitúan 3 habitaciones, todas exteriores, con diferentes usos: Sala de estar, gimnasio y habitación de servicio. Además, cuenta con un precioso y alegre cuarto de baño y un aseo, los dos con ventanas oscilobatientes y con muebles bajo encimera, espejos, y en un excelente estado, tanto los sanitarios, grifería, como los encuentros de silicona y alicatados. La planta primera dispone de 5 dormitorios: El principal, tiene su entrada  en el desembarque de la escalera, otorgándole unas vistas que ennoblecen y aportan amplitud y elegancia. Su distribución es ideal: El cuarto de baño, con doble grifería y lavabos, encimera de mármol travertino sobre mueble, plato de ducha en gran formato, grifería termostática, mampara de vidrio templado y una gran ventana con orientación de luz de mañana. A continuación del cuarto de baño se encuentra el vestidor, con dos paredes de armarios con puertas correderas en espejo y ventana. Los armarios están perfectamente vestidos y forrados. Y al fondo, la habitación principal, con ventanas a sus dos lados, techo alto en escayola foseada (al igual que en toda la vivienda), dándole modernidad y sobriedad a las paredes, hechas de ladrillo de hueco doble (no de pladur), para un mejor asilamiento acústico y térmico. La suite es alegre, espaciosa y privada. Retomando el recibidor de la planta primera, accederemos por un pasillo el cual dispone de dos habitaciones a cada lado, muy luminosas y grandes ventanas oscilobatientes con rejas que pueden abrirse con cerradura. Cuarto de invitados, cuartos para los hijos y despacho, son los usos actuales. Con armarios y con tamaños entre los 10,5 m2 a los 13,5 m2 útiles. Comparten un magnifico y amplio cuarto de baño de más de 5m2 útiles, totalmente amueblado y equipado y con ventana al exterior Ya por última sección, la parcela, cuya orientación predominante es Este y Oeste, combina plantas aromáticas de campo, diferentes árboles y altas lindes consolidadas con vegetación natural para dar una mayor privacidad. La piscina de 16 x 5 metros, coronada con piedras de granito en bloques sobre las que el agua cae en cascada. Césped natural, palmeras, cipreses, mimosas, cedros o pinos, arriates y jardineras, componen el paisaje, y una casa de madera para realizar bricolaje. Todo ello con un estratégico alumbrado exterior que hace del jardín un lugar único para disfrutar por la noche.  En el lado contrario de la parcela se encuentra la zona de aparcamiento, para 4 coches cubiertos y otros 4 sin cubrir, con puerta motorizada. La fachada de este maravilloso chalet, de líneas rectas,  combina el chapado en piedra, monocapa y teja árabe. En Colonia de San Antonio, a 5 minutos de la estación de tren y autobuses de Collado Villalba.",True,good,False,,3213.0,True,False,True,False,[],False,False,1012000.0,€,True,True,chalet,"Parque de la Coruña - Las Suertes, Collado Villalba",Casa independiente,Top,1654,,independantHouse,1070000.0,58000.0,5.0,
105748270,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/6f/a8/1261854493.webp,34,,3500000.0,chalet,sale,770.0,,6,6,aguila,Madrid,Ciudalcampo,,es,,40.6205379,-3.6130628,False,https://www.idealista.com/inmueble/105748270/,"HOUSE AND HOUSE VENDE. - Esta Exclusiva vivienda pensada al más mínimo detalle. Hecha con materiales de primera calidad ( Carpintería de cortizo, electrodomésticos de Gaggenau, toda la vivienda esta domotizada, piscina con clorador salino y regulador de ph.. . etc. ) Aerotermia con suelo radiante frio/calor. La vivienda se distribuye: PLANTA PRINCIPAL: Hall de entrada, aseo de invitados, gran salón comedor con diferentes ambientes, cocina muy amplia con zona de office, despensa y dormitorio de servicio, despacho y dormitorio de invitados con baño completo. PLANTA PRIMERA: Tenemos 4 habitaciones con 3 baños. ( El dormitorio principal cuenta con su baño en suite y gran vestidor)  PLANTA BAJA: Garaje cerrado para varios coches, bodega, cuarto polivalente ( ideal para cine y/o gimnasio) cuarto de instalaciones y zona de almacenaje. Preciosa parcela de 3.500m2 con jardín y piscina. MEJOR VER! HOUSE AND HOUSE. - EMPRESA ESPECIALIZADA EN LAS URBANIZACIONES DE SANTO DOMINGO, CIUDALCAMPO, FUENTE DEL FRESNO Y VALDEALGUA DESDE HACE MÁS DE 16 AÑOS. La vivienda está ubicada dentro de una urbanización, situada en el kilometro 28 de la N-I, dispone de seguridad privada las 24h del día, como servicios comunes dentro de la urbanización cabe destacar: El club social del RACE, con un campo de golf de 18 hoyos, hípica, piscina, tenis, padel, futbol, gimnasio etc.. . Además de dos edificios sociales uno de adultos y uno de niños, con zona de ocio, piscina de bolas y unos grandes jardines con columpios y mesas de picnic ideales para celebrar fiestas infantiles. Colegio privado bilingüe SEK, en la urbanización de enfrente (Santo Domingo) hay un colegio público bilingüe con primaria y secundaria y a 5 min por la vía de servicio en dirección Madrid se encuentra también el Trinity College colegio concertado bilingüe. La urbanización tiene una línea de autobús que van a Plaza de Castilla y hacen paradas intermedias en el metro de San Sebastián de los Reyes, junto al Hospital Publico Infanta Sofía. Ciudalcampo dispone además de una línea de minibuses internos que recorren toda la urbanización. A 10 min, encontramos el Hospital público de la Seguridad Social Infanta Sofía, construido recientemente y con todas las especialidades.",False,good,False,,4545.0,True,False,False,False,[],False,False,3500000.0,€,True,True,chalet,Ciudalcampo,Casa independiente en aguila,Top,CDC1898,,independantHouse,,,,
108685863,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/42/5a/1352118730.webp,21,4,826086.0,flat,sale,75.0,True,1,1,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4366164,-3.7009118,False,https://www.idealista.com/obra-nueva/108685863/,"Descubre esta gran oportunidad de inversión. Proyecto residencial de Obra Nueva ubicado en la calle Santa Engracia, en pleno corazón de Madrid, en el Barrio de Chamberí, donde se fusionan la elegancia clásica y la modernidad vanguardista. El edificio está compuesto por 14 apartamentos de 1 y 2 dormitorios, incluyendo un magnífico ático dúplex de 2 dormitorios con terraza y piscina. Existe la posibilidad también de unir 2 viviendas, obteniendo así amplios apartamentos de 2 dormitorios en suit. Además, el edificio cuenta con amenities, gimnasio y sala de ocio o business center. ¿Te imaginas vivir aquí?",False,newdevelopment,True,True,11014.0,True,False,False,False,[],False,False,826086.0,€,,,flat,"Almagro, Madrid",Piso,Top,ONM2502004,False,,,,,
104685725,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/f8/92/1228487115.webp,17,7,1962000.0,penthouse,sale,339.0,,4,5,"calle de Mesena, 80",Madrid,Madrid,Hortaleza,es,Pinar del Rey,40.4660328,-3.6628069,True,https://www.idealista.com/obra-nueva/104685725/,"¡En construcción! “Obra nueva en Madrid, Mesena 80” Mesena 80 es un proyecto de viviendas premium en una de las zonas más privilegiadas de Madrid, muy próximo a Arturo Soria. Consta de 96 magníficas viviendas de 1,2, 3 y 4 dormitorios distribuidas en dos edificios de vanguardia y cuidado diseño. Situada en un entorno urbano consolidado y con una inmejorable situación dada su cercanía a centros escolares, asistenciales y comerciales. Está dotada de excelentes servicios comunes como piscina exterior, piscina interior climatizada, gimnasio, salón social, zona de juegos infantiles y zonas de descanso rodeado de zonas verdes en un entorno privado totalmente cerrado. Son edificios de 7 plantas con impresionantes áticos con terraza y magníficas vistas. Adaptadas a las nuevas necesidades que exige el mercado actual, las viviendas contarán con grandes terrazas, plazas de garaje y trastero. Los salones cuentan con grandes ventanales para crear ambientes agradables y luminosos y generosas terrazas para disfrutar de unas vistas despejadas. Los cuidados interiores se mezclan con la vanguardia y el diseño de sus zonas comunes.  Las viviendas diseñadas por el arquitecto Carlos Lamela utilizan elegantes materiales, en consonancia con su moderno estilo. Aúnan un óptimo mantenimiento y durabilidad con altas prestaciones de confort térmico y acústico: máxima calificación de eficiencia energética Nivel A, certificado BREEAM, suelo radiante refrescante, excelentes aislamientos termo-acústicos, doble orientación, recuperador de calor, geotermia, cocinas y armarios totalmente equipados ¡Y mucho más!",True,newdevelopment,True,True,5788.0,True,False,False,False,[],False,False,1962000.0,€,True,True,flat,"Pinar del Rey, Madrid","Ático en calle de Mesena, 80",Top,100091156,False,penthouse,,,,
106860640,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0a/6b/66/1302435989.webp,18,6,650000.0,penthouse,sale,94.0,True,2,1,calle de Canillas,Madrid,Madrid,Chamartín,es,Prosperidad,40.443006,-3.6729928,False,https://www.idealista.com/inmueble/106860640/,"DIZA consultores les presenta este ático, diseñado para ofrecer amplitud y aprovechar al máximo la luz natural. Su amplia terraza es el lugar perfecto para disfrutar de momentos al aire libre, ya sea relajándote o compartiendo con amigos y familiares. La vivienda destaca por su distribución funcional, que actualmente cuenta con 1 dormitorio, aunque originalmente y con una pequeña reforma, podría considerarse una distribución de 2 dormitorios. Con un salón-comedor espacioso y conectado directamente con la terraza, creando un ambiente abierto y lleno de luz. La cocina semi- Integrada, equipada con todos los electrodomésticos, combina estilo y practicidad para adaptarse a tu día a día. El dormitorio principal cuenta con un espacio adicional que puede ser utilizado como vestidor o despacho, ofreciendo flexibilidad para adaptarlo a tus necesidades. El baño completo, con reforma reciente. Gracias a su orientación completamente exterior, este ático ofrece vistas despejadas al cielo y al skyline de Madrid, llenando cada rincón de luminosidad y haciendo de este espacio un lugar verdaderamente especial. Este ático es una oportunidad única para quienes buscan una vivienda exclusiva en una ubicación privilegiada. Convertimos Sueños en Hogares.",False,good,False,True,6915.0,True,False,False,True,[],False,False,650000.0,€,,,flat,"Prosperidad, Madrid",Ático en calle de Canillas,Top,DS-P22703,,penthouse,,,,
100382005,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/26/b5/1082013492.webp,69,,2480000.0,chalet,sale,1050.0,,5,7,paseo del Embajador,Madrid,Ciudalcampo,,es,,40.6159855,-3.6038302,False,https://www.idealista.com/inmueble/100382005/,"Gilmar Consulting Inmobiliario Santo Domingo vende en Urbanización Ciudalcampo este magnífica y exclusiva vivienda unifamiliar de 1.050 metros cuadrados construidos, con cinco dormitorios y siete cuartos de baño, en parcela de 5.200 metros cuadrados con muy buena ubicación, lindando con el Parque Regional de la Cuenca Alta del Manzanares, en alto y con unas vistas impresionantes de 360º además de mucha intimidad.  El inmueble está desarrollado con espacios amplios y abiertos, grandes ventanales y mucha luz natural en el que se disfruta del contacto con la naturaleza y tiene una distribución muy cómoda haciendo la vida prácticamente en una sola planta. Se distribuye en: -La planta baja con un patio interior que distribuye las estancias con mucha luz natural a través de una gran claraboya. A ambos lados del hall de entrada encontramos dos despachos, aseo de cortesía y cuatro dormitorios, todos con baño en suite. El principal incluye un gran vestidor y salida directa al jardín. -En la planta alta de la casa se ubican los altillos de dos dormitorios, la biblioteca que se asoma sobre el salón y una pequeña sala de té marroquí con mucho encanto y vistas al patio central de la planta baja. -En el sótano, una gran sala multiusos de 150m² equipada con barbacoa interior, cocina y comedor, aseo, gimnasio con sauna, baño turco y jacuzzi para 8 personas, la zona de servicio con dormitorio, baño en suite y lavandería, varios trasteros y garaje para 4 coches. Se trata de una vivienda muy exclusiva pero a la vez familiar que cuenta además con un muy buen jardín en el que disfrutar de su piscina rodeado de naturaleza con impresionantes vistas, además de la pista de pádel privada y la zona de piscina con total privacidad. La urbanización de Ciudalcampo está considerada como una de las mejores zonas residenciales de Madrid, situada junto al Parque Regional de la Cuenca Alta del Manzanares, en los municipios de San Sebastián de los Reyes y Colmenar Viejo, en un entorno privilegiado, con impresionantes vistas a la sierra norte de Madrid con rápido acceso en el Km 28 de la N-1 y muy próxima al aeropuerto de Madrid Barajas, IFEMA y a parques empresariales con múltiples empresas multinacionales. Dispone de excepcionales dotaciones y servicios dentro de la propia urbanización: Colegio internacional SEK, Club deportivo RACE (Golf, Pádel, Tenis, Piscina, Gimnasio, Hípica, Fútbol), Servicio regular de autobuses a Madrid e interno dentro de la propia urbanización, Oficina de correos y Centro Comercial Santo Domingo. Además de 6,5Km de circuito físico para la práctica de deporte al aire libre y 41km de viales con tráfico limitado a la propia urbanización, ideales para los amantes de paseos en plena naturaleza. Cuenta, además, con un sistema de cámaras y vallado perimetral con servicio de seguridad 24 horas, patrullas de vigilancia y control de barrera a la entrada.",False,good,False,,2362.0,True,False,False,True,[],False,False,2480000.0,€,True,True,chalet,Ciudalcampo,Casa independiente en paseo del Embajador,Top,IG171411,,independantHouse,,,,
102853614,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/df/50/d1/1338880220.webp,30,3,1650000.0,flat,sale,183.0,True,3,2,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4395129,-3.6999507,False,https://www.idealista.com/inmueble/102853614/,"ÚNICA INMOBILIARIA tiene el placer de presentar esta exclusiva vivienda situada en esquina dentro de una de las zonas más codiciadas de Chamberí. Totalmente reformada con un proyecto de diseño a medida, esta propiedad combina a la perfección estilo, funcionalidad y tecnología de vanguardia. Luminosa y con carácter, la vivienda se distingue por el cuidado exquisito de cada detalle, pensado para ofrecer máximo confort y una estética contemporánea única. Su excelente orientación y los amplios ventanales permiten una generosa entrada de luz natural, que realza cada estancia y acentúa su diseño moderno. El proyecto arquitectónico ha logrado una distribución fluida y coherente: la zona social se abre hacia las fachadas principales, aprovechando las vistas y la luz, mientras que la zona privada se orienta al interior, garantizando así privacidad y tranquilidad. El área de día ofrece un amplio espacio diáfano que integra despacho, salón, comedor, cocina abierta con isla central, y una acogedora sala de televisión y sonido, todo ello armonizado en un ambiente sofisticado. La vivienda cuenta con un sistema domótico integral, que permite el control inteligente de la iluminación, climatización y audio desde cualquier dispositivo. En la zona de descanso, el dormitorio principal se presenta como una auténtica suite privada, con un elegante baño en suite y armarios empotrados de gran capacidad, diseñados a medida. Le acompañan dos dormitorios individuales, ambos con espacio de estudio, armarios empotrados y un baño completo compartido. Una propiedad singular, que aúna diseño contemporáneo, confort y ubicación privilegiada, ideal para quienes buscan una vivienda de alto nivel en el corazón de Madrid. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,9016.0,True,False,False,True,[],False,False,1650000.0,€,,,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Santa Engracia,Top,cm-425741,,,,,,
