propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,district,neighborhood,description,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
105676739,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/57/b2/1259635150.webp,16,190000.0,chalet,sale,160.0,4,2,Barranco,Madrid,Chinchón,es,40.1420305,-3.4211632,False,https://www.idealista.com/inmueble/105676739/,False,renew,False,1188.0,True,False,False,False,[],False,False,190000.0,€,chalet,terracedHouse,Chinchón,Chalet adosado en Barranco,Destacado,,,,,,,,,,,,
108708882,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/56/b9/54/1352786647.webp,9,369000.0,flat,sale,63.0,3,1,calle del Capitán Blanco Argibay,Madrid,Madrid,es,40.4668505,-3.699439,False,https://www.idealista.com/inmueble/108708882/,False,good,False,5857.0,False,False,False,False,[],False,False,369000.0,€,flat,,"Valdeacederas, Madrid",Piso en calle del Capitán Blanco Argibay,Destacado,2,True,Tetuán,Valdeacederas,"Inmobiliaria Maqueda vende este maravilloso piso en el barrio de Tetuán ( Zona Valdeacederas). Consta de 63m2 construidos se encuentra un espacioso y luminoso 3 dormitorios, salón con cocina americana y cuarto de baño, totalmente reformado con buenas calidades y un diseño muy atractivo y moderno.  Ubicado en la zona con más proyección de Madrid, cerca de la Skyline y muy próximo al maravilloso parque de Rodríguez Sahagún. Muy próximo a zonas de comercio y buena comunicación mediante transporte publico con líneas de autobús cercanas como la 177, 64,.. . y las estaciones de metro Ventilla (L9) y Valdeacederas (L1) que conecta con Puerta del Sol en 15 minutos. Cerca de colegios, supermercados y próximo a la Plaza Castilla y al Barrio del Pilar Grupo Inmobiliario Maqueda es una empresa con más de 50 años de experiencia en el sector y un gran equipo de profesionales. Trabajamos arduamente para corresponder la confianza que nuestros clientes han depositado en nosotros a lo largo de los años y para ganarnos la confianza de nuestros nuevos clientes. Nuestro objetivo es ofrecer el mayor grado de satisfacción posible, prestando especial atención a las necesidades de cada persona que contacta con nosotros. Operamos en el centro de Madrid y sus alrededores, así como en otras ciudades del territorio nacional. No dejes pasar esta oportunidad y contacta para más información o para concertar una visita.",False,,,,,,
108780829,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/fe/f6/1354929240.webp,11,169999.0,flat,sale,58.0,2,1,Barrio Arcos,Madrid,Madrid,es,40.427221,-3.6190366,False,https://www.idealista.com/inmueble/108780829/,False,good,False,2931.0,False,False,False,False,[],False,False,169999.0,€,flat,,"Arcos, Madrid",Piso,Destacado,bj,True,San Blas,Arcos,"""TECNOCASA ""ESTUDIO SAN BLAS 2018 S. L. "" Vende inmueble de 68 m2 construidos en la ZONA ARCOS de SAN BLAS. ""PRECIO NEGOCIABLE* Una PLANTA BAJA SIN ESCALERAS, exterior, SIN ascensor. DOS DORMITORIOS ANTES TRES, REFORMADO COCINA Y BAÑO Y EL RESTO PARA ENTRAR A VIVIR. Compuesto de hall-recibidor, salón muy amplio y luminoso, 2 amplios dormitorios, un baño completo y cocina. El inmueble tiene suelos de tarima y gres. Orientación: SURESTE. El inmueble se encuentra situado entre metro de San Blas L7 y metro Avenida de Guadalajara L2. Es una zona muy bien comunicada, con comercios, colegios, zonas verdes, polideportivo, centro comercial. Los profesionales Kiron, gracias a un profundo conocimiento del mercado bancario, le ayudan a encontrar la solución hipotecaria que mejor se adapte a sus preferencias. "". "". Se realizara obligatoriamente un estudio financiero antes de visitar la vivienda Le buscamos la hipoteca hasta el 100%.",False,189000.0,19001.0,10.0,,,
107658560,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/a0/d6/1318969317.webp,12,479900.0,chalet,sale,235.0,3,4,calle de Grove,Madrid,Arroyomolinos,es,40.2854499,-3.9122103,False,https://www.idealista.com/inmueble/107658560/,False,good,False,2042.0,False,False,False,False,[],False,False,479900.0,€,chalet,terracedHouse,"Las Castañeras - Bulevar, Arroyomolinos",Chalet adosado en calle de Grove,Destacado,,,Las Castañeras - Bulevar,,"REDPISO ARROYOMOLINOS VENDE FANTASTICO CHALET ADOSADO DE RENTA LIBRE Este fabuloso chalet se encuentra en una zona residencial de fácil acceso a todo tipo de comercios, colegios, institutos, parada de autobús, zonas verdes, etc. La vivienda se distribuye en cuatro plantas en las que encontramos: PLANTA PRINCIPAL: nos encontramos con un hall recibidor, del cual pasamos a una amplia y luminosa cocina, donde cocinar será todo un placer para los sentidos. A continuación damos paso al salón con acceso a una terraza acristalada con dos ambientes diferentes que te proporcionará un espacio de confort e intimidad. Ambos espacios están separados por una chimenea funcional de leña. Esta planta también dispone de un aseo de cortesía. PRIMERA PLANTA: disponemos de 3 confortables dormitorios con armarios empotrados y aire acondicionado, además el dormitorio principal cuenta con baño en suite. Esta planta también tiene un baño completo común para el resto de habitaciones. SEGUNDA PLANTA: nos encontramos con una buhardilla diáfana con 1 ventana velux. PLANTA SOTANO: en esta planta se encuentra el GARAJE con espacio para un coche. Además, cuenta con trastero, cocina y aseo. A través de esta planta se accede directamente al maravilloso jardín de césped natural y una fantástica piscina de agua salada, en la que podrás pasar los calurosos días de verano.   ESTA EXCLUSIVA VIVIENDA TE ESTA ESPERANDO, NO DUDES EN VENIR A VISITARNOS, ¡ESTAREMOS ENCANTADOS DE ATENDERTE! Financiación ofrecida por nuestro departamento financiero DCREDIT. Según el Real Decreto de 218/2005 de 11 de octubre, los precios ofertados no comprenden los tributos (Impuestos de Transmisiones Patrimoniales), ni los gastos notariales y registrales relativos a la compra-venta, ni la comisión de intermediación que satisface el comprador.",,,,,RP1712025135899,True,True
105899215,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/c5/7c/1266376611.webp,4,1300000.0,flat,sale,120.0,3,2,calle del General Pardiñas,Madrid,Madrid,es,40.428828,-3.6779021,False,https://www.idealista.com/inmueble/105899215/,False,renew,False,10833.0,False,False,False,False,[],False,False,1300000.0,€,flat,,"Goya, Madrid",Piso en calle del General Pardiñas,Destacado,3,True,Barrio de Salamanca,Goya,"Este espectacular piso de 120 m² te ofrece un hogar lleno de confort y elegancia. Ubicado en una zona inmejorable, estarás cerca de las principales arterias de la ciudad, con excelente conexión al transporte público, incluyendo varias paradas de metro y autobús. Además, disfrutarás de la proximidad a lugares emblemáticos como el Parque del Retiro y la Puerta de Alcalá.  La vivienda cuenta con 2 balcones perfecto para relajarte, un amplio salón con acabados de madera que brindan una sensación de tranquilidad, una cocina funcional y un hall de entrada acogedor. Dispone de tres dormitorios luminosos y espaciosos, un baño completo y un aseo adicional. La calefacción central del edificio garantiza tu confort durante todo el año. El piso se encuentra en la tercera planta de un edificio con ascensor y orientación sur, lo que asegura una excelente iluminación natural. Aunque tiene la posibilidad de reforma, destaca por su elegante decorado con molduras en los techos. A menos de 20 minutos en coche de la T4 de Barajas y a solo 15 minutos a pie de las calles comerciales más exclusivas como Goya, Velázquez y Serrano. No pierdas la oportunidad de vivir en una de las zonas más cotizadas de Madrid.",True,,,,,,
106543621,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/05/e5/1352128301.webp,74,549000.0,chalet,sale,477.0,6,3,Guadarrama,Madrid,Guadarrama,es,40.6578436,-4.0498141,False,https://www.idealista.com/inmueble/106543621/,False,good,False,1151.0,False,False,False,False,[],False,False,549000.0,€,chalet,independantHouse,Guadarrama,Casa independiente,Destacado,,,,,"REDPISO MADRID SUROESTE le ofrece en venta magnífico chalet independiente ubicado en Guadarrama, municipio de la Sierra Noroeste de Madrid. Situado en una parcela de 1.378m², este chalet de 477m² se despliega en tres cómodas plantas:  En la planta principal nos encontramos con un gran salón-comedor con chimenea de 60m², dos dormitorios de 25m² cada uno, gran cocina con office, otra cocina con acceso al jardín y un baño con plato de ducha. En la planta superior, cuatro dormitorios con armarios empotrados y dos baños con bañera. Acceso a una espléndida terraza privada de 65m² con fantásticas vistas a la sierra.  La planta baja o sótano dispone de estancias con generosos espacios que contemplan múltiples posibilidades de uso: cuarto de herramientas, área de juegos, taller, trastero, etc…,  En exteriores, bonito porche con vistas a zona ajardinada y a una espléndida piscina. Además la vivienda cuenta con zona de barbacoa, leñera, bodega y garaje con capacidad para tres coches. La calefacción mediante caldera de gasoil conforma su sistema de climatización.  Vivienda con enorme potencial. Su magnífica ubicación, le permite un rápido acceso tanto a su núcleo urbano como a la capital gracias a la comunicación que tiene (se encuentra a tan solo 42Km de Madrid) y dispone de una amplia red de carreteras y autobuses. ¡No dude en contactar con nosotros para ampliar la información o concertar una visita para conocer la vivienda!.",,559000.0,10000.0,2.0,RP3112024131732,True,True
108290531,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/f0/35/1339678956.webp,16,305000.0,flat,sale,70.0,3,2,avenida de la Virgen de Loreto,Madrid,Torrejón de Ardoz,es,40.4610516,-3.4752247,False,https://www.idealista.com/inmueble/108290531/,True,good,False,4357.0,False,False,False,False,[],False,False,305000.0,€,flat,,"Noroeste, Torrejón de Ardoz",Piso en avenida de la Virgen de Loreto,Destacado,6,True,Noroeste,,"VOhome Torrejón de Ardoz te presenta este encantador piso en muy buena zona de Torrejón de Ardoz   Una oportunidad única para disfrutar de la comodidad y la funcionalidad en una de las zonas más demandadas del noroeste de Madrid. La vivienda tiene una superficie de 70 m², esta propiedad cuenta con 3 acogedores dormitorios y 2 baños, perfectos para adaptarse a tus necesidades familiares. La cocina, amplia con tendedero, es un espacio funcional donde podrás dar rienda suelta a tu creatividad culinaria. Además dispone de un gran salón acogedor independiente con bonitos ventanales para disfrutar de la luz natural.  Este piso es exterior y luminoso, con ventanas climalit que aseguran un excelente aislamiento. Es un hogar que ofrece características que garantizan tu confort. La seguridad está garantizada con una puerta blindada, el aire acondicionado y la calefacción de gas natural central te permitirán mantener la temperatura ideal durante todo el año  Además, cuenta con armarios empotrados que ofrecen un amplio espacio de almacenamiento y suelos de parquet   Accede sin problemas gracias a su acceso para personas con movilidad reducida y disfruta de la comodidad del ascensor y un sistema de cámaras de seguridad, mientras que el videoportero te proporcionará tranquilidad adicional. Próximamente nuevo reportaje fotográfico    La zona donde se encuentra ubicado el piso tiene colegios (CEIP Buen Gobernador, Jaby, ALBA), escuela de educación infantil Loreto, parque Paseo de la Chopera, cerca del centro de información de la seguridad social y al centro de salud Las Veredillas. Cercano además el teatro José María Rodero, Centro Cultural, Gimnasio Go Fit, supermercados y todos los comercios de primera necesidad. A escasos pasos de la Plaza Mayor, Ayuntamiento, Cercanías RENFE, Terminal de Autobuses Urbanos e Interurbanos y Paradas de Taxi. Muy próximo al parque comercial ON PLAZA. Fácil y rápido acceso a la avenida Madrid, calle Madrid y Avenida de Las Fronteras  Las líneas principales donde se encuentra el piso son L1B, 5B y más adelante se encuentra el 226 hacia Madrid  Torrejón de Ardoz es un municipio que supera ya los 135 mil habitantes, se encuentra a tan solo 25 km de su capital (Madrid) y a 14 km del aeropuerto. cuenta con una parada central de autobuses interurbanos que nos acercan al aeropuerto con la línea 824, hacia San Fernando la línea 220 y 226, hacia Madrid – Av. America la línea 224 y 224 A, hacia Alcalá de Henares la línea 251 y 252 y la línea de autobús 340 hacia Mejorada del Campo. Cuenta también con los buses urbanos L1 A y B, L2, L3 y L5 que nos acercan a todas las zonas de la ciudad y sus dos estaciones de tren cercanías parada Torrejón de Ardoz (C-1, C-2, C-7) y parada Soto del Henares – Hospital (C-2, C-7)."" Póngase en contacto con VOhome Propiedades para solicitar una visita o cualquier tipo de información sobre éste o cualquiera de nuestros inmuebles y servicios. Ponemos a su entera disposición el servicio de Departamento Financiero. Dicho departamento le podrá gestionar su hipoteca con las mejores condiciones del mercado, le gestionará la tasación y se encargará de organizar la firma de su operación. Le informamos que contamos con servicios propios y externalizados que se encargan de reformas y decoración. Ellos podrán realizar los presupuestos que necesite sin ningún tipo de compromiso. ¡No dude en llamarnos! También puede contactarnos en nuestra oficina de calle Hospital, 26, al  Le atenderemos con mucho gusto.",True,,,,GZG-12042128,,
108316909,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/5e/7c/1340517964.webp,8,435000.0,flat,sale,70.0,2,1,plaza Mariano de Cavia,Madrid,Madrid,es,40.4076136,-3.6775525,False,https://www.idealista.com/inmueble/108316909/,False,renew,False,6214.0,False,False,False,False,[],False,False,435000.0,€,flat,,"Jerónimos, Madrid",Piso en plaza Mariano de Cavia,Destacado,3,False,Retiro,Jerónimos,"VIVIENDA CON GRAN POTENCIAL JUNTO AL RETIRO Y PATIOS LUMINOSOS Ubicado a solo 100 metros del Parque del Retiro, en la conocida rotonda de Mariano de Cavia, este inmueble ofrece una excelente oportunidad tanto para vivir como para invertir. Se sitúa en una tercera planta interior con ascensor, dentro de una finca tranquila y con la ITE favorable. La vivienda cuenta con 70 m² y dos patios amplios y muy luminosos, ambos con bajantes, lo que brinda múltiples posibilidades de redistribución. Toda la estructura es de tabique, lo que facilita adaptar los espacios a gusto del comprador: desde una vivienda moderna y funcional hasta un atractivo piso para alquilar. Su ubicación privilegiada, a un paso del Retiro y rodeada de servicios, transporte y zonas verdes, la convierte en una opción ideal para quienes buscan confort, rentabilidad y calidad de vida en el corazón de Madrid. Estamos a la espera del reportaje fotográfico profesional. Para más información o concertar una visita, no dudes en escribirnos por privado. No pierdas la oportunidad de vivir en este maravilloso piso. ¡Contáctanos hoy mismo para programar una visita! NOTA: este anuncio no es vinculante; puede contener errores y se muestra a título informativo, no contractual.",True,445000.0,10000.0,2.0,,,
107362169,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/02/c5/1310695905.webp,2,3800000.0,flat,sale,295.0,4,3,calle de Serrano,Madrid,Madrid,es,40.4268234,-3.6863685,False,https://www.idealista.com/inmueble/107362169/,False,good,False,12881.0,False,False,False,False,[],False,False,3800000.0,€,flat,,"Recoletos, Madrid",Piso en calle de Serrano,Destacado,6,True,Barrio de Salamanca,Recoletos,"¡Descubre tu nuevo hogar en el prestigioso barrio de Salamanca! Este espectacular piso de 295 m² construidos y 280 m² útiles, ubicado en la sexta planta de un edificio con ascensor, te ofrece una experiencia de vida inigualable. Disfruta de un amplio salón comedor con tres ambientes, perfecto para recibir a tus invitados, y una terraza con vistas impresionantes. Consta de cuatro dormitorios, tres de ellos dobles, y tres baños completos, ideales para el confort de toda la familia. La vivienda cuenta con armarios empotrados en todos los dormitorios, calefacción individual por gas natural y aire acondicionado, asegurando una temperatura perfecta durante todo el año. Construido en 1970, el piso se encuentra en excelente estado de conservación. Su orientación sur garantiza una luminosidad excepcional Ubicado en una zona consolidada con todos los servicios a tu alcance y excelente comunicación mediante metro y autobuses, este piso es la combinación perfecta de comodidad y ubicación. No pierdas la oportunidad de vivir en una de las áreas más exclusivas de Madrid. ¡Ven a visitarlo y enamórate de tu futuro hogar!",True,,,,norase,,
108091090,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/9f/b0/1346124014.webp,8,1050000.0,penthouse,sale,110.0,2,2,calle de Ibiza,Madrid,Madrid,es,40.4174473,-3.6750557,False,https://www.idealista.com/inmueble/108091090/,False,good,False,9545.0,False,False,False,False,[],False,False,1050000.0,€,flat,penthouse,"Ibiza, Madrid",Ático en calle de Ibiza,Destacado,6,True,Retiro,Ibiza,"¡En venta este espectacular ático en Ibiza! Situado en la sexta planta, este luminoso y moderno espacio de 110 m² completamente reformado y amueblado, listo para que lo disfrutes desde el primer día. Con dos acogedoras habitaciones y dos baños elegantes, este hogar ofrece la combinación perfecta de comodidad y estilo. La joya de esta propiedad es su impresionante terraza, donde podrás relajarte y disfrutar de las vistas al exterior. La orientación este garantiza luz natural durante las mañanas, creando un ambiente cálido y acogedor. Además, el edificio cuenta con ascensor, facilitando el acceso a tu nuevo hogar. Este ático es ideal tanto para parejas como para pequeñas familias que buscan un refugio en el corazón de Madrid. No dejes pasar la oportunidad de vivir en uno de los barrios más vibrantes de la ciudad.  ¡Contáctanos para más información y hacer una visita!",True,,,,,,
