propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.parkingSpacePrice
105575781,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/a6/35/1228245865.webp,1º C,31,1,1360000.0,flat,sale,185.0,True,2,2,"calle Arturo Soria, 161",Madrid,Madrid,Ciudad Lineal,es,Colina,40.4559985,-3.6571683,True,https://www.idealista.com/obra-nueva/105575781/,"ARTURO SORIA 161 es un nuevo proyecto residencial de Terralpa en el mejor Madrid donde toda la comodidad está a tu alcance. Cuenta con 6 magníficas viviendas con terraza, 2 áticos de ensueño con amplísimas terrazas y piscina incluida y 2 bajos con un jardín que rodea la vivienda. La localización es inmejorable gracias a la salida directa a la M30, la cercanía al metro Arturo Soria, ubicado a 1 minuto del proyecto, y al centro comercial Arturo Soria Plaza, por no hablar de la amplia oferta de colegios, parques y pequeños comercios que hacen de esta zona un lugar para vivir en Madrid con la más alta calidad de vida. El proyecto, de la mano del arquitecto Martín de Lucio y el estudio de interiorismo VillaBlanch, representa la sofisticación natural gracias a la elección de materiales nobles como la piedra y la madera que hacen a todo el conjunto elegante y atemporal. Arturo Soria 161 dispone de un jardín, que enmarca todo el conjunto, convirtiéndolo en un pequeño vergel en medio de Madrid. Los propietarios podrán disfrutar de una piscina exterior y solárium donde relajarse y un gimnasio donde ponerse en forma. Viviendas con amplias terrazas y jardines, así como unas calidades de máximo nivel cuidadas en cada detalle. Un ejemplo de arquitectura avanzada, calidad y eficiencia energética. Todas las viviendas cuentan además con 2 plazas de garaje y trastero.",False,newdevelopment,True,True,False,7351.0,True,False,False,False,[],False,False,1360000.0,€,True,True,flat,"Colina, Madrid","Piso en calle Arturo Soria, 161",Top,,,,,
108154685,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/45/4b/1335497138.webp,CLK00/4962,26,7,799000.0,flat,sale,81.0,True,2,2,avenida de la Reina Victoria,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4485513,-3.7062205,False,https://www.idealista.com/inmueble/108154685/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Vallehermoso, en Madrid. La vivienda está ubicada en la 7 planta exterior con ascensor. Dispone de una superficie total de 81 m², distribuidos en salón y comedor, cocina abierta amueblada, 2 dormitorios y 2 baños. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados, aire acondicionado y portero. Situado en el barrio de Vallehermoso, en la Calle Reina Victoria, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como El Corte Inglés Castellana, el Mercado de Maravillas y del Parque del Tercer Depósito. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús, a la estación de metro Cuatro Caminos (L1, L2 y L6) y a la estación de tren Nuevos Ministerios (C1, C2, C3, C4, C4a, C4b, C7 y C10). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,,9864.0,True,False,False,False,[],False,False,799000.0,€,,,flat,"Vallehermoso, Madrid",Piso en avenida de la Reina Victoria,Top,810000.0,11000.0,1.0,,
104863547,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/47/c1/1309832594.webp,5ºB,30,5,3300000.0,penthouse,sale,287.0,True,4,4,"calle Padilla, 66",Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4309256,-3.6744854,True,https://www.idealista.com/obra-nueva/104863547/,"Ubicada en Be Grand Distrito Salamanca, un residencial de obra nueva en un elegante edificio rehabilitado de los años 30. La propiedad ofrece 4 dormitorios, 4 baños, cocina equipada, 2 plazas de garaje, trastero y una terraza privada con jacuzzi. Dispone de doble altura en el salón, comedor y cocina, así como una excepcional luminosidad en todos sus espacios. El edificio cuenta con zonas comunes de alto nivel: piscina y gimnasio, para disfrutar de confort y exclusividad en pleno corazón de Madrid.",True,newdevelopment,True,True,False,11498.0,True,False,False,False,[],False,False,3300000.0,€,True,True,flat,"Lista, Madrid","Ático en calle Padilla, 66",Top,,,,penthouse,
107471145,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/28/cf/1271249944.webp,Bajo,22,bj,799000.0,flat,sale,120.0,False,2,2,"Juan Pérez Zuñiga, 18",Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4426466,-3.6481625,True,https://www.idealista.com/obra-nueva/107471145/,"Obras iniciadas. ENTREGA ABRIL 2026. Nuevo Mundo Arturo Soria es una exclusiva urbanización privada de 9 viviendas, con un magnífico jardín de 800 m2 con piscina, zona de juegos infantil y zona deportiva, proyectada por el prestigioso estudio TOUZA ARQUITECTOS. Modernidad. Funcionalidad. Dinamismo. Todo reunido en un diseño de amplios y luminosos espacios, cuidando desde la eficiencia energética hasta el último detalle. Las viviendas están orientadas a sur, con terraza y vistas al jardín, garantizando su magnífica luminosidad. Diseñamos nuestras viviendas buscando la reducción de la huella ambiental, apostando por energías renovables y aplicando las últimas tecnologías en climatización ventilación y aislamientos  Las viviendas cuentan con tecnología de captación de la energía del aire(aerotermia), lo que reduce significativamente la dependencia de combustibles fósiles. Todo ello nos permite obtener la máxima calificación energética. Esta exclusiva promoción se encuentra en una de las zonas más privilegiadas del Norte de Madrid, a pocos minutos del centro comercial y financiero de la capital. Extensas zonas verdes y parques como el Juan Carlos I y el Juan Pablo II, colegios de gran prestigio, centros comerciales, hospitales, hacen del entorno un lugar ideal para una forma de vida tranquila y familiar. Este entorno combina lujo, comodidad y seguridad, en un estilo de vida exclusivo y deseable. Todo ello permite disfrutar de una gran cantidad de servicios de calidad y de una magnífica red de comunicaciones. Una realidad con personalidad propia, para aquellos que no quieren tener que elegir. Para aquellos que lo quieren todo Desde su fundación hace 60 años, Nuevo Mundo se rige por un constante esfuerzo por aplicar la calidad como modus operandi de nuestra empresa. Todo el personal que interviene en un proyecto nuevo conoce a fondo los estándares exigidos, permitiendo así el logro de 3 objetivos fundamentales: -Selección directa de los instaladores más cualificados y de mayor garantía y confianza, capaces de alcanzar con su trabajo los niveles exigidos. -Severos controles de calidad en cada fase de construcción -Cumplimiento de los plazos de ejecución previstos. Como resultado de todo ello, la calidad es un valor indiscutiblemente asociado a nuestra marca. En cuanto a los materiales que utilizamos en nuestras viviendas, son elegidos en función de 2 factores esenciales: belleza y calidad. Todo el equipamiento responde a criterios de vanguardia, por lo que incorporamos las últimas innovaciones del mercado en climatización, instalaciones y aislamientos tanto térmicos como acústicos TRANSPORTES Y SERVICIOS Estación de Metro: Linea 7 Barrio Concepción Autobuses: líneas 21,70,114, N4 Accesos: M-30, M-40, A-2, M-12 (Aeropuerto). Hospitales: Clínica Universitaria de Navarra, Hospital MD Anderson, Hospital Vithas Arturo Soria   Centros educativos: Liceo Francés, Montessori International School, Brains Nursery Orgáz, Colegio Madrid, San José del Parque.",False,newdevelopment,True,True,False,6658.0,True,False,False,False,[],False,False,799000.0,€,True,True,flat,"Concepción, Madrid","Piso en Juan Pérez Zuñiga, 18",Top,,,,,
107471144,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/db/b4/1271249917.webp,4º,22,4,825000.0,penthouse,sale,103.0,True,2,2," Juan Pérez Zuñiga, 18",Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4426466,-3.6481625,True,https://www.idealista.com/obra-nueva/107471144/,"Obras iniciadas. ENTREGA ABRIL 2026. Nuevo Mundo Arturo Soria es una exclusiva urbanización privada de 9 viviendas, con un magnífico jardín de 800 m2 con piscina, zona de juegos infantil y zona deportiva, proyectada por el prestigioso estudio TOUZA ARQUITECTOS. Modernidad. Funcionalidad. Dinamismo. Todo reunido en un diseño de amplios y luminosos espacios, cuidando desde la eficiencia energética hasta el último detalle. Las viviendas están orientadas a sur, con terraza y vistas al jardín, garantizando su magnífica luminosidad. Diseñamos nuestras viviendas buscando la reducción de la huella ambiental, apostando por energías renovables y aplicando las últimas tecnologías en climatización ventilación y aislamientos  Las viviendas cuentan con tecnología de captación de la energía del aire(aerotermia), lo que reduce significativamente la dependencia de combustibles fósiles. Todo ello nos permite obtener la máxima calificación energética. Esta exclusiva promoción se encuentra en una de las zonas más privilegiadas del Norte de Madrid, a pocos minutos del centro comercial y financiero de la capital. Extensas zonas verdes y parques como el Juan Carlos I y el Juan Pablo II, colegios de gran prestigio, centros comerciales, hospitales, hacen del entorno un lugar ideal para una forma de vida tranquila y familiar. Este entorno combina lujo, comodidad y seguridad, en un estilo de vida exclusivo y deseable. Todo ello permite disfrutar de una gran cantidad de servicios de calidad y de una magnífica red de comunicaciones. Una realidad con personalidad propia, para aquellos que no quieren tener que elegir. Para aquellos que lo quieren todo Desde su fundación hace 60 años, Nuevo Mundo se rige por un constante esfuerzo por aplicar la calidad como modus operandi de nuestra empresa. Todo el personal que interviene en un proyecto nuevo conoce a fondo los estándares exigidos, permitiendo así el logro de 3 objetivos fundamentales: -Selección directa de los instaladores más cualificados y de mayor garantía y confianza, capaces de alcanzar con su trabajo los niveles exigidos. -Severos controles de calidad en cada fase de construcción -Cumplimiento de los plazos de ejecución previstos. Como resultado de todo ello, la calidad es un valor indiscutiblemente asociado a nuestra marca. En cuanto a los materiales que utilizamos en nuestras viviendas, son elegidos en función de 2 factores esenciales: belleza y calidad. Todo el equipamiento responde a criterios de vanguardia, por lo que incorporamos las últimas innovaciones del mercado en climatización, instalaciones y aislamientos tanto térmicos como acústicos TRANSPORTES Y SERVICIOS Estación de Metro: Linea 7 Barrio Concepción Autobuses: líneas 21,70,114, N4 Accesos: M-30, M-40, A-2, M-12 (Aeropuerto). Hospitales: Clínica Universitaria de Navarra, Hospital MD Anderson, Hospital Vithas Arturo Soria   Centros educativos: Liceo Francés, Montessori International School, Brains Nursery Orgáz, Colegio Madrid, San José del Parque.",False,newdevelopment,True,True,False,8010.0,True,False,False,False,[],False,False,825000.0,€,True,True,flat,"Concepción, Madrid","Ático en  Juan Pérez Zuñiga, 18",Top,,,,penthouse,
107806151,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/70/68/1352467558.webp,CLK00/4841,17,4,400000.0,flat,sale,46.0,False,1,1,calle de Gaztambide,Madrid,Madrid,Chamberí,es,Gaztambide,40.435746,-3.7140798,False,https://www.idealista.com/inmueble/107806151/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Gaztambide, en Madrid. La vivienda está ubicada en la 4 planta interior con ascensor. Dispone de una superficie total de 46 m², distribuidos en salón y comedor, cocina independiente equipada, 1 dormitorio y 1 baño. Además, cuenta con ascensor, cocina amueblada, armarios empotrados, aire acondicionado, portero y accesibilidad para personas con movilidad reducida. Situado en el barrio de Gaztambide, en la Calle Gaztambide, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Hospital Universitario Fundación Jiménez Díaz, el Hospital Clínico San Carlos, el Mercado de Vallehermoso y el Parque del Oeste. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro Moncloa (L3 y L6). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",True,good,False,True,,8696.0,True,False,False,False,[],False,False,400000.0,€,,,flat,"Gaztambide, Madrid",Piso en calle de Gaztambide,Top,410000.0,10000.0,2.0,,
108523225,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/2f/43/1347434509.webp,1064,47,,1490000.0,flat,sale,155.0,True,3,2,calle del Jardín de San Federico,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4257983,-3.6679648,False,https://www.idealista.com/inmueble/108523225/,"20punto 20 Realty Boutique presenta esta magnífica vivienda de 155 m² construidos, completamente reformada con materiales de alta calidad, ubicada en un emblemático edificio de estilo brutalista en una de las zonas más demandadas de Madrid: Goya. La propiedad destaca por su luminosidad y distribución funcional. El salón-comedor, orientado al sur, goza de una excelente entrada de luz natural gracias a su gran ventanal de doble hoja y dos terrazas privadas. Además, cuenta con una zona de despacho integrada, ideal para teletrabajar cómodamente desde casa. La cocina es independiente y está completamente equipada, con acceso directo a una terraza-tendedero que da a un amplio y tranquilo patio de manzana, lo que garantiza silencio y privacidad. Dispone de tres amplios dormitorios: Dos de ellos con salida a la terraza y un baño completo con ducha que les da servicio. El dormitorio principal tipo suite, cuenta con un gran baño privado, ofreciendo máxima comodidad e independencia. El edificio dispone de servicio de conserjería, lo que añade un plus de seguridad y confort al día a día. Ubicación inmejorable, con excelente comunicación en transporte público (metro, autobuses) y fácil acceso a las principales vías de entrada y salida de la ciudad. A escasos pasos de grandes comercios, servicios, colegios y zonas de ocio. Una oportunidad única de vivir o invertir en una propiedad lista para entrar a vivir, en una de las zonas más exclusivas y con mayor proyección de Madrid. � Contáctanos para más información o para agendar una visita.",False,good,False,True,,9613.0,True,False,True,False,[],False,False,1490000.0,€,,,flat,"Goya, Madrid",Piso en calle del Jardín de San Federico,Top,,,,,
108527445,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/47/8b/1347546823.webp,VI-1-3-E,23,3,1172000.0,penthouse,sale,130.0,True,3,2,"avenida de Europa, 19",Madrid,Pozuelo de Alarcón,Zona Avenida Europa,es,Zona Avenida Europa,40.441855,-3.7883879,True,https://www.idealista.com/obra-nueva/108527445/,"TU NUEVO HOGAR EN POZUELO DE ALARCÓN. Te esperamos en la Avenida de Europa 24.  Bienvenido a ARGIS North Park, una exclusiva promoción de OBRA NUEVA en Pozuelo de Alarcón que redefine el concepto de hogar. Viviendas diseñadas para un estilo de vida único que ofrecen el equilibrio perfecto entre confort, calidad y serenidad en este residencial exclusivo.  Ubicado en un entorno privilegiado, ARGIS North Park te invita a descubrir viviendas de 2, 3 y 4 dormitorios con amplias terrazas, jardines privados y acogedores áticos que te conectan con el exterior en un ambiente tranquilo y privado. Cada detalle ha sido pensado para crear un espacio que inspire calma y armonía, lejos del ruido y el estrés.  Disfruta de momentos de desconexión en la exclusiva piscina exterior, un auténtico oasis de tranquilidad. Mantén tu rutina saludable en el gimnasio completamente equipado o crea recuerdos inolvidables en la gastroteca, ideal para compartir con amigos y familiares en un ambiente acogedor. Todo ello en un residencial concebido para ofrecer privacidad, comodidad y una vida en armonía con el entorno.  La sostenibilidad es parte esencial de ARGIS North Park. Equipado con avanzados sistemas de aerotermia, este residencial no solo garantiza un bajo consumo energético, sino que también respeta y cuida el medio ambiente. Aquí, confort y sostenibilidad se encuentran en perfecta sintonía.  Situado en plena Avenida de Europa, ARGIS North Park combina accesibilidad y tranquilidad. Una ubicación privilegiada que ofrece excelentes conexiones al centro de Madrid y la comodidad de tener a escasos metros de tu hogar tiendas, servicios, espacios verdes junto a bulevares arbolados o el Centro Comercial Zielo, que convierten a esta promoción en la elección perfecta para quienes buscan vivir en una de las mejores zonas de Pozuelo de Alarcón.  ARGIS North Park no es solo un hogar, es un refugio exclusivo donde la serenidad, la privacidad y la comodidad se unen para ofrecer una experiencia inigualable. Tu futuro oasis para desconectar.  Ven a visitarnos a nuestro punto de venta oficial situado en la Avenida de Europa 24 o llama para concertar una cita con nuestro equipo de atención al cliente.",False,,True,True,False,9015.0,True,False,False,False,[],False,False,1172000.0,€,True,True,flat,"Zona Avenida Europa, Pozuelo de Alarcón","Ático en avenida de Europa, 19",Top,,,,penthouse,
107828315,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/28/cd/1325535409.webp,FRP-4507,41,3,949000.0,flat,sale,132.0,True,2,2,calle Mayor,Madrid,Madrid,Centro,es,Palacio,40.4137725,-3.712025,False,https://www.idealista.com/inmueble/107828315/,"CON TODO EL SABOR DE MADRID.   PRÁCTICAMENTE A ESTRENAR, COQUETA VIVIENDA EN TERCERA PLANTA DE DOS DORMITORIOS DOBLES Y DOS AMPLIOS CUARTOS DE BAÑO. Exquisito piso exterior en la exclusiva zona de Palacio, una de las zonas mas emblemáticas de Madrid. Finca representativa y rehabilitada exenta de IBI. SI TIENE ASCENSOR. El PISO Piso exterior completamente reformado con orientación sur-este de dos dormitorios, despacho, vestidor y dos baños, uno en suite. De origen tres dormitorios. El salón-comedor con mas de cuarenta metros se convierte en el corazón de la vivienda.  La cocina con todos los electrodomésticos (Nevera, lavavajillas, extractor decorativo, horno y microondas). Espacioso cuarto en office oculto para lavadora, secadora y aperos. Agua caliente por gas natural, calefacción individual, aire acondicionado por conducto en todas las estancias.   Dispone de dos amplios dormitorios, uno en suite con amplio vestidor y despacho en estudio biblioteca, el otro doble con gran armario empotrado. Ventanas con rotura de puente térmico y acústico climalit. Suelos de madera maciza. Altas calidades.  Conserje en finca representativa completamente rehabilitada. Exenta de IBI. Gastos de comunidad: 240€ LA ZONA   La Calle Mayor de Madrid es una de las vías más emblemáticas y apasionantes de la ciudad, cargada de historia, anécdotas y tradición. Animado punto de encuentro tanto para madrileños como para turistas, es una de las arterias principales de la ciudad desde su fundación. Su historia se remonta al Madrid medieval, cuando la ciudad aún era una pequeña urbe amurallada. Durante siglos, fue la vía que conectaba el centro político y religioso, el Alcázar Real y la Iglesia de Santa María, con las salidas a la ciudad y el campo. Se extiende desde la Puerta del Sol hasta el Parque del Emir Mohamed I, donde empieza la Cuesta de la Vega, formando parte del casco antiguo de la ciudad y en su recorrido se encuentran algunos de los monumentos más importantes del centro histórico.  A lo largo de sus 500 metros, es posible descubrir palacios, iglesias, edificios modernistas y rincones que maravillan y cuentan la historia de Madrid, desde sus orígenes medievales hasta su modernización en el siglo XX.  Este es el sitio en que se encuentra este piso alto con orientación sur este. Finca rehabilitada. Consta de Salón comedor. Dos dormitorios dobles, y dos baños uno de ellos en suite. Estudio biblioteca. Cocina independiente totalmente equipada y pequeño office. Estar en Madrid, vivir Madrid.",False,good,False,True,,7189.0,True,False,True,False,[],False,False,949000.0,€,,,flat,"Palacio, Madrid",Piso en calle Mayor,Top,,,,,
107884732,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/8d/b5/1327245111.webp,CLK00/4873,26,5,800000.0,penthouse,sale,89.0,True,3,2,calle de Puenteareas,Madrid,Madrid,Chamartín,es,Prosperidad,40.4442005,-3.6717596,False,https://www.idealista.com/inmueble/107884732/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este ático ubicado en el barrio de Prosperidad, en Madrid. La vivienda está ubicada en la 5 planta exterior con ascensor. Dispone de una superficie total de 89 m², distribuidos en salón y comedor, cocina independiente equipada, 3 dormitorios y 2 baños. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados, aire acondicionado y trastero. Situado en el barrio de Prosperidad, en la Calle Ponteareas, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Auditorio Nacional de Música, el Parque de Berlín y el Intercambiador de Avenida de América. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a las estaciones de metro Prosperidad (L4) y Cruz del Rayo (L9). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,,8989.0,True,False,False,False,[],False,False,800000.0,€,,,flat,"Prosperidad, Madrid",Ático en calle de Puenteareas,Top,810000.0,10000.0,1.0,penthouse,
