propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,district,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107993338,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/4e/68/1330528111.webp,9,60000.0,countryHouse,sale,240.0,3,1,"calle Moral, 22",Madrid,Orusco,es,40.2854985,-3.2094607,True,https://www.idealista.com/inmueble/107993338/,"Preciosa vivienda para reformar en el corazón del casco urbano de Orusco de Tajuña. Muy amplia, con muchas opciones para transformarla a tu gusto. La cubierta está rehabilitada recientemente, por lo que no tiene el menor problema de humedades. Tiene también un jardín trasero lleno de posibilidades. Preciosas vistas al estar en la parte más elevada del casco. Orientación Sur. Inscrita en el Registro de la Propiedad y actualizada en Catastro.",False,renew,False,250.0,False,False,False,False,[],False,False,60000.0,€,countryHouse,casaDePueblo,Orusco,"Casa de pueblo en calle Moral, 22",,,,,,,,,,,
107947677,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/86/ba/1329173534.webp,23,180000.0,chalet,sale,114.0,2,1,Miraflores de la Sierra,Madrid,Miraflores de la Sierra,es,40.8139539,-3.7668838,False,https://www.idealista.com/inmueble/107947677/,"Casa de 57 m² aprox. , en una planta+ almacén de 57 m² aprox.  Salón, cocina, dos habitaciones con armarios empotrados, baño, balcón.  Calf. propano canalizado. Con muchas posibilidades.  Sin gastos de comunidad. Cerca parada autobús. En el pueblo.",False,renew,False,1579.0,False,False,False,False,[],False,False,180000.0,€,chalet,independantHouse,Miraflores de la Sierra,Casa independiente,D0225,,,,,,,,,,
108857197,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/97/88/00/1357158290.webp,4,465000.0,chalet,sale,282.0,3,3,Fuentebella-San Felix-El Leguario,Madrid,Parla,es,40.2251626,-3.7743261,False,https://www.idealista.com/inmueble/108857197/,"¡Espectacular chalet de diseño con piscina privada! Planta Sótano: Amplio sótano de 70 m2 con zona de lavandería/almacenaje y sala de calderas. Planta Baja: Espectacular cocina de diseño con Gran isla, Amplio salón comedor con acceso a 2 grandes patios de aprox. 40 m2 cada uno de ellos, con piscina privada de obra y aseo. Planta Primera: 2 habitaciones de 20 m2 cada una de ellas con mucha luz natural, armarios empotrados totalmente vestidos y baño completo con bañera y plato de ducha. Planta Segunda: Es toda la planta diseñada a la habitación principal con cuarto de baño completo y amplio vestidor. La vivienda esta diseñada y construida con materiales de primera calidad. Suelo radiante, acumuladores de agua caliente, carpintería de aluminio con triple acristalamiento, escalera vista con doble cristal de seguridad, persianas domotizadas y suelos porcelánicos. La vivienda se vende totalmente amueblada y con electrodomésticos. Es una zona tranquila, la vivienda esta cerca de colegios, supermercados, centro comercial, farmacias, centros médicos, zonas verdes, transporte público y acceso próximo a la A-42. Si quieres vivir en un chalet de diseño, rodeado de tranquilidad y bienestar, no dudes en llamar.",False,good,False,1649.0,False,False,False,False,[],False,False,465000.0,€,chalet,terracedHouse,"Fuentebella-San Felix-El Leguario, Parla",Chalet adosado,Chalet Parla,Fuentebella-San Felix-El Leguario,True,True,,,,,,,
108746067,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/86/2b/28/1353891693.webp,15,409000.0,flat,sale,79.0,3,1,CL CESAR GONZALEZ RUANO,Madrid,Madrid,es,40.4377712,-3.6532387,False,https://www.idealista.com/inmueble/108746067/,,True,renew,False,5177.0,False,False,False,False,[],False,False,409000.0,€,flat,,"San Pascual, Madrid",Piso en Cl Cesar Gonzalez Ruano,,Ciudad Lineal,,,6,True,San Pascual,True,,,
108741196,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/29/d9/1353764059.webp,2,1300000.0,chalet,sale,280.0,6,4,Valdecabañas,Madrid,Boadilla del Monte,es,40.4374562,-3.8853465,False,https://www.idealista.com/inmueble/108741196/,"� 100% Inmobiliaria vende fantástico chalet independiente en una de las mejores zonas de Boadilla del Monte � Ubicación privilegiada | � Privacidad garantizada | � Vídeo disponible para interesados Por solicitud expresa del propietario, no se publican imágenes del interior para preservar su intimidad. Si está realmente interesado, disponemos de un vídeo detallado de la propiedad que estaremos encantados de facilitarle. � Características principales: 6 amplias habitaciones 4 baños completos Cocina totalmente equipada Gran salón-comedor Segundo salón en planta superior Zona de lavado, trastero y vestidor Terraza con vistas Jardín privado con piscina de reciente construcción 3 plazas de garaje (2 interiores + 1 exterior cubierta) Placas solares con acumulador de agua caliente para ahorro energético � Distribución: Planta principal Dividida en zona social y privada: Salón-comedor amplio y luminoso Cocina con acceso desde el vestíbulo y comedor Baño de cortesía 4 dormitorios (uno en suite con baño y vestidor) 2 baños completos Acceso directo al jardín desde todas las estancias (excepto baños) Planta superior Segundo salón con salida a una gran terraza con vistas 2 dormitorios con acceso a vestidor común 1 baño completo � Extras: Piscina privada Jardín consolidado Placas solares (ahorro energético) Máxima privacidad � Solicita información sin compromiso � Te enviaremos el vídeo completo de esta espectacular vivienda � ¡No dejes pasar esta oportunidad única!",False,good,False,4643.0,False,False,False,False,[],False,False,1300000.0,€,chalet,independantHouse,"Valdecabañas, Boadilla del Monte",Casa independiente,24V026,Valdecabañas,True,True,,,,,,,
83558214,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/8b/46/620356023.webp,10,1256999.0,flat,sale,145.0,4,2,Barrio Prosperidad,Madrid,Madrid,es,40.4368273,-3.6756093,False,https://www.idealista.com/inmueble/83558214/,"ATENCIÓN! Finca de LUJO totalmente exterior con todos los servicios centrales incluidos ubicado en zona PRIME, muy bien comunicada y rodeada de árboles, lindas vistas habitaciones amplias y espléndido salón, Toda la vivienda rodeada de luz natural, Tendedero, Zonas ajardinadas, plaza de garaje incluido en el precio. Una de las mejores vivienda de la zona. MEJOR VERLO! LLÁMENOS SIN COMPROMISO! Nota: Infografías corresponden a un asesoramiento de interiorismo y una posible rehabilitación de la vivienda, no incluido en el precio. Consulte proyecto llave en mano.",False,good,False,8669.0,False,False,False,False,[],False,False,1256999.0,€,flat,,"Prosperidad, Madrid",Piso,1822R,Chamartín,True,True,7,True,Prosperidad,True,,,
97409306,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b9/16/09/978580638.webp,1,410000.0,chalet,sale,161.0,4,1,calle rio,Madrid,Torrejón de Ardoz,es,40.4552782,-3.4765607,False,https://www.idealista.com/inmueble/97409306/,"Solar con casa en venta en Torrejón de Ardoz. La vivienda se encuentra de origen para reformar, consta de cuatro dormitorios, cocina de paso, despensa, salón independiente, patio delantero y trasero. Consta de 400 metros cuadrados de parcela y 160 metros cuadrados de casa.",False,renew,False,2547.0,False,False,False,False,[],False,False,410000.0,€,chalet,independantHouse,"Suroeste, Torrejón de Ardoz",Casa independiente en calle rio,,Suroeste,,,,,,,440000.0,30000.0,7.0
108405966,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/a0/89/1343665005.webp,6,129000.0,flat,sale,84.0,3,1,calle de Portugal,Madrid,Fuenlabrada,es,40.279287,-3.8098371,False,https://www.idealista.com/inmueble/108405966/,"id: 191919 Deberá introducir este código para poder atenderle telefónicamente. CESIÓN DE REMATE A la venta vivienda situada en Fuenlabrada (Madrid) a tan solo 23 kilómetros de Madrid Centro. Situdada en cuarta planta con ascensor, Tiene una superficie de 84,53 metros cuadrados. Exterior, con terraza. Desconocemos su distribución interior y su estado actual. NOTA: Inmueble sin posesión. La adquisición del inmueble publicitado en este anuncio se realizará exclusivamente a través de cesión de remate en el marco del proceso de Subasta Judicial en el que se encuentra (subasta finalizada). Toda la información aquí publicada se encuentra disponible de manera pública en el Boletín Oficial del Estado. Las características del inmueble descrito en este anuncio no han podido ser verificadas y deben considerarse como orientativas.",False,renew,False,1536.0,False,False,False,False,[],False,False,129000.0,€,flat,,"Fuenlabrada II - El Molino, Fuenlabrada",Piso en calle de Portugal,id: 191919,Fuenlabrada II - El Molino,,,,False,,True,,,
102843467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/29/e9/1169186918.webp,2,109600.0,flat,sale,71.0,1,1,calle de Zaida,Madrid,Madrid,es,40.3947315,-3.7346539,False,https://www.idealista.com/inmueble/102843467/,"Os presentamos este piso ubicado en Madrid. La vivienda se distribuye en una habitación, salón-comedor, cocina y un baño. El inmueble se encuentra en la 3a planta del edificio. Se encuentra en el centro de Madrid, muy cerca de Autopista de Circunvalación M-30 en el barrio de San Isidro. En sus alrededores encontramos escuelas, supermercados, bancos, farmacias, centros deportivos, la estación de metro Carpetana y la estación de tren Laguna. En Aliseda Inmobiliaria tenemos la mayor oferta de inmuebles al mejor precio garantizado. Descubre nuestra amplia oferta inmobiliaria y no pierdas la oportunidad de encontrar la casa perfecta para ti.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1544.0,False,False,False,False,[],False,False,109600.0,€,flat,,"San Isidro, Madrid",Piso en calle de Zaida,50948941,Carabanchel,,,3,,San Isidro,,,,
103869432,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/a0/f0/1202710891.webp,2,480000.0,chalet,sale,253.0,3,4,calle Pilar Miro,Madrid,Getafe,es,40.318873,-3.741335,False,https://www.idealista.com/inmueble/103869432/,"id: 195091 Deberá introducir este código para poder atenderle telefónicamente. Oportunidad de adquirir chalet adosado en Cesión de remate! No dudes en contactar con nosotros a través de mensaje para que te informemos de todo! Casa pareada con superficie de 253 en 4 plantas. Planta Sótano: Garaje, trastero y sala de usos multiples. PLanta Baja: Salón comerdor, cocina, aseo y amplio porche. 1ª Planta: 1 dormitorio en suite con baño y 2 dormitorios que comprate baño completo. 2ª Planta: sala Multiuso y solarium.  NOTA: Inmueble sin posesión. La adquisición del inmueble publicitado en este anuncio se realizará exclusivamente a través de cesión de remate en el marco del proceso de Subasta Judicial en el que se encuentra. Toda la información aquí publicada se encuentra disponible de manera pública en el Boletín Oficial del Estado.",False,good,False,1897.0,False,False,False,False,[],False,False,480000.0,€,chalet,terracedHouse,"El Bercial, Getafe",Chalet adosado en calle Pilar Miro,id: 195091,El Bercial,,,,,,,,,
