propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,externalReference,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108207592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/e8/42/1337126348.webp,2,2,327000.0,flat,sale,89.0,True,2,1,Barrio Almendrales,Madrid,Madrid,Usera,es,40.38658,-3.7030953,False,https://www.idealista.com/inmueble/108207592/,"Oportunidad de inversión: inmueble sin posesión. Imposibilidad de visita interior, no se puede financiar la compra de este inmueble. Advertimos que la información contenida puede no estar actualizada, solicita más información sobre el activo sin compromiso. Investment opportunity: property without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation. [IW].",False,good,False,False,3674.0,False,False,False,False,[],False,False,327000.0,€,flat,"Almendrales, Madrid",Piso,Almendrales,,,,OK1PMADRID39,,,
108784926,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/bc/bb/1355031966.webp,2,2,82053.0,flat,sale,74.0,True,1,1,"calle del Agua, 37",Madrid,Valdilecha,,es,40.29707,-3.30012,True,https://www.idealista.com/inmueble/108784926/,"Ya disponible en nuestro portal web GOBID. ES la subasta de una vivienda en Valdilechas, Madrid. Se trata de una casa de 72 m2 que cuenta con una habitación y un baño. El estado de conservación es bueno. La subasta finaliza el 25 de agosto a las 12:00h. Si tienes cualquier duda contacta a través de la web preguntando por esta misma subasta cuyo número de referencia es 27918.",False,good,False,False,1109.0,False,False,False,False,[],False,False,82053.0,€,flat,Valdilecha,"Piso en calle del Agua, 37",,,,,B76154,,,
108309732,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/29/fc/1340290360.webp,1,,158000.0,studio,sale,42.0,,0,1,Barrio Arapiles,Madrid,Madrid,Chamberí,es,40.4367392,-3.706203,False,https://www.idealista.com/inmueble/108309732/,"SE VENDE LOCAL EN RENTABILIDAD 6% BRUTA CHAMBERÍ, MADRID CENTRO  Inversión segura con renta garantizada Local comercial con inquilino estable, gestionado por gestora patrimonial especializada. Renta 100% pasiva.  Ubicación premium: Calle Bravo Murillo (barrio Arapiles), en pleno distrito Chamberí  A solo 2 minutos andando de Metro Quevedo y Metro Canal  Zona consolidada con alta demanda: estudiantes, familias, comercio tradicional y moderno  Local reformado y en buen estado, sin necesidad de inversión inicial  Renta mensual actual: 750 /mes  Rentabilidad bruta: 6% (750 x 12 meses / 150.000 = 6%)  Gestión profesional del alquiler sin preocupaciones ni impagos.",False,good,False,False,3762.0,False,False,False,False,[],False,False,158000.0,€,flat,"Arapiles, Madrid",Estudio,Arapiles,,,,622072,studio,,
101087513,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/9a/2d/1252206781.webp,12,,150000.0,chalet,sale,160.0,,5,3,Cadalso de los Vidrios,Madrid,Cadalso de los Vidrios,,es,40.3010348,-4.4460633,False,https://www.idealista.com/inmueble/101087513/,"103-DELEGACIÓN PRINCIPAL. _Se estudian ofertas! Vivienda unifamiliar adosada de 151 m2 útiles, desarrollada en tres plantas, distribuida en planta de acceso con vestíbulo y acceso al garaje, salón-comedor, cocina independiente amueblada y un baño planta primera con tres dormitorios con armarios empotrados, dos baños y terraza planta segunda con una amplia terraza de 22,76 m2. A la vivienda le corresponde el uso privativo de la zona de patio/jardín a la que tiene acceso al fondo de la casa.",False,good,False,,938.0,False,False,False,False,[],False,False,150000.0,€,chalet,Cadalso de los Vidrios,Casa independiente,,,,,0100297,independantHouse,,
108734627,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/cd/81/1353587387.webp,7,1,225000.0,flat,sale,55.0,True,1,1,Barrio Villaverde Alto,Madrid,Madrid,Villaverde,es,40.3473509,-3.7112922,False,https://www.idealista.com/inmueble/108734627/,"MAGERIT HOMES VENDE! ""Vivienda en venta. El inmueble cuenta con un dormitorio, un salón con gran luminosidad, una cocina equipada y tiene un baño. El piso tiene gran luminosidad, ya que dispone de ventanas al exterior, cuenta también con un ventanal en el salón. La vivienda cuenta con conserjería y hay un sistema de vigilancia distribuido por todo el recinto. Zona con todos los servicios en las proximidades y en pleno desarrollo: correos, supermercados escuelas, farmacias, gimnasio y restaurantes, cerca del centro comercial Parque Sur. La calle Alcocer, es una de las 2 salidas (directas) de Villaverde Alto, hacia el centro de la capital. La otra es la Gran Vía de Villaverde, apenas de 2004, avenida de 2 carriles por dirección a 4 metros de altura sobre el nivel del suelo construida para ocultar las vías del tren que pasan por debajo. Esta avenida que comunica la avenida Real de Pinto y Getafe con la A 4.  La ampliación a Villaverde Alto dejó la línea 3 muy cerca del término municipal de Getafe y numerosas líneas de autobús y cercanías. Conexión con accesos a M-30 y M-40. Está rodeado de parques empresariales, lo que hace que sea un sitio tranquilo, donde poder dormir plácidamente por la noche y pasear por el día, gracias a todos los parques y jardines que rodea al barrio.",False,good,False,True,4091.0,False,False,False,False,[],False,False,225000.0,€,flat,"Villaverde Alto, Madrid",Piso,Villaverde Alto,,,,,,True,True
108631348,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/74/31/10/1350484945.webp,12,bj,169900.0,flat,sale,61.0,True,3,1,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,40.4767516,-3.3806127,False,https://www.idealista.com/inmueble/108631348/,"¡Oportunidad en Reyes Católicos, Alcalá de Henares! Te presentamos este piso en planta BAJA, de 3 dormitorios y 1 baño, ideal para quienes buscan vivir en una zona consolidada, rodeada de todos los servicios: Rodeado de comercios, centros educativos, parques y bien comunicado con transporte público, lo tendrás todo al alcance de tu mano. Situado en un edificio con ASCENSOR. Ideal para familias, parejas o inversores que buscan comodidad, buena ubicación y potencial. La vivienda cuenta con buena distribución, mucha luz natural y es perfecta tanto para vivir como para invertir. La información catastral metros cuadrados de la vivienda están debidamente verificada según catastro/escritura de compraventa/registro, podrían variar. Además, dependiendo de cada caso se consigue la financiación y un estudio totalmente gratuito gracias a nuestro departamento financiero. Honorarios incluidos en el precio. Gastos de compra venta no incluidos en el precio indicado (impuestos, gastos notariales ni registrales).",False,good,False,True,2785.0,False,False,False,False,[],False,False,169900.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,,,,,V-360,,,
108885609,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/40/c9/1357934454.webp,11,1,545000.0,flat,sale,69.0,True,2,1,Barrio Guindalera,Madrid,Madrid,Barrio de Salamanca,es,40.4343202,-3.6725697,False,https://www.idealista.com/inmueble/108885609/,"Piso reformado a medida en finca en buen estado con ascensor. Consta de 2 dormitorios, 1 baño y cocina. En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. La instalación eléctrica se compone de cuadro elevado y cambio de acometida para que esté libre de halógenos obteniendo un nuevo boletín eléctrico. La instalación de fontanería y gas se renueva totalmente, con caldera de Saunier Duval Thelia Condens y nueva instalación de gas con nuevo boletín y contador. La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra de vidrio para asegurar el nuevo aislamiento tanto térmico como acústico. En muchos casos, se mejora también el aislamiento de fachadas y medianeras y suelos y techos por petición, con materiales de especiales cualidades que ocupan el menor espacio posible. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,True,7899.0,False,False,False,False,[],False,False,545000.0,€,flat,"Guindalera, Madrid",Piso,Guindalera,,,,,,,
107874369,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/eb/2e/1326909170.webp,5,2,2550000.0,flat,sale,143.0,True,3,2,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,40.4239665,-3.6819086,False,https://www.idealista.com/inmueble/107874369/,"DIRECTING International Properties vende espectacular vivienda con 3 balcones exteriores, en plena milla de oro del Barrio de Salamanca con vistas al Parque de el Retiro y a escasos metros de la Puerta de Alcalá, Plaza de Cibeles y la Calle Serrano. Espectacular vivienda reformada a estrenar, este hogar cuenta con acabados de lujo en todas sus estancias. La propiedad se caracteriza por su amplia luminosidad, distribución moderna y materiales de primera calidad. Desde su elegante salón hasta las sofisticadas habitaciones, cada rincón ha sido cuidadosamente diseñado para ofrecer confort y estilo. La cocina, completamente equipada con electrodomésticos de última generación, se convierte en el corazón de la casa.  Por privacidad las fotos utilizadas son de referencia. Imágenes Renders. El barrio de Recoletos es siempre una inversión segura, por la elevada demanda de este tipo de inmuebles y una verdadera oportunidad de comprar y vivir donde lo habías soñado. Sin duda, el Barrio de Salamanca es el distrito selecto por excelencia de Madrid. Pasear por las calles del barrio de Salamanca es contemplar los edificios más elegantes y codiciados de la capital: construcciones históricas de portales señoriales e interiores amplios y altos. Concebido en las últimas décadas del siglo XIX por D. José de Salamanca y Mayol, Marqués de Salamanca, este ensanche de la ciudad conserva intacto su aire aristocrático, que podemos ver en palacetes como el de la Embajada de Italia, por ejemplo. En este epicentro del lujo se localiza la conocida “Milla de Oro”: un área comercial donde tienen su sede marcas prestigiosas como Dior, Chanel, Prada o Tiffany. Tiendas como Gallery, BD o Vitra y restaurantes como Ramsés o No, responden a los gustos de un life style moderno y sofisticado. Hablamos de una zona dinámica y segura, de grandes aceras, con un parking casi ilimitado y con una interesante vida nocturna: Nxt Club, Déjate Besar o Le Boutique Club. No faltan las galerías de arte y los espacios dedicados a la cultura como la Fundación March o el museo Lázaro Galdiano. Sin olvidar sus árboles frondosos y la cercanía al parque del Retiro, el gran pulmón verde del centro de Madrid. En la actualidad, Recoletos es un enclave perfecto dentro del barrio de Salamanca, ya que es una zona noble, aunque con la característica de poder hacer vida de barrio. Posee todos los servicios importantes como colegios, reconocidas clínicas y hospitales, farmacias, mercados gourmet, etc. así como también estupendas vías de acceso a la M30. Cuenta con líneas de transporte público y, por supuesto, una gran variedad de restaurantes de gran categoría para disfrutar y satisfacer a los paladares más exigentes. Inmobiliaria Directing ofrece a sus clientes nacionales y extranjeros, una amplia cartera de inmuebles (casas, pisos apartamentos, áticos, dúplex, chalets, lofts... ) situadas en las mejores zonas residenciales y más exclusivas de Madrid (barrio Salamanca, Retiro, Chamartín, Chamberí, Moncloa, Centro, Arturo Soria etc…). Si desea comprar, vender o alquilar una propiedad en Madrid, Inmobiliaria Directing Real Estate ofrece una amplia gama de servicios de intermediación y alta profesionalidad. ¿Quiere VENDER su casa? Valoración GRATUITA Viviendas Exclusivas en Madrid Encuentra más en http.//directing.es.",False,good,False,True,17832.0,False,False,False,False,[],False,False,2550000.0,€,flat,"Recoletos, Madrid",Piso,Recoletos,,,,AD-444C1,,,
108259350,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/8e/88/1338747992.webp,7,1,575000.0,flat,sale,125.0,True,3,2,Barrio El Cañaveral,Madrid,Madrid,Vicálvaro,es,40.3986921,-3.5547641,False,https://www.idealista.com/inmueble/108259350/,"Asesores Inmobiliarios Las Rosas pone a la venta piso en el Cañaveral de 3 dormitorios con 2 baños, tiene cocina amueblada y equipada, aire acondicionado por conductos, terraza, plaza de garaje y trastero incluidos. En la zona podemos encontrar: Educación  Escuela Infantil Municipal Muñeco De Nieve, Larry & Andy, Los Miñons, Topochitos, Escuela Infantil Conde Niño, English Connection, Kids&Us, Barcos De Papel, The English Express, Nemomarlin. Salud Farmacia Covián, Clínica Dental Siglo Xxi, Farmacia Sonrisas Del Cañaveral, Clínica Sastre, Farmacia Lucía De La Torre Riera, Hospital Veterinario Artemisa, Marsones & Martínez, Bemana, Peludos Del Cañaveral, Ikigai Dental  Hacer la compra Covirán, La Fruteria De Mamá, Ahorramás, Family Minimarket, Alimentación Cañaveral, Mi Alcampo, Alimentación La Avenida, La Cesta Dorada, Megafruta  Comunicado por carretera M-45 por Bus 159-E5.. . "" Lo importante no es saber, sino confiar en quien sabe "".",False,good,False,True,4600.0,False,False,False,False,[],False,False,575000.0,€,flat,"El Cañaveral, Madrid",Piso,El Cañaveral,,,,1207-,,True,True
108704839,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/03/a5/1352663569.webp,5,4,170000.0,flat,sale,83.0,True,1,1,Juan de Austria,Madrid,Alcalá de Henares,Juan de Austria,es,40.483457,-3.3531109,False,https://www.idealista.com/inmueble/108704839/,"Mercaser Grupo Inmobiliario vende. Piso de 83 m² ubicado en Alcalá de Henares, Madrid. Se trata de un piso de 83 m² distribuidos en varias estancias, ofreciendo un espacio funcional y cómodo para la vida diaria. La vivienda se encuentra en el núcleo urbano de Alcalá de Henares, concretamente en la calle Santa Mónica, una zona residencial consolidada que destaca por su ambiente tranquilo y su proximidad a todos los servicios necesarios. El edificio presenta una estructura sólida y cuidada, con zonas comunes bien mantenidas y acceso directo desde la calle, lo que facilita la entrada y salida de los residentes. El entorno inmediato cuenta con amplias aceras y espacios verdes cercanos, lo que aporta un valor añadido a la calidad de vida de sus habitantes. En cuanto a las comunicaciones, la ubicación es excelente: la vivienda está próxima a la Avenida de la Alcarria y la Vía Complutense, dos de las principales arterias de la ciudad que permiten un acceso rápido tanto al centro histórico como a las salidas hacia la A-2, facilitando la conexión con Madrid y otras localidades del Corredor del Henares. Además, la zona dispone de varias líneas de autobús urbano e interurbano (como las líneas 1, 2, 3 y 227), y la estación de tren de Alcalá de Henares se encuentra a menos de 15 minutos a pie, ofreciendo conexiones directas con Madrid y Guadalajara mediante Cercanías Renfe. En el entorno inmediato se pueden encontrar supermercados, restaurantes, centros educativos como el Colegio Santa María de la Providencia, instalaciones deportivas, oficinas bancarias y una variada oferta comercial. A poca distancia se localizan el Hospital Universitario Príncipe de Asturias y el Centro de Salud Luis Vives, lo que garantiza una atención sanitaria de calidad. Además, la ciudad de Alcalá de Henares es Patrimonio de la Humanidad y cuenta con puntos de interés como la Universidad de Alcalá, el casco histórico y el Parque O´Donnell, ideales para disfrutar del ocio y la cultura. Gastos de escrituras e impuestos no incluidos. No cobramos comisión al comprador. Alcalá de Henares es una ciudad que pertenece a la Comunidad de Madrid, situada en el Corredor de Henares, y está clasificada como ciudad única según la Unesco por el recinto histórico y el rectorado de la universidad. Es la segunda ciudad más poblada de la Comunidad de Madrid, detrás de Madrid. La ciudad está dividida en cinco distritos. Acoge bastantes festivales y ferias importantes como el Festival Internacional de las Artes del Humor y la Feria del Libro que conmemora la muerte de Miguel de Cervantes. Como patrimonio, destacar la Universidad de Alcalá, la Catedral de los Santos Niños Justos y Pastar, y la Casa natal de Miguel de Cervantes. SOCIODEMOGRAFÍA Habitantes: 195.907 Número de hogares: 82.349 Edad media de las personas: 39 años% extranjeros: 1%Nivel medio de estudios: Secundaria.",False,renew,False,False,2048.0,False,False,False,False,[],False,False,170000.0,€,flat,"Juan de Austria, Alcalá de Henares",Piso,,,,,C6-07583-0001,,,
