propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,district,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
93189682,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/88/81/1276848025.webp,ST1690,52,1100000.0,chalet,sale,337.0,5,4,LUNA,Madrid,Santo Domingo,es,40.6293724,-3.5792417,False,https://www.idealista.com/inmueble/93189682/,"HOUSE AND HOUSE VENDE ( 912779625) vivienda con bonitas vistas en parcela de 1.822m2 con jardín y piscina. La casa se distribuye: PLANTA PRINCIPAL: Hall/distribuidor, amplio salón comedor con bonita chimenea comunicado con la cocina con zona de office, aseo de invitados, dormitorio de servicio y/o invitados, dormitorio principal muy amplio con gran frente de armarios y baño completo ( este último reformado el año pasado), en esta misma planta tenemos u segundo salón o cuarto de estar con chimenea y otro despacho.  PLANTA PRIMERA:  Dos dormitorios y un baño completo. Uno de los dormitorios es de gran tamaño. y ambos tienen armarios empotrados. PLANTA BAJA:  Espectaculares bodegas, zona de spa ( con jacuzzi) cuarto de juegos y garaje para dos coches. Bonito jardín con vistas a la urbanización, piscina con zona de merenderos, barbacoa, dos trasteros o cuartos de almacenaje, cuarto de instalaciones y leñero. La vivienda está ubicada dentro de una urbanización, situada en el kilometro 28 de la N-I, con seguridad privada las 24 horas los 365 días del año. Además está controlada con cámaras perimetrales de video-vigilancia. Dispone de una zona comercial que cuenta con todo tipo de servicios; supermercado, farmacia (abierta los 365días del año), zona de restauración, tiendas de regalos, banco, gimnasio, oficina de correos, veterinario, peluquería. Junto a la zona comercial, se encuentra el centro de Salud, con botiquín y asistencia las 24 horas del día. Tiene un Club Social, totalmente reformado, con campo de entrenamiento de Golf, piscina, escuela de Tenis, zona de ocio para niños y adultos. Junto a la Iglesia, hay un colegio-público bilingüe, con primaria y secundaria. En la urbanización de enfrente (Ciudalcampo) está el Colegio privado bilingüe SEK, y a 5 min por la vía de servicio en dirección Madrid se encuentra también el Trinity College colegio concertado bilingüe, ambos colegios con oferta hasta el bachillerato. La urbanización dispone de un autobús privado que recorre la urbanización y con parada final en Plaza de Castilla y paradas intermedias en Alcobendas y San Sebastián de los Reyes.  A 10 min, encontramos el Hospital público de la Seguridad Social Infanta Sofía, construido recientemente y con todas las especialidades.",True,good,False,3264.0,True,True,False,True,[],False,False,1100000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en Luna,Top,,,,,,,,
108260678,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/77/65/1358754912.webp,C501252,63,995000.0,chalet,sale,364.0,4,3,calle Perales s/n,Madrid,Villaviciosa de Odón,es,40.3918457,-3.9181249,True,https://www.idealista.com/inmueble/108260678/,"Exclusivo chalet independiente en El Bosque – Amplitud, calidad y encanto natural. ¡NO COBRAMOS AL COMPRADOR! Si estás buscando una vivienda con personalidad, estilo y rodeada de naturaleza, esta es tu oportunidad. Te presentamos este magnífico chalet independiente de inspiración castellana, ubicado en la prestigiosa urbanización El Bosque. Construido en 2005 con materiales nobles y detalles artesanales únicos, este hogar combina la elegancia tradicional con el confort moderno en un entorno privilegiado. Con una superficie construida de 364 m² sobre una espectacular parcela ajardinada de 2.272 m², esta vivienda se distribuye en tres plantas, ofreciendo espacio de sobra para disfrutar en familia o recibir invitados con total comodidad. Al entrar, te recibe un elegante hall de 17 m² que da paso a un salón independiente de casi 48 m² con chimenea, ideal para los inviernos en familia, y con salida directa a un porche trasero cubierto y una amplia terraza de 39 m², perfecta para disfrutar del buen tiempo y las vistas al jardín. La cocina de obra de más de 17 m² es cálida y funcional, y cuenta con despensa independiente. Dispone de 3 amplios dormitorios más un despacho, el principal con baño en suite de más de 12 m², vestidor y aire acondicionado. Los baños, dos completos y un aseo, están cuidadosamente distribuidos en las distintas plantas para garantizar la comodidad. El nivel de acabados es excepcional: suelos de barro artesano en la planta baja, tarima de madera natural en la planta alta, ventanas de madera de iroko, puertas interiores de castaño fabricadas a mano, calefacción por suelo radiante de gasoil y aire acondicionado en las estancias principales. El jardín es uno de los grandes protagonistas: una parcela cuidada al detalle con encinas, prunos, magnolio, laurel y una gran colección de rosales ingleses que llenan el espacio de color y aroma. La piscina de 5x10 metros con cloración salina, spa, zona chill-out con bar, barbacoa y caseta de aperos es ideal para desconectar o compartir momentos inolvidables con familia y amigos. Y además... Salón en planta sótano de 36 m² Buhardilla diáfana de 39 m² con ventanas tipo mansarda Garaje cerrado de 30 m² con armario empotrado Cuarto de caldera con lavadero Este chalet aporta tranquilidad, privacidad, calidad de construcción y una ubicación excepcional en la zona oeste de Madrid. ¿Quieres descubrir tu nueva casa? Llámanos y concierta tu visita hoy mismo. ¡No cobramos al comprador! Nota: Las medidas y enseres reflejados en esta información son meramente informativos. No tienen carácter contractual.",True,good,False,2734.0,True,True,False,True,[],False,False,995000.0,€,True,True,chalet,independantHouse,"El Bosque, Villaviciosa de Odón",Casa independiente en calle Perales s/n,Top,El Bosque,,,,,,,
84707528,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/49/b2/745873142.webp,ST1571,76,1795000.0,chalet,sale,715.0,5,5,calle Alta,Madrid,Santo Domingo,es,40.6341053,-3.574169,False,https://www.idealista.com/inmueble/84707528/,"HOUSE AND HOUSE VENDE ( ) Fantástica vivienda en una de las mejores ubicaciones de Santo Domingo con impresionantes vistas, en parcela de 7.185m2 (dividida en dos fincas, siendo 5.550m2 parcela urbana sobre la que esta la vivienda y 2.300m parcela rustica), pero muy cómoda y sin apenas mantenimiento. La vivienda tiene una construcción y diseño muy solidos con grandes ventanales a los porches y al jardín totalmente consolidado con piscina exterior e interior, gimnasio, sauna, pista de de pádel y media cancha de baloncesto.  Climatización por suelo radiante frio/calor a través de aerotermia, con apoyo de placas. Se trata de una vivienda muy cómoda con espacios muy amplios, mucha luz y perfecta para una vida en familia, se distribuye alrededor de un patio central: Planta principal: hall de entrada, jardín interior cubierto, amplio salón, comedor, cuarto de estar, aseo cortesía, un dormitorio de invitados con baño en suite, gimnasio, piscina interior climatizada, sauna, despacho, cocina con despensa y zona de office y cuarto de lavadora. planta primera: dormitorio principal muy amplio con vestidor y baño en suite, tres dormitorios mas con dos cuartos de baño y un despacho. En la planta baja: gran cuarto de juegos o segundo salón, bodega, trastero y garaje para tres coches.  La vivienda está ubicada dentro de una urbanización, situada en el kilometro 28 de la N-I, con seguridad privada las 24 horas los 365 días del año. Además está controlada con cámaras perimetrales de video-vigilancia. Dispone de una zona comercial que cuenta con todo tipo de servicios; supermercado, farmacia (abierta los 365días del año), zona de restauración, tiendas de regalos, banco, gimnasio, oficina de correos, veterinario, peluquería. Junto a la zona comercial, se encuentra el centro de Salud, con botiquín y asistencia las 24 horas del día. Tiene un Club Social, totalmente reformado, con campo de entrenamiento de Golf, piscina, escuela de Tenis, zona de ocio para niños y adultos. Junto a la Iglesia, hay un colegio-público bilingüe, con primaria y secundaria. En la urbanización de enfrente (Ciudalcampo) está el Colegio privado bilingüe SEK, y a 5 min por la vía de servicio en dirección Madrid se encuentra también el Trinity College colegio concertado bilingüe, ambos colegios con oferta hasta el bachillerato. La urbanización dispone de un autobús privado que recorre la urbanización y con parada final en Plaza de Castilla y paradas intermedias en Alcobendas y San Sebastián de los Reyes.  A 10 min, encontramos el Hospital público de la Seguridad Social Infanta Sofía, construido recientemente y con todas las especialidades.",True,good,False,2510.0,True,True,True,True,[],False,False,1795000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en calle Alta,Top,,,,,,,,
108188668,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/1c/e2/1336524826.webp,,60,750000.0,flat,sale,82.0,3,2,calle de Vallehermoso,Madrid,Madrid,es,40.4363125,-3.7085884,False,https://www.idealista.com/inmueble/108188668/,"Chamberí: A ESTRENAR, piso recién reformado y amueblado, de 3 dormitorios, 2 baños y cocina abierta al salón, listo para empezar a vivir. Muy bien ubicado dentro de este distrito, con comercios de proximidad, restaurantes y mucha vida al rededor.  El edificio es clásico y representativo con portero físico y calefacción central, con unos gastos de comunidad de 130€/mes. El dormitorio principal orienta a un patio de manzana y es tipo suite con baño completo incorporado.",True,good,False,9146.0,True,True,False,True,[],False,False,750000.0,€,,,flat,,"Arapiles, Madrid",Piso en calle de Vallehermoso,Top,Chamberí,bj,True,Arapiles,True,760000.0,10000.0,1.0
108591293,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/1e/27/1349353004.webp,MOV03492,46,1634610.0,flat,sale,177.0,4,3,"camino de los Jardines, 7",Madrid,La Moraleja,es,40.5072605,-3.6088823,True,https://www.idealista.com/inmueble/108591293/,"Espectacular piso bajo en esquina a estrenar, con una impresionante terraza de 292m² que envuelve toda la vivienda en tres de sus fachadas, en La Moraleja. Les presentamos este luminoso piso ideal para entrar a vivir y disfrutar, situado en una planta baja en esquina y dentro de una fantástica urbanización privada que pone a disposición de sus residentes unas excelentes instalaciones. Todo de obra nueva. Este moderno piso ofrece la combinación perfecta de confort y estilo, con todos los detalles cuidadosamente diseñados. Se trata de un elegante pio con orientación sureste y vistas a las zonas verdes y piscina. Con una confortable distribución, destacamos su luminoso salón comedor, con salida a la enorme terraza. Los 4 espaciosos dormitorios comparten acceso directo a la terraza ajardinada, siendo el dormitorio principal en suite con baño y vestidor. Los otros tres dormitorios comparten el segundo baño. Además dispone de un aseo de cortesía.  El diseño de la cocina, luminosa y bien equipada con electrodomésticos de alta gama, es un punto focal y un plus que hace al confort y practicidad con una estupenda zona de office, con lavadero independiente y acceso directo a la terraza.  En el se han incorporado avances tecnológicos en busca de la mejor sostenibilidad y eficiencia energética como su suelo radiante-refrescante mediante aerotermia que es una tecnología que utiliza principalmente la energía del aire para climatizar los espacios, en general, está considerada como una fuente de energía limpia y altamente eficiente, la misma se programa con un termostato independiente por estancias y conectado al sistema de domótica de la vivienda que se suma a los cerramientos exteriores que tienen vidrios bajo emisivos.  Este piso se ubica en una moderna urbanización rodeada de exuberantes jardines y naturaleza. Además de varias piscinas exteriores y una interior ofrece un abanico de servicios como sala de lectura, coworking, spa climatizado, sauna, gimnasio con sala de boxeo, sala de baile, espacio gastronómico de 115 m2, kids club, toboganes y tirolinas.  Se trata de un lugar perfecto para disfrutar en familia con amplios espacios y comodidad de primera calidad. ¿Necesitas más detalles o información específica de esta propiedad?  DE SALAS. Ref. MOV03492 DISTRIBUCIÓN - Salón comedor  - Aseo de invitados  - Cocina con office  - 4 Dormitorios (1 dormitorio principal de 23,5 m2 con baño en suite 7,5 m2), (1 Dormitorio de 15 m2 ), (3 Dormitorios de 11 m2 cada uno) que comparten un baño de 6 m2 - 1 Terraza ajardinada de 292m2, que rodea toda la vivienda - Calefacción por aerotermia, gas natural y aire acondicionado por conductos - Domótica - Garaje (2 plazas) y trastero URBANIZACIÓN - Varias Piscinas exteriores y 1 piscina interior, 39.000 m2 de zonas comunes, sala de lectura y coworking, spa climatizado con sauna, gimnasio, sala de boxeo y zona de baile, Kids club de 115 m2, espacio gastronómico de 115 m2, zona de juegos (tirolina 30 metros de longitud, 3 toboganes, parque infantil) y seguridad las 24 horas.",True,good,False,9235.0,True,True,False,False,[],False,False,1634610.0,€,True,True,flat,,"La Moraleja urbanización, La Moraleja","Piso en camino de los Jardines, 7",Top,La Moraleja urbanización,bj,True,,True,,,
98113546,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/ba/4c/1001462348.webp,CDC1759,65,1695000.0,chalet,sale,451.0,5,5,ENCINAS,Madrid,Ciudalcampo,es,40.6177675,-3.5954504,False,https://www.idealista.com/inmueble/98113546/,"HOUSE AND HOUSE VENDE (912779625) EN EXCLUSIVA. Fantástica vivienda muy cerquita de la zona de la entrada de Ciudalcampo y sobre parcela plana. Con bonito jardín totalmente consolidado y piscina. La vivienda fue reformada en el 2017, estando en perfecto estado. Tiene una distribución muy practica y funcional, con todos los espacios muy amplios y con mucha luz. PLANTA PRINCIPAL: Amplio hall de entrada, dormitorio de invitados con baño en suite, Gran salón comedor con salida directa al porche, jardín y zona de piscina y a su vez comunicado con la cocina con zona de isla central. Segundo salón, cuarto de estar y/o sala de cine y aseo de cortesía. PLANTA PRIMERA: Cuatro amplios dormitorios con tres baños. El dormitorio principal con su vestidor y baño en suite. Los otros tres dormitorios, uno de ellos tiene su baño en suite y los otros dos comparten el otro baño. Precioso jardín muy bien estructurado y consolidado, piscina, grandes zonas de porche. Garaje en pérgola para 4 coches. MEJOR VER! La vivienda está ubicada dentro de una urbanización, situada en el kilometro 28 de la N-I, dispone de seguridad privada las 24h del día, como servicios comunes dentro de la urbanización cabe destacar: El club social del RACE, con un campo de golf de 18 hoyos, hípica, piscina, tenis, padel, futbol, gimnasio etc.. . Además de dos edificios sociales uno de adultos y uno de niños, con zona de ocio, piscina de bolas y unos grandes jardines con columpios y mesas de picnic ideales para celebrar fiestas infantiles. Colegio privado bilingüe SEK, en la urbanización de enfrente (Santo Domingo) hay un colegio público bilingüe con primaria y secundaria y a 5 min por la vía de servicio en dirección Madrid se encuentra también el Trinity College colegio concertado bilingüe. La urbanización tiene una línea de autobús que van a Plaza de Castilla y hacen paradas intermedias en el metro de San Sebastián de los Reyes, junto al Hospital Publico Infanta Sofía. Ciudalcampo dispone además de una línea de minibuses internos que recorren toda la urbanización. A 10 min, encontramos el Hospital público de la Seguridad Social Infanta Sofía, construido recientemente y con todas las especialidades.",True,good,False,3758.0,True,True,False,True,[],False,False,1695000.0,€,True,True,chalet,independantHouse,Ciudalcampo,Casa independiente en Encinas,Top,,,,,,,,
108292859,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/7e/18/1339824746.webp,AE-209834,33,850000.0,flat,sale,138.0,3,2,avenida del Doctor Severo Ochoa,Madrid,Alcobendas,es,40.5399464,-3.6534002,False,https://www.idealista.com/inmueble/108292859/,"Descubre este exclusivo piso ubicado en Alcobendas, una de las zonas más cotizadas de la Comunidad de Madrid, con una superficie de 137 m² perfectamente distribuidos en 3 dormitorios y 2 baños. Este inmueble, construido en 2018, destaca por su diseño moderno y funcional, ideal para quienes buscan un hogar listo para entrar a vivir. Además, cuenta con dos plazas de garaje, un privilegio en una localidad tan bien conectada y con alta demanda residencial. Características destacadas: - Calefacción por suelo radiante, proporcionando una climatización eficiente y confortable. - Zonas comunes que incluyen un jardín privado y una piscina, ideales para disfrutar del tiempo libre en un entorno relajado y seguro. -Estado impecable, sin necesidad de reformas.  El entorno: Alcobendas Alcobendas es una localidad que combina a la perfección la tranquilidad residencial con la cercanía a la capital. Situada en el corredor norte de Madrid, esta zona es conocida por su excelente calidad de vida, servicios de primer nivel y una amplia oferta de ocio y cultura. Su proximidad a importantes áreas empresariales y al aeropuerto de Madrid-Barajas la convierte en un lugar estratégico tanto para familias como para profesionales. En un radio de menos de 10 kilómetros, encontramos colegios reconocidos, que ofrecen una educación de calidad con un enfoque internacional. Para las compras y el ocio, el Centro Comercial Plaza Norte 2, conocido como ""La Cúpula de Madrid"", está a solo unos minutos en coche, ofreciendo una amplia variedad de tiendas, restaurantes y actividades de entretenimiento.  Conexiones de transporte Este piso goza de excelentes conexiones de transporte: - Metro La estación más cercana es La Moraleja (Línea 10), que conecta directamente con el centro de Madrid. - Cercanías: La estación Valdelasfuentes (C4) está a pocos minutos, facilitando el acceso a diferentes puntos de la región. - Autobuses: Varias líneas de autobús, como la 157 y 157C, conectan Alcobendas con Madrid y otras localidades cercanas. Con todo esto, Alcobendas se posiciona como un enclave privilegiado que ofrece comodidad, exclusividad y una excelente calidad de vida. GILMAR, desde 1983, se ha consolidado como una de las principales compañías inmobiliarias en España, ayudando a miles de clientes a encontrar la casa de sus sueños. Con una trayectoria marcada por la excelencia y la transparencia, somos tu mejor aliado en la búsqueda de hogar o inversión inmobiliaria. Para más información sobre este inmueble, no dudes en contactar con nuestro equipo de la oficina de La Moraleja. Llámanos al o escríbenos a indicando la referencia 209834. ¡Estamos aquí para ayudarte a encontrar tu hogar ideal!",True,good,False,6159.0,True,True,False,True,[],False,False,850000.0,€,True,True,flat,,"Norte, Alcobendas",Piso en avenida del Doctor Severo Ochoa,Top,Norte,1,False,,True,,,
106500540,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/7d/8b/1284705074.webp,VM2411024,27,699000.0,flat,sale,136.0,5,2,"paseo de la Virgen del Puerto, 43",Madrid,Madrid,es,40.4098364,-3.7210537,True,https://www.idealista.com/inmueble/106500540/,"PISO EXTERIOR CON TRASTERO Y VISTAS A MADRID RÍO ¡Gran oportunidad de comprar vivienda a escasos minutos del centro de Madrid y reformarla a tu estilo de vida! Piso exterior en esquina con vistas a la calle pizarra con mucha luminosidad natural situado en finca que hace esquina y en una segunda planta con muy buena altura, las vistas de todas las estancias al exterior del edificio que solo aprecias zona de muchos árboles. Se compone de  salón comedor que en principio de su origen se encontraba un dormitorio y se ha reformado hace 20 años incluyendo este dormitorio al salón-comedor, dejando una estáncia espaciosa, cuenta con cuatro dormitorios con vistas a la calle Pizarro, excepto el dormitorio del servicio, cocina y baño que dispone de ventanas a patio de luces despejado, cuenta con un baño completo.    La vivienda se encuentra sin reformar, de origen, pero bien conservada. Con un espacioso salón-comedor integrado con ventanas de aluminio dobles climalit amplias. Consta de cuatro dormitorios con múltiples posibilidades de reforma, porque no tiene muros de cargar y está sujeta a columnas toda la vivienda en general, además de tener  muy buena altura de techos. Todos los dormitorios cuentan con armarios hechos a medida, amplios y con buena profundidad. Dispone de un baño completo con plato de ducha y un segundo baño (aseo) con posibilidades de ampliarlo y colocar un plato de ducha o bañera. Se encuentran en pasillo central los dos baños seguidos, ambos con ventanas. La cocina es independiente amueblada si así lo prefieren, tiene dos accesos desde el salón o desde el recibidor de la entrada principal.   La calefacción es central.   Dispone de acceso para movilidad reducida, trastero de 8 m² ascensor y finca en muy buen estado de conservación, cuenta con personal de mantenimiento para la recogida de basura y limpieza general del edificio. Los alrededores de la finca cuentan con zonas verdes como Madrid Río. Situado en una calle muy tranquila y de muchas fincas residenciales, dispone de una comisaría policial cercana. Zona en plena expansión de nuevas construcciones, próxima al Palacio Real, a la Almudena, Príncipe Pío, Puerta del Ángel, Puerta de Toledo. La vivienda destaca por su cercanía al centro de Madrid, en una finca muy bien conservada. El barrio de Imperial pertenece al distrito Arganzuela, con muy buena comunicación a la M-30. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,renew,False,5140.0,True,True,False,True,[],False,False,699000.0,€,,,flat,,"Imperial, Madrid","Piso en paseo de la Virgen del Puerto, 43",Top,Arganzuela,2,True,Imperial,True,725000.0,26000.0,4.0
106850294,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/c0/e5/1295829225.webp,102001,84,1795000.0,chalet,sale,850.0,5,5,calle Alta,Madrid,Santo Domingo,es,40.6333513,-3.5722762,False,https://www.idealista.com/inmueble/106850294/,"Cristina Torras de GV | SANTO DOMINGO comercializa el siguiente inmueble: Espectacular villa independiente en una de las zonas más exclusivas de Santo Domingo, con impresionantes vistas al Valle del Jarama. La vivienda, con una sólida construcción y diseño atemporal, ofrece amplios espacios llenos de luz, ideales para disfrutar en familia o con amigos. La propiedad se encuentra en una parcela de 7.850 m², dividida entre un terreno urbano de 5.550 m², donde se ubica la vivienda principal, y un terreno rústico de 2.300 m². El exterior está completamente consolidado con un diseño paisajístico que incluye piscina exterior, pista de pádel, zona infantil, media cancha de baloncesto y cenador. La villa destaca por su comodidad, con una distribución alrededor de un patio central acristalado que aporta luminosidad a todas las estancias. Equipamiento y características adicionales: - Climatización por suelo radiante y refrigerante mediante aerotermia. - Placas solares instaladas en 2023 para mayor eficiencia energética. - Aire acondicionado en la mayoría de las estancias. - Jardín con sistemas automatizados de riego y aljibe para recogida de agua de lluvia. - Seguridad privada 24/7 y videovigilancia perimetral en toda la urbanización. Ubicación y servicios: Santo Domingo se encuentra en el kilómetro 28 de la autovía A-1, a tan solo 20 minutos de Madrid. La urbanización cuenta con un exclusivo centro comercial con todo tipo de servicios: restaurantes, tiendas, farmacia, supermercado, gimnasio, y más. Además, dispone de club social con piscina, escuela de tenis y campo de golf. En la zona también hay colegios bilingües como el SEK y el Trinity College, y un dispensario médico con atención 24 horas. Certificado energético Consumo: en proceso. Emisiones: en proceso. Distribución de la vivienda: Planta principal: Hall de entrada con armario ropero, salón con barra de bar y chimenea, sala de estar, comedor independiente, aseo de cortesía, dormitorio de invitados con baño en suite, gimnasio, sauna, una pequeña piscina interior climatizada con chorro para nadar, despacho y cocina con despensa y zona de office. Desde todas las estancias se accede a un espectacular porche techado. Planta superior: Dormitorio principal con vestidor, terraza privada y baño en suite, tres dormitorios adicionales con armarios empotrados, dos baños completos, despacho con chimenea de bioetanol y terraza con vistas. Planta inferior: Amplia sala de juegos con salida al jardín, bodega, sala de cine con sistema home cinema instalado, y garaje con capacidad para tres vehículos. Equipamiento y características adicionales.",True,good,False,2112.0,True,True,False,True,[],False,False,1795000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en calle Alta,Top,,,,,,,,
106016508,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/95/3b/1269992359.webp,14381,41,1425000.0,chalet,sale,349.0,6,4,calle de las Petunias,Madrid,Madrid,es,40.4525841,-3.6199289,False,https://www.idealista.com/inmueble/106016508/,"Suma inmobiliaria presenta esta magnífica vivienda adosada se encuentra en una tranquila y exclusiva comunidad de 25 vecinos en Palomas, Madrid. La urbanización cuenta con zonas comunes ajardinadas, piscina y pista de pádel, brindando un ambiente ideal para disfrutar en familia. Además, su ubicación es perfecta, con comercios, restaurantes, colegios y transporte público a poca distancia. La casa destaca por su distribución funcional y sus múltiples espacios exteriores, ofreciendo comodidad y privacidad. En la planta de entrada, se accede a través de un hall que conduce a un amplio y luminoso salón. La cocina, equipada con una zona office, tiene acceso directo a una terraza con pérgola, perfecta para relajarse o comer al aire libre, y conecta con las zonas comunes. En esta planta también se encuentra un aseo de cortesía. Subiendo a la primera planta, se distribuyen cuatro dormitorios, proporcionando espacios privados para todos los miembros de la familia. La habitación principal cuenta con un baño en suite, mientras que los otros tres dormitorios comparten un baño completo. En la buhardilla, un espacio polivalente ofrece una zona de despacho y otra de estar, con salida a una terraza desde donde se pueden disfrutar de vistas despejadas. Desde esta planta, también se accede a la azotea, con vistas a las zonas comunes. El sótano alberga una gran habitación de servicio con luz natural y baño propio, un tendedero y un trastero. Desde aquí se accede directamente al garaje, con capacidad para dos coches y una moto. Esta vivienda es ideal para familias que buscan un hogar cómodo, con zonas exteriores, privacidad y la tranquilidad de una urbanización exclusiva, sin renunciar a la cercanía de servicios esenciales y transporte público. Disponemos de una amplia cartera de inmuebles “off market” no publicados en Idealista. Para solicitar información visite nuestra web pinchando en el enlace de abajo o contacte con nuestras oficinas.",True,good,False,4083.0,True,True,False,True,[],False,False,1425000.0,€,True,True,chalet,terracedHouse,"Palomas, Madrid",Chalet adosado en calle de las Petunias,Top,Hortaleza,,,Palomas,,,,
