propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
107824407,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/60/53/1352362012.webp,24,3,500000.0,flat,sale,40.0,False,2,1,"calle de Narváez, 44",Madrid,Madrid,Retiro,es,Ibiza,40.4199858,-3.676639,True,https://www.idealista.com/inmueble/107824407/,"LANDA INVESTMENTS - Pre-venta para inversionistas ¡Increíble Piso de Diseño en Venta a Pasos del Retiro! Descubre esta exclusiva oportunidad de adquirir un magnífico piso de diseño exclusivo por la casa de Arquitectura y diseño QUEENS, ( famosa por sus hoteles y pisos turísticos de diseño) n el codiciado barrio de Ibiza, a solo unos pasos del emblemático Parque del Retiro en Madrid. Características Destacadas: ** Este piso se encuentra en estado de reforma, se entrega la obra en Septiembre, contamos con unidades en la calle paralela, para entregar esta semana que usamos como showroom para que puedan apreciar como se entregaría.  Características Destacadas: **** SE ENTREGA COMPLETAMENTE AMUEBLADO Y EQUIPADO CON MENAJE, SABANAS Y TOALLAS.****** Oportunidad de Inversión: Ideal para inversionistas con la posibilidad de comprarlo con contrato de alquiler de 2300€. Contrato válido para corta o larga estancia. Diseño y Comodidad: Dos habitaciones elegantes.  2 Habitación: 1 doble con cama de 1.35 cm y una de 110cm ambas con almacenamiento interno. Ambas habitaciones cuentan con almacenamiento adicional debajo de las camas. Baño moderno con plato de ducha y espejos con iluminación indirecta. Cocina completa con electrodomésticos empotrados de alta gama, muebles a medida de suelo a techo, con iluminación led interna. Ventana en todas las habitaciones. Portal amplio de mármol, apto para discapacitados. Portero de lunes a viernes. Espacios Funcionales:  Comedor para 4 puestos. Armarios empotrados para un almacenamiento eficiente. Techos altos que proporcionan una sensación de amplitud. Capacidad para 6 personas con un sillón/cama adicional. Ubicación Privilegiada: Situado en el exclusivo barrio de Ibiza a una cuadra del Parque del Retiro. Rodeado de una amplia oferta gastronómica, cafes modernos restaurantes mejores raqueados de la ciudad de y zonas de shopping. Conveniencia y Comunicación: Comunicación inmediata gracias a múltiples líneas de autobuses y el metro de Ibiza a una cuadra. Zona residencial con facilidades para el día a día. En la planta 3 con ascensor y portero fijo. Inerior con mucha luz natural. Multilingüe y Videotour Disponible: Ofrecemos asistencia en inglés, italiano, francés y portugués. Videotour disponible para explorar el piso desde la comodidad de tu hogar. No pierdas la oportunidad de vivir en este exclusivo piso que combina diseño, comodidad y una ubicación inigualable en una de las mejores zonas de Madrid. ¡Contáctanos para más información y agenda tu visita hoy mismo!  Envía un mensaje con tu número de WHATSAPP para solicitar más información o un videotour.",True,good,False,True,12500.0,True,False,False,False,[],False,False,500000.0,€,flat,"Ibiza, Madrid","Piso en calle de Narváez, 44",,,,,,,
108698064,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/af/c2/1353327813.webp,28,bj,250000.0,flat,sale,50.0,True,2,1,calle de Beire,Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4522008,-3.7065271,False,https://www.idealista.com/inmueble/108698064/,"Magnífica vivienda de 2 dormitorios, en la calle Beire, próxima a la Avenida de Federico Rubio y Galí, planta baja (con acceso desde el portal), exterior. 50 m2 construidos distribuidos en: amplio salón-comedor, cocina independiente, dos dormitorios y cuarto de baño con plato de ducha. Suelos de cerámica, ventanas de aluminio lacado en blanco con cristal climalit, comunidad económica. Zona con todo tipo de comercios y servicios, bien comunicado por transporte público, a cinco minutos de estación de Metro de Alvarado (L1) y a menos de diez minutos de estación de Metro de Cuatro Caminos (L1, L2 y L6) y de estación de Metro de Francos Rodríguez (L7) y estación de Metro de Guzmán el Bueno (L6 y L7) y varias líneas de autobús. No lo dude, contacte con nosotros y concierte una visita con nuestros asesores. VENETA Inmobiliaria es una agencia especializada en la venta de viviendas en los distritos de Tetuán y Chamberí con más de 25 años de experiencia en la intermediación de compra-venta de inmuebles y asesoramiento inmobiliario. Síguenos en las redes y entérate el primero de los pisos que salen a la venta: fb: Veneta Inmobiliaria ig: veneta_grupo_inmobiliario.",False,renew,False,False,5000.0,False,False,False,False,[],False,False,250000.0,€,flat,"Bellas Vistas, Madrid",Piso en calle de Beire,MD1F1V005,,,,,,
107812562,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/f5/1e/1324550089.webp,16,bj,192000.0,studio,sale,46.0,True,0,1,"paseo de Europa, 30",Madrid,San Sebastián de los Reyes,Vega de la Moraleja,es,,40.5476468,-3.6213944,True,https://www.idealista.com/inmueble/107812562/,"¿Buscas una excelente oportunidad de inversión? Te presentamos este moderno Loft tipo estudio, construido hace apenas 2 años, ubicado en una de las zonas más atractivas de San Sebastián de los Reyes. Forma parte de un conjunto de 5 unidades disponibles, de las cuales 4 están actualmente arrendadas con contratos recientes y de larga duración, revalorizándose cada año según el IPC. Características destacadas: - Edificación reciente (2 años) y en perfecto estado de conservación.  - Zonas comunes: Urbanización con piscina y espacio de coworking.  - Posibilidad de garaje: Opcional, para mayor comodidad y seguridad.  - Contrato de alquiler: Contratos vigentes de larga duración, con actualizaciones según IPC.  Este Loft (y el conjunto de unidades) es ideal para inversores que busquen una rentabilidad sólida y un activo con gran potencial de revalorización. ¡No dejes pasar esta oportunidad! Para más información o para concertar una visita, contáctanos y estaremos encantados de ayudarte a elegir la mejor opción.",True,good,False,True,4174.0,True,False,False,False,[],False,False,192000.0,€,flat,"Vega de la Moraleja, San Sebastián de los Reyes","Estudio en paseo de Europa, 30",,studio,,,,,
108903621,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/e5/56/1358458878.webp,52,3,200000.0,flat,sale,70.0,True,3,2,calle de Calero Pita,Madrid,Madrid,Puente de Vallecas,es,Entrevías,40.3798777,-3.6702385,False,https://www.idealista.com/inmueble/108903621/,"GRUPOALQUILA ofrece en exclusiva esta excelente oportunidad de Inversión. PROPIEDAD ALQUILADA CON CONTRATO EN VIGOR: cobro garantizado el día 10 de cada mes.  Contrato de arrendamiento hasta el 01/12/2025  Pago IBI anual: 270 € Pago de comunidad: 50€ Si buscas invertir en una vivienda que te genere una rentabilidad desde el primer día, asegurándote la renta mes a mes, llama ahora para agendar una cita y visitarla.  Renta MENSUAL: €  Alta rentabilidad. Ideal inversores, excelente oportunidad de negocio. REF5369. Piso exterior REFORMADO de 70m2. Dispone de 3 dormitorios, amplio salón independiente, cocina amueblada y equipada con vitrocerámica, campana extractora, horno, microondas, lavadora y frigorífico, 1 cuarto de baño completo con bañera y 1 aseo. Terraza de 3m2. Aire acondicionado en el salón y el dormitorio principal, calefacción individual de gas natural, suelos de tarima y pintura lisa. Piso exterior y AMUEBLADO. Finca SIN ASCENSOR. A cinco minutos de la estación de cercanías Asamblea de Madrid - Entrevías (C2). Autobuses: 24, 103, 111 y 144.",False,good,False,False,2857.0,False,False,False,False,[],False,False,200000.0,€,flat,"Entrevías, Madrid",Piso en calle de Calero Pita,5369,,,,,,
108684558,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/d1/70/1352071088.webp,24,3,299000.0,flat,sale,57.0,True,2,1,paseo de la Dirección,Madrid,Madrid,Tetuán,es,Berruguete,40.4619173,-3.7067371,False,https://www.idealista.com/inmueble/108684558/,"Extraordinaria vivienda sin amueblar en Paseo de la Dirección, junto a la calle Ofelia Nieto, 3ª planta, exterior y muy luminosa. 57 m2 construidos distribuidos en: hall-recibidor, amplio salón-comedor, 2 dormitorios (el principal con armarios empotrados revestidos), cocina independiente completamente amueblada y equipada, y baño con plato de ducha. Todas las estancias son independientes. Suelos de tarima flotante, paredes en liso, carpintería interior de madera, carpintería exterior de aluminio lacado, aire acondicionado, calefacción y agua caliente individual por gas natural. COMUNIDAD MUY ECONÓMICA. Zona con todo tipo de comercios y servicios, muy bien comunicado por transporte público, a menos de diez minutos de estación de Metro de Francos Rodríguez (L7) y de Metro Tetuán (L1) y varias líneas de autobús. No lo dude, contacte con nosotros y concierte una visita con nuestros asesores. VENETA Inmobiliaria es una agencia especializada en la venta de viviendas en los distritos de Tetuán y Chamberí con más de 25 años de experiencia en la intermediación de compra-venta de inmuebles y asesoramiento inmobiliario. Síguenos en las redes y entérate el primero de los pisos que salen a la venta: fb: Veneta Inmobiliaria ig: veneta_grupo_inmobiliario.",False,good,False,False,5246.0,False,False,False,False,[],False,False,299000.0,€,flat,"Berruguete, Madrid",Piso en paseo de la Dirección,MD3A01V13,,,,,,
108811467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/31/92/1358469943.webp,24,1,339000.0,flat,sale,103.0,True,3,2,CL ANTONIO MACHADO,Madrid,San Agustin de Guadalix,,es,,40.6772966,-3.6199753,False,https://www.idealista.com/inmueble/108811467/,"¡Descubre tu nuevo hogar! Este espectacular piso reformado está listo para convertirse en el refugio que siempre has soñado. Con 103 m² construidos y 88 m² útiles, ofrece un espacio ideal para disfrutar en familia. Cuenta con tres amplias habitaciones y dos baños, perfectos para la comodidad diaria. Además, podrás personalizarlo a tu gusto, ya que actualmente se encuentra en obras.  No Imaginas la gran cocina que tendras! 18 metros ni mas ni menos! perfecta para hacer vida en ella!  Disfrutar de la piscina Y disfrutar de sus vistas nunca fue tan facil, y sobre todo muy tranquila y pocos vecinos!  La vivienda, situada en una primera planta, es exterior.  La calefacción y el aire acondicionado garantizan un ambiente agradable durante todo el año.  La ubicación es inmejorable, con magnífica comunicación y acceso a todos los servicios necesarios. No dejes pasar esta oportunidad única de adquirir un hogar como nuevo, en un entorno que combina confort y funcionalidad. ¡Ven a verlo y empieza a vivir la vida que mereces!",False,good,False,False,3291.0,True,False,False,False,[],False,False,339000.0,€,flat,San Agustin de Guadalix,Piso en Cl Antonio Machado,,,,,,,
107869089,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/7f/d3/1327354919.webp,49,5,4100000.0,flat,sale,229.0,True,3,4,calle de Lagasca,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4286149,-3.6864924,False,https://www.idealista.com/inmueble/107869089/,"""BIENVENIDOS A LA CALLE LAGASCA. DONDE EL LUJO Y LA ELEGANCIA SE ENCUENTRAN EN LO MAS ALTO"" Dicen que los hogares especiales se reconocen al instante. Este piso ubicado en la quinta y última planta de un edificio de principios del siglo XX representativo del Barrio de Salamanca no es solo una vivienda: es una declaración de estilo, de confort y de calidad de vida. Un hogar pensado para quienes valoran la luz, la privacidad, los espacios amplios y una reforma cuidada hasta el último detalle. Aquí, el diseño convive con la calidez, y cada rincón ha sido creado para disfrutarse. Todo suma: la elegancia de los materiales, la funcionalidad de los espacios, la serenidad que se respira en cada estancia, sobre todo, las impresionantes vistas que se disfrutan desde la quinta planta, ofreciendo una panorámica única de la ciudad, inundando cada habitación de luz natural, un pequeño refugio elevado sobre la ciudad. Al entrar en la vivienda, nos recibe un elegante hall con armarios empotrados, ideal como espacio de bienvenida y perfecto para mantener el orden desde el primer paso. Desde aquí, se accede al corazón de la casa: un espectacular salón-comedor bañado en luz natural, con amplios ventanales que enmarcan unas preciosas vistas a la ciudad y a la calle Lagasca. Un espacio generoso y acogedor, ideal tanto para la vida familiar como para el disfrute social. La cocina, integrada pero perfectamente delimitada mediante unas sofisticadas puertas de cristal, aúna diseño y funcionalidad, permitiendo abrirse al salón o cerrarse con total discreción, según el momento lo requiera. La zona de descanso comienza con un amplio y luminoso dormitorio principal, concebido como un verdadero refugio dentro del hogar. Dispone de un elegante vestidor y un cuarto de baño en suite, diseñado con materiales de alta gama y una cuidada iluminación, que aporta calidez y sofisticación. Un segundo dormitorio, también en suite, mantiene la misma línea de confort y calidad, con una distribución pensada para el descanso y el bienestar. El tercer dormitorio, igualmente con baño propio, se utiliza actualmente como despacho, ofreciendo así una solución ideal para quienes necesitan un espacio de trabajo privado y tranquilo, sin renunciar a la luz ni al confort aportando versatilidad al diseño. Te invito a conocer esta propiedad única en una visita privada. Porque hay casas que se sienten como hogar desde el primer momento. ¿Hablamos?",False,good,False,True,17904.0,True,False,False,False,[],False,False,4100000.0,€,flat,"Castellana, Madrid",Piso en calle de Lagasca,0015-07314,,,,,,
108538726,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/71/f9/1347876860.webp,45,en,238000.0,flat,sale,41.0,True,1,1,calle Ruiz Palacios,Madrid,Madrid,Tetuán,es,Berruguete,40.4617868,-3.7051903,False,https://www.idealista.com/inmueble/108538726/,"VERALSA INMOBILIARIA OFRECE EN EXCLUSIVA;  Te ayudamos con tu financiación, fijos desde 1,40% Descubre este luminoso y acogedor piso de 41 metros cuadrados, perfecto para quienes buscan comodidad y funcionalidad. Con una distribución inteligente, cuenta con un dormitorio y un baño completo, ideal para una persona o una pareja. La propiedad se encuentra en un edificio con garaje POR 70 EUROS EN ALQUILER, lo que facilita el aparcamiento y la seguridad. Comunidad 45 euros y 300 euros de ibi. Este piso destaca por su excelente estado de conservación y sus amplias ventanas con cristales climalit que aportan una gran luminosidad y una agradable sensación de bienestar. La orientación oeste y sur garantiza sol durante gran parte del día, creando un ambiente cálido y soleado en todas las estancias. Además, dispone de patio de 13 metros para disfrutar del aire libre y acceso a las zonas comunes de aparcamiento y trastero desde el mismo patio. La cocina francesa, completamente amueblada y equipada, facilita la preparación de tus platos favoritos. El suelo de parquet aporta elegancia y confort, mientras que la puerta blindada y las ventanas de climalit garantizan tu seguridad y tranquilidad. La calefacción de gas natural individual y el aire acondicionado aseguran una temperatura agradable en cualquier estación del año. Pensada para facilitar la vida diaria, la vivienda cuenta con armarios empotrados y un trastero incluido para mayor comodidad. Es un piso exterior, con acceso para personas con movilidad reducida y permite la presencia de animales, haciendo de este hogar un espacio accesible y adaptable a tus necesidades. No pierdas la oportunidad de vivir en un entorno soleado, bien comunicado y en un estado impecable. ¡Contáctanos y ven a visitar esta fantástica propiedad! Trabajamos por y para tu tranquilidad.",True,good,False,True,5805.0,True,False,False,False,[],False,False,238000.0,€,flat,"Berruguete, Madrid",Piso en calle Ruiz Palacios,palacios,,259000.0,21000.0,8.0,,
107819327,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/1c/e4/1350549911.webp,50,,1250000.0,chalet,sale,492.0,,6,5,paseo de los Tilos s/n,Madrid,Boadilla del Monte,Urb. este - Montepríncipe,es,,40.4102622,-3.8448368,True,https://www.idealista.com/inmueble/107819327/,"Chalet en la prestigiosa Urbanización Montepríncipe. ideal si buscas un hogar amplio con la tranquilidad y seguridad que ofrece ésta Urbanización cerrada y con vigilancia 24 horas, sin tener que renunciar a los servicios de su ubicación y su buena comunicación con M-40, M-503 y M-500. Con una superficie en la vivienda de 492 m2 y parcela de 814m2 con 2 amplios salones, 6 dormitorios, 5 baños, garaje y precioso jardín con piscina privada.  La vivienda tiene dos entradas para mayor comodidad. Distribuido de la siguiente manera: -Planta Principal: Entrada principal con recibidor y distribuidor que da acceso a amplio salón comedor con distintos ambientes, office, despacho, aseo de cortesía y arranque de escalera principal hacia la planta superior.  Entrada de servicios con distribuidor que da acceso a la escalera secundaria donde se encuentra la zona de lavandería. Desde este distribuidor también accedemos a la cocina y a la escalera que baja al semisótano. Gran salón de 80m2 con acceso el precioso porche y al jardín con piscina. Desde el salón-comedor hay un acceso directo a la cocina. -Planta Primera: 4 dormitorios y 3 baños, el dormitorio principal con vestidor suma 32m2 y baño en suite. Pasillo con armarios empotrados. -Planta semi sótano: 1 dormitorio, 1 baño, amplio salón para zona de sofás y zona de juegos y acceso al jardín desde un precioso patio inglés. Garaje para dos coches, trastero y varias zonas de almacenaje. La vivienda está en excelente estado y reformada con altas calidades, lista para entrar a vivir. La parcela es amplia con piscina y zonas ajardinadas con alta valla perimetral alta que da mucha privacidad con los vecinos colindantes. La vivienda tiene una situación privilegiada dentro de la urbanización a 5 minutos andando hay una zona comercial con supermercado, farmacia, tintorería, peluquería, club deportivo. Además, Monteprincipe tiene próximos colegios, hospitales y transporte público. El Hospital Monteprincipe está a 5 minutos caminando de la vivienda.",False,good,False,,2541.0,True,False,False,False,[],False,False,1250000.0,€,chalet,"Urb. este - Montepríncipe, Boadilla del Monte",Chalet pareado en paseo de los Tilos s/n,V1072534,semidetachedHouse,,,,True,True
108243434,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/5f/a1/1338252522.webp,25,5,1130000.0,flat,sale,177.0,True,4,3,calle del Doctor Esquerdo,Madrid,Madrid,Retiro,es,Niño Jesús,40.4093627,-3.6694628,False,https://www.idealista.com/inmueble/108243434/,"VIHOGAR tiene el gusto de presentarles este magnífico piso señorial con un sinfín de posibilidades de reforma gracias a su extraordinaria y amplia planta sin muros de carga interiores sino únicamente perimetrales. Impresiona la gran cantidad de luz natural que recibe gracias a su eminente posición en una 5ª planta exterior, tal y como se aprecia en las fotografías. En la actualidad, destaca la excelente distribución de sus 177m² con estancias orientadas tanto al exterior como al patio de manzana de la exclusiva finca en la que se encuentra ubicado. La vivienda se compone de 4 luminosos dormitorios y 3 baños, gran salón y comedor independientes con chimenea, además de hall de entrada distribuidor para acceder a las estancias, cocina, terraza, zona de descanso cuarto de servicio. Amplia cocina con terraza orientada al patio.  La calefacción de la vivienda es central. Aire acondicionado en salón y habitación principal.    GASTOS:  IBI: 1.100 €.  Comunidad: 213 €. (Incluida la calefacción central) La vivienda cuenta con un amplio cuarto trastero.  El edificio dispone de servicio de conserje, recogida de basuras y ascensor de carga. ZONA: Perteneciente al distrito de Retiro, Niño Jesús es una de las zonas residenciales más elegantes y demandadas de la capital. El barrio de Retiro es conocido por su elegancia y su proximidad al famoso Parque del Retiro, uno de los pulmones verdes de la capital. Además, cuenta con una amplia oferta de servicios y comodidades, incluyendo tiendas exclusivas, restaurantes de alta cocina y una gran variedad de opciones de ocio. Las diversas comunicaciones son excepcionales, con diversas líneas de metro, autobuses a cinco minutos de la estación de Atocha y con rápida y fácil salida a la M30. Vivienda situada junto al metro Sainz de Baranda y Conde Casal.  El barrio cuenta de todo tipo de servicios, diversos hospitales, entre ellos el Hospital Niño Jesús, hospital de referencia para pediatría y el Gregorio Marañón, prestigiosos colegios, una amplia variedad de tiendas, restaurantes y opciones de entretenimiento, en definitiva, todo lo que necesita para disfrutar de una gran calidad de vida. VIHOGAR Real Estate Projects es una empresa líder en el sector con más de 25 años de experiencia. Sus diferentes equipos de profesionales altamente cualificados y con gran vocación de servicio prestan asesoramiento en ámbitos que abarcan desde la compraventa y gestión completas de inmuebles situados en las zonas más exclusivas de Madrid hasta la reforma y decoración integrales de pisos y chalés con todas las garantías.",False,good,False,True,6384.0,True,False,False,False,[],False,False,1130000.0,€,flat,"Niño Jesús, Madrid",Piso en calle del Doctor Esquerdo,4466,,,,,,
