propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,exterior,neighborhood,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108471347,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/91/e8/f7/1345903346.webp,CAN0000198333,4,bj,323500.0,studio,sale,176.0,0,2,avenida de Italia,Madrid,Arroyomolinos,Zona Europa,es,40.2775209,-3.9232037,False,https://www.idealista.com/inmueble/108471347/,"Gran oferta de Piso en ARROYOMOLINOS. Situado en AVDA ITALIA, dispone de una superficie de 125 m2.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1838.0,False,False,False,False,[],False,False,323500.0,€,flat,studio,"Zona Europa, Arroyomolinos",Estudio en avenida de Italia,,,,,,,,
105492076,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/e4/7b/1253932557.webp,,2,2,99000.0,flat,sale,52.0,2,1,Barrio Numancia,Madrid,Madrid,Puente de Vallecas,es,40.3974975,-3.6590676,False,https://www.idealista.com/inmueble/105492076/,"Inmobiliaria J. Martín presenta esta gran ocasión de comprar vivienda alquilada en Vallecas (Madrid). SOLO PARA INVERSORES Cuenta con 52 metros cuadrados construidos, en los que se incluyen 2 dormitorios, 1 baño, salón y cocina. La vivienda se encuentra en la segunda planta del edificio de siete plantas, con cuatro vecinos por planta y con ascensor. Se encuentra a 5 minutos a pie de la estación de metro Portazgo. Imposibilidad de visita y además el arrendatario no se encuentra al corriente en el pago de las rentas. NO COBRAMOS HONORARIOS AL COMPRADOR.",False,renew,False,1904.0,False,False,False,False,[],False,False,99000.0,€,flat,,"Numancia, Madrid",Piso,True,Numancia,True,,,,,
108266881,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/d3/69/1339009039.webp,9MADRID9001-1-23117RAMONPEREZAYALA,10,1,270000.0,flat,sale,104.0,3,1,calle de Ramón Pérez de Ayala,Madrid,Madrid,Puente de Vallecas,es,40.4007545,-3.6515538,False,https://www.idealista.com/inmueble/108266881/,Piso de 82 m² en venta situado en zona Nueva Numancia (Madrid). 1º exterior con ascensor. Cuenta con 3 habitaciones y 1 baño. Certificado de eficiencia energética E.,False,good,False,2596.0,False,False,False,False,[],False,False,270000.0,€,flat,,"Numancia, Madrid",Piso en calle de Ramón Pérez de Ayala,True,Numancia,True,,,,,
108410811,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/49/a2/1344120346.webp,P-5,31,5,430000.0,flat,sale,86.0,3,2,avenida de Barranquilla,Madrid,Madrid,Hortaleza,es,40.4731471,-3.6402811,False,https://www.idealista.com/inmueble/108410811/,,False,good,False,5000.0,False,False,False,False,[],False,False,430000.0,€,flat,,"Pinar del Rey, Madrid",Piso en avenida de Barranquilla,True,Pinar del Rey,True,,,,,
108650384,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/70/ea/1351048006.webp,1754461,9,,370000.0,chalet,sale,283.0,4,3,avenida el Robledal,Madrid,Villalbilla,,es,40.4350166,-3.2881213,False,https://www.idealista.com/inmueble/108650384/,"   Se vende casa independiente para reformar situada en el  municipio de Villalbilla. Este  inmueble, ideal para quienes buscan un ambiente tranquilo rodeado de naturaleza.  La propiedad, ubicada en una parcela generosa de 1427 m2 cuenta con un total de 283 metros cuadrados construidos, 200 de los cuales son útiles.  Está compuesta por Salon comedor,  cuatro  habitaciones, cocina y dos baños.  Cuenta tambien garaje y piscina   La ubicación de esta casa, en el pintoresco entorno de Villalbilla, combina serenidad y comodidad. El municipio brinda un acceso inmejorable a servicios esenciales, así como a zonas de ocio y recreación. A tan solo unos minutos, es posible disfrutar de la naturaleza, al tiempo que se tiene a mano todas las facilidades urbanas.   La propiedad no solo representa  una oportunidad de crear un hogar en un entorno privilegiado. Es una opción ideal para quienes valoran la amplitud, la privacidad y un ambiente sereno.  Invitamos a todos los interesados a visitar esta casa independiente.     Para más información y concertar una visita, el contacto está a disposición de los interesados.    Gastos de ITP, Notaria, Registro y honorarios de agencia no incluidos en el precio.   .",False,renew,False,1307.0,False,False,False,False,[],False,False,370000.0,€,chalet,independantHouse,Villalbilla,Casa independiente en avenida el Robledal,,,,True,True,,,
108626576,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/9e/2c/1350343690.webp,5039,1,1,170000.0,flat,sale,101.0,3,1,Barrio San Diego,Madrid,Madrid,Puente de Vallecas,es,40.3924105,-3.6720732,False,https://www.idealista.com/inmueble/108626576/,"OPORTUNIDAD DE INVERSIÓN / INMUEBLE EN SITUACIÓN ESPECIAL, se recomienda obtener asesoramiento jurídico. Dispone de 3 dormitorios y 1 cuarto de baño. El inmueble se encuentra en situación especial, vendiéndose sin posesión del vendedor, estando ocupado por tercero sin título que legitime su posesión. Si a fecha de venta el vendedor hubiera demandado judicialmente la ocupación, el comprador podrá subrogarse en dicha demanda, no pudiendo reclamar importe alguno al vendedor como consecuencia de ello. Si en la fecha de venta, el vendedor hubiese interpuesto una denuncia penal, que se encontrase en curso, se comunicará al juzgado la venta, apartándose el vendedor del procedimiento como acusación particular. El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos que impiden i) su tasación oficial conforme exige la orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación, no podrá ser hipotecado. En consecuencia, no podrá constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética (en el caso de que el activo lo requiera). Se recomienda que el comprador obtenga asesoramiento profesional antes de adoptar la decisión de compra.",False,renew,False,1683.0,False,False,False,False,[],False,False,170000.0,€,flat,,"San Diego, Madrid",Piso,True,San Diego,False,,,,,
107049098,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/97/6f/1311629899.webp,90034919,1,4,165800.0,flat,sale,58.0,1,1,El Nido-Las Fuentes,Madrid,Parla,El Nido-Las Fuentes,es,40.2398998,-3.7773116,False,https://www.idealista.com/inmueble/107049098/,"FINCAMAD INMOBILIARIA VENDE ESTE MAGNIFICO PISO EN ZONA LAS FUENTES Estupendo piso en una planta cuarta con ascensor, listo para entrar a vivir. Con una superficie habitable de 44m². Esta propiedad ofrece un amplio salón-comedor independiente, una cocina integral independiente 1 amplisimo dormitorio y un gran cuarto de baño, La vivienda tiene una abundante luz natural, creando un ambiente acogedor en toda la vivienda.  Vivienda en muy buen estado de conservación, esta vivienda es una oportunidad única para aquellos que buscan un hogar confortable en una ubicación privilegiada a 10 minutos de la estacion de RENFE, y salida directa a la autovia A42, el privilegio de contar con todos los servicios basicos a pie de calle, todo un privilegio que solamente brinda el centro de las grandes ciudades madrileñas.. . Inmobiliaria FincaMAD, con una gran cartera de clientes de origen chino, te ayudamos a vender o comprar tu casa, estando a tu lado en cada proceso, asesorandote, por que nosotros pensamos en ti primero. ¿Por qué elegir FincaMAD? * Cuentas con un asesor que te encontrará la vivienda que más se adecue a tus necesidades. * En FincaMAD nos encargamos de toda la gestión. * Te ayudamos a conseguir la mejor financiación. * Siempre trabajamos con transparencia y honestidad.",False,good,False,2859.0,False,False,False,False,[],False,False,165800.0,€,flat,,"El Nido-Las Fuentes, Parla",Piso,True,,True,,,,,
108111937,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/ce/3b/1334187227.webp,LOFT,4,bj,160000.0,studio,sale,50.0,0,1,calle Rubens,Madrid,Móstoles,Norte - Universidad,es,40.3282286,-3.8698788,False,https://www.idealista.com/inmueble/108111937/,"¡ posibilidad de financiar el 100% del valor de la vivienda, asesoramiento gratuito! ¡descubre tu nuevo hogar en Móstoles! ***** hasta 100% financiación ***** b-home ofrece magnifica oportunidad en una inmejorable ubicación. - este magnifico piso consta de las siguientes características: -Salón. -1 dormitorios. -1 baño. -cocina independiente. Para entrar a vivir, mejor ver en persona!",False,good,False,3200.0,False,False,False,False,[],False,False,160000.0,€,flat,studio,"Norte - Universidad, Móstoles",Estudio en calle Rubens,True,,False,,,,,
108595892,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/90/b8/1349488953.webp,,7,4,169000.0,flat,sale,48.0,2,1,calle de San Faustino,Madrid,Madrid,San Blas,es,40.4462251,-3.6089252,False,https://www.idealista.com/inmueble/108595892/,"Vivienda alquilada con contrato en vigor. Inmueble para inversor. La vivienda se vende con contrato en vigor, actualmente se paga una renta de 810€ y tiene contrato en vigor hasta Mayo de 2028, con inquilino solvente y pagos demostrables.",False,good,False,3521.0,False,False,False,False,[],False,False,169000.0,€,flat,,"Canillejas, Madrid",Piso en calle de San Faustino,True,Canillejas,False,,,,,
107924165,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/2d/25/1342198586.webp,4274,13,,620000.0,chalet,sale,511.0,12,5,avenida del Doctor Manuel Jarabo,Madrid,San Martín de la Vega,,es,40.2103204,-3.5746966,False,https://www.idealista.com/inmueble/107924165/,"En venta esta magnífica casa en San Martín de la Vega, con una superficie total de 511 m² y un amplio terreno de 819 m². La propiedad cuenta con 3 habitaciones individuales, 9 habitaciones dobles, 4 baños, 1 aseo, cocina muy amplia con salida al jardín, comedor luminoso con chimenea y un jardín privado. La casa, con más de 50 años de antigüedad, ofrece un gran potencial de reforma y personalización. Además, cuenta con espacio al aire libre con amplias posibilidades, un patio gigante de más de 650 metros y orientación sureste que garantiza mucha luminosidad. ¡Una oportunidad única para crear la casa de tus sueños! Amplía la información llamando al.",False,renew,False,1213.0,False,False,False,False,[],False,False,620000.0,€,chalet,,San Martín de la Vega,Chalet en avenida del Doctor Manuel Jarabo,,,,,,,,
