propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
108843120,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/fd/53/c6/1359398708.webp,58,5,1460000.0,flat,sale,110.0,True,2,2,"avenida de Felipe II, 17",Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4241337,-3.6730592,True,https://www.idealista.com/inmueble/108843120/,"Exclusiva vivienda exterior en planta sexta en Avenida Felipe II, 17 – 2 dormitorios, 2 baños – 1.460. 000 € En una de las zonas más cotizadas del barrio de Goya, en plena Avenida Felipe II, presentamos esta magnífica vivienda totalmente exterior, ubicada en una sexta planta de un edificio representativo con portero físico. La propiedad, con una superficie construida generosa y excelente distribución, cuenta con dos amplios dormitorios y dos baños completos, uno de ellos en suite. Desde el salón-comedor, de concepto abierto y con grandes ventanales, se disfruta de una excepcional luz natural durante todo el día y de unas vistas despejadas al emblemático centro comercial Palacio de Hielo y la Plaza de Felipe II. La cocina, moderna y totalmente equipada, está integrada con elegancia en el espacio social, ideal tanto para el día a día como para recibir invitados. Los acabados son de alta calidad, con suelos de madera natural, climatización por conductos y carpintería exterior con doble acristalamiento para un perfecto aislamiento térmico y acústico. Ubicación inmejorable, rodeada de comercios, restaurantes, zonas verdes como el Parque del Retiro, y perfectamente comunicada por transporte público (metro Goya a escasos metros). Una oportunidad única de vivir o invertir en una de las zonas más demandadas del distrito de Salamanca.",False,good,False,True,13273.0,False,False,False,False,[],False,False,1460000.0,€,flat,"Goya, Madrid","Piso en avenida de Felipe Ii, 17",,,,,,,,
104450806,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2d/72/3c/1286635645.webp,37,bj,176000.0,flat,sale,29.0,,1,1,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4072434,-3.6973037,False,https://www.idealista.com/inmueble/104450806/,"Práctico piso en Madrid, perfecto para parejas. La vivienda consta de 29 m² construidos distribuidos en salón-comedor, cocina. Está ubicado en el corazón de Madrid, muy cerca de Paseo de Santa María de la Cabeza en el barrio de Lavapiés, cerca de Museo Nacional del Prado y Museo Nacional Centro de Arte Reina Sofía. En sus alrededores encontramos la Universidad Oberta de Catalunya, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús, la estación de metro Lavapiés y la estación de tren Embajadores. Se encuentra a 17 minutos andando del centro de la localidad.",True,good,False,,6069.0,True,False,True,False,[],False,False,176000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso,VI-000-038-779-990,185000.0,9000.0,5.0,,,,
108566586,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/05/14/1348652814.webp,30,2,634000.0,flat,sale,81.0,False,3,2,"CL SANTA ANA, 6",Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4100961,-3.7083825,True,https://www.idealista.com/inmueble/108566586/,"SANTA TOLEDO REAL ESTATE te presenta este fantástico apartamento interior en la calle Santa Ana 6, en pleno barrio de La Latina. Un lugar que refleja la esencia de la auténtica vida madrileña. Este apartamento, situado en una segunda planta ha sido recién reformado con materiales de excelente calidad. La distribución está pensada para aprovechar cada rincón y hacer que el espacio sea lo más cómodo y funcional posible. *Con 3 dormitorios y 2 baños completos, cada detalle ha sido cuidado para ofrecer un ambiente moderno y práctico. *La cocina está totalmente equipada con electrodomésticos de alta gama, lo que asegura un rendimiento excepcional y eficiencia energética. Además, una pared de ladrillo hace que el ambiente sea muy moderno y vanguardista. *El salón-comedor es amplio y luminoso, ideal para relajarte o trabajar, mientras que la calefacción central y el aire acondicionado centralizado garantizan confort durante todo el año. *El suelo ha sido renovado con un acabado minimalista, y el apartamento se ha decorado en tonos neutros con materiales de primera, creando un ambiente acogedor. ¡No pierdas la oportunidad de ver este increíble apartamento! Solicita una visita y ven a conocerlo, estamos seguros de que te encantará. La Latina es un barrio lleno de vida, con calles estrechas, plazas acogedoras y una gran oferta de bares, restaurantes y terrazas. Es el lugar perfecto para pasear y disfrutar de su ambiente único. Aquí se encuentran edificios históricos y tradicionales, con una arquitectura que mantiene el espíritu madrileño. *Plaza de la Cebada: Esta plaza es uno de los puntos de encuentro más importantes del barrio, especialmente durante los fines de semana, cuando se celebran mercados y actividades al aire libre. Además, está cerca del Mercado de la Cebada, un lugar que ha sido renovado y que ofrece productos frescos, bares y puestos de comida. *Teatro La Latina: Situado a pocos pasos de la calle Santa Ana, este teatro es uno de los más antiguos de Madrid y sigue ofreciendo una gran variedad de obras teatrales, conciertos y eventos culturales. *El Rastro: Aunque no es un museo, El Rastro es uno de los mercadillos más famosos de Madrid y tiene lugar los domingos en el barrio de La Latina. Es un sitio ideal para explorar, encontrar antigüedades, arte y ropa vintage. *La calle Santa Ana está muy bien conectada con el resto de Madrid: -Estación La Latina (Línea 5): A pocos minutos de la calle Santa Ana, esta estación te conecta directamente con muchos puntos importantes de la ciudad, como Gran Vía, Callao, Chueca y Chamberí. -Estación Tirso de Molina (Línea 1): A solo unas cuadras, conecta con lugares emblemáticos como Sol, Gran Vía y Atocha. El barrio también tiene varias paradas de autobús, lo que facilita el acceso a otras zonas de Madrid. La Latina es un barrio lleno de historia, cultura y vida, tanto de día como de noche. A lo largo de sus calles encontrarás una mezcla perfecta de tradición y modernidad, con restaurantes, bares, museos y teatros que lo convierten en uno de los lugares más vibrantes y encantadores de Madrid. Es el lugar perfecto para disfrutar de un paseo tranquilo por la mañana, descubrir su rica historia cultural y, por la noche, dejarse llevar por su animada vida nocturna.",False,good,False,True,7827.0,False,False,False,False,[],False,False,634000.0,€,flat,"Lavapiés-Embajadores, Madrid","Piso en Cl Santa Ana, 6",19,,,,,,,
106867039,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/13/7f/1296312448.webp,19,bj,269900.0,flat,sale,124.0,True,3,2,Daganzo de Arriba,Madrid,Daganzo de Arriba,,es,,40.5431739,-3.4653816,False,https://www.idealista.com/inmueble/106867039/,"GPA-19142 - Situada en la encantadora localidad de Daganzo, esta amplia vivienda de 124 m² construida en 2003, ofrece una combinación ideal de espacio, comodidad y funcionalidad. La vivienda actualmente se encuentra alquilada y se vendería alquilada hasta la finalización del contrato. Al ingresar a la vivienda, te recibe un espacioso hall de 4 m² con un armario empotrado que proporciona almacenamiento adicional desde el primer momento, dando paso a un hogar pensado para el confort y el disfrute. El amplio salón comedor de 26 m² es el corazón de la vivienda, equipado con aire acondicionado para garantizar una temperatura perfecta durante todo el año. Desde aquí, se accede a un patio privado, un lugar perfecto para relajarse al aire libre, disfrutar de un café por la mañana o una cena al atardecer. La cocina, de gran amplitud, no solo es espaciosa sino también funcional, y cuenta con una terraza acristalada ideal como zona de lavandería, ofreciendo así un espacio adicional práctico. La zona de descanso se encuentra separada del resto de la vivienda mediante un pasillo, garantizando tranquilidad y privacidad. Cuenta con 2 dormitorios individuales con armario empotrado. El dormitorio principal, además de contar con un armario empotrado, incluye un cuarto de baño en suite, proporcionando un toque de lujo y comodidad adicional. Además, la vivienda dispone de un segundo cuarto de baño completo, ideal para atender las necesidades del hogar. Esta vivienda en Daganzo es perfecta para quienes buscan una combinación de espacio, comodidad. Si buscas una vivienda para inversión y un hogar a futuro ven a conocer esta vivienda, te encantará. Sobre nosotros: GEPPCO es una Inmobiliaria que ofrece, tanto al propietario como al comprador, todos los servicios necesarios para que pueda convertir su sueño en una realidad y, para ello, en todo el proceso, contarás con asesoramiento y gestión de alto nivel con una amplia experiencia de más de 25 años y todo un equipo multidisciplinar en el sector: financiero, inmobiliario y jurídico PVP CON HONORARIOS INCLUIDOS (No están incluidos los gastos notariales ni registrales).",False,good,False,True,2177.0,False,False,False,False,[],False,False,269900.0,€,flat,Daganzo de Arriba,Piso,GPA-19142,,,,True,True,,
108865583,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/d1/e9/1357419244.webp,27,1,239000.0,flat,sale,87.0,True,2,1,calle Chorrillo,Madrid,Alcalá de Henares,Chorrillo,es,,40.4904156,-3.3761194,False,https://www.idealista.com/inmueble/108865583/,"En esta ocasión Aunar Asesores presenta esta excelente vivienda para entrar a vivir totalmente reformada en Alcalá de Henares. Primera planta con Ascensor. Edificio de 9 plantas con 2 ascensores. Vivienda de 2 dormitorios (originalmente 3), 1 baño muy amplio con bañera, cocina totalmente equipada, amplio salón con terraza. Aire acondicionado en todas las habitaciones, salón y cocina. Calefacción individual de Gas natural. Puerta acorazada, suelos de tarima, ventanas de Climalit oscilovatientes. Vivienda de 87m2 según catastro, de los cuales 77m2 son de vivienda y 10m2 de elementos comunes. Vivienda rodeada de muchas zonas verdes, muy cerca de supermercados, farmacia y demás comercios. No pierdas esta gran oportunidad en Alcalá de Henares. Llama ya y concertar una visita. Recuerde que en AUNAR ASESORES no se cobran comisiones a los compradores aparte del precio. APUESTE POR LA TRANSFERENCIA.",False,good,False,True,2747.0,False,False,False,False,[],False,False,239000.0,€,flat,"Chorrillo, Alcalá de Henares",Piso en calle Chorrillo,,,,,,,,
108513537,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9d/13/58/1347140193.webp,14,3,1650000.0,flat,sale,183.0,True,3,2,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Trafalgar,40.4386181,-3.6993979,False,https://www.idealista.com/inmueble/108513537/,La finca construida en 1940 está situada en la emblemática calle Santa Engracia en el barrio de Chamberí en la zona Rios Rosas.   La vivienda de 183m2 exterior se sitúa en una 3 planta y cuenta con 3 habitaciones y 3 baños. Se hizo una reforma integral de la vivienda en el año 2018. La zona social es amplia con mucha luminosidad ya que tiene una inmejorable orientación. El dormitorio principal con baño en suite orientado al patio interior proporciona tranquilidad. La habitaciones secundarias están orientadas a un patio de luces amplio por lo que proporciona luz natural. También cuenta con un cuarto de lavandería.   La propiedad ha sido destacada en revistas de interiorismo y arquitectura debido a su exclusivo diseño y singularidad.   Para más información no dude en contactar con THE SELECTION HOMES.,False,good,False,True,9016.0,True,False,False,False,[],False,False,1650000.0,€,flat,"Trafalgar, Madrid",Piso en calle de Santa Engracia,1399,,,,,,,
108533254,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/fe/1b/1347717581.webp,8,14,2400000.0,penthouse,sale,275.0,True,3,2,calle del Alcalde Sainz de Baranda,Madrid,Madrid,Retiro,es,Estrella,40.41767,-3.6644179,False,https://www.idealista.com/inmueble/108533254/,"Alguna vez has soñado con vivir en un ático muy exclusivo, con más de 100 metros cuadrados de terraza en el centro de Madrid? , esta es tu oportunidad. Te presentamos un piso a estrenar, . Según se entra en la vivienda accedemos a un gran salón comedor, muy luminoso, impresionante. También accedemos a una cocina desde la que se accede al salón, que están separadas por puertas correderas. Desde la cocina accedemos a la zona de lavandería. La parte privada de la casa está compuesta por tres dormitorios, el principal con baño en suite y vestidor y las otras dos comparten otro baño. Todas las habitaciones  tienen amplios armarios empotrados. Pero si esto no es suficiente, toda la vivienda está rodeada de una terraza de más de 100 metros, a la que puedes acceder desde cualquier estancia, y desde la que podrás disfrutar de unas increíbles vistas de todo Madrid. Completa esta maravillosa casa 2 plazas de garaje y un trastero en el mismo edificio. Gozarás en esta casa de un completo sistema de calefacción por suelo radiante, alimentado por energía procedente de aerotermia y geotermia. Toda la casa cuenta con domótica desde la que podrás controlar la temperatura de cada estancia. También cuenta  con aire acondicionado por conductos. Mención a parte merece la urbanización, controlada por sistemas de vigilancia en accesos y videovigilancia. Cuenta con muchos servicios, como piscina, solarium, una preciosa sala club y gastroteca. También podrás disfrutar de su gimnasio, spa y tus hijos tendrán una zona de juegos. También cuenta con espacio para aparcar las bicicletas. El garaje está dotado con preinstalación para recarga de vehículos.    Esta vivienda disfruta de una ubicación estratégica por su excelente conexión con el centro de la ciudad, así con las vías más importantes de acceso y salida de la ciudad. La cercanía a los parques de Roma y del Retiro permite disfrutar de amplias zonas verdes y recreativas, así como, una amplia oferta de bares, restaurantes y tiendas. En las inmediaciones tienes todos los medios de transporte públicos que necesites para desplazarte por la ciudad.",False,good,False,True,8727.0,True,False,False,False,[],False,False,2400000.0,€,flat,"Estrella, Madrid",Ático en calle del Alcalde Sainz de Baranda,4557,,,,True,True,penthouse,
108918203,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/9a/5a/1358901162.webp,19,bj,149000.0,flat,sale,32.0,True,1,1,Barrio Numancia,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.3990077,-3.6653939,False,https://www.idealista.com/inmueble/108918203/,"Este luminoso piso en venta en Madrid Capital cuenta con una superficie total de 32 m², distribuidos en 1 habitación doble y 1 baño. La propiedad ha sido reformada y se encuentra en óptimas condiciones de conservación. Dispone de aire acondicionado (frío y calor) y calefacción eléctrica para ofrecer el máximo confort. Los suelos son de gres y la vivienda es exterior, lo que permite disfrutar de una agradable luminosidad. Los gastos de comunidad oscilan entre 20 y 40€. La ubicación en la zona de Numancia ofrece una excelente conexión con servicios, comercios y transporte público.",False,good,False,False,4656.0,False,False,False,False,[],False,False,149000.0,€,flat,"Numancia, Madrid",Piso,8265,,,,,,,
108385683,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/2d/4d/1342545421.webp,15,2,2400000.0,flat,sale,142.0,True,3,4,"calle de Antonio Acuña, 10",Madrid,Madrid,Barrio de Salamanca,es,Goya,40.422427,-3.6789512,True,https://www.idealista.com/inmueble/108385683/,"Imagina despertar cada mañana en una de las direcciones más codiciadas de Madrid: Antonio Acuña, en pleno corazón del exclusivo barrio de Salamanca. A sólo unos pasos del majestuoso Parque del Retiro, esta ubicación privilegiada no es solo un lugar donde vivir, es un privilegio diario. Aquí, la ciudad se vive con calma. Las calles arboladas y los edificios de elegancia clásica de una zona residencial consolidada crean una atmósfera que respira historia, sofisticación y bienestar. A tu alrededor, lo tienes todo: boutiques, restaurantes gourmet, colegios de renombre, servicios de salud y una conectividad inmejorable.   Esta luminosa vivienda combina el encanto de un edificio señorial de 1930 con la comodidad que exigen los estilos de vida actuales. Ubicada en una segunda planta exterior, la propiedad ofrece un equilibrio perfecto entre amplitud y funcionalidad. Cuenta con 3 dormitorios, todos con armarios empotrados, y 4 baños, lo que proporciona una distribución ideal tanto para familias como para quienes valoran la privacidad y el confort.  Los acabados de calidad y la abundante luz natural hacen de este hogar un espacio acogedor durante todo el año. Y para completar esta exclusiva propuesta, la propiedad incluye plaza de garaje, un auténtico privilegio en esta codiciada ubicación. Vivir aquí es disfrutar del Madrid más auténtico, con la tranquilidad del barrio de Salamanca y a pasos de todo lo que necesitas.  Un hogar que no sólo se visita… se siente.  Agenda tu visita con nosotros, estaremos felices de poder ayudarte!",False,good,False,True,16901.0,True,False,False,False,[],False,False,2400000.0,€,flat,"Goya, Madrid","Piso en calle de Antonio Acuña, 10",,,,,True,True,,
108691254,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/b0/b3/1352265239.webp,45,,1250000.0,chalet,sale,462.0,,5,5,calle Playa de Salinas,Madrid,Boadilla del Monte,Valdecabañas,es,,40.4375697,-3.8965106,False,https://www.idealista.com/inmueble/108691254/,"Magnifico chalet independiente en la urbanización Valdecabañas ubicada en Boadilla del Monte. Es una vivienda construida en una hermosa parcela de 1980 metros cuadrados, y con un jardín consolidado. En la planta baja consta de un amplio vestíbulo y amplios armarios empotrados, tiene un amplio comedor, gran salón con chimenea, cocina totalmente reformado, un baño y una habitación. Desde la cocina y el salón se sale al patio cubierto para disfrute todo el año del exterior. En la planta primera tenemos 4 habitaciones y 3 baños, además de una amplia estancia que puede ser sala de juegos o televisión. En el sótano tenemos una despensa, baño, gran estancia de unos 40 m2 con chimenea con luz natural, garaje para 3 coches con puerta automática, zona de maquina y una amplia zona de sótanos con de unos 40 m2 que puede destinarse a gimnasio o sala de cine. Además en el exterior cuenta con garaje techado para 4 coches. Las puertas de entrada al garaje son automáticas.  En el exterior encontramos un gran jardín consolidado y cuidado, piscina, zona de barbacoa y pista de padel. Ubicado dentro Urbanización Valdecabañas con rápida conexión con la M516, M503, M40 y M50. La urbanización tiene zonas verdes, espacios infantiles y deportivos, como el Sport Center Manolo Santana, el Polideportivo rey Felipe VI o el Forus Golf Las Rejas, colegios como el Mirabla, Casvi, Saint Michael’s, Trinitty o Highlands. Cercana centros comerciales como el Centro comercial Las Lomas, Centro Oeste, supermercados como Carrefour, el Hospital Puerta de Hierro, y a pocos minutos del centro de Boadilla del Monte y de Majadahonda. La urbanización tiene conexiones de autobuses, estación de Metro Ligero.",True,good,False,,2706.0,False,False,False,False,[],False,False,1250000.0,€,chalet,"Valdecabañas, Boadilla del Monte",Casa independiente en calle Playa de Salinas,,,,,True,True,independantHouse,
