propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
81210988,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/29/d9/572356467.webp,11,2,1800000.0,flat,sale,185.0,True,2,2,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,40.4071941,-3.6822554,False,https://www.idealista.com/inmueble/81210988/,"Ofrecemos varios proyectos de reforma de interiorismo y decoración para maximizar el potencial de esta exclusiva vivienda de 185m² ubicada en una segunda planta exterior, en el barrio de los Jerónimos en el distrito de Retiro. Un proyecto de lujo en una zona privilegiada de Madrid. Combinación perfecta de confort, tecnología y estilo. Acabados excepcionales que respetan el valor arquitectónico de la propiedad al tiempo que proporciona lujos modernos para un estilo de vida contemporáneo. Distribución con concepto abierto del salón comedor cocina. Dos habitaciones y dos baños. Las imágenes mostradas son infografías, una simulación generada por ordenador, y son a título indicativo. Los acabados podrán sufrir modificaciones por necesidades expresas del comprador de la vivienda o por necesidades técnicas durante la ejecución de la reforma. En BARREIRO&REY creamos espacios para los sueños. Con nosotros no es necesario esperar a que termine un proyecto para ver su resultado final. Somos especialistas en Madrid en crear hogares realistas y representar exclusivos proyectos de interiorismo y decoración. Diseños atrevidos con nuevas ideas que crearan un espacio vital con estilo en tu nuevo hogar.",False,good,False,True,9730.0,False,False,False,False,[],False,False,1800000.0,€,flat,"Jerónimos, Madrid",Piso,RE-20-0630,,,,,,,
108389583,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/3e/79/1342660701.webp,18,,225000.0,chalet,sale,217.0,,4,1,Patones,Madrid,Patones,,es,,40.8553549,-3.4823031,False,https://www.idealista.com/inmueble/108389583/,"Ref 1141. PAT. The G&A MONEYBOX vende magnifico chalet independiente en casco urbano y rodeado de paisajes naturales. Parcela de 900 m2 con acceso a 2 calles. Pozo propio para riego. Dispone de gran salón de 35 m2, cocina amplia y amueblada. 3 dormitorios y despacho. Cuarto de baño grande. Calefacción. Suelos de Gress. Zona parking. Trastero. Porches. Comunicado por carretera Nacional I y autobuses interurbanos. En Patones podrás descubrir y conocer una infinidad de lugares únicos y rincones llenos de encanto, por ejemplo, recorriendo sin prisas Patones de Arriba, donde te cautivará la esencia y el sabor rural que aún conservan, como en ningún otro lugar del territorio madrileño, sus calles y sus casas. No te pierdas, además, las rutas turísticas, con diferentes recorridos que te permitirán disfrutar y acercarte a los lugares de mayor interés del municipio, como el Cancho de la Cabeza, la Presa del Pontón de la Oliva o el antiguo y valioso Yacimiento de la Dehesa de la Oliva. Te sorprenderá, la fascinante naturaleza y la geología de este municipio. Numerosas especies de fauna, su abundancia de aves, así como incontables especies de flora y vegetación te esperan en Patones. Una mención especial merece el patrimonio geológico, de excepcional valor y singularidad. Municipios cercanos: Torrelaguna, Uceda y Torremocha.",True,good,False,,1037.0,False,False,False,False,[],False,False,225000.0,€,chalet,Patones,Casa independiente,1141,True,True,independantHouse,,230000.0,5000.0,2.0
105591931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/65/c0/1314323003.webp,2,,475000.0,flat,sale,126.0,,1,1,calle de Arturo Soria,Madrid,Madrid,Ciudad Lineal,es,Costillares,40.4815583,-3.6634057,False,https://www.idealista.com/inmueble/105591931/,"Se trata de una Vivienda situada en un edificio de diez alturas sobre rasante, ubicado en la calle Arturo Soria, en la ciudad de Madrid. El edificio dispone de ascensor. La vivienda tiene la siguiente distribución un hall de entrada, que da acceso a una cocina independiente, y un pasillo que distribuye a un salón comedor, varias estancias que se considerarían dormitorios, y un cuarto de baño completo con bañera. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,False,3770.0,False,False,False,False,[],False,False,475000.0,€,flat,"Costillares, Madrid",Piso en calle de Arturo Soria,CS-13107-0001,,,,,,,
107873733,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/a2/ab/1326890433.webp,12,4,310000.0,flat,sale,72.0,True,2,1,Barrio Aluche,Madrid,Madrid,Latina,es,Aluche,40.3898765,-3.7598435,False,https://www.idealista.com/inmueble/107873733/,"Piso en finca en buen estado reformado a medida. Consta de dos dormitorios, baño y cocina. Reforma integral con renovación integral de instalaciones, tanto eléctrica como gas y fontanería. Tabiquería interior completamente nueva y distribución dirigida a la optimización del espacio y al máximo aprovechamiento de la luz natural, con cerramiento de terraza. Aislamiento de fachadas y medianeras opcional. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas, con gamas medias altas pensadas para una primera vivienda.  Ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,True,4306.0,False,False,False,False,[],False,False,310000.0,€,flat,"Aluche, Madrid",Piso,,,,,,,,
108844702,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/c9/b7/1356782665.webp,7,2,1410000.0,flat,sale,178.0,True,4,3,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4418451,-3.7114406,False,https://www.idealista.com/inmueble/108844702/,"Exclusiva vivienda de lujo en zona Chamberí – Calle Guzmán el Bueno, Madrid Presentamos esta elegante y luminosa propiedad situada en la segunda planta de un edificio señorial con ascensor, en una de las zonas residenciales más cotizadas de Madrid. Esta amplia vivienda de 178  m² construidos (140 m² útiles) destaca por su excelente distribución, acabados de calidad y su inmejorable ubicación.  Distribución y estancias: Espacioso salón-comedor con acceso a terraza orientada a cuidados jardines comunitarios Cocina independiente con office, lavadero y dormitorio de servicio 4 dormitorios principales con armarios empotrados 3 baños  Pasillo amplio y zonas de paso bien aprovechadas Terraza soleada con vistas despejadas a zonas verdes  Extras incluidos: Plaza de garaje en el mismo edificio  Edificio representativo: 8 plantas Solo 4 vecinos por planta, lo que garantiza privacidad y tranquilidad 5 exclusivos comercios en los bajos del edificio Comunidad consolidada y cuidada Ubicación premium: Ubicado en una de las calles más emblemáticas del distrito de Chamberí, rodeado de prestigiosos colegios, universidades, zonas verdes, y con una excelente conexión por transporte público.  Una propiedad ideal para quienes buscan confort, amplitud y exclusividad en una de las mejores zonas de Madrid.  Para más información o concertar una visita privada, no dudes en contactarnos.",False,good,False,True,7921.0,False,False,False,False,[],False,False,1410000.0,€,flat,"Vallehermoso, Madrid",Piso,25V024,True,True,,,,,
108272372,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/d4/d3/1339158736.webp,21,2,196000.0,flat,sale,116.0,True,4,2,Torrelaguna,Madrid,Torrelaguna,,es,,40.8273517,-3.5385628,False,https://www.idealista.com/inmueble/108272372/,"Espacioso piso de 116 m2 y 96 m2 construidos, en la población de Torrelaguna (Madrid) con todos los servicios a su alcance. Zona muy tranquila.  La vivienda se distribuye en 4 amplios dormitorios, luminosos salón con chimenea y cocina independiente amueblada con espacio para mesa y sillas. Tanto salón y cocina tienen acceso a la terraza con vistas. Además, la vivienda cuenta con dos baños.  Posibilidad de visitar y entrega inmediata.",False,renew,False,False,1690.0,False,False,False,False,[],False,False,196000.0,€,flat,Torrelaguna,Piso,6771,,,,,,,
108711132,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/96/e6/1359782627.webp,10,bj,169000.0,flat,sale,58.0,True,3,1,Barrio Casco Antiguo,Madrid,Alcorcón,Centro,es,Casco Antiguo,40.3460238,-3.8247334,False,https://www.idealista.com/inmueble/108711132/,"Inmobiliaria Elite vende en exclusiva piso junto a la C/ Polvoranca y C/ Mayor En la actualidad se encuentra alquilado con contrato en vigor hasta 2028. Se vende con esta condición EL PRECIO QUE VES ES EL QUE PAGAS, SIN SORPRESAS! FINANCIACIÓN GRATUITA! La vivienda es toda exterior, consta de 58 m2 y esta situada en la planta baja del edificio.  Consta de 3 dormitorios, cocina amueblada, salón comedor y baño con ducha y ventana - Todo exterior - Calefacción individual de gas natural - Ventanas aluminio lacadas blancas - Puertas de roble se encuentra rodeada de todos los servicios, a 5 minutos del metro Parque Lisboa y a 10 minutos de Alcorcón central, con supermercados, centro de salud, farmacias, colegios.. . * ALCORCÓN CENTRAL: 500 MT * METRO PARQUE LISBOA: 700 MT * COLEGIO SANTIAGO RAMON Y CAJAL: 550 MT * CENTRO DE SALUD: 500 MT * C/ MAYOR: 200 MT * AUTOBUSES: 450 - 510 - 513 - 520 EL PRECIO QUE VES ES EL QUE PAGAS, SIN SORPRESAS! GESTIONAMOS TU CRÉDITO HIPOTECARIO TOTALMENTE GRATIS CON UNAS CONDICIONES INMEJORABLES! Infórmate sin compromiso La transparencia y la honestidad, son nuestros valores fundamentales y el respeto por ellos es lo que nos diferencia de los demás.",False,good,False,False,2914.0,False,False,False,False,[],False,False,169000.0,€,flat,"Casco Antiguo, Alcorcón",Piso,4450,,,,,,,
108633545,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/59/bd/76/1350556522.webp,7,9,360000.0,flat,sale,117.0,True,3,2,Barrio Hellín,Madrid,Madrid,San Blas,es,Hellín,40.4289542,-3.6170483,False,https://www.idealista.com/inmueble/108633545/,"MAGERIT HOMES vende en exclusiva vivienda REFORMADA de 117 m². Ubicada en el polígono H. VIVIENDA con muchísima luz, y ventilación cruzada, ya que cuenta con doble orientación, este y oeste, ubicada en una Sexta planta, ofrece: - Tres amplias habitaciones - Salón comedor: Espacio amplio y acogedor para el descanso y el entretenimiento. - Cocina: Funcional y bien distribuida. - Dos amplios baños Ubicación privilegiada: Conectividad: A solo 5 minutos a pie del estadio Metropolitano ya 7 minutos del metro de Las Musas. Disfrute de acceso directo a la M40, con acceso directo a la M40 ya la A2, la Calle Alcalá en sólo 3 minutos, así como varias líneas de autobuses en la puerta, la conectividad es inmejorable. Con un entorno Tranquilo y con Servicios: Ubicado en una zona comercial tranquila, rodeado de parques, amplias avenidas y colegios.",False,good,False,True,3077.0,False,False,False,False,[],False,False,360000.0,€,flat,"Hellín, Madrid",Piso,,,,,,,,
108654103,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/77/a5/1066954739.webp,22,1,154260.0,flat,sale,75.0,True,2,1,Santorcaz,Madrid,Santorcaz,,es,,40.4730732,-3.2351058,False,https://www.idealista.com/inmueble/108654103/,"VIVIENDAS JUMA tiene el placer de presentarles preciosos piso de 2 habitaciones + plaza de garaje.  + trastero Salón comedor, cocina amplia amueblada. 2 habitaciones dobles con armarios empotrados, baño con plato de ducha y mampara. Calefacción eléctrica. Aire acondicionado con bomba de calor en el salón comedor A 15' de Alcalá de Henares y a 25 ' de Guadalajara. FINANCIACIÓN HASTA EL 100 % OPORTUNIDAD!",False,good,False,False,2057.0,False,False,False,False,[],False,False,154260.0,€,flat,Santorcaz,Piso,131 JU,True,True,,,,,
107885802,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/7b/5a/1327277224.webp,20,,2400000.0,chalet,sale,372.0,,7,5,Barrio Montealina,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,Montealina,40.4338227,-3.8459485,False,https://www.idealista.com/inmueble/107885802/,"Fantástico chalet independiente, en la prestigiosa urbanización Montealina, en Pozuelo de Alarcón. Modelo Encinar de la Constructora Levitt, el inmueble fue construido  en 1984.  Tiene una parcela aproximadamente de 2.300 m2, con un precioso jardín arbolado, una gran piscina privada y con un aseo. Vivienda muy cómoda en dos plantas:  En la planta principal cuenta con un gran salón de mas de 75 m2, comedor, cocina con salida al jardín, suite principal, aseo de cortesía, y habitación de servicio con baño. En la Planta superior tiene 4 dormitorios con dos baños, un gran distribuidor con doble altura, tiene un estudio muy acogedor, y una espectacular terraza con unas maravillosas vistas. Tiene una pergola para tres coches grandes, es el aparcamiento que cuenta la vivienda. Montealina es una zona muy tranquila, y cuenta con amplias zonas verdes, gran arbolado, y seguridad 24 horas, además cuenta con una gran oferta de servicios, centro comercial, colegios, transporte público, la Urbanización también ofrece pistas de tenis y padel comunitarias.",False,good,False,,6452.0,False,False,False,False,[],False,False,2400000.0,€,chalet,"Montealina, Pozuelo de Alarcón",Casa independiente,,True,True,independantHouse,,,,
