propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.parkingSpacePrice
107530309,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/5a/8b/1315183251.webp,001352,48,bj,187000.0,flat,sale,150.0,True,4,2,calle Alejandro Sureda,Madrid,Aranjuez,Vergel-Las Olivas,es,40.0276955,-3.6168132,False,https://www.idealista.com/inmueble/107530309/,"VIVIENDA ALQUILADA! SE VENDE CON EL INQUILINO! El comprador tiene la obligación de respetar el contrato de alquiler que finaliza en Diciembre del 2026. Te presentamos este maravilloso piso de 111 m² útiles (150 m² construidos), un espacio amplio y acogedor donde cada rincón está diseñado para tu bienestar. Cuenta con un dormitorio doble y tres habitaciones, perfectas para adaptarlas a tus necesidades, ya sea como dormitorios, despacho o zona de juegos. Dispone de dos baños completos, una cocina espaciosa con encimera de Silestone y un práctico tendedero. El salón, amplio y luminoso, ideal para poder descansar después de un largo y duro día de trabajo.  La vivienda está llena de detalles que aportan calidez y confort, como el suelo de tarima, puertas de roble y ventanas de aluminio. Además, cuenta con tres armarios empotrados, dos aires acondicionados frío/calor y calefacción de gas natural, asegurando la temperatura ideal en cualquier estación del año. Para mayor comodidad, incluye trastero y plaza de garaje, ofreciéndote espacio extra para almacenamiento y la tranquilidad de tener siempre dónde aparcar. Su orientación oeste permite disfrutar de una preciosa luz natural durante toda la tarde. Un hogar listo para convertirse en tu refugio, donde cada día será especial. ¡No dejes pasar esta oportunidad y ven a visitarlo! ✨ La vivienda se vende alquilada con contrato de alquiler hasta 2026.",False,good,False,True,1247.0,False,False,False,False,[],False,False,187000.0,€,True,True,flat,"Vergel-Las Olivas, Aranjuez",Piso en calle Alejandro Sureda,,,,,,
107932950,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/a6/d9/1328732859.webp,J.A,35,4,328000.0,flat,sale,80.0,True,3,1,avenida del Alcalde José Aranda,Madrid,Alcorcón,Centro,es,40.3413713,-3.8251007,False,https://www.idealista.com/inmueble/107932950/,"***REFOR SERVICIOS INMOBILIARIOS*** Vende estupendo Piso en el Casco Antiguo de Alcorcón - Madrid. Estás buscando una vivienda amplia en una zona tranquila, en urbanización cerrada, Centrica, segura, de 3 Habitaciones, 1 Cuarto de baño, Muy luminosa y con muy buena comunicacion de transporte público? No dudes en llamar y venir a visitarla.  La vivienda está situada en el Casco Antiguo de Alcorcón muy próximo a C/ Mayor de Alcorcón, colegios como el CEIP Fernando de los Ríos, CEIP Santo Domingo, parques infantiles, Centros de Salud Dr. Trueta (Seguridad Social), farmacia, restaurantes, transporte público como: Autobuses 513, 510, 520, 5450 etc. Estación de Metro y Cercanías Alcorcón Central, Estación de metro Parque Lisboa, Centro comercial Tres Aguas, Estancos, Ferreterías, Panaderías, Comercios Varios, Portal Cerca a Calle Mayor. La vivienda cuenta con: - Urbanización. - Conserje Físico. - Zona Infantil. - Piscina. - Cancha de fútbol sala. - Cancha de Tenis. - 3 Habitaciones. - 1 Baños - Armario empotrado. - Orientación: Sur - Este. - Calefacción: Centralizada. - Cocina Office. - Suelos de Parquet. - Cerramientos de Aluminio. - Puertas de Madera.  - Dos Plazas de Garaje incluidas en el precio. Excelente oportunidad para adquirir una propiedad con 80 M2 Construidos, Muy Luminosa.  No pierdas la oportunidad de visitarla! Es la oportunidad perfecta para vivir en Alcorcón.",False,good,False,True,4100.0,False,False,False,False,[],False,False,328000.0,€,True,True,flat,"Parque Mayor, Alcorcón",Piso en avenida del Alcalde José Aranda,Parque Mayor,,,,,
107573413,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/23/84/1317581876.webp,007300,23,12,239000.0,flat,sale,80.0,True,2,1,travesía de Felipe de Diego,Madrid,Madrid,Puente de Vallecas,es,40.3767515,-3.6603236,False,https://www.idealista.com/inmueble/107573413/,PISO AMPLIO DE DOS DORMITORIOS EN BUEN ESTADO EN PUENTE DE VALLECAS! POSIBILIDAD DE FINANCIACIÓN AL 100%! INFÓRMATE! Piso completamente exterior de dos dormitorios muy luminoso en Puente de Vallecas. Hall con armario empotrado. Salón muy luminoso con espectaculares vistas de Madrid. Dormitorio principal con un pequeño vestidor y armario empotrado vestido y forrado. Dormitorio secundario a patio de luces con armario empotrado vestido y forrado. Cocina para montar con terraza/lavadero a patio de luces. Ventilación cruzada. Baño reformado a falta de la mampara. Ventanas de aluminio. Suelos de tarima. Puertas de roble. Video portero. Barrio con todos los servicios. Cerca de la parada de cercanías El Pozo y Asamblea de Madrid-Entrevías.,False,good,False,True,2988.0,False,False,False,False,[],False,False,239000.0,€,,,flat,"Palomeras Bajas, Madrid",Piso en travesía de Felipe de Diego,Palomeras Bajas,,,,,
108375815,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/fc/12/1351966421.webp,,24,5,420000.0,flat,sale,90.0,True,2,1,calle del Golfo de Salónica,Madrid,Madrid,Hortaleza,es,40.4762017,-3.664645,False,https://www.idealista.com/inmueble/108375815/,"TTM Real Estate comercializa en venta este magnífico piso EXTERIOR muy LUMINOSO. Con una ubicación excelente, nos ofrece magnificas comunicaciones en transporte público y privado, además, cuenta con una amplia variedad de servicios y comercios cercanos, lo que hace que esta ubicación sea aún más atractiva. La vivienda está situada en la quinta planta de un edificio residencial de diez alturas (nueve plantas más baja) con 5 vecinos por planta. El estado de conservación de inmueble es bueno. Cuenta con una superficie construida de 90m² según catastro ( 78m² de vivienda + 12m² de zonas comunes). Completamente exterior excepto cuarto de baño Actualmente la distribución consta de: hall de entrada, salón comedor, dos habitaciones, un baño muy amplio y amplia cocina con zona de terraza/tendedero. En cuanto al edificio, construido en 1992, cuenta con dos ascensores, y entrada accesible al edificio con rampa. Gastos de comunidad: 61€/mes. IBI 2024: 443€ Calefacción y agua caliente individual por gas. Cuenta además con aire acondicionado en el salón e instalación de alarma No pierda la oportunidad de adquirir este piso con un gran potencial en un barrio muy céntrico y completamente consolidado de Madrid. ¡Contáctenos para más información o para concertar una visita!",False,good,False,True,4667.0,False,False,False,False,[],False,False,420000.0,€,,,flat,"Apóstol Santiago, Madrid",Piso en calle del Golfo de Salónica,Apóstol Santiago,,,,,
108554684,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/48/15/1348314595.webp,,18,1,995000.0,flat,sale,136.0,True,4,2,calle de Rodríguez San Pedro,Madrid,Madrid,Chamberí,es,40.4297937,-3.7089413,False,https://www.idealista.com/inmueble/108554684/,"ASGA REAL ESTATE, les presenta esta magnífica vivienda en la calle Rodriguez San Pedro, Chamberí. El inmueble tiene una superficie de 136 metros cuadrados catastrales y de 123 metros cuadrados escriturados. Consta de la siguiente distribución, hall, salón comedor, cuarto de estar, 4 dormitorios, baño y aseo. La vivienda necesita reforma. El edificio es del año 1957.  Posibilidad también de visitas los sábados y domingos por la mañana de 10.00 a 13.00 horas.",False,renew,False,True,7316.0,False,False,False,False,[],False,False,995000.0,€,,,flat,"Arapiles, Madrid",Piso en calle de Rodríguez San Pedro,Arapiles,,,,,
108734662,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/a0/39/1353586438.webp,CHP8,43,,394999.0,chalet,sale,278.0,,4,3,Laguna Park,Madrid,Parla,Laguna Park,es,40.2473574,-3.7752185,False,https://www.idealista.com/inmueble/108734662/,"CALOR DE HOGAR VENDE magnífico chalet en una de las mejores zonas de Parla, zona muy tranquila, rodeada de zonas verdes y comercios. La vivienda se distribuye en 4 Plantas: - Planta Sótano: Garaje para dos Coches con puerta automatica, Cuarto de Lavandería, y Trastero. -Planta Baja: Salón-Comedor bastante amplio con acceso al patio trasero que tiene Piscina de obra y Barbacoa, Cocina con office, Aseo. - Primera Planta: 4 Dormitorios con Armarios Empotrados, el principal con baño en suite con bañera, y 1 Baño Completo con plato de ducha. - Segunda Planta: Buhardilla Diáfana acondicionada con Ventanas de Velux y armario empotrado. Honorarios de intermediación no incluidos COMPRE CON CALOR DE HOGAR FINANCIACIÓN A SU MEDIDA.",False,good,False,,1421.0,False,False,False,False,[],False,False,394999.0,€,True,True,chalet,"Laguna Park, Parla",Chalet adosado,,399000.0,4001.0,1.0,terracedHouse,
108415764,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/b1/d2/1344245216.webp,,31,bj,161000.0,duplex,sale,42.0,False,2,1,PS PERALES,Madrid,Madrid,Latina,es,40.4055361,-3.7416315,False,https://www.idealista.com/inmueble/108415764/,"TENGOHOGAR le ofrece en exclusiva fantástica oportunidad en el muy cotizado barrio de Puerta del Ángel. Fantástica vivienda dúplex en planta baja, compuesta por habitación en planta inferior, salón amplio y luminoso con cocina abierta y baño. En la planta superior encontramos una habitación. Producto fantástico para acceder a tu primera vivienda o como muy rentable inversión en alquiler. ( Se puede acompañar información de su rendimiento en alquiler). Alquiler superior a los 1000 euros mensuales. Barrio totalmente consolidado con todos los servicios necesarios en las inmediaciones y fantásticas conexiones con el centro de Madrid.",False,good,False,False,3833.0,False,False,False,False,[],False,False,161000.0,€,,,flat,"Puerta del Ángel, Madrid",Dúplex en Ps Perales,Puerta del Ángel,,,,duplex,
108700119,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/8b/c8/1354377357.webp,IE02-BACAVA,19,5,360000.0,flat,sale,59.0,True,1,1,Barrio Palacio,Madrid,Madrid,Centro,es,40.412456,-3.7090021,False,https://www.idealista.com/inmueble/108700119/,"Inmobiliarias Encuentro presenta Exclusivo Piso completamente reformado a solo 200 metros de la Plaza Mayor y en pleno corazón de La Latina, una de las zonas más demandadas de Madrid tanto por residentes como por turistas.  Ubicada en una quinta planta de una finca con ascensor y fácil acceso, esta luminosa vivienda destaca por su altura, ventilación cruzada y vistas privilegiadas a la Colegiala de San Isidro a través de sus dos grandes ventanales, que llenan el espacio de luz natural. Con una superficie de 59 m², el inmueble ha sido reformado con gusto, y presenta un diseño de concepto abierto que ofrece la posibilidad de crear una habitación independiente sin sacrificar amplitud ni luminosidad.  La cocina americana, totalmente equipada, se integra con elegancia y funcionalidad en el espacio, lo que la convierte en una opción ideal tanto para vivienda habitual como para inversión. El baño completo dispone de bañera, y la vivienda cuenta con armarios empotrados que maximizan el almacenamiento. La finca cuenta con portero físico y una ubicación inmejorable. Vivir (o invertir) en Barrio La Latina es disfrutar de calles con historia, plazas llenas de vida, mercados tradicionales como El Rastro o la Cebada, y una oferta gastronómica y cultural vibrante.  Además, cuenta con excelente conexión en transporte público (Metro L5 La Latina), lo que garantiza alta demanda tanto para alquiler como para uso propio. No dudes en solicitarnos más información y reservar una hora de visita para poder verlo en primera persona. ¡Entra en iEncuentro. es y reserva este piso desde tu casa con iReserva en menos de un minuto para que nadie te lo quite! ¡Financiación a tu medida! Con FINMOO tendrás los mejores tipos de interés y hasta el 100% de financiación. ¡Consulta nuestras condiciones! En iEncuentro. es intentamos mejorar cada día, simplificando los trámites relacionados con la compra de tu nueva vivienda. Ya puedes reservar cualquiera de nuestros inmuebles a través de la web, de una manera rápida y sencilla, mediante un proceso totalmente seguro y transparente.",True,good,False,True,6102.0,False,False,False,False,[],False,False,360000.0,€,,,flat,"Palacio, Madrid",Piso,Palacio,,,,,
108248560,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/39/44/1338401779.webp,,27,,420000.0,chalet,sale,270.0,,3,1,calle de Peña Colmena,Madrid,Becerril de la Sierra,,es,40.7314046,-3.9797715,False,https://www.idealista.com/inmueble/108248560/,"precioso chalet independiente en zona tranquila bien comunicada, cuenta con todos los servicios VIVINEDA UNIFAMILIAR EN UNA PLANTA, se distribuye: amplio salón con chimenea abierta, cocina equipada con salida a jardín, tres habitaciones, aseo de cortesía y un baño completo cuenta además con amplio porche delantero, piscina independiente y amplio jardín. MEJOR VEN A VERLO PIDE TU CITA SIN COMPROMISO  calefacción de gasóleo con deposito de 1000 litros garaje independiente.",False,good,False,,1556.0,False,False,False,False,[],False,False,420000.0,€,True,True,chalet,Becerril de la Sierra,Casa independiente en calle de Peña Colmena,,,,,independantHouse,
107771505,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/c7/4d/1323331419.webp,,29,2,320000.0,duplex,sale,92.0,True,1,2,paseo de Europa,Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5541047,-3.6167879,False,https://www.idealista.com/inmueble/107771505/,"Altana Homes vende espectacular loft dúplex en San Sebastián de los Reyes. Situado en un moderno edificio con gimnasio y zonas de coworking, este exclusivo loft dúplex destaca por su diseño contemporáneo, vistas despejadas y gran luminosidad. Accedemos a la vivienda y encontramos un espacio diáfano, moderno y funcional, con una cocina completamente equipada y un baño completo en la planta baja. En la planta superior, se encuentra la zona de descanso con otro baño completamente equipado, garantizando comodidad y privacidad. El inmueble cuenta con climatización por bomba de frío y calor, lo que proporciona confort en todas las estaciones del año. Además, dispone de una amplia plaza de garaje incluida en el precio y servicio de portería de lunes a viernes, asegurando la tranquilidad de sus residentes. Se aplica un 6% de ITP en la compra. Ubicación estratégica San Sebastián de los Reyes es una localidad situada al norte de Madrid, destacada por su crecimiento constante y su consolidación como una de las zonas más atractivas para la inversión inmobiliaria en la Comunidad de Madrid. Su cercanía con la capital, a tan solo 20 kilómetros del centro, le otorga una gran ventaja en términos de accesibilidad, tanto por carretera como mediante transporte público. Además, la conexión directa a través de la A-1 y la presencia de la estación de tren Cercanías (línea C4) facilita la movilidad de los residentes. En cuanto al mercado inmobiliario, San Sebastián de los Reyes presenta una mezcla equilibrada de viviendas tanto nuevas como de segunda mano. El auge de desarrollos residenciales en los últimos años ha propiciado la construcción de modernos complejos de apartamentos, chalets y adosados en diversas zonas, siendo la demanda especialmente alta en áreas como la zona norte y las urbanizaciones periféricas. Esto ha permitido a la zona atraer a familias jóvenes, profesionales y también a inversores en busca de propiedades con alta rentabilidad. El precio del metro cuadrado es, en general, más asequible que en otras zonas cercanas de la capital, lo que ha convertido a San Sebastián de los Reyes en un destino ideal para quienes buscan un hogar amplio sin renunciar a la cercanía con Madrid. Además, la zona ha experimentado un importante auge en términos de infraestructuras y servicios, incluyendo centros comerciales, colegios, parques y centros de salud, lo que mejora aún más la calidad de vida y la valorización de las propiedades. En resumen, desde el punto de vista inmobiliario, San Sebastián de los Reyes es una zona con un excelente potencial de revalorización, destacando por su accesibilidad, calidad de vida, servicios y un mercado de viviendas en constante crecimiento.",False,good,False,True,3478.0,False,False,False,False,[],False,False,320000.0,€,True,True,flat,"Pol. Industrial sur, San Sebastián de los Reyes",Dúplex en paseo de Europa,,,,,duplex,
