propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,district,neighborhood,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108423818,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/d2/fa/1344464690.webp,O2060,8,1,230000.0,flat,sale,114.0,True,3,2,Griñón,Madrid,Griñón,es,40.2135113,-3.8508638,False,https://www.idealista.com/inmueble/108423818/,"GRIÑÓN INMOBILIARIA vende: oportunidad única! Piso de 3 dormitorios listo para entrar a vivir Se vende amplio y luminoso piso de 3 dormitorios, ideal para familias o como inversión. La vivienda cuenta con: 3 habitaciones exteriores  Salón-comedor espacioso con acceso a balcón Cocina independiente totalmente equipada 1 baño completo reformado y 1 aseo Calefacción y aire acondicionado Ubicado en una zona tranquila, bien comunicada y con todos los servicios a mano: colegios, supermercados, transporte público y zonas verdes. Se admite PERMUTA en la zona de Torremlinos  ¡No dejes pasar esta oportunidad! Contacta para más información o concertar una visita.",False,good,False,False,2018.0,False,False,False,False,[],False,False,230000.0,€,flat,Griñón,Piso,,,,,,,,,
107115044,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/54/91/1303422746.webp,,1,1,180000.0,flat,sale,60.0,False,2,2,calle de San Nicolás,Madrid,Valdemoro,es,40.1913432,-3.6783738,False,https://www.idealista.com/inmueble/107115044/,"VALDEMORO - INVERSIONISTAS  Vendo 8 pisos de reciente construcción de 1, y 2 dormitorios, 2 baños, áticos. Buenas calidades. Con plaza de garaje. Actualmente se encuentran todos alquilados, con inquilinos. Precios de venta a partir de 180.000€.",False,good,False,True,3000.0,False,False,False,False,[],False,False,180000.0,€,flat,"Centro, Valdemoro",Piso en calle de San Nicolás,Centro,,,,,,,,
106908036,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/ab/2d/1313755083.webp,C1-14728-0001,10,,214500.0,flat,sale,33.0,,1,1,plaza de Carlos Cambronero,Madrid,Madrid,es,40.4251003,-3.7043396,False,https://www.idealista.com/inmueble/106908036/,"Piso de 33 m² en venta situado en Madrid. Construido en 1900, este piso cuenta con una superficie de 33 m² y se distribuye en salón-comedor, cocina independiente, 1 dormitorio y 1 baño. La vivienda está bien comunicada, con autobuses con la línea 002, a menos de 15 minutos de la estación de tren Madrid-Puerta de Atocha y próxima a los accesos viarios M-500, M-30 y A-5. La zona dispone de equipamiento variado, restaurantes, teatro, supermercado, comercio pequeño, etc. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.",False,good,False,False,6500.0,False,False,False,False,[],False,False,214500.0,€,flat,"Malasaña-Universidad, Madrid",Piso en plaza de Carlos Cambronero,Centro,Malasaña-Universidad,,,,,,,
108777962,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2e/c8/66/1354843670.webp,,7,4,260000.0,flat,sale,54.0,True,1,1,calle de Embajadores,Madrid,Madrid,es,40.4086136,-3.7063208,False,https://www.idealista.com/inmueble/108777962/,"MJ PROPERTY Ofrece este estupendo piso, muy luminoso y en buen estado. Se encuentra en Calle Embajadores, en pleno distrito Centro de Madrid. Es la planta 4 y última, de un edificio construido en el año 1900. Tiene 43 mts² construidos, distibuidos en un salon comedor con mucha luz, con balcon a la calle. Cocina americana moderna con todos los electrodomésticos necesarios.  Dormitorio independiente y baño. El barrio está muy bien comunicado con varias estaciones de Metro (Antón Martín, Estación del Arte, Embajadores, Lavapiés y Tirso de Molina). Muy cerca de Cercanías Renfe (Embajadores y Atocha Renfe) y con paradas de varias líneas de autobuses de la EMT. *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría-Gestoría / Registro / intermediación inmobiliaria. Llame para concertar su cita y visítenos sin compromiso.",False,good,False,False,4815.0,False,False,False,False,[],False,False,260000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Embajadores,Centro,Lavapiés-Embajadores,,,,,,,
108110976,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/8f/d1/1334152855.webp,,13,6,3490000.0,penthouse,sale,210.0,True,3,3,Barrio Recoletos,Madrid,Madrid,es,40.4261454,-3.6848871,False,https://www.idealista.com/inmueble/108110976/,"RECOLETOS. - Ático reformado de 210 m² con unas vistas despejadas desde su amplia terraza. Al entrar, te recibe un acogedor hall que da paso a un salón-comedor espacioso. La cocina, de grandes dimensiones. El ático cuenta con tres dormitorios, dos de ellos en suite, garantizando privacidad y comodidad.  Además, dispone de un tercer cuarto de baño de servicio y un aseo de cortesía para mayor conveniencia. La zona de lavandería independiente y trastero en la finca. Con calefacción central de gas natural y aire acondicionado, la comodidad está asegurada durante todo el año. Ubicado en la sexta planta de un edificio con ascensor y portero, este ático ofrece la posibilidad de conseguir una plaza de garaje, en el mismo edificio. La fotos no corresponde con la vivienda.",False,good,False,True,16619.0,False,False,False,False,[],False,False,3490000.0,€,flat,"Recoletos, Madrid",Ático,Barrio de Salamanca,Recoletos,penthouse,,,,,,
108605417,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5d/f5/84/1349770429.webp,60733570,4,1,195000.0,flat,sale,83.0,True,3,1,plaza Aldehuela,Madrid,Fuenlabrada,es,40.2756919,-3.7974388,False,https://www.idealista.com/inmueble/108605417/,"piso en venta ubicado en la localidad de Fuenlabrada. Con una superficie total de 83 metros cuadrados, esta propiedad cuenta con tres habitaciones y un baño. Este inmueble es exterior, l. La finca dispone además de ascensor, brindando comodidad adicional a los residentes. Situado en una zona donde se encuentran todos los servicios esenciales cercanos—como supermercados, transporte público y centros educativos excelente ubicación dentro del mercado inmobiliario local.",False,good,False,True,2349.0,False,False,False,False,[],False,False,195000.0,€,flat,"El Arroyo - La Fuente, Fuenlabrada",Piso en plaza Aldehuela,El Arroyo - La Fuente,,,,,,,,
108513476,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ce/f5/28/1347138277.webp,TNTCL-0021,2,4,118000.0,flat,sale,66.0,False,2,1,Barrio Canillejas,Madrid,Madrid,es,40.4377287,-3.6090901,False,https://www.idealista.com/inmueble/108513476/,"INMUEBLE SIN POSESION Y SIN ACCESO AL INTERIOR. INMUEBLE SIN POSESION Y SIN ACCESO AL INTERIOR. Las fotografías y las características del activo, pueden no ajustarse al estado actual. Ideal para Invertir. NO COBRAMOS HONORARIOS AL COMPRADOR. Dado que el inmueble no puede ser visitado impide que puedan realizarse la tasación oficial, por lo que mientras perdure la situación, no podrá ser hipotecado. En consecuencia, se recomienda que el interesado se asesore con un profesional antes de adoptar la decisión de compra. No se puede realizar visita al interior de la propiedad, sin embargo representa una excelente oportunidad de inversión, piso ubicado en el barrio Canillejas, Madrid. No dejes pasar la oportunidad, para más información puedes contactarnos por teléfono, correo, mediante el portal inmobiliario y/o páginas web. Somos una empresa Inmobiliaria con posicionamiento en España y en el Mundo, estas cordialmente a conocer más de nosotros. Estamos en +84 países con +134.000 Agentes inmobiliarios. Es una propiedad de procedencia bancaria. Cualquier duda pueden consultar con nosotros, será un placer atenderles. El Propietario de la Vivienda Puede Realizar Ajustes de Precios sin previo aviso (pueden bajar o subir de acuerdo a condiciones del mercado). No dejes pasar la oportunidad, mañana puede ser tarde. ¡Te esperamos! Los datos indicados son de carácter informativo, sin valor contractual. Los impuestos no están incluidos...",False,renew,False,False,1788.0,False,False,False,False,[],False,False,118000.0,€,flat,"Canillejas, Madrid",Piso,San Blas,Canillejas,,,,,,,
103773186,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/0d/ba/1199680210.webp,,10,,210000.0,chalet,sale,87.0,,3,1,calle Navalcarnero,Madrid,Quijorna,es,40.4268375,-4.0592714,False,https://www.idealista.com/inmueble/103773186/,"**Se trata más bien de un terreno que contiene un pequeño chalet independiente que se puede rehabilitar, pero más enfocado para el derribo y creación de edificio en altura** Cuenta con terreno excepcional en Quijorna, con un total de 540 metros cuadrados de terreno y una superficie construida de 87 metros cuadrados. La propiedad se encuentra a pie de calle, con acceso urbano directo, y ofrece diversas posibilidades de desarrollo. Características Destacadas: •Superficie Total: Con 540 metros cuadrados de terreno, este espacio versátil brinda oportunidades para diferentes proyectos. •Construcción Actual: La propiedad cuenta con una superficie construida total de 87 metros cuadrados, distribuidos en 62 metros cuadrados para la vivienda, 7 metros cuadrados destinados a un almacén y 18 metros cuadrados para otros usos. •Acceso Urbano: Situado a pie de calle con acceso urbano, la propiedad se integra perfectamente en el entorno, facilitando la conexión con servicios esenciales y transporte público. •Potencial de Desarrollo: La vivienda, aunque requeriría reformas, presenta la opción de demolición para la construcción de pisos, ofreciendo una oportunidad única para un proyecto inmobiliario. •Cercanía a Servicios: Con líneas de autobús, escuelas y comercios en las cercanías, la ubicación añade comodidad y accesibilidad al potencial de la propiedad. Esta es tu oportunidad de invertir en un terreno con múltiples posibilidades en el prometedor mercado de Quijorna. ¡Contáctanos hoy mismo para explorar todas las opciones y dar el siguiente paso hacia tu proyecto inmobiliario! ¡Convierte este terreno en la próxima joya inmobiliaria de Quijorna!",False,renew,False,,2414.0,False,False,False,False,[],False,False,210000.0,€,chalet,Quijorna,Casa independiente en calle Navalcarnero,,,independantHouse,True,True,,,,
108422660,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/c9/63/1346141465.webp,NTRA.SRA.FATIMA,17,bj,205000.0,flat,sale,77.0,True,2,1,calle Salvador del Mundo,Madrid,Madrid,es,40.3805862,-3.7474896,False,https://www.idealista.com/inmueble/108422660/,"RJ ESTUDIO INMOBILIARIO Vende piso de 2 dormitorios (antes 3), cocina amueblada con electrodomésticos, baño completo exterior), salón amplio, calefacción, exterior, luminoso, ACTUZLIZARLO, se quedaría amueblado, al lado Ntra. sra. de Fátima, Centro de Salud, colegio, etc. Los honorarios de la Agencia no van incluidos en el precio.",False,renew,False,True,2662.0,False,False,False,False,[],False,False,205000.0,€,flat,"Vista Alegre, Madrid",Piso en calle Salvador del Mundo,Carabanchel,Vista Alegre,,,,,,,
107800231,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/1a/a9/1324132633.webp,,10,3,170000.0,flat,sale,55.0,True,2,1,calle Papelería,Madrid,Madrid,es,40.4237053,-3.6208883,False,https://www.idealista.com/inmueble/107800231/,"Piso exterior con 2 habitaciones y 1 baño por la zona de Simancas. Te ofrecemos este espectacular piso de 55 m² en céntrica zona de Simancas, una ubicación ideal para quienes buscan su primera vivienda. Características principales: Buena distribución: 2 habitaciones, ideales para tu familia o como espacio de trabajo. Todo exterior: luz natural en todas las estancias, creando un ambiente cálido y agradable. Buen estado: Listo para entrar a vivir. Entorno y servicios: Ubicado en una buena zona, perfectamente conectada. A un paso de todo tipo de servicios: supermercados, centro de salud, colegios y zonas de ocio. Bien comunicado: fácil acceso al transporte público y principales vías de conexión. Información adicional: Situado en una segunda planta sin ascensor. El edificio cuenta con la ITE favorable, garantizando el buen estado de la finca. Este piso es una excelente oportunidad para disfrutar de una vivienda luminosa, y en una buena ubicación. De acuerdo con el RD 515/1989, del 21 de Abril, se informa al cliente que los gastos notariales, registrales, I. T. P. o equivalente, gastos financieros y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda. ¡No lo dejes escapar! Contacta con nosotros para más información o concertar una visita.",False,good,False,False,3091.0,False,False,False,False,[],False,False,170000.0,€,flat,"Amposta, Madrid",Piso en calle Papelería,San Blas,Amposta,,,,,,,
