propertyCode,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108884285,0,3,580000.0,flat,sale,118.0,True,4,1,calle de las Peñuelas,Madrid,Madrid,Arganzuela,es,Acacias,40.4005068,-3.7024737,False,https://www.idealista.com/inmueble/108884285/,"Impecable, luminoso y con una distribución muy cómoda. Este piso en Calle de Peñuelas, a un paso del metro Delicias y del Paseo de las Delicias, es de esos que cuesta encontrar. Ubicado en una tercera planta con ascensor de una finca tranquila y bien conservada, esta vivienda ha sido reformada con gusto, equilibrando funcionalidad y estilo contemporáneo. Cuenta con 118 m² construidos, distribuidos en: Salón-comedor amplio, con dos ventanales a fachada principal y espacio para zona de comedor y estar diferenciadas Cocina independiente, con zona office y equipada con mobiliario actual Tres dormitorios (dos dobles y uno individual), todos con armario Baño completo con ducha y ventilación natural Armario empotrado en hall y pasillo Trastero en planta baja incluido en el precio. La orientación sur le aporta muy buena luz durante todo el día sin sobrecalentarse, y la planta alta lo aísla del ruido del entorno urbano. El edificio ha pasado ITE, cuenta con ascensor y comunidad consolidada. Situado a escasos minutos del metro Delicias (Línea 3), y rodeado de todos los servicios: supermercados, colegios, zonas verdes, centros de salud, ocio y restauración.",False,good,False,True,4915.0,False,False,False,False,[],False,False,580000.0,€,flat,"Acacias, Madrid",Piso en calle de las Peñuelas,,,,,,,
108847735,0,,200000.0,flat,sale,70.0,,1,1,calle del Galeón,Madrid,Madrid,Barajas,es,Alameda de Osuna,40.4595744,-3.5814795,False,https://www.idealista.com/inmueble/108847735/,"Apartamentos turísticos de 35 m² en la zona residencial de Alameda de Osuna, Madrid.Se trata de un conjunto de dos apartamentos de 35 m² distribuidos en salón-comedor, cocina, 1 dormitorio y 1 baño. Los apartamentos forman parte de un complejo que debe destinarse su explotación unitaria como Hotel.Se encuentra en el consolidado barrio de Alameda de Osuna, una de las zonas más tranquilas y verdes de Madrid, conocida por su ambiente familiar y su proximidad a espacios emblemáticos como el Parque de El Capricho, uno de los jardines históricos más bellos de la ciudad. El inmueble presenta una estructura funcional y luminosa, ideal tanto para residencia habitual como para inversión, gracias a su óptima distribución y aprovechamiento del espacio.La ubicación del piso ofrece excelentes comunicaciones, ya que se encuentra a pocos minutos de la estación de metro Alameda de Osuna (Línea 5), lo que permite un acceso rápido y directo al centro de Madrid. Además, cuenta con varias líneas de autobús urbano (101, 112, 114, 115, 151 y N4) que conectan con diferentes puntos de la ciudad y el aeropuerto Adolfo Suárez Madrid-Barajas, situado a menos de 10 minutos en coche. El acceso en vehículo privado es igualmente cómodo, gracias a la cercanía de la A-2 y la M-40, principales arterias de circunvalación y salida hacia otras zonas de Madrid y alrededores.En el entorno inmediato se pueden encontrar todo tipo de servicios: supermercados, restaurantes, farmacias, centros educativos (como el Colegio Alameda de Osuna y el CEIP Ciudad de Guadalajara), instalaciones deportivas municipales, oficinas bancarias y una variada oferta comercial. Destacan también la proximidad al Hospital Universitario Ramón y Cajal y al Hospital Universitario La Paz, así como al Centro de Salud Alameda de Osuna, lo que garantiza una atención sanitaria de calidad. Para el ocio y el tiempo libre, además del Parque de El Capricho, se encuentra cerca el Parque Juan Carlos I y el Club de Golf Olivar de la Hinojosa.Con nuestros servicios podrá encontrar el piso que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El comprador deberá asumir la situación física y posesoria del inmueble. No se podrá visitar el inmueble al no tener el propietario la posesión, con lo cual no podrá realizarse tasación (lo cual dificultará o impedirá la obtención de financiación hipotecaria) ni será posible la tramitación del certificado de eficiencia energética. El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,False,2857.0,False,False,False,False,[],False,False,200000.0,€,flat,"Alameda de Osuna, Madrid",Piso en calle del Galeón,C2-00473-0002,,,,,,
108638195,0,1,440000.0,flat,sale,71.0,True,2,1,calle de los Pajaritos,Madrid,Madrid,Retiro,es,Adelfas,40.4026934,-3.6701691,False,https://www.idealista.com/inmueble/108638195/,"Oportunidad única en el codiciado barrio de Pacífico  Presentamos este magnífico piso de 2 dormitorios, ideal para quienes buscan comodidad, luz natural y ubicación privilegiada. Ubicado en una finca con ascensor, esta vivienda se distingue por su luminosidad excepcional, gracias a sus grandes ventanales y excelente orientación. Cuenta con un baño completo, una distribución funcional y una reforma reciente que permite entrar a vivir con solo un pequeño retoque estético. Incluye plaza de parking de 10 m² en el precio — ¡un auténtico plus en la zona! Ya sea como vivienda habitual o inversión, este piso reúne todo lo que estás buscando: ubicación, potencial y practicidad. Pacífico: zona bien comunicada, con todos los servicios, zonas verdes y el encanto madrileño que enamora.",False,good,False,True,6197.0,False,False,False,False,[],False,False,440000.0,€,flat,"Adelfas, Madrid",Piso en calle de los Pajaritos,,True,True,,,,
107605732,0,,4200000.0,chalet,sale,446.0,,6,5,calle del Guadiana,Madrid,Madrid,Chamartín,es,El Viso,40.4465617,-3.6839608,False,https://www.idealista.com/inmueble/107605732/,"Vendo chalet dividido en 4 apartamentos independientes en El Viso. Los 4 apartamentos están alquilados en la actualidad. Tiene un apartamento en planta baja con 105 m2 útiles y jardín privado de 49 m2.  Tiene un salón comedor muy grande, un dormitorio, cocina y un cuarto de baño. El primer piso tiene 90 m2 útiles y un jardín privado de 40 m2. El segundo piso tiene 90 m2 útiles. La distribución de los 3 apartamentos es similar con un salón comedor muy grande, un dormitorio una cocina y un cuarto de baño. La tercera y la cuarta planta son un ático duplex con muy bonitas vistas. Tiene 135 m2 + 46 m2 de terraza. En la planta tercera, de acceso tiene un recibidor grande, tres dormitorios dos de ellos con balcones, dos cuartos de baño completos. Y en la planta cuarta tiene salón, cocina y una terraza muy bonita de 45 m2.",False,good,False,,9417.0,False,False,False,False,[],False,False,4200000.0,€,chalet,"El Viso, Madrid",Chalet adosado en calle del Guadiana,,True,True,terracedHouse,,,
107978315,0,6,6100000.0,penthouse,sale,355.0,True,4,5,calle de Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4262711,-3.6781706,False,https://www.idealista.com/inmueble/107978315/,"*** EN EXCLUSIVA CON VESTA ATELIER HOMES *** Ubicada en el corazón del distrito de Salamanca de Madrid, una de las calles más emblemáticas y solicitadas de la ciudad, esta extraordinaria propiedad redefine la vida de lujo moderna. Con una superficie de 355 m2 distribuidos en dos niveles, una refinada residencia principal de 180 m2 con una terraza de 15 m2 y una impresionante azotea de 160 m2, este ático ofrece un estilo de vida único en una de las ubicaciones más exclusivas de la capital. En el interior, la casa cuenta con cuatro dormitorios en suite, un baño para invitados, un área de lavandería exclusiva y una cocina de última generación totalmente equipada con electrodomésticos Gaggenau. La comodidad aumenta gracias a la calefacción por suelo radiante, el aire acondicionado con un sistema aerotérmico, la tecnología de hogar inteligente integrada y un sistema de seguridad de alta gama. Lo más destacado es la espectacular terraza de la azotea: un oasis privado de 160 m2 con una piscina climatizada de agua salada (8 x 4 x 1,6 m), un bar al aire libre totalmente equipado con nevera, fregadero y lavavajillas, una pérgola resistente al viento de gran durabilidad y espacios cuidadosamente diseñados para descansar y entretenerse. El espacio se ha mejorado con iluminación ambiental, un sistema de sonido y una conectividad Wi-Fi completa. La propiedad incluye dos plazas de aparcamiento privadas y se beneficia del servicio de portero en un edificio exclusivo con solo 12 vecinos que garantiza la privacidad, la seguridad y la tranquilidad en el corazón de Madrid Una oportunidad única de ser propietario de un ático donde el diseño, la tecnología y la vida al aire libre se combinan a la perfección en perfecta armonía. Póngase en contacto con nosotros si desea programar una visita y obtener más información sobre la propiedad y sus características. Póngase en contacto con nosotros si desea programar una visita y obtener más información sobre la propiedad y sus características.",False,good,False,True,17183.0,False,False,False,False,[],False,False,6100000.0,€,flat,"Goya, Madrid",Ático en calle de Goya,V-002501,True,True,penthouse,,,
106563588,0,,118000.0,flat,sale,85.0,,1,1,calle Fuente Alta,Madrid,Villalbilla,,es,,40.4301378,-3.2984037,False,https://www.idealista.com/inmueble/106563588/,"Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismoPiso de 1 dormitorio y de 1 baño en Villalbilla. Cuenta con una superficie de 85.2 m2. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,False,1388.0,False,False,False,False,[],False,False,118000.0,€,flat,Villalbilla,Piso en calle Fuente Alta,CS-02147-0001,,,,,,
97151467,0,2,4500000.0,flat,sale,402.0,True,5,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4182209,-3.6908797,False,https://www.idealista.com/inmueble/97151467/,"Algo Unico.  Por expreso deseo de la propiedad no se publicaran fotos de la vivienda. Espectacular vivienda de 402m2 construidos en inmejorable ubicación, finca y portal. Impresionantes vistas, 3,80m de altura de techos. Edificio construido en 1930 con todos los detalles y características de la arquitectura de la época, portal, escaleras, ascensor, alfombras, molduras, fachada, balcones, etc. y en perfecto estado de conservación y mantenimiento. La vivienda consta de la siguiente distribución: - Gran hall de entrada - Amplísimo salon con 4 estancias independientes y 4 balcones a la calle. - Comedor independiente. - 5 habitaciones, con 4 cuartos de baño (la principal con él incorporado y vestidor). - Cocina con office. - Despensa. - Cuarto de lavado y plancha. - Entrada de servicio. - Plaza de garaje en el PAR de Serrano.",False,good,False,True,11194.0,False,False,False,False,[],False,False,4500000.0,€,flat,"Recoletos, Madrid",Piso,,True,True,,,,
103009045,0,3,8000000.0,flat,sale,500.0,True,5,5,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,40.4207048,-3.6876025,False,https://www.idealista.com/inmueble/103009045/,"Vivienda duplex de 500m2 con unas increíbles vistas desde toda la vivienda al parque de l Retiro en inmejorable ubicación, finca y portal. Se encuentra en perfecto estado y su distribución consiste en planta superior con un hall de entrada amplísimo salón distribuido en 3 ambientes independientes, 1 cuarto de baño de invitados, amplísima cocina, 1 cuarto de lavado y plancha mas 1 habitaciones de servicio con cuarto de baño.  En planta inferior nos encontramos con la habitación principal con vestidor y cuarto de baño incorporado, 1 habitaciones de invitados con cuarto de baño incorporado, 2 habitaciones que comparten 1 cuarto de baño y y salon/cuarto de estar. Toda la vivienda es exterior con unas impresionantes vistas al Retiro. La vivienda es un duplex unido fisicamente pero son 2 fincas registrales independientes. La vivienda incluye 2 plazas de garaje y 2 trasteros. Por expreso deseo de la propiedad no podemos publicar fotografías del inmueble. Interesados por favor pónganse en contacto con nosotros.",False,good,False,True,16000.0,False,False,False,False,[],False,False,8000000.0,€,flat,"Jerónimos, Madrid",Piso,,True,True,,,,
103988347,0,bj,127260.0,flat,sale,81.0,True,3,1,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,,40.4746314,-3.3852833,False,https://www.idealista.com/inmueble/103988347/,"EXCLUSIVAS ALCALA les presenta vivienda en zona de Reyes Católicos. ALQUILADO El piso tiene ochenta y un metros cuadrados. Se distribuye en salón / comedor, cocina totalmente equipada con muebles altos y bajos, y tres dormitorios con armarios, un cuarto de baño completo con bañera.  Terraza desde el salón. Tiene calefacción y agua caliente por Gas Natural (Caldera Nueva). la vivienda se encuentra rodeada de zonas ajardinadas, parques infantiles y zonas deportivas. Muy buenas comunicaciones con el centro de Alcalá y con Madrid, a un minuto de estación de tren Garena y de la nacional. No deje pasar la OPORTUNIDAD que ofrece. Alquilado hasta octubre del 2026. Tiene seguro de impago con Mapfre. Sí estas interesado en conocer mas detalles de esta vivienda o concertar una visita, no dudes en contactar. Estaremos encantados de enseñarle el inmueble y/o resolver cualquier duda.  EXCLUSIVAS ALCALA, con una dilatada experiencia de más de 30 años, le acompañara en todo el proceso de la Compraventa. disponemos de departamento Jurídico y Financiero. Somos API (Agentes de la Propiedad Inmobiliaria). Este anuncio no es vinculante y puede contener errores. Se muestra a titulo informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",False,good,False,False,1571.0,False,False,False,False,[],False,False,127260.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,EX03932,,,,,,
108683214,0,,1880000.0,chalet,sale,300.0,,4,3,Barrio Mirasierra,Madrid,Madrid,Fuencarral,es,Mirasierra,40.4937917,-3.708921,False,https://www.idealista.com/inmueble/108683214/,"**Casa / Chalet Independiente en Venta en Mirasierra- Oportunidad Única** ¡Descubre el hogar de tus sueños en esta impresionante casa independiente de 300 m²! Con cuatro amplias habitaciones y cuatro baños, este chalet ofrece el espacio perfecto para una familia que busca comodidad y estilo. La parcela de 350 m², ideal para disfrutar del sol y los días de verano. Además, cuenta con una terraza y un balcón donde podrás relajarte al aire libre y disfrutar de las vistas. Aunque la vivienda requiere reformas, su gran potencial te permitirá personalizar cada rincón a tu gusto. Imagina las posibilidades de ampliar la casa en altura y crear un espacio aún más amplio y luminoso. Los armarios empotrados ofrecen una solución práctica para el almacenamiento, manteniendo todo en orden. Ubicado en una zona tranquila y residencial, tendrás a tu alcance todos los servicios necesarios para tu día a día. No dejes pasar esta oportunidad de adquirir un chalet con tanto potencial. ¡Ven a visitarlo y comienza a imaginar tu nuevo hogar!",False,renew,False,,6267.0,False,False,False,False,[],False,False,1880000.0,€,chalet,"Mirasierra, Madrid",Casa independiente,,,,independantHouse,1900000.0,20000.0,1.0
