propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,highlight.groupDescription,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108791477,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/62/12/1355231886.webp,29,bj,174000.0,flat,sale,55.0,False,2,1,calle de Polvoranca,Madrid,Madrid,Carabanchel,es,Buena Vista,40.371553,-3.7549278,False,https://www.idealista.com/inmueble/108791477/,"Agencia inmobiliaria de MADRID - zona CARABANCHEL ALTO te presenta este acogedor piso de 55 m² en la calle Polvoranca, ideal para quienes buscan comodidad, amplitud y un toque especial al aire libre. Ubicado a solo 5 minutos del metro Carabanchel Alto, en una zona con excelente comunicación y todos los servicios a tu alcance. Distribución perfecta: •2 dormitorios amplios y luminosos •Salón espacioso, ideal para disfrutar de momentos en familia •Cocina equipada con mucho espacio de almacenaje •Baño reformado con plato de ducha y detalles en gresite La joya de este piso: Un patio en uso y disfrute de 20 m² donde podrás crear tu rincón de relax, montar una zona chill-out o incluso tener un pequeño huerto urbano. Ubicación inmejorable: •A pasos del metro y varias líneas de autobús •Supermercados cercanos: Mercadona, Lidl, Aldi, Día, Ahorramás •Rodeado de bares, restaurantes y comercios •A solo 15 minutos de centros comerciales Islazul y Sambil Outlet •Cerca de escuelas, parques y zonas verdes como Camino de las Cruces y Parque San Pinar Ideal para parejas, familias o como inversión con gran rentabilidad. ¡Ven a visitarlo y enamórate de cada rincón!",False,good,False,False,3164.0,False,False,False,False,[],False,False,174000.0,€,flat,"Buena Vista, Madrid",Piso en calle de Polvoranca,,,,,,,,,,
108799550,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/b3/0a/1355493096.webp,25,4,496375.0,flat,sale,138.0,False,3,3,calle de Félix Rodríguez de la Fuente s/n,Madrid,Madrid,Moratalaz,es,Media Legua,40.4173142,-3.6566766,True,https://www.idealista.com/inmueble/108799550/,"Elegante piso de 138 m² interior en Calle Félix Rodríguez de la Fuente – Madrid Situado en un 4. º interior con ascensor, este piso recién reformado ofrece un diseño exclusivo con máximas calidades y una distribución ideal para el día a día: Amplio salón muy luminoso con zona de comedor integrada Cocina americana con isla, funcional y sofisticada 3 habitaciones espaciosas, pensadas para descanso y privacidad 3 baños, uno en suite, otro completo y un aseo de cortesía Aire acondicionado para un clima perfecto en cualquier estación Reforma a estrenar, acabados premium: suelo de tarima, carpintería lacada, iluminación LED Una vivienda que combina luz, elegancia y confort, sin necesidad de reforma y lista para disfrutarla. Entorno y servicios – Calle Félix Rodríguez de la Fuente Ubicado en Ciudad Lineal (colindante con Prosperidad y Ventas), el barrio ofrece una combinación de tranquilidad y excelentes conexiones: Transporte público cercano Parada de autobús “Félix Rodríguez de la Fuente” a menos de 1 min: líneas 15, 28, 10…  Metro: estación O’Donnell (línea 6) a unos 4 min andando; La Elipa (línea 2) a unos 8 min  Cercanías: líneas C2/C5/C7 a corta distancia, ideal para desplazamientos rápidos por la ciudad Zonas verdes y equipamiento Parque Félix Rodríguez de la Fuente, a apenas 300 m: zona con parques infantiles y circuito biosaludable  Comercios y servicios Supermercados, farmacias, colegios y centros médicos distribuidos en un radio de 5–7 min andando Restaurantes, cafeterías y tiendas locales que ofrecen vida de barrio con personalidad propia Razones para elegir este piso Reforma integral con acabados de lujo, sin necesidad de obras Distribución amplia: salón-comedor, cocina con isla (+3 dormitorios y 3 baños) Climatización por aire acondicionado Excelente conexión por metro, bus y cercanías Entorno con zonas verdes, equipamientos y vida de barrio.",True,good,False,True,3597.0,False,False,False,False,[],False,False,496375.0,€,flat,"Media Legua, Madrid",Piso en calle de Félix Rodríguez de la Fuente s/n,,,,,,,,,,
108342356,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/7a/04/1341275537.webp,18,4,214900.0,flat,sale,58.0,True,2,1,Barrio Batallas,Madrid,Leganés,Centro,es,Batallas,40.3326096,-3.7636021,False,https://www.idealista.com/inmueble/108342356/,"Inmobiliarias Encuentro vende en exclusiva magnífico piso exterior REFORMADO en la zona de las batallas en Leganés. El inmueble de 55 m2, cuenta con espacioso hall, amplio salón comedor, cocina independiente amueblada y equipada, dos dormitorios cada uno con ventanas que aportan una excepcional luminosidad y un cuarto de baño. Las calidades de la vivienda son inmejorables. Cuenta con suelos de parquet, amplias ventanas (climalit), y puerta blindada. Dispone de aire acondicionado por conductos, calefacción centralizada individual, o gas con contadores.  La finca en la que se encuentra está en perfecto estado de conservación. Su ubicación es inmejorable. Amplia oferta comercial, ocio, gastronomía, y servicios. Dispone de todo lo necesario para el día a día al alcance de la mano. Se encuentra perfectamente conectada con las principales redes de transporte público, permitiendo una comunicación perfecta y accesible.  Si necesita vender su inmueble para adquirir este u otro inmueble publicado, contacte con nosotros, disponemos de servicio: // “CAMBIA Y DESCANSA” //. La solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble.  ¡Financiación a tu medida! Con finmoo tendrás los mejores tipos de  interés y hasta el 100% de financiación. ¡Consulta nuestras condiciones!",True,good,False,True,3705.0,True,False,False,False,[],False,False,214900.0,€,flat,"Batallas, Leganés",Piso,IE11-LVC,,,,,,,,,
108619438,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/d0/55/1350139457.webp,21,bj,975000.0,flat,sale,150.0,True,5,2,calle de Agustín de Foxá,Madrid,Madrid,Chamartín,es,Castilla,40.4752208,-3.6844885,False,https://www.idealista.com/inmueble/108619438/,"Lavama Urban presenta esta fantástica vivienda ubicada en pleno distrito de Chamartín, rodeado de todos los servicios y con excelente comunicación. Este piso cuenta con una superficie de 150 m², destaca por su amplitud y distribución  Consta de: Múltiples posibilidades de inversión ya que cuenta con 2 entradas 5 habitaciones, ideales para familias grandes, teletrabajo o incluso destinar una a despacho o vestidor. 2 baños funcionales. 2 salones comedor amplio y luminoso, con acceso a una agradable sala de estar Cocina independiente, con espacio de almacenamiento y comunicada a la terraza. El edificio cuenta con ascensor y zonas comunes bien cuidadas. Además, la ubicación es inmejorable: a un paso del Paseo de la Habana, con acceso inmediato a transporte público, colegios, supermercados, restaurantes y zonas verdes. Una oportunidad única para vivir o invertir en una de las zonas residenciales más tranquilas y exclusivas de Madrid.",False,good,False,True,6500.0,True,True,False,False,[],False,False,975000.0,€,flat,"Castilla, Madrid",Piso en calle de Agustín de Foxá,,,,,,,,,,
108789472,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/92/cd/1355172972.webp,21,1,380000.0,flat,sale,88.0,True,3,2,El Bercial,Madrid,Getafe,El Bercial,es,,40.3190161,-3.74037,False,https://www.idealista.com/inmueble/108789472/,"Agencia inmobiliaria Tecnocasa de Getafe - zona El Bercial - vende piso en urbanización cerrada de 2006 con PLAZA DE GARAJE y TRASTERO. La vivienda se distribuye en salón independiente de 19m2, cocina amplia equipada con acceso a tendedero anexo cerrado, 3 dormitorios y 2 cuartos de baño, uno de ellos ubicado en suite principal. Armarios empotrados en todos los dormitorios, suelos en tarima, ventanas dobles, pintura en liso, calefacción mediante radiadores con gas natural y aire acondicionado por conductos con bomba de frío y calor. Además, a todas las paredes de la vivienda que dan hacia el exterior se les ha mejorado el revestimiento aplicando lana de roca (8-10cm), lo que ha resultado en un mejor aislamiento traducido en un ahorro en gastos de calefacción muy importante. En la zona encontrarás todo tipo de servicios, colegios e institutos, transporte público (línea 12 de MetroSur, línea C-4 de Cercanías Renfe y líneas de autobús 446, L3 A y B y 488), centro médico y Hospital Universitario de Getafe, zonas comerciales, fácil acceso a carreteras A-42 y M-45.",False,good,False,True,4318.0,True,False,False,False,[],False,False,380000.0,€,flat,"El Bercial, Getafe",Piso,BERCIAL-103,True,True,,,,,,,
108764227,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/a1/cb/1354454962.webp,14,bj,365000.0,flat,sale,40.0,False,2,1,calle de Buenavista s/n,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4099047,-3.6992117,True,https://www.idealista.com/inmueble/108764227/,"¡Descubre la oportunidad perfecta de inversión en el corazón de Madrid!  Este impresionante piso de 40 m², diseñado por la reconocida arquitecta Gemma de GEKA, ofrece un estilo de vida moderno y cómodo. Ubicado estratégicamente entre los vibrantes barrios de Anton Martin y Lavapiés, este inmueble se encuentra a pocos minutos a pie de Atocha, lo que lo convierte en un lugar ideal para alquileres de corta estancia. Con una renta aproximada de 2200 €, la alta rentabilidad está demostrada por otros inmuebles que manejamos en la zona. El piso cuenta con dos acogedoras habitaciones: una doble y una individual, además de un sofá cama que permite alojar hasta cinco personas.  La cocina moderna está integrada con el salón y comedor, creando un espacio optimizado para el confort y la convivencia. Además, dispone de armarios empotrados y un baño completo, todo en excelente estado y apto para personas con movilidad reducida. La gestión del inmueble está delegada en manos de expertos, asegurando una logística completa para inquilinos y mantenimiento.  Con calefacción eléctrica y aire acondicionado, cada rincón está pensado para brindar un ambiente agradable durante todo el año.  No dejes pasar esta oportunidad única de adquirir un piso que combina confort, diseño y rentabilidad en una ubicación inmejorable. ¡Contáctanos para obtener el análisis de inversión y conocer nuestros proyectos of market!",False,good,False,True,9125.0,True,False,False,False,[],False,False,365000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Buenavista s/n,,,,,,,,,,
108577897,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/96/4e/1356239079.webp,33,3,1695000.0,flat,sale,169.0,True,5,3,calle de Jorge Juan,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4248992,-3.6703629,False,https://www.idealista.com/inmueble/108577897/,"Presentamos una oportunidad única en el corazón del codiciado barrio de Goya, dentro del prestigioso distrito de Salamanca, en la Calle Jorge Juan. Un piso familiar amplio y muy luminoso, con un enorme potencial de reforma, ideal tanto como residencia definitiva como inversión patrimonial de alta demanda. Características destacadas: •169 m² construidos / 160 m² escriturados, con excelente distribución actual. •5 dormitorios (incluyendo zona de servicio independiente con acceso propio). •3 baños completos. •Salón principal con acceso directo a terraza acristalada de 8 m² orientada al sur, garantizando luz natural durante todo el día. •Altura de techos de 3 metros, que aporta elegancia, amplitud y grandes posibilidades de redistribución. •Plaza de garaje de coche grande de 31m2 construidos en el mismo edificio, una auténtica ventaja en la zona. •Trastero privado de 7 m², ideal como espacio de almacenaje adicional. •Edificio con portero físico residente, lo que aporta tranquilidad y seguridad. •Acceso adaptado para personas con movilidad reducida. •4 grandes ventanas exteriores + 8 interiores, ofreciendo múltiples posibilidades de reforma y aprovechamiento de la luz. Entorno privilegiado: Ubicación inmejorable en una de las zonas más valoradas de Madrid: •A escasos minutos caminando del emblemático Parque del Retiro y del tranquilo Parque de Fuente del Berro. •Rodeado de una amplia oferta de supermercados, colegios, farmacias y todos los servicios esenciales. •Muy próximo al Corte Inglés de Goya, así como a prestigiosas tiendas, boutiques, restaurantes y cafeterías de alto nivel. •Excelente conexión con transporte público: varias líneas de metro (Goya, O’Donnell, Manuel Becerra) y múltiples líneas de autobús. Una propiedad singular en el distrito más exclusivo de Madrid, que combina: •Un gran potencial de revalorización tras reforma; •Un diseño adaptable a diferentes necesidades familiares o de inversión; •Una ubicación consolidada con gran demanda y alta liquidez inmobiliaria. Ideal para quien busca crear una vivienda a medida en el corazón de Salamanca o para quienes desean invertir en un activo sólido, seguro y con alta proyección de rentabilidad. [IW].",False,renew,False,True,10030.0,True,False,False,False,[],False,False,1695000.0,€,flat,"Goya, Madrid",Piso en calle de Jorge Juan,JJ 005,True,True,,,,,,,
107829776,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/2e/03/1344671649.webp,40,,1590000.0,chalet,sale,555.0,,6,4,Barrio Puerta Bonita,Madrid,Madrid,Carabanchel,es,Puerta Bonita,40.3779202,-3.7441169,False,https://www.idealista.com/inmueble/107829776/,"Un hogar con historia: Chalet en la exclusiva Colonia de la Prensa, (Madrid). Hoy, en este enclave lleno de encanto, te presentamos una propiedad tan única como el lugar que la rodea. Colonia de la Prensa donde la historia de Madrid se mezcla con la vida cotidiana, un rincón modernista fundado por periodistas hace más de un siglo, donde cada chalet fue pensado como un refugio de luz, silencio y estilo.  Vivir donde el aire respira historia. Esta vivienda no solo es hermosa por dentro, sino que está enclavada en una de las zonas con más carácter de Madrid y junto a ella, calles que aún conservan el trazado de los primeros urbanistas románticos. Rodríguez Lázaro es una calle tranquila, arbolada, donde se escucha el canto de los pájaros y se siente la seguridad de una comunidad que valora su historia. Aquí, vivir significa formar parte de una herencia cultural, disfrutar de la cercanía de colegios, parques, centros culturales y todo tipo de servicios, con excelente comunicación al centro de la ciudad.  Para quien busca algo más que una casa Este chalet no es solo una propiedad, es una experiencia de vida.  Una pieza única dentro del catálogo inmobiliario madrileño que une lujo, historia y calidad de vida. El chalet: elegancia, espacio y calidez Ubicada en una amplia parcela de 555 m² y con una construcción de 455 m² distribuidos en tres plantas, esta vivienda independiente ha sido reformada con materiales de alta gama sin perder su esencia original. 6 habitaciones amplias y luminosas 5 baños cuidadosamente diseñados Impresionante salón de 70 m² con chimenea, dividido en dos ambientes, con salida directa al porche y jardín Cocina moderna con office, equipada con electrodomésticos de alta calidad Suite principal con baño de hidromasaje, ducha y armarios empotrados a medida Semisótano convertido en taberna privada, ideal para celebraciones 4 plazas de garaje y trastero Solárium, pinturas lacadas, paredes estucadas, techos altos y mucha luz natural Cada rincón de esta casa ha sido pensado para el confort: desde su aislamiento térmico y acústico gracias a las ventanas y anchos muros, hasta la calefacción por gasoil y el aire acondicionado que garantizan un clima ideal durante todo el año. ¿Estás listo para vivir en una casa que habla de ti antes de que digas una palabra? DESCUBRE LA ELEGANCIA Y LA COMODIDAD EN ESTE IMPECABLE CHALET INDEPENDIENTE REFORMADO EN MADRID Alquilar o Comprar ¿Quieres saber más?  ¡Contacta ahora y ven a descubrir tu nuevo hogar. Tu historia comienza aquí, en Rodríguez Lázaro. Soy, Margarita García Madrid, ayudo a personas a vender, comprar o alquilar sus propiedades, con un enfoque humano y personalizado.",True,good,False,,2865.0,True,False,False,False,[],False,False,1590000.0,€,chalet,"Puerta Bonita, Madrid",Chalet,572877,True,True,,,,,,,
108848910,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/f9/47/1356904639.webp,73,3,1014000.0,flat,sale,140.0,True,4,2,avenida de Valladolid,Madrid,Madrid,Moncloa,es,Casa de Campo,40.4304062,-3.7316037,False,https://www.idealista.com/inmueble/108848910/,"** VIVIENDA A LA VENTA URBANIZACIÓN ENTREBOSQUES**  Vivienda en la Avenida de Valladolid. Urbanización Entrebosques. Urbanización cerrada. La vivienda disfrutar de tranquilidad y naturaleza sin salir de casa.  Además, la vivienda forma parte de una exclusiva comunidad con vigilancia privada, garantizando seguridad y privacidad para ti y tu familia. Incluye una plaza de garaje para residentes, situada en el aparcamiento dentro de la urbanización cerrada, lo que facilita el día a día sin preocuparte por el aparcamiento.  Construido en 1980. Edificio con ascensor.  Tiene una superficie de 157 m2 construidos con elementos comunes.  La vivienda cuenta con una terraza abierta con acceso desde el salón, dando al interior de la urbanización y una terraza cerrada con acceso desde uno de los dormitorios.  Cuatro dormitorios, 2 baños, salón con acceso a terraza de 8 metros aproximadamente, cocina con tendedero. Suelo de parquet, ventanas de aluminio, calefacción central y agua caliente incluido en la cuota de comunidad.  Aire acondicionado en el salón-comedor. Vivienda totalmente exterior y con vistas al rio MANZANARES.  La joya de la propiedad es su piscina privada, ideal para relajarse y disfrutar del buen clima madrileño en cualquier momento del año. Ubicada en un entorno privilegiado, cerca de servicios, colegios y excelentes comunicaciones, esta vivienda ofrece una calidad de vida inigualable en pleno corazón de Madrid. Además, tendrás salida directa a las principales vías de comunicación como la A-6 y M-30, facilitando tus desplazamientos.",False,renew,False,True,7243.0,False,False,False,False,[],False,False,1014000.0,€,flat,"Casa de Campo, Madrid",Piso en avenida de Valladolid,PValladolid,True,True,Destacado,,,,,,
100503853,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/84/56/1353422182.webp,50,1,425000.0,flat,sale,109.0,True,3,2,calle Marques de Alonso Martínez,Madrid,Alcalá de Henares,Juan de Austria,es,,40.4846185,-3.3570335,False,https://www.idealista.com/inmueble/100503853/,"Precioso Piso RECIEN REFORMADO a la venta en Alcalá de Henares, muy próximo al centro. La ubicación es inmejorable disponiendo de todo tipo de negocios a su alrededor, supermercados, la facultad de derecho de Universidad de Alcalá, etc. Además cuenta con acceso a transporte publico a pasos de la vivienda. La vivienda dispone de una reforma integral que se ha realizado recientemente haciendo que tenga unos acabados realmente a considerar a la hora de comprar de la vivienda o compararla con otras de la zona. Cuenta con salón comedor amplio con iluminación led en techos, 3 dormitorios con armarios empotrados (el principal dispone de amplios armarios y un baño completo de diseño moderno), 2 baños de diseño moderno y con acabados de alta calidad, cocina amplia con acceso a terraza, plaza de garaje y trastero.  Zonas comunitarias con piscinas. No pierdas la oportunidad de vivir en una excelente zona para vivir en familia.  Visítelo sin compromiso con su asesor comercial Francisco  Podemos conseguir hasta el 100% de financiación con nuestros Asesores Financieros.  En los precios de venta no están incluidos impuestos legales, ni gastos de escrituración.",True,good,False,True,3899.0,False,False,False,False,[],False,False,425000.0,€,flat,"Juan de Austria, Alcalá de Henares",Piso en calle Marques de Alonso Martínez,8900299,True,True,,,,,,,
