propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,externalReference
108821257,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/63/70/1356118784.webp,8,7,970000.0,penthouse,sale,108.0,True,3,2,calle de Clara del Rey,Madrid,Madrid,Chamartín,es,Prosperidad,40.4419159,-3.6699807,False,https://www.idealista.com/inmueble/108821257/,"¡Descubre el lujo y la comodidad en este precioso ático en esquina, situado en la codiciada calle Clara del Rey! Este impresionante piso de 108 m² ha sido recientemente reformado y ofrece un diseño contemporáneo que combina estilo y funcionalidad. Con tres amplios dormitorios, uno de ellos con baño en suite, cada rincón de este hogar está pensado para maximizar el confort. Todos los dormitorios cuentan con armarios empotrados, brindando un espacio de almacenamiento óptimo. La cocina abierta al salón es perfecta para disfrutar de momentos en familia o con amigos, equipada con electrodomésticos Bosch y mobiliario de Porcelanosa. La zona de salón y comedor, ideal para seis personas, se complementa con una encantadora terraza de 6 m², donde podrás relajarte con vistas despejadas sobre un parque ajardinado. Además, la terraza cerrada con cortinas de vidrio permite disfrutar del aire libre en cualquier época del año. Este ático se encuentra en una ubicación privilegiada, justo al lado del Parque de los Jardines de Medardo Fraile y el Parque del Banco, ofreciendo un entorno tranquilo y residencial. Dispone de excelentes comunicaciones en coche con fácil salida a la A2 y la M30. Muy cercanas las paradas de Cartagena y Alfonso XIII y varias líneas de autobuses.  Con acabados de primera calidad, aire acondicionado en todas las estancias y calefacción central, este hogar es perfecto para quienes buscan confort y estilo. No pierdas la oportunidad de vivir en este oasis urbano, donde cada detalle ha sido cuidado para ofrecerte la mejor experiencia de vida. ¡Ven a visitarlo!",False,good,False,True,8981.0,False,False,False,False,[],False,False,970000.0,€,flat,penthouse,"Prosperidad, Madrid",Ático en calle de Clara del Rey,,,
108342251,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/00/c8/1342971820.webp,37,2,410000.0,flat,sale,145.0,True,3,2,Fuente Santa,Madrid,Colmenar Viejo,Fuente Santa,es,,40.6679774,-3.7787593,False,https://www.idealista.com/inmueble/108342251/,"TECNOCASA ESTUDIO COLMENAR NORTE SL Agencia inmobiliaria de COLMENAR VIEJO - ZONA NORTE vende en exclusiva PISO en URBANIZACIÓN FUENTE SANTA. Piso de 3 dormitorios, 2 cuartos de baño, salón con acceso directo a terraza, amplia cocina con tendedero cubierto. Suelo de parquet, carpintería interior de roble, carpintería exterior de aluminio climalit oscilobatiente. Con plaza de garaje y trastero.  Urbanización con piscina comunitaria, infantil y de adultos. Pistas de tenis, parque infantil, pista de fútbol, pista de baloncesto, zona ajardinada, sala multiusos, conserje, vigilancia por cctv.  Ubicado cerca de todos los servicios: parada de autobús, farmacias, comercio, bancos, etc.  Contamos con departamento FINANCIERO con posibilidad de HIPOTECAS hasta el 100%. CONSULTE SIN COMPROMISO. Si necesitas vender un inmueble, ponemos a su disposición la VALORACION GRATUITA del inmueble en la que le explicaremos todas las fases de la 'compra y venta' para su mayor tranquilidad y seguridad a la hora de llevar a cabo el cambio de vivienda. Contamos con 2 oficinas en Colmenar Viejo, 350 en la Comunidad de Madrid y más de 870 oficinas en el territorio nacional.",False,good,False,True,2828.0,False,False,False,False,[],False,False,410000.0,€,flat,,"Fuente Santa, Colmenar Viejo",Piso,True,True,
108638890,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/2e/77/c0/1350706564.webp,45,3,319000.0,duplex,sale,111.0,True,3,3,Velilla de San Antonio,Madrid,Velilla de San Antonio,,es,,40.3788601,-3.4796827,False,https://www.idealista.com/inmueble/108638890/,"Azzure les ofrece esta exclusiva y oportunidad única en el municipio: espectacular duplex nuevo, situado en estupenda urbanización con piscina infantil y de adultos, padel, pista polivalente y zonas ajardinadas, portero fisico, vivienda de 111m distribuidos en hall recibidor, amplio salón comedor de 28m con la cocina integrada y salida a una amplia terraza con inmejorables vistas, escalera de acceso a la planta superior, distribuidor, 3 dormitorios amplios con armarios empotrados, cocina totalmente amueblada, dos baños completos, uno en el dormitorio principal, aseo en la planta principal su memoria de calidades: puerta de entrada blindada, puertas de madera lacadas en blanco, ventanas de pvc oscilobatientes, suelos de tarima en toda la vivienda, paredes y techos en liso, cocina amueblada con muebles altos y bajos, baños completos, el del dormitorio principal con plato de ducha con mampara, calefacción individual y aire acondicionado por aerotermia. La vivienda se vende con un trastero de 3m y plaza de garaje situados en la planta sótano del edificio y con acceso directo por el ascensor. Inmejorable situación en la zona nueva del pueblo y a un paso de todos los comercios y servicios del pueblo, parques y colegios. No busque mas. Hoy como siempre las mejores ofertas con el mejor servico las encontrará en azzure, simplemente compruebelo y sin cobrarle ni un 3 ni 4% al comprador como es practica habitual en el resto de empresas del sector. Azzure 27 años en velilla haciendo realidad el sueño de nuestros vecinos. ¿quiere cumplir el suyo? llamenos.",False,good,False,True,2874.0,False,False,False,False,[],False,False,319000.0,€,flat,duplex,Velilla de San Antonio,Dúplex,True,True,VE-1394
105377730,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/5c/05/1353626320.webp,10,3,123000.0,flat,sale,56.0,True,2,1,calle de Benimamet,Madrid,Madrid,Villaverde,es,San Cristóbal,40.3449622,-3.6870035,False,https://www.idealista.com/inmueble/105377730/,"SOLO INVERSORES - INMUEBLE ALQUILADO Rentabilidad: 4,82 % Inicio del contrato: 01/02/2021  Fin del contrato: 31/01/2028 Renta: 494,08 € Propiedad con inquilinos construida en el 1960 en Madrid, Madrid. Es un piso en la tercera planta que cuenta con 48,69m2 útiles, Consta de estar-comedor, 2 dormitorios, cocina y aseo. Inviertis es la web de inversión inmobiliaria nº1 en España. En inviertispro. com puedes ver y comparar inmuebles en rentabilidad en todo el país. Todos los activos publicados son en EXCLUSIVA y están alquilados y al día de pago. Si entras en la web tendrás acceso al contrato de alquiler vigente, renta mensual, rentabilidad y un completo análisis financiero del comportamiento de ese inmueble a lo largo del tiempo. Se trata de inmuebles procedentes de propietarios y grandes fondos que no encontrarás en ningún otro sitio porque Inviertis solo trabaja con: Inmuebles en exclusiva Pisos y casas con contrato de alquiler vigente Inquilinos al día de pago Rentabilidades por encima del 5% En Inviertis nos encargamos de todo, para que el inversor solo tenga que comprar y rentar. Así de fácil.",False,good,False,False,2196.0,False,False,False,False,[],False,False,123000.0,€,flat,,"San Cristóbal, Madrid",Piso en calle de Benimamet,,,RS2003
107765632,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/31/d8/1323149276.webp,60,5,380000.0,flat,sale,95.0,True,3,2,Barrio Los Rosales,Madrid,Madrid,Villaverde,es,Los Rosales,40.3576293,-3.6828658,False,https://www.idealista.com/inmueble/107765632/,"Yourhabitat Vende! Descubre tu nuevo hogar en Los Rosales, Villaverde! Una oportunidad única para vivir en una urbanización privada de primer nivel, donde la comodidad y la seguridad son prioridad. Cuenta con conserje 24 horas, videovigilancia, piscina, parque infantil, amplias zonas verdes y una sala de reuniones comunitaria. Todo lo que necesitas para vivir cómodo y con calidad de vida. Ubicado en la 5ª planta, lo que proporciona una excelente luminosidad gracias a su doble ventilación. Este Magnífico hogar destaca por sus vistas despejadas y su ambiente luminoso que te sorprenderá desde el primer momento. Al entrar, te recibe un amplio hall que da paso a un salón cuadrado de 20 m² con vistas directas a la urbanización creando un ambiente tranquilo y agradable, ideal para relajarte o disfrutar en familia. La cocina, espaciosa y llena de luz, cuenta con un gran ventanal que se abre hacia el oeste, permitiéndote disfrutar de atardeceres espectaculares cada día. El salón, por su parte, mira hacia el este, llenando el hogar de luz por la mañana. Con 3 dormitorios amplios y con armarios empotrados, este piso es perfecto para familias. El dormitorio principal es una auténtica suite con baño en su interior, mientras que los otros dos comparten un baño adicional, cómodo y práctico para todos. Los acabados de la vivienda son de primera calidad: puertas de roble, suelos de parqué en las estancias, y gres en baños y cocina. Además, la puerta de entrada es blindada, proporcionando una mayor seguridad para tu tranquilidad. El piso solo cuenta con un split de aire acondicionado, ya que, debido a su excelente ventilación, no se requiere en todo el espacio, además dispone de Gas Natural individual. Y, por si fuera poco, INCLUYE UNA PLAZA DE GARAJE y TRASTERO, un verdadero lujo en la zona, así que despreocúpate por el aparcamiento o el almacenamiento adicional. La ubicación es simplemente inmejorable: perfectamente comunicada con las principales vías de acceso como la M-40 y, M-45, la A-4 A-42, y con la estación de Cercanías a pocos minutos, lo que te permitirá llegar al centro de Madrid en cuestión de minutos. Además, en los alrededores encontrarás todo tipo de servicios: supermercados, colegios, centros de salud y zonas comerciales. Este piso es la combinación perfecta de comodidad, ubicación, seguridad y calidad. ¡No pierdas la oportunidad de vivir en una de las zonas con más proyección de Madrid! Contáctanos para más información y ven a visitarlo. ¡Te enamorarás! No Dejes Pasar Esta Oportunidad! ¡Llama Ahora y Agenda tu Visita! Encuentras más en.",False,good,False,True,4000.0,False,False,True,False,[],False,False,380000.0,€,flat,,"Los Rosales, Madrid",Piso,True,True,325
108724012,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/49/17/1353232074.webp,18,6,259000.0,flat,sale,93.0,True,4,1,peru,Madrid,Coslada,Coslada Pueblo,es,,40.424858,-3.56557,False,https://www.idealista.com/inmueble/108724012/,"Visitas disponibles, a partir de de agosto! ALTERNATIVA INMOBILIARIA Vende piso de 93m2 construidos, distribuido en hall de entrada, amplio salón independiente, cocina, cuarto de baño y 4 dormitorios. La vivienda se ubica en una sexta planta, es muy luminosa, dispone de ascensor y calefacción central.",False,good,False,True,2785.0,False,False,False,False,[],False,False,259000.0,€,flat,,"Coslada Pueblo, Coslada",Piso en peru,,,
105343056,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/e1/45/1353626443.webp,15,8,167500.0,flat,sale,45.0,False,2,1,calle del Castillo de Oropesa,Madrid,Madrid,San Blas,es,Simancas,40.4276426,-3.6291354,False,https://www.idealista.com/inmueble/105343056/,"SOLO INVERSORES - INMUEBLE ALQUILADO Rentabilidad: 4,33% Inicio del contrato: 01/02/2021  Fin del contrato: 31/01/2028 Renta: 603,87 € Propiedad con inquilinos construida en el 1960 en Madrid, Madrid. Es un piso en la octava planta que cuenta con 39,20 m2 útiles distribuidos en sala-comedor, 2 habitaciones, 1 baño. Dispone de Ascensor. Inviertis es la web de inversión inmobiliaria nº1 en España. En inviertispro. com puedes ver y comparar inmuebles en rentabilidad en todo el país. Todos los activos publicados son en EXCLUSIVA y están alquilados y al día de pago. Si entras en la web tendrás acceso al contrato de alquiler vigente, renta mensual, rentabilidad y un completo análisis financiero del comportamiento de ese inmueble a lo largo del tiempo. Se trata de inmuebles procedentes de propietarios y grandes fondos que no encontrarás en ningún otro sitio porque Inviertis solo trabaja con: Inmuebles en exclusiva Pisos y casas con contrato de alquiler vigente Inquilinos al día de pago Rentabilidades por encima del 5% En Inviertis nos encargamos de todo, para que el inversor solo tenga que comprar y rentar. Así de fácil.",False,good,False,True,3722.0,False,False,False,False,[],False,False,167500.0,€,flat,,"Simancas, Madrid",Piso en calle del Castillo de Oropesa,,,RS2033
107134089,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/64/c9/a0/1304014467.webp,4,3,74700.0,penthouse,sale,69.0,True,3,1,"calle de los Cacereños, 41",Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3441746,-3.7144763,True,https://www.idealista.com/inmueble/107134089/,"MAGNIFICA VIVIENDA OKUPADA ILEGALMENTE DE 3 DORMITORIOS.  El Inmueble se transmite libre de toda carga pero OKUPADO ilegalmente (OKUPA DE PATADA) por tercero sin título. Consúltenos por las condiciones especiales del mismo. No permite visitas físicas al inmueble. Dicha situación ha sido especialmente tenida en cuenta en la fijación del precio.  El comprador no tiene que pagar ningún gasto de intermediación inmobiliaria. La vivienda tiene 3 amplios dormitorios, 1 baño completo, un amplio salón comedor y una terraza a lo largo de toda la fachada de la vivienda. La cocina independiente se encuentra amueblada. Edificio residencial con una ubicación excelente en el barrio de Villaverde Alto de Madrid, con cercanía a la plaza y la principal calle restauración y ocio, pero con la tranquilidad de una calle próxima a la misma. Tiene muy fácil acceso en coche desde las principales carreteras y está excelentemente comunicado por transporte público.  Su entorno cuenta con todos los servicios básicos (sanitarios, educativos, supermercados, restaurantes, comercios y parques). Servicio de asesoramiento gratuito. El comprador no tiene que pagar ningún gasto de intermediación inmobiliaria. LLAMENOS SIN COMPROMISO.",False,good,False,False,1083.0,False,False,False,False,[],False,False,74700.0,€,flat,penthouse,"Villaverde Alto, Madrid","Ático en calle de los Cacereños, 41",,,
107440899,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/d3/70/1312714637.webp,20,4,259900.0,flat,sale,109.0,True,4,2,La Espinilla - Parque Blanco,Madrid,Coslada,La Espinilla - Parque Blanco,es,,40.4265796,-3.5579407,False,https://www.idealista.com/inmueble/107440899/,"Agencia inmobiliaria TECNOCASA COSLADA, vende PISO de 109 m2 construidos. PISO PARA INVERTIR, ALQUILADO, se respetará contrato vigente de alquiler por dos años con una renta de 750€.  COMPUESTO POR: entrada, salón de paso con salida a la terraza acristalada, cocina con tendedero acristalado, 4 dormitorios, 1 baño completo con bañera y un aseo.   El inmueble dispone de suelo de parque en toda la vivienda, gres en cocina y baños, ventanas correderas de aluminio, puerta de entrada blindada, pintura gotelé, armarios empotrados en las habitaciones y pasillo, calefacción individual de gas natural, puertas de origen. La vivienda tiene PLAZA DE GARAJE Y TRASTERO INCLUIDOS EN EL PRECIO.   NO DUDE EN CONCERTAR SU VISITA SIN NINGUN COMPROMISO LA FINCA DISPONE DE ASCENSOR.  La vivienda está situada en una zona ya consolidada con multitud de servicios alrededor y bien comunicada por la red de transportes del municipio, parques infantiles, tren, colegios, supermercados, metro, farmacias, paradas de autobús…. No dude en llamarnos para concertar su cita para visitar el inmueble en la que además recibirá el asesoramiento gratuito de nuestro departamento financiero KÌRON.  FINANCIACION 100% .",False,renew,False,True,2384.0,False,False,False,False,[],False,False,259900.0,€,flat,,"La Espinilla - Parque Blanco, Coslada",Piso,True,True,
108563993,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/30/dc/1348571538.webp,11,2,330000.0,flat,sale,64.0,True,2,1,calle de Vicenta Parra,Madrid,Madrid,Carabanchel,es,San Isidro,40.396471,-3.717056,False,https://www.idealista.com/inmueble/108563993/,"Piso exterior reformado a medida. Consta de2 dormitorios, baño y cocina integrada. En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra mineral para asegurar el nuevo aislamiento tanto térmico como acústico. En muchos casos, se mejora también el aislamiento de fachadas, medianeras, suelos y techos por petición con materiales de especiales cualidades que ocupan el menor espacio posible. Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.",False,good,False,True,5156.0,False,False,False,False,[],False,False,330000.0,€,flat,,"San Isidro, Madrid",Piso en calle de Vicenta Parra,,,
