propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108116273,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/1a/ae/1334326907.webp,3794,13,bj,790000.0,flat,sale,90.0,True,2,1,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4266905,-3.7061561,False,https://www.idealista.com/inmueble/108116273/,"Fortuny Madrid Real Estate presenta en el vibrante y emblemático barrio de Malasaña, esta vivienda de 90 m² construidos combina el carácter de una finca histórica con las comodidades modernas, ideal para quienes buscan vivir en una de las zonas más auténticas y demandadas del centro de Madrid. La propiedad cuenta con dos amplios dormitorios y un baño completo, además de un espacioso salón y cocina funcional. Gracias a su distribución y metraje, ofrece múltiples posibilidades de personalización para adaptarse a distintos estilos de vida. Construida en el año 1900, la finca conserva elementos originales con encanto, como techos altos y detalles arquitectónicos clásicos. La vivienda está equipada con calefacción individual eléctrica y aire acondicionado, lo que garantiza confort durante todo el año. A pocos pasos de restaurantes, galerías, tiendas independientes y con excelente conexión a transporte público, esta es una oportunidad única para vivir o invertir en una de las zonas con más personalidad de Madrid. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,False,8778.0,False,False,False,False,[],False,False,790000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,,,,,,
108554241,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/54/5d/1348299064.webp,,47,4,299000.0,flat,sale,95.0,True,2,2,"calle Dodge, 1",Madrid,Madrid,Usera,es,Orcasitas,40.3661247,-3.709592,True,https://www.idealista.com/inmueble/108554241/,"Agencia Negociadora del Alquiler vende magnífica vivienda de 95 m2 (66 m2 útiles) en urbanización privada con portero físico, zonas de jardines, piscina y zona infantil con columpios.  Consta de 2 dormitorios, 2 cuartos de baño (uno en suite), salón comedor, cocina equipada con electrodomésticos y tendedero.  Puerta blindada, suelos de parquet, ventanas de PVC tipo climalit, aire acondicionado, calefacción individual por caldera de gas natural y armarios. Amueblada. Plaza de garaje incluida en el precio. Muy próximo a supermercados, comercios, colegios y farmacias; muy bien comunicado, paradas de autobuses en la misma puerta, a 5 minutos de la estación de cercanías de orcasitas. Importante: El precio de compra de la vivienda no incluye el gasto del Impuesto de Transmisiones Patrimoniales (6%), honorarios de agencia (3% + IVA), ni gastos de notario y registro.",False,good,False,True,3147.0,False,False,False,False,[],False,False,299000.0,€,flat,"Orcasitas, Madrid","Piso en calle Dodge, 1",True,True,,,,
108648643,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/67/c0/5c/1350997924.webp,,35,3,1100000.0,flat,sale,207.0,True,5,3,"AV BRASILIA, 35",Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4416697,-3.6613895,True,https://www.idealista.com/inmueble/108648643/,"¡Descubre el hogar de tus sueños en esta espectacular propiedad situada en una zona privilegiada! Este amplio piso de 207 m² construidos y 200 m² útiles cuenta con 5 habitaciones exteriores, lo que garantiza luz natural durante todo el día. Imagina disfrutar de un amplio salón donde crear momentos inolvidables con familia y amigos, y de estancias versátiles que se adaptan a tu estilo de vida. Con 3 cuartos de baño, nunca tendrás que preocuparte por las mañanas ajetreadas. Además, la comodidad está asegurada con calefacción central y agua incluida en la comunidad. El edificio cuenta con portero físico y ascensor, lo que añade un plus de seguridad y confort a tu día a día. Ubicado en una zona rodeada de servicios esenciales y cercano al transporte público, tendrás todo lo que necesitas al alcance de la mano. No dejes pasar la oportunidad de vivir en un espacio que combina confort, luminosidad y una ubicación inmejorable. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,True,5314.0,False,False,False,False,[],False,False,1100000.0,€,flat,"Guindalera, Madrid","Piso en Av Brasilia, 35",,,1210000.0,110000.0,9.0,
108640503,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c3/df/7a/1350755832.webp,ECDH25GRE,13,bj,174900.0,flat,sale,60.0,True,2,1,calle el Greco,Madrid,Mejorada del Campo,,es,,40.3927106,-3.4831871,False,https://www.idealista.com/inmueble/108640503/,"Inmobiliaria Corredor del Henares te ofrece en exclusiva este estupendo piso reformado en planta baja de 60m2 en Mejorada del Campo. La vivienda consta de dos habitaciones, salón, cocina y baño.    Respecto a las calidades del inmueble, cuenta con doble ventana, suelo de tarima, pintura lisa, calefacción de gas natural, aire acondicionado en salón y habitación principal. La vivienda cuenta también con armarios empotrados en las dos habitaciones y el hall de entrada.  Si tienes problemas con la financiación, disponemos de departamento financiero propio que te ayudará a conseguir las mejores condiciones hipotecarias para ti. Quieres una vivienda para entrar a vivir, en una buena zona de Mejorada del Campo, cerca de comercios, colegios, zonas deportivas y parada de autobús? No lo pienses más y LLÁMANOS!",False,good,False,False,2915.0,True,False,False,False,[],False,False,174900.0,€,flat,Mejorada del Campo,Piso en calle el Greco,,,,,,
108465312,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/6b/ae/1345734496.webp,,26,2,2230000.0,flat,sale,160.0,True,3,3,calle de Diego de León,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4329394,-3.6775872,False,https://www.idealista.com/inmueble/108465312/,"SoilGroup presenta en exclusiva este piso único de 4 balcones a la calle, con plaza de garaje y trastero en uno de los barrios más cotizados de Madrid. Ubicado en el Barrio de Salamanca en la segunda planta de una finca clásica en excelente estado de conservación, con ascensor y portal representativo. Esta vivienda de 160 m² destaca por sus cuatro balcones exteriores, que junto a sus techos altos llenan de luz natural el espacio. Cuenta con un diseño único, elegante y moderno con unos acabados y materiales de alta calidad, que junto con su mobiliario de las mejores marcas redefinen el lujo del mundo de las reformas de Madrid La distribución destaca por su funcionalidad y versatilidad, contando actualmente con un amplio salón comedor conectado a una cocina independiente con isla y lavandería que permitiría convertirse en un pequeño cuarto de servicio. El área social se proyecta hacia el exterior a través de los balcones, mientras que la zona privada se ha concebido para ofrecer máximo confort y privacidad.  La suite principal incorpora un vestidor generoso y un baño en suite con ducha y bañera independientes, creando un auténtico espacio de descanso. La segunda habitación, también muy luminosa, se acompaña de su propio baño, y existe la posibilidad de habilitar con facilidad una tercera habitación según las necesidades del comprador.  La propiedad incluye además, una plaza de garaje y un trastero, una combinación extremadamente difícil de encontrar, comodidad y lujo en el mejor barrio de Madrid.  Si te interesa una propiedad singular que reúne diseño, ubicación y comodidades difíciles de igualar en el mejor barrio residencial de Madrid, no dudes en contactarnos para agendar una vista.",False,good,False,True,13938.0,True,False,False,False,[],False,False,2230000.0,€,flat,"Lista, Madrid",Piso en calle de Diego de León,True,True,,,,
108507724,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fe/1b/20/1346976634.webp,,29,,170000.0,chalet,sale,122.0,,2,1,PZ PEÑON DEL,Madrid,Colmenar del Arroyo,,es,,40.4192081,-4.2013457,False,https://www.idealista.com/inmueble/108507724/,"Te presentamos esta acogedora casa en una sola planta con buhardilla acondicionada, situada en el encantador pueblo de Colmenar del Arroyo, en plena Sierra Oeste de Madrid. Distribución: Planta baja: Salón-comedor con cocina americana 2 dormitorios con armarios empotrados 1 baño completo Patio interior privado Patio delantero con espacio para aparcar vehículo Planta superior: Buhardilla acondicionada como tercer dormitorio o espacio multifuncional � Reformas y equipamiento: Instalación eléctrica y fontanería completamente renovadas Calefacción y agua caliente por gasoil (depósito de 700 litros) � Sobre Colmenar del Arroyo: Colmenar del Arroyo es un entorno natural privilegiado, perfecto para quienes buscan tranquilidad sin renunciar a servicios: Polideportivo municipal con piscina, gimnasio y biblioteca Supermercado Alcampo, farmacia, restaurantes, cafeterías y pizzería Parada del autobús 642 frente al Ayuntamiento, con salidas frecuentes a Madrid (cada 10-15 minutos por la mañana y cada hora a partir de las 10:00) Centro educativo completo: colegio de infantil y primaria, y guardería municipal Rodeado de naturaleza, senderos y aire puro: ideal para familias, teletrabajo o escapadas � ¡Lista para entrar a vivir! Ven a conocer esta vivienda única que combina comodidad, ubicación y entorno natural. Contáctanos para concertar una visita. visitas por las mañanas.",True,good,False,,1393.0,False,False,False,False,[],False,False,170000.0,€,chalet,Colmenar del Arroyo,Chalet pareado en Pz Peñon Del,True,True,180000.0,10000.0,6.0,semidetachedHouse
108785806,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/05/63/1355061623.webp,,26,4,801645.0,flat,sale,102.0,False,3,3,calle de Guzmán el Bueno s/n,Madrid,Madrid,Chamberí,es,Gaztambide,40.4384758,-3.7128902,True,https://www.idealista.com/inmueble/108785806/,"Piso reformado a estrenar en Guzmán el Bueno – 102 m², 3 habitaciones y 3 baños ¡Diseño, calidad y confort en el corazón de Chamberí! Ponemos a la venta este fantástico piso de 102 m² construidos, ubicado en una cuarta planta interior de la calle Guzmán el Bueno, totalmente reformado por el reconocido estudio de arquitectura Home Architect. Listo para entrar a vivir, esta vivienda ofrece una distribución moderna, materiales de máxima calidad y un ambiente acogedor, ideal tanto para familias como para inversores. Características: Salón muy luminoso, con grandes ventanales a patio amplio y tranquilo Cocina americana de diseño, totalmente equipada 3 dormitorios 3 baños completos, modernos y funcionales Aire acondicionado  Reforma integral con acabados premium Una vivienda interior, pero con excelente luz natural gracias a su altura y orientación. Entorno y ubicación Situado en plena Calle Guzmán el Bueno, en el codiciado distrito de Chamberí, el piso goza de una ubicación privilegiada con excelente comunicación y todos los servicios a pocos pasos. En los alrededores encontrarás: Estaciones de Metro cercanas: Guzmán el Bueno, Islas Filipinas y Moncloa, con acceso a varias líneas Muy cerca del Parque del Oeste y el Canal de Isabel II, perfectos para pasear o hacer deporte Zona con gran variedad de cafeterías, restaurantes, supermercados, farmacias y pequeños comercios Próximo a universidades y centros educativos, como la Universidad Complutense de Madrid (UCM), ICAI, ICADE o CEU Entorno seguro, residencial y con excelente ambiente tanto para familias como para jóvenes profesionales Un piso moderno, cómodo y con una ubicación inmejorable. Ideal para quienes buscan un hogar reformado con gusto en una de las mejores zonas de Madrid. ¡Ven a verlo!",True,good,False,True,7859.0,False,False,False,False,[],False,False,801645.0,€,flat,"Gaztambide, Madrid",Piso en calle de Guzmán el Bueno s/n,,,,,,
107888945,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0a/83/ed/1327382870.webp,VIVEXQUI019,22,,275000.0,chalet,sale,324.0,,4,3,Quijorna,Madrid,Quijorna,,es,,40.4260273,-4.0557192,False,https://www.idealista.com/inmueble/107888945/,"LOCATIVO QUIJORNA vende en exclusiva esta magnífica casa antigua para realizar reforma integral en el centro del pueblo. La vivienda consta de 324 metros en dos plantas y almacén y/o garaje, en parcela de 394 metros. Dispone de muchas posibilidades tanto la vivienda como el espacio de la parcela. Tras reformar su interior se consigue una amplia y bonita vivienda, incluso con piscina y zona ajardinada en la parte trasera que proporciona total intimidad. LOCATIVO QUIJORNA  C/ CAMPO 8, LOCAL B 28693 QUIJORNA     [IW].",False,renew,False,,849.0,False,False,False,False,[],False,False,275000.0,€,chalet,Quijorna,Chalet adosado,,,,,,terracedHouse
108855976,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/62/da/1358120818.webp,IE01-EMBLZP9,17,bj,610000.0,flat,sale,140.0,True,2,2,calle de Embajadores,Madrid,Madrid,Arganzuela,es,Legazpi,40.3852661,-3.6874941,False,https://www.idealista.com/inmueble/108855976/,"Inmobiliarias Encuentro vende en exclusiva magnífico piso exterior en el castizo barrio de Embajadores, Madrid.  El inmueble, de 140 m2, cuenta con un espacioso hall, amplio salón-comedor, el cual da a una amplia terraza y cocina independiente totalmente equipada y funcional. Tiene dos dormitorios dobles, ambos con ventana, lo que aporta una excelente luz natural a toda la estancia. Además, dispone de dos cuartos de baño completos.  Las calidades de la vivienda son inmejorables. Tiene puerta blindada, aire acondicionado y calefacción de gas natural. Es importante añadir que también incluye garaje y trastero en el precio.  La finca está en perfecto estado de conservación. Cuenta con portero físico las 24 horas y ascensor.  Las zonas comunes están compuestas por una piscina, gimnasio y zonas verdes.  Su ubicación es inmejorable. Embajadores es una de las zonas más singulares y con mayor personalidad de Madrid.  Con una ubicación estratégica, muy próxima al centro histórico y a lugares emblemáticos como Lavapiés, La Latina y el Rastro, Embajadores ofrece una mezcla única de tradición madrileña y ambiente cosmopolita. El barrio destaca por su gran vitalidad cultural, con teatros, galerías de arte, espacios alternativos y una rica oferta gastronómica y de ocio. Además, cuenta con todos los servicios necesarios para el día a día, desde mercados tradicionales como el de San Fernando hasta supermercados, centros educativos y sanitarios. Perfectamente conectado mediante metro, cercanías y múltiples líneas de autobús, Embajadores es ideal tanto para quienes buscan una residencia con carácter en el centro de Madrid como para inversores interesados en una zona en constante transformación y revalorización. Si necesita vender su inmueble para adquirir este u otro inmueble publicado, contacte con nosotros, disponemos del servicio: \\""CAMBIA Y DESCANSA\\"". La solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble. ¡Financiación a tu medida! Con Finmoo tendrás los mejores tipos de interés y hasta el 100% de financiación. ¡Consulta nuestras condiciones! Entra en nuestra web y reserva este piso en tan sólo dos minutos con nuestro servicio iReserva.",False,good,False,True,4357.0,False,False,False,False,[],False,False,610000.0,€,flat,"Legazpi, Madrid",Piso en calle de Embajadores,True,True,,,,
108775547,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/81/5a/1354766444.webp,214556,4,,122536.0,studio,sale,50.0,,0,1,calle de los Huertos,Madrid,Arganda,Centro,es,,40.3009315,-3.4421111,False,https://www.idealista.com/inmueble/108775547/,"PRODUCTO EN CESION DE REMATE ESPECIAL PARA INVERSORES - SIN FINANCIACIÓN –NO SE PUEDE VISITAR   Piso de 51 m2 en planta primera, ubicada en Calle Huertos, en Arganda (Madrid), con un valor actual de mercado de unos 135.000 €.   Oportunidad de adquisición por un precio inferior y obtención de un margen. No admite crédito hipotecario. Solo para clientes con liquidez.  Precio de venta: 122.536 €.   Estas operaciones requieren una serie de requisitos detallados a continuación: 1º. NO permite hipoteca. 2º. Esta propiedad NO se puede ver ni visitar interiormente. 3º. NO disponemos de fotos del interior del inmueble. 4ª. NO tenemos información sobre el estado de ocupación del inmueble.   La adquisición del inmueble publicitado en este anuncio se realizará exclusivamente en el marco del proceso de cesión de remate en el que se encuentra. Al no tratarse de una compraventa directa, el importe publicado ha de ser considerado como una orientación al precio por el cual puede adjudicarse el inmueble. Contáctanos para más información.   Ref Interna 214556.",False,good,False,,2451.0,False,False,False,False,[],False,False,122536.0,€,flat,"Centro, Arganda",Estudio en calle de los Huertos,,,,,,studio
