propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
108284646,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/31/a3/1339519408.webp,1653,4,2,2000000.0,flat,sale,135.0,True,3,3,Barrio Chueca-Justicia,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4220096,-3.6941423,False,https://www.idealista.com/inmueble/108284646/,"Piso a estrenar en el prestigioso barrio de Justicia, en pleno corazón de Madrid. Con una superficie de 135 m², esta vivienda destaca por su cuidada distribución y su luminosidad. El amplio salón se integra de forma natural con la cocina de concepto abierto y los balcones exteriores, creando un espacio central ideal para la vida diaria y el disfrute social, bañado por abundante luz natural. Dispone de tres dormitorios, todos exteriores y bien iluminados. El principal, con baño en suite, ofrece un ambiente de privacidad y confort. Las otras dos habitaciones comparten un segundo baño completo, mientras que un tercer baño adicional añade funcionalidad y versatilidad al conjunto. Entre sus características se incluyen armarios empotrados y calefacción por gas natural, lo que asegura un entorno cálido y confortable en cualquier época del año. Ubicado en una segunda planta con ascensor, este inmueble aúna modernidad, funcionalidad y el inconfundible carácter histórico del barrio de Justicia.",False,good,False,True,14815.0,False,False,False,False,[],False,False,2000000.0,€,flat,"Chueca-Justicia, Madrid",Piso,,,
103056118,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/93/89/1218932201.webp,VI-000-020-715-448,1,,164000.0,flat,sale,66.0,,3,1,Barrio Buena Vista,Madrid,Madrid,Carabanchel,es,Buena Vista,40.3751923,-3.751465,False,https://www.idealista.com/inmueble/103056118/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 04/2026.  Piso en Madrid, idóneo para familias. El inmueble cuenta con una superficie de 66 m² construidos distribuidos en tres habitaciones, salón-comedor, cocina y un aseo. Cuenta con todos los servicios necesarios a su alrededor, como la Escuela Infantil Luna Lunera, supermercados, bancos, bibliotecas, farmacias, centros deportivos y la estación de metro La Peseta. Cuenta con fácil acceso a M-40.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,2485.0,False,False,False,False,[],False,False,164000.0,€,flat,"Buena Vista, Madrid",Piso,,,
108624406,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/67/20/1350279905.webp,DW-BAT-001-011,3,bj,160000.0,flat,sale,114.0,True,3,2,paseo de la Estación,Madrid,Ciempozuelos,La Estación - Psiquiátrico San José,es,,40.160575,-3.614139,False,https://www.idealista.com/inmueble/108624406/,"¡Atención inversores! Se vende piso ocupado sin posesión NO SE PUEDE VISITAR - PROCEDIMIENTO JUDICIAL AVANZADO. Con 114 metros construidos, esta propiedad es una oportunidad única para aquellos que buscan invertir en el mercado inmobiliario. Aunque no se puede visitar, podemos asegurar que esta vivienda cuenta con varias habitaciones, servicios y trastero. ¡No dejes pasar esta oportunidad!",False,renew,False,False,1404.0,False,False,False,False,[],False,False,160000.0,€,flat,"La Estación - Psiquiátrico San José, Ciempozuelos",Piso en paseo de la Estación,,,
107828820,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/05/c2/1329244390.webp,ID000054,7,,150000.0,chalet,sale,161.0,,6,2,calle Fundadores,Madrid,Santa María de la Alameda,,es,,40.5679063,-4.2852807,False,https://www.idealista.com/inmueble/107828820/,"OPORTUNIDAD DE INVERSIÓN! Aprovecha esta oportunidad en Santa Mª de la Alameda, idílico lugar en la sierra noroeste de Madrid. No desperdicies la posibilidad de vivir en una casa unifamiliar que podrás redecorar a tu gusto en plena naturaleza, a la par que cerca de las grandes ciudades.",True,good,False,,932.0,False,False,False,False,[],False,False,150000.0,€,chalet,Santa María de la Alameda,Chalet en calle Fundadores,,,
107271462,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/82/b6/1308058737.webp,RD-34639,1,1,123900.0,flat,sale,69.0,True,3,1,avenida de la Libertad,Madrid,Colmenar Viejo,El Cerrillo,es,,40.6605284,-3.7660446,False,https://www.idealista.com/inmueble/107271462/,"NOCOBRAMOS COMISIÓN DE AGENCIA VIVIENDA PROCEDENTE DE FONDO Gran oportunidad PARA INVERSORES en Colmenar Viejo! Piso de 69,5 m2 con 3 dormitorios y 1 baño. El Inmueble se transmite alquilados Este inmueble se encuentra en una excelente ubicación, en el corazón de Colmenar Viejo, rodeado de todos los servicios que necesitas y una variada oferta de comercios a tu alcance. HABITALIUM CLUB INMOBILIARIA.",False,renew,False,False,1796.0,False,False,False,False,[],False,False,123900.0,€,flat,"El Cerrillo, Colmenar Viejo",Piso en avenida de la Libertad,,,
108115940,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/58/8c/1349425677.webp,1022,11,,237000.0,flat,sale,129.0,True,5,2,Valleaguado - La Cañada,Madrid,Coslada,Valleaguado - La Cañada,es,,40.4283544,-3.5372633,False,https://www.idealista.com/inmueble/108115940/,"BAJO con PATIO en Coslada ubicado junto a la Avenida de la Cañada(San Fernando de Henares). OPORTUNIDAD. La casa cuenta con 5 dormitorios, salvo dos de ellos, todos exteriores o al patio de la vivienda, 2 baños, salón, cocina con ventana hacia el patio PRIVADO.  Vivienda de 129 m2, distribuidos de la siguiente manera:  A la entrada un salón de paso hacia tres de los cinco dormitorios(uno de ellos con vestidor y los otros dos dormitorios con ventana hacia el patio y a la fachada exterior), pasillo hacia cocina con gran ventanal y salida a patio de 20 m2 aproximadamente. A continuación, los otros dos dormitorios, uno de ellos con ventana al patio y dos baños. Cocina independiente amueblada con una despensa. Magnífico patio con excelente orientación.  La vivienda se encuentra casi en el límite de Coslada con San Fernando de Henares en una calle cortada y tranquila junto a la Av. de la Cañada. Coslada es un un municipio de Madrid, muy bien comunicado, cerca de colegios, institutos y comercios, parques, supermercados Ahorramas, Mercadona, Centro Comercial con cines, etc. Hospital del Henares, Policía Local, zonas verdes. Fácil acceso a la autovía A-2, permitiendo una rápida conexión tanto al centro de Madrid como a otras zonas periféricas. Además, las estaciones de metro de Coslada central y San Fernando y autobuses en la puerta 287 y N203, siendo una opción perfecta tanto para familias como para profesionales que valoran la proximidad a la capital sin renunciar a un entorno más tranquilo y muy bien comunicado. A escasos metros de la plaza de España y el Ayuntamiento de San Fernando, paradas de autobús y a pocos minutos del Centro Comercial Coslada Plaza. La zona donde se encuentra la vivienda es una de las mejores. Además está rodeada de todos los servicios y en una calle tranquila.  NO DUDES EN VISITARLO. Es lo que estás buscando.  Llame para concertar su cita y visite sin ningún compromiso.  Disponemos de servicio de asesoramiento financiero gratuito.  *En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría – gestoría / registro/ intermediación inmobiliaria y/o financiera).  Tenemos división de Reformas por si le gustaría personalizar su nuevo hogar.  SEO  Título.",False,good,False,False,1837.0,False,False,False,False,[],False,False,237000.0,€,flat,"Valleaguado - La Cañada, Coslada",Piso,,,
108251588,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/69/d0/1349425646.webp,1023,11,,239000.0,flat,sale,104.0,True,4,1,Barrio Palomeras Bajas,Madrid,Madrid,Puente de Vallecas,es,Palomeras Bajas,40.3924337,-3.6619333,False,https://www.idealista.com/inmueble/108251588/,"VIVIENDA DE 4 DORMITORIOS JUNTO A LA AVENIDA DE LA ALBUFERA – 239.000€  FVHOMES Vende fabulosa vivienda totalmente EXTERIOR y reformada sin ascensor junto al metro Nueva Numancia. Se trata de una segunda planta de 104 m² construidos y 91 m² útiles que actualmente están distribuidos en cocina totalmente reformada amueblada independiente, salón con trastero, cuatro dormitorios y baño completo con baño completo con plato de ducha. La vivienda tiene una fantástica luz porque es toda exterior y da a una plaza dentro de la propia finca lo que hace que sea muy tranquila. Ventanas climalit. Paredes lisas. Puertas lacadas en blanco. Calefacción eléctrica. La finca sin ascensor cuenta con todos los servicios que cualquier familia puede demandar y una excelente ubicación junto al metro Nueva Numancia, acceso M-30 y Autovía A-3, a unos minutos de Ciudad Barcelona o Plaza Conde de Casal, del Hospital General Universitario Gregorio Marañón, Hospital Materno Infantil Gregorio marañón, Hospital Infantil Universitario Niño Jesús, junto al metro Nueva Numancia y a escasos minutos de Puente de Vallecas, de la Estación de Méndez Álvaro o Estación de Atocha y distintas paradas de bus 5, 54, 57, 58, 136, N10, N25, 136. El  inmueble está muy bien situado en el distrito de Puente de Vallecas, a escasos minutos del Estadio de Vallecas, Mercado de Numancia, supermercado Alcampo. Rodeado de todo tipo de pequeño comercio y distintas opciones de restauración, colegios, institutos, parroquias, centros comerciales como El Corte Inglés de Méndez Álvaro, Universidad Politécnica campus Sur, Hospital Infanta Leonor. Llame para concertar su cita y visite sin ningún compromiso.  Disponemos de servicio de asesoramiento financiero gratuito.  *En el precio de venta no están incluidos los gastos de compra (Impuesto de transmisiones patrimoniales / notaría -gestoría / registro/ intermediación inmobiliaria y/o financiera).             Visítanos en nuestras oficinas de Calle Marie Curie, 5 - Bajo 7 de Rivas Vaciamadrid.",False,good,False,False,2298.0,False,False,False,False,[],False,False,239000.0,€,flat,"Palomeras Bajas, Madrid",Piso,,,
107696590,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/9f/69/1320088562.webp,R-VO2,2,bj,280000.0,flat,sale,99.0,True,3,2,Ibiza - San Pedro,Madrid,Villanueva del Pardillo,Ibiza - San Pedro,es,,40.4851346,-3.9602436,False,https://www.idealista.com/inmueble/107696590/,"¡OPORTUNIDAD ÚNICA! DESPACHO PROFESIONAL A ESTRENAR – ENTREGA EN SEPTIEMBRE 2025 Se vende despacho profesional totalmente reformado, con un diseño moderno, elegante y funcional. Este espacio ha sido pensado para ofrecer máximo confort y versatilidad, permitiendo adaptaciones personalizadas según las necesidades del comprador. � Superficie: 100 m² � Distribución: 3 amplias habitaciones y 2 baños completos, ideales para garantizar comodidad y privacidad. � Incluye plaza de garaje, asegurando mayor comodidad y facilidad de acceso. � Características destacadas:  Reforma integral con acabados de alta calidad y detalles contemporáneos.  Espacios luminosos con una distribución eficiente.  Diseño sofisticado y acogedor, ideal para oficinas, consultas o cualquier actividad profesional.  Posibilidad de modificaciones para personalizar el despacho a tu medida.  Plaza de garaje incluida, una ventaja clave en la zona.  Ubicación estratégica en una zona bien comunicada, con servicios y transporte cercanos.  Fecha de entrega estimada: septiembre de 2025. � Ideal para profesionales, emprendedores o inversores que buscan un espacio exclusivo y funcional.",False,good,False,True,2828.0,False,False,False,False,[],False,False,280000.0,€,flat,"Ibiza - San Pedro, Villanueva del Pardillo",Piso,True,True,
106722608,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/23/2e/1292030238.webp,1359-COP-COS-DE-01-0334 SF,3,1,150000.0,flat,sale,90.0,True,3,1,Barrio San Fermín,Madrid,Madrid,Usera,es,San Fermín,40.3699475,-3.6897499,False,https://www.idealista.com/inmueble/106722608/,"NO SE PUEDE VISITAR! INMUEBLE HABITADO Y SIN POSESIÓN. DESCONOCEMOS EL ESTADO INTERIOR. Vivienda situada en el barrio de San Fermín (Usera). Consta de vestíbulo, distribuidor, cocina, baño, salón comedor, 3 habitaciones, terraza y tendedero. ´No dude en contactar con nosotros para conseguir un inmueble por debajo de su precio de mercado.",False,renew,False,False,1667.0,False,False,False,False,[],False,False,150000.0,€,flat,"San Fermín, Madrid",Piso,,,
108772552,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7d/0e/a0/1354685418.webp,VI-000-035-707-446,2,2,123500.0,flat,sale,99.0,,2,1,Villarejo de Salvanés,Madrid,Villarejo de Salvanés,,es,,40.1655133,-3.2778795,False,https://www.idealista.com/inmueble/108772552/,"Piso en Villarejo de Salvanes, Madrid, idóneo para parejas. La vivienda cuenta con una superficie de 99 m² construidos distribuidos en dos habitaciones, salón-comedor, cocina y un aseo. Está ubicado en el corazón de Villarejo de Salvanes, en sus alrededores encontramos la escuela IES Ntra, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y varias paradas de autobús. Cuenta con fácil acceso a Autovía del Este.",False,good,False,,1247.0,False,False,False,False,[],False,False,123500.0,€,flat,Villarejo de Salvanés,Piso,,,
