propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,newDevelopmentFinished
108472033,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c3/28/3e/1345930157.webp,BFA13,10,5,839000.0,flat,sale,66.0,False,2,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4283515,-3.6728959,False,https://www.idealista.com/inmueble/108472033/,"Belton Real Estate ofrece vivienda en una quinta planta que recibe abundante luz natural. Cuenta con 66 metros cuadrados de superficie. El inmueble reformado con acabados de alta calidad y amueblado, se distribuye en dos amplias habitaciones, dos baños, cocina - salón - comedor. El edificio dispone de ascensor. Su ubicación en Salamanca - Lista, ofrece un ambiente agradable y tranquilo, con una amplia oferta comercial, gastronómica y cultural, con proximidad a diversos sitios de interés y muy bien conectada con toda la ciudad a través de transporte público. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando. El inmueble es propiedad de BEST FLAT.",False,good,False,True,12712.0,True,False,False,False,[],False,False,839000.0,€,flat,"Lista, Madrid",Piso,,,,,,,,
108721404,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/8b/24/1353160079.webp,00203MR01,30,4,860000.0,flat,sale,158.0,True,5,3,calle de Toledo,Madrid,Madrid,Centro,es,Palacio,40.4094153,-3.7127326,False,https://www.idealista.com/inmueble/108721404/,"A-House les ofrece este PISO PARA REFORMAR CON TERRAZA EN EL BARRIO DE PALACIO  La propiedad está distribuida ACTUALMENTE en un salón-comedor, cocina independiente totalmente equipada, cuatro habitaciones dobles (dos de ellas EXTERIORES), una habitación simple con salida a balcón y tres baños completos (uno de ellos en suite). El inmueble dispone de armarios empotrados, carpintería exterior de aluminio climalit, suelos de parquet y calefacción central. La vivienda está para REFORMAR con múltiples posibilidades ya que es TODO TABIQUERÍA. Finca de 1968 con ASCENSOR. El barrio de Palacio cuenta con la parada de metro de Ópera (líneas 2, 5 y ramal) y algunas de las líneas de autobuses que pasan por este barrio son: 1, 2, 3, 17, 18, 23, 25, 31, 33, 35, 36, 39, 41, 44, 46, 50, 5, 133, 138, 146, 147, 148, C1, C2, 001, 002, C03, SE712, N16, N18, N19, N20, N21 y N26. Además, a tan solo unos pasos del barrio de Palacio se encuentra la estación de Príncipe Pío, una de las más importantes de Madrid y que cuenta con los servicios de Cercanías (líneas C-1, C-7 y C-10) y de Metro (líneas 6, 10 y ramal). En el siglo XX, el barrio de Palacio sufrió una serie de modificaciones debido a la construcción de la Gran Vía y otros proyectos de modernización de la ciudad. Hoy en día, el barrio de Palacio es un lugar con una rica oferta cultural y turística y, sin duda, es todo un privilegio poder vivir en esta zona del centro de Madrid. El barrio tiene todas las facilidades para el día a día, pero también cuenta con una amplia oferta de ocio y entretenimiento para el tiempo libre y los fines de semana. A la gran variedad de restaurantes, teatros y demás espacios culturales se suman las zonas verdes en las que escaparse del bullicio de la ciudad. En definitiva, la zona Palacio-Madrid es idónea para personas de todas las edades, solteras, casadas y familias con hijos que busquen un lugar para vivir en Madrid con mucho ambiente y una increíble oferta de ocio y entretenimiento. Aproveche esta oportunidad.",False,renew,False,True,5443.0,True,False,False,False,[],False,False,860000.0,€,flat,"Palacio, Madrid",Piso en calle de Toledo,,,,,,,,
108709646,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/c0/64/1352810054.webp,202298,44,,599000.0,chalet,sale,246.0,,4,3,avenida de la Ponderosa,Madrid,Manzanares el Real,,es,,40.7233025,-3.93785,False,https://www.idealista.com/inmueble/108709646/,"Chalet independiente en venta en La Ponderosa Manzanares El Real. Ubicado en la exclusiva urbanización La Ponderosa, este chalet independiente en venta en La Ponderosa el el mágico triangulo de Manzanares El Real, El Boalo y Mataelpino en la sierra de Madrid ofrece un entorno residencial tranquilo, ideal para quienes buscan una vivienda cómoda y espaciosa cerca de la naturaleza y a poca distancia de Madrid. Características generales del chalet. Esta vivienda independiente se encuentra sobre una generosa parcela de 800 m² y cuenta con una superficie construida de 246 m² distribuidos en varias “ medias” plantas funcionales. La planta baja alberga un hall recibidor que da paso a un amplio salón comedor de 33 m², un aseo de cortesía y una cocina con office y despensa, perfecta para la vida diaria. En la primera planta, hay tres dormitorios y un cuarto de baño completo. En la segunda planta se sitúa el dormitorio principal con vestidor y baño en suite, aportando privacidad y comodidad. El chalet también dispone de un sótano dividido en dos zonas: una bodega y un garaje con capacidad para dos vehículos. Además, cuenta con dos plazas de aparcamiento adicionales al aire libre. Espacios exteriores y acabados. El jardín de 674 m² ofrece múltiples posibilidades de uso, desde reuniones familiares hasta zonas de juegos o descanso. Aunque no dispone de piscina, su tamaño permite instalar una si se desea en el futuro. La carpintería exterior es de aluminio con acristalamiento tipo climalit, mientras que la interior es de madera, lo que aporta calidez a los espacios. La fachada es de ladrillo y el tejado está cubierto con teja, un estilo clásico que se integra perfectamente en el entorno natural de la zona. Comodidades y equipamiento. Los suelos son de cerámica en todas las estancias, incluyendo salón, cocina, dormitorios y baños. La calefacción es por gasoil y dispone de agua caliente individual. La luminosidad en la vivienda es excelente, lo que se valora especialmente en zonas residenciales como Manzanares El Real. El buen aislamiento térmico y la orientación noroeste favorecen una temperatura agradable en el interior durante todo el año. La vivienda cuenta con entrada de servicio, riego automático y posibilidad de conexión a pozo. Ubicación privilegiada. Manzanares El Real es un municipio de la Comunidad de Madrid situado en las faldas de la Sierra de Guadarrama. Su entorno natural y la cercanía al Parque Nacional Sierra de Guadarrama lo convierten en una opción ideal para quienes buscan calidad de vida, aire puro y tranquilidad sin renunciar a los servicios de la capital. La urbanización La Ponderosa está bien comunicada, con acceso a transporte público, comercios y colegios. Además, el entorno es perfecto para actividades al aire libre como senderismo, ciclismo o paseos por el embalse de Santillana o el Castillo de los Mendoza. Oportunidad de inversión o vivienda habitual. Este chalet representa una excelente oportunidad tanto para familias como para quienes buscan una segunda residencia en un entorno privilegiado. La buena conservación del inmueble, la amplitud de sus espacios y el entorno natural hacen de esta propiedad una inversión segura y un lugar ideal para vivir. Puedes consultar más propiedades y consejos inmobiliarios en el blog de Inmogil Gestión. INMOGIL GESTIÓN, OTRA FORMA DE HACER LAS COSAS!",True,good,False,,2435.0,True,False,False,False,[],False,False,599000.0,€,chalet,Manzanares el Real,Casa independiente en avenida de la Ponderosa,True,True,independantHouse,,,,,
108712521,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/dc/aa/1354892002.webp,Almagro,26,7,689000.0,flat,sale,65.0,True,2,1,CL MONTE ESQUINZA,Madrid,Madrid,Chamberí,es,Almagro,40.4292019,-3.6925195,False,https://www.idealista.com/inmueble/108712521/,"¡Oportunidad! SIB servicios inmobiliarios vende en exclusiva un magnífico Inmueble con un GRAN ENCANTO ubicado en una ZONA INMEJORABLE que te encandilará nada más verlo.  Se trata de un excelente piso abuhardillado, con una GRAN HABITABILIDAD, donde destaca su gran LUMINOSIDAD ya que es la ÚLTIMA PLANTA del edificio y en la que disfrutarás de un remanso de paz gracias a su BUEN AISLAMIENTO.  El estado del piso es para entrar a vivir gracias a su REMODELACIÓN INTEGRAL. La distribución de la casa se compone en un salón amplio con cocina integrada, un baño, dos habitaciones con armarios y un cuartillo para almacenaje donde actualmente tiene un uso de tendedero.  La vivienda viene equipada con aire acondicionado, pintura lisa y suelos de tarima. La calefacción es central pero con los costes individualizados.  La finca dispone de portero físico y telefonillo con vídeo portero.  Posibilidad de plaza de garaje en alquiler muy próxima a la vivienda. La casa está perfectamente comunicada ( BARRIO ALMAGRO) y dispone de todos los servicios necesarios tales como, restaurantes, colegios, centros sanitarios, zonas de ocio, etc.  ¡No esperes más y concierta ya tu visita!",True,good,False,True,10600.0,True,False,False,False,[],False,False,689000.0,€,flat,"Almagro, Madrid",Piso en Cl Monte Esquinza,,,,,,,,
108730157,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/64/29/1353482056.webp,3454-07169,27,,435000.0,chalet,sale,172.0,,5,4,calle Navalagamella,Madrid,Valdemorillo,Valdemorillo pueblo,es,,40.4995373,-4.0707642,False,https://www.idealista.com/inmueble/108730157/,"¡Descubre tu nuevo hogar en este espectacular chalet adosado de 172 m²! Con una distribución ideal, esta vivienda cuenta con 5 amplios dormitorios y 4 baños, perfectos para disfrutar de la comodidad que siempre has deseado. La orientación oeste garantiza luminosidad durante todo el día, creando un ambiente acogedor. Además, cuenta con armarios empotrados en cada habitación, aire acondicionado y calefacción individual por gas natural, asegurando un confort óptimo en cualquier época del año. Imagina relajarte en tu terraza o balcón después de un largo día. La parcela de 40 m² es perfecta para disfrutar del aire libre o para que los más pequeños jueguen sin preocupaciones. La ubicación es inmejorable, a un paso del centro del pueblo y con acceso a todos los servicios necesarios, incluidos supermercados. No tendrás que preocuparte por el transporte, ya que la carretera de Navalagamella está muy cerca. Este chalet también incluye una plaza de garaje y un trastero, brindando espacio adicional para tus pertenencias. Construido en 2007 y en buen estado, este hogar es ideal para quienes buscan calidad de vida y comodidad. ¡No dejes pasar la oportunidad de visitarlo y enamorarte de cada rincón!",False,good,False,,2529.0,False,False,False,False,[],False,False,435000.0,€,chalet,"Valdemorillo pueblo, Valdemorillo",Chalet adosado en calle Navalagamella,True,True,terracedHouse,,,,,
108369710,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/d2/32/1342065977.webp,1306,59,3,875000.0,flat,sale,75.0,True,2,2,calle de Juan Bravo,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4330788,-3.6728703,False,https://www.idealista.com/inmueble/108369710/,"Exclusiva vivienda de diseño a estrenar en la codiciada calle Juan Bravo Ubicada en una de las zonas más distinguidas del barrio de Salamanca, esta espectacular vivienda completamente reformada combina la sofisticación del estilo Japandi-Nórdico con la calidez de los materiales nobles, logrando un equilibrio perfecto entre minimalismo, confort y diseño. Con una superficie útil de 75 m², la distribución ha sido cuidadosamente pensada para maximizar la luz natural, generar sensación de amplitud y ofrecer una funcionalidad moderna y elegante. Características principales: Espacio social abierto y luminoso: salón-comedor y cocina integrados en un concepto abierto, con tres grandes ventanales que inundan la estancia de luz natural y crean un ambiente acogedor. Cocina de diseño con isla central: equipada con mobiliario a medida, la isla central funciona como barra de desayuno o punto de encuentro ideal para recibir invitados. Dormitorio principal tipo suite: incluye un amplio vestidor (walk-in closet) y baño privado con acabados de alta calidad, diseñado para el máximo confort. Segundo dormitorio versátil: perfecto como habitación infantil, de invitados o despacho para teletrabajo. Dos baños completos: modernos, funcionales y con un cuidado diseño. Ubicación privilegiada: en una planta alta de una finca tranquila, con excelente orientación que garantiza luz natural durante todo el día. Esta propiedad es ideal para quienes buscan un hogar con carácter propio, en una de las calles más emblemáticas de Madrid, y con acabados de primer nivel. Una oportunidad única para estrenar vida en Juan Bravo con diseño, estilo y calidad. Contáctanos para más información o para concertar una visita.",True,good,False,True,11667.0,True,False,False,False,[],False,False,875000.0,€,flat,"Lista, Madrid",Piso en calle de Juan Bravo,,,,,,,,
108901677,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/57/ff/1358398733.webp,,15,8,325000.0,flat,sale,60.0,True,2,1,calle de Juan Pérez Zúñiga,Madrid,Madrid,Ciudad Lineal,es,San Pascual,40.4408966,-3.6486986,False,https://www.idealista.com/inmueble/108901677/,"¡OPORTUNIDAD ÚNICA EN EL DEMANDADO BARRIO DE SAN PASCUAL! Vivienda para reformar en octava planta Descubre este piso con infinitas posibilidades ubicado en una octava planta exterior, en el corazón del consolidado barrio de San Pascual, uno de los enclaves más tranquilos y residenciales de Madrid. Cuenta con salón, cocina con un espacio para office, 3 dormitorios, 1 baño completo. Esta propiedad se presenta como la ocasión perfecta para crear el hogar que siempre has soñado o realizar una inversión segura y con potencial. La vivienda necesita reforma, lo que te permitirá diseñarla completamente a tu gusto. Su altura y orientación garantizan una excelente luminosidad natural durante todo el día. Ubicada en una zona con amplias zonas ajardinadas, ideal para pasear o disfrutar al aire libre, y perfectamente conectada mediante transporte público, esta propiedad se encuentra cercana a la calle Arturo Soria, una de las arterias más emblemáticas de la ciudad, repleta de servicios, comercios, colegios y todo lo necesario para la vida diaria. No dejes pasar esta ocasión única de adquirir una vivienda con grandes posibilidades en una de las zonas más consolidadas y bien valoradas de Madrid. Honorarios NO incluido en el precio: 3% más IVA. ¡Llama ahora para concretar tu visita sin compromiso!",False,renew,False,True,5417.0,True,False,False,False,[],False,False,325000.0,€,flat,"San Pascual, Madrid",Piso en calle de Juan Pérez Zúñiga,,,,,,,,
105197985,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/69/ff/1244827345.webp,PHSKY09,25,9,1700000.0,penthouse,sale,284.0,True,3,3,"paseo de la Dirección, 161",Madrid,Madrid,Tetuán,es,Valdeacederas,40.4679358,-3.7086742,True,https://www.idealista.com/inmueble/105197985/,"PRIVEE Homes presenta este exclusivo ático en el corazón de Madrid, donde el lujo se encuentra con la elegancia en cada detalle.  Este espectacular ático cuenta con unos 284 m² ofrece unas vistas incomparables al cielo de madrid, combinando la tranquilidad de la naturaleza con la vitalidad de la ciudad. Este inmueble cuenta ademas on una amplia terraza de 61m2 y vistas 360º a la ciudad de Madrid, ¡las mejores de la ciudad! El diseño de este ático es obra del afamado estudio de arquitectura Touza, lo que garantiza una calidad y estilo únicos.  Al entrar en la vivienda, encontramos un hall de entrada amplio que nos lleva a un salón luminoso y confortable con un amplio ventanal. La cocina está integrada en el salón, lo que permite una mayor luminosidad y amplitud en el espacio. La suite principal cuenta con baño en suite y 2 armarios empotrados, mientras que los otros 2 dormitorios dobles también tienen armarios empotrados. Además, hay 1 baño completo con bañera y lavabo sobre encimera y 1 baño de visita.  Ademas cuenta con 2 plazas de parking y trastero Este ático cuenta con un sistema de climatización por aerotermia, agua caliente individual por gas, paneles solares en cubierta, suelo radiante y una puerta de entrada blindada con cerradura de seguridad. Además, el edificio cuenta con vistas panorámicas únicas, 8 ascensores, 2 piscinas comunitarias (una en la azotea y otra en planta 0), gimnasio, spa, sauna, gastroteca, jardín comunitario, huerto urbano, conserjería 24 horas, videoportero de última generación, zona de coworking y salón de reuniones.  La ubicación de este ático es inmejorable, cerca del Paseo de la Castellana, IE, 4 Torres Business Área, Azca, estación de Chamartín y accesos a la M-30. Este inmueble es un icono de referencia de un modelo de barrio en crecimiento. Para más información y gestionar una visita puede ponerse en contacto con nosotros, estaremos encantados de poder atenderle.",True,good,False,True,5986.0,True,False,False,False,[],False,False,1700000.0,€,flat,"Valdeacederas, Madrid","Ático en paseo de la Dirección, 161",True,True,penthouse,,,,,
106019127,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/d8/46/1292438376.webp,0015-07193,39,ss,560000.0,flat,sale,77.0,True,3,1,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4264521,-3.6777006,False,https://www.idealista.com/inmueble/106019127/,"¡Descubre tu nuevo hogar en el prestigioso barrio de Salamanca!  Esta céntrica vivienda en semisótano exterior, ubicada en la emblemática calle General Pardiñas, en el tramo entre Goya y Hermosilla, te ofrece la oportunidad de vivir rodeado de la elegancia y comodidad que pocas zonas de Madrid pueden brindar.  Se encuentra en una finca clásica que cuenta con portero físico y está situada a un paso de las mejores tiendas, restaurantes, cafeterías y teatros, además del famoso centro comercial El Corte Inglés. Con 77 m² construidos y 56 m² útiles, esta vivienda se distribuye en un salón con dos ventanas altas que dan luz exterior a la estancia, una cocina independiente, un cuarto de baño y tres dormitorios. La cocina, el baño y una de las habitaciones disponen de ventana a un patio interior, garantizando tranquilidad y privacidad.  El edificio tiene toma de gas natural, por lo que se puede instalar en la vivienda. Aprovecha la proximidad al parque del Retiro para pasear o practicar deporte al aire libre. Todos los servicios esenciales están a tu alcance: supermercados, mercado, centro de salud, farmacias y colegios.  Además, disfrutarás de una excelente comunicación gracias a las líneas de metro 4 y 2, con las estaciones de Goya, Velázquez y Príncipe de Vergara, así como diversas líneas de autobús y la cercanía al intercambiador de Felipe II. No pierdas la oportunidad de vivir en una de las mejores zonas de Madrid. ¡Llámanos y agenda tu visita!",False,renew,False,True,7273.0,True,False,False,False,[],False,False,560000.0,€,flat,"Goya, Madrid",Piso en calle del General Pardiñas,,,,,,,,
108840582,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/66/3f/1356661501.webp,IS672,16,bj,220000.0,flat,sale,60.0,True,1,1,calle Aurelio González de Gregorio,Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.4934178,-3.6872443,False,https://www.idealista.com/inmueble/108840582/,"Estupendo apartamento exteriorCON TRASTERO, reformado, para entrar a vivir. Moderno, con cocina americana, en amplio salón exterior, muy luminoso. El dormitorio es independiente, con un gran vestidor. La cocina es moderna y se encuentra equipada con todos los electrodomésticos. El suelo es de gres tipo mármol, las ventanas de pvc, el cuarto de baño es completo con bañera. La calefacción es de gas natural individual, con caldera nueva. La zona está totalmente consolidada, con todo tipo de servicios alrededor, hay gran cantidad de comercios, supermercados, tiendas y grandes superficies como el supermercado DIA y Mercadona. Así como colegios, centro médico, y demás servicios, farmacias,.. . En cuanto a comunicaciones, se encuentra al lado de la calle principal de Fuencarral, la Avenida de Nuestra Señora de Valverde. Tienes el bus 66 y el N24, que tienen conexión directa con Cuatro Caminos. Así como salidas a la M30, M607 y Plaza de Castilla. Atiendo whatsapp al Isabel SEIS DOS NUEVE DIECISEIS TREINTA Y UNO VEINTE.",False,good,False,True,3667.0,True,False,False,False,[],False,False,220000.0,€,flat,"Tres Olivos - Valverde, Madrid",Piso en calle Aurelio González de Gregorio,,,,,,,,
