propertyCode,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,exterior,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,thumbnail,highlight.groupDescription
98429794,Retiro,0,6,7900000.0,penthouse,sale,407.0,5,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4199859,-3.6888819,False,https://www.idealista.com/inmueble/98429794/,"Ático único de 407m2, exclusiva ubicación, muy buena terraza de 50m2, vistas únicas. Se ubica en un enclave de los más singulares, exclusivos y cotizados, al lado de El Retiro / zona Felipe IV. Edificio regio, muy señorial. 6ª Planta. Techos altos.",False,renew,False,True,19410.0,False,False,False,False,[],False,False,7900000.0,€,flat,"Recoletos, Madrid",Ático,True,,,,,,penthouse,,
106748191,,0,2,1250000.0,flat,sale,130.0,2,2,plaza de Olavide,Madrid,Madrid,Chamberí,es,Trafalgar,40.4342902,-3.6998819,False,https://www.idealista.com/inmueble/106748191/,Plaza Olavide. 4 balcones a Trafalgar. 130m2. Altura de techos 3M. Para Reforma total.,False,renew,False,True,9615.0,False,False,False,False,[],False,False,1250000.0,€,flat,"Trafalgar, Madrid",Piso en plaza de Olavide,True,,,,,,,,
108896714,,0,10,785000.0,flat,sale,100.0,3,2,Barrio Cuzco-Castillejos,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4641002,-3.6928962,False,https://www.idealista.com/inmueble/108896714/,"vivienda totalmente reformada cocina americana salón tres ambientes, cerca de todos los servicios y transportes, la reforma se está realizando actualmente por eso no se han echo fotos.",False,good,False,True,7850.0,False,False,False,False,[],False,False,785000.0,€,flat,"Cuzco-Castillejos, Madrid",Piso,True,,,,,,,,
108785397,,0,,5300000.0,chalet,sale,550.0,4,4,Barrio Valdemarín,Madrid,Madrid,Moncloa,es,Valdemarín,40.4632771,-3.7670603,False,https://www.idealista.com/inmueble/108785397/,"Excepcional y exclusiva vivienda ideal para familias que deseen vivir en Valdemarín en una casa amplia y cerca de todas las prestaciones educativas, de servicios y de ocio. Para ampliar información, por favor, contacte con nosotros.",False,good,False,,9636.0,False,False,False,False,[],False,False,5300000.0,€,chalet,"Valdemarín, Madrid",Casa independiente,,,,,,,independantHouse,,
105928441,,0,,280000.0,countryHouse,sale,152.0,0,0,calle de Serranillos,Madrid,Fuenlabrada,Centro,es,,40.2798622,-3.7967679,False,https://www.idealista.com/inmueble/105928441/,"ARALIA HOMES vende casa para su demolición y posterior construcción de vivienda en altura, el inmueble se encuentra en el centro de Fuenlabrada, cerca de todos los servicios, transporte públicos, centros médicos y colegios. Tiene una edificabilidad de como máximo 9 viviendas.  Consulta cualquier información.",False,renew,False,,1842.0,False,False,False,False,[],False,False,280000.0,€,countryHouse,"Centro, Fuenlabrada",Casa de pueblo en calle de Serranillos,,,,,,,casaDePueblo,,
106469544,VI-000-030-664-785,0,bj,144000.0,flat,sale,50.0,2,1,Barrio Marroquina,Madrid,Madrid,Moratalaz,es,Marroquina,40.4127388,-3.6507987,False,https://www.idealista.com/inmueble/106469544/,"Cómodo piso en Madrid, perfecto para parejas. El inmueble dispone de una superficie de 50 m² construidos distribuidos en dos habitaciones, salón-comedor, cocina y un aseo. Se encuentra en el centro de Madrid, muy cerca de C. de Alcalá en el barrio de Sol, a escasos minutos de Plaza Mayor, Mercado de San Miguel y Royal Palace of Madrid. En sus alrededores encontramos la Universidad Oberta de Catalunya, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús y la estación de metro Sol.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,2880.0,False,False,False,False,[],False,False,144000.0,€,flat,"Marroquina, Madrid",Piso,,,,,,,,,
108757206,BBGG-2025,0,4,1030000.0,flat,sale,150.0,4,2,Barrio Argüelles,Madrid,Madrid,Moncloa,es,Argüelles,40.4335303,-3.7212755,False,https://www.idealista.com/inmueble/108757206/,"Al lado de una de las calles más importantes de Madrid, la calle Princesa, cerca de las Universidades, carretera de la Coruña, los mejores centros comerciales, todo tipo de restaurantes, seguridad día y noche. Un piso muy grande, techos altos, habitaciones amplias, buena distribución sin muros de carga, muy bien cuidada.",False,good,False,True,6867.0,False,False,False,False,[],False,False,1030000.0,€,flat,"Argüelles, Madrid",Piso,True,,,,,,,,
106518805,,0,4,7500000.0,flat,sale,450.0,4,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4209874,-3.6862262,False,https://www.idealista.com/inmueble/106518805/,Espectacular piso en pleno barrio de recoletos con una de las vistas más especiales de toda la ciudad. Se trata de una planta alta de 450m2 con 9 balcones a la calle. Para más información llamar al teléfono Begoña Sánchez.,False,good,False,True,16667.0,False,False,False,False,[],False,False,7500000.0,€,flat,"Recoletos, Madrid",Piso,True,,,,,,,,
108499975,,0,9,8500000.0,penthouse,sale,475.0,6,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4273862,-3.6811595,False,https://www.idealista.com/inmueble/108499975/,"Magnífico ático con gran terraza de más de 100 m2 para reformar en la mejor zona de Recoletos. Se encuentra en un edificio haciendo esquina, lo que le otorga una gran visibilidad y luminosidad. Dispone de plaza de garaje y trastero en el propio edificio. Posibilidad de segregar en dos viviendas.",False,renew,False,True,17895.0,False,False,False,False,[],False,False,8500000.0,€,flat,"Recoletos, Madrid",Ático,True,,,,True,True,penthouse,,
106373376,,0,1,890000.0,flat,sale,122.0,3,2,Barrio Imperial,Madrid,Madrid,Arganzuela,es,Imperial,40.4122662,-3.7214246,False,https://www.idealista.com/inmueble/106373376/,"MAITEA Inmobiliaria vende PISO en Paseo Virgen del Puerto, MADRID RIO. Un fabuloso piso de 122 m2 REFORMADO INTEGRAMENTE en una de las mejores zonas de Madrid. Consta de 3 dormitorios y dos baños. ¡EL PRECIO ES NEGOCIABLE!",False,good,False,True,7295.0,False,False,False,False,[],False,False,890000.0,€,flat,"Imperial, Madrid",Piso,True,,,,,,,,
