propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,exterior,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108304063,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/09/0e/1340107032.webp,CS-000-038-779-193,2,,147000.0,chalet,sale,127.0,3,2,Eurovillas,Madrid,Eurovillas,,es,,40.35984,-3.2695045,False,https://www.idealista.com/inmueble/108304063/,"Amplio Casa en Nuevo Baztán, Madrid, idóneo para parejas. Este espacioso Casa cuenta con una superficie de 127 m² construidos distribuidos en salón-comedor, cocina. Está situada en el corazón de Nuevo Baztán al lado de Plaza Mayor, Mercado de San Miguel y Royal Palace of Madrid, en sus alrededores encontramos el Hospital San Francisco de Asís, la Universidad Oberta de Catalunya, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús, la estación de metro Sol y la estación de tren Sol. Cuenta con fácil acceso a C. Alcalá.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1157.0,False,False,False,False,[],False,False,147000.0,€,chalet,,Eurovillas,Chalet,,,,,,,
108388767,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/0e/64/1342631674.webp,CA-000-030-659-275,2,,181500.0,chalet,sale,96.0,3,2,El Mirador,Madrid,Colmenar Viejo,El Mirador,es,,40.6621901,-3.7765193,False,https://www.idealista.com/inmueble/108388767/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 09/2026.  Casa en Colmenar Viejo, Madrid, idóneo para parejas. El inmueble dispone de una superficie de 96 m² construidos distribuidos en salón-comedor, cocina. Localizada en el corazón de Colmenar Viejo, en sus alrededores encontramos la Escuela Infantil Bilingüe El Patito Feo Nursery, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y varias paradas de autobús. Cuenta con fácil acceso a M-607.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,1891.0,False,False,False,False,[],False,False,181500.0,€,chalet,semidetachedHouse,"El Mirador, Colmenar Viejo",Chalet pareado,,,,,,,
108861108,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/85/4b/f8/1357275115.webp,CAN0000185629,1,3,299000.0,studio,sale,99.0,0,2,calle de Marcelo Usera,Madrid,Madrid,Usera,es,Moscardó,40.3869175,-3.7078258,False,https://www.idealista.com/inmueble/108861108/,"Piso en venta ubicado en calle marcelo usera, madrid. Superficie de 101 m2.",False,good,False,3020.0,False,False,False,False,[],False,False,299000.0,€,flat,studio,"Moscardó, Madrid",Estudio en calle de Marcelo Usera,,,,,,,
107885596,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/cf/84/1327271074.webp,VI-000-030-686-398,2,bj,289000.0,studio,sale,50.0,0,1,Barrio Trafalgar,Madrid,Madrid,Chamberí,es,Trafalgar,40.4327029,-3.7039171,False,https://www.idealista.com/inmueble/107885596/,"Cómodo piso en Madrid, idóneo para parejas. La vivienda consta de 49 m² construidos distribuidos en salón-comedor, cocina. Está ubicado en el corazón de Madrid, muy cerca de Calle de Alberto Aguilera en el barrio de Trafalgar. En sus alrededores encontramos el HM Hospital Universitario Madrid, la Facultad de Ciencias de la Documentacion, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos, varias paradas de autobús y la estación de metro Quevedo. Se encuentra a 25 minutos andando del centro de la localidad.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,5780.0,False,False,False,False,[],False,False,289000.0,€,flat,studio,"Trafalgar, Madrid",Estudio,,,,,,,
107662144,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/6b/9e/1319067492.webp,52907638,3,bj,211000.0,flat,sale,99.0,3,2,Barrio Orcasitas,Madrid,Madrid,Usera,es,Orcasitas,40.3685251,-3.7123202,False,https://www.idealista.com/inmueble/107662144/,"Oportunidad de inversión: inmueble alquilado. Renta actual: 300 €/mes. Fecha de fin de contrato: Vencido.  Os presentamos este piso ubicado en Madrid. La vivienda se distribuye en tres habitaciones, salón-comedor, cocina y dos baños. Situado en los bajos del edificio. Cuenta con todos los servicios necesarios a su alrededor, como escuelas, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de tren Orcasitas. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a M-40. No te pierdas esta oportunidad de encontrar la casa perfecta para ti.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,2131.0,False,False,False,False,[],False,False,211000.0,€,flat,,"Orcasitas, Madrid",Piso,,,,,,,
108485499,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/05/b1/1346328389.webp,CA-000-030-687-112,2,,284500.0,chalet,sale,72.0,3,1,Barrio Simancas,Madrid,Madrid,San Blas,es,Simancas,40.4326768,-3.6259188,False,https://www.idealista.com/inmueble/108485499/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 03/2026.  Casa en Madrid, idóneo para familias. El inmueble consta de 72 m² construidos distribuidos en tres habitaciones, salón-comedor, cocina. Cuenta con todos los servicios necesarios a su alrededor, como la Clínica Universitaria Odontológica Universidad Alfonso X el Sabio, supermercados, bancos, bibliotecas, farmacias, oficinas de correos y la estación de metro Simancas. Cuenta con fácil acceso a M-40.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,3951.0,False,False,False,False,[],False,False,284500.0,€,chalet,semidetachedHouse,"Simancas, Madrid",Chalet pareado,,,,,,,
107562472,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/47/93/1316249924.webp,51515616,2,4,224250.0,flat,sale,91.0,1,1,Centro,Madrid,Fuenlabrada,Centro,es,,40.2831464,-3.7909608,False,https://www.idealista.com/inmueble/107562472/,"Oportunidad de inversión: inmueble alquilado. Renta actual: 656.4 €/mes. Fecha de fin de contrato: 05/2026.  Piso en venta ubicado en CALLE HARINA, FUENLABRADA, Madrid. Dispone de una superficie de 91 m2 1 habitación  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,2464.0,False,False,False,False,[],False,False,224250.0,€,flat,,"Centro, Fuenlabrada",Piso,,,,,,,
108533052,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/8f/be/1347711879.webp,,4,8,4900000.0,flat,sale,319.0,5,3,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4209493,-3.6785284,False,https://www.idealista.com/inmueble/108533052/,"¡Exclusiva vivienda en el corazón de Madrid! Se vende espectacular piso de 300 m² con impresionantes vistas al Parque del Retiro. Luminoso, elegante y con amplios espacios, esta propiedad única combina lujo, ubicación privilegiada y vistas incomparables. Ideal para quienes buscan vivir en una de las zonas más codiciadas de la ciudad.",False,renew,False,15361.0,False,False,False,False,[],False,False,4900000.0,€,flat,,"Goya, Madrid",Piso,True,True,True,True,,,
108947297,,OKPMADRID342,0,,160000.0,flat,sale,77.0,2,1,La Avanzada - La Cueva,Madrid,Fuenlabrada,La Avanzada - La Cueva,es,,40.2945381,-3.7803037,False,https://www.idealista.com/inmueble/108947297/,"Oportunidad de inversión: inmueble sin posesión. Imposibilidad de visita interior, no se puede financiar la compra de este inmueble. Advertimos que la información contenida puede no estar actualizada, solicita más información sobre el activo sin compromiso. Investment opportunity: property without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation [IW].",False,good,False,2078.0,False,False,False,False,[],False,False,160000.0,€,flat,,"La Avanzada - La Cueva, Fuenlabrada",Piso,True,False,,,,,
106355141,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4f/1d/d5/1280326874.webp,39372150,2,3,167900.0,flat,sale,75.0,3,1,Barrio San Diego,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.392382,-3.664642,False,https://www.idealista.com/inmueble/106355141/,"Oportunidad de inversión: inmueble alquilado. Renta actual: 812.53 €/mes. Fecha de fin de contrato: 03/2026.  Piso en venta ubicado en CALLE ERILLAS DISTRITO MUNICIPAL PUENTE DE VALLECAS, MADRID, Madrid. Dispone de una superficie de 75 m2 3 habitaciones  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,2239.0,False,False,False,False,[],False,False,167900.0,€,flat,,"San Diego, Madrid",Piso,,,,,,,
108861132,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/ca/3c/1357275339.webp,CAN0000185627,1,3,300000.0,studio,sale,98.0,0,2,calle de Marcelo Usera,Madrid,Madrid,Usera,es,Moscardó,40.3867596,-3.7077517,False,https://www.idealista.com/inmueble/108861132/,"¡Oportunidad para comprar tu Piso! Situado en CALLE MARCELO USERA MADRID, cuenta de una superficie de 99 m2.",False,good,False,3061.0,False,False,False,False,[],False,False,300000.0,€,flat,studio,"Moscardó, Madrid",Estudio en calle de Marcelo Usera,,,,,,,
108366925,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/dc/9c/1341987298.webp,,1,1,139000.0,studio,sale,47.0,0,1,Barrio Parque Ondarreta - Urtinsa,Madrid,Alcorcón,Parque Ondarreta - Urtinsa,es,Parque Ondarreta - Urtinsa,40.3428648,-3.8157853,False,https://www.idealista.com/inmueble/108366925/,"Loft para vivir, se compra como oficina, con reforma a estrenar. Estudio, en edificio moderno, con plazas de garaje disponibles desde 10.000€ o en alquiler a 50€/mes. Disponemos de otras tipologías y precios. Para más información contactar con la oficina.",False,good,False,2957.0,False,False,False,False,[],False,False,139000.0,€,flat,studio,"Parque Ondarreta - Urtinsa, Alcorcón",Estudio,True,True,,,,,
108861128,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/b7/21/1357275331.webp,CAN0000185623,1,2,262500.0,studio,sale,92.0,0,2,calle de Marcelo Usera,Madrid,Madrid,Usera,es,Moscardó,40.386252,-3.7087691,False,https://www.idealista.com/inmueble/108861128/,"Gran oferta de Piso en MADRID. Situado en CALLE MARCELO USERA, dispone de una superficie de 90 m2.",False,good,False,2853.0,False,False,False,False,[],False,False,262500.0,€,flat,studio,"Moscardó, Madrid",Estudio en calle de Marcelo Usera,,,,,,,
108367267,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/0a/e6/1341992602.webp,,1,1,155000.0,studio,sale,47.0,0,1,Barrio Parque Ondarreta - Urtinsa,Madrid,Alcorcón,Parque Ondarreta - Urtinsa,es,Parque Ondarreta - Urtinsa,40.3411888,-3.8133111,False,https://www.idealista.com/inmueble/108367267/,"Loft para vivir, se compra como oficina, con reforma a estrenar. Estudio, con posibilidad de un dormitorio, en edificio moderno. Plazas de garaje disponibles desde 10.000€ o en alquiler a 50€/mes. Disponemos de otras tipologías y precios. Para más información contactar con la oficina.",False,good,False,3298.0,False,False,False,False,[],False,False,155000.0,€,flat,studio,"Parque Ondarreta - Urtinsa, Alcorcón",Estudio,True,True,,,,,
108861126,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/f3/b1/1357275277.webp,CAN0000185635,1,,251500.0,studio,sale,68.0,0,1,calle de Marcelo Usera,Madrid,Madrid,Usera,es,Moscardó,40.3873754,-3.7090487,False,https://www.idealista.com/inmueble/108861126/,"Gran oferta de Piso en MADRID. Situado en CALLE MARCELO USERA, dispone de una superficie de 81 m2.",False,good,False,3699.0,False,False,False,False,[],False,False,251500.0,€,flat,studio,"Moscardó, Madrid",Estudio en calle de Marcelo Usera,,,,,,,
