link,title,coment,price,location,num_photos,property_type,condition,num_rooms,num_bedrooms,num_baths,floor_number,garage,total_surf,living_surf,usable_area,floor_type,construc_year,energy_cert_avail,heating,others
https://www.engelvoelkers.com/es/es/exposes/0b17853c-95d9-5a95-933c-1ada85765266,Elegante apartamento en Valdemarín,,735000,"Moncloa - Aravaca, Madrid, Comunidad de Madrid, España",15,Piso,Necesita renovación,2,2,2,1,2,136,78,78,,1996,Sí,"Calefacción de gas, Bomba de calor",set()
https://www.engelvoelkers.com/es/es/exposes/10946f19-21e2-5d52-bcc7-126d1aa1b47c,Elegante finca nueva a las afueras de Santanyí,,2675000,"Santañy, Islas Baleares, España",16,Casa,Top,5,4,4,0,0,270,0,0,,2022,En progreso,"Bomba de calor, Calefacción por suelo radiante","{'Chimenea', 'Vista abierta', 'Aire acondicionado', 'Jardín', 'Vista verde', 'Piscina', 'Aseo de invitados'}"
https://www.engelvoelkers.com/es/es/exposes/7eb16a0a-2ff1-5504-b044-9cb4ccee7c56,"Excepcional propiedad ""Casa Ullastre""",,41000000,"Andratx, Islas Baleares, España",43,Villa,,0,13,12,0,1,1747,1333,0,"Piedra, Suelo de madera",1997,Sí,"Calefacción de gas, Bomba de calor, Calefacción por suelo radiante","{'Gimnasio', 'Aseo de invitados', 'Amueblado', 'Chimenea', 'Casa club', 'Vista abierta', 'Aire acondicionado', 'Cocina empotrada', 'Jardín', 'Armario empotrado', 'Piscina', 'Sistema de seguridad', 'Vista al mar/lago', 'Terraza'}"
https://www.engelvoelkers.com/es/es/exposes/c2ec6d42-c1ab-5c84-994d-d36edc9d2621,Luminoso piso con vistas panorámicas 360º en Es Fortí,,990000,"El Camp d'en Serralta, Palma, Islas Baleares, España",16,Piso,Muy bueno,3,3,3,13,0,139,0,130,"Concreto, Suelo de resina epoxídica",1968,Sí,Calefacción de gas,"{'Amueblado', 'Vista abierta', 'Aire acondicionado', 'Sistema de seguridad', 'Vista a la montaña', 'Ascensor', 'Vista al mar/lago', 'Terraza'}"
https://www.engelvoelkers.com/es/es/exposes/5044c254-5889-5c71-a2fc-3ed1d4f88866,Adosado luminoso con patio privado y acceso a piscina en Rocafort,,480000,"Rocafort, Comunidad Valenciana, España",51,Adosado urbano,Buena,4,4,4,3,1,197,197,197,Mármol,1978,En progreso,Calefacción de gas,"{'Aseo de invitados', 'Aire acondicionado', 'Jardín', 'Patio', 'Sótano', 'Piscina', 'Vista verde', 'Balcón', 'Armario empotrado'}"
https://www.engelvoelkers.com/es/es/exposes/5044c254-5889-5c71-a2fc-3ed1d4f88866,Adosado luminoso con patio privado y acceso a piscina en Rocafort,,480000,"Rocafort, Comunidad Valenciana, España",51,Adosado urbano,Buena,4,4,4,3,1,197,197,197,Mármol,1978,En progreso,Calefacción de gas,"{'Aseo de invitados', 'Aire acondicionado', 'Jardín', 'Patio', 'Sótano', 'Piscina', 'Vista verde', 'Balcón', 'Armario empotrado'}"
https://www.engelvoelkers.com/es/es/exposes/a565197d-04da-5ae2-ab3f-4e9fb4a4f62f,Una declaración de estilo y sofisticación,,1695000,"Las Rozas de Madrid, Comunidad de Madrid, España",48,Casa unifamiliar,Muy bueno,5,5,6,0,4,689,368,368,Azulejos,2005,En progreso,Calefacción de gas,"{'Aseo de invitados', 'Chimenea', 'Casa club', 'Vista abierta', 'Aire acondicionado', 'Cocina empotrada', 'Jardín', 'Piscina', 'Sistema de seguridad', 'Armario empotrado', 'Terraza'}"
https://www.engelvoelkers.com/es/es/exposes/98e3f670-35db-50b9-b634-e634cf58bd96,Atico con piscina en el corazon de Rambla del Poblenou,,895000,"Sant Martí, Barcelona, Cataluña, España",38,Piso,,4,4,2,0,0,122,122,104,,2004,Sí,,"{'Parque infantil', 'Aire acondicionado', 'Cocina empotrada', 'Jardín', 'Piscina', 'Ascensor', 'Ático', 'Balcón', 'Pista de tenis'}"
https://www.engelvoelkers.com/es/es/exposes/b7ea071c-18e3-5850-aaf7-37248740d45f,"Espectacular finca de 24 Has con 3,6 Has para urbanizar y explotación de mandarinos en Dos Hermanas, Sevilla",,3320000,"Dos Hermanas, Andalucía, España",17,Casa,,8,8,7,0,0,750,0,0,,1900,En progreso,,
https://www.engelvoelkers.com/es/es/exposes/c9296a26-d7e3-53f9-8b8e-5908f7a452aa,FINCA REGIA EN EL EJE COMERCIAL DEL PUTXET,,751000,"Distrito de Sarrià-Sant Gervasi, Barcelona, Cataluña, España",37,Piso,Necesidades de rehabilitación,4,3,2,3,0,140,140,134,"Parquet, Azulejos, Suelo de madera",1947,Sí,"Calefacción descentralizada, Calefacción de gas, Calefacción a distancia","{'Aseo de invitados', 'Amueblado', 'Vista abierta', 'Sistema de seguridad', 'Ascensor', 'Accesible en silla de ruedas', 'Orientación senior', 'Armario empotrado'}"
https://www.engelvoelkers.com/es/es/exposes/22e3102a-fa16-54eb-a5f9-26b98993d263,Espectacular ático luminoso con gran terraza exclusiva en calle Cervantes,,850000,"Ciutat Vella, Barcelona, Cataluña, España",46,Ático con terraza,,2,2,2,0,0,128,128,0,Suelo de madera,1900,En progreso,,"{'Accesible en silla de ruedas', 'Ascensor', 'Vista abierta', 'Aire acondicionado', 'Jardín', 'Armario empotrado', 'Sistema de seguridad', 'Ático', 'Balcón', 'Terraza'}"
https://www.engelvoelkers.com/es/es/exposes/6f9fc10f-122f-51bf-b854-0847f6c6fe13,Precioso adosado en Cambrils - Vilafortuny,,419000,"Cambrils, Cataluña, España",38,Casa,Top,3,3,3,0,1,225,144,0,Azulejos,2005,En progreso,Bomba de calor,"{'Parque infantil', 'Vista abierta', 'Aire acondicionado', 'Jardín', 'Piscina', 'Sistema de seguridad', 'Terraza'}"
https://www.engelvoelkers.com/es/es/exposes/c2a075cd-2331-52be-9f72-9ebb001624fc,Inversión con alma en el corazón del Aljarafe,,600000,"Valencina de la Concepción, Andalucía, España",6,Casa unifamiliar,Necesidades de rehabilitación,4,4,2,1,0,260,260,0,,1975,Sí,,"{'Pista de tenis', 'Piscina'}"
