propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108830058,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/da/20/1356397922.webp,696e9617-ed5e-4e02-9a51-72f80f3c60b6,57,en,1280000.0,studio,sale,431.0,True,0,0,calle de la Constancia,Madrid,Madrid,Chamartín,es,Prosperidad,40.4431945,-3.6707562,False,https://www.idealista.com/inmueble/108830058/,"Descubre este amplio piso de 431 m² ubicado en el vibrante barrio de Prosperidad, Chamartín, Madrid. Perfecto para quienes buscan un proyecto personal, esta propiedad necesita reforma, ofreciendo la oportunidad de diseñar un hogar a medida. Situado en la Calle Constancia, disfrutarás de una ubicación tranquila pero bien conectada, a pocos pasos de zonas comerciales, colegios, centros deportivos y múltiples opciones de transporte público. Un enclave privilegiado dentro de uno de los distritos más consolidados y demandados de Madrid. Sobre la fecha de construcción, este piso es un lienzo en blanco esperando tu toque personal. Una oportunidad única para invertir y vivir en una de las áreas más dinámicas de la capital. ¡No dejes pasar la ocasión de crear el espacio que siempre has soñado!",True,renew,False,True,2970.0,False,False,False,False,[],False,False,1280000.0,€,flat,studio,"Prosperidad, Madrid",Estudio en calle de la Constancia,,,,,,,
108681582,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7a/98/65/1352199904.webp,VT-2,16,,364906.0,flat,sale,132.0,True,3,2,"avenida del Mayorazgo, 80",Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3648332,-3.6197671,True,https://www.idealista.com/obra-nueva/108681582/,"¡Tu hogar te está esperando en uno de los nuevos barrios con más proyección de Madrid!  Ubicado en el nuevo desarrollo urbano de Valdecarros (Madrid), dotado de buenas conexiones por transporte público, en un entorno tranquilo, residencial y bien planificado. Un edificio de obra nueva con viviendas de 2 y 3 dormitorios, con zonas comunes, piscina, plaza de garaje y trastero incluidos. Las viviendas destacan por su diseño actual, la claridad espacial y el aprovechamiento eficiente de la superficie útil, con líneas limpias, amplios ventanales y terrazas privadas que aportan luminosidad y una sensación de amplitud que se disfruta todos los días. Como Vivienda Protegida de Precio Limitado (VPPL), representa una gran oportunidad para acceder a una vivienda moderna con condiciones ventajosas. La entrega de llaves está prevista para el 2029. Este moderno edificio residencial es la opción ideal para las personas que buscan su primera vivienda: funcional, cómoda, bien ubicada y con una excelente relación calidad-precio. Se situará a pocos minutos a pie de la estación de metro de La Gavia, este proyecto te conecta directamente con el corazón de la ciudad, sin renunciar a la tranquilidad de un entorno residencial en desarrollo. Este nuevo barrio se desarrolla con una visión urbana y sostenible: rodeado de zonas verdes, parques, comercios de proximidad y todos los servicios esenciales como centros educativos, instalaciones deportivas y supermercados. Aquí tendrás todo lo que necesitas a tu alcance, en un entorno pensado para hacerte la vida más fácil.",False,newdevelopment,True,True,2764.0,True,False,False,False,[],False,False,364906.0,€,flat,,"Ensanche de Vallecas - La Gavia, Madrid","Piso en avenida del Mayorazgo, 80",False,True,True,,,,
109205670,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/2a/82/1367445219.webp,WGI01016,37,3,500000.0,flat,sale,109.0,True,3,2,calle Carmen Amaya,Madrid,Madrid,Moratalaz,es,Media Legua,40.4128774,-3.655823,False,https://www.idealista.com/inmueble/109205670/,"La propiedad cuenta con 109 M² CONSTRUIDOS, ubicada en una TERCERA PLANTA CON ASCENSOR, en un edificio con VIDEOPORTERO y muy bien cuidado. La vivienda se encuentra en BUEN ESTADO PARA ENTRAR A VIVIR, ofreciendo comodidad, amplitud y una excelente ubicación en una de las zonas más demandadas de Moratalaz. Dispone de 3 HABITACIONES, 1 BAÑO COMPLETO y 1 ASEO, un salón-comedor muy luminoso con AIRE ACONDICIONADO y una COCINA INDEPENDIENTE totalmente funcional. El suelo es de TARIMA en el salón y dormitorios, mientras que en la cocina y baños cuenta con GRES. Las VENTANAS ABATIBLES proporcionan un buen aislamiento y las PAREDES mantienen el gotelé original. Además, la vivienda incluye una PLAZA DE GARAJE, lo que supone un gran valor añadido en la zona. Los gastos de comunidad ascienden a 117 €/MES más 37 €/MES correspondientes al garaje. La ubicación es INMEJORABLE, rodeada de todos los servicios: supermercados, colegios, centros médicos, zonas verdes, restaurantes y comercios. Está a menos de 5 minutos caminando del METRO Línea 9 y cuenta con varias líneas de AUTOBÚS cercanas que conectan rápidamente con el centro de Madrid. Además, tiene fácil acceso a la M-30 y a la A-3. En los alrededores se encuentran espacios de referencia como el PARQUE DE LA CUÑA VERDE DE O’DONNELL, el CENTRO DEPORTIVO MUNICIPAL MORATALAZ y a 10 minutos caminando del HIPERMERCADO ALCAMPO En definitiva, una propiedad perfecta tanto para FAMILIAS que buscan amplitud y buena comunicación, como para INVERSORES interesados en una zona consolidada con alta demanda. ¡AGENDA TU VISITA HOY MISMO! Nuestro equipo comercial te acompañará en todo el proceso de compra, incluyendo ASESORAMIENTO FINANCIERO Y LEGAL. ¡POSIBILIDAD DE FINANCIACIÓN HASTA EL 100% SEGÚN PERFIL!",True,good,False,True,4587.0,True,False,False,False,[],False,False,500000.0,€,flat,,"Media Legua, Madrid",Piso en calle Carmen Amaya,,True,True,,,,
105360070,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/f7/3f/1245728349.webp,P3-4ºF,11,4,228791.0,flat,sale,106.0,True,3,2,calle Los Cerros s/n,Madrid,Madrid,Vicálvaro,es,Los Cerros,40.40734,-3.53571,True,https://www.idealista.com/obra-nueva/105360070/,"SOLAMENTE DISPONIBLES VIVIENDAS PARA PERSONAS CON MOVILIDAD REDUCIDA. ¡NUEVA OPORTUNIDAD DE VIVIENDA PROTEGIDA EN MADRID! La Cooperativa tiene suscrito un contrato privado de compraventa de la parcela VPPB/A-OC-2D del proyecto de reparcelación de Los Cerros, donde se desarrollará el proyecto. Viviendas con un precio asequible en LOS CERROS, nuevo desarrollo al lado de El Cañaveral! Te presentamos Residencial Meissa, un proyecto de Vivienda Protegida de Precio Básico, 185 viviendas de 2 y 3 dormitorios con unas estupendas zonas comunes.  Ubicación Los Cerros es uno de los cinco barrios que componen los nuevos desarrollos del sureste de Madrid. Este nuevo ámbito está situado en la parte norte de estos desarrollos, junto a El Cañaveral y los municipios de Coslada y San Fernando  Es una zona muy bien comunicada por la M-50, R-3 y M-45. Además, está planteado el desdoblamiento de la Línea 7 de Metro a partir de la estación de Ascao y con un ramal hacia Los Cerros-Ensanche de San Fernando y la ejecución de intercambiador modal.  Sostenibilidad La principal diferencia con otro desarrollo urbanístico es que tiene una menor ocupación del suelo para las edificaciones, solo el 12%, lo que lo convierte en un PROYECTO SOSTENIBLE Y VOLCADO HACIA LA NATURALEZA.  Será EL BARRIO MÁS VERDE DE MADRID que formará parte del Bosque Metropolitano, ese gran cinturón verde que el ayuntamiento de la capital planea construir bordeando la ciudad.  Se van a tomar todas las medidas necesarias para poder optar a una alta calificación energética.  Viviendas Una promoción de viviendas VPPB de 2 y 3 dormitorios en urbanización cerrada con plaza de garaje y trastero incluidos en el precio.  Desecamos el diseño moderno y funcional, cada vivienda ha sido cuidadosamente diseñada para ofrecer espacios cómodos y luminosos, maximizando el aprovechamiento de cada metro cuadrado. Sostenibilidad, diseño y calidad son elementos principales en Residencial Meissa.  Para los momentos de ocio, Meissa dispone de una estupenda piscina, zonas verdes, área infantil y local comunitario para que puedas disfrutar de tu tiempo libre sin salir de casa.  Precio y calidad se unen en este proyecto destinado a personas que quieran comprar su primera vivienda.",False,newdevelopment,True,True,2158.0,True,False,False,False,[],False,False,228791.0,€,flat,,"Los Cerros, Madrid",Piso en calle Los Cerros s/n,False,True,True,,,,
106145229,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/d5/e3/1276232365.webp,3372,21,5,1450000.0,flat,sale,126.0,True,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4287862,-3.6774486,False,https://www.idealista.com/inmueble/106145229/,"Exclusiva vivienda en el prestigioso barrio de Salamanca, ideal para quienes buscan lujo, estilo y confort. Los 126 m² están distribuidos de manera eficiente, garantizando espacios amplios y bien iluminados. Esta elegante propiedad cuenta con 3 amplios y luminosos dormitorios, diseñados para proporcionar la máxima comodidad y privacidad. Cada habitación destaca por su diseño moderno y su excelente distribución de espacios. Dispone de 3 modernos baños, con acabados de alta calidad que incluyen materiales nobles y detalles que realzan la elegancia de cada espacio. Se vende completamente amueblada, con mobiliario de diseño exclusivo y detalles decorativos cuidadosamente seleccionados, que crean un ambiente sofisticado y acogedor en cada rincón.  La vivienda ha sido decorada con un gusto impecable, utilizando materiales de primera calidad y una paleta de colores que crea un ambiente acogedor y sofisticado. Ubicación Premium, rodeado de boutiques de lujo, restaurantes de alta cocina y todas las comodidades que el barrio de Salamanca ofrece. Además, la excelente conexión de transporte te permitirá moverte por la ciudad con total facilidad. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,True,11508.0,True,False,False,False,[],False,False,1450000.0,€,flat,,"Lista, Madrid",Piso,,,,,,,
109169104,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/3c/fa/1366322579.webp,,27,3,860000.0,flat,sale,134.0,True,4,2,calle de Mesena,Madrid,Madrid,Hortaleza,es,Apóstol Santiago,40.4674933,-3.6629553,False,https://www.idealista.com/inmueble/109169104/,"Sotomora Real Estate vende esta magnífica vivienda de 134 m², ubicada en la calle Mesena, una de las zonas residenciales más consolidadas y demandadas de Madrid. La propiedad cuenta con 4 dormitorios, 2 baños completos, terraza, plaza de garaje y trastero, lo que la convierte en una oportunidad única en el mercado actual. El salón-comedor, amplio y muy luminoso gracias a sus grandes ventanales, se abre directamente a una terraza de generosas dimensiones, ideal para disfrutar del aire libre. La cocina independiente, con zona de office, resulta cómoda y funcional para el día a día. Los 4 dormitorios destacan por su amplitud y luz natural, ofreciendo múltiples posibilidades de uso: habitaciones familiares, despacho de teletrabajo o espacio para invitados. La vivienda dispone de aire acondicionado en tres habitaciones y calefacción central por radiadores, incluida en la cuota de comunidad. La ubicación es inmejorable: un entorno residencial tranquilo y seguro, con una amplia oferta de comercios, servicios, colegios y restaurantes en las inmediaciones, además de excelentes comunicaciones con rápido acceso a la M-30, el aeropuerto, metro y autobuses. Un inmueble con gran potencial, tanto para entrar a vivir como para quienes deseen realizar una reforma personalizada.",False,good,False,True,6418.0,True,False,False,False,[],False,False,860000.0,€,flat,,"Apóstol Santiago, Madrid",Piso en calle de Mesena,,True,True,,,,
108497483,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/50/d1/df/1347002979.webp,4b494979-9d53-4da5-9e1b-51300d32ab36,24,4,225000.0,flat,sale,44.0,True,1,1,avenida de los Apóstoles,Madrid,Madrid,Latina,es,Puerta del Ángel,40.4048075,-3.7385893,False,https://www.idealista.com/inmueble/108497483/,"Funcional y bien distribuida vivienda de 44 m² ubicada en el dinámico barrio de Puerta del Ángel, en el distrito de Latina, Madrid. Ideal para personas solas, parejas o inversores, esta propiedad destaca por su comodidad y excelente aprovechamiento del espacio. Cuenta con un dormitorio acogedor, un baño completo en buen estado y una cocina totalmente equipada, lista para ser utilizada desde el primer día. La vivienda se encuentra en buen estado general, lo que permite entrar a vivir sin necesidad de reformas. Entre sus comodidades, incluye aire acondicionado con bomba de calor y frío, garantizando una temperatura confortable durante todo el año. También dispone de armarios empotrados y un práctico trastero, elementos que contribuyen a mantener el orden y optimizar el espacio disponible. Ubicación Puerta del Ángel es una zona con una excelente conexión a transporte público, acceso rápido al centro de Madrid y todo tipo de servicios: supermercados, zonas verdes, comercios, centros deportivos y culturales. A pesar de su animado entorno, ofrece un ambiente residencial tranquilo, ideal para quienes valoran la cercanía a la ciudad sin renunciar al confort del hogar.",True,good,False,False,5114.0,False,True,False,False,[],False,False,225000.0,€,flat,,"Puerta del Ángel, Madrid",Piso en avenida de los Apóstoles,,,,,,,
108788054,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/24/e8/1355137593.webp,2f7d5fa9-ed5b-4ac0-83c4-622c56daa2c8,9,4,1079000.0,flat,sale,88.0,False,2,2,calle de Lope de Rueda,Madrid,Madrid,Retiro,es,Ibiza,40.4226721,-3.6784713,False,https://www.idealista.com/inmueble/108788054/,"Encantadora vivienda en Ibiza con posibilidades de reforma Descubre esta acogedora propiedad en Ibiza, ideal para quienes buscan un hogar cómodo, funcional y con potencial de personalización. Con una superficie de 88 m², se encuentra actualmente en proceso de reforma integral y se entregará completamente amueblado y equipado. Dispone de dos amplios dormitorios y dos baños, ofreciendo una distribución práctica tanto para uso personal como para inversión. Características interiores y extras El inmueble cuenta con calefacción de gas y sistema de aire acondicionado, lo que garantiza el máximo confort durante todo el año. Uno de sus espacios destacados es el balcón privado, un rincón perfecto para relajarse y desconectar. Aunque la orientación ofrece vistas interiores, el entorno es tranquilo, ideal para quienes valoran la paz sin renunciar a la cercanía de los servicios. El edificio dispone de ascensor, facilitando el acceso a la vivienda y aportando comodidad adicional. Entorno y zonas comunes La propiedad forma parte de un edificio bien mantenido, con zonas comunes que reflejan el estilo y la tranquilidad de la isla. La comunidad ofrece un ambiente residencial sereno, ideal tanto para vivir todo el año como para estancias vacacionales. Ubicación Situado en la vibrante isla de Ibiza, este inmueble se encuentra en una zona que combina la tranquilidad con la cercanía a todos los servicios esenciales. La ubicación permite disfrutar del estilo de vida mediterráneo, con fácil acceso a comercios, restaurantes, y opciones de ocio. Además, la excelente conexión con el resto de la isla lo convierte en una opción atractiva tanto para inversores como para quienes buscan una residencia principal o secundaria.",False,renew,False,True,12261.0,True,False,False,False,[],False,False,1079000.0,€,flat,,"Ibiza, Madrid",Piso en calle de Lope de Rueda,,,,,,,
109216189,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c7/bb/52/1367716804.webp,,6,1,1200000.0,flat,sale,300.0,True,3,2,calle de Arroyofresno,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4736013,-3.7450376,False,https://www.idealista.com/inmueble/109216189/,"Gran oportunidad de reforma para crear el hogar de tus sueños en Puerta de Hierro. Descubre el inmenso potencial de este exclusivo piso de 300 m², una joya con jardín privado en la prestigiosa Avenida Cardenal Herrera Oria, Madrid. Este lienzo en blanco de 210 m² está esperando ser transformado para reflejar tu estilo personal en una de las zonas más demandadas de la ciudad. Las fotos mostradas son solo una sugerencia de reforma, pensadas para inspirarte y ayudarte a visualizar las posibilidades. Por motivos de confidencialidad, no se pueden publicar imágenes del estado actual de la propiedad. El interior, con su distribución ofrece una base ideal para una renovación completa de baños, cocina y ventanas. Además, incluye dos plazas de parking. No dudes en contactarnos para concertar una visita y descubrir el verdadero potencial de esta propiedad.",False,renew,False,True,4000.0,False,False,False,False,[],False,False,1200000.0,€,flat,,"Ciudad Universitaria, Madrid",Piso en calle de Arroyofresno,,,,,,,
107072458,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/f6/04/1308418792.webp,da1d8103-48a1-4dc7-bafd-b3dc7f0373d6,41,,4200000.0,chalet,sale,700.0,,6,5,calle de Guecho,Madrid,Madrid,Moncloa,es,El Plantío,40.4746947,-3.8227322,False,https://www.idealista.com/inmueble/107072458/,"Exclusiva y singular vivienda lindando con El Pardo. Con una superficie de 700 m², esta casa tipo cottage destaca por su amplitud y distribución funcional, ideal para familias numerosas o quienes buscan espacios amplios y confortables.  Dispone de: 6 dormitorios amplios, perfectos para el descanso. 5 baños, diseñados para comodidad y funcionalidad. La propiedad se encuentra en una impresionante parcela de 3.100 m², que ofrece un entorno natural único y perfectamente cuidado. Incluye: Piscina privada, ideal para disfrutar del verano en la privacidad de tu hogar. Porche amplio, perfecto para reuniones familiares o momentos de relajación. Jardines extensos lindando con el monte de El Pardo, proporcionando un ambiente sereno y exclusivo. Esta vivienda combina confort y funcionalidad, ofreciendo todas las comodidades necesarias para una vida de lujo. Sus amplias estancias, luminosidad y el diseño cuidado hacen de esta casa un lugar único para vivir. Ubicada en una de las mejores calles de La Florida, Aravaca, esta espectacular vivienda se encuentra en una de las zonas más exclusivas y demandadas de Madrid. Su entorno tranquilo y seguro, junto al monte de El Pardo, garantiza privacidad y calidad de vida. Vivir en esta casa significa disfrutar de una ubicación privilegiada, rodeado de naturaleza, sin renunciar a la cercanía con Madrid. ¡Visítala y descubre cómo esta propiedad puede convertirse en el hogar de tus sueños!",True,good,False,,6000.0,False,False,False,False,[],False,False,4200000.0,€,chalet,independantHouse,"El Plantío, Madrid",Casa independiente en calle de Guecho,,True,True,,,,
