propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,neighborhood,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
109160189,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/5e/69/1366037915.webp,29,3,265000.0,flat,sale,69.0,True,3,1,calle Patriarca,Madrid,San Lorenzo de El Escorial,Centro - Casco Histórico,es,40.5930687,-4.1457773,False,https://www.idealista.com/inmueble/109160189/,"Vivienda amueblada en el corazón de San Lorenzo de El Escorial ¿Buscas un piso en una de las zonas más demandadas de la Sierra de Madrid? No pierdas esta oportunidad. Te presentamos una magnífica vivienda en una tercera planta, idealmente situada en el casco histórico de San Lorenzo de El Escorial. Con sus 64 metros cuadrados útiles, esta propiedad está pensada para la comodidad y el aprovechamiento del espacio. Dispone de tres habitaciones, un baño completo con ducha y un luminoso salón que te encantará. La cocina está completamente amueblada y lista para su uso. Además, el piso se vende tal y como lo ves, totalmente amueblado, lo que te permitirá mudarte de inmediato y sin preocupaciones. Su ubicación céntrica te brinda acceso a todos los servicios, comercios y la rica vida cultural de este histórico municipio. ¡No dejes pasar esta ocasión! Contacta para más información o para concertar una visita.",True,good,False,False,3841.0,True,False,False,False,[],False,False,265000.0,€,flat,"Centro - Casco Histórico, San Lorenzo de El Escorial",Piso en calle Patriarca,,,,,,,,
101209592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/a9/35/1114500004.webp,49,3,1120000.0,penthouse,sale,121.0,True,2,2,"calle de Echegaray, 4",Madrid,Madrid,Centro,es,40.4163008,-3.6997079,True,https://www.idealista.com/inmueble/101209592/,"En venta: luminoso ático REFORMA INTEGRAL A ESTRENAR con una amplia terraza de 51 m2 con jacuzzi. Esta impresionante propiedad se encuentra en la planta ático de una finca en excelentes condiciones que fue completamente reformada en el año 2004. La planta principal cuenta con un salón-comedor con posibilidad de dormitorio cerrado por paneles de madera abatibles y una cocina de concepto abierto, un dormitorio en suite exterior con cuarto de baño y vestidor, también cuenta con un baño de cortesía y una pequeña terraza. En la planta superior, encontramos una espectacular terraza de 51 metros cuadrados, equipada con jacuzzi, una pérgola acristalada domotizada, ideal para disfrutar del buen clima de Madrid. La vivienda cuenta con suelos de gres porcelánico, aire acondicionado por conductos con bomba frío-calor, paredes lisas, ventanas de doble acristalamiento con aislante térmico acústico, lo que la convierte en una propiedad muy confortable y eficiente energéticamente. La finca dispone de DOS entradas, una por la calle Echegaray y una segunda entrada por la calle del Príncipe y además el EDIFICIO cuenta con GARAJES, ascensor y portero físico, lo que proporciona seguridad y comodidad a sus habitantes. Ubicado en el céntrico barrio de Cortes, junto a la Plaza de Canalejas, en el distrito Centro de Madrid, este ático goza de una gran variedad de excelentes servicios e infraestructuras en la zona. Además, se encuentra muy bien comunicado con el resto de la ciudad gracias a la cercanía del metro, Renfe y autobús, y a solo cinco minutos a pie de la emblemática Puerta del Sol. Este ático es la oportunidad perfecta para disfrutar de una propiedad única en una ubicación privilegiada de Madrid. ¡Contáctanos para programar una visita!",False,good,False,True,9256.0,True,False,False,True,[],False,False,1120000.0,€,flat,"Huertas-Cortes, Madrid","Ático en calle de Echegaray, 4",0056ECH,Huertas-Cortes,penthouse,,,,,
108088926,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/d7/bf/1333486676.webp,20,,110000.0,chalet,sale,42.0,,1,1,"calle de Alonso Martínez, 26",Madrid,Robledo de Chavela,,es,40.5003375,-4.2396336,True,https://www.idealista.com/inmueble/108088926/,"¡Descubre tu nuevo hogar en el corazón de Robledo de Chavela! Esta encantadora casita convertida en loft es el refugio perfecto para quienes buscan un estilo de vida tranquilo y rodeado de naturaleza. Con 42 m² útiles, este espacio ha sido totalmente reformado con calidades extraordinarias, ofreciendo un ambiente acogedor y moderno. La ubicación es inmejorable, a solo pasos de todos los servicios que necesitas: colegios, tiendas, cafeterías, restaurantes, polideportivo, gasolinera.. . Imagina disfrutar de la tranquilidad de vivir en un entorno montañoso, mientras tienes todo lo necesario al alcance de la mano. Con una orientación sur, este loft cuenta con una excelente iluminación natural y calefacción por bomba de frío/calor, asegurando confort durante todo el año. No dejes pasar la oportunidad de adquirir este inmueble en perfecto estado y listo para entrar a vivir. Ideal para parejas o personas solas que deseen disfrutar de una vida apacible en un entorno privilegiado. ¡Ven a visitarlo y déjate enamorar por su encanto!",True,good,False,,2619.0,False,False,False,True,[],False,False,110000.0,€,chalet,Robledo de Chavela,"Chalet adosado en calle de Alonso Martínez, 26",3454-07135,,terracedHouse,,,,,
108692375,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fc/25/8d/1352741960.webp,45,1,190000.0,flat,sale,82.0,True,3,1,calle de Abastos,Madrid,Aranjuez,Nuevo Aranjuez-Ciudad de las Artes,es,40.0308206,-3.5948099,False,https://www.idealista.com/inmueble/108692375/,"ARANGESTION INMOBILIARIA PONE A LA VENTA EN EXCLUSIVA ¡Descubre tu nuevo hogar en el corazón de Aranjuez! Este magnífico piso de 84 m², recientemente reformado, te ofrece un espacio moderno y acogedor. Con tres amplios dormitorios, es perfecto para familias o para quienes buscan espacio adicional. El baño cuenta con una elegante ducha, y el salón, de grandes dimensiones, te invita a relajarte con acceso directo a una terraza donde disfrutar del aire libre. Los suelos de tarima añaden un toque cálido y elegante, mientras que la calefacción de gas natural y la bomba de frío/calor garantizan el confort durante todo el año. Además, las luces de bajo consumo contribuyen a un hogar más sostenible. La finca dispone de ascensor y rampa de acceso, haciendo que sea apta para personas con movilidad reducida. Situado en una de las mejores zonas de Aranjuez, estarás rodeado de todos los servicios necesarios: colegios, supermercados, centro médico y una vibrante zona de vida social. No pierdas la oportunidad de vivir en un entorno privilegiado con todas las comodidades al alcance de tu mano. ¡Ven a visitarlo y enamórate de este encantador piso! NO DUDE EN CONCERTAR UNA VISITA. DISPONEMOS DE DEPARTAMENTO FINANCIERO QUE LE AYUDARA A BUSCAR LA HIPOTECA A SU MEDIDA. S. E. O. U.",False,good,False,True,2317.0,False,False,False,True,[],False,False,190000.0,€,flat,"Nuevo Aranjuez-Ciudad de las Artes, Aranjuez",Piso en calle de Abastos,,,,195000.0,5000.0,3.0,,
108405606,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/e8/9e/1349457736.webp,44,1,270000.0,flat,sale,104.0,True,3,1,nueva numancia,Madrid,Madrid,Puente de Vallecas,es,40.3954732,-3.6623734,False,https://www.idealista.com/inmueble/108405606/,"**Piso luminoso en venta - Opción perfecta para tu nuevo hogar** Descubre este encantador piso de 104 m², ideal para quienes buscan comodidad y estilo en una ubicación privilegiada. Con 3 amplios dormitorios, este espacio ofrece la versatilidad que necesitas para adaptarlo a tu estilo de vida. El salón destaca por sus grandes ventanales que inundan de luz natural cada rincón, creando un ambiente cálido y acogedor.  Ubicado en un entorno rodeado de vegetación y zonas de jardines, tendrás un gran parque justo enfrente, perfecto para disfrutar de momentos al aire libre. Además, la propiedad cuenta con todas las comodidades a tu alcance: tiendas, farmacias y transporte público a pocos pasos.  La financiación es muy accesible, ya que puedes obtener el 100% del importe solo pagando los gastos de escrituración. Este piso es una excelente opción para quienes buscan un hogar en buen estado, construido en 1980 y con todas las facilidades que necesitas. No dejes pasar esta oportunidad única. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",True,good,False,True,2596.0,True,False,False,True,[],False,False,270000.0,€,flat,"Numancia, Madrid",Piso en nueva numancia,,Numancia,,,,,,
108829632,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/b2/52/1356358253.webp,20,3,1540000.0,flat,sale,109.0,False,3,2,calle Velázquez,Madrid,Madrid,Barrio de Salamanca,es,40.4358528,-3.6832363,False,https://www.idealista.com/inmueble/108829632/,"Domus Aurea Capital presenta este fantástico piso que ha sido renovado por completo para brindarte el mejor confort y estilo en la calle Velázquez. Ubicado en la tercera planta interior de un edificio con ascensor, destaca por su luminosidad, gracias a sus grandes ventanales y terraza. Con una superficie total de 109 m²  cuenta con tres amplias habitaciones y dos baños completos, perfectos para una familia o para quienes necesitan un poco más de espacio. La cocina se encuentra completamente equipada y el apartamento se ofrece amueblado con mobiliario de diseño. Dispone de un área privada de lavandería, lo que proporciona una mayor organización de los espacios.  Está dotado de aire acondicionado y calefacción a gas, garantizando así el confort en cualquier época del año. Además, cuenta con el servicio de portero físico. Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores. La mayoría de las propiedades que tenemos disponibles no están publicadas en los portales inmobiliarios, para conocerlas todas consulta nuestra web.",False,good,False,True,14128.0,True,False,False,False,[],False,False,1540000.0,€,flat,"Castellana, Madrid",Piso en calle Velázquez,5155,Castellana,,,,,,
107251009,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/71/c0/1312970218.webp,41,5,1195000.0,flat,sale,115.0,True,2,3,"calle de Manuel Cortina, 11",Madrid,Madrid,Chamberí,es,40.4309263,-3.6975687,True,https://www.idealista.com/inmueble/107251009/,"PROPERTY PLUS Extraordinario inmueble recién reformado a ESTRENAR, en pleno corazón de Chamberí. Se trata de 5º piso exterior, orientación sur, SUPER LUMINOSO, que cuenta con la siguiente distribución:  Amplio recibidor, con acceso a salón- comedor con acceso a terraza y cocina abierta totalmente amueblada y equipada con electrodomésticos panelados y amplia isla central. 2 dormitorios con armarios empotrados vestidos, con baño en suite cada uno de ellos, + aseo de cortesía y cuarto de lavado.. . todo con extraordinarias calidades y diseño. Inmejorable oportunidad de vivir en el corazón de Chamberí en finca representativa con conserje y ascensor. Contacte con nosotros los 7 días de la semana para concertar una visita sin compromiso.",False,good,False,True,10391.0,True,False,False,False,[],False,False,1195000.0,€,flat,"Trafalgar, Madrid","Piso en calle de Manuel Cortina, 11",MC11 01 DA,Trafalgar,,,,,,
108857763,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/ab/c7/1357176521.webp,46,2,320000.0,flat,sale,104.0,True,3,2,"avenida de Juan Carlos I, 32",Madrid,Ajalvir,,es,40.5354881,-3.483833,True,https://www.idealista.com/inmueble/108857763/,"� Piso reformado en Ajalvir con piscina y zonas verdes Se vende estupendo piso de 96 m² totalmente reformado, ubicado en una tranquila y cuidada urbanización de Ajalvir. La vivienda se distribuye en: ✔ 3 habitaciones amplias y luminosas ✔ 2 baños completos, uno de ellos en suite ✔ Salón espacioso con acceso a dos balcones, ideal para disfrutar del aire libre ✔ Cocina equipada y funcional ✔ 1 plaza de garaje incluida en el precio El piso ha sido reformado y está listo para entrar a vivir. La urbanización cuenta con piscina comunitaria, zonas verdes y un entorno perfecto para familias. � Situado en una zona residencial tranquila, con buena comunicación y todos los servicios cerca: colegios, comercios y transporte. � Excelente opción tanto para vivir como para invertir. Por su tamaño, distribución y características, ofrece un alto potencial de rentabilidad por alquiler en la zona. Ideal para quienes buscan una inversión segura y rentable desde el primer día. ✨ ¡Una oportunidad para vivir con comodidad o generar ingresos estables! Contacta con nosotros para más información o para agendar una visita.",False,good,False,False,3077.0,True,True,False,False,[],False,False,320000.0,€,flat,Ajalvir,"Piso en avenida de Juan Carlos I, 32",C0026-02429,,,,,,,
103320219,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/5a/fa/1367299800.webp,40,,660000.0,chalet,sale,340.0,,5,5,"calle Nuestra Señora del Pilar, 3",Madrid,Torrelodones,Colonia,es,40.575978,-3.9473307,True,https://www.idealista.com/inmueble/103320219/,"Exclusiva Vivienda Independiente en Torrelodones Colonia - Fives Real Estate Les presentamos una oportunidad única: una magnífica vivienda independiente, ubicada en la prestigiosa y tranquila zona de Torrelodones Colonia. Esta propiedad no es solo una casa, sino una joya arquitectónica que se ofrece con un proyecto a medida, brindando al futuro propietario la libertad de personalizarla a su gusto. Detalles del Proyecto ( No incluido en el precio de venta): • Espacio y Diseño:  La vivienda cuenta con 248 m² construidos, inteligentemente distribuidos en tres plantas. Cada espacio ha sido pensado para maximizar la comodidad y funcionalidad. • Planta Semisótano:  Aquí encontrará un amplio garaje y una zona de servicio práctica, ideal para mantener la organización y funcionalidad del hogar. • Planta Calle:  Esta planta se abre a un generoso salón, comedor y cocina, diseñados para crear un ambiente de convivencia y confort. Un aseo de cortesía y un impresionante porche acristalado complementan esta área, perfecto para disfrutar del paisaje y la luz natural. • Última Planta:  Destinada al descanso y la privacidad, cuenta con 4 habitaciones, cada una con su propio baño en suite, garantizando intimidad y comodidad. Además, dos terrazas ofrecen vistas exclusivas y un espacio para relajarse. Características Exteriores: • Parcela Excepcional:  La propiedad está construida sobre una parcela de 1330 m², ofreciendo espacio y privacidad en un entorno natural y sereno. • Proyecto de Piscina y Garaje Exterior:  El diseño incluye una elegante piscina, perfecta para los meses de verano, y un garaje exterior adicional para visitas o vehículos extra. Ubicación Privilegiada: • Situada en la mejor zona de Torrelodones Colonia, esta vivienda promete una calidad de vida inigualable, combinando tranquilidad, seguridad y proximidad a servicios y conexiones con Madrid. Esta propiedad representa una oportunidad excepcional para aquellos que buscan crear un hogar a su medida en una de las zonas más exclusivas. En Fives Real Estate, estamos a su disposición para cualquier consulta y para coordinar una visita a esta extraordinaria propiedad. No dude en ponerse en contacto con nosotros para realizar una visita. [IW].",True,good,False,,1941.0,True,False,False,False,[],False,False,660000.0,€,chalet,"Colonia, Torrelodones","Casa independiente en calle Nuestra Señora del Pilar, 3",CHA0022,,independantHouse,,,,,
108880251,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/57/be/1357780533.webp,38,1,169900.0,flat,sale,70.0,True,3,1,"calle de Núñez de Balboa, 8",Madrid,Alcalá de Henares,San Isidro - Los Almendros,es,40.4883761,-3.3628959,True,https://www.idealista.com/inmueble/108880251/,"IDEAL PARA INVERSIÓN, NO DUDES EN VISITARLO! 'Agencia Inmobiliaria de Alcalá de Henares ESTUDIO ALCALÁ BARRIO ESTACIÓN S. L. Vende fantástica vivienda en Zona 'ESTACIÓN' La vivienda se encuentra ubicada a escasos minutos de Estación de Tren, Cercanías y del Centro Comercial Alcalá MAGNA y con todos los servicios a su alrededor. La vivienda consta de 65 metros, distribuidos en un salón de paso con acceso a terraza, tres amplios dormitorios, una amplia cocina y baño completo. La vivienda es un PRIMERO SIN ASCENSOR, la mayoría de las estancias son exteriores por lo que vivienda cuenta con luz natural. Y recuerde que le podemos conseguir hasta el 100% de financiación con nuestro departamento financiero KÍRON'.",False,good,False,False,2427.0,False,False,False,False,[],False,False,169900.0,€,flat,"San Isidro - Los Almendros, Alcalá de Henares","Piso en calle de Núñez de Balboa, 8",,,,189000.0,19100.0,10.0,,
