propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,highlight.groupDescription
108409886,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/89/d6/1344089062.webp,4238,41,5,545000.0,flat,sale,55.0,False,4,1,calle de Claudio Coello,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4275546,-3.6870794,False,https://www.idealista.com/inmueble/108409886/,"TORALIA CAPITAL OFRECE: Piso abuhardillado en Claudio Coello – Salamanca, con luz natural y múltiples orientaciones En pleno barrio de Salamanca, en la codiciada calle Claudio Coello, se encuentra este encantador piso abuhardillado, ideal para quienes buscan vivir en una de las zonas más exclusivas de Madrid, rodeados de tiendas de alta gama, restaurantes y excelente transporte público. La vivienda, interior pero muy luminosa, goza de orientación norte, sur, este y oeste, lo que permite disfrutar de luz natural durante todo el día. Se distribuye en 4 estancias conectadas por un pasillo, incluyendo un salón cómodo, una cocina equipada y un baño completo. Su diseño versátil permite adaptar los espacios según tus necesidades. Dispone de calefacción eléctrica y servicio de portería, lo que aporta un extra de comodidad y seguridad. El edificio no cuenta con ascensor. Una oportunidad única para vivir o invertir en el corazón de Salamanca, en un piso con encanto, flexible y lleno de posibilidades, donde la ubicación marca la diferencia.",True,good,False,False,9909.0,True,False,True,False,[],False,False,545000.0,€,flat,"Recoletos, Madrid",Piso en calle de Claudio Coello,,,,,,,,,
109153243,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/62/61/99/1365861788.webp,0096-01151,40,4,1175000.0,flat,sale,122.0,True,3,2,"calle de Prieto Ureña, 5",Madrid,Madrid,Chamartín,es,Nueva España,40.4648976,-3.6696798,True,https://www.idealista.com/inmueble/109153243/,"109 Viva en esta exclusiva urbanización, que cuenta con JARDIN, PISCINA Y PLAZA DE GARAJE ATICO COMPLETAMENTE REFORMADO. Ubicación privilegiada en una de las zonas más cotizadas de la ciudad, este elegante piso se encuentra a pocos minutos de algunas de las instituciones educativas más prestigiosas, como el Internantional College, el King´s College Chamartin, Nuestra Señora del Recuerdo, Sagrado Corazón y Arquitecto Gaudi. Esta área, conocida por su tranquilidad y seguridad, ofrece una excelente calidad de vida, ideal para familias que buscan comodidad y acceso a los mejores servicios. Esta vivienda se encuentra en una zona residencial de alto standing, rodeada de parques, comercios exclusivos, restaurantes de primera categoría y con fácil acceso a principales vías de transporte. Perfectamente conectada, podrás disfrutar de la proximidad a centros de negocios y a zonas de ocio, todo ello sin renunciar a la paz y privacidad que ofrece este enclave único. Superficie construida de 125 m², Esta vivienda ha sido reformada de forma integral con las mejores calidades y diseñada por un prestigioso estudio de interiorismo para ofrecerte lo último en confort y funcionalidad. Aislamiento total con doble falso techo, ventanas Kömmerling deslizantes, fontaneria y electricidad renovadas, suelo de madera, armarios de suelo a techo,. Posibilidad de recuperar la terraza que se ha integrado en el salón. Al entrar en el piso, un elegante recibidor con un armario gabanero. Desde allí, el espacio se abre a un amplio salón comedor, completamente exterior, es un lugar donde la luz natural se desliza a través de grandes ventanales deslizantes, ofreciendo vistas despejadas hacia una amplia zona verde. Posibilidad de recuperar la terraza. La zona de descanso, independiente de la zona noble, ofrece tres amplios dormitorios y dos elegantes baños, brindando privacidad y confort en cada rincón. Cocina independiente con office, llena de luz natural y espectaculares vistas, equipada con modernos electrodomésticos y totalmente amueblada. Un espacio ideal para disfrutar de la cocina y las mejores panorámicas en un ambiente confortable y funcional El apartamento es completamente exterior, con grandes ventanales Kömmerling deslizantes que inundan de luz natural tanto el salón como la cocina, ofreciendo vistas tanto al jardín y la piscina. El piso se vende con una amplia plaza de garaje, ofreciendo comodidad y seguridad para su vehículo, sumando aún más valor a esta exclusiva propiedad Las zonas comunes de la urbanización están impecablemente mantenidas, garantizando un entorno siempre cuidado y de alta calidad para su disfrute y el de su familia. Portero. La ubicación es inmejorable: en la exclusiva zona de Nueva España, con acceso cercano a servicios, comercios y transporte público. Un barrio residencial con una oferta inigualable de tranquilidad, pero a tan solo unos minutos del bullicio de la ciudad. ¡No dejes pasar la oportunidad de vivir en un lugar que combina elegancia, comodidad y calidad de vida! Este apartamento te está esperando para que empieces tu nueva etapa en un hogar único.",False,good,False,True,9631.0,True,True,False,False,[],False,False,1175000.0,€,flat,"Nueva España, Madrid","Piso en calle de Prieto Ureña, 5",True,True,,,,,,,
103447378,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/6a/bd/1331595934.webp,VÀTI_1943 (B),33,7,2800000.0,penthouse,sale,186.0,True,3,2,calle de Espronceda,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4416242,-3.6965564,False,https://www.idealista.com/inmueble/103447378/,"Home Select vende espectacular ático dúplex en promoción residencial de obra nueva diseñada por el prestigioso estudio de arquitectura Lamela, con magníficas zonas comunes (jardín y piscina, gimnasio, zona wellness y salón social).  La vivienda tiene 186 m2 construidos según catastro. Adicionalmente cuenta con una terraza techada de 26 m2 en planta inferior con acceso desde el salón-comedor y de una gran terraza descubierta de 60 m2 en la planta superior. Incluyendo las terrazas estaríamos hablando de 272 m2. La zona de día está formada por un gran espacio diáfano con recibidor, salón-comedor y cocina semi-integrada. Desde ahí se accede por una escalera al roof-garden. En la zona de noche nos encontramos un dormitorio principal con vestidor y cuarto de baño en suite, además de otros dos dormitorios que comparten un cuarto de baño. 2 plazas de aparcamiento y trastero incluido. Se vende amueblado, decorado y equipado para entrar a vivir. Alquiler mensual en corporativo, con Home Club, en 6.750€ al mes.  ref: VÀTI_1943 (B).",False,good,False,True,15054.0,True,False,False,False,[],False,False,2800000.0,€,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Ático en calle de Espronceda,True,True,penthouse,,,,,,
108264103,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/de/72/1338845259.webp,VT2.4 A,6,,510000.0,chalet,sale,225.0,,4,3,calle Buenavista s/n,Madrid,Navalcarnero,El Pijorro,es,,40.29537,-4.0126799,True,https://www.idealista.com/obra-nueva/108264103/,"¡Lanzamos la Fase 2 de Villa 6 en Navalcarnero tras el éxito de la primera etapa! Descubre una promoción única compuesta por 26 chalets exclusivos, diseñados para quienes buscan confort, espacio y calidad de vida. Cada vivienda cuenta con: •4 amplios dormitorios •3 baños completos •Diseño contemporáneo y elegante •Sótano incluido para ampliar aún más tu espacio •Zonas comunes •Jardín privado ideal para relajarte o compartir momentos al aire libre Ubicados en Navalcarnero, en una zona tranquila con excelentes servicios, estarás a tan solo minutos de Madrid gracias a su magnífica conexión con las principales vías de acceso. Una oportunidad única para vivir como siempre has querido, en un chalet moderno, rodeado de naturaleza y cerca de todo. ¡Contacta ahora y asegura tu nuevo hogar en Villa 6 Navalcarnero Fase 2!",False,newdevelopment,True,,2267.0,True,False,False,False,[],False,False,510000.0,€,chalet,"El Pijorro, Navalcarnero",Chalet pareado en calle Buenavista s/n,True,True,semidetachedHouse,False,,,,,
101012392,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/2b/79/1337148757.webp,3261,51,bj,295000.0,flat,sale,34.0,False,1,1,calle del Barco,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4213656,-3.7020599,False,https://www.idealista.com/inmueble/101012392/,"EN EL CORAZON DE LA CAPITAL Altor asesores pone a tu disposición este magnífico apartamento junto a la Plaza de San Ildefonso y la Calle Fuencarral. Antigua portería de la finca. Consta de salón comedor, cocina independiente a un patio de aproximadamente siete metros cuadrados de uso privativo, dormitorio en suite con cuarto de baño completo. Finca en proceso de rehabilitación. A cinco minutos de la Glorieta de Bilbao (líneas 1 y 10), San Bernardo (línea 2) y Gran Vía (líneas 1, 5 y Cercanías Renfe).",True,renew,False,False,8676.0,True,False,True,False,[],False,False,295000.0,€,flat,"Malasaña-Universidad, Madrid",Piso en calle del Barco,,,,,,,,,
108409951,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/3f/c5/1344094463.webp,4231,45,2,380000.0,flat,sale,60.0,True,1,1,calle del Doctor Esquerdo,Madrid,Madrid,Retiro,es,Pacífico,40.4044805,-3.6734589,False,https://www.idealista.com/inmueble/108409951/,"TORALIA CAPITAL OFRECE Luminoso piso exterior con orientación sureste en la calle Doctor Esquerdo Se vende excelente piso de 60 m² construidos, exterior y muy luminoso, con orientación sureste que garantiza luz natural durante gran parte del día. La vivienda cuenta con una habitación, un baño completo, y un salón-cocina funcional y bien distribuida. Dispone de calefacción individual por gas natural, ascensor, servicio de portero físico, y acceso adaptado para personas con movilidad reducida, lo que lo hace cómodo y accesible para todo tipo de personas. Situado en la conocida calle Doctor Esquerdo, en una zona consolidada con todos los servicios a mano: supermercados, farmacias, centros médicos, colegios y zonas verdes. Excelente comunicación por transporte público (metro, autobuses y cercanías), y fácil acceso a las principales vías de la ciudad. Una oportunidad ideal tanto para vivir como para invertir.",True,good,False,True,6333.0,True,False,True,False,[],False,False,380000.0,€,flat,"Pacífico, Madrid",Piso en calle del Doctor Esquerdo,,,,,,,,,
106342477,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/37/50/1349120677.webp,4059,43,2,1190000.0,flat,sale,105.0,True,2,2,calle Medellín,Madrid,Madrid,Chamberí,es,Trafalgar,40.4364076,-3.6986916,False,https://www.idealista.com/inmueble/106342477/,"ALTOR ASESORES OFRECE Este magnífico piso se encuentra en una de las zonas más vibrantes y solicitadas de Madrid, entre las calles Iglesia y Quevedo. Este barrio combina la tranquilidad residencial con la cercanía a una amplia oferta cultural, gastronómica y de ocio. A pocos minutos a pie, se pueden encontrar boutiques, cafeterías y restaurantes que ofrecen lo mejor de la cocina madrileña. Tiene una superficie de 105 metros cuadrados. El inmueble cuenta con 3 habitaciones, ideales para familias o para compartir, y un baño completo. Las estancias son amplias y luminosas, perfectas para crear un ambiente acogedor y personalizado. Exterior: El piso es exterior, lo que garantiza una excelente entrada de luz natural a lo largo del día. Además, dispone de balcones que ofrecen vistas agradables y un espacio perfecto para disfrutar del aire fresco. La calefacción es individual a gas, lo que proporciona un control óptimo de la temperatura en invierno. Con orientación oeste, donde podrás disfrutar de espectaculares atardeceres desde la comodidad de tu hogar.  La zona de Iglesia y Quevedo es conocida por su ambiente animado y su proximidad a diversas paradas de transporte público, que facilitan el acceso a otras áreas de la ciudad. Los parques cercanos son ideales para disfrutar de actividades al aire libre y relajarse en la naturaleza. Este piso representa una oportunidad única para aquellos que buscan un hogar luminoso y bien situado en Madrid. No dejes pasar la oportunidad de visitarlo y descubrir todo su potencial. ¡Te esperamos!",True,good,False,False,11333.0,True,False,True,False,[],False,False,1190000.0,€,flat,"Trafalgar, Madrid",Piso en calle Medellín,,,,,,,,,
109195693,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/29/6b/1367108751.webp,07981,29,2,618000.0,flat,sale,135.0,True,3,2,Barrio El Cantizal,Madrid,Las Rozas de Madrid,El Cantizal,es,El Cantizal,40.5182016,-3.9291366,False,https://www.idealista.com/inmueble/109195693/,"Espectacular vivienda en excelente estado, amplia, luminosa y con una distribución muy cómoda que ofrece todo lo necesario para disfrutar de la vida en una de las zonas más demandadas de Las Rozas. Distribución y cualidades Superficie: 135,53 m², exterior, con luz natural en todas las estancias. Amplia cocina con zona de pantry, perfecta para desayunar cada mañana. Gran sala-comedor muy luminosa, con acceso directo a una magnífica terraza donde podrás relajarte con vistas despejadas y arboladas. Tres dormitorios exteriores, todos con armarios empotrados. Dos baños completos, uno en suite en el dormitorio principal. Estancias espaciosas, acogedoras y bien distribuidas, ideales para una vida práctica y confortable. Orientación y confort Excelente orientación este-oeste, lo que asegura sol y luminosidad durante todo el día, además de un ambiente equilibrado en cualquier época del año. Entorno y servicios cercanos Transporte público: Autobuses próximos: líneas 1, N903, entre otras, con paradas a pocos minutos andando. Cercanías RENFE: estación Pinar de Las Rozas, con conexiones directas a Chamartín y otros puntos de Madrid. Comercios y ocio: A muy corta distancia se encuentran Las Rozas Village, The Style Outlets, Heron City y Európolis. Zona rodeada de supermercados, restaurantes, cafeterías, colegios y centros de salud.  Su ubicación en El Cantizal combina tranquilidad residencial con excelentes comunicaciones y todos los servicios a mano. Si buscas amplitud, luz y confort, este es tu piso. ¡Contactame y ven a verlo! ”.",True,good,False,True,4578.0,False,False,False,False,[],False,False,618000.0,€,flat,"El Cantizal, Las Rozas de Madrid",Piso,True,True,,,,,,,
108506331,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/b0/ca/1346931529.webp,4252,42,2,215000.0,flat,sale,70.0,True,2,1,calle Puerto del Pico,Madrid,Madrid,Puente de Vallecas,es,Portazgo,40.3855053,-3.6478979,False,https://www.idealista.com/inmueble/108506331/,"Presentamos esta fantástica oportunidad inmobiliaria en el consolidado barrio de Numancia – Puente de Vallecas, una zona en constante revalorización y muy bien comunicada con el centro de Madrid. Se trata de una segunda planta sin ascensor. � Distribución y características del inmueble: Amplio salón-comedor, con acceso directo a un balcón exterior que aporta luz natural y ventilación, ideal para crear una zona de descanso o lectura. 2 dormitorios de buen tamaño, luminosos y con espacio suficiente para armarios o zona de trabajo. 1 baño completo, en buen estado y con ventilación natural. Cocina independiente, equipada con electrodomésticos, caldera y termo eléctricos. Toda la vivienda cuenta con calefacción eléctrica y se vende amueblada, lo que permite entrar a vivir directamente o ponerla en alquiler de inmediato. El inmueble se encuentra en una finca tranquila y cuidada, con pocos vecinos y un ambiente familiar. La segunda planta sin ascensor permite mantener unos gastos de comunidad reducidos, lo que mejora la rentabilidad para inversores. � Ubicación privilegiada: A tan solo unos minutos a pie de la estación de Metro Nueva Numancia, y rodeado de una amplia oferta de servicios: supermercados, centros educativos, centros de salud, zonas verdes, restaurantes y comercios de barrio. Conexiones rápidas a M-30, A-3 y centro de Madrid, lo que convierte esta ubicación en un punto estratégico tanto para vivir como para invertir. � Inversión segura o vivienda para toda la vida: Por su distribución, ubicación y estado de conservación, esta propiedad es una excelente opción como primera vivienda, y una alternativa muy rentable para inversores, dada la alta demanda de alquiler en la zona.  � No pierdas esta oportunidad única. Si estás buscando una vivienda con potencial, cómoda, bien situada y con todo lo necesario para comenzar una nueva etapa, este es tu piso. Llámanos y ven a verlo.",True,good,False,False,3071.0,True,False,True,False,[],False,False,215000.0,€,flat,"Portazgo, Madrid",Piso en calle Puerto del Pico,,,,,,,,,
109176091,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/71/ac/1367372172.webp,APM-VE982,30,5,599000.0,flat,sale,115.0,True,2,2,"calle de Azofra, 11",Madrid,Madrid,Fuencarral,es,Las Tablas,40.500388,-3.671835,True,https://www.idealista.com/inmueble/109176091/,"AWA PROPERTIES presenta este LUMINOSO piso de 2 dormitorios en EXCELENTE ESTADO y óptima ubicacion de Las Tablas. Se vende amplia e impecable vivienda en 5ta planta de 115m construidos, con PLAZA DE GARAJE DOBLE Y TRASTERO. - DISPONIBILIDAD INMEDIATA. - Dispone de salon de grandes dimensiones, 2 dormitorios y 2 cuartos de baño completos (el principal en suite). Cocina amueblada y totalmente equipada (nevera, vitroceramica, horno, microondas y lavavajillas). Cuenta con tendedero independiente con lavadora. Con excelentes calidades de construccion y todos los ambientes de grandes dimensiones. Armarios empotrados y vestidos en dormitorios y recibidor en la entrada. Aire acondicionado por conducto y calefaccion por gas natural con caldera individual. Ventanas de doble cristal Climalit. Completamente exterior, muy luminoso.  Dentro de una de las urbanizaciones mas completas y demandadas de la zona. Cuenta con piscina de adultos y niños, pista de padel, juegos infantiles, zonas ajardinadas, gimnasio y seguridad 24hs. Ubicado en excelente localizacion, rodeado de comercios, supermercados, farmacias, colegios, etc. Se encuentra a 8 minutos andando del metro y a escasos metros de lineas de buses con coneccion directa a Plaza Castilla. Es una quinta planta con PLAZA DE GARAJE DOBLE Y TRASTERO incluidos en el precio. POR QUÉ AWA PROPERTIES? -Disfruta un servicio personalizado con respuestas inmediatas. -Coordina tus visitas los 7 dias de la semana. -Realiza tu proceso de compra rapido y sencillo. -Consigue la mejor financiacion con las principales entidades bancarias. Trabajamos con total transparencia, chequea nuestras reseñas en AWA PROPERTIES MADRID. CONTACTANOS PARA CONCERTAR TU CITA. VISITAS LOS 7 DIAS DE LA SEMANA!.",True,good,False,True,5209.0,True,False,False,False,[],False,False,599000.0,€,flat,"Las Tablas, Madrid","Piso en calle de Azofra, 11",True,True,,,,,,,
