propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
104242557,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/64/b6/ca/1277623283.webp,Baja F,14,bj,1130000.0,flat,sale,130.0,True,3,2,"calle Bausá, 13",Madrid,Madrid,Ciudad Lineal,es,Costillares,40.4683321,-3.6677507,True,https://www.idealista.com/obra-nueva/104242557/,"OBRA INICIADA. ¡TENEMOS PISO PILOTO! SOLICITE CITA PREVIA Y VENGA A VISITAR EL PISO PILOTO. ¡Déjese Sorprender! Últimas viviendas de 3 dormitorios. Elegancia, diseño y sostenibilidad son las señas de identidad de este magnífico proyecto situado en la calle Bausá 13-15. Una ubicación privilegiada al encontrarse junto a la calle Arturo Soria, una de las zonas residenciales más prestigiosas y demandadas de Madrid.  Viviendas Reside Arturo Soria destaca por sus líneas limpias y elegantes, empleando materiales vanguardistas que fusionan la estética y funcionalidad.  28 viviendas de 1, 2 y 3 dormitorios de calidad excepcional con plaza de garaje y trastero incluido. Un proyecto diseñado para brindar el máximo confort y elegancia.    Viviendas con estupendas zonas comunes para disfrutar de momentos de ocio: piscina y solárium. Sostenibilidad En Grupo Ibosa somos muy respetuosos con el medio ambiente y todos nuestros proyectos están basados en sostenibilidad y el ahorro energético. En Reside Arturo Soria se van a tomar todas las medidas posibles para obtener la máxima calificación energética.  Ubicación Muy cerca de la prestigiosa calle Arturo Soria, Reside Arturo Soria tiene un emplazamiento privilegiado donde se entrelazan comercios, negocios, importantes restaurantes, etc. En definitiva, una ubicación que cuenta con todos los servicios que ofrece una gran ciudad, pero con la tranquilidad que se respira en los elitistas alrededores de esta zona de la capital. El proyecto se encuentra muy cerca del Hospital Universitario HM Nuevo Belén y el Hospital Nuestra Señora de América; los colegios Hastings, San Juan Bautista, Cardenal Spínola y el Colegio Internacional Británico, y el Conservatorio Profesional de Música. Reside Arturo Soria está muy bien conectada con el sistema de transporte público de Madrid y rápida conexión a la M30 y M40, lo cual facilita el traslado al Aeropuerto y centro de la ciudad.",True,newdevelopment,True,True,False,8692.0,True,False,False,False,[],False,False,1130000.0,€,True,True,flat,"Costillares, Madrid","Piso en calle Bausá, 13",Destacado,,,,
108428770,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/42/80/1344596774.webp,,30,,456900.0,chalet,sale,150.0,,4,1,calle del Escorial,Madrid,Alpedrete,,es,,40.6606176,-4.0417595,False,https://www.idealista.com/inmueble/108428770/,"INMOBILIRARIA HOGARES VENDE EN EXCLUSIVA  PRECIO NEGOCIABLE � ¡OPORTUNIDAD ÚNICA! SE VENDE CHALET INDEPENDIENTE EN ALPEDRETE � Si buscas un hogar con encanto, en un entorno tranquilo y rodeado de naturaleza, pero con todas las comodidades a tu alcance, ¡este chalet es para ti! � Ubicación inmejorable: Situado en Alpedrete, a solo 5 minutos a pie de la estación de Renfe, lo que te permitirá llegar a Madrid de manera rápida y cómoda. Además, cuenta con paradas de autobús cercanas, facilitando el acceso a diferentes zonas de la Comunidad. ✨ Características del chalet: � Chalet independiente con una parcela de 500 m², ideal para disfrutar de la vida al aire libre, ya sea creando un hermoso jardín, instalando una zona de barbacoa o diseñando tu propio espacio de descanso. � 3 habitaciones amplias y luminosas, perfectas para familias, teletrabajo o invitados. � Acogedor salón-comedor con chimenea, ideal para disfrutar del invierno en un ambiente cálido y confortable. � Baño completo, funcional y bien distribuido. � Gran trastero, perfecto para almacenaje adicional, herramientas o incluso convertirlo en un pequeño taller o sala multiusos. � Espacios amplios, independientes y llenos de posibilidades: Este chalet ofrece la privacidad que necesitas con un diseño funcional que te permitirá personalizar cada rincón a tu gusto. � Entorno y servicios: � Rodeado de naturaleza, pero con todos los servicios cerca: supermercados, colegios, restaurantes y centros de salud. � Excelentes conexiones con Madrid gracias al transporte público y el fácil acceso a carreteras principales. � ¡No dejes pasar esta oportunidad! Si buscas un hogar donde disfrutar de la tranquilidad sin renunciar a la comodidad, este chalet es perfecto para ti. � Contáctanos para más información o para concertar una visita. ¡Te encantará!",True,good,False,,,3046.0,True,True,False,False,[],False,False,456900.0,€,,,chalet,Alpedrete,Casa independiente en calle del Escorial,Destacado,independantHouse,,,
108187936,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/85/cc/1336501941.webp,EG6370,68,1,149900.0,flat,sale,72.0,True,1,1,Camarma de Esteruelas,Madrid,Camarma de Esteruelas,,es,,40.5300193,-3.3856656,False,https://www.idealista.com/inmueble/108187936/,"Alcala inmobiliaria presenta este Fantástico loft en Camarma de Esteruelas. Este encantador loft, dividido en dos plantas, ofrece un estilo moderno y funcional perfecto para quienes buscan un espacio único y acogedor. Con un total de 72 m², distribuidos en 56 m² en la planta baja y 16 m² en la planta alta, destaca por su luminosidad debido a su fantástica y deseada orientación Sur. Este inmueble combina estilo moderno con funcionalidad y confort. Al entrar nos encontramos una cocina americana integrada elegantemente en el espacio, está equipada con los mejores electrodomésticos de última generación, perfectos para los amantes de la gastronomía. La distribución abierta favorece la interacción y la convivencia,baño con plato de ducha, y  un amplio salón de techos altos y grandes ventanales que permiten la entrada de luz natural, creando un ambiente cálido y acogedor. Desde el salón, se accede directamente a una hermosa terraza, de 7,66 metros, ideal para disfrutar del aire libre. A este loft se le ha construido un altillo de 18 metros habilitado como dormitorio principal. Una característica destacable es su  plaza de garaje incluida en el precio, techada y cercana al portal, asegurándote la comodidad de disponer de un lugar donde estacionar tu vehículo sin complicaciones. Esta facilidad de acceso al garaje proporciona una gran ventaja a quien valore la seguridad y protección de su vehículo. La orientación Sur del piso  del piso permite que la luz natural se convierta en un protagonista, llenando cada espacio con calidez y asegurando un ambiente luminoso y alegre. Los grandes ventanales  permiten disfrutar de agradables vistas. Este piso es una excelente opción por sus características,  por su inmejorable ubicación, su estética moderna y su capacidad para proporcionar una calidad de vida más relajada pero muy cercana a Alcalá de Henares a tan sólo 6 Kilómetros tanto para vivir como para invertir para alquilar por su alta rentabilidad en torno a un 6%. No dejes pasar la oportunidad de visitar este fantástico piso. Su combinación de características y ubicación lo hace una opción ideal en el mercado actual. Te esperamos para que descubras por ti mismo todo lo que este hogar tiene para ofrecerte. Una visita podría cambiar tu perspectiva, permitiéndote visualizar un futuro lleno de bienestar y comodidad. Agendemos una visita para que puedas experimentar personalmente las bondades de este hogar. No cobramos comisión al comprador. Nos encargamos de toda la gestión de la compra. Y además ponemos a tu disposición nuestro departamento de hipotecas totalmente gratuito para buscarte las mejores condiciones del mercado. ¿Quieres saber cuánto se te quedaría la letra al mes? ¿Quieres saber qué impuestos conlleva una compra-venta? Llámanos sin compromiso y programaremos una visita.",False,good,False,False,,2082.0,True,True,False,False,[],False,False,149900.0,€,True,True,flat,Camarma de Esteruelas,Piso,Destacado,,,,
107729989,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/36/4d/1322199145.webp,,25,2,699000.0,flat,sale,160.0,True,3,2,bulevar Picos de Europa,Madrid,San Sebastián de los Reyes,Tempranales,es,,40.5587914,-3.643153,False,https://www.idealista.com/inmueble/107729989/,"""Grupo Hogares"" vende en exclusiva magnífica vivienda, en una de las zonas de mayor expansión de la zona norte de Madrid: en San Sebastián de los Reyes. Semi-nuevo. Vivienda entregada en 2017, en la cual han realizado varias reformas y mejoras la propiedad. La vivienda se distribuye en tres dormitorios con armarios empotrados, dos baños completos, uno de ellos en suite, salón con gran luminosidad, y amplia cocina independiente, tiene una despensa grande, (vecinos la utilizan como despacho) que se entrega amueblada con materiales de alta calidad. La vivienda cuenta con una espectacular terraza de 15 metros. A dicha terraza se puede acceder desde el salón y la cocina. Cabe destacar que la vivienda se sitúa en una segunda planta, directa desde el ascensor, o desde la escalera. Se completa el inmueble con DOS amplias plazas de GARAJE y un gran TRASTERO. Este piso cuenta con una distribución lógica y equilibrada, con formas geométricas sobrias que facilitan su amueblado. Además, es una vivienda exterior. La finca cuenta con las mejores calidades, tanto en el interior de la vivienda y sus acabados, como la de las zonas comunes. Cuenta con lo último en eficiencia energética, sistema de calefacción eléctrica colectiva o control domótico de climatización. De las zonas comunitarias, destacamos las amplias zonas verdes, área de juegos infantiles, piscina, pista de pádel, sala polivalente climatizada, conserjería para control de acceso.. . La vivienda se encuentra en un entorno envidiable para formar su futuro hogar, en el que encontrará todos los servicios necesarios, como espacios comerciales, restauración y numerosos equipamientos públicos y privados sanitarios, docentes y deportivos. Además, San Sebastián de los Reyes, destaca por contar con un gran entorno natural, con extensas zonas verdes en el propio municipio. Nuestro departamento financiero ""FinanHogar"" puede conseguir hasta el 100% de financiación. Pregunte para hacer un estudio financiero sin compromiso. ¡NO PIERDA LA OPORTUNIDAD DE VISITAR ESTA EXCLUSIVA VIVIENDA!",True,good,False,True,,4369.0,True,True,False,False,[],False,False,699000.0,€,True,True,flat,"Tempranales, San Sebastián de los Reyes",Piso en bulevar Picos de Europa,Destacado,,,,
108004066,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2d/73/18/1364107787.webp,AvRC00,37,2,895000.0,flat,sale,157.0,True,4,2,paseo de la Reina Cristina,Madrid,Madrid,Retiro,es,Jerónimos,40.4063501,-3.6802236,False,https://www.idealista.com/inmueble/108004066/,"***¡ESTUPENDO PISO CON TERRAZA JUNTO AL RETIRO PARA CONVERTIR EN EL HOGAR PERFECTO! *** A 3 minutos andando de la Puerta Mariano de Cavia que da acceso al Parque del Retiro, esta amplia vivienda muy tranquila y soleada en buen finca con portero es ideal para vivir. Cuenta con dos entradas, principal y de servicio, y actualmente se distribuye en cuatro dormitorios con armarios empotrados, dos baños, amplio salón-comedor con salida a la terraza, cocina independiente de buen tamaño y hall recibidor. Es exterior a zonas comunes de la mancomunidad, ajardinadas, muy cuidadas y de acceso sólo peatonal. Le corresponde como anejo inseparable 1/721 parte del local garaje zona común del mismo edificio. La calefacción es central de gas con contadores individuales y dispone de aire acondicionado en el salón-comedor. Recientemente se han puesto ventanas nuevas en varias estancias. El inmueble tiene 157m² según catastro, de los que 119m² son vivienda y 38m² son elementos comunes. En el Registro de la Propiedad consta una superficie total construida con la parte proporcional de elementos comunes de 138,41m². La ubicación de esta casa en el distrito de Retiro es espectacular: pertenece al señorial barrio de Los Jerónimos, está en el mejor tramo del Paseo de la Reina Cristina, a unos pasos del parque más emblemático de Madrid, y además está muy bien comunicada. Sólo la separan 12 minutos a pie de la Estación de Atocha, 8 minutos de la estación de Metro de Menéndez Pelayo (Línea 1), tiene próximas varias paradas de autobuses urbanos (10, 14, 26, 32, C2, N9, NC1) y un acceso muy sencillo a la M30 y la A3 por la Avenida del Mediterráneo. La vivienda está rodeada de todos los comercios y servicios necesarios. No dude en llamarnos para visitar este estupendo hogar en una ubicación privilegiada. **NO COBRAMOS HONORARIOS AL COMPRADOR** **Este anuncio se muestra a título informativo, no es contractual ni vinculante y puede contener errores**.",True,renew,False,True,,5701.0,True,False,True,False,[],False,False,895000.0,€,True,True,flat,"Jerónimos, Madrid",Piso en paseo de la Reina Cristina,Destacado,,,,
108461545,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/49/ec/1364107754.webp,Mrvlls3,54,,825000.0,chalet,sale,377.0,,5,4,calle Fresno,Madrid,Galapagar,Los Jarales - Las Minas,es,,40.5847876,-3.9745318,False,https://www.idealista.com/inmueble/108461545/,"***¡MAGNÍFICO CHALET INDEPENDIENTE EN UNA URBANIZACIÓN EXCLUSIVA CON PISCINA! ***  Junto a La Colonia de Torrelodones, en uno de los municipios más cotizados de la zona noroeste de Madrid y en un área protegida del parque regional del curso medio del Guadarrama. Esta preciosa casa en Los Jarales reúne la serenidad de un entorno natural privilegiado con la comodidad de tener muy cerca todos los servicios necesarios y de estar muy bien comunicada tanto en coche (A6) como en trasporte público (próxima a la estación de cercanías de Torrelodones y con parada en la puerta del autobús 631, directo a Moncloa). El chalet se levanta en una parcela verde de 522m² con un jardín consolidado y tiene una ubicación inmejorable en la urbanización privada Torrechalet, con sólo 10 vecinos que disfrutan de una espectacular piscina. Le corresponden dos plazas en la zona de aparcamiento exterior techada de la urbanización. La calefacción es de gas natural. La vivienda se distribuye en cuatro plantas con dos accesos (principal y servicio). Cada planta mide entre 75m² y 121m². En la planta principal, el salón se abre a un agradable porche de más de 30m² en el que compartir los mejores ratos al aire libre. Junto al salón con chimenea está el comedor con muy buena luz natural y acceso a la amplia cocina a través de la zona de office. Un buen hall distribuidor y un aseo de cortesía completan esta planta con escalera cómoda para subir a la primera planta. Arriba, brilla una soleada terraza a la que se accede desde dos de los tres dormitorios que ofrece esta planta. Un baño completo da servicio a estos dos dormitorios dobles. El dormitorio principal cuenta con vestidor y baño en suite. La encantadora buhardilla alberga una salita de juegos, dos dormitorios y un gran baño completo. Está equipada con aire acondicionado. La planta sótano cuenta con diferentes estancias y un gran portón. No dude en llamarnos para visitar este estupendo hogar en un enclave privilegiado.   **NO COBRAMOS HONORARIOS AL COMPRADOR** **Este anuncio se muestra a título informativo, no es contractual ni vinculante y puede contener errores**.",True,good,False,,,2188.0,True,False,True,False,[],False,False,825000.0,€,True,True,chalet,"Los Jarales - Las Minas, Galapagar",Casa independiente en calle Fresno,Destacado,independantHouse,,,
106940045,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c3/22/2a/1299264312.webp,,20,4,399000.0,flat,sale,82.0,True,3,1,calle Doctor Fleming,Madrid,San Sebastián de los Reyes,Centro Urbano,es,,40.5488267,-3.6221457,False,https://www.idealista.com/inmueble/106940045/,"""Grupo Hogares"" vende en exclusiva magnífica vivienda, en una de las mejores zonas de San Sebastián. La vivienda se distribuye en tres amplios dormitorios con armarios empotrados, un baño completo con posibilidad de hacer un segundo, amplio salón independiente y cocina. Se completa el inmueble con una cómoda plaza de GARAJE y un TRASTERO. Este piso cuenta con una distribución lógica y equilibrada, con formas geométricas sobrias que lo hacen fácilmente su amueblado. Además, es una vivienda exterior y luminosa, y sin obstáculos arquitectónicos que mermen la entrada de luz. El piso se encuentra en la zona centro, en una de las zonas más tranquilas de la ciudad. La ubicación es inmejorable, con una rápida incorporación a la A-1 y todos los servicios en las proximidades: líneas de autobús, paradas de metro cercanas, Reyes Católicos, y Renfe, Alcobendas- San Sebastián de los Reyes, farmacias, centros deportivos, centros educativos, parques públicos, supermercados, etc. Nuestro departamento financiero "" FinanHogar"" puede conseguir hasta el 100% de financiación. Pregunte para hacer un estudio financiero sin compromiso. ¡NO PIERDA LA OPORTUNIDAD DE VISTAR ESTA EXCLUSIVA VIVIENDA!",True,good,False,True,,4866.0,True,True,False,False,[],False,False,399000.0,€,,,flat,"Centro Urbano, San Sebastián de los Reyes",Piso en calle Doctor Fleming,Destacado,,,,
107098574,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/02/42/1302924014.webp,rec544VM,28,2,7900000.0,flat,sale,473.0,True,4,5,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4312569,-3.6859682,False,https://www.idealista.com/inmueble/107098574/,"Olisson gestiona la venta de esta maravillosa casa de autor en la mejor zona del barrio de Salamanca, Recoletos. Se trata de un elegante piso con 3 amplias suites, orientación sur y 5 balcones a la calle, por lo que es muy luminoso.  Sus 473 m2 se distribuyen de la siguiente manera: accedemos a la casa por un gran hall para recibir que articula el espacio. Desde aquí podemos acceder a la zona de día, compuesta por un gran espacio con 5 balcones a la calle, donde encontramos un amplio salón conectado a una zona con cocina - bar semiintegrada y una zona de estar independiente. La cocina cuenta con electrodomésticos de alta gama panelados, de forma que quedan totalmente ocultos. El salón, muy amplio, cuenta con zona de estar y zona de comedor, y además tiene un cuarto de estar con home cinema que se puede independizar a través de puertas. Si volvemos al hall, encontramos un gran gabanero, un aseo de cortesía y el acceso a la zona de noche de la casa. Esta área se compone de 3 grandes suites, todas ellas con vestidor y baño con iluminación natural, con ventanas hacia diversos patios. Además, encontramos un spa privado, con baño turco e iluminación natural. Al fondo de la vivienda encontramos la segunda cocina, con vistas al bonito patio ajardinado trasero y un espacio para el servicio conectado a la entrada de servicio, compuesto por zona de lavado, dormitorio y baño privado.  La vivienda destaca por haber sido completamente proyectada, rediseñada y reformada integralmente con altas calidades de materiales por un reconocido equipo de interioristas. Cuenta además con un sistema domótico donde se puede controlar tanto desde la app como desde el móvil todos los parámetros, como iluminación, climatización, sonido, accesos…etc. Esto junto a una ubicación inmejorable en plena Milla de Oro y un cuidado proyecto de interiorismo hacen de ella una vivienda de diseño única. Además, la casa cuenta con una plaza de parking de alquiler en el hotel Villamagna. El edificio es clásico, de principios de siglo y ha sido recientemente restaurado, por lo que su estado es inmejorable. Cuenta una bonita fachada clásica, un gran portal representativo, un jardín privado con un bonito paisajismo y portero físico, por lo que es muy cómodo para la vida diaria. Se encuentra en el barrio de Recoletos, en la zona más prime, muy cercano a las mejores tiendas de Serrano y la Milla de Oro, así como a toda la oferta gastronómica de Jorge Juan, en el epicentro del barrio de Salamanca.  El barrio de Recoletos, perteneciente al distrito de Salamanca, destaca por sus espectaculares fincas con portales y fachadas de arquitectura clásica. Tradicionalmente zona residencial, Salamanca ha ido incorporando otras actividades como la comercial, ya que es una de las zonas más exclusivas de Madrid. Cerca del parque del Retiro y del centro, Recoletos destaca por su variada oferta gastronómica y cultural en una zona con muy buena conexión con el centro de la ciudad y fácil acceso y salida de Madrid. [IW].",False,good,False,True,,16702.0,True,False,False,False,[],False,False,7900000.0,€,,,flat,"Castellana, Madrid",Piso,Destacado,,,,
105583045,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/4c/eb/1256753911.webp,EG6126,93,,436403.0,chalet,sale,260.0,,5,3,Calypo,Madrid,Navalcarnero,Calypo,es,,40.2578635,-4.0501543,False,https://www.idealista.com/inmueble/105583045/,"Alcalá inmobiliaria pone a tu disposición este fantástico chalet independiente en la urbanización Calypo II de Navalcarnero. Cinco dormitorios, tres baños, dos salones uno de ellos con chimenea, dos cocinas, garaje, y piscina en parcela de 1080 metros (Según Escrituras). Acompáñame por el recorrido de la casa como si vivieras allí. La entrada a la parcela tiene puerta peatonal y para coches con apertura automática, en la gran parcela tenemos a la entrada gran zona para aparcar o disfrutarla a tu gusto, a la derecha de la entrada la piscina vallada y a la izquierda tenemos un gran terreno con árboles frutales, manzano, kaki, níspero, paraguayo, nectarina, melocotonero etc... huerto, tomates, pepinos, pimientos, frambuesas, etc. invernadero y una caseta al fondo para aperos donde tenemos un filtro para el agua. La vivienda es independiente y tiene terreno por los cuatro lados de la casa. entrando por las escaleras tenemos porche delantero con toldo, puerta principal blindada lacada en blanco, gran hall de entrada a la derecha del hall, salón independiente con chimenea con casete y aparato de aire acondicionado con bomba de calor, de frente al hall tenemos una amplia cocina que queda amueblada con muebles altos y bajos más electrodomésticos básicos (campana, vitrocerámica de inducción y horno), la cocina tiene acceso directo al lateral donde tenemos una pérgola con toldo, la barbacoa y un horno de leña donde poder disfrutar de tus celebraciones.  Siguiendo a la izquierda del hall tenemos pasillo distribuidor donde encontramos a la izquierda un primer dormitorio doble, a la derecha un baño completo con plato de ducha con mampara y ventana, en el baño tenemos termo eléctrico para agua caliente. seguimos por el pasillo y tenemos a la derecha después del baño otro dormitorio doble y de frente tenemos el dormitorio principal con baño en suite con bañera y ventana en este baño también disponemos de termo eléctrico para el agua caliente y radiador calienta toallas, en el dormitorio se acaba de poner un gran armario empotrado a medida. En esta primera planta tenemos suelos de gres rustico, ventanas de aluminio abatibles con rotura de puente térmico y doble climalit en algunas hay mosquiteras, las puertas son de madera y la del salón y la cocina tienen vidriera. desde la primera planta tenemos acceso directo a la planta baja por escaleras. En la planta de abajo tenemos un gran salón con billar, una enorme cocina que queda amueblada con cocina de gas y campana, una gran despensa en la cocina y tiene acceso directo a la parte delantera de la parcela. desde el salón podemos acceder al garaje donde tenemos otra habitación destinada a la caldera de pellets recién instalada para la calefacción y el agua caliente. Además, en planta baja tenemos dos dormitorios uno de ellos con puerta de acceso a la parte trasera de la parcela y dos cuartos trasteros mas un baño con plato de ducha con mampara. En esta planta la carpintería exterior es de hierro y las puertas de madera, el suelo de gres rustico. La vivienda tiene radiadores en todas las dependencias, la calefacción y el agua caliente es por caldera de pellets, aunque tenemos termos eléctricos en los baños de la planta de arriba por si no quisiéramos usar la caldera para el agua caliente. La urbanización Calypo II esta a tan solo seis kilómetros de la villa de Navalcarnero de fácil acceso por la A5 por autobús directo hasta dicha localidad donde tienes todos los servicios necesarios. Si quieres vivir en un entorno privilegiado rodeado de naturaleza y tranquilidad esta es tu casa no dudes en venir a visitarla.  No cobramos comisión al comprador. Nos encargamos de toda la gestión de la compra. Y además ponemos a tu disposición nuestro departamento de hipotecas totalmente gratuito para buscarte las mejores condiciones del mercado. ¿Quieres saber cuánto se te quedaría la letra al mes? ¿Quieres saber qué impuestos conlleva una c.",False,good,False,,,1678.0,True,True,False,False,[],False,False,436403.0,€,True,True,chalet,"Calypo, Navalcarnero",Chalet,Destacado,,,,
109067173,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/35/b1/1363630382.webp,P-6018,71,2,599000.0,flat,sale,97.0,True,3,2,calle de Colomer,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4329376,-3.6646381,False,https://www.idealista.com/inmueble/109067173/,"LINKCASA PASEO EXTREMADURA VENDE un piso de 3 dormitorios (antes 4) en la calle Colomer (barrio Guindalera), muy cerca de la calle Alcalá y la Plaza de Toros de Las Ventas. La vivienda consta de 3 habitaciones (una de ellas doble y con armario empotrado), un amplio salón-comedor, una espaciosa cocina, 2 baños completos (uno con bañera y otro con plato de ducha), tendedero y 2 terrazas (una cerrada y otra descubierta). El inmueble es exterior, muy luminoso, se trata de una segunda planta, está en perfecto estado para entrar a vivir y dispone de calefacción individual de gas natural, bomba de calor y aire acondicionado. El piso se encuentra a 6 minutos del metro Ventas (L-2 y L-5) y a 3 minutos de varias líneas de autobuses de la EMT (43, 48, 53, 74 y N3). La finca tiene la ITE favorable (año 2018). La vivienda se encuentra ubicada en una zona muy tranquila y bien comunicada, con todo tipo de servicios y comodidades a su alrededor (supermercados, restaurantes, entidades bancarias, farmacias, colegios, instalaciones deportivas, zonas verdes.. . etc), lo que hace de la compra del inmueble una excelente opción. Para más información, visítanos en nuestra web: linkcasa. es. No dejes de visitarlo.",True,good,False,False,,6175.0,True,False,True,False,[],False,False,599000.0,€,,,flat,"Guindalera, Madrid",Piso en calle de Colomer,Destacado,,618000.0,19000.0,3.0
