propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,parkingSpace.parkingSpacePrice,newDevelopmentFinished
108974958,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/a0/54/1360578923.webp,7323,51,bj,649000.0,flat,sale,95.0,True,2,2,calle Murillo,Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,Prado de Somosaguas,40.4023828,-3.7847237,False,https://www.idealista.com/inmueble/108974958/,"Descubre este magnífico bajo en la exclusiva zona de Somosaguas. Una vivienda de 192 m2 construidos y 72,45m2 útiles, perfecta para disfrutar de la tranquilidad sin renunciar al todas las comodidades. El piso cuenta con dos impresionantes zonas ajardinadas: una con acceso directo desde el salón, ideal para reuniones al aire libre, y otra que se conecta con el dormitorio principal, creando un oasis de paz. La urbanización es cerrada y ofrece una amplia gama de servicios, como una refrescante piscina, una zona segura infantil y una pista de pádel para los amantes del deporte. La vivienda se vende con dos plazas de garaje y un trastero, solucionando todos tus problemas de almacenamiento y estacionamiento. Actualmente estamos realizando algunas mejoras en la vivienda, por lo que no disponemos de fotos de todas las estancias. Te animamos a visitarla para descubrir su verdadero potencial. ¡No te pierdas la oportunidad de vivir en un entorno privilegiado! Para más información, no dudes en contactar.  .",True,good,False,True,6832.0,True,False,True,False,[],False,False,649000.0,€,670000.0,21000.0,3.0,True,True,flat,"Prado de Somosaguas, Pozuelo de Alarcón",Piso en calle Murillo,Destacado,,,
109173790,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/68/c4/1366702492.webp,,21,4,179900.0,flat,sale,66.0,True,3,1,calle del Pilar,Madrid,Móstoles,Centro,es,,40.3234884,-3.8691968,False,https://www.idealista.com/inmueble/109173790/,"¡Descubre tu nuevo hogar en Móstoles! Vivienda en buen estado de 66m² te ofrece todo lo que necesitas para vivir cómodamente. Ubicado en una cuarta planta sin ascensor, disfrutarás de un salón comedor luminoso y una amplia cocina con tendedero. Con tres amplios dormitorios y un baño con ventana. Este piso es perfecto para familias o para quienes buscan su primera vivienda. Reformado con elegantes puertas lacadas en blanco y ventanas climalit oscilobatientes, este piso garantiza confort y eficiencia energética. La ubicación es inmejorable: a solo 2 MINUTOS del Metro Pradillo y a 5 minutos de la estación de Renfe Móstoles Central, tendrás excelente conexión con el resto de la ciudad. Además, estarás cerca de centros de salud, zonas comerciales, paradas de autobús y una variada oferta de ocio y hostelería. ¡Contáctanos rápidamente o visitanos en OFICINA DOS DE MAYO 59 para más información y no pierdas la oportunidad de visitar este piso en buen estado que podría convertirse en tu nuevo hogar!",False,good,False,False,2726.0,True,True,False,False,[],False,False,179900.0,€,,,,,,flat,"Centro, Móstoles",Piso en calle del Pilar,Destacado,,,
109169263,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/ec/8c/1366320828.webp,1399,28,4,350000.0,flat,sale,105.0,True,4,1,calle del General Ricardos,Madrid,Madrid,Carabanchel,es,San Isidro,40.3931086,-3.7233394,False,https://www.idealista.com/inmueble/109169263/,"Inmobiliaria Vivahogar Madrid ofrece piso en VENTA DEE 4 HABITACIONES Y TERRAZA EN LA ZONA DE CARABANCHEL El piso se ubica en una CUARTA PLANTA SIN ASCENSOR, TIENE 105 M2 SEGUN CATASTRO Y SE COMPONE DE: CUATRO habitaciones amplias, un salón con TERRAZA muy luminoso, cocina y baño es una vivienda con muchas posibilidades de reforma, incluso de hacer una QUINTA HABITACION IDEAL INVERSION! 1 Respecto a la comunicación cuenta con la cercanía de las estaciones de metro: Opañel, Urgel y Marques de vadillo. (líneas 5 y 6). Acceso a líneas de autobús en un radio de 500m: 34,35, 118,119 nocturno n26. La zona ofrece numerosos servicios asistenciales de salud como: Centro de Salud General Ricardos. Dispone de la facilidad de conseguir 5 farmacias (una de 24 horas). El barrio cuenta con alrededor de 10 supermercados (Aldi, Supersol, Dia, Carrefour express, BM, Mercadona y Lidl) Para la oferta educativa el barrio cuenta con 2 bibliotecas municipales y 7 colegios públicos y privados. Inmobiliaria de prestigio en Madrid Fuerza global, experiencia local.",False,renew,False,False,3333.0,True,False,False,False,[],False,False,350000.0,€,,,,,,flat,"San Isidro, Madrid",Piso en calle del General Ricardos,Destacado,,,
104107073,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/12/3a/1210019012.webp,4440,15,2,167000.0,flat,sale,63.0,True,3,1,Cl. Luis Torres,Madrid,Alcalá de Henares,Juan de Austria,es,,40.4878919,-3.3568886,False,https://www.idealista.com/inmueble/104107073/,"Oportunidad de inversión: INMUEBLE ALQUILADO. Renta actual: 673 €/mes. Fecha de fin de contrato: 10/2027. IMPOSIBILIDAD DE VISITAR LA VIVIENDA. Piso en Alcalá de Henares, Madrid. Dispone de una superficie de 63 m² distribuidos en 3 habitaciones, un luminoso salón-comedor con acceso a una terraza acristalada, cocina amueblada y 1 baño completo con bañera y ventana. Cerca de comercios, restaurantes, supermercados, centros educativos, centros sanitarios, zonas verdes y paradas de autobús. Con acceso fácil acceso a la A-2. LAS FOTOGRAFIAS PUEDEN NO CORRESPONDERSE CON EL ESTADO ACTUAL DEL INMUEBLE. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa.",False,renew,False,False,2651.0,True,False,False,False,[],False,False,167000.0,€,,,,,,flat,"Juan de Austria, Alcalá de Henares",Piso en Cl. Luis Torres,Destacado,,,
109180767,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/66/38/1366661043.webp,21757,39,bj,332000.0,duplex,sale,100.0,True,2,3,avenida Real,Madrid,Madrid,Vicálvaro,es,Casco Histórico de Vicálvaro,40.4035027,-3.6087037,False,https://www.idealista.com/inmueble/109180767/,"Inmobiliaria KRONOX vende en EXCLUSIVA vivienda de 2 dormitorios, 2 baños, aseo, plaza de garaje y trastero con posibilidad de agregarlo a la vivienda mediante escalera al estar situado en la parte superior de la vivienda mediante escalera, muy bien situado. Inmueble con estancias amplias; se distribuye en hall, salón comedor muy luminoso, 2 dormitorios, el principal con baño incorporado, cocina con muebles altos y bajos. Además cuenta con dos terrazas, una de ellas cerrada.  Características adicionales; calefacción de gas natural individual, aire acondicionado en el salón y puerta blindada.  Piso muy céntrico paradas de metro y autobús muy luminosos y amplio para entrar a vivir.  Buena ubicación a tan sólo 3 minutos andando del metro de Vicálvaro (Línea 9) y bien comunicado con el tren de cercanías de Renfe de Vicálvaro (C2 y C7), así como parada de la líneas de autobús (4, 100, 106, 130, 287 y E3, E5). Fácil acceso a M-40 y A3.  La zona cuenta con supermercados, zonas de ocio, bares, restaurantes, centros comerciales, zonas ajardinadas como el parque de Valdebernardo y el famoso parque zoológico Faunia. También podemos encontrar la Universidad Rey Juan Carlos, hospitales, IFEMA (Feria de Madrid) y a 12 min del Aeropuerto. Fácil acceso a M-40 y A3.  Todo tipo de servicios (farmacia, bancos, mercado, centro comercial, colegios, escuela infantil, comercios variados, restaurantes,.. . )  Si lo que quieren es vivir en ""Vicálvaro"", no lo duden más, esta es su vivienda y su próxima visita puede marcar la diferencia. Llámenos y nuestro departamento comercial estará encantado de mostrarles el inmueble sin compromiso.               Tu Inmobiliaria de Barrio en Vicálvaro y Moratalaz.",False,good,False,False,3320.0,True,False,False,False,[],False,False,332000.0,€,,,,True,True,flat,"Casco Histórico de Vicálvaro, Madrid",Dúplex en avenida Real,Destacado,duplex,,
108837507,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/41/53/1356592881.webp,,27,bj,480000.0,flat,sale,143.0,True,3,1,calle de Ribadavia,Madrid,Madrid,Fuencarral,es,Pilar,40.4721267,-3.7077739,False,https://www.idealista.com/inmueble/108837507/,"Tecnocasa Estudio Betanzos vende en la calle Ribadavia vivienda de 3 dormitorios en planta baja, con buena luminosidad por su orientación y acceso a una terraza amplia. El inmueble está compuesto por un hall recibidor, un salón espacioso, cocina-comedor, terraza, tres dormitorios, y dos baños completos. Incluye trastero en la misma finca. La vivienda está parcialmente reformada. La carpintería es de madera lacada en color blanco, el suelo es de parqué, las ventanas son de aluminio con rotura de puente térmico y la fontanería está renovada tanto en los baños como en la cocina. La finca cuenta con parking comunitario, portero físico, calefacción central, jardín, video portero y videovigilancia. Desde el portal hay acceso peatonal a Sinesio Delgado y al parque Rodriguez Sahagún. Ubicada en una zona tranquila, rodeada de parques y supermercados, la vivienda se encuentra bien localizada, a diez minutos caminando del CC La Vaguada y con fácil acceso en transporte público y privado. Servicios de transporte: · M-30 - Avenida de la ilustración, M-40- Sinesio Delgado. A-1 y A-6. · Metro Línea 7 Peñagrande y 9 Barrio del Pilar. · Bus 126, 127, 128, 42, 49, 147 y N22. Con KIRON realizamos un estudio de financiación gratuito con el que encontrar la hipoteca que mejor se adapte a sus necesidades y pueda beneficiarse de los convenios que tiene el Grupo Tecnocasa con diferentes entidades bancarias. Posibilidad de financiación hasta 100%. Precio sin incluir gastos de compraventa, comisiones, ni impuestos (rogamos consulten telefónicamente con la agencia para más información.",False,good,False,True,3357.0,True,False,False,False,[],False,False,480000.0,€,500000.0,20000.0,4.0,,,flat,"Pilar, Madrid",Piso en calle de Ribadavia,Destacado,,,
109194931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/b6/f6/1367081847.webp,,16,4,221000.0,flat,sale,78.0,True,2,1,calle Rio Duero,Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,San Nicasio,40.3349521,-3.7654735,False,https://www.idealista.com/inmueble/109194931/,"INMOBILIARIA EN SAN NICASIO - TECNOCASA ESTUDIO RÍO DUERO S. L ¡PISO CON ASCENSOR EN CUARTA PLANTA REFORMADO EN SAN NICASIO! Esta situado en muy buena zona cerca de metrosur San Nicasio, Renfe Leganés-Central, universidad Carlos III y centro de Leganés. El piso es muy amplio con muy buena distribución consta de entrada, salón, cocina muy amplia, baño, 2 dormitorios (ANTES 3) y terraza. DETALLE DE CALIDADES - Calefacción individual de gas natural - Cocina amueblada - Suelos de gres - Ventanas de aluminio - Puertas madera sapeli - Puerta blindada -Split de aire acondicionado frío y calor en el salón - armario empotrado en la entrada - tuberias e instalación eléctrica cambiada. Asesoramiento financiero sin compromiso, te ayudamos a conseguir las mejores condiciones con las entidades bancarias.",True,good,False,True,2833.0,True,False,False,False,[],False,False,221000.0,€,,,,,,flat,"San Nicasio, Leganés",Piso en calle Rio Duero,Destacado,,,
108521127,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/ff/1c/1347376417.webp,PR01597,48,4,850000.0,flat,sale,104.0,False,3,2,"calle de Narváez, 39",Madrid,Madrid,Retiro,es,Ibiza,40.4199654,-3.6757737,True,https://www.idealista.com/inmueble/108521127/,"Madrid, barrio de Retiro. - Fabuloso piso en el barrio de Retiro de 105 metros cuadrados de superficie en una cuarta planta orientación este a un gran patio de manzana que asegura luminosidad y tranquilidad. El piso está distribuido en hall, salón comedor, tres dormitorios dobles con un cuarto de baño completo, un aseo y una gran cocina con office. La vivienda se encuentra situada en uno de los barrios más demandados de Madrid, a 5 minutos andando de el Parque de El Retiro y con toda clase de servicios a la puerta de casa, desde farmacias, comercios de todo tipo, terrazas, restaurantes, hospitales, etc. A nivel de comunicaciones, el metro más cercano es la estación de Ibiza, que se encuentra a 4 minutos andando, con otras posibilidades como la estación de Goya o Príncipe de Vergara. Autobuses a la puerta de casa con multitud de líneas de transporte. El barrio también tiene una salida rápida a la M30. Sin duda una oportunidad para vivier en una de las mejores zonas de Madrid.",False,good,False,True,8173.0,True,False,False,False,[],False,False,850000.0,€,,,,,,flat,"Ibiza, Madrid","Piso en calle de Narváez, 39",Destacado,,,
108698776,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/78/a6/1352495071.webp,,44,,495000.0,chalet,sale,248.0,,3,3,calle Río Jarama,Madrid,Arroyomolinos,Zona el Caño,es,,40.2728951,-3.9281955,False,https://www.idealista.com/inmueble/108698776/,"CAPITAL HOME ARROYOMOLINOS VENDE EN EXCLUSIVA MAGNÍFICO CHALET ADOSADO EN UNA DE LAS MEJORES ZONAS DE ARROYOMOLINOS.  Se distribuye de la siguiente manera: Planta principal: al entrar, tenemos un amplio hall de entrada con armario de cortesía, y un aseo de cortesía reformado. El salón-comedor es muy luminoso, cuenta con chimenea con cassete y acceso directo a una terraza con acceso al jardín privado con piscina. La cocina de grandes dimensiones con office y despensa. Planta Superior: La planta de arriba alberga dos dormitorios secundarios, uno de ellos con terraza y ambos con armarios empotrados, que comparten un baño completo con bañera, ofreciendo comodidad y privacidad. El dormitorio principal destaca por su generoso vestidor y un baño en suite con plato de ducha y una terraza. •Bodega: En la bodega, descubrirá un salón versátil con salida al jardín, perfecto como área de ocio y entretenimiento o como espacio de trabajo. El garaje tiene capacidad para dos coches, brindando comodidad y seguridad. Equipamientos:  -Armarios empotrados. -Aire acondicionado. -Puertas Motorizadas. -Piscina privada. -Gas natural. -Carpinteria en blanco. No pierda la oportunidad de adquirir este maravilloso chalet adosado, que combina espacios amplios y funcionales con una ubicación inmejorable. ¡Contáctenos para más información y para concertar una visita! 100% DE FINANCIACIÓN!",False,good,False,,1996.0,True,False,False,False,[],False,False,495000.0,€,,,,True,True,chalet,"Zona el Caño, Arroyomolinos",Chalet adosado en calle Río Jarama,Destacado,terracedHouse,,
109206036,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/fe/27/1367454474.webp,bajo reformado,20,bj,189500.0,flat,sale,77.0,True,3,1,calle Río Segura,Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,San Nicasio,40.3342623,-3.7667965,False,https://www.idealista.com/inmueble/109206036/,"INMOBILIARIA EN SAN NICASIO - TECNOCASA ESTUDIO RÍO DUERO S. L vende: ¡PLANTA BAJA REFORMADA EN SAN NICASIO! La vivienda esta situada en muy buena zona cerca de metrosur San Nicasio, Renfe Leganés-Central, universidad Carlos III y centro de Leganés. El piso consta de entrada, salón, cocina, baño, 3 dormitorios y terraza de cocina. DETALLE DE CALIDADES - Calefacción individual de gas natural con caldera Saunier Duval- Cocina amueblada - Suelos de gres - ventanas de aluminio blanco - Puertas madera de pino - Puerta blindada de entrada - baño con bañera de hidromasaje- split de aire acondicinado de frío y calor en el salón. Asesoramiento financiero sin compromiso, te ayudamos a conseguir las mejores condiciones con las entidades bancarias.",True,good,False,False,2461.0,True,False,False,False,[],False,False,189500.0,€,,,,,,flat,"San Nicasio, Leganés",Piso en calle Río Segura,Destacado,,,
