propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished,detailedType.subTypology
109044460,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/48/3f/1362540614.webp,CM-426729,34,bj,710000.0,flat,sale,96.0,True,3,2,Barrio Arapiles,Madrid,Madrid,Chamberí,es,Arapiles,40.4387802,-3.7069252,False,https://www.idealista.com/inmueble/109044460/,"Única ofrece completamente reformado, y a estrenar este luminoso piso en venta ubicado en el prestigioso barrio Chamberí, esta vivienda destaca por su ubicación y comodidad ideal para una familia o como una excelente inversión para estudiantes ya que está rodeada de todas las reconocidas universidades de Madrid y cuenta con una excelente conexión a toda la ciudad en transporte público. cuenta con una superficie total de 96 m², La zona de descanso está compuesta por 3 habitaciones, 2 de ellas dobles y 2 baños, salón - comedor y cocina completamente equipada para mayor disfrute y comodidad, todas las estancias cuentan con armarios empotrados. , aire acordonado por conductos y calefacción central brindando así confort durante todo el año. Además, está adaptado para personas con discapacidad y cuenta con sistema de seguridad. con portero físico, es el lugar perfecto para quienes buscan un estilo de vida cómodo, en un barrio tranquilo pero lleno de vida, y con todo lo necesario para disfrutar del máximo confort, con una ubicación inmejorable. ¡No dejes pasar esta oportunidad única de adquirir tu nueva vivienda en una de las zonas más demandadas de Madrid! En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,7396.0,True,False,False,False,[],False,False,710000.0,€,720000.0,10000.0,1.0,flat,"Arapiles, Madrid",Piso,Top,,,,
108124424,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/a5/68/1335050491.webp,c8831994-b4fc-4f0e-8edd-e45e27636c76,28,1,475000.0,flat,sale,66.0,True,1,1,calle de los Estudios,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4109088,-3.7085486,False,https://www.idealista.com/inmueble/108124424/,"Descubre este acogedor piso de 66 metros cuadrados en el vibrante barrio de La Latina, a un paso del emblemático Mercado de la Cebada, rodeado de historia, cultura y vida. Una ubicación inmejorable para quienes valoran la comodidad, la accesibilidad y el carácter único del centro de Madrid. La vivienda, que cuenta con calidades de lujo, ofrece un ambiente cálido. Dispone de un amplio y luminoso salón abierto a la cocina, ideal para disfrutar de momentos especiales, un dormitorio doble con mirador y un baño completo. Destacan el suelo de mármol con calefacción y refrigeración por hilo radiante, que garantiza una temperatura perfecta todo el año, y las persianas motorizadas con mando a distancia, que aportan confort y aislamiento acústico, permitiéndote disfrutar de lo que es vivir en el bullicio de una gran ciudad, rodeado del silencio.  El salón cuenta con un agradable balcón que llena el espacio de luz natural, mientras que el dormitorio ofrece un encantador mirador, haciendo de cada rincón un lugar acogedor y luminoso. El inmueble incluye además dos armarios empotrados y un práctico trastero, facilitando el orden y el almacenaje. La finca dispone de un patio interior y cuarto de basuras para mayor comodidad. Situada en La Latina, una de las zonas más vibrantes y auténticas de Madrid, esta vivienda se encuentra rodeada de historia, cultura y vida. Con una oferta variada de teatros, bares tradicionales, restaurantes, mercados y excelente conexión con transporte público, es una ubicación ideal tanto para vivir como para invertir. Una oportunidad única de disfrutar de la vida en el centro con todas las comodidades actuales. Sin comisión de agencia. ¡Os asesoraremos en todo el proceso de compra!",True,good,False,True,7197.0,True,True,False,False,[],False,False,475000.0,€,,,,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de los Estudios,Top,,,,
108960936,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/57/fd/1360383912.webp,BFU-V1934,27,1,185000.0,flat,sale,53.0,False,2,1,calle de Gabriel Usera,Madrid,Madrid,Usera,es,Moscardó,40.3861927,-3.7107726,False,https://www.idealista.com/inmueble/108960936/,"CONTACTAR CON EXTENSIÓN Nº1 en en la zona de USERA, perteneciente al distrito de MOSCARDO. Se sitúa cerca de la zona de.    La vivienda se localiza en la planta PRIMERA del edificio. NO dispone de ascensor.  Data del año 1950 y cuenta con ITE.  La finca dispone de 2 dormitorios, 1 baño, salón, cocina y terraza/patio  El estado de la vivienda es: para actualizar. Se vende y su orientación es Sur.  El inmueble destaca por tener: una buena ubicación muy cerca del metro de Usera, a 100 mtrs  Dispone de 53 metros cuadrados, distribuidos en: 2 dormitorios, baño, cocina, salón y terraza/patio  Además, el inmueble necesita una actualización aunque han estado viviendo hasta hace 1 mes aprox 西亚房产为您服务‼️ 想买房 想贷款 想投资 或者想卖房的朋友们 欢迎大家联系我们讲叙您的需求 我们为您量身打造一个方案帮您实现✔ 添加我们微信号: Bafre2004 关注更多房源  ¿NECESITA HIPOTECA? No dude en contactar con nosotros:  ¿VENDE SU INMUEBLE?  Con oficinas en Madrid y Pekín, BAFRE cuenta con una importante cartera de clientes e inversores internacionales, sobre todo asiáticos. Coordinamos viajes constantes de clientes chinos a Madrid, y les ayudamos en la gestión para obtener el Visado Oro de residencia. Más de veinte años de experiencia en el sector. Valoramos gratuitamente su inmueble y ofrecemos servicios de asesoramiento jurídico y fiscal, además de disponer de un departamento postventa.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ) > Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",False,good,False,False,3491.0,False,False,False,False,[],False,False,185000.0,€,189000.0,4000.0,2.0,flat,"Moscardó, Madrid",Piso en calle de Gabriel Usera,Top,,,,
109122368,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d3/30/66/1365702267.webp,,29,bj,289900.0,flat,sale,60.0,False,1,1,calle de Pablo Picasso,Madrid,Alcobendas,Alcobendas Centro,es,,40.5414458,-3.6353596,False,https://www.idealista.com/inmueble/109122368/,"HOGARES ALCOBENDAS VENDE EN EXCLUSIVA fantástico bajo interior CONSTRUIDO EN 2019 en una de las zonas más céntricas del municipio, próximo a todo tipo de servicios, colegios, zonas verdes, parques infantiles, paradas de autobús, estación de Renfe, parada de metro, supermercados, etc. La VIVIENDA se distribuye de la siguiente manera: -Encontramos nada mas entrar un salón abierto que conecta de forma fluida con la cocina americana, equipada con una elegante isla central. Esta estancia se convierte en el corazón del hogar, con una disposición que maximiza el espacio y la comodidad. -A la derecha de la entrada encontramos una terraza exterior de uso privativo con un rincón chill-out, barbacoa y mesa para 6 comensales, perfecto para reuniones sociales. -Desde el salón un pasillo distribuidor nos lleva a la zona mas privada de la casa. A la izquierda se sitúa un baño con un plato de ducha, lavabo moderno con mueble toallero de diseño practico y contemporáneo. -A fondo del pasillo encontramos la habitación, amplia y luminosa que ofrece un espacio para una cama grande, armarios empotrados y un espacio perfecto para utilizarlo como despacho. También se puede acceder a la terraza desde la habitación, lo que aporta luz natural en la mayor parte del día. LA VIVIENDA CUENTA CON DOS SPLITS DE AIRE ACONDICIONADO CON BOMBA DE FRIO/CALOR.  PLAZA DE GARAJE Y TRASTERO INCLUIDOS EN EL PRECIO La urbanización contiene: - Piscina de gran capacidad. - Sala de reuniones. - Zonas verdes. NO PIERDAS LA OPORTUNIDAD, Y VEN A VER LA VIVIENDA SIN COMPROMISO. ¡FINANCIACIÓN 100%!",False,good,False,True,4832.0,True,False,False,False,[],False,False,289900.0,€,,,,flat,"Alcobendas Centro, Alcobendas",Piso en calle de Pablo Picasso,Top,True,True,,
108440073,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/af/9d/1344925065.webp,CLK00/4982,26,2,410000.0,flat,sale,47.0,False,2,1,calle de Granada,Madrid,Madrid,Retiro,es,Pacífico,40.4063326,-3.6823617,False,https://www.idealista.com/inmueble/108440073/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Pacífico, en Madrid. La vivienda está ubicada en la 2 planta interior con ascensor. Dispone de una superficie total de 47 m², distribuidos en salón y comedor, cocina independiente equipada, 2 dormitorios y 1 baño. Además, cuenta con ascensor, cocina amueblada, aire acondicionado y accesibilidad para personas con movilidad reducida. Situado en el barrio de Pacífico, en la Calle Granada, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Centro Deportivo Municipal Daoiz y Velarde 1, el Parque de El Retiro y a estación de tren Madrid Puerta de Atocha-Almudena Grandes. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro Menéndez Pelayo (L1). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,8723.0,True,False,False,False,[],False,False,410000.0,€,,,,flat,"Pacífico, Madrid",Piso en calle de Granada,Top,,,,
108154685,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/0e/d9/1366241484.webp,CLK00/4962,18,7,799000.0,flat,sale,81.0,True,2,2,avenida de la Reina Victoria,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4471198,-3.7049439,False,https://www.idealista.com/inmueble/108154685/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Vallehermoso, en Madrid. La vivienda está ubicada en la 7 planta exterior con ascensor. Dispone de una superficie total de 81 m², distribuidos en salón y comedor, cocina abierta amueblada, 2 dormitorios y 2 baños. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados, aire acondicionado y portero. Situado en el barrio de Vallehermoso, en la Calle Reina Victoria, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como El Corte Inglés Castellana, el Mercado de Maravillas y del Parque del Tercer Depósito. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús, a la estación de metro Cuatro Caminos (L1, L2 y L6) y a la estación de tren Nuevos Ministerios (C1, C2, C3, C4, C4a, C4b, C7 y C10). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,9864.0,True,False,False,False,[],False,False,799000.0,€,,,,flat,"Vallehermoso, Madrid",Piso en avenida de la Reina Victoria,Top,,,,
107990346,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/e4/8e/1351408735.webp,CLK00/4693,26,1,600000.0,flat,sale,97.0,True,3,2,calle de Toledo,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4088103,-3.7102342,False,https://www.idealista.com/inmueble/107990346/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicada en el barrio de Lavapiés-Embajadores, en Madrid. La vivienda está ubicada en la 1 planta exterior con ascensor. Dispone de una superficie total de 97 m², distribuidos en salón y comedor, cocina independiente amueblada, 3 dormitorios y 2 baños. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados, aire acondicionado y accesibilidad para personas con movilidad reducida. Situado en el barrio de Lavapiés-Embajadores, en la Calle Toledo, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como la Catedral de Santa María la Real de la Almudena, la Plaza Mayor, el Teatro La Latina y el Mercado de la Cebada. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro Puerta de Toledo (L5). Agenda tu visita presencial y te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",True,good,False,True,6186.0,True,False,False,False,[],False,False,600000.0,€,,,,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Toledo,Top,,,,
108915986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/cc/a9/1360208464.webp,6356a105-94db-4ef6-978f-37a1404ada64,55,3,810000.0,flat,sale,167.0,True,2,2,calle de María de las Mercedes de Borbón,Madrid,Madrid,Hortaleza,es,Valdebebas - Valdefuentes,40.4982574,-3.6226091,False,https://www.idealista.com/inmueble/108915986/,"Descubre este impresionante y moderno piso, en perfectas condiciones para ocupar hoy, en Valdebebas-Valdefuentes. Con una superficie de 167 m2 construidos, 78 habitables, esta propiedad ofrece 2 dormitorios 2 baños uno de ellos en suite, cocina abierta al salón ideales para un estilo de vida moderno y cómodo. Ambos dormitorios disponen de armarios empotrados. El edificio cuenta con servicios excepcionales como servicio de vigilancia las 24 horas del día, ascensor, gimnasio compartido, piscina comunitaria, jardín, pista de pádel, zona infantil y sala común. El piso es accesible para silla de ruedas y está equipado aerotermia suelo radiante y refrescante tiene una maravillosa terraza. Además cuenta con 2 amplias plazas de garaje y trastero. Valdefuentes, en el distrito de Hortaleza, es un barrio moderno y en constante crecimiento que combina zonas residenciales de alta calidad con una excelente oferta de servicios. Su ubicación privilegiada en el norte de Madrid lo convierte en una opción ideal para quienes buscan tranquilidad sin renunciar a la conectividad y las comunidades urbanas. Este barrio destaca por sus amplios espacios verdes, como el Parque de Valdebebas, ideales para el ocio y el deporte al aire libre. Además cuenta con centros educativos, sanitarios, zonas comerciales y restaurantes, ofreciendo una gran calidad de vida a sus residentes. Una oportunidad única en una ubicación privilegiada de Madrid. ¡No dejes pasar esta oportunidad!",True,good,False,True,4850.0,True,True,False,False,[],False,False,810000.0,€,,,,flat,"Valdebebas - Valdefuentes, Madrid",Piso en calle de María de las Mercedes de Borbón,Top,True,True,,
108598785,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/38/9b/1358424900.webp,CLK00/4998,26,1,560000.0,flat,sale,68.0,True,3,1,calle de Miguel Servet,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.407833,-3.6998445,False,https://www.idealista.com/inmueble/108598785/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Lavapiés-Embajadores, en Madrid. La vivienda está ubicada en la 1 planta exterior con ascensor. Dispone de una superficie total de 68 m², distribuidos en salón y comedor, cocina independiente, 3 dormitorios y 1 baño. Además, cuenta con ascensor, cocina amueblada, armarios empotrados, aire acondicionado y accesibilidad para personas con movilidad reducida. Situado en el barrio de Lavapiés-Embajadores, en la Calle MIGUEL SERVET, cuenta con una ubicación que te permitirá estar cerca del Parque Casino de la Reina, así como de restaurantes, supermercados y de la estación de Embajadores. Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",True,good,False,True,8235.0,True,False,True,False,[],False,False,560000.0,€,,,,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Miguel Servet,Top,,,,
107852627,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/c6/46/1228963554.webp,,20,,2200000.0,chalet,sale,580.0,,5,6,"calle Traviata, 66",Madrid,Majadahonda,Los Satélites - Roza Martín,es,,40.4549803,-3.8941675,True,https://www.idealista.com/obra-nueva/107852627/,"Viviendas unifamiliares independientes con más de 580m² construidos sobre parcelas de 1.000m². Ubicadas en Roza Martín (Majadahonda), una de las zonas más exclusivas del noroeste de Madrid. Rodeadas de naturaleza, cuentan a su alrededor con gran cantidad de servicios comerciales, deportivos, sanitarios y escolares. Apertura de las zonas de estar al interior de la parcela, aumentando la privacidad y la continuidad de todos los espacios interiores con el exterior.",True,newdevelopment,True,,3793.0,False,False,False,False,[],False,False,2200000.0,€,,,,chalet,"Los Satélites - Roza Martín, Majadahonda","Casa independiente en calle Traviata, 66",Top,True,True,True,independantHouse
