propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,status,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107470011,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/00/f1/1313740604.webp,302,15,3,1250000.0,flat,sale,106.0,True,2,2,"Fucar, 5",Madrid,Madrid,Centro,es,Huertas-Cortes,40.4121907,-3.6955664,True,https://www.idealista.com/obra-nueva/107470011/,"Be Grand Las Letras es un conjunto residencial diseñado para experimentar lujo, modernidad e historia. Se trata de un proyecto de obra nueva, moderno y vanguardista en armonía con su entorno, situado en la calle Fúcar 5. Cuenta con 47 viviendas, 80 plazas de aparcamiento e increíbles áreas comunes como rooftop con piscina, gimnasio y jardín.",False,True,True,False,11792.0,False,False,False,False,[],False,False,1250000.0,€,True,True,flat,"Huertas-Cortes, Madrid","Piso en Fucar, 5",Top,,,,,
108972130,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/2b/ab/1360491839.webp,2253-463-PS,42,11,1450000.0,penthouse,sale,210.0,True,5,3,calle del Corazón de María,Madrid,Madrid,Chamartín,es,Prosperidad,40.446069,-3.6677359,False,https://www.idealista.com/inmueble/108972130/,"ÁTICO SEÑORIAL CON TERRAZA PANORÁMICA Corazón de María – Madrid Descubra una propiedad única en Madrid: un ático de 210 m² construidos más terraza perimetral, ubicado en un edificio representativo de los años 80 con elegante portería y conserjería. Su distinguido recibidor de mármol da paso a una atmósfera de confort y exclusividad, reforzada por entrada de servicio independiente para paquetería y recados domésticos. Distribución y estancias principales •Gran salón de 4 ambientes—salón principal, despacho/lectura, sala de estar y comedor formal—rodeado de ventanales y salida directa a la terraza, bañados en luz natural todo el día. •Cocina office con comedor diario y acceso discreto desde la zona social. •Aseo de cortesía junto a la entrada. •Cinco dormitorios: o2 suites con baño integrado. o3 habitaciones adicionales que comparten un baño completo. oEspacioso distribuidor polivalente (zona de trabajo, juegos, sala de cine). •Baños totalmente renovados con materiales nobles y diseño vanguardista. Calidades y equipamiento •Reforma integral (2002) con carpintería interior lacada, suelos de madera y mármol en los baños. •Climatización por conductos (aire acondicionado y calefacción individual). •Cerramientos de alta eficiencia para aislamiento térmico-acústico. •Instalación eléctrica y fontanería actualizadas. •Plaza de garaje en la misma finca. Edificio y servicios comunitarios •Portal señorial con acceso sin barreras arquitectónicas. •Conserje presencial y circuito cerrado de seguridad. •Dos ascensores principales + montacargas de servicio. •Calefacción central con contadores individuales y depósito de agua caliente. Ubicación privilegiada Situado en la codiciada Avenida Corazón de María, una vía ancha y arbolada que combina comercios premium, cafeterías con terraza, gimnasios boutique y aparcamientos públicos. •Conexiones excelentes: Metro (líneas 4 y 9), múltiples autobuses y acceso inmediato a la M-30 y A-2. •Próximo a zonas verdes emblemáticas (Parque de Berlín, Auditorio Nacional). •Rodeado de colegios bilingües e institutos de prestigio, centros sanitarios de referencia y una completa oferta cultural y de ocio. ¿Por qué es una oportunidad? La combinación de altura, orientación y terraza continua ofrece vistas despejadas de 270° sobre el skyline madrileño, algo muy poco frecuente en el mercado actual. Su planta cuadrada, la calidad de la reforma y la amplitud de sus estancias permiten adaptar la vivienda a las necesidades de hoy sin renunciar al encanto señorial. Viva cada amanecer con la silueta de Madrid a sus pies y disfrute de un estilo de vida exclusivo en una de las zonas mejor comunicadas de la capital. Solicite una visita privada y dé el próximo paso hacia la casa que siempre imaginó.",True,False,True,,6905.0,True,True,False,False,[],False,False,1450000.0,€,True,True,flat,"Prosperidad, Madrid",Ático en calle del Corazón de María,Top,good,penthouse,,,
108630384,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/51/9b/1350452683.webp,W-030G5B,31,5,595000.0,flat,sale,92.0,True,1,1,Barrio Sol,Madrid,Madrid,Centro,es,Sol,40.4165551,-3.7026755,False,https://www.idealista.com/inmueble/108630384/,"Exclusivo atico abuhardillado de diseño Engel & Volkers tiene el placer de comercializar este exclusivo apartamento en el corazón de Madrid, en la famosa y vibrante zona de Sol, una joya arquitectónica construida en 1881 que ofrece una experiencia de vida única. Con una superficie total de 92 metros cuadrados, este elegante hogar en una quinta planta abuhardillado combina historia y modernidad, ideal para quienes buscan lo mejor de la vida urbana. Al entrar, el alargado, luminoso y cálido pasillo nos transporta a un espacio de vida de 86 metros cuadrados que junto con sus techos abuhardillados nos inundan de luz natural  El moderno salón comedor, con su cocina americana integrada ha sabido combinar lo moderno con lo histórico conservando sus vigas de madera originales que junto con sus ventanas de velux nos inunda de luz desde primeras horas del dia La zona de descanso compuesta por un amplio dormitorio independiente con sus gran cama doble, y unido a el como continuacion del salon otro espacio con otra gran cama doble nos transportan a ese merecido descanso  El cuarto de baño amplio, con una gran ducha y con bañera de época nos invita a ver las estrellas a la luz de las velas  El apartamento ha sido totalmente reformado, se entrega amueblado y listo para entrar a vivir  Descubra el encanto de vivir en un edificio histórico que ofrece todas las comodidades modernas que busca.  El inmueble con conserje refleja un estilo de vida de alto nivel Fantástica ubicación en zona centro, Sol es el corazón de Madrid y la Puerta del Sol la más famosa de toda la capital, el barrio cuenta con una variada dotación, tanto a nivel comercial, con grandes almacenes, como la recién y lujosa inaugurada Galería Canalejas y tiendas de las principales marcas nacionales e internacionales, así como con una amplia oferta hotelera de lujo, como el hotel Four Season, Marriott, rodeado de numerosas líneas de autobuses, estaciones de la red de metro y taxi. La oferta gastronómica y de ocio es igualmente amplia, con locales y restaurantes nacionales e internacionales.  Trás un agradable paseo, nos encontramos con algunas de las principales opciones culturales de la ciudad, como el Teatro Real, el Museo del Prado, el Thyssen-Bornemisza. En definitiva un lujo peatonal para disfrutar de lo mejor de Madrid .",False,False,True,,6467.0,False,False,False,False,[],False,False,595000.0,€,,,flat,"Sol, Madrid",Piso,Top,good,,,,
106054285,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/ab/73/1338761990.webp,W-02X4E3,23,1,670000.0,flat,sale,68.0,True,2,2,Barrio Huertas-Cortes,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4149193,-3.6942048,False,https://www.idealista.com/inmueble/106054285/,"Bonita vivienda reformada, amueblada y equipada en Cortes Engel & Völkers presenta esta vivienda a estrenar en una de las calles más emblemáticas del Barrio de Cortes. La finca clásica de 1935, cuidada tanto en fachada como en elementos comunes, dispone además de ascensor y portero. La propiedad, de unos 68 m2 construidos, cuenta con dos dormitorios dobles, dos baños, un salón-comedor y cocina integrada, totalmente equipada con electrodomésticos premium, cuenta además con y espacio diseñado para TV.  En cuanto a las cualidades adicionales de la propiedad se puede añadir que viene completamente reformada a estrenar con acabados de alta calidad, totalmente equipada, amueblada y decorada con combinación de madera natural, colores claros y juego de luces para crear diferentes ambientes. La vivienda está lista para entrar a vivir o para inversión. Los suelos son de madera y cuenta también con aire acondicionado por conductos en toda la vivienda y calefacción central. Se entrega totalmente amueblada y equipada. Esta moderna y elegante vivienda es una oportunidad única en el singular Barrio de Cortes. Ubicada en el Barrio de Cortes, la situación del piso es excelente, no sólo por estar en el centro de Madrid, junto a los grandes museos, sino porque está dentro del circuito con más oferta gastronómica y de servicios de la ciudad. Una de las zonas de visita obligada a Madrid para disfrutar el ambiente que ofrece la ciudad. En la zona se ubican los museos del Prado y Thyssen-Bornemisza y en sus inmediaciones se halla el Centro de Arte Reina Sofía, promocionados turísticamente bajo la denominación de Paseo o Triángulo del Arte. Está rodeado de zonas verdes como el Jardín Botánico, y muy próximo al parque del Retiro, lo que lo hace perfecto para quienes quieren vivir en el centro de Madrid pero sin dejar de lado el contacto con la naturaleza. También se encuentra en el nuevo área del lujo del Centro Canalejas, Hotel Four Seasons y Hotel JW Marriott. Es el barrio simbólico donde se funde tradición y vanguardia, el foco cultural de la ciudad. El nivel de infraestructuras y servicios en la zona es excelente. Está muy bien comunicada por metro y autobús. Posee una amplia dotación de pequeños locales de moda: restaurantes, bares, cafés, librerías, tiendas, galerías de arte y talleres coworking. También cines, teatros y salas de espectáculos se pueden encontrar por la zona.",False,False,False,,9853.0,False,False,False,False,[],False,False,670000.0,€,,,flat,"Huertas-Cortes, Madrid",Piso,Top,good,,,,
108982244,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/58/af/1360813883.webp,W-030UCK,25,4,595000.0,penthouse,sale,57.0,True,2,1,Barrio Palacio,Madrid,Madrid,Centro,es,Palacio,40.4227738,-3.7100935,False,https://www.idealista.com/inmueble/108982244/,"Magnifico ático exterior reformado junto a Plaza de España Engel & Völkers presenta este magnífico ático exterior completamente reformado, listo para entrar a vivir o convertirse en una excelente oportunidad de inversión, gracias a su ubicación privilegiada junto a Plaza de España.  Ubicado en la cuarta planta de un edificio sin ascensor, este acogedor piso combina un diseño contemporáneo con encantadores elementos originales, como las vigas de madera vistas, que aportan carácter y calidez al espacio.  Con una superficie de 57 m², la vivienda fue reformada en 2024 y se encuentra en excelente estado. Se distribuye en un luminoso salón-comedor, cocina independiente, dos dormitorios y un baño completo. Además, cuenta con aire acondicionado por split y calefacción individual, garantizando confort durante todo el año. Su inmejorable ubicación en pleno corazón del Madrid histórico, monumental y cultural, junto con su atractivo diseño, hacen de este ático una opción ideal para quienes desean vivir con tranquilidad en el centro de la ciudad o invertir en una propiedad con gran potencial. La propiedad se encuentra cerca de Plaza de España. Su ubicación es fantástica y se aprovechan todas las ventajas culturales, de ocio y compras que puede haber en el centro de una gran ciudad como es Madrid.  La zona dispone de la más variada oferta de comercios tradicionales y cosmopolitas de Madrid. Al salir de casa y sin necesidad de utilizar el transporte público o privado, encontramos toda la riqueza gastronómica representada por los mejores restaurantes y bares tradicionales, así́ como una gran oferta cultural de la ciudad.  Su proximidad a Gran Vía y Puerta del Sol nos permite, en un paseo, llegar a la zona comercial más importante del país.  Las comunicaciones son excelentes: Varias paradas de metro, líneas de tren (Cercanías), autobuses y parada de taxis muy cerca.   Paradas de metro cercanas: Plaza de España (Líneas 2, 3 y 10), Opera (Líneas 2 y 5), Santo Domingo (Línea 2) y Sol (Líneas 1, 2 y 3).  Autobuses 1, 133, 146, 147, 32 y 35 y Autobuses Nocturnos: N18, N19, N20 y N21.",False,False,False,,10439.0,False,False,False,False,[],False,False,595000.0,€,,,flat,"Palacio, Madrid",Ático,Top,good,penthouse,,,
107766962,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/91/ac/1329483124.webp,,35,,490000.0,chalet,sale,243.0,,5,3,"calle de Santander, 315",Madrid,Arroyomolinos,Las Castañeras - Bulevar,es,,40.2919427,-3.9146085,True,https://www.idealista.com/inmueble/107766962/,"Agencia inmobiliaria en Arroyomolinos INMOBILIARIA TECNOCASA NUEVO ARROYOMOLINOS VENDE ESPECTACULAR CHALET DE RENTA LIBRE EN UNA DE LAS MEJORES ZONAS DE ARROYOMOLINOS. Descubre este encantador chalet adosado, perfecto para disfrutar de la vida en familia. Con un total de 243 m² construidos, esta propiedad cuenta con cinco amplios dormitorios, incluyendo una habitación en planta baja para mayor comodidad. En la primera planta, tres habitaciones ofrecen espacio y privacidad, mientras que la buhardilla se convierte en un refugio ideal con su propia terraza, perfecta para relajarse al aire libre. Las zonas comunes ajardinadas y la piscina comunitaria son el lugar perfecto para disfrutar de momentos inolvidables con amigos y vecinos. Además, la propiedad está equipada con todas las comodidades necesarias: armarios empotrados y un trastero que proporciona un espacio extra de almacenamiento.  Construido en 2007 y en buen estado, este chalet también cuenta con acceso adaptado para personas con movilidad reducida, lo que lo hace accesible para todos. Con una plaza de garaje incluida, no tendrás que preocuparte por el aparcamiento. La clase energética E garantiza un consumo eficiente de energía. ¡No pierdas la oportunidad de visitar este hogar que lo tiene todo!",False,False,,,2016.0,True,False,False,False,[],False,False,490000.0,€,True,True,chalet,"Las Castañeras - Bulevar, Arroyomolinos","Chalet adosado en calle de Santander, 315",Top,good,terracedHouse,,,
109106184,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/cc/28/1364522820.webp,ARCADIA,27,bj,279000.0,flat,sale,71.0,True,3,1,calle Arcadia,Madrid,Madrid,Barajas,es,Timón,40.4747345,-3.5853267,False,https://www.idealista.com/inmueble/109106184/,"VOhome propiedades Barajas vende piso en exclusiva. **Piso en Venta en Timón - Ideal para Familias** Descubre este encantador piso de 71 m² ubicado en la tranquila zona de Timón, un barrio residencial que te ofrece la paz que buscas. Este hogar cuenta con un pasillo que divide perfectamente los espacios, llevando a dos acogedores dormitorios a la derecha y otro dormitorio a la izquierda, ideal para adaptarse a tus necesidades. El baño, equipado con un moderno plato de ducha, complementa la funcionalidad del hogar. La cocina, con un práctico tendedero cubierto, se conecta con un luminoso salón comedor que invita a disfrutar de momentos en familia. La orientación este garantiza que la luz natural inunde cada rincón, creando un ambiente cálido y acogedor. Además, el aire acondicionado Split en el dormitorio principal y la calefacción de gas natural aseguran tu confort durante todo el año. Situado en planta baja, este piso es perfecto para quienes buscan comodidad y accesibilidad. A solo 5 minutos del metro de Barajas (línea 8) y con acceso rápido a la M-11, la ubicación es inmejorable. La zona comercial cercana ofrece todo lo necesario: colegios, bibliotecas, farmacias y supermercados, mientras que los parques y espacios abiertos invitan a disfrutar de paseos al aire libre. No dejes pasar esta oportunidad de vivir en un entorno tranquilo y bien comunicado. ¡Ven a visitar este piso y hazlo tu nuevo hogar! *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales/ Notaría - Gestoría / Registro / Intermediación inmobiliaria y/o Financiera). Puede contactar con nosotros en nuestra oficina de: Avda. de Logroño 146 Local Teléfono:.",True,False,False,,3930.0,True,False,True,False,[],False,False,279000.0,€,,,flat,"Timón, Madrid",Piso en calle Arcadia,Top,good,,,,
108796673,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/97/16/1356371830.webp,,32,,460000.0,chalet,sale,260.0,,5,3,"calle Sierra de Javalambre, 36",Madrid,Arroyomolinos,La Cárcaba - El Encinar - Montemolinos,es,,40.263831,-3.9219567,True,https://www.idealista.com/inmueble/108796673/,"Agencia inmobiliaria en Arroyomolinos — INMOBILIARIA TECNOCASA DE ARROYOMOLINOS VENDE espectacular chalet en una de las mejores zonas de Arroyomolinos.  ¡Descubre tu nuevo hogar en una de las mejores urbanizaciones de Arroyomolinos! Este encantador chalet pareado de 260 m² es perfecto para cualquier familia que busque comodidad y estilo. Con 5 amplios dormitorios y 3 baños, tendrás espacio de sobra para disfrutar de la vida en familia. La planta baja cuenta con un dormitorio ideal para quienes prefieren evitar escaleras, mientras que la buhardilla ofrece un espacio versátil que se puede adaptar a tus necesidades. Imagina relajarte en la terraza o disfrutar de días soleados en la piscina comunitaria. Este chalet también cuenta con armarios empotrados, un trastero y una plaza de garaje, asegurando que cada rincón esté optimizado para tu comodidad. La calefacción por gas natural y el aire acondicionado mediante bomba de frío/calor garantizan un ambiente agradable durante todo el año. Construido en 1999 y en buen estado, este hogar combina funcionalidad y estilo. No dejes pasar la oportunidad de vivir en un lugar donde cada detalle ha sido pensado para tu bienestar. ¡Ven a visitarlo y enamórate de tu futuro hogar!",False,False,,,1769.0,True,False,False,False,[],False,False,460000.0,€,True,True,chalet,"La Cárcaba - El Encinar - Montemolinos, Arroyomolinos","Chalet pareado en calle Sierra de Javalambre, 36",Top,good,semidetachedHouse,,,
108159579,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/4e/04/1335638811.webp,W-02ZOT8,19,5,490000.0,flat,sale,58.0,True,1,1,Barrio Palacio,Madrid,Madrid,Centro,es,Palacio,40.4200767,-3.7100958,False,https://www.idealista.com/inmueble/108159579/,"Encantadora propiedad en el Barrio de los Austrias Engel & Völkers presenta esta luminosa y coqueta propiedad situada junto a la Plaza de la Encarnación en un edificio clásico de 1905. En la actualidad cuenta con una distribución muy cómoda, ya que sus aproximadamente sesenta metros cuadrados están aprovechados al máximo.  Cuenta con una espaciosa área de salón comedor en la que nos encontramos con tres ventanas en esquina, que garantizan una iluminación optima, a la que suma el hecho de que se encuentre en la última planta. Algo que además la dota de una gran tranquilidad y silencio. Un amplio dormitorio con doble armario empotrado y librería de obra, y un espacioso cuarto de baño igualmente con luz natural y una cocina completamente equipada, además de un trastero en cubierta, convierten a esta propiedad en una opción muy interesante tanto para inversores como para quienes quieran vivir rodeados con todo tipo de servicios, pero con la tranquilidad que ofrece su ubicación interior dentro del inmueble. La propiedad se sitúa junto a la Plaza de la Encarnación, y a escasos metros del Teatro Real y de la Plaza de Oriente, en cuyo perímetro cercano encontramos el Palacio Real de Madrid, la Catedral de la Almudena o la Galería de las Colecciones Reales. Una área próxima a numerosos espacios verdes, como los Jardines de Sabatini, y áreas de vistas despejadas, que le confieren una gran calidad de vida. Su excelente ubicación dispone de varias líneas de autobuses y de metro, además de numerosas paradas de taxi. El barrio cuenta con una dotación comercial muy diversa, en la que predominan los establecimientos tradicionales, y en la que no falta también la oferta hotelera, con establecimientos de lujo junto a otros más modestos. La propuesta gastronómica y de ocio es igualmente amplia, con locales tradicionales y otros de perfil internacional.  Tras un agradable paseo, nos encontramos con algunas de las principales opciones culturales de la ciudad, ya que a los mencionados se unen la Plaza de la Villa o la propia Plaza Mayor. En definitiva, una ubicación imbatible para disfrutar del Madrid histórico.",False,False,True,,8448.0,False,False,False,False,[],False,False,490000.0,€,,,flat,"Palacio, Madrid",Piso,Top,good,,,,
108778046,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/a1/aa/1355898995.webp,W-030TZX,55,,1190000.0,chalet,sale,335.0,,5,6,Barrio Zona norte,Madrid,Pozuelo de Alarcón,Zona norte,es,Zona norte,40.4508381,-3.8026946,False,https://www.idealista.com/inmueble/108778046/,"Magnífico amplio chalet adosado en Pozuelo de Alarcón Engel & Völkers presenta un magnífico amplio chalet adosado en Pozuelo de Alarcón, que ofrece una superficie construida de 335 m² distribuidos en cuatro plantas. La vivienda cuenta con cinco habitaciones, incluyendo cuatro suites y un dormitorio adicional, así como seis baños, garantizando un gran confort para toda la familia. En la planta principal, encontrarás un espacioso recibidor, un aseo de cortesía y acceso al jardín privado y al porche. En la primera planta, hay tres dormitorios en suite, todos equipados con armarios empotrados y baño privado. La segunda planta alberga el dormitorio principal, que destaca por su terraza, vestidor y baño en suite. El sótano incluye un acogedor salón de ocio, un dormitorio para invitados, un baño adicional, además de una lavandería y un trastero. La propiedad se sitúa en una parcela de 368 m² y ofrece terraza y balcón. Incluye una plaza de garaje en el precio, así como armarios empotrados para mayor comodidad. Construido en 2008, el chalet está equipado con calefacción individual de gas natural y aire acondicionado. Situado en una urbanización cerrada, disfrutarás de acceso a una piscina y un jardín comunitario, ideales para el relax y la diversión. Con orientación sur y este, este hogar asegura luminosidad y calidez durante todo el día. Pozuelo de Alarcón es el municipio más rico de la Comunidad de Madrid y uno de los municipios con mayor demanda para residir cerca de la capital. Excelentes comunicaciones con el centro y sus alrededores a través de las autovías M-30, M-40, M-503 y A-6. Las estaciones de Pozuelo y El Barrial forman parte de las líneas C-7 y C-10 de Cercanías Madrid. Las líneas de autobuses son: 560, 561, 561A, 561B, 5 56A, y los nocturnos N901, N902, N905 y N906. Las líneas A y H enlazan al campus de la universidad complutense, conectando el Municipio tanto con la capital como con los núcleos urbanos adyacentes. El Ayuntamiento de Pozuelo de Alarcón está llevando a cabo a construcción de una red de carril bici. La zona de Pozuelo Norte es, además, una de las preferidas por las familias, pues cuenta con multitud de centros educativos de prestigio muy cercanos, centros comerciales de referencia, hospitales y todos los servicios necesarios. Se enclava en una zona rodeada de naturaleza y con amplias zonas deportivas, lo que hace de esta área un lugar perfecto para vivir.",False,False,,,3552.0,False,False,False,False,[],False,False,1190000.0,€,True,True,chalet,"Zona norte, Pozuelo de Alarcón",Chalet adosado,Top,good,terracedHouse,,,
