propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.parkingSpacePrice,newDevelopmentFinished
108437027,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/78/df/1345788807.webp,25,bj,570000.0,flat,sale,160.0,True,2,2,calle del Doctor Fourquet,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4072314,-3.6990866,False,https://www.idealista.com/inmueble/108437027/,"Madrid Histórico S. L. presenta este singular espacio, que en la actualidad funciona como una galería de arte con su correspondiente licencia, pero que sería también susceptible de, con los trámites correspondientes de cambio de uso, para los cuales no debería haber ningún impedimento de acuerdo con la normativa vigente, ser transformado en un espacio residencial singular y artístico o para un uso mixto como lugar de trabajo y residencial. El inmueble está situado en la calle Dr. Fourquet, una calle que alberga numerosas galerías de arte, a espaldas del Museo Reina Sofía, está rodeado de una amplia oferta gastronómica, de ocio y cultural, así como muy bien comunicado por su cercanía a la Glorieta de Carlos V y a la estación de Atocha. El activo está formado por dos fincas registrales, y ofrece un espacio en planta calle con dos ambiente, 43 m2 por un lado de los cuales unos 18 con altura de techos de 5,70 ms, más 50 m2 con altura de techos normales, que tiene una zona de oficina y un aseo de invitados, en total 93 m2, más un semisótano de 28 m2 que en la actualidad es parte del espacio utilizado para exposición, más una entreplanta de 67 m2 en forma de L, con una espacio abierto por un lado, con acceso a un cuarto almacén, más una cocina cerrada, un baño, y un despacho con ventanas a la calle Dr. Fourquet. Sería posible abrir parte de la entreplanta a la zona de doble altura en forma de galería con baranda, creando un espacio todavía más abierto, dependiendo del uso que los nuevos propietarios quisieran dar a dicha entreplanta. El plano que se puede ver en el anuncio corresponde únicamente a la planta primera.",True,good,False,False,3563.0,True,False,True,True,[],False,False,570000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Doctor Fourquet,Top,,,,,,,,,
107965086,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/13/1c/1336923652.webp,28,bj,530000.0,flat,sale,85.0,False,2,2,calle de Evaristo San Miguel,Madrid,Madrid,Moncloa,es,Argüelles,40.425893,-3.7172028,False,https://www.idealista.com/inmueble/107965086/,"Se vende magnífica vivienda en pleno barrio de Arguelles, una de las zonas más demandas de la capital, con todo tipo de servicios, y unas excelentes comunicaciones tanto de metro como autobuses. La vivienda se ubica junto al Paseo de Pintor Rosales y el Templo de Debod. El piso se distribuye en Hall recibidor con armario empotado, amplio salón comedor, dos dormitorios dobles con armarios empotrados, cocina independiente con electrodomésticos, baño completo y aseo con posibilidad de, con pequeña obra, hacer un plato de ducha.  Finca clásica señorial, con bonito portal y acceso a la vivienda sin barreras arquitectónicas. Mejor ver.",False,good,False,True,6235.0,True,False,True,True,[],False,False,530000.0,€,flat,"Argüelles, Madrid",Piso en calle de Evaristo San Miguel,Top,1617,,,,,,,,
103178029,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/b4/7c/1260773251.webp,19,bj,550000.0,flat,sale,84.0,True,1,1,calle de Segovia,Madrid,Madrid,Centro,es,Palacio,40.4144942,-3.7114804,False,https://www.idealista.com/inmueble/103178029/,"Madrid Histórico S. L. pone en venta en exclusiva este inmueble en una ubicación inmejorable en pleno corazón del Madrid de los Austrias. Ideal como inversión, ya que se le puede hacer el cambio de uso a vivienda. Con 84 metros cuadrados construidos, en una sola planta, distribuida en dos estancias y un cuarto de baño. Tiene dos amplios ventanales que dan a la calle. Confirmada viabilidad para cambio de uso tanto a inmueble residencial como a inmueble de alquiler turístico. Disponible el estudio de viabilidad para tal cambio. Calefacción por suelo radiante. Excelente ubicación. Gastos de comunidad: 30€.",True,good,False,False,6548.0,True,False,True,True,[],False,False,550000.0,€,flat,"Palacio, Madrid",Piso en calle de Segovia,Top,,,,,,,,,
108317135,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/0f/c7/1340502115.webp,52,1,599999.0,flat,sale,132.0,True,5,2,calle de Linneo,Madrid,Madrid,Arganzuela,es,Imperial,40.4083987,-3.7221811,False,https://www.idealista.com/inmueble/108317135/,"Extraordinaria vivienda junto a MADRID RÍO y el PUENTE DE SEGOVIA, en buena finca con calefacción central y ascensor, 1ª planta, exterior y muy luminoso (orientación Este). 132 m2 construidos distribuidos en: hall-distribuidor, amplio salón-comedor, cocina independiente completamente amueblada y con despensa, cuatro dormitorios y un cuarto de baño completo con plato de ducha de obra, y zona de servicio con un dormitorio más y un aseo. La vivienda además dispone de un cuarto trastero de 10 m2 (apróx. ) en planta sótano. Suelos de parquet, ventanas de aluminio lacado en blanco oscilobatientes con cristal climalit, armarios empotrados, agua caliente individual por gas natural y calefacción central. Excelente ubicación, en zona con todo tipo de comercios y servicios, a un paso de Madrid Río, y a menos de diez minutos de la Casa de Campo y quince minutos de la Catedral de la Almudena, y bien comunicado por transporte público, a diez minutos de estación de Metro de Puerta del Ángel (L6) y quince minutos de estación de Metro de Príncipe Pío (L6, L10 y Cercanías RENFE) y varias líneas de autobús. No lo dude, contacte con nosotros y concierte una visita con nuestros asesores. VENETA Inmobiliaria es una agencia especializada en la venta de viviendas con más de 25 años de experiencia en la intermediación de compra-venta de inmuebles y asesoramiento inmobiliario. Síguenos en las redes y entérate el primero de los pisos que salen a la venta: fb: Veneta Inmobiliaria ig: veneta_grupo_inmobiliario.",False,good,False,True,4545.0,True,False,True,False,[],False,False,599999.0,€,flat,"Imperial, Madrid",Piso en calle de Linneo,Top,MD1C1V236 (i),,,,,,,,
107954196,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/6d/09/1329895515.webp,51,2,775000.0,flat,sale,157.0,True,3,2,"calle de Toques, 25",Madrid,Madrid,Fuencarral,es,Las Tablas,40.5092053,-3.6682657,True,https://www.idealista.com/inmueble/107954196/,"BN PROPIEDADES ofrece, vivienda en venta con 2 plazas de garaje en Las Tablas en urbanización cerrada próxima a la parada de metro Las Tablas y del tren ligero. Urbanización Residencial Green 1, con premio de arquitectura del Estudio Lamela, con seguridad 24h, piscina de adultos y otra de niños, zonas verdes, pista de padel y zona infantil.  La vivienda que tenia originalmente de 4 dormitorios tiene ahora 3 ya que uno de ellos se ha incorporado al salón-comedor. Tenemos un recibidor con armarios empotrados, cocina con tendedero donde hay una caldera individual de gas natural y un amplio salón-comedor con 2 balcones que dan a la gran plaza. Del recibidor sale un pasillo con acceso a un primer cuarto de baño con bañera, 2 dormitorios cada unos con sus armarios empotrado y el ultimo al fondo del pasillo con su balcón, vestidor y su baño con doble seno de lavabo y bañera. Vivienda muy luminosa, aire acondicionado en salón y en dos de los tres dormitorios. Incluye cuarto trastero y 2 plazas de garaje. Cerca de colegios, paradas de autobús, restaurantes y comercios y al acceso a la conexión a la M40.",True,good,False,True,4936.0,True,False,True,False,[],False,False,775000.0,€,flat,"Las Tablas, Madrid","Piso en calle de Toques, 25",Top,,True,True,,,,,,
108284329,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/36/72/1339508574.webp,30,2,318000.0,flat,sale,60.0,False,1,1,calle de Dulcinea,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4469427,-3.6995193,False,https://www.idealista.com/inmueble/108284329/,"Extraordinario apartamento CON DOBLE ORIENTACIÓN Y MUY LUMINOSO, en la calle Dulcinea, próximo a la calle Hernani y la calle Raimundo Fernández Villaverde, 2ª planta, interior, orientación Este-Oeste. 60 m2 construidos distribuidos en: amplio salón-comedor, cocina independiente amueblada, dormitorio con gran armario empotrado y cuarto de baño completo con plato de ducha de obra y dos ventanas. Suelos de tarima flotante, doble ventana de aluminio, aire acondicionado, agua caliente y calefacción individuales por gas natural. Zona con todo tipo de comercios y servicios, muy bien comunicado por transporte público, a menos de cinco minutos de estación de Metro de Nuevos Ministerios (L6, L8, L10 y Cercanías RENFE) y de estación de Metro de Cuatro Caminos (L1, L2 y L6) y varias líneas de autobús. No lo dude, contacte con nosotros y concierte una visita con nuestros asesores. VENETA Inmobiliaria es una agencia especializada en la venta de viviendas en los distritos de Tetuán y Chamberí con más de 25 años de experiencia en la intermediación de compra-venta de inmuebles y asesoramiento inmobiliario. Síguenos en las redes y entérate el primero de los pisos que salen a la venta: fb: Veneta Inmobiliaria ig: veneta_grupo_inmobiliario.",True,good,False,False,5300.0,True,False,True,False,[],False,False,318000.0,€,flat,"Cuatro Caminos, Madrid",Piso en calle de Dulcinea,Top,MD1C1V237,,,,,,,,
107827828,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/1f/a3/1325244856.webp,18,2,675000.0,flat,sale,146.0,True,4,2,Casco Antiguo,Madrid,Majadahonda,Casco Antiguo,es,,40.4687825,-3.8736336,False,https://www.idealista.com/inmueble/107827828/,"MAJADAHONDA, ZONA LOS ALCALDES. MAGNÍFICO PISO. Descubre este espectacular piso en venta en la codiciada zona de Los Alcaldes, Majadahonda. Con una generosa superficie de 146 m², este hogar ofrece un amplio recibidor que da paso a un luminoso salón independiente de 33 m², ideal para disfrutar de momentos inolvidables con familia y amigos. Desde aquí, accede a una encantadora terraza exterior, perfecta para relajarte al aire libre. La cocina, completamente amueblada y con una práctica despensa. Este piso cuenta con 4 dormitorios, uno de ellos como office que incluye una acogedora zona de comedor, todos equipados con armarios empotrados, y un dormitorio principal en suite que incorpora un baño completo para mayor comodidad. Además, hay un segundo baño completo adicional. Disfruta de las excelentes zonas comunes que incluyen jardines, piscina y pista de tenis, todo ello rodeado de estupendas vistas. La propiedad también incluye una plaza de garaje en el precio, con opción a una segunda plaza. Con suelos de parquet, calefacción individual de gas natural y aire acondicionado en el salón y el dormitorio principal, este piso combina confort y estilo. Ubicado cerca de supermercados como Mercadona y Ahorramás, así como del centro médico privado Averroes y colegios como el IES José Saramago, este piso es ideal para familias que buscan calidad de vida. ¡No pierdas la oportunidad de visitarlo!",False,good,False,True,4623.0,True,False,True,False,[],False,False,675000.0,€,flat,"Casco Antiguo, Majadahonda",Piso,Top,V11638.2,True,True,699500.0,24500.0,4.0,,,
108658500,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/06/df/1351501169.webp,28,3,202000.0,flat,sale,85.0,True,2,1,Villayuventus-Renfe,Madrid,Parla,Villayuventus-Renfe,es,,40.2457399,-3.7638723,False,https://www.idealista.com/inmueble/108658500/,"Piso totalmente reformado y listo para entrar a vivir – Centro de Parla - La vivienda disponía inicialmente de tres dormitorios, siendo muy sencillo recuperar la tercera habitación, ubicado en una tercera planta (altura de segundo). Una vivienda lista para estrenar que combina modernidad, confort y una ubicación inmejorable, ideal tanto para vivir como para invertir. ✨ Reforma integral y calidades destacadas -Carpintería interior y exterior completamente nueva, con ventanas climalit y puertas macizas. -Instalaciones 100 % renovadas: electricidad (incluido cuadro y cableado), fontanería y desagües. -Climatización eficiente: aire acondicionado inverter nuevo y calefacción central del edificio. -Cocina de concepto abierto, amplia y luminosa, equipada con muebles contemporáneos y electrodomésticos de alta gama a estrenar: placa de inducción, horno multifunción, campana, frigorífico combi y lavavajillas integrado. -Baño completo nuevo, con plato de ducha de resina, grifería moderna y sanitarios de diseño. -Suelo laminado de alta gama imitación madera, alicatados rectificados en zonas húmedas, paredes lisas, iluminación LED empotrada e interruptores nuevos en toda la vivienda. � Distribución acogedora y funcional Dos dormitorios, uno de ellos con armario empotrado (antes 3, fácil reutilización de la tercera habitación) que ofrecen espacios cómodos para el descanso. Salón luminoso y espacioso, bañado por luz natural durante todo el día, ideal para el día a día y reuniones en casa. � Ubicación privilegiada en pleno centro de Parla A menos de 5 minutos andando de la estación de Cercanías Renfe C-4 y del tranvía Parla Centro. Conexión con múltiples líneas de autobuses urbanas e interurbanas (4 71, nocturna N806). Acceso rápido a la A-42, y a tan solo 25 minutos de Atocha en tren. � Educación y servicios al alcance Centros educativos a menos de 200 metros: Infantil: Escuela Infantil Tris-Tras Primaria: CEIP Miguel Hernández y CEIP Julián Besteiro Secundaria: IES Manuel Elkin Patarroyo � Comercios y ocio cercanos Supermercados Día, Carrefour y Mercadona a menos de 8 minutos andando. Centro Comercial El Ferial (con tiendas, cine y restauración) a 900 m —10-12 minutos caminando o 3 minutos en coche. JACQUELINE ALVAREZ, SERVICIOS INMOBILIARIOS, cuenta con su Departamento Financiero, quien tiene acuerdos de colaboración con entidades bancarias, con los mejores tipos de interés del mercado, en algunas ocasiones sin vinculaciones como aperturas de cuenta o seguros y pudiendo conseguir la financiación para los clientes hasta el 100% del valor de la vivienda, (según el perfil del cliente). Trabajamos para conseguir tu vivienda y hacer realidad tus sueños.",True,good,False,False,2376.0,True,False,True,False,[],False,False,202000.0,€,flat,"Villayuventus-Renfe, Parla",Piso,Top,S1084,,,209000.0,7000.0,3.0,,,
108429105,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/aa/ea/1344605943.webp,53,4,2475000.0,flat,sale,234.0,True,5,4,calle de Pechuán,Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.444767,-3.6770516,False,https://www.idealista.com/inmueble/108429105/,"PISO CON TERRAZA, GARAJES Y TRASTERO JUNTO AL AUDITORIO NACIONAL Aproperties Real Estate pone a la venta este exclusivo refugio urbano junto al Auditorio Nacional – Elegancia, amplitud y privacidad en el corazón de Ciudad Jardín En una de las zonas más privilegiadas de Madrid, a solo unos pasos del Auditorio Nacional de Música, se encuentra esta propiedad única que destaca por su elegancia, funcionalidad y una atmósfera de tranquilidad sorprendente. Con 234 m² construidos según Catastro, esta vivienda está diseñada para ofrecer una clara separación entre la zona noble y la de servicio, garantizando comodidad y privacidad en cada rincón. Al entrar, un sofisticado hall da la bienvenida y conecta con un amplio salón-comedor independiente, lleno de luz natural y con acceso a una maravillosa terraza. Un espacio perfecto para disfrutar y recibir con estilo. Desde aquí, una puerta lateral conduce discretamente a la cocina office, equipada y práctica, junto a un dormitorio y un baño completo que completan la zona de servicio. La zona privada se encuentra a la izquierda del hall, donde un acogedor salón de estar invita al descanso. Más adelante, un pasillo conduce a cuatro dormitorios luminosos y tres baños completos. El dormitorio principal, en suite, destaca por su amplitud y generosas soluciones de almacenamiento. Además, la vivienda cuenta con una terraza exclusiva de 45 m², un espacio común en la cubierta de la finca, ideal para relajarse al aire libre con total privacidad. Completa esta oferta dos plazas de garaje contiguas y un trastero en la finca. Una propiedad irrepetible que combina espacios despejados, luz natural y una distribución pensada para vivir con el máximo confort. ¿Te imaginas llamando a este oasis urbano tu hogar?  Contacte con nosotros para ver más inmuebles similares.",True,good,False,True,10577.0,True,False,False,False,[],False,False,2475000.0,€,flat,"Ciudad Jardín, Madrid",Piso en calle de Pechuán,Top,VM2506026,True,True,2500000.0,25000.0,1.0,,,
108135001,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/b3/7b/1339859728.webp,37,6,2580000.0,penthouse,sale,130.0,True,2,3,calle de Claudio Coello,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4282741,-3.6875525,False,https://www.idealista.com/inmueble/108135001/,"HousinGo presenta este espectacular ático con vistas pintorescas, que se encuentra en una finca de los años 60 con portero físico, ascensor y un práctico trastero en la misma planta de la vivienda, aportando comodidad adicional para el día a día. Está situada en la codiciada Milla de Oro del barrio de Salamanca, una de las zonas más exclusivas y sofisticadas de toda España. A escasos pasos del Mercado de la Paz y rodeado de las boutiques de lujo más prestigiosas, reconocidos restaurantes y todos los servicios esenciales, la vivienda se sitúa en una localización privilegiada. Ubicado en una luminosa 6ª planta exterior, la vivienda de 120 m² destaca por su fantástica luz natural y su terraza de 10 m² orientada al oeste. La distribución ha sido cuidadosamente pensada: dispone de dos dormitorios, uno de ellos con baño en suite, un segundo baño independiente y un aseo de cortesía, además de una zona de lavandería. La reforma integral, recientemente finalizada, ha sido realizada con materiales de primera calidad y acabados de lujo, cuidando cada detalle para ofrecer una vivienda sofisticada y funcional. El amplio y luminoso salón-comedor integra una cocina de diseño en península (Valdesing Cucine), equipada con electrodomésticos Siemens de gama alta y terminaciones en acero inoxidable anti rozaduras. La terraza, amueblada con piezas de diseño italiano y equipada con puertas correderas adaptables, perfilería estrecha y suelos nivelados que amplifican la sensación de continuidad y amplitud entre el interior y el exterior. El Barrio de Salamanca es el distrito más selecto de Madrid y uno de los enclaves con mayor calidad de vida en Europa. Concebido a mediados del siglo XIX, sus majestuosas fachadas y amplias avenidas mantienen la elegancia y distinción propias de su época. Este histórico barrio no solo te fascinará por su rica oferta comercial, cultural y de ocio, sino también por su prestigiosa gastronomía. En sus calles se encuentran algunas de las embajadas más relevantes, así como monumentos icónicos como la Plaza de Colón o la Puerta de Alcalá. Además, alberga el renombrado espacio gastronómico Platea y la exclusiva “Milla de Oro” en la calle Serrano, donde se concentran las firmas más prestigiosas a nivel mundial. HousinGo, by David de Gea. Somos una agencia inmobiliaria especializada en la venta y alquiler de activos residenciales en zonas Prime de Madrid. Contamos con tres oficinas de atención al público, una en CALLE AYALA 62, otra en CALLE SERRANO 81, y otra en CALLE VELÁZQUEZ 117, en el Barrio de Salamanca. Por petición de algunos clientes, no publicamos una gran parte de nuestros inmuebles en portales inmobiliarios. Aunque la mayoría de nuestra cartera está en nuestra página web, frecuentemente tenemos nuevas oportunidades de inversión que se comercializan totalmente off-market. Si está interesado en alquilar, vender o comprar, puede contactarnos a través de nuestro teléfono fijo enviarnos un WhatsApp a o visitarnos en una de nuestras oficinas. Disponemos de un servicio de Call Center 24 horas al día, 365 días al año, para poder atenderles de manera ininterrumpida. .",True,good,False,True,19846.0,True,False,True,False,[],False,False,2580000.0,€,flat,"Recoletos, Madrid",Ático en calle de Claudio Coello,Top,6570,True,True,,,,penthouse,,
