propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,district,floor,exterior,hasLift,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,newDevelopmentFinished
108538934,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/f4/b8/1347897674.webp,VIVI00028,52,697900.0,chalet,sale,316.0,5,4,calle Gregorio Ordóñez,Madrid,Algete,es,40.6118171,-3.5413301,False,https://www.idealista.com/inmueble/108538934/,"S I N H O N O R A R I O S AL C O M P R A D O R  � Chalet Adosado de Lujo en Soto del Duque – 317 m² de Elegancia, Espacio y Funcionalidad Con taller en buhardilla, zona de recreo en sótano y jardín privado. Una joya única en Algete. Exclusiva vivienda de alto standing en la prestigiosa urbanización Soto del Duque (Algete). Diseñada para quienes valoran la calidad, el espacio y la tranquilidad, esta propiedad ofrece un equilibrio perfecto entre funcionalidad, estilo y confort. � Distribución inteligente y versátil: Con 317 m² construidos, esta propiedad se distribuye en 4 plantas con espacios diferenciados y pensados para disfrutar cada rincón: � Planta principal (98 m²): Acceso desde jardín delantero con espacio para 2 vehículos Elegante hall recibidor, aseo de cortesía Cocina independiente completamente equipada, con zona office y salida a lavandería Espacioso salón comedor con chimenea de leña y acceso directo a la terraza y jardín privado Grandes ventanales y luz natural en todas las estancias � Primera planta (76 m²): 3 dormitorios amplios con armarios empotrados Dormitorio principal tipo suite con vestidor y baño privado Segundo baño completo y distribuidor central �️ Buhardilla (48 m²): Espacio diáfano con gran altura, perfecto como estudio, oficina o taller creativo Instalaciones preparadas para baño adicional Posibilidad de redistribución en hasta 2-3 habitaciones extra � Semisótano con luz natural (91 m²): Espacio multiusos con gran amplitud: zona de juegos, gimnasio, sala de cine o bodega Cuarto de plancha, trastero, aseo y espacio para bicicletas Excelente ventilación y luz natural, ideal también como zona de invitados � Exterior y entorno: Jardín privado con sistema de riego automático y zona de barbacoa Acceso a piscina comunitaria, zonas ajardinadas y parques infantiles Urbanización cerrada con vigilancia 24h, ideal para familias ⚙️ Equipamiento y calidades: Calefacción por gas natural Preinstalación de aire acondicionado Escalera de mármol en toda la vivienda Carpintería en madera natural, suelos impecables Puerta blindada, videoportero y salida de humos Galería, lavandería y trastero Instalación de fibra y línea telefónica � Ubicación privilegiada: Rápido acceso a la A-1 (Madrid y Sierra), transporte público, centros educativos, supermercados y zonas comerciales a pocos minutos. Todo lo que necesitas para vivir con tranquilidad y comodidad. � Una casa de lujo con alma práctica. Ideal para quienes buscan espacio para vivir, trabajar y disfrutar. ¡Solicita tu visita y siente la diferencia! DEHESA NORTE ¡ Permítenos guiarte a casa!",True,good,False,2209.0,True,False,True,False,[],False,False,697900.0,€,True,True,chalet,terracedHouse,Algete,Chalet adosado en calle Gregorio Ordóñez,,,,,,,,,,
105500499,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/84/cb/1337205353.webp,1171,69,7575000.0,chalet,sale,1100.0,6,5,La Moraleja urbanización,Madrid,La Moraleja,es,40.5137355,-3.618983,False,https://www.idealista.com/inmueble/105500499/,"Vivienda de autor, localizada en una de las principales arterias de La Moraleja, con entrada por un tranquilo fondo de saco. Se encuentra construida en una parcela de 3200m2 que es única, por disponer de un manantial de agua permanente, disfrutar de construcciones históricas y tener impactantes vistas sobre el campo de golf, con el que linda a lo largo de 150 m lineales. Esa masa verde, de aproximadamente 5 hectáreas, participa como una extensión natural del jardín. La vivienda, proyectada por el prestigioso arquitecto Javier Carvajal, tiene un diseño atemporal y vanguardista. Incluida en distintos libros que recogen las obras arquitectónicas más representativas del siglo XX, esta vivienda ha sido totalmente reformada en 2020 (*). Con una superficie aproximada de 1.200 m2, todas sus estancias son muy luminosas, por estar orientadas a mediodía, siendo sus vistas al campo de golf. La vivienda cuenta con dos salones con ambientes distintos y dos chimeneas, cuarto de estar, comedor interior circular con patio, y sala de cine para 14 personas. La zona de descanso dispone de 4 dormitorios - dos de ellos en suite y de 63 m2 y 58 m2  4 baños, y un apartamento de servicio con 2 dormitorios, totalmente independiente. En el jardín, muy consolidado, existe otro comedor de verano (con horno de leña y barbacoa profesionales), un acogedor chill-out, un aseo/vestuario, una bodega/sala de juegos y un despacho. La piscina, dotada de cascada y jacuzzi de obra, se integra perfectamente con las singulares construcciones antiguas que existen en esta parcela - una gruta y un torreón de vigilancia del siglo XVIII - toda vez que respeta el espíritu de la zona, cuando fue abrevadero de ganado y de reses. A la misma parcela llega por una galería de ladrillo de tejar, un manantial permanente de agua que en su día dio servicio al Palacio de La Moraleja y que ha dado nombre a la calle Camino de la Fuente.  *La reforma llevada a cabo a lo largo de todo el 2020 ha consistido en la ampliación de la vivienda, nueva distribución, sustitución de toda la electricidad, nueva iluminación, interior y decorativa del jardín, punto de recarga de coches eléctricos, nueva carpintería y puertas, nueva fontanería, nuevos cuartos de baño, nueva sala de cine, pintura de todos los paramentos, nuevo chill-out, nueva piscina, nuevo vestuario, nuevos muros y vallados exteriores, nuevo sistema integral de seguridad, etc.  Resumen:  - Gran hall con vistas al golf y aseo para invitados.  - Dos amplios salones a doble altura, con varios ambientes.  - Gran comedor circular.  - Amplia cocina con comedor de diario, cuarto de plancha y zona de lavado.  - Dormitorio principal de 63 m2 con estar, vestidor, baño y terraza.  - Dormitorio de 58 m2, con estar, baño en suite y vistas al golf y la cascada.  - Dos dormitorios con acceso al exterior. Un baño.  - Despacho independiente.  - Sala de cine para 14 personas.  - Apartamento servicio: dos dormitorios y baño.  - Parking cubierto dos coches y descubierto para seis más.  - Cargador coche eléctrico.  - Sistema de seguridad.  - Bodega / barbacoa exterior / zona chill out acristalada.  - Piscina con jacuzzi y cascada.  - Magnífico jardín consolidado.",False,good,False,6886.0,True,False,False,False,[],False,False,7575000.0,€,True,True,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente,La Moraleja urbanización,,,,,,,,,
108667195,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/1a/25/1351595475.webp,108667195,4,94000.0,flat,sale,107.0,2,2,calle de Palacio,Madrid,Tielmes,es,40.2460819,-3.3154016,False,https://www.idealista.com/inmueble/108667195/,"INMUEBLE OKUPADO, NO SE PUEDE VISITAR. PROPIO PARA INVERSORES O VECINOS QUE CONOZCAN EL INMUEBLE. PROPIO, PEQUEÑO Y GRAN INVERSOR. Madrid es un municipio y una ciudad de España. La localidad, con categoría histórica de villa, es la capital del Estado y de la Comunidad de Madrid. En su término municipal, el más poblado de España, su población es de 3 416 771 habitantes (INE 2024), constituyéndose como la segunda ciudad más poblada de la Unión Europea, así como su área metropolitana, con 6 779 888 habitantes empadronados.",False,renew,False,879.0,False,False,False,False,[],False,False,94000.0,€,,,flat,,Tielmes,Piso en calle de Palacio,,6,True,True,,,,,,
107364482,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b9/25/3b/1316629408.webp,S DL1,21,1550000.0,flat,sale,130.0,3,2,calle Velázquez,Madrid,Madrid,es,40.4365948,-3.6822471,False,https://www.idealista.com/inmueble/107364482/,"Magnífico piso reformado con grandes ventanales a la calle Velázquez. Finca representativa, gran portal, portero físico. Ascensor  Muy buena distribución, salón comedor, 3 dormitorios uno en suite, 2 baños, conina equipada independiente, muchísimos armarios empotrados. Aire acondicionado por conductos, calefacción Gas Natural individual. Suelos de Parquet. Metro Núñez de Balboa a 2 minutos.  Junto mercado, restaurantes, zona muy animada. El precio no incluye el 3% de honorarios + IVA. Solo se cobra a la parte compradora.",False,good,False,11923.0,False,False,False,False,[],False,False,1550000.0,€,,,flat,,"Castellana, Madrid",Piso en calle Velázquez,Barrio de Salamanca,1,True,True,Castellana,1725000.0,175000.0,10.0,,
108595501,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/ae/b4/1349894789.webp,03,56,2800000.0,chalet,sale,458.0,4,5,calle de Patrocinio Gómez,Madrid,Madrid,es,40.447093,-3.617025,False,https://www.idealista.com/inmueble/108595501/,"Mavericks Inmobiliaria comercializa esta propiedad. Se trata de un chalet de construcción del año 2014, totalmente nuevo, para entrar a vivir, y construido con altísimas calidades. Hablamos de una vivienda muy especial, donde usted podrá disfrutar de un alto grado de confort, tranquilidad y seguridad en un entorno residencial y tranquilo. La distribución es la siguiente:  Planta sótano: despacho + sala de instalaciones + garaje Planta baja: cocina + baño + hall entrada + salón-comedor + acceso al porche Planta primera: 2 dormitorios + 2 baños + dormitorio principal (con vestidor y baño) + terraza Planta segunda: sala o gimnasio + baño + 2 terrazas (28m2 y 17m2). Ubicado en un entorno tranquilo, usted dispondrá de acceso a la A-2 en 2 minutos en coche, a la M-30 en 8 minutos, y a la M-40 en 8 minutos. Se trata de una vivienda muy especial. Si tiene cualquier duda, no dude en ponerse en contacto con nosotros.",False,good,False,6114.0,True,False,False,False,[],False,False,2800000.0,€,True,True,chalet,independantHouse,"Canillejas, Madrid",Casa independiente en calle de Patrocinio Gómez,San Blas,,,,Canillejas,,,,,
109080982,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/d2/05/1363822501.webp,PZL24/25,20,369000.0,flat,sale,77.0,2,1,costanilla del Olivar,Madrid,Pozuelo de Alarcón,es,40.4347734,-3.8136066,False,https://www.idealista.com/inmueble/109080982/,"HOGARES POZUELO VENDE EN EXCLUSIVA Piso reformado con salón abierto e isla en Nuevo Pozuelo Hogares Pozuelo presenta en exclusiva este piso recién reformado en la zona residencial de Nuevo Pozuelo, una ubicación privilegiada que destaca por su tranquilidad y su excelente calidad de vida. Distribución: La vivienda cuenta con un hall recibidor que da paso al salón, un espacio moderno y luminoso que cuenta con zona de estar y de comedor. La cocina, totalmente equipada, incorpora una isla central que aporta diseño y funcionalidad, siendo el lugar perfecto para disfrutar tanto en familia como con amigos. Desde la zona principal se accede a un baño completo y a dos dormitorios exteriores, ambos orientados hacia una calle tranquila que garantiza privacidad, luz natural y confort. La reforma integral ha dotado a la vivienda de un estilo actual, con acabados de calidad y una distribución pensada para aprovechar al máximo cada rincón. Ubicación privilegiada: Situada en Nuevo Pozuelo, esta vivienda permite disfrutar de un entorno residencial cuidado y tranquilo, con todos los servicios del corazón de Pozuelo a escasos minutos. Está cerca del Ayuntamiento, colegios, supermercados, comercios, restaurantes y zonas verdes. Además, dispone de excelentes comunicaciones: Transporte público (autobuses y cercanías) con conexión directa a Madrid. Acceso inmediato a M-503, M-40 y A-6. Pozuelo también ofrece una amplia oferta educativa con colegios y universidades de prestigio, así como centros comerciales de referencia como Zielo Shopping, La Finca y el Zoco de Pozuelo. Una vivienda lista para entrar a vivir, con diseño moderno, buena ubicación y todo lo necesario para disfrutar de una excelente calidad de vida en Pozuelo de Alarcón.",True,good,False,4792.0,False,False,False,False,[],False,False,369000.0,€,,,flat,,"Zona Pueblo, Pozuelo de Alarcón",Piso en costanilla del Olivar,Zona Pueblo,1,True,True,Zona Pueblo,,,,,
108420242,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/78/fa/83/979915429.webp,L17-714,21,250000.0,studio,sale,80.0,0,2,"LANZAROTE, 17",Madrid,San Sebastián de los Reyes,es,40.5590178,-3.6189703,True,https://www.idealista.com/inmueble/108420242/,"Loft de 1 dormitorio. Planta baja con sala grande con cocina americana amueblada y con electrodomésticos. (aproximadamente 40 metros cuadrados). Aseo en planta baja. Planta alta con espacio para un dormitorio y baño completo con plato de ducha con mampara. Acceso a una pequeña terraza de aproximadamente 5 metros cuadrados ( ancho 4,5 mts fondo 1,10 mts). Plaza de garaje en el mismo edificio, acceso directo con el ascensor. Aire acondicionado con bomba de calor para la climatización del mismo. Un aire acondicionado en cada planta. Visitable a partir del 1 de septiembre de 2025.",False,good,False,3125.0,True,False,False,False,[],False,False,250000.0,€,True,True,flat,studio,"Pol. Industrial norte, San Sebastián de los Reyes","Estudio en Lanzarote, 17",Pol. Industrial norte,1,True,True,,,,,,
108845682,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/28/08/1357760371.webp,IL-05226,64,454000.0,chalet,sale,326.0,4,2,CL RONDA HISPANOAMERICANA,Madrid,Eurovillas,es,40.3580909,-3.2726681,False,https://www.idealista.com/inmueble/108845682/,"Lookandfind, te presenta este precioso y elegante chalet ubicado en la mejor zona de esta urbanización. Con una construcción de 326 m2 y una parcela de 993m2 con un bonito jardín y fácil de mantener. Esta vivienda es muy completa, por tener varios espacios exteriores donde aprovechar las distintas épocas del año. El porche exterior de la entrada a esta vivienda es un rincón muy agradable para disfrutar al aire libre, es amplio y esta orientado al Este, tiene acceso a la cocina para mayor comodidad. Al entrar a la casa tenemos un recibidor de bienvenida con un armario empotrado. La cocina es amplia y esta totalmente equipada, tiene encimera de granito y dispone de una zona de office, que la hace muy practica. El salón, con su chimenea de casset le hace un salón muy acogedor pues es amplio y luminoso. Las cuatro habitaciones son grandes y bien distribuidas, con armarios empotrados y aquí tenemos un baño para dar servicio a estas habitaciones. La habitación principal, es otra de sus fortalezas, es espectacular, con un baño grande en suite y un magnifico vestidor.  El garaje, es de fácil acceso y con puertas automáticas. A continuación se encuentra otro lugar independiente con la caldera y la lavadora con salida al exterior. También tiene parking exterior techado. En la planta baja, nos encontramos dos zonas que nos dan la oportunidad de poder dar el uso que cada uno necesite en cada ocasión, dispone de otro salón o zona de ocio ideal para tus hijos, fiestas, reuniones, despacho, invitados o lo que prefieras, con la ventaja de estar completamente independiente y con salida al jardín. En la otra zona se encuentra la bodega, un rincón que no puede faltar en estas viviendas y aquí nos encontramos con varios cuartos trasteros para mayor ordenación y almacenaje. En la parte exterior, su impresionante piscina y su elegante pérgola harán realidad todos tus sueños. Serán dias inolvidables¡ Tiene una construcción en el jardín para guardar las herramientas. Como se puede apreciar, a este chalet no le falta detalle, es muy completo de muy buena construcción y elegante. Este chalet, esta en una ubicación envidiable cerca del colegio y del centro comercial, donde tienes todo lo que necesitas. Con fácil salida a la carretera desde la urbanización, para no tener que atravesarla. La calle, es una vía amplia con parada de autobús cercana.  La entrada de fuera desde la calle a esta vivienda, esta muy bien dispuesta. Chalet ubicado en Eurovillas, el pueblo de Nuevo Baztán, que fue declarado el pueblo más bonito en el 2021. Y centro histórico de bien de interés cultural. Dos centros comerciales, con tiendas, farmacias, colegios, e institutos, clínicas, Carrefour Market, Eroski, Caixa, ambulatorio, gimnasio. Autobuses a Madrid 261, a Alcalá de Henares, paradas por toda la urbanización. Autobús al metro Arganda del Rey, que conecta también con Renfe.",False,good,False,1393.0,True,False,False,False,[],False,False,454000.0,€,True,True,chalet,independantHouse,Eurovillas,Casa independiente en CL Ronda Hispanoamericana,,,,,,,,,,
108471379,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/a2/89/1347326942.webp,1322,51,6000000.0,flat,sale,275.0,4,4,Alcalá,Madrid,Madrid,es,40.4214983,-3.6812823,False,https://www.idealista.com/inmueble/108471379/,"Exclusiva vivienda en esquina frente al Retiro – Reformada y amueblada con piezas de diseño En una ubicación inmejorable, frente al Parque del Retiro y en plena Calle de Alcalá, se encuentra esta impresionante propiedad situada en una finca señorial del Barrio de Salamanca. Completamente reformada con calidades excepcionales y mobiliario de diseño –incluyendo piezas de Roche Bobois–, esta vivienda es una auténtica joya arquitectónica. La propiedad ocupa una superficie de 275 m² y se distribuye en una planta totalmente exterior, con ocho balcones y un espectacular mirador con vistas despejadas al parque. La orientación este-oeste garantiza una luminosidad constante durante todo el día, acentuando los acabados de lujo en cada rincón. El acceso principal da paso a un amplio recibidor que anticipa la elegancia de la vivienda, con techos de 3,20 metros de altura decorados con molduras originales y un sistema de iluminación indirecta que permite crear ambientes versátiles. El salón se abre hacia el sur con dos balcones, mientras que el comedor, ubicado junto al mirador, recibe abundante luz natural. La cocina, equipada con electrodomésticos de alta gama y una gran isla central, combina diseño y funcionalidad en perfecta armonía. La zona privada cuenta con cuatro dormitorios, tres de ellos con baño en suite. El dormitorio principal incluye un vestidor de generosas dimensiones. Además, la vivienda dispone de un aseo de cortesía y una zona de lavandería independiente, equipada con lavadora y secadora. Entre sus comodidades destacan la calefacción por suelo radiante, aire acondicionado por conductos y un avanzado sistema domótico que permite controlar climatización, iluminación y otros aspectos del hogar de forma sencilla. Una residencia exclusiva, luminosa y sofisticada, ubicada en el corazón de la Milla de Oro madrileña, rodeada de boutiques de lujo, restaurantes de prestigio y con el Retiro como vecino privilegiado. Para más detalles o concertar una visita, no dude en contactar con nosotros.",False,good,False,21818.0,True,False,False,False,[],False,False,6000000.0,€,True,False,flat,,"Recoletos, Madrid",Piso en Alcalá,Barrio de Salamanca,2,True,True,Recoletos,,,,60000.0,
109028324,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/93/8d/1362119598.webp,,35,581900.0,chalet,sale,262.0,4,3,calle de Dolores Ibarruri,Madrid,Galapagar,es,40.5957479,-3.9606044,False,https://www.idealista.com/inmueble/109028324/,"RUA Real Estate Presenta este espectacular chalet adosado en una zona impresionante de Parquelagos. Cuenta con muy buena comunicación a la A6, colegio muy cercano y autobuses conexión con Madrid. En cuanto entramos a la vivienda encontramos un maravilloso salón con mucha luminosidad y amplitud, reformado con cocina abierta que conecta directamente con la zona del comedor, este impresionante salón cuenta con chimenea para hacerlo aun mas acogedor si cabe y una escalera que lleva al jardín. EL jardín es mitad solado mitad césped artificial muy amplio para hacer barbacoas o cualquier otro tipo de evento. Planta baja: un sótano muy grande, diáfano y luminoso ya que cuenta con 2 ventanas mas la puerta acristalada que lleva al jardín. Cuenta con un cuarto lavadora que también se puede usar como trastero. Primera planta: Un salón y concina como se explica arriba y un baño de cortesía. Segunda planta: Tiene 3 habitaciones grandes, 2 de ellas con armarios empotrados, 2 cuartos de baño uno reformado con plato de ducha y otro con bañera. Buhardilla: Muy amplia, 2 velux que le proporcionan muchísima luz natural, cuenta con mucho espacio de almacenamiento es sus laterales a modo de armario perfecto para una habitación grande. La urbanización es muy tranquila con una piscina para no mas de 15 chalets con vecinos muy agradables. El acceso a la piscina es directo desde el jardín. ¡No dejes pasar la oportunidad de visitar este magnifico piso! ¡Contacta con nosotros, estaremos encantados de enseñárselo!",False,good,False,2221.0,True,False,False,False,[],False,False,581900.0,€,True,True,chalet,terracedHouse,"Parquelagos - Puente Nuevo, Galapagar",Chalet adosado en calle de Dolores Ibarruri,Parquelagos - Puente Nuevo,,,,,,,,,
