propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108715479,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/52/fb/1282269046.webp,Viv-8,6,491000.0,chalet,sale,185.0,3,3,calle Sancho II s/n,Madrid,Alcalá de Henares,Espartales,es,40.5136004,-3.3605271,True,https://www.idealista.com/obra-nueva/108715479/,"Licencia solicitada.  Dryas pone a tu disposición 56 exclusivos chalets adosados de 3 dormitorios, en Espartales Norte, un barrio residencial al norte de Alcalá de Henares. Cada chalet cuenta con planta baja, planta primera y gran bodega iluminada naturalmente por un patio inglés. Todas las viviendas disponen de jardín privativo posterior, donde existe la posibilidad de añadir una piscina (opcional con coste), así como aparcamiento en superficie en la parte delantera de la casa para hasta dos coches. Las viviendas destacan por su sostenibilidad, incorporando aerotermia y suelo radiante refrescante, lo que garantiza un alto nivel de confort y eficiencia energética. Además, el barrio ofrece todo tipo de servicios y dotaciones. Dryas, en el corazón de Espartales Norte, a un paso de Madrid.   El equilibrio en el metraje de cada estancia, junto con el gran espacio en la bodega, hace que cada vivienda sea versátil y funcional, ideal para familias que buscan diferentes espacios para disfrutar. En Espartales, a un paso de Madrid La excelente ubicación de Dryas, en Alcalá de Henares, muy cerca del centro histórico, pone a tu alcance todos los servicios que necesitas: desde colegios hasta supermercados, pasando por superficies deportivas, centros de salud y una gran oferta de ocio. La promoción se sitúa en Espartales, una tranquila zona residencial a menos de 10 minutos en coche al centro de la ciudad. Los traslados a Madrid y otros municipios de la zona te resultarán comodísimos a través de una rápida conexión con la A-2, R-2.",False,newdevelopment,True,False,2654.0,True,False,False,False,[],False,False,491000.0,€,True,True,chalet,terracedHouse,"Espartales, Alcalá de Henares",Chalet adosado en calle Sancho II s/n,,,,,,,
107834968,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/9e/9e/1210096540.webp,V3 Duplex,7,239800.0,duplex,sale,63.0,2,1,"Ermita, 7",Madrid,Collado Mediano,,es,40.6931372,-4.0240072,True,https://www.idealista.com/obra-nueva/107834968/,"OBRA NUEVA ¡RESIDENCIAL ERMITA 7 Y 15! - Promoción de viviendas EXCLUSIVAS y EXCEPCIONALES. En régimen de Cooperativa de vivienda LIBRE. En el centro de Collado Mediano, calle Ermita 7.  **  Nuestras Residenciales están inspiradas en la gestión de la luz natural, generando emociones y mejorando la salud de sus propietarios.  **  Hemos creado nuestro concepto Urban-Nature inspirados en la luz natural y la belleza urbanita, una invitación a tu creatividad para diseñar hogares luminosos, sugerentes con una energía fresca y motivadora, no podemos hacer esto solos.  **  Déjate inspirar por diseños, materiales y texturas naturales. Algo más que construir casas, creamos vida en los conceptos.  **  Orientación con Sol de mañana. Viviendas con terraza. Plaza de parking y trastero incluido en el precio.  **  Ventilación individual con RECUPERADOR DE CALOR DE DOBLE FLUJO con introducción de aire limpio y extracción del flujo de aire continuado de la vivienda.  **   PERSIANAS ENROLLABLES ELÉCTRICAS*  **  ¿PUEDES MEJORAR ESTO?  **    Disponibilidad a consultar ¡Llámanos! Y te informaremos como ser cooperativista y poder acceder a nuestras viviendas disponibles. Estamos en TROYA Servicios Inmobiliarios, en Avda. Rey Juan Carlos Iº número 69, Leganés - 28916 - Madrid Entrega de viviendas 24 meses aproximadamente. La Dirección Facultativa se reserva el derecho a realizar modificaciones, atendiendo a las necesidades de cualquier índole derivadas de la puesta en obra y a los requerimientos técnicos, urbanísticos y/o administrativos para la consecución de las autorizaciones municipales, de empresas suministradoras, así como de cualquier otro organismo oficial, necesarias tanto para el inicio de las obras como para la posterior adjudicación de las viviendas. Las imágenes del edificio, diseño, decoración y mobiliario no son vinculantes y carecen de carácter contractual y no forman parte de las viviendas ni del Proyecto, son ideas de interiorismo y diseño.",False,newdevelopment,True,False,3806.0,True,False,False,False,[],False,False,239800.0,€,True,True,flat,duplex,Collado Mediano,"Dúplex en Ermita, 7",2,True,True,,,,
97260308,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/43/37/1272292122.webp,,16,470000.0,chalet,sale,183.0,4,2,"avenida De los Canteros, 3",Madrid,Cerceda,,es,40.6988723,-3.9315891,True,https://www.idealista.com/obra-nueva/97260308/,"Chalets en Régimen Autopromotor. Frente al parque regional del Guadarrama, la nueva urbanización de Cerceda supondrá la llegada de viviendas económicamente asequibles, ecosostenibles, tecnológicamente dotadas, pensadas para un consumo responsable y eficientes energéticamente. • Atractivas, durables, funcionales, accesibles, confortables y enclavadas en un entorno saludable. Pensadas para respirar en ellas. • Eficientes en relación al uso de recursos energéticos, materiales y naturales. • Respetuosas con su entorno y la ciudad. • Competitivas económicamente, especialmente cuando se toma en consideración el largo ciclo de vida asociado a los edificios, en costes de mantenimiento, durabilidad por la calidad de sus materiales y precios de reventa por la alta demanda de este tipo de viviendas.",False,newdevelopment,True,False,2568.0,True,False,False,False,[],False,False,470000.0,€,True,True,chalet,semidetachedHouse,Cerceda,"Chalet pareado en avenida De los Canteros, 3",,,,,,,
109107583,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/d1/de/1364565301.webp,MAD62600,20,2409000.0,flat,sale,209.0,3,4,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,40.4361894,-3.6770361,False,https://www.idealista.com/inmueble/109107583/,"Lucas Fox presenta este sofisticado y luminoso piso de gran amplitud, completamente reformado con un diseño contemporáneo y materiales de la más alta calidad en una exclusiva zona del distrito de Salamanca, Madrid. La propiedad ofrece una distribución funcional de 146 m² que incluye tres amplios dormitorios, tres baños completos, un aseo de cortesía, un salón-comedor elegante con grandes ventanales y una cocina moderna totalmente equipada con electrodomésticos de última generación. La vivienda se entrega completamente amueblada, con acabados de primer nivel como climatización frío/calor complementada con calefacción central y un sistema de domótica que permite controlar la climatización, la iluminación y la seguridad. Además, dispone de plaza de garaje en el mismo edificio, que cuenta con portero físico para mayor seguridad. La vivienda se ubica en una de las calles más codiciadas de Lista, dentro del exclusivo distrito de Salamanca. Gracias a su amplitud, confort y tecnología, resulta una opción única tanto como residencia habitual como para inversión en una de las zonas más distinguidas de Madrid.  Un alto porcentaje de los inmuebles que tenemos en esta zona solo están publicados en nuestra web. Para ver toda nuestra cartera, visite nuestra web.",False,good,False,,11526.0,True,False,False,False,[],False,False,2409000.0,€,,,flat,,"Lista, Madrid",Piso,4,False,True,Lista,,,
107986863,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f6/34/e7/1365234481.webp,W-02ZRIX,16,2279000.0,flat,sale,160.0,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,40.4313297,-3.6737708,False,https://www.idealista.com/inmueble/107986863/,"Precioso piso de tres habitaciones para estrenar Te presentamos este espectacular piso exterior, ubicado en una de las zonas más exclusivas del barrio de Salamanca, a un paso del emblemático cruce de Goya. Esta vivienda, situada en un edificio moderno del año 2000 —lo que garantiza una estructura sólida y sin sorpresas—, ha sido reformada íntegramente con calidades de auténtico lujo. Actualmente está en la fase final de obra, y cada rincón ha sido diseñado con un gusto exquisito, pensando en ofrecer el máximo confort y funcionalidad. Dispone de tres amplias habitaciones y tres baños completos, con una distribución muy equilibrada y pensada para el disfrute del día a día. La propiedad se entrega totalmente amueblada y equipada, lista para entrar a vivir desde el primer minuto: electrodomésticos de alta gama, menaje de cocina, ropa de cama y detalles cuidados al máximo. Todas las camas cuentan con canapés, lo que aporta una solución práctica de almacenaje sin renunciar al diseño. El mobiliario es simplemente impresionante: elegante, contemporáneo y acogedor, convirtiendo esta casa en un verdadero hogar de alto nivel. Una oportunidad única para quienes buscan una propiedad lista para disfrutar, con una ubicación privilegiada y una reforma recién terminada que combina estilo, comodidad y calidad. El barrio de Salamanca es una de las zonas más relevantes de Madrid, tanto por su peculiar distribución como por los vecinos que tradicionalmente han habitado sus emblemáticas calles. Su construcción data de la segunda mitad del siglo XIX y corresponde a la ampliación urbanística llevada a cabo durante el reinado de Isabel II. El precursor al que se debe su nombre fue el malagueño José de Salamanca y Mayol, Marqués de Salamanca, quien concibió un nuevo emplazamiento con una cuidada edificación que albergara a las clases aristocráticas y burguesas de Madrid. De estilo decimonónico, se caracteriza por su especial distribución regular en forma de damero con calles perpendiculares. Sus edificios gozan de especial interés gracias a su calidad arquitectónica y la belleza de sus fachadas.",False,good,False,,14244.0,True,False,False,False,[],False,False,2279000.0,€,,,flat,,"Lista, Madrid",Piso,3,True,True,Lista,,,
107923690,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/7e/7f/1328586537.webp,2C,6,300000.0,flat,sale,78.0,2,1,"avenida SAN DIEGO, 59",Madrid,Madrid,Puente de Vallecas,es,40.3873188,-3.6685995,True,https://www.idealista.com/obra-nueva/107923690/,"Se vende vivienda de obra nueva, a estrenar en el corazón de Vallecas    LICENCIA CONCEDIDA. Inicio de obras junio 2025.    Edificio singular, con diseño y calidades superiores a cualquiera de la zona. Con fachada ventilada, trastero en planta baja y terraza en la azotea para disfrute de todos los vecinos. Todas las viviendas son exteriores y cuentan con balcón a la calle.    El edificio consta de 10 viviendas de 2 dormitorios en planta y dos estupendos áticos de 1 y 2 dormitorios con una amplia terraza de mas de 20 metros cuadrados  La Avenida de San Diego, calle que da nombre al barrio donde se ubica, es la más ancha de la zona y une la zona nueva de Méndez Álvaro con la plaza de la Asamblea de la Comunidad de Madrid, siendo el centro neurálgico del barrio. En sus aledaños esta la parroquia de San Diego, el colegio Raimundo Lulio, la parada de autobús de la EMT de la línea 24 y multitud de tiendas y servicios.  No deje pasar esta oportunidad.",False,newdevelopment,True,False,3846.0,True,False,False,False,[],False,False,300000.0,€,,,flat,,"San Diego, Madrid","Piso en avenida San Diego, 59",2,True,True,San Diego,,,
107813145,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f6/ec/83/1324569224.webp,,49,1600000.0,chalet,sale,287.0,4,4,Barrio Aravaca,Madrid,Madrid,Moncloa,es,40.4562763,-3.7838556,False,https://www.idealista.com/inmueble/107813145/,"Chalet en Aravaca con altura de techos en el salón de 3,7 Metros. La vivienda, está distribuida de la siguiente manera: Planta de acceso: Porche delantero cubierto Hall Cocina con dormitorio de servicio y baño completo Salón comedor con Porche cubierto Aseo de cortesía. 1º Planta: Dormitorio principal con baño completo incorporado 2 dormitorios que comparten un baño completo Semisótano: Con acceso al jardín. Amplia sala multiusos Trasteros Baño completo Dormitorio.",False,renew,False,,5575.0,False,False,False,True,[],False,False,1600000.0,€,True,True,chalet,terracedHouse,"Aravaca, Madrid",Chalet adosado,,,,Aravaca,,,
106585131,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/c5/9b/1300004011.webp,312429,22,1185000.0,flat,sale,153.0,2,2,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,40.4117049,-3.7053924,False,https://www.idealista.com/inmueble/106585131/,"Ubicada en la calle Colegiata, a pocos pasos de la Plaza Mayor, esta propiedad combina el encanto histórico del centro de Madrid con vistas a la Catedral de la Real Congregación de San Isidro.  Con tres balcones exteriores, destaca por su diseño único y estilo clásico contemporáneo. Un recibidor elegante conecta con el salón principal, que incluye sofás Chester italianos, dos balcones llenos de luz y una acogedora zona de lectura con chimenea de mármol. Los suelos de madera en tono caoba aportan calidez y distinción. La vivienda cuenta con dos dormitorios interiores. La habitación principal tiene un balcón al patio interior, mientras que la secundaria ofrece una ventana amplia al mismo patio. Los baños, con azulejos negros y grifería dorada, combinan elegancia y funcionalidad. La cocina independiente, equipada con electrodomésticos de alta gama y encimera de mármol, completa esta distribución práctica y elegante. La finca, en excelente estado, dispone de ascensor y una entrada representativa. Contáctenos para agendar su visita.",True,good,False,,7745.0,False,False,False,True,[],False,False,1185000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso,2,True,True,Lavapiés-Embajadores,,,
107978229,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/c0/35/1304402159.webp,Portal 3-1ºA,4,265095.0,flat,sale,103.0,3,2,Urbanización Residencial Serpens s/n,Madrid,Madrid,Vicálvaro,es,40.3705717,-3.5773299,True,https://www.idealista.com/obra-nueva/107978229/,"SOLAMENTE DISPONIBLES VIVIENDAS PARA PERSONAS CON MOVILIDAD REDUCIDA. Grupo Ibosa presenta este nuevo proyecto de Viviendas de Protección Pública de Precio Limitado, VPPL. en uno de los nuevos desarrollos urbanísticos con mayor proyección ubicado en el sureste de Madrid, en Los Berrocales. CALIDAD, DISEÑO Y CONFORT Residencial Serpens es un proyecto de viviendas de 2, 3 y 4 dormitorios con plaza de garaje y trastero incluido en el precio. Viviendas con un precio asequible, funcionales y muy bien distribuidas, optimizando cada metro cuadrado para ofrecerte el máximo confort y comodidad. Podrás disfrutar de tu tiempo libre sin salir de casa ya que el proyecto ofrece unas estupendas zonas comunes con piscina y zonas verdes para disfrutar del buen tiempo. SOSTENIBILIDAD La sostenibilidad, calidad y diseño son los elementos principales en esta promoción de viviendas en la que se ha tenido muy en cuenta el cuidado por el medio ambiente y el ahorro energético. Los Berrocales opta por un modelo de ciudad sostenible, ecológico, con zonas verdes, amplias avenidas y zonas peatonales que mejoran la calidad del medioambiental. Un nuevo desarrollo urbanístico que se adapta perfectamente a un estilo de vida tranquilo y que además se encuentra a un paso de Madrid central para los que no quieran perder el vínculo con la gran ciudad. UBICACIÓN Tiene una ubicación estratégica al este de Madrid, muy cerca de Ensanche de Vallecas y el C. C. La Gavia destacando la gran conectividad a las redes de transporte público dada su cercanía al metro y paradas de autobuses. Delimita al sur por la A3, al este por la M-50, al oeste por la M-45 y por el norte la línea 9 de metro. ¡Ha llegado tu momento, apúntate!",False,newdevelopment,True,False,2574.0,True,False,False,False,[],False,False,265095.0,€,True,True,flat,,"Los Berrocales, Madrid",Piso en Urbanización Residencial Serpens s/n,1,True,True,Los Berrocales,,,
107852975,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/b6/e4/1326268085.webp,,46,220000.0,flat,sale,46.0,1,1," Alcala, 2",Madrid,Torrejón de Ardoz,Noreste,es,40.4576452,-3.4745927,True,https://www.idealista.com/obra-nueva/107852975/,"ULTIMAS UNIDADES. SP SERVICIOS INMOBILIARIOS pone a la venta esta promoción inmobiliaria de OBRA NUEVA y ENTREGA INMEDIATA de RENTA LIBRE, fecha prevista último cuatrimestre del 2025. La promoción se encuentra en la fase de finalización de obra.  Ubicada en la calle Álcala, la permite estar rodeada de múltiples comercios y servicios, tales como la estación de tren de Torrejón de Ardoz, Comisaría de policía local, Ayuntamiento, etc. Las unidades que quedan disponibles son de dos tipologías. Viviendas de uno y dos dormitorios. Todas ellas con TRASTERO, PLAZA DE GARAJE, ZONAS COMUNES Y PISCINA. La promoción se caracteriza por utilizar materiales de una elevada calidad en los materiales y con una alta eficiencia energética. En la carpintería exterior encontraremos Aluminio en color o p V C Abatible con rotura de puente térmico. Doble acristalamiento con vidrio de baja emisividad con Cámara de Aire. Las persianas serán de aluminio que aislamiento térmico, excepto en baños. En la carpintería interior encontraremos puertas interiores con hojas lacadas en color blanco y manivelas de diseño actual. Los armarios empotrados serán modulares con puertas de color blanco. Y contarán con balda para maletero y barra para colgar. La puerta de entrada a la vivienda será blindada bicolor según carpintería interior y exterior, con cerradura de 3 puntos y bisagras antipalanca y mirilla gran angular. La calefacción y el agua caliente sanitaria serán mediante sistema de aerotermia, con suelo radiante y refrescante. No dejes pasar esta oportunidad de adquirir una vivienda de obra nueva con entrega inmediata.  Llámanos y te informaremos.",False,newdevelopment,True,False,4783.0,False,False,False,False,[],False,False,220000.0,€,True,True,flat,,"Noreste, Torrejón de Ardoz","Piso en Alcala, 2",bj,True,True,,,,
