propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,highlight.groupDescription
109185950,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/46/2d/1366814114.webp,2110/21100022/321,30,bj,235000.0,duplex,sale,47.0,True,2,1,Barrio Valdeacederas,Madrid,Madrid,Tetuán,es,Valdeacederas,40.463388,-3.6999546,False,https://www.idealista.com/inmueble/109185950/,"""ESTUPENDA VIVIENDA EN VENTA Excelente vivienda de dos dormitorios y un baño. Se encuentra en la planta baja de un edificio residencial. Dispone de ascensor. Situado en Valdeacederas en el distrito de Tetuán. La vivienda se distribuye en dos dormitorios, salón-comedor, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de calefacción Individual. Se encuentra ubicado en Valdeacederas, Tetuán (Noreste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Tetuan y se encuentra a menos de 10 minutos andando. La parada de autobús más cercana es Robledo y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 20 minutos andando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, existen 5 farmacias a menos de 300 metros, existen 4 colegios a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 10 supermercados, 8 bancos, una lavandería, una oficina de correos, una comisaría de policía. La zona cuenta con una amplia oferta de entretenimiento con un gimnasio, 5 parques, bares, restaurantes y comercios a pocos minutos de la vivienda. En cuanto al transporte privado, la zona dispone de parkings privados, un parking público y aparcamiento en la calle.  La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Calle 30, Calle de Sinesio Delgado y la Tunel Marques de Viana - Sor Angela de la Cruz.  Estado de la vivienda: vacante. "".",True,good,False,True,5000.0,True,False,True,False,[],False,False,235000.0,€,flat,duplex,"Valdeacederas, Madrid",Dúplex,,,,,,,,
108530814,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/7f/c2/1347647199.webp,318432,43,3,5190000.0,flat,sale,307.0,True,4,4,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4289984,-3.6846754,False,https://www.idealista.com/inmueble/108530814/,"Piso con terraza situado en uno de los barrios más exclusivos de Madrid, rodeado de tiendas y comercios, ideal para quienes desean vivir en un entorno elegante, con todas las comodidades a su alcance y excelentes conexiones de transporte. La propiedad destaca por una encantadora terraza techada, perfecta para disfrutar de desayunos al aire libre entre plantas, a la cual se accede directamente desde el dormitorio principal. Dispone de cuatro amplios dormitorios, cuatro baños completos y un aseo de cortesía. Es una opción ideal para familias que valoran una ubicación privilegiada. Además, cuenta con una zona de servicio con entrada independiente, que puede mantenerse separada del resto de la vivienda o utilizarse como cuarto de invitados. La vivienda ha sido completamente reformada, lo que permite una mudanza inmediata sin necesidad de realizar obras. La suite principal ofrece una gran capacidad de almacenamiento gracias a sus armarios empotrados, y la propiedad incluye también un trastero en la finca. El salón cuenta con chimenea, y todas las estancias tienen acceso a alguna de las terrazas, lo que proporciona abundante luz natural y ventilación. Uno de los mayores atractivos de esta propiedad es su excelente ubicación en Madrid, a escasos metros de las tiendas más exclusivas de la ciudad. El edificio fue diseñado por el reconocido arquitecto José Antonio Coderch de Sentmenat y se caracteriza por una distribución interior que evita cruces entre estancias, así como por la mayoría de sus habitaciones exteriores.",True,good,False,True,16906.0,False,False,False,False,[],False,False,5190000.0,€,flat,,"Castellana, Madrid",Piso,True,True,,,,,,
105901700,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/20/5c/1266464897.webp,GOY-03,17,4,1300000.0,flat,sale,135.0,True,2,2,calle de Jorge Juan,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.422131,-3.6699658,False,https://www.idealista.com/inmueble/105901700/,"Abra Homes presenta fantástico piso reformado a la venta en una de las calles más demandadas de la capital. El piso está alquilado actualmente y se trata de una fantástica oportunidad para inversores dado que por su excelente ubicación tiene una gran demanda en alquiler. Se trata de una 4ª planta exterior reformada hace tan solo 3 años con las más altas calidades y se encuentra en perfecto estado. El edificio de 1950 tiene un gran patio central por lo que todas las estancias gozan de una luz inigualable y sobre todo, de mucha tranquilidad. La distribución consta de 2 dormitorios y 2 cuartos de baño. El principal, dando a la calle Jorge Juan, cuenta con cuarto de baño en suite y un fantástico vestidor.  El gran salón cuadrado incorpora el antiguo balcón de la fachada con dos enormes ventanales que nos permiten gozar como si aún estuviera abierto.  La cocina, fabricada a medida y equipada con electrodomésticos BOSCH de alta gama está abierta al salón. La zona de lavandería queda totalmente independiente de la cocina. Ubicada en el segundo cuarto de baño incluye lavadora, secadora, pila, mesa de plancha y armarios muy bien aprovechados. El piso destaca por la calidad de su reforma, su luz y su altura de techos. Detalles incluyen chimenea (que puede usarse como tal o como elemento decorativo), suelos de tarima y radiadores de hierro fundido. Calefacción central incluida en gastos de comunidad. Aire acondicionado por conductos. Portero físico. Se trata de una fantástica oportunidad de hacerse con un inmueble impecable para tenerlo en rentabilidad.",True,good,False,True,9630.0,True,False,False,False,[],False,False,1300000.0,€,flat,,"Goya, Madrid",Piso en calle de Jorge Juan,,,,,,,,
105751050,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/8e/f5/1342656080.webp,06369,76,,1040000.0,chalet,sale,383.0,,6,4,Zaburdón - Monte Escorial,Madrid,San Lorenzo de El Escorial,Zaburdón - Monte Escorial,es,,40.6066072,-4.1309842,False,https://www.idealista.com/inmueble/105751050/,"Esta vivienda, en San Lorenzo de El Escorial, es el refugio soñado para aquellas familias que buscan un equilibrio perfecto entre naturaleza, el confort y la comodidad. Calidad de vida. Ideal como primera o segunda residencia ¡Tú eliges! ESTA PROPIEDAD ES ESPECIAL Se encuentra en la urbanización Monte de El Escorial, única en la zona, lo tiene todo: piscina, pistas de tenis, ping-pong, baloncesto, fútbol, restaurantes, etc. Su ubicación es excepcional, ya que además podrás disfrutar de la vibrante vida de San Lorenzo de El Escorial Se trata de un chalet totalmente independiente de 383 m2 y una parcela de 989 m2. Una vivienda confortable, de 3 plantas, con mucha privacidad, luminoso y vistas al impresionante Monte Abantos  Las estancias, todas muy amplias, con grandes ventanales. Las calidades excepcionales; suelos y baños de porcelanosa, puertas de madera maciza, armarios empotrados de diseño y a medida DISTRIBUCIÓN Perfecta par disfrutar de la vida familiar, y de la privacidad de cada miembro P. Principal: Porche cubierto con terraza Hall y distribuidor Salón/comedor de unos 40 m2 con salida a una gran terraza con vistas al jardín, al Monte Abantos y horizonte Cocina/comedor completamente equipada, muebles a medida y acceso directo al jardín Dormitorio principal con baño en suite Despacho y Aseo P. 1ª 3 holgadas habitaciones, dos de ellas con armarios empotrados Pasillo distribuidor con armarios empotrados y 1 baño completo  P. Baja Cuenta con un amplio espacio, puede ser una sala de juegos, un 2º salón, o un estudio/apartamento, ya que tiene su propio baño completo privado, armario empotrado y entrada totalmente independiente desde el exterior de la vivienda, cuenta con una gran terraza, de unos 40 m² Jardín Cuenta con varios ambientes, zona de barbacoa, un gran cenador de madera maciza, para disfrutar de los mejores momentos. zona arbolada, leñera y espacio diáfano donde puedes poner tu propia zona deportiva/piscina ES IMPORTANTE SABER QUE Vivienda situada en una de las áreas más valoradas de Madrid, San Lorenzo de El Escorial, conocido por su atractivo valor turístico y cultural, hogar del majestuoso Monasterio y Real Sitio de San Lorenzo de El Escorial SERVICIOS supermercados, centros deportivos, culturales, parques, restaurantes, hospital, centro de salud, etc COLEGIOS Guarderías, colegios públicos y privados, centros de enseñanzas musicales y Universidad COMUNICACION A 40 minutos de Madrid capital, desde la A-6. M-505 une con El Escorial, Galapagar, Las Rozas, etc. 14 líneas de autobús, 4 urbanas y 10 interurbanas Tren Cercanías a 15 minutos a pie Ideal para quieres quieren disfrutar la vida en contacto con la naturaleza y quieres sienten que cada momento es un regalo Sin honorarios al comprador.",True,good,False,,2715.0,True,False,False,False,[],False,False,1040000.0,€,chalet,independantHouse,"Zaburdón - Monte Escorial, San Lorenzo de El Escorial",Casa independiente,True,True,,,,,,
109131729,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/ff/a8/1365273485.webp,APA_151,24,,515000.0,chalet,sale,210.0,,5,3,Guadarrama,Madrid,Guadarrama,,es,,40.6663489,-4.0564454,False,https://www.idealista.com/inmueble/109131729/,"Chalet pareado con jardín, piscina y excelentes calidades en zona privilegiada S15 Real estate vende este espectacular chalet pareado de dos plantas con 210 m² construidos (194 m² útiles), ubicado en una amplia parcela de 700 m² en una zona residencial tranquila y con excelentes conexiones. La vivienda, construida en 2001 y en perfecto estado de conservación, cuenta con 5 habitaciones, 3 baños completos, terraza, jardín privado y piscina. Incluye plaza de garaje en el precio. Características generales: Superficie construida: 210 m² Superficie útil: 194 m² Parcela: 700 m² Habitaciones: 5 Baños: 3 Garaje incluido Segunda mano en buen estado Armarios empotrados Calefacción individual por gas natural Mejoras exteriores: La propiedad ha sido objeto de múltiples mejoras tanto en su interior como en el exterior. En la zona exterior destacan: Piscina privada con solado de 3 metros alrededor Ducha solar Acceso a la vivienda solado Tejado en la entrada al garaje, con espacio adicional cubierto para otro coche Porche posterior acristalado Valla nueva en la linde con el jardín del vecino Sistema de riego automático en toda la parcela Canalización subterránea Mejoras interiores: Cocina de 20 m² totalmente renovada con primeras calidades y salida directa al jardín Toma de teléfono y televisión en todas las habitaciones Chimenea con casete y salida de aire caliente en planta superior Loft con bañera de jacuzzi en la planta alta Tarima flotante en toda la planta baja Caldera nueva de alta gama Porche cerrado y acristalado Ubicación: La vivienda se encuentra en una zona privilegiada con vistas a la Bola del Mundo, a solo 50 metros del autobús a Madrid y a 5 minutos en coche de la estación de tren de Alpedrete. Existe una amplia oferta educativa pública y privada en un radio de 3Km. Montesori, Mataespesa, Villa de Guadarrama. Cuenta con atención sanitaria muy próxima, Hospital Universitario de Villalba, Hospital de El escorial, Hospital Universitario de Guadarrama. Las poblaciones de Alpedrete y Guadarrama cubren con toda la oferta de servicios necesarios (Farmacias, Veterinarios, comercios, cafeterías y restaurantes) a una distancia de no mas de 5 min.  ref: APA_151.",False,good,False,,2452.0,True,False,False,False,[],False,False,515000.0,€,chalet,independantHouse,Guadarrama,Casa independiente,True,True,,,,,,
108670391,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3a/90/a3/1351694402.webp,EG6426,103,,709900.0,chalet,sale,293.0,,4,3,Val,Madrid,Alcalá de Henares,Val,es,,40.4897581,-3.3443951,False,https://www.idealista.com/inmueble/108670391/,"Alcalá Inmobiliaria pone a su disposición esta magnífica vivienda unifamiliar con parcela y piscina propia en una de las mejores zonas de vivienda horizontal de Alcalá de Henares, concretamente en la zona denominada Cuna de cervantes.     Descubre este espectacular chalet adosado con una superficie construida de 293m² sobre una parcela de 235m². La vivienda está distribuida en cuatro plantas. Dispone de un estupendo porche delantero con cerramiento en aluminio. En la planta baja tiene un dormitorio que podría hacer las veces de despacho idóneo para familias que teletrabajan. La cocina viene amueblada con una reforma reciente hecha con mucho gusto con un estilo moderno y singular. La cocina también cuenta con zona de office, salida al tendedoro y este a la vez está comunicado con el garaje para un coche. El salón, con chimenea totalmente funcional, tienen acceso al estupendo jardín trasero que cuenta con piscina propia y barbacoa de obra. En planta baja también encontramos un cuarto de baño completo con plato de ducha recién recientemente reformado. En planta primera distribuido en cuatro dormitorios dobles con armarios empotrados contando el dormitorio principal tipo suite con baño reformado. Esta planta cuenta con otro baño completo con bañera de hidromasaje y también recientemente reformado. La segunda planta alberga una encantadora buhardilla de 40 m², forrada en madera, ideal para crear un espacio de trabajo o de ocio. Con radiadores de calefacción y ventanas Velux, es un lugar perfecto para disfrutar durante todo el año. Y por último contamos con el sótano con 70 m², distribuido en cuarto de lavandería y plancha, una habitación que hace las veces de almacén o despensa y una estupenda bodega. Tanto las calidades como el cuidado de la vivienda son fantásticos. Ven a visitarlo. Este edificio es una oportunidad única en una zona exclusiva, con altas rentabilidades gracias a su ubicación estratégica. Las viviendas han sido completamente reformadas y el proyecto está disponible para cualquier cliente interesado. ¿Necesitas vender para comprar? En Alcalá Inmobiliaria, te ofrecemos un servicio integral y personalizado:  Vendemos el 91% de las propiedades que gestionamos.  Rapidez y eficiencia garantizadas.  Sin honorarios para el comprador.  Gestión completa de la compra, incluyendo asesoramiento hipotecario gratuito con las mejores condiciones del mercado. ¿Dudas sobre financiación o impuestos? Llámanos sin compromiso y resuelve todas tus preguntas. Programaremos una visita para que descubras el potencial de esta propiedad única. Información adicional:  Los metros de las viviendas han sido contrastados según Catastro/Registro.  Los muebles que aparecen en las imágenes no son vinculantes y pueden no estar incluidos.  Este anuncio es informativo y no contractual, pudiendo contener errores.  En el precio de venta no están incluidos los impuestos legales ni los gastos de escrituración.  ¡No pierdas la oportunidad de invertir en este edificio excepcional! Llámanos hoy mismo y da el paso hacia tu nueva vida. ·        Distribución: o   Exterior: §  Patio delantero ajardinado y con cerramiento del zaguán §  Garaje §  Jardín con pérgola, piscina y zona de barbacoa de obra o   Interior: §  Planta baja: ·        Salón con chimenea funcional ·        Cocina totalmente reformada con office ·        Baño completo reformado ·        Dormitorio / despacho ·        Hall distribuidor §  Primera planta ·        Cuatro dormitorios ·        Baño en suite totalmente reformado ·        Segundo baño en planta reformado ·        Hall distribuidor §  Buardilla con ventanas velux y calefacción §  Sótano ·        Cuarto lavandería ·        Despensa y almacén ·        Salón de recreo y bodega   ·    .",False,good,False,,2423.0,False,False,False,False,[],False,False,709900.0,€,chalet,,"Val, Alcalá de Henares",Chalet,,,,,,,,
104620663,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/f0/d2/1226312936.webp,426033,19,1,1649000.0,flat,sale,162.0,True,3,3,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4371841,-3.684991,False,https://www.idealista.com/inmueble/104620663/,"ÚNICA Inmobiliaria ofrece esta fantástica vivienda reformada situada en la emblemática calle Velázquez. Se encuentra en un edificio clásico con dos balcones a la calle.  AUTORIZADO EL ALQUILER DE USO TURISTICO.  Tiene 165 m² distribuidos en salón comedor, cocina integrada, tres dormitorios dobles, tres baños, aseo de cortesía y zona de lavado.  Es una primera planta de orientación este, con sol de mañana.  Tanto en la decoración, como en la reforma, se han utilizado materiales de alta calidad que crean un ambiente elegante y funcional.  Residir en este exclusivo espacio y a escasos metros del parque del Retiro es todo un privilegio, disfrutar de una magnífica ubicación en el emblemático barrio de Salamanca, zona que conserva intacto el aire aristocrático en sus grandes aceras, elegantes edificios y construcciones históricas, a un paso de las tiendas más exclusivas y prestigiosas.  La tranquilidad, la magnífica arquitectura y la variedad de servicios convierten esta zona en una de las más selectas y prestigiosas de la capital. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,10179.0,False,False,False,False,[],False,False,1649000.0,€,flat,,"Castellana, Madrid",Piso,,,,,,,,
109198931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/53/00/1367225269.webp,FB-1638,38,3,1638000.0,flat,sale,217.0,True,4,3,calle de la Fuente del Berro,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4270228,-3.6697658,False,https://www.idealista.com/inmueble/109198931/,"Amplio piso EXTERIOR en la mejor zona de Madrid. Edificio clásico y señorial junto a la calle GOYA con la fachada recién renovada. Dispone de UNA SOLA VIVIENDA en cada planta, permitiendo exclusividad e intimidad a cada vecino. Con elegante portal SIN BARRERAS arquitectónicas. Bien distribuido gracias a su buena planta y sus 2 accesos separados, principal y de servicio. Edificio de solida construcción, con techos altos y PATIO DE MANZANA en la parte de los dormitorios. Actualmente consta de 4 dormitorios más 1 habitación para el servicio. 3 baños. Amplios salón y comedor exteriores e independientes. Gran cocina independiente con office. Perfecto para familias medianas y numerosas. O para quien necesite GRANDES ESPACIOS dentro de su vivienda. Ideal para personalizar al gusto y necesidades. Consulte con nuestros técnicos en reformas, las múltiples posibilidades que ofrece esta maravillosa casa.",True,good,False,True,7548.0,True,False,False,False,[],False,False,1638000.0,€,flat,,"Goya, Madrid",Piso en calle de la Fuente del Berro,True,True,,,,,,
103241452,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/d0/94/1183020249.webp,425813,21,3,929000.0,flat,sale,85.0,True,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4301028,-3.6697231,False,https://www.idealista.com/inmueble/103241452/,"En el prestigioso barrio de Goya, ÚNICA Inmobiliaria ofrece esta vivienda recientemente reformada y totalmente amueblada.  Se trata de un piso de 85 m², ubicado en un edificio de fachada clásica y protegida. Tiene dos bonitos balcones de forja que dan a la calle principal.  Está distribuido en salón con dos ambientes, cocina incorporada, tres dormitorios, dos de ellos en suite, y otro tercer baño para el tercer dormitorio.  Entramos al hall y nos encontramos con armarios empotrados de gran capacidad para almacenaje.  Al fondo, el salón, donde la luz natural lo convierte en una agradable estancia. La cocina, incorporada, cuenta con todo el equipamiento de electrodomésticos de calidad.  En esta vivienda encontramos diferenciado el área de descanso de la zona social, lo que aporta silencio y privacidad con el resto de la vivienda.  Zona con todo tipo de servicios, pequeños comercios, centros médicos, colegios, gimnasios, y una buena oferta de restauración. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,10929.0,False,False,False,False,[],False,False,929000.0,€,flat,,"Lista, Madrid",Piso,,,,,,,,
107444430,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/ce/4f/1312810482.webp,,4,bj,289000.0,flat,sale,115.0,True,3,2,"calle Don Andrés Martínez, 27",Madrid,Aranjuez,Centro,es,,40.026744,-3.599719,True,https://www.idealista.com/obra-nueva/107444430/,"Nueva promoción de exclusivas viviendas, ubicadas en la calle Andrés Martinez, con calle del Sol y calle Valencia, donde podrás disfrutar junto a tu familia de la tranquilidad a un paso del centro de Aranjuez. Lujosas viviendas de última generación con la máxima eficiencia energética, fachada exterior en SATE, climatización por suelo radiante y refrescante (aerotermia)independiente en cada vivienda. Cuenta con acabados de altísima calidad y un diseño singular y moderno que imprime un carácter personal e individual a cada uno de los espacios que la componen. Las estancias son amplias y están impregnadas de luz natural, gracias a los grandes balcones que rodean cada vivienda. CARACTERÍSTICAS BASICAS: Climatización por suelo radiante y refrescante (aerotermia), salón y dormitorio principal con persianas enrollables de aluminio térmicas motorizadas, video portero, apagado general de toda la iluminación del circuito eléctrico de alumbrado de la vivienda, grifería termostática en baño principal, amplias terrazas en la mayoría de las viviendas, pintura lisa, trastero incluido en precio. OBSERVACIONES: Garaje opcional.",False,newdevelopment,True,True,2513.0,True,False,False,False,[],False,False,289000.0,€,flat,,"Centro, Aranjuez","Piso en calle Don Andrés Martínez, 27",,,False,,,,,
