propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,floor,exterior,hasLift,highlight.groupDescription,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107832052,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/da/69/1325665208.webp,CHALET ADOSADO CHAMARTIN,38,1450000.0,chalet,sale,200.0,3,2,avenida de Alfonso XIII,Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.4487817,-3.6650846,False,https://www.idealista.com/inmueble/107832052/,"Alonso & Vega Luxury Housing, especialistas en viviendas de lujo en las zonas más exclusivas de Madrid.  Presentamos esta vivienda en una zona privilegiada y exclusiva de Madrid.  Casa adosada en un barrio catalogado como conjunto histórico-artístico de Madrid, con servicios de autobuses y metro muy cercanos. Es una zona muy tranquila ideal para familias. Dividida en tres plantas, consta de 3 dormitorios y 2 baños.  El dormitorio principal cuenta con un maravilloso vestidor. Salón - Comedor dividido en dos ambientes muy cálido y acogedor. Terraza acristalada con opción de convertirse en otra habitación. Cocina independiente muy luminosa. La buhardilla es un espacio abierto con diferentes posibilidades. Patio delantero para disfrutar de cenas y comidas familiares en épocas de buen tiempo.  Su proximidad al Parque de Berlín, permite disfrutar de diferentes actividades deportivas, ocio... además de la conexión con la M-30 y el aeropuerto La vivienda dispone aún de edificabilidad sin consumir, lo que permite una redistribución de espacios y su adaptación a tus necesidades, ampliando, algunos espacios existentes y disfrutar de espacios más amplios.",True,good,False,7250.0,True,False,True,False,[],False,False,1450000.0,€,chalet,terracedHouse,"Ciudad Jardín, Madrid",Chalet adosado en avenida de Alfonso XIII,,,,,,,,,,
107458506,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/ab/91/1313241979.webp,BS101627,71,1200000.0,chalet,sale,250.0,4,4,calle Cerro de Álamos Blancos,Madrid,Madrid,Fuencarral,es,Arroyo del Fresno,40.4877263,-3.7289522,False,https://www.idealista.com/inmueble/107458506/,"BOSS INMOBILIARIOA vende en exclusiva chalet adosado en Arroyo del Fresno junto a Mirasierra y Peñagrande, y frente al campo de Golf de la Federación Española de Golf (RFE). La vivienda está reformada prácticamente en su totalidad. Todas las ventanas son nuevas con mosquiteras incorporadas y la cocina y baño principal hace dos años. Cabe destacar que es una vivienda con un alto ahorro energético al haber instalado hace un año el sistema de calefacción por aerotermia y 12 placas fotovoltaicas.  La climatización por aerotermia es una energía limpia que genera un claro ahorro energético y económico así como un mayor respeto por el medio ambiente. Con este sistema se calienta la vivienda además de proporcionar agua caliente. Con las placas fotovoltaicas se genera electricidad para conseguir un consumo cero durante los meses de mayo a octubre y un consumo mínimo el resto del año. Dispone de aire acondicionado en todas las estancias incluida cocina y baño principal. La vivienda sobre una parcela de 126 m2 tiene de 250 m2 construidos y se distribuye en cuatro plantas: Planta baja: hall distribuidor, aseo de cortesía, salón comedor de 38 m2 con chimenea y salida a un jardín privado de 40 m2 con pérgola. Amplia cocina totalmente reformada con office. Planta primera: tres dormitorios con dos baños, el principal en suite con vestidor y el baño incorporado. Originalmente eran cuatro dormitorios y dos baños. Planta segunda: amplia sala polivalente de 40 m2 con baño y dos trasteros. Actualmente es una zona de estar, televisión y despacho. Se podrían hacer dos habitaciones o una muy grande con vestidor; o zona de juegos de niños. Planta sótano: amplia estancia de lavandería y garaje para dos coches grandes con salida directa a la calle. IBI - 768 €/año subvencionado al 40 % hasta 2028 por las placas fotovoltaicas.",True,good,False,4800.0,True,False,True,False,[],False,False,1200000.0,€,chalet,terracedHouse,"Arroyo del Fresno, Madrid",Chalet adosado en calle Cerro de Álamos Blancos,True,True,,,,,,,,
103350052,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/06/6d/1331597226.webp,VPIS_3080,36,1200000.0,flat,sale,62.0,1,1,calle de Claudio Coello,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4239467,-3.6881839,False,https://www.idealista.com/inmueble/103350052/,"HOME SELECT vende exclusivo Pied á Terre recién reformado y amueblado al detalle en la mejor zona de Recoletos.  Concebido como un espacio con cocina abierta y un agradable salón con dos balcones que se asoman al callejón de Jorge Juan, una de las calles más cotizadas a de la capital.  En la zona privada, un confortable dormitorio y un baño. Cabe destacar su altura de techos y la capacidad de almacenaje. Todas las estancias disponen de ventanas que aportan ventilación natural.  ref: VPIS_3080.",True,good,False,19355.0,True,False,True,False,[],False,False,1200000.0,€,flat,,"Recoletos, Madrid",Piso en calle de Claudio Coello,,,1,True,True,,,,,
108567609,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/51/50/1348675492.webp,3303-03172,44,650000.0,chalet,sale,183.0,4,2,CR GALAPAGAR DE,Madrid,Galapagar,El Guijo - Colonia España - Colonia San Antonio,es,,40.6197005,-4.0259318,False,https://www.idealista.com/inmueble/108567609/,"Amplia casa en parcela de 762 m² – Comodidad, espacio y tranquilidad Se vende excelente vivienda unifamiliar ubicada en una amplia parcela de 762 m², ideal para quienes buscan privacidad, amplitud y calidad de vida. La casa cuenta con una superficie construida de 183 m², distribuidos en dos plantas, ofreciendo una distribución cómoda y funcional para toda la familia. Características principales: •Superficie construida: 183 m² (según Catastro) •Parcela: 762 m² •Distribución en dos plantas •Amplio jardín con múltiples posibilidades (zona de ocio, piscina, huerto, etc. ) •Espacios luminosos y bien ventilados •Zona tranquila y con buena conexión a servicios Distribución y características principales: •4 dormitorios amplios y luminosos •2 baños completos •Salón con chimenea, ideal para crear un ambiente acogedor •Cocina independiente •Amplio garaje con espacio de almacenamiento adicional •Jardín de gran tamaño, perfecto para zona de juegos, barbacoa o futura piscina •Ubicación inmejorable: A escasos 100 metros de parada de autobús urbano e interurbano, con conexión directa al centro y al intercambiador de Collado Villalba. Muy próxima al polígono P-29, con acceso rápido a comercios, servicios, restauración y zonas empresariales. •Una propiedad con gran potencial, ideal para quienes buscan amplitud, independencia y excelente conexión en una de las zonas más cotizadas de la sierra de Madrid. •¡No dejes pasar esta oportunidad! Contáctanos para más información o concertar una visita.",True,good,False,3552.0,True,False,True,False,[],False,False,650000.0,€,chalet,independantHouse,"El Guijo - Colonia España - Colonia San Antonio, Galapagar",Casa independiente en Cr Galapagar De,True,True,,,,,,,,
108614771,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/d5/5b/1350000593.webp,VPIS_4386,16,860000.0,flat,sale,80.0,2,1,calle de López de Hoyos,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4382925,-3.6877118,False,https://www.idealista.com/inmueble/108614771/,"Hola Select vende preciso piso situado en el prestigioso barrio de Salamanca, uno de los más cotizados y emblemáticos de Madrid, este piso ofrece una ubicación privilegiada rodeada de restaurantes de calidad, cafeterías, boutiques, y todo tipo de servicios. La zona combina a la perfección elegancia, vida urbana y comodidad, con excelente conexión al transporte público y a las principales vías de la ciudad. El piso destaca por su diseño de planta abierta, que une salón y cocina en un espacio diáfano, luminoso y funcional, ideal para disfrutar tanto del día a día como de momentos sociales. El dormitorio principal es amplio y cuenta con armarios empotrados que ofrecen una gran capacidad de almacenaje. El segundo dormitorio ha sido diseñado pensando en la versatilidad: dispone de un escritorio ideal para trabajar o estudiar desde casa, y un vestidor integrado que añade funcionalidad sin renunciar al estilo.  ref: VPIS_4386.",True,good,False,10750.0,True,False,True,False,[],False,False,860000.0,€,flat,,"Castellana, Madrid",Piso en calle de López de Hoyos,,,7,True,True,,,,,
107679264,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/db/16/1323221829.webp,4175,54,1350000.0,chalet,sale,660.0,4,5,calle Playa de Comillas,Madrid,Boadilla del Monte,Bonanza,es,,40.4528387,-3.8996734,False,https://www.idealista.com/inmueble/107679264/,"ALTOR ASESORES OFRECE Este chalet independiente está ubicado en la urbanización Bonanza, en Boadilla del Monte, y destaca por sus amplios 500 metros construidos. Con un diseño y acabados de alta calidad, la propiedad cuenta con 4 dormitorios, tres de ellos con baños y vestidores en suite. Dos de los dormitorios disponen de terrazas privadas desde las que se pueden disfrutar de impresionantes vistas a la Sierra, específicamente a El Escorial. El chalet tiene un total de 5 baños, incluyendo uno completo en el sótano, lo que garantiza comodidad para todos los miembros de la familia o invitados. El salón-comedor es grande, con una chimenea que le da un toque acogedor, mientras que la cocina es impresionante, completamente equipada y con mucho espacio de almacenamiento. Las vistas que ofrece la vivienda son inmejorables, tanto desde las terrazas como desde las estancias interiores. En el sótano se encuentra un enorme salón con un bar completo, ideal para el entretenimiento. Además, en esta planta hay un baño completo, un gran lavadero y un cuarto de despensa/trastero que proporciona un amplio espacio adicional de almacenamiento. Los acabados de la casa son de lujo, con suelos de mármol y baños también revestidos en este material, mientras que la madera utilizada es roble macizo de primera calidad, en perfecto estado. Las paredes están pintadas en estuco, creando un ambiente elegante y moderno. En cuanto a las instalaciones, la vivienda cuenta con calefacción por suelo radiante, además de splits con bomba de calor y frío en todas las estancias, lo que garantiza una temperatura óptima durante todo el año. Las persianas de seguridad, las rejas, la instalación de alarma de seguridad interna y perimetral, así como los detectores de humo, refuerzan la seguridad de la propiedad. Además, la casa tiene un sistema de domótica que permite controlar diferentes aspectos del hogar de manera remota. El garaje tiene espacio suficiente para aparcar hasta 4 coches, lo que es ideal para familias con varios vehículos. En el exterior, el chalet cuenta con una zona de barbacoa con lavadero y un cuarto adicional para almacenamiento. Además, hay dos zonas con cenadores: una cubierta con un porche y otra al aire libre. El jardín está cuidado y cuenta con césped, árboles frutales y decorativos, creando un ambiente natural y tranquilo. También hay un porche exterior en el portal principal desde el que se pueden admirar las preciosas vistas del entorno. En resumen, esta propiedad es una opción excepcional para aquellos que buscan una casa de lujo, amplia, con excelentes acabados y todas las comodidades en una ubicación privilegiada.",True,good,False,2045.0,True,False,True,False,[],False,False,1350000.0,€,chalet,independantHouse,"Bonanza, Boadilla del Monte",Casa independiente en calle Playa de Comillas,,,,,,,,,,
108674344,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/a5/cb/1351788035.webp,4272,53,580000.0,flat,sale,150.0,4,2,del Obolo,Madrid,Madrid,Carabanchel,es,Pau de Carabanchel,40.3705915,-3.7430056,False,https://www.idealista.com/inmueble/108674344/,"ALTOR ASESORES VENDE, esta vivienda, 4 DORMITORIOS, 2 BAÑOS COMPLETOS, SALON COMEDOR, COCINA CON TERRAZA, vigilancia las 24 horas Esta ubicada en el barrio de Carabanchel en Madrid, es una excelente oportunidad para aquellos que buscan invertir en una propiedad con un gran potencial de rentabilidad. Con una construcción del año 2004, se encuentra en un estado de conservación impecable. El piso cuenta con una orientación sur, lo que garantiza una excelente iluminación y aprovechamiento de la luz natural durante todo el día. Además, se encuentra en una urbanización CON GRAN POTENCIAL, como conserje 24 horas, piscina, GRANDES ZONAS de JARDIN, lo que brinda una gran comodidad y bienestar a sus residentes. La ubicación, la vivienda se encuentra cerca de varios servicios y comodidades, ofreciendo una amplia variedad de tiendas, restaurantes y opciones de ocio.  Las conexiones de transporte, la línea de metro más cercana es la 11 la cual se ubica a menos de 5 minutos andando, lo que permite un fácil acceso al centro de la ciudad y a otras zonas de interés. Por último, las líneas de autobús 35, 155, N17, SE832, pasan cerca de la ubicación de la vivienda, a menos de 3 minutos andando, lo que facilita el desplazamiento por la ciudad. El barrio de Carabanchel es conocido por su ambiente acogedor y su gran oferta de servicios y comodidades. Con una amplia variedad de tiendas, restaurantes, parques y espacios verdes, ofrece un estilo de vida cómodo y tranquilo. Además, cuenta con una excelente conexión con el centro de Madrid, lo que permite disfrutar de todas las ventajas de vivir en la ciudad sin renunciar a la tranquilidad y comodidad de un barrio residencial. Esta vivienda en Carabanchel representa una excelente oportunidad para aquellos que buscan una propiedad con potencial de reforma y rentabilidad. Su estado de conservación impecable, orientación sur y la oferta de servicios y comodidades de la urbanización la convierten en una opción muy atractiva. No pierdas la oportunidad de visitar este inmueble y descubrir todas las posibilidades que ofrece.",True,good,False,3867.0,True,False,True,False,[],False,False,580000.0,€,flat,,"Pau de Carabanchel, Madrid",Piso en del Obolo,True,True,1,True,True,,,,,
107520450,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/4a/d1/1363271610.webp,AD-02611,37,469000.0,flat,sale,88.0,2,2,plaza de Puerta Cerrada,Madrid,Madrid,Centro,es,Palacio,40.4139452,-3.7094356,False,https://www.idealista.com/inmueble/107520450/,"*** No cobramos Honorarios al comprador*** BONITO PISO CON MAGNÍFICAS VISTAS A LA CATEDRAL DE LA ALMUDENA Y LA BASÍLICA DE SAN MIGUEL. Muy luminoso, exterior con grandes ventanales, Se hizo reforma integral en 2017, cambiando instalación eléctrica, fontanería, calefacción, suelos, ventanas, etc.. . aunque se puede modificar la distribución de la vivienda. Piso de 88 m2 distribuido en 2 dormitorios con armarios empotrados, 1 baño completo con toallero radiador, 1 aseo, salón comedor y cocina independiente con despensa. Todas las estancias tienen ventanas salvo el baño.  Calefacción y agua caliente individual con gas natural, ventanas de aluminio, suelos de tarima y pintura lisa. El edificio se rehabilitó por completo en el año 1996, fachada protegida y no dispone de ascensor. Tiene videoportero. Dispone de un trastero abuhardillado en la finca de 9 m² aproximadamente. Parking público a 5 min en la Plaza Mayor y en La Latina. Excelente situación en pleno centro de Madrid, a escasos metros de lugares característicos de Madrid como el Arco de Cuchilleros, la Cava Baja, el Mercado de San Miguel, la Plaza Mayor, la Puerta del Sol, el Palacio Real, los jardines de Sabatini, el Campo del Moro, El Teatro Real, El Rastro o la Gran Vía, entre otros.",True,good,False,5330.0,True,False,True,False,[],False,False,469000.0,€,flat,,"Palacio, Madrid",Piso en plaza de Puerta Cerrada,,,4,True,False,,,,,
108103696,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/33/f5/1342863267.webp,c894,40,865000.0,chalet,sale,323.0,5,3,El Bosque,Madrid,Villaviciosa de Odón,El Bosque,es,,40.4001013,-3.919006,False,https://www.idealista.com/inmueble/108103696/,"¡Descubre tu nuevo hogar en la exclusiva Urbanización El Bosque! Este impresionante chalet independiente con una bonita piscina, ofrece un sinfín de posibilidades y unas vistas magníficas que te dejarán sin aliento. Con una construcción de 323 m² distribuidos en varias plantas, esta propiedad cuenta con un amplio salón de 35 m², una cocina de 29 m² perfecta para los amantes de la gastronomía y un acogedor comedor de 18 m² donde disfrutar de momentos inolvidables con familia y amigos. La planta calle también incluye un baño, una habitación de 6 m² ideal como despacho y un cuarto de plancha, además de un garaje de 25 m². En la entreplanta, encontrarás tres habitaciones de 10 m² cada una y otro baño, lo que la convierte en un espacio ideal para toda la familia. La primera planta es el refugio perfecto con una habitación principal de 15 m² que incluye un baño en suite y un vestidor, además de un recibidor que se puede unir a la habitación principal. ¡No olvides la terraza de 12 m², ideal para disfrutar del atardecer! El sótano ofrece una oportunidad única para habilitarlo como vivienda adicional, con unos 100 m² en bruto a tu disposición. La parcela de 1.595 m² brinda un sinfín de posibilidades para crear tu jardín soñado. Aunque necesita algunas reformas, este chalet es una joya que se adapta a tus necesidades. Con calefacción de Gas Natural, también posee aire acondicionado en la cocina y habitación principal, así tendrás el confort que mereces. No pierdas la oportunidad de hacer de este chalet tu nuevo hogar. ¡Contáctanos para más información y ven a visitarlo!",True,renew,False,2678.0,True,False,True,True,[],False,False,865000.0,€,chalet,independantHouse,"El Bosque, Villaviciosa de Odón",Casa independiente,True,True,,,,Destacado,,,,
108497748,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/fb/15/1346677737.webp,93104,22,750000.0,flat,sale,79.0,2,1,calle de Galileo,Madrid,Madrid,Chamberí,es,Arapiles,40.4345091,-3.7110447,False,https://www.idealista.com/inmueble/108497748/,"Piso reformado con calidades premium en el corazón de Chamberí Ubicado en una de las calles más representativas del barrio de Chamberí, este elegante piso ofrece una combinación perfecta de diseño, funcionalidad y confort. Situado en una tercera planta de un edificio señorial con portero residente, dispone de dos ascensores y zonas comunes recientemente renovadas que aportan valor y representatividad al conjunto. La vivienda ha sido objeto de una reforma integral hace apenas tres años, utilizando materiales de alta calidad y una cuidada distribución que maximiza la luz y el espacio. Se compone de dos dormitorios, ambos con armarios empotrados, un baño completo de diseño contemporáneo, y un amplio salón-comedor con cocina integrada. Esta última está equipada con electrodomésticos de alta gama e incluye un práctico armario técnico oculto con lavadora-secadora. Entre sus calidades destacan la carpintería exterior de alta eficiencia energética, el aire acondicionado y una selección de acabados pensada para ofrecer estilo y confort en el día a día. La zona en la que se encuentra cuenta con todos los servicios: supermercados, comercios, restaurantes, colegios, centros culturales y zonas verdes a muy pocos pasos. Es una excelente opción tanto como vivienda habitual como para inversión. En cuanto a comunicaciones, la conexión con el resto de Madrid es excelente. A escasos metros se encuentran las estaciones de metro Quevedo (línea 2) y Islas Filipinas (línea 7), así como varias líneas de autobús como la 2, 16, 61 y N23. Para el acceso en coche, la cercanía con las calles Cea Bermúdez, Bravo Murillo y José Abascal facilita los desplazamientos hacia el centro y las principales salidas de la ciudad. Una vivienda de diseño lista para entrar a vivir en una de las ubicaciones más consolidadas y valoradas de Madrid. Grupo Mejocasa, somos un equipo dedicado a ofrecer el mejor servicio inmobiliario en toda la Comunidad de Madrid. Contamos con cuatro oficinas estratégicamente ubicadas en los barrios de Chamberí-centro, Ciudad Lineal-Salamanca, Hortaleza-Las Tablas y Canillejas-Metropolitano, lo que nos permite tener un amplio alcance y conocimiento del mercado en todas las zonas de la ciudad. Nos enorgullece ofrecer un servicio integral, gracias a nuestro Método de trabajo que abarca todos los aspectos necesarios para una experiencia inmobiliaria satisfactoria. No solo nos especializamos en la compra y venta de propiedades, sino que también brindamos asesoramiento completo para que nuestros clientes tomen decisiones informadas y seguras.",True,good,False,9494.0,True,False,True,False,[],False,False,750000.0,€,flat,,"Arapiles, Madrid",Piso en calle de Galileo,,,3,True,True,,,,,
