propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,newDevelopmentFinished
108618937,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/7f/0b/1350137106.webp,25,11,980000.0,flat,sale,157.0,True,4,3,"CL ARTURO SORIA, 316",Madrid,Madrid,Ciudad Lineal,es,Costillares,40.4775449,-3.6683795,True,https://www.idealista.com/inmueble/108618937/,"Piso en planta 11ª de 157 m2 construidos, según ficha catastral, de los cuales 138 m2 pertenecen a la vivienda, y 19 m2 a zonas comunes de la finca, más terraza.  Distribución actual: 3 dormitorios, 2 baños completos, amplio salón comedor con salida a la terraza, cocina con office, tendedero cubierto, 1 habitación de servicio con otro baño más. En total: 4 dormitorios con 3 baños.  Puerta de servicio a escalera con montacargas.  Aire acondicionado en el salón y en el dormitorio principal.  El piso se encuentra en buen estado de uso y mantenimiento, se han ido realizando alguna mejoras, pero necesita actualizaciones.    Orientación sur (terraza y salón) y oeste (habitaciones). Vista panorámica de Madrid.  Trastero en planta semisótano del edificio de 2,5 m2.  Finca de los años 1960, fase 1 del Pinar de Chamartín.  Servicio de portería.  Posibilidad de usar la piscina mancomunada.  Boca de metro a 5 minutos a pie (líneas 4 y 10), acceso directo a M11, M30, M40 y nudo Norte / A1; con todos los servicios y equipamientos urbanos al alcance de la mano.",False,good,False,True,6242.0,True,False,False,False,[],False,False,980000.0,€,flat,"Costillares, Madrid","Piso en CL Arturo Soria, 316",,,,,,,,,
108705721,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/78/69/1360516069.webp,23,7,1300000.0,penthouse,sale,108.0,True,2,2,"CL MALAGA, 8",Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4387379,-3.6932913,True,https://www.idealista.com/inmueble/108705721/,"Ático de capricho con dos amplias terrazas abiertas (una de 50 m2 y otra de 30 m2), con las 4 orientaciones y plaza de garaje en el mismo edificio en pleno centro de Madrid. Barrio de Chamberí, muy próximo al Paseo de la Castellana.  La distribución de planta es de forma rectangular con las terrazas bordeando la vivienda. Fue acondicionada 5 años atrás, actualizando instalación eléctrica, tuberías y cerramientos exteriores. Actualmente tiene dos dormitorios y dos baños. Zona residencial exclusiva, muy bien comunicada y con todo tipo de servicios a mano.",False,good,False,True,12037.0,True,False,False,False,[],False,False,1300000.0,€,flat,"Nuevos Ministerios-Ríos Rosas, Madrid","Ático en CL Malaga, 8",Ático Chamberí,True,True,penthouse,,,,,
108460754,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/63/5e/1345592698.webp,17,2,229999.0,flat,sale,96.0,True,3,2,CL SIERRA DEL BREZO,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.372501,-3.6197892,False,https://www.idealista.com/inmueble/108460754/,"Inmobiliaria Tecnocasa, Madrid, Vallecas VENDE. Estupendo piso de 1994 para entrar a vivir en SEGUNDA PLANTA. Cuenta con 3 dormitorios, 2 baños y cocina. no tiene ascensor  El piso tiene una ubicación envidiable cerca del metro Congosto. Próximo al edificio hay supermercados, farmacias, colegios.  La comunicación mediante lineas 142,54 y 58. Metro Congosto y por autovía A3, M45. Para más información contacte con nosotros a través del número  Le esperamos!",False,good,False,False,2396.0,True,False,False,False,[],False,False,229999.0,€,flat,"Casco Histórico de Vallecas, Madrid",Piso en CL Sierra Del Brezo,Aaron Lopez ,,,,,,,,
109049454,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/bd/35/1362726097.webp,58,bj,335000.0,flat,sale,126.0,True,2,2,CL VEREDA DEL COLMENAR,Madrid,Guadarrama,,es,,40.6642132,-4.0993425,False,https://www.idealista.com/inmueble/109049454/,"ATR PROJECT INMOBILIARIA vende, en exclusiva, este maravilloso piso con unas vistas espectaculares a la sierra, con dos plazas de garaje y trastero, situado en una urbanización de alto standing de Guadarrama, con todo tipo de servicios y con las mejores calidades.   El complejo residencial fue construido en 2009 y se conserva cada detalle como el primer día.  Su entrada, vigilada por portero físico, garantiza la seguridad del acceso al interior de la urbanización, la cual cuenta con enormes zonas comunes comunicando todos los servicios que dispone para su disfrute: - Dos piscinas - Pista de pádel  - Gimnasio - Parque infantil En lo respecto a la vivienda, siempre ha sido utilizada como segunda residencia y en contadas ocasiones, por lo que su estado de conservación es impecable. Consta de 2 dormitorios con armarios empotrados, uno de ellos con baño completo en suit, salón comedor con unas vistas preciosas, baño principal con plato de ducha y cocina con salida a dos patios interiores, uno de ellos actualmente utilizado como lavadero. Cuenta con las mejores calidades en sus materiales: puerta blindada con alarma y domótica, suelo de tarima, carpintería exterior de PVC, carpintería interior de madera de haya, Gas Natural.. . En los metros construidos se tienen en cuenta la vivienda, una plaza de garaje interior con acceso mediante mando a distancia, un trastero de 3m2 y lo correspondiente a la parte proporcional de las zonas comunes. Cuenta con una segunda plaza de garaje exterior, asignada justo en frente de la entrada a la vivienda, que fue comprada a posteriori y que también se entrega con el piso. Su ubicación es ideal, ya que está a la entrada de Guadarrama, en una zona residencial muy tranquila, rodeada de viviendas unifamiliares y zonas verdes. A pocos metros se encuentra el colegio concertado Gredos San Diego, que posee unas instalaciones fantásticas. Para más información o concretar una visita, no dude en ponerse en contacto con nosotros.",False,good,False,True,2659.0,True,False,False,False,[],False,False,335000.0,€,flat,Guadarrama,Piso en CL Vereda Del Colmenar,,True,True,,,,,,
108382010,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/12/71/1342443849.webp,17,2,725000.0,flat,sale,136.0,True,3,2,avenida de Valladolid,Madrid,Madrid,Moncloa,es,Casa de Campo,40.4323572,-3.7337835,False,https://www.idealista.com/inmueble/108382010/,"**Piso en Venta en Avenida Valladolid - Oportunidad Única** Descubre esta espectacular vivienda de 136 m², situada en la privilegiada Avenida Valladolid, frente al hermoso Parque del Oeste. Este luminoso piso cuenta con 3 amplios dormitorios y 2 baños, ideal para familias que buscan comodidad y espacio. La propiedad, que ofrece la oportunidad de ser rehabilitada a tu gusto, se encuentra en un edificio residencial con zonas ajardinadas y servicio de portería. Imagina disfrutar de una terraza con vistas despejadas al parque, perfecta para relajarte después de un largo día. La ubicación es inmejorable, frente al Parque de la Bombilla y a un paso de la Casa de Campo, lo que te permitirá disfrutar de la naturaleza sin salir de la ciudad. Además, tendrás salida directa a las principales vías de comunicación como la A-6 y M-30, facilitando tus desplazamientos. La vivienda, construida en 1966, es apta para personas con movilidad reducida y cuenta con ascensor. Aunque necesita reformas, su potencial es enorme. No dejes pasar esta oportunidad de crear el hogar de tus sueños en un entorno inigualable. ¡Contáctanos para más información y ven a visitarlo!",False,renew,False,True,5331.0,True,False,False,False,[],False,False,725000.0,€,flat,"Casa de Campo, Madrid",Piso en avenida de Valladolid,,,,,,,,,
108883203,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/7b/4b/1357862819.webp,27,en,320000.0,flat,sale,87.0,True,3,1,calle de la Barca,Madrid,Madrid,Vicálvaro,es,Los Berrocales,40.4000123,-3.5957286,False,https://www.idealista.com/inmueble/108883203/,"MUNDHOGAR CONSULTING Ofrece de forma exclusiva y única vivienda situada en Vicálvaro. ¡Oportunidad única en Vicálvaro!  Encantador piso bajo de 87 m 2 con una distribución funcional y luminosa, ideal para quienes buscan comodidad, tranquilidad y una excelente ubicación en pleno corazón urbano. La vivienda cuenta con 3 amplios dormitorios, un espacioso salón, baño completo y una terraza en la cocina, perfecta para disfrutar de desayunos al aire libre o momentos de relax. Uno de sus mayores atractivos es su patio interior privado, un auténtico oasis que aporta un toque de tranquilidad en medio de la ciudad. Además, este bajo incluye plaza de garaje y acceso a una piscina comunitaria, lo que añade valor y calidad de vida a tu día a día. Ubicado a tan solo 9 minutos de la estación de Renfe, ofrece una excelente conexión con el resto de Madrid. En la zona encontrarás todo tipo de servicios. Este inmueble no solo es ideal como vivienda habitual, sino que también ofrece un gran potencial de personalización para adaptarlo a tu gusto. Una oportunidad irrepetible para quienes desean vivir en una de las zonas con más proyección de Madrid, con todas las comodidades y servicios al alcance de la mano. ¡No la dejes escapar y ven a visitarlo! Mundhogar Consulting Tu lugar en el mundo.",False,renew,False,True,3678.0,True,False,False,False,[],False,False,320000.0,€,flat,"Los Berrocales, Madrid",Piso en calle de la Barca,De la Barca,,,,,,,,
109198980,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/f0/79/1367226630.webp,22,2,380000.0,flat,sale,118.0,True,3,2,calle de Petra Sánchez,Madrid,Coslada,Coslada Pueblo,es,,40.4241579,-3.5645195,False,https://www.idealista.com/inmueble/109198980/,"INMOBILIARIA LÓPEZ MORENO vende fabuloso piso exterior de 118m2, se distribuye en 3 dormitorios, salón-comedor, cocina completa e independiente, 1 cuarto de baño completo con plato de ducha y 1 aseo. Calidades: paredes de gotelé, suelo de parquet, ventanas de aluminio y climalit, terraza con toldo, armarios empotrados, calefacción central, portero físico, ascensor y aire acondicionado.  Excelente ubicación a tan solo 3min de la estación de la estación de cercanías Coslada Central (C-2, C-7) donde se encuentran varias líneas de autobuses (2, 289, 290, SE7) además de una estupenda conexión con carreteras M-201 y M-824; la zona cuenta con colegios, una gran cantidad de parques infantiles, zonas verdes, centros de salud, comercios, lugares de ocio y supermercados. ¡MEJOR VER!",False,good,False,True,3220.0,False,False,False,False,[],False,False,380000.0,€,flat,"Coslada Pueblo, Coslada",Piso en calle de Petra Sánchez,,,,,,,,,
108225643,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/5a/87/1337666825.webp,74,5,2300000.0,flat,sale,218.0,True,4,3,calle de José Ortega y Gasset,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4289296,-3.6739928,False,https://www.idealista.com/inmueble/108225643/,"MV-2940 EMBASSY PROPERTIES presenta una vivienda con una reforma integral, directo propiedad, en excelente estado de conservación. Distribución: · Hall de entrada muy amplio, independiente, con acceso directo al salón y a la cocina. · Salón con dos ambientes diáfanos que pueden mantenerse abiertos o independizarse mediante puertas correderas. Se compone de una zona de estar y una zona de salón. La zona de estar destaca por su luminosidad, gracias a los grandes ventanales orientados al sur en fachada principal. El salón comunica directamente con el comedor y da acceso al dormitorio principal. · Comedor con tres accesos: desde el salón, la cocina y el pasillo. · Cocina moderna, completamente equipada con todos los electrodomésticos, gran capacidad de almacenamiento y ventanas que aportan luz y ventilación natural. Dispone de zona de lavandería y cuenta con acceso desde la entrada, el comedor y el pasillo. · Pasillo de amplias dimensiones, actualmente equipado con una librería, que distribuye el acceso a las distintas estancias de la vivienda. Tiene puerta de servicio blindada. · Un (1) dormitorio doble principal, recibe mucha luminosidad a través de sus ventanas a fachada principal, dispone de armarios empotrados, vestidor independiente y baño completo en suite con ventana para aireación. · Un (1) dormitorio doble, con armarios empotrados, baño en suite y ventanas a un amplio patio interior. · Un (1) dormitorio individual, muy luminoso gracias a sus ventanas exteriores, con armario empotrado. · Un (1) dormitorio individual, igualmente exterior, con excelente luz natural y armario empotrado. · Un (1) baño completo adicional en pasillo, con ventana para ventilación, que da servicio a los dormitorios individuales. Memoria de calidades: · Aire acondicionado por conductos en toda la vivienda. · Suelos originales en roble macizo sobre, con elegante marquetería artesanal restaurada y conservada en perfecto estado en toda la vivienda; pavimento porcelánico en cocina y baños. · Carpintería exterior renovada con cristales con rotura de puente térmico (aislamiento térmico y acústico). · Puerta de entrada blindada. · Luminarias directas y ambiente en los techos. La vivienda cuenta con una superficie total de 218 m² construidos según Catastro, distribuidos de la siguiente forma: · 189 m² construidos correspondientes a la vivienda. · 29 m² construidos correspondientes a elementos comunes del edificio. Vivir en el barrio de Lista está ubicado en el distrito de Salamanca en Madrid y forma parte de las zonas residenciales más exclusivas, vibrantes y con gran oferta cultural. Lista ofrece uno de los mejores estilos de vida que se pueda tener en la capital. Comprar un piso en Lista Madrid nos permite estar cerca de las calles más exclusivas de la ciudad madrileña, podemos disfrutar de los numerosos cafés-restaurantes y, sobre todo, nos permite vivir en el corazón de Madrid. Este barrio también es tranquilo y seguro para vivir, así que tener un piso en Lista Madrid no solo ofrece su carácter animado y cosmopolita, si no también su ambiente armonioso.",True,good,False,True,10550.0,True,False,False,False,[],False,False,2300000.0,€,flat,"Lista, Madrid",Piso en calle de José Ortega y Gasset,MV-2940,,,,,,,,
109168526,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/5d/d2/1366298223.webp,32,1,205000.0,flat,sale,83.0,True,2,1,plaza de Valdehondillo,Madrid,Fuenlabrada,El Arroyo - La Fuente,es,,40.2778337,-3.7989944,False,https://www.idealista.com/inmueble/109168526/,"FABULOSO PISO EN EL ARROYO CON TERRAZA ABIERTA La vivienda consta de, amplia cocina unida al tendedero, baño reformado, dos habitaciones, la habitación principal y el salón con salida a una fantástica terraza que da a unos fabulosos jardines. Los suelos son de gres. Las puertas de sapelly. Ventanas de aluminio. Aire acondicionado con bomba de calor en el salón y habitación principal. Radiadores eléctricos (no acumuladores). Inmejorable zona, a 5 minutos de RENFE, METRO, CARREFOUR, AYUNTAMIENTO. Zona médicos especialistas del Arroyo, médicos calle Panadera, zona llena de colegios e institutos, MERCADONA, AHORRAMAS. Llamar para concertar una visita.",False,good,False,True,2470.0,False,False,False,False,[],False,False,205000.0,€,flat,"El Arroyo - La Fuente, Fuenlabrada",Piso en plaza de Valdehondillo,EADC-672-F,,,,,,,,
107085139,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/6d/c4/1302521063.webp,38,,620000.0,chalet,sale,205.0,,3,3,"calle Italia, 4",Madrid,Valdetorres de Jarama,,es,,40.6978722,-3.5124954,True,https://www.idealista.com/inmueble/107085139/,"¡Oportunidad Única en Valdetorres del Jarama! Tu Chalet Ideal a Tu Gusto Si siempre has soñado con vivir en un chalet independiente y a estrenar, ¡esta es tu oportunidad! Te presentamos una vivienda de obra nueva en Valdetorres del Jarama, un enclave perfecto que combina tranquilidad y accesibilidad a la ciudad. Además, ¡podrás personalizarla a tu gusto! Con entrega estimada para después del verano de 2025, las obras ya están avanzadas y el chalet está listo para convertirse en el hogar de tus sueños. Características Principales: •Superficie construida: 204.85 m² sobre una finca de 509 m². •Distribución: 2 plantas con 3 amplios dormitorios, buhardilla, 3 baños completos, cocina abierta, terraza de 29 m2, porche, piscina de agua salina de 30 m², aparcamiento y un gran jardín terminado con césped artificial de 178 m². Planta Principal: La planta principal está pensada para ofrecerte comodidad y funcionalidad en el día a día. Consta de un amplio hall recibidor, 3 luminosos dormitorios, 2 baños completos (uno de ellos en suite en el dormitorio principal con vestidor), y un cuarto de instalaciones. La cocina de 24 m² está integrada con el salón comedor, lo que crea un espacio abierto y luminoso con acceso directo al jardín y la piscina. Primera Planta: En la primera planta encontrarás una impresionante buhardilla, un espacio versátil con infinitas posibilidades: zona de juegos, biblioteca, dormitorio de invitados o un segundo salón. Además, esta planta incluye una zona de lavadero, un baño completo y acceso a una terraza de 29 m² con vistas. Personaliza a Tu Gusto: Una de las grandes ventajas de este chalet es la memoria de calidades personalizable, lo que te permite adaptar los acabados a tu estilo y necesidades. Los precios varían según las elecciones que haga el comprador, brindándote la flexibilidad de crear el hogar perfecto para ti. Partidas Incluidas: •Cocina amueblada (sin electrodomésticos). •Suelo radiante de gres con sistema de frío-calor •Ventanas de PVC con rotura de puente térmico oscilo-batientes marca kommerling •Carpintería interior lacada en blanco San Rafael. •Armarios vestidos. •Persianas de aluminio motorizadas •Fachada de ladrillo visto y valla exterior chapada en cerámica. Disfruta de la Comodidad y el Estilo de Vida que Mereces Este chalet es el equilibrio perfecto entre diseño moderno, confort y funcionalidad. La ubicación, la calidad de la construcción y la posibilidad de personalizar los acabados hacen de este hogar una opción inmejorable para aquellos que buscan una vivienda única en Valdetorres del Jarama. No dejes pasar esta oportunidad única de conseguir el hogar que siempre has deseado. ¡Contáctanos hoy mismo para más información o para agendar una visita!",False,good,False,,3024.0,True,False,False,False,[],False,False,620000.0,€,chalet,Valdetorres de Jarama,"Casa independiente en calle Italia, 4",VALDETORRES,True,True,independantHouse,,,,,
