propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108795351,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/7f/3e/1355354257.webp,28,8,249000.0,penthouse,sale,60.0,True,2,1,avenida de Moratalaz,Madrid,Madrid,Moratalaz,es,Marroquina,40.4079918,-3.6451464,False,https://www.idealista.com/inmueble/108795351/,"CLICKHAUS MORATALAZ - AGENCIA INMOBILIARIA EN MADRID ZONA: CAMINO DE LOS VINATEROS - AV. MORATALAZ - FUENTE CARRANTONA UBICADOS EN C/ CAMINO DE LOS VINATEROS 119 CLICKHAUS VENDE: ÁTICO a Reformar en Avenida de Moratalaz Excelente ubicación, producto espectacular con VISTAS a todo Madrid EL ASCENSOR sube hasta el 7º PISO, hay un TRAMO DE ESCALERAS para llegar al octavo. ******* ¡IMPORTANTE! ******* SÓLO COMPRA AL CONTADO ******* DEBIDO A LA NECESIDAD DE REALIZAR UNA ESCRITURA DE DESAFECTACIÓN, EL COMPRADOR DEBERÁ ABONAR AL CONTADO O EFECTUAR UNA OPERACIÓN EN FORMA DE PERMUTA A FIN DE CONTAR CON LA LIQUIDEZ NECESARIA. Inmueble situado en una de las mejores zonas de Moratalaz. Se trata de un ático. El inmueble consta de 60 metros cuadrados que se distribuyen de la siguiente manera: - Cocina amplia. - Amplio salón. - Dormitorio principal, con ventana a la terraza. - Dormitorio secundario, con ventana la terraza. - Baño con ducha. Autobuses 30, 32, 71, n8 a escasos metros de la vivienda, y a 4 minutos de metro artilleros (l9), cerca de supermercado Día, Alcampo, farmacias, comercios, bares y restauración, y fácil acceso a salidas de m30, m40 y a3. ¡No dude en contactarnos para poder visitar la vivienda! Datos de interés: Moratalaz es uno de los mejores distritos, de los 21 que conforman la ciudad de Madrid. Está situado hacia el sudeste de la capital y dividido administrativamente en los barrios de vinateros, horcajo, marroquina, media legua, fontarrón y pavones. Con el parque del retiro, al oeste, separados por la M-30. Moratalaz es un barrio que brilla, por la tranquilidad, la buena comunicación con el centro, y la multitud de zonas verdes (parque z, la cuña verde de O’donnell, Jardín de dionisio ridruejo). Agencia inmobiliaria de Madrid - zona camino de los vinateros - C/Camino de los vinateros 119. Valoraciones gratuitas - Permutas - Tramitamos herencias - certificados energéticos.",True,renew,False,True,4150.0,True,False,True,False,[],False,False,249000.0,€,flat,penthouse,"Marroquina, Madrid",Ático en avenida de Moratalaz,,,,,,,,
109054934,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/a1/47/1362936710.webp,19,bj,225000.0,flat,sale,66.0,True,3,1,calle de Villajimena,Madrid,Madrid,Vicálvaro,es,Ambroz,40.4063485,-3.6081582,False,https://www.idealista.com/inmueble/109054934/,"Agencia inmobiliaria de MADRID zona VICALVARO - VALDEBERNARDO - VALDERRIBAS TECNOCASA VENDE:  Magnífica vivienda, ubicada en una PLANTA BAJA con ascensor, ubicada en una de las mejores zonas de Vicálvaro, en la Calle Villajimena, junto al parque la Vicalvarada y muy próximo a la Universidad Rey Juan Carlos y al centro comercial Vicálvaro. La vivienda se distribuye en hall, salón, terraza, cocina, baño, y tres habitaciones.  Estas son algunas de las características del inmueble: - Se trata de una planta baja de un edificio de cuatro alturas más la planta baja. - Orientación Oeste en su salón, cocina y habitación de matrimonio. - Salón con acceso a terraza. - El inmueble cuenta con tres dormitorios. - Cocina actualizada con vitrocerámica. - El cuarto de baño cuenta con plato de ducha. - Calefacción de radiadores de gas natural individual. - Paredes lisas en salón, cocina y recibidor, gotelé en las habitaciones. - Ventanas de aluminio y suelo de cerámica en toda la vivienda exceptuando una de las habitaciones pequeñas. - Electricidad y fontanería reformada. - El estado de la vivienda se encuentra para entrar a vivir. Vivienda en buenas condiciones, reformada íntegramente hace 15 años, y a la espera de que sus nuevos propietarios puedan disfrutar de la comodidad y ventajas del inmueble y la inmejorable ubicación del inmueble. La vivienda se encuentra en una ubicación inmejorable, en la calle Villajimena (perteneciente a las 1.000 viviendas) en pleno corazón de Vicálvaro. Esta zona ofrece una amplia variedad de servicios y comercios como centro comercial, universidad, comercios, bancos, centro de salud, zonas de restauración, y para los más pequeños, hay colegios y guarderías en las cercanías, así como parques y jardines donde disfrutar del aire libre. El distrito de Vicálvaro es un barrio residencial de los más seguro de todo Madrid. Destacado por sus amplias avenidas y los numerosos metros destinados a zonas verdes. Y con excelentes conexiones a autopistas como la M-40 o la A-3. La zona ofrece facilidad de aparcamiento, sin zona azul ni verde. Además, cuenta con plazas de aparcamiento para residentes (PLAZAS P. A. R. ), de uso exclusivo para personas empadronadas en el barrio, las cuales pueden ser adquiridas o cedidas por un número de años por un importe fijado por el Ayuntamiento. Para más información al respecto, diríjase a nuestra oficina.",False,good,False,True,3409.0,True,False,False,False,[],False,False,225000.0,€,flat,,"Ambroz, Madrid",Piso en calle de Villajimena, 628936,,,,,,,
109014836,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/6c/20/1361747890.webp,21,1,229000.0,flat,sale,28.0,False,1,1,calle de Peña de Francia,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4060236,-3.7073364,False,https://www.idealista.com/inmueble/109014836/,"VIVAHOGAR, ofrece PISO EN VENTA situado en calle de PEÑA DE FRANCIA, barrio de LAVAPIES -EMBAJADORES, ubicada en el corazón de Lavapiés, JUNTO AL RASTRO DE MADRID.  Se trata de un acogedor PISO cuenta con una pequeña habitación con armario empotrado. Cuarto de baño con plato de ducha.  Salón con aire acondicionado. Acogedora cocina equipada y amueblada.  Toda la casa cuenta con techos altos. Cuenta con un altillo en el recibidor para aprovechar este espacio para almacenaje. El edificio ha sido rehabilitado y reforzado. Respecto a la comunicación y el transporte cuenta con rápido acceso en coche a la A2 y la M30. Cuenta con la cercanía de la estación de metro: LA LATINA, TIRSO DE MOLINA Y EMBAJADORES (líneas 5,1 y 3), Acceso a líneas de autobús: 41,60. 148, C2 Y C03) y cercanías en C5 que conecta Móstoles, El Soto, Atocha, Fuenlabrada y Humanes. La zona ofrece servicios asistenciales de salud como: el Centro de Salud Segovia, Centro de salud Lavapiés. Dispone de la facilidad de conseguir farmacias.  El barrio cuenta con varios supermercados a 5 minutos andando (, Dia, Mercadona, Lidl) Las zonas de ocio y recreo más representativas son la Plaza de Cascorro, Plaza Agustin Lara, Parque casino de la reina, Gran teatro Pavón, Museo Bansky Madrid, Museo de san isidro, Museo de las ilusiones y en cuanto a la parte deportiva se encuentra, El Centro Deportivo Municipal La Cebada.  Para la oferta educativa el barrio cuenta con bibliotecas Municipales, colegios públicos y privados, academias de idiomas, (Escuela infantil lolo rico-bruja avería, oasis center Madrid, passpartu).  Somos una Inmobiliaria de prestigio Internacional. Fuerza global, experiencia local.",False,good,False,False,8179.0,True,False,False,False,[],False,False,229000.0,€,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de Peña de Francia,1382,,,,,,,
109179373,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/23/26/1366616357.webp,29,1,209000.0,flat,sale,85.0,True,3,1,plaza de Brasil,Madrid,Alcorcón,Centro,es,Zona Centro Joven,40.347666,-3.8221852,False,https://www.idealista.com/inmueble/109179373/,"***SIN COMISIONES DE AGENCIA INMOBILIARIA*** Este piso se encuentra en Plaza de Brasil, 28921, Alcorcón, Madrid, en la zona del Parque Lisboa, en una FINCA CON ASCENSOR. Es un piso, construido en el año 1970, que tiene 85 m2 de los cuales 78 m2 aproximadamente son útiles y dispone de 3 habitaciones y 1 baño. Consta de hall recibidor, amplia cocina independiente, salón independiente con salida a terraza, distribuidor, baño ciego completo con bañera y 3 dormitorios.  Ubicado cerca de todos los servicios necesarios, a escasos metros de la estación de Metro, supermercados, colegios.. . Soluciones a su medida.",False,renew,False,True,2459.0,False,False,False,False,[],False,False,209000.0,€,flat,,"Zona Centro Joven, Alcorcón",Piso en plaza de Brasil,FHOG-3083,,,,,,,
107488287,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/f4/df/1314119715.webp,36,2,450000.0,flat,sale,94.0,True,3,2,calle del General Aranaz,Madrid,Madrid,San Blas,es,Salvador,40.4377204,-3.6341223,False,https://www.idealista.com/inmueble/107488287/,"¡Descubre tu nuevo hogar en una ubicación inmejorable! Este piso de 94 m² construidos, con 79 m² útiles, te ofrece comodidad y accesibilidad en pleno corazón de la ciudad. Situado junto a la estación de metro y a un paso de la calle Alcalá, disfrutarás de un entorno lleno de vida y servicios. El hall de entrada te da la bienvenida a un espacio donde cada rincón está pensado para tu confort. La cocina, equipada con tendedero, salón, amplio y luminoso, se abre a una terraza de 8 m², perfecta para relajarte al aire libre. Con tres dormitorios, un cuarto de baño completo y un aseo adicional, este piso es perfecto para familias o para quienes buscan espacio extra. La finca cuenta con ascensor y calefacción por gas natural, garantizando tu bienestar durante todo el año. La cercanía a supermercados, tiendas y el consultorio médico facilita tu día a día, mientras que el transporte público en la puerta te conecta con toda la ciudad. A pocos minutos del intercambiador de Ciudad Lineal. NO SE REPERCUTEN HONORARIOS AL COMPRADOR. No dejes pasar esta oportunidad única.",False,good,False,True,4787.0,True,False,False,False,[],False,False,450000.0,€,flat,,"Salvador, Madrid",Piso en calle del General Aranaz,,,,,,,,
109177956,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/a1/bf/1366574557.webp,46,1,500000.0,flat,sale,81.0,True,3,2,calle Pinos Alta,Madrid,Madrid,Tetuán,es,Ventilla-Almenara,40.4677616,-3.6993074,False,https://www.idealista.com/inmueble/109177956/,"¡OPTIMACASA pone a su disposición esta fantástica oportunidad! Vendemos vivienda REFORMADA A ESTRENAR, que dispone de TERRAZA y PATIO, y tiene ORIENTACIÓN SUROESTE! La vivienda destaca por ser una primera planta alta, sin negocios que generen molestias ni ruidos en los alrededores, por tener una vista despejada a los Jardines Luis Javier Benavides, por tener terraza y patio, y por disfrutar de una gran luminosidad gracias a su orientación. La casa acaba de ser completamente reformada, incluyendo la renovación integral de todas las instalaciones de fontanería y electricidad, ventanas oscilobatientes de pvc con rotura de puente térmico, calefacción individual, aire acondicionado y mucho más.  Cuenta con tres amplios dormitorios, cada uno equipado con armarios empotrados de gran capacidad, ventana al exterior y climatización. El gran salón/comedor es perfecto para compartir momentos inolvidables y tiene acceso directo a un encantador patio donde relajarte al aire libre. Además, la cocina está totalmente equipada con electrodomésticos de última generación. Este piso se entrega tal y como se ve en las fotos, listo para ser habitado y disfrutar desde el primer día. No dejes pasar la oportunidad de vivir en un espacio único, cómodo y elegante. ¡Contáctanos para más información y ven a visitarlo!",False,good,False,False,6173.0,False,False,False,False,[],False,False,500000.0,€,flat,,"Ventilla-Almenara, Madrid",Piso en calle Pinos Alta,,,,,,,,
108094534,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/b5/f6/1333655787.webp,45,,830000.0,chalet,sale,231.0,,6,4,calle de las Huertas,Madrid,Villanueva de la Cañada,Villanueva de la Cañada,es,,40.4471699,-4.0107914,False,https://www.idealista.com/inmueble/108094534/,"� ¡Vive el lujo como nunca antes en Villanueva de la Cañada! � Te damos la bienvenida a este encantador chalet en la zona más exclusiva de Villanueva de la Cañada: un chalet de lujo que combina elegancia, confort y tecnología de vanguardia para ofrecerte una calidad de vida inigualable.   Se distribuye en tres plantas:  En la planta principal: Encontramos dos salones espaciosos, una habitación adicional, un baño completo, y una enorme cocina con salida directa al jardín, ideal para disfrutar de comidas al aire libre o eventos en familia.  Primera planta: Contamos con tres habitaciones amplias, cada una con baño en suite y armarios empotrados. ¿Lo mejor? Una suite principal con vestidor y balcón privado, perfecta para disfrutar de la tranquilidad y las vistas.  En la planta inferior encontrarás: Dos habitaciones más, un trastero práctico, y un garaje cerrado para 3 vehículos. Este chalet está equipado con todo lo que necesitas para tu comodidad: ✔ Caldera de gasoil con depósito de 1.000 L ✔ Mosquiteras en todas las estancias ✔ Aire acondicionado ✔ Suelo radiante frío/calor ✔ Placas solares para máxima eficiencia energética � Cada rincón está pensado para ofrecerte bienestar, privacidad y funcionalidad. � No dejes pasar esta oportunidad única de vivir en un entorno privilegiado, con todas las comodidades que mereces. ¡Contáctanos y descubre tu nuevo hogar hoy mismo!",True,good,False,,3593.0,True,False,False,False,[],False,False,830000.0,€,chalet,independantHouse,"Villanueva de la Cañada, Villanueva de la Cañada",Casa independiente en calle de las Huertas,BHJM71,True,True,,,,,
109164150,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f6/ea/de/1366158757.webp,18,4,240000.0,flat,sale,63.0,True,2,1,calle Urogallo,Madrid,Madrid,Carabanchel,es,Opañel,40.3898491,-3.7201029,False,https://www.idealista.com/inmueble/109164150/,"Inmobiliarias Encuentro vende en Exclusiva vivienda exterior en el corazón del barrio de Opañel, una de las zonas más demandadas de Carabanchel por su ambiente tranquilo, su excelente comunicación y la amplia oferta de servicios. El piso, situado en una cuarta planta, cuenta con 63 m² construidos y ha sido reformado íntegramente con materiales de calidad, listo para entrar a vivir. La distribución es cómoda y práctica: dispone de dos dormitorios, uno doble con gran capacidad de almacenaje y otro individual perfecto como habitación infantil, despacho o vestidor. El salón-comedor, amplio y muy luminoso, conecta con una terraza espaciosa, ideal para disfrutar del aire libre o crear una acogedora zona de relax. La cocina independiente, equipada y con ventana, garantiza ventilación y luz natural, mientras que el baño moderno incorpora plato de ducha con mampara de cristal. En cuanto a calidades, la vivienda ofrece suelos de tarima, ventanas de climalit, instalación de gas natural y aire acondicionado por splits, lo que asegura confort durante todo el año. La ubicación es inmejorable: Opañel combina la tranquilidad de un barrio residencial con todos los servicios a pie de calle —comercios, colegios, zonas verdes— y está excelentemente comunicado tanto por transporte público (metro y varias líneas de autobús) como por carretera. Una oportunidad única para quienes buscan un piso reformado, exterior y en una zona con gran calidad de vida. Si necesita vender su inmueble para adquirir este u otro inmueble publicado contacte con nosotros disponemos del servicio //""CAMBIA DESCANSA""// la solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble. Financiación a tu medida con FINMOO tendrás los mejores tipos de interés y hasta el cien por cien de financiación. Consulta nuestras condiciones  Entra en nuestra web y reserva este piso en tan solo 2 minutos con nuestro servicio ireserva. *Imagenes renderizadas por un programa de diseño*.",True,good,False,False,3810.0,False,False,False,False,[],False,False,240000.0,€,flat,,"Opañel, Madrid",Piso en calle Urogallo,IE07-UROGALLO,,,,,,,
108667493,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/72/1b/1351607136.webp,22,3,260000.0,flat,sale,70.0,True,3,1,calle de Isidro Fernández,Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.4838429,-3.6880521,False,https://www.idealista.com/inmueble/108667493/,"¡RESERVADO!  Inmobiliaria en Virgen de Begoña-Fuencarral Madrid - Tecnocasa Estudio Virgen De Begoña-Fuencarral Sl (REGISTRO DE AGENTES PROFESIONALES INMOBILIARIOS; RAIN Nº752/22). Vende vivienda en la calle Isidro Fernández, compuesta por 3 dormitorios, 1 cuarto de baño, cocina y salón. Ubicado en la tercera planta del edificio, sin ascensor. MUY LUMINOSO. Orientación Norte. Para reformar.  Está muy bien situado al norte de Madrid, cercano al centro comercial La Vaguada y con buenas comunicaciones para vehículo propio, con acceso a M-30 por la calle San Modesto, cercano a la Avenida ilustración y M-11; transporte público con varias líneas de autobús (137, 124, 175, 178, N24, ), metro línea 10 (BEGOÑA) y estación renfe cercanías Ramon y Cajal.",False,renew,False,False,3714.0,True,False,False,False,[],False,False,260000.0,€,flat,,"Tres Olivos - Valverde, Madrid",Piso en calle de Isidro Fernández,VB-Z4IF,,,,,,,
108973479,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/38/13/1360777395.webp,50,2,550000.0,flat,sale,137.0,True,4,2,CL FORSITIA,Madrid,Madrid,Carabanchel,es,Pau de Carabanchel,40.3640959,-3.7567654,False,https://www.idealista.com/inmueble/108973479/,"¡GRAN OPORTUNIDAD DE PISO DE 4 DORMITORIOS DEL 2004!  TODO EXTERIOR, LUMINOSO Y ESPACIOSO, EN UBICACIÓN PRIVILEGIADA, AL LADO DEL ""METRO DE LA PESETA "", EN EL DEMANDADO BARRIO DEL PAU DE CARABANCHEL DE MADRID.  AMPLIA URBANIZACIÓN CON PISCINA, ZONAS VERDES, PARQUE INFANTIL Y SERVICIO DE CONSERJERÍA, AL LADO DEL GRAN PARQUE DE SALVADOR ALLENDE Y DE LA AV. DE LA PESETA. CONSTA DE SALÓN-COMEDOR, COCINA INDEPENDIENTE CON TENDEDERO, 4 DORMITORIOS (1 CON BAÑO EN SUITE), 2 BAÑOS COMPLETOS, PLAZA DE GARAJE CON ACCESO DIRECTO AL PISO Y TRASTERO.  Ideal como VIVIENDA HABITUAL o como INVERSIÓN, por su alta rentabilidad en alquiler.  NO COBRAMOS HONORARIOS AL COMPRADOR. ZONA DE DÍA  Nos recibe un pasillo distribuidor de 8 m2. Pasamos al agradable, amplio y acogedor SALÓN-COMEDOR de 21 m2, que destaca por su gran ventanal que lo llena todo de luz. Gran cocina independiente, de 10 m2 con acceso a un práctico tendedero de 3 m2. ZONA DE NOCHE Pasillo distribuidor que da acceso a los 4 dormitorios y 2 baños. DORMITORIO PRINCIPAL 1, luminoso exterior, con armario empotrado y BAÑO en suite de 4 m2 con bañera. DORMITORIO 2, espacioso y luminoso exterior de 11 m2, y armario empotrado. Según tus necesidades puede ser un dormitorio infantil, juvenil o despacho. Es ideal para teletrabajar con mucha luz natural. DORMITORIO 3, también de 11 m2, con gran armario empotrado. DORMITORIO 4, de 9 m2 exterior con armario empotrado. BAÑO 2, de 3 m2 completo con ducha, para dar servicio a estos 3 dormitorios. Con el piso se incluye una cómoda PLAZA DE GARAJE con acceso directo al piso y un TRASTERO de 4 m2. CALIDADES PREMIUM Nueva carpintería exterior de aluminio lacado en blanco con doble acristalamiento tipo climalit, oscilobatientes con persianas blancas. Toldos exteriores en todas las ventanas. Pintura plástica lisa. Suelos de parquet de madera de roble. Gran capacidad de almacenaje con armarios empotrados vestidos en todos los dormitorios. Aire acondicionado por conductos en toda la casa con dos máquinas Daikin. Calefacción individual de gas natural. Puerta de entrada acorazada. EXCLUSIVA URBANIZACIÓN La vivienda se encuentra en una de las mejores urbanizaciones de la zona, en cuanto a amplitud, calidades y servicios, ocupando toda la manzana. Disfruta de la comodidad de tener PISCINA, ZONAS VERDES, PARQUE INFANTIL y servicio de CONSERJERÍA. GASTOS Gastos de comunidad 155 €/mes. IBI anual 630€. UBICACIÓN PRIVILEGIADA Vivirás en un entorno tranquilo y residencial con amplias avenidas y con todos los servicios a tu alcance, centros de salud, colegios, supermercados y zonas verdes.  Además, estarás a pocos minutos de los centros comerciales islazul y sambil. COMUNICACIONES Excelente ubicación dentro del PAU de Carabanchel, al lado del metro de LA PESETA-línea 11. Dispone además de una buena comunicación mediante transporte público, con numerosas líneas de autobús de la EMT e interurbanos en las inmediaciones. Destaca el acceso inmediato a la m-40, con rápidas conexiones a M-45, R-5, A-5 y M-30. ¡No dejes que se te escape!  Contáctanos hoy mismo para más información y agenda una visita.",True,good,False,True,4015.0,True,True,False,False,[],False,False,550000.0,€,flat,,"Pau de Carabanchel, Madrid",Piso en CL Forsitia,3433-02867,True,True,,,,,
