propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,highlight.groupDescription
107057051,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/42/74/1301690392.webp,GTRE-01412,22,bj,127000.0,flat,sale,43.0,True,1,1,calle Toledo,Madrid,Alcalá de Henares,Val,es,40.4830593,-3.3441214,False,https://www.idealista.com/inmueble/107057051/,"Oportunidad inmueble sin posesión, no se puede visitar. Propio para inversores o vecinos que conozcan el inmueble. Disponemos de una amplia cartera de inmuebles sin posesión en madrid y en toda españa. Propio, pequeño y gran inversor. Madrid es un municipio y una ciudad de españa. La localidad, con categoría histórica de villa, 9 es la capital del estado10 y de la comunidad de madrid. En su término municipal, el más poblado de españa, su población es de 3 416 771 habitantes (ine 2024), constituyéndose como la segunda ciudad más poblada de la unión europea, así como su área metropolitana, con 6 779 888 habitantes empadronados.",False,renew,False,True,2953.0,True,False,False,False,[],False,False,127000.0,€,flat,"Val, Alcalá de Henares",Piso en calle Toledo,,,,,,,,
109199340,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/09/14/1367238498.webp,PI357,18,bj,230000.0,flat,sale,75.0,True,2,1,calle Oliva,Madrid,Valdemorillo,Valdemorillo pueblo,es,40.4993403,-4.0699306,False,https://www.idealista.com/inmueble/109199340/,"INMOBILIRIA BRAVO VENDE PRECIOSO PISO BAJO CON DOS TERRAZAS. Ubicado en zona tranquila de Valdemorillo, con facilidad de aparcamiento, y muy cercano a las principales vías de salida del municipio, así como muy próximo a linea de autobús diario a Madrid. Piso Bajo, con dos dormitorios con armarios empotrados, salón con salida directa a uno de los patios convertido en chillout, además cuenta con cocina completa y también salida al otro patio. Amplio baño completo con ducha y mampara de cristal. Buenas calidades constructivas y un diseño muy mono.",True,good,False,False,3067.0,False,False,False,False,[],False,False,230000.0,€,flat,"Valdemorillo pueblo, Valdemorillo",Piso en calle Oliva,,,,,,,,
108307993,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/0d/95/1340231145.webp,,16,1,1349000.0,duplex,sale,120.0,False,2,2,calle de Goya,Madrid,Madrid,Barrio de Salamanca,es,40.4252365,-3.6887806,False,https://www.idealista.com/inmueble/108307993/,"Ubicada en el prestigioso barrio de Salamanca, Madrid, este Duplex es una oportunidad única para quienes buscan un hogar en una de las zonas más exclusivas de la ciudad. A escasos metros de la Calle Serrano y en unos de edificios mas emblemáticos de Madrid. Situada en la primera planta de un edificio histórico construido en 1930, esta propiedad interior con 120 m² construidos ofrece una distribución que incluye 2 amplias habitaciones, 2 baños completos, una cocina totalmente equipada, brindando un espacio cómodo y funcional para la vida urbana. Además, cuenta con un ascensor para mayor comodidad y un encantador patio o terraza (medidas: 150 x 203), perfecto para disfrutar de momentos al aire libre. Esta vivienda amueblada y con una orientación excelente representa una inversión atractiva y una oportunidad para personalizar al gusto del comprador, haciendo de este espacio un hogar a medida en una ubicación inmejorable. Para más información o concertar una visita, no dude en ponerse en contacto con nosotros.",True,good,False,True,11242.0,True,False,False,False,[],False,False,1349000.0,€,flat,"Recoletos, Madrid",Dúplex en calle de Goya,Recoletos,duplex,,,,,,
109125389,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/7b/1d/1365078409.webp,EvaMirador,24,3,309990.0,flat,sale,104.0,True,3,2,calle Balandro,Madrid,Arganda,El Mirador - Grillero,es,40.2946985,-3.4361289,False,https://www.idealista.com/inmueble/109125389/,"PROPIETARIOS TRANQUILOS pone en VENTA excelente piso ubicado en el Mirador de Arganda, a escasos metros de colegio, instituto IES Grande Covián, centro médico, farmacia y la dehesa del Carrascal que con sus 131 hectáreas, es uno de los pulmones verdes más importantes de Arganda del Rey. Recientemente reformado, muy luminoso y con una orientación sur que hace que el consumo de calefacción en invierno sea mínimo. Con una superficie de 104 m2 se distribuye en 3 habitaciones, salón comedor con mirador, cocina amueblada y dos baños completos; uno de ellos en suite. Todas las habitaciones con armarios empotrados vestidos y la principal con baño en suite y A/C. Las otras dos tienen ventiladores de techo y en las 3 hay doble ventana para aislar tanto térmica como acústicamente. Dispone de suelos de parqué en toda la casa a excepción de los baños que son de gres y el de la cocina que es porcelánico. Calefaccion y agua caliente por caldera de gas natural de menos de 3 años. La urbanizacion cuenta con ascensor, piscina, baños y zonas verdes. INCLUYE DOS PLAZAS DE GARAJE JUNTAS EN LA ZONA DE ACCESO AL ASCENSOR. IBI: 400 €/años Comunidad: 107 e/mes NO DEJES PASAR ESTA OPORTUNIDAD Y LLÁMANOS PARA MÁS INFORMACIÓN.",False,good,False,True,2981.0,False,False,False,False,[],False,False,309990.0,€,flat,"El Mirador - Grillero, Arganda",Piso en calle Balandro,,,320000.0,10010.0,3.0,True,True,
108883827,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/82/eb/1357880011.webp,,22,4,329900.0,flat,sale,48.0,True,1,1,calle de Cartagena,Madrid,Madrid,Barrio de Salamanca,es,40.4359426,-3.6710468,False,https://www.idealista.com/inmueble/108883827/,">>> (PARA VISITAS DIRECTAS) 623/99/32/05<<< PARA VISITAS DIRECTAS LLAME O ESCRIBA AL  Agencia inmobiliaria de MADRID zona VENTAS - GUINDALERA - Oficina Tecnocasa: EN VENTA: Piso en calle Cartagena. Situado en la cuarta planta del edificio y con 48m2, consta de amplio salón comedor con dos balcones a la calle principal. Cocina independiente con pared corredera que permite integrarla o separarla del salón según se desee. Baño con plato de ducha y dormitorio doble con ventana a patio de luces.   Finca sin ascensor. Rodeado de zonas verdes, a 200 metros del intercambiador de Avenida de América (líneas 5, 6, 7 y 9) a 100 metros del metro de Cartagena (línea 7) y a 500 metros de la plaza de Diego de León. Innumerables líneas de autobús. Zona consolidada con todos los servicios que cualquier persona pueda necesitar; supermercados, colegios, médicos, polideportivos, biblioteca etc, y con fácil acceso a la m30, m40 y A2. OPORTUNIDAD, MEJOR VER.",False,good,False,False,6873.0,True,False,False,False,[],False,False,329900.0,€,flat,"Guindalera, Madrid",Piso en calle de Cartagena,Guindalera,,,,,,,
108694275,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/a2/7c/1352363686.webp,,28,1,559000.0,flat,sale,63.0,True,1,1,CL JUAN DE AUSTRIA,Madrid,Madrid,Chamberí,es,40.4341026,-3.7008165,False,https://www.idealista.com/inmueble/108694275/,"Inmobiliaria Arroyo House vende en exclusiva, fantástica vivienda exterior, seminueva (2009) y lista para entrar a vivir. Ubicada en una de las mejores zonas de Madrid ""CHAMBERÍ"", junto Plaza Olavide, este piso de 63,65m² construidos y 45m2 útiles aprox, ofrece una distribución perfecta para disfrutar de cada rincón.  En la primera planta de un edificio señorial, con ascensor y con altura casi de segundo piso, nos encontramos nada más entrar con el hall, un acogedor salón independiente que se abre a un balcón exterior, integrado con una cocina amueblada abierta funcional, ideal para disfrutar de un hogar maravilloso, un cuarto de baño completo y reformado de calidad y el dormitorio, que también cuenta con un balcón interior, ofrece un espacio tranquilo y luminoso gracias a su orientación Este-Oeste. La luz natural inunda cada espacio creando un ambiente cálido y acogedor. Los detalles no se quedan atrás: Puerta de entrada blindada, Suelos de tarima flotante, Puertas interiores en roble, Carpintería exterior en aluminio con cristal climalit y pintura lisa, garantizan calidad y confort. Además dispone de aire acondicionado por conducto y calefacción de gas natural que aseguran que siempre estés cómodo, sin importar la temporada. La comunidad mensual es de 110€, y el IBI anual asciende a 440€. También dispone de armarios empotrados y un trastero opcional con un precio a convenir.  No dejes pasar la oportunidad de vivir en un lugar donde cada día se siente especial. ¡Contáctanos para más información y ven a conocer tu nuevo hogar! Impuestos y gastos no incluidos en el precio de venta.",True,good,False,True,8873.0,True,False,False,False,[],False,False,559000.0,€,flat,"Trafalgar, Madrid",Piso en CL Juan De Austria,Trafalgar,,,,,,,
108335265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/9e/7a/1346844381.webp,9635001241,45,2,650000.0,duplex,sale,140.0,True,2,2,Barrio Zona Pueblo,Madrid,Pozuelo de Alarcón,Zona Pueblo,es,40.4438338,-3.8127205,False,https://www.idealista.com/inmueble/108335265/,"¡DÚPLEX MARAVILLOSO DE 88M² CON 2 DORMITORIOS, 2 BAÑOS, TERRAZA, GARAJE 20m2, TRASTERO 3m2 Y PISCINA COMUNITARIA! ¡ESTUPENDA UBICACIÓN EN ZONA MUY TRANQUILA, JUSTO EN FRENTE DEL PARQUE FUENTE DE LA SALUD Y CERCA DE COLEGIOS! AUTOBÚS EN LA PUERTA. Te presentamos este amplio y luminoso piso en una de las zonas más exclusivas de Pozuelo de Alarcón. Ideal para familias con niños de los colegios cercanos, Liceo Sorolla, Escolapios, Kensington y Cluny. La vivienda cuenta con 2 dormitorios, 2 baños completos, y una cocina independiente totalmente equipada. Características destacadas: •88 m² construidos distribuidos en un espacio funcional y bien aprovechado. •2 amplios dormitorios en la planta alta, con armarios empotrados.  •2 baños completos, uno de ellos en suite. •Cocina independiente con acceso a zona de lavado en terraza- tendedero con caldera. •Terrazas privada de 7m2, perfecta para disfrutar al aire libre. •Salón comedor espacioso y muy luminoso, con acceso a la terraza. •Espacio aprovechado debajo de escalera. Armario en pasillo planta alta.  •Aire acondicionado.  Es un piso soleado gracias a su orientación suroeste. Tiene una bonita pequeña zona comunitaria ajardinada con piscina.  La ubicación es excelente justo en frente de parques (Fuente de la Salud, Carlos Sainz. )y andando a los colegios (Kensington, Liceo Sorolla, Escolapios, Cluny…), Centro comercial con supermercados en el Torreón y transporte público en la puerta (autobús directo a Moncloa). Acceso rápido a la M40 y a la carretera de la Coruña (A6). Listo para entrar a vivir. ¡No dejes pasar esta oportunidad! Para más información o para programar una visita, no dudes en contactarnos.",True,good,False,True,4643.0,True,False,True,False,[],False,False,650000.0,€,flat,"Zona Pueblo, Pozuelo de Alarcón",Dúplex,Zona Pueblo,duplex,,,,True,True,
109162158,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c3/6c/cf/1366118729.webp,,30,,710000.0,chalet,sale,263.0,,5,3,CL EUCALIPTOS LOS,Madrid,Rivas-Vaciamadrid,Rivas Urbanizaciones,es,40.3637995,-3.5278882,False,https://www.idealista.com/inmueble/109162158/,"Gran parcela de 880m. con excepcional ubicación en Rivas Urbanizaciones situado a 10Metros. del Parque Regional del Sureste, calle muy tranquila, sin trafico, parcela con mucha privacidad e independencia, con zona de aparcamiento hasta para 5 coches, lo que le da muchas posibilidades al futuro propietario para adaptarlo a sus necesidades personales. Tiene piscina de Jean desjoyaux de 10x5, gran porche trasero semicerrado de 50m. con acceso a un acogedor salón que dispone de chimenea, cocina amueblada y equipada, aseo y habitación multifuncional que se adapta a sus necesidades. En la segunda planta hay 2 baños y 4 amplias habitaciones una de ellas en suite con armarios empotrados en todas las habitaciones  El potencial de esta casa son la ubicación y el espacio para futuras extensiones algo imprescindible en la compra de una casa y que permite personalizarla a tu gusto.  La zona está muy consolidada con centro de salud muy cercano, centro comercial Santa Mónica, colegios, institutos, parada de autobús que facilita el acceso al transporte publico. Si buscas una casa con privacidad y tranquila contactanos para mas información y ven a visitarla.",False,good,False,,2700.0,False,False,False,False,[],False,False,710000.0,€,chalet,"Rivas Urbanizaciones, Rivas-Vaciamadrid",Chalet pareado en CL Eucaliptos Los,,semidetachedHouse,,,,True,True,
107791450,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/99/6f/1345750352.webp,01173,86,,439000.0,chalet,sale,383.0,,6,3,Eurovillas,Madrid,Eurovillas,,es,40.3493231,-3.2503918,False,https://www.idealista.com/inmueble/107791450/,"Te presentamos este majestuoso chalet de la urbanización Eurovillas. Una propiedad con un enorme potencial, perfecta para una reforma que devuelva su grandeza original, combinando el estilo señorial con las comodidades modernas. Aún con su estado actual, la casa rebosa carácter y encanto. Su cómoda distribución en una planta más buhardilla te ofrece una casa para toda la vida.  Está ubicada en una inmensa parcela de 2820 m2 de superficie, que puede segregarse en un futuro. Ya que se trata de dos fincas con dos construcciones independientes.  La vivienda principal cuenta con 296 m2 construidos. En su entrada encontramos un recibidor con armario empotrado y un patio interior con mucho potencial que llena de luz natural el espacio.  El salón comedor tiene 3 ambientes bien diferenciados entre la sala de estar, el comedor con un ventanal de más de 5m y la zona de la chimenea, siendo este último espacio un lugar que invita al relax con tu café y un buen libro o a una buena conversación con tu pareja.  Cocina espaciosa y amueblada con despensa y acceso a un gran lavadero.  Dispone de 5 habitaciones con armarios empotrados y 3 baños, estando dos de ellos en suitte.  Una gran escalera de madera conduce a la buhardilla, donde descubrimos un segundo salón o despacho abierto junto con una estancia que puedes transformar en baño, ya que cuenta con tomas de agua.    Independiente de la casa principal, con una superficie de 87 m2 construidos, dispone de un garaje más una sala de ocio con barbacoa que podrías utilizar como tal o habilitar para alquiler y sacar así rentabilidad.  El jardín es un espacio amplio y diverso, con una mezcla de arbustos frondosos y árboles imponentes entre los que destaca un ejemplar de magnolio que preside la entrada, una robusta higuera y varios olivos centenarios.  En una esquina de la parcela yace una vieja pista deportiva que invita a pensar en retomar su uso para el disfrute de la familia.  Contacta con nosotros para concertar una visita y enseñarte todo el potencial y posibilidades que ofrece esta gran propiedad. La Urbanización Eurovillas, ubicada entre los municipios de Nuevo Baztán y Villar del Olmo (al Sureste de la Comunidad de Madrid), es una de las zonas residenciales más grandes de Europa, con alrededor de 3 600–4 000 parcelas distribuidas en 600 hectáreas y casi 80 km de viales Eurovillas está dotada de todos los servicios necesarios sin salir de la urbanización: Centro Comercial La Plaza y otras áreas comerciales con supermercado Eroski y Carrefour Market, farmacia, clínica, óptica, banco, bares, restaurantes, veterinario, peluquerías, gestorías, etc.  Educación: Escuela Infantil “La casita de los niños”, Escuela infantil privada ""Pocholines"", Colegio Público Juan de Goyeneche y Colegio Concertado Internacional Eurovillas  Ocio y deportes: Casa de la juventud, Centro Cultural Valmores, pabellón, polideportivo, piscina, pistas de pádel, tenis, baloncesto, petanca, hockey, zonas verdes, parques infantiles  Servicios municipales: Consultorio médico Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual.  En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",True,renew,False,,1146.0,True,False,False,False,[],False,False,439000.0,€,chalet,Eurovillas,Casa independiente,,independantHouse,,,,True,True,
109186726,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/c5/65/1366839341.webp,,30,2,339000.0,flat,sale,70.0,True,3,1,calle de Camarena,Madrid,Madrid,Latina,es,40.3881865,-3.7553077,False,https://www.idealista.com/inmueble/109186726/,"FOTOS 100% REALES. ¡CRUZITY OFRECE EN EXCLUSIVA, EXCELENTE PISO COMPLETAMENTE REFORMADO en una de las zonas mejor consolidadas de Madrid! Se trata de una vivienda exterior y cuenta con ascensor, compuesta por un luminoso salón, cocina americana, 3 dormitorios y cuarto de baño. La zona, además, dispone de los siguientes servicios: -Parque de Aluche (1 minutos andando). -Intercambiador Aluche Cercanías línea C-5, Metro de Madrid, línea 5 y autobuses (10 minutos andando). -Centro Comercial Plaza Aluche (14 minutos andando-3 minutos en coche). -Avenida de los Poblados (10 minutos andando). -Carretera de largo recorrido A-5 (6 minutos en coche). Con total cercanía de supermercados, zonas de ocio, restaurantes y bares, centros de salud, transporte público y mucho más Honorarios NO incluido en el precio: 3% más IVA. ¡Llama ahora para concretar tu visita sin compromiso!",True,good,False,True,4843.0,False,False,False,False,[],False,False,339000.0,€,flat,"Aluche, Madrid",Piso en calle de Camarena,Aluche,,,,,,,
