propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology
107445694,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/9d/51/1313265942.webp,AA206272,32,2,900000.0,flat,sale,145.0,True,4,3,Barrio Valdezarza,Madrid,Madrid,Moncloa,es,Valdezarza,40.467226,-3.7157654,False,https://www.idealista.com/inmueble/107445694/,"Exclusiva vivienda reformada en urbanización con piscina y jardines Gilmar presenta esta espectacular vivienda de 145 m² construidos y 127 m² útiles, completamente reformada y con una distribución pensada para el máximo confort. La luminosidad es uno de sus grandes atractivos, gracias a su triple orientación norte, sur y este, que permite disfrutar de luz natural durante todo el día. Cuenta con cuatro dormitorios y tres baños, destacando la suite principal, que dispone de un amplio baño y un gran vestidor. La segunda suite también cuenta con baño en suite, un espacioso armario empotrado y una terraza privada. Los otros dos dormitorios, igualmente luminosos, tienen armarios empotrados, lo que garantiza un excelente espacio de almacenamiento. El salón-comedor es amplio y acogedor, con dos grandes ventanales que inundan la estancia de luz. Uno de ellos da acceso a una terraza de unos 6 metros cuadrados, perfecta para disfrutar del aire libre. La cocina es independiente y está equipada con un gran tendedero. En cuanto a acabados, la vivienda ha sido reformada con materiales de alta calidad. Los suelos de mármol en el salón, pasillo y dormitorios aportan elegancia y calidez, mientras que en la cocina y los baños se ha optado por suelo porcelánico. Las ventanas de PVC con apertura oscilobatiente y rotura de puente térmico garantizan aislamiento y eficiencia energética. Además, dispone de calefacción y agua caliente individual con una caldera de gas nueva y aire acondicionado Daikin con bomba de frío y calor en salón y dormitorios. El piso incluye una amplia plaza de garaje con acceso directo por ascensor. Se encuentra en una urbanización privada con piscina comunitaria, amplias zonas ajardinadas, parque infantil y portero físico, ideal para quienes buscan tranquilidad sin renunciar a todas las comodidades. La ubicación es inmejorable, en una zona residencial tranquila, entre el Parque Rodríguez Sahagún y la Dehesa de la Villa. Además, está perfectamente comunicada: � A solo 150 metros de la estación de metro Valdezarza. � Con paradas de autobús a 100 metros. � Acceso rápido al centro por el Túnel de Valle de Mena y excelente conexión con la M-30 norte y sur a través de la calle Sinesio Delgado. Una vivienda lista para entrar a vivir, con todas las comodidades y en una ubicación privilegiada. No pierdas la oportunidad de visitarla. Contacta con Gilmar para más información.",True,good,False,True,6207.0,True,True,False,False,[],False,False,900000.0,€,True,False,28000.0,flat,"Valdezarza, Madrid",Piso,Top,
108559393,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/45/f0/1349300261.webp,JS211170 ,31,1,635000.0,flat,sale,104.0,True,2,2,Barrio Alameda de Osuna,Madrid,Madrid,Barajas,es,Alameda de Osuna,40.4547388,-3.5876025,False,https://www.idealista.com/inmueble/108559393/,"Exclusivo piso en urbanización cerrada con piscina y zonas deportivas en Alameda de Osuna Descubra esta magnífica vivienda en altura situada en el emblemático barrio de Alameda de Osuna, en el distrito de Barajas, Madrid. Con una superficie construida de 104 m², este piso de dos dormitorios y dos baños es la opción ideal para quienes buscan confort, exclusividad y una ubicación privilegiada. Construido en 2003, este inmueble destaca por su orientación que le proporciona una luminosidad excepcional y por sus acabados de alta calidad: suelo de parquet, calefacción individual, aire acondicionado y sistema de domótica que garantiza la máxima comodidad y seguridad. Además, cuenta con armarios empotrados, puerta blindada, alarma y vigilancia 24 horas. Ubicado en una urbanización cerrada, los residentes disfrutan de instalaciones de lujo como piscina, pista de pádel, zonas ajardinadas e infantiles, y seguridad privada. También incluye un trastero para mayor comodidad. Este enclave es ideal para familias, parejas o profesionales que valoren un entorno exclusivo y tranquilo, con todas las comodidades a su alcance. La Alameda de Osuna es reconocida por su ambiente residencial y su excelente calidad de vida. Además de estar rodeada de zonas verdes como el **Parque de El Capricho**, el barrio ofrece una combinación perfecta de tranquilidad y servicios. A menos de 10 kilómetros se encuentra el prestigioso **Colegio Alameda de Osuna**, con una sólida reputación educativa. En cuanto a las comunicaciones, la propiedad está excelentemente conectada. La línea **5 de metro** tiene una parada cercana en la estación **El Capricho**, mientras que la estación de cercanías más próxima es **Aeropuerto T4** (línea C-1). Además, las líneas de autobús **114 y 151** garantizan un acceso rápido y sencillo tanto al centro de Madrid como a otras áreas de la ciudad. Para los amantes del shopping, el **Centro Comercial Plenilunio** se encuentra a pocos minutos en coche, ofreciendo una amplia variedad de tiendas, restaurantes y opciones de ocio. Con un precio de 635.000 €, esta vivienda combina lujo, comodidad y una ubicación estratégica. Su diseño moderno y funcional, junto con las prestaciones de la urbanización, hacen de este inmueble una oportunidad única para quienes buscan un hogar en una de las zonas más deseadas de Madrid. Desde 1983, en GILMAR hemos ayudado a miles de clientes a encontrar la casa de sus sueños. Somos líderes en el sector inmobiliario gracias a nuestra experiencia, profesionalidad y enfoque personalizado. Contamos con un equipo de expertos que le acompañará en cada etapa del proceso para garantizar que tomes la mejor decisión. Para más información sobre este inmueble, no dude en contactar con nuestro equipo especializado en la oficina de **Orgaz-Naciones**, situada en Avda. Machupichu, 35. Llámenos al o envíenos un correo a indicando la referencia **211170**. Estaremos encantados de ayudarle a dar el siguiente paso hacia su nuevo hogar.",True,good,False,True,6106.0,True,True,False,False,[],False,False,635000.0,€,,,,flat,"Alameda de Osuna, Madrid",Piso,Top,
108451172,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/90/f7/1345282267.webp,2924,62,,2250000.0,chalet,sale,532.0,,7,6,calle San Jaime,Madrid,Pozuelo de Alarcón,Zona Avenida Europa,es,Zona Avenida Europa,40.4392343,-3.7996035,False,https://www.idealista.com/inmueble/108451172/,"InmoElite presenta en exclusiva CHALET PAREADO DE LUJO DE OBRA NUEVA A ESTRENAR en Pozuelo de Alarcón. Ubicado en una de las zonas más exclusivas de Pozuelo de Alarcón, Avenida de Europa, esta vivienda de arquitectura moderna, recién terminada, está pensada para quienes buscan el máximo confort y estilo. Con 532,50 m² construidos distribuidos en 4 plantas, este inmueble ha sido pensado al detalle para aprovechar cada metro cuadrado.  La entrada da acceso a un espacioso hall con un armario vestidor, una suite con cuarto de baño con ducha, cocina sin amueblar para que puedas ponerla a tu gusto, un bonito patio inglés que comunica esta estancia con el gran salón-comedor que da acceso a la zona del jardín con un espectacular porche y piscina  con zona de barbacoa ideal para reuniones familiares y con amigos. En Planta Primera nos encontramos con dos suites, la principal con vestidor y la otra con balcón y otros dos dormitorios uno de ellos con terraza, y un cuarto de baño que da servicio a estas dos estancias. En Planta Segunda nos encontramos dos dormitorios, uno de ellos con salida a una amplia terraza y un cuarto de baño que da servicio a ambos dormitorios. La Planta Sótano alberga una amplia zona de estar habilitada con zona de cocina para dar servicio a esta planta y con salida a un bonito patio inglés, un cuarto de lavandería, cuarto de máquinas, trastero, aseo y amplío garaje para 4 coches con acceso desde el exterior por una cómoda rampa. La vivienda cuenta con placas solares, aerotermia, preinstalación de ascensor e iluminación Led. La ubicación estratégica permite un fácil acceso a las principales vías de comunicación, facilitando el desplazamiento hacia el centro de Madrid y otras áreas cercanas. Además, la zona cuenta con colegios, parques, y una variedad de comercios que añaden comodidad a tu día a día. No dejes pasar la oportunidad de adquirir una propiedad que combina amplitud, confort y una ubicación inmejorable. Este chalet pareado es ideal tanto para familias que buscan espacio como para aquellos que valoran un entorno tranquilo sin renunciar a la cercanía de la ciudad. Contáctanos para más información y para concertar una visita. En InmoElite Propiedades, estamos listos para ayudarte a encontrar el hogar de tus sueños.",True,good,False,,4229.0,True,True,False,True,[],False,False,2250000.0,€,True,True,,chalet,"Zona Avenida Europa, Pozuelo de Alarcón",Chalet pareado en calle San Jaime,Top,semidetachedHouse
96164743,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/be/30/1229159740.webp,MIV01872,48,,1240000.0,chalet,sale,601.0,,9,5,Barrio Peñagrande,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4820135,-3.7344969,False,https://www.idealista.com/inmueble/96164743/,"De Salas Luxury Homes les ofrece en EXCLUSIVA este fantástico chalet independiente en Peñagrande. Construido en los años ‘80, este chalet independiente tiene 601 m² construidos, sobre una parcela de 604 m², distribuidos en cuatro cómodas plantas. Dispone de 7 a 9 habitaciones, 2 baños completos y 3 aseos, con una amplia zona ajardinada con piscina privada y garaje con capacidad para hasta 6 coches. Accedemos a través de su puerta principal a un amplio hall distribuidor que nos da acceso a 2 grandes salones, uno de ellos con chimenea, 2 despachos con la posibilidad de reconvertir en habitaciones, 2 cocinas con salida directa al jardín y un aseo de cortesía. En primera planta un hall distribuye el acceso a 7 amplios dormitorios, todos ellos exteriores, con armarios empotrados. A destacar el dormitorio principal con salida directa a un balcón-terraza con orientación este, para disfrutar de los primeros rayos de sol de la mañana. 2 baños completos con plato de ducha dan servicio a toda la planta. En la planta más alta de la casa nos encontramos con una buhardilla completamente diáfana, con imponente techo de madera y ventanas Velux. Dispone de aseo de cortesía con posibilidad de ampliación y convertirlo en baño completo. En planta semisótano un gran garaje con puertas automáticas, dan cabida hasta 6 coches, un trastero con gran capacidad de almacenaje, zona de lavado, caldera y aseo de cortesía. El jardín es perimetral con césped artificial, donde se ubica una piscina privada con sistema de cloración salina, de 40m2 (4,5m x 9m), cenador con zona barbacoa. En una ubicación inmejorable dentro de Peñagrande, con buenas comunicaciones en transporte público, autobús líneas 67 y 82 o metro estación “La Coma”, y en coche a través de M-40 o Cardenal Herrera Oria. Próxima a centro de salud, escuelas, actividades deportivas, campos de golf de la Real Federación Española, centros comerciales, etc..",True,good,False,,2063.0,True,True,False,True,[],False,False,1240000.0,€,True,True,,chalet,"Peñagrande, Madrid",Casa independiente,Top,independantHouse
105538472,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/a7/6f/1255470984.webp,MIV02037,66,,1990000.0,chalet,sale,505.0,,5,5,Barrio Peñagrande,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4782216,-3.7269535,False,https://www.idealista.com/inmueble/105538472/,"Referencia MIV02037. De Salas Luxury Homes les presenta esta fantástica oportunidad para disfrutar de un chalet independiente en una de las mejores zonas de Peñagrande. Construido en 1997 y con reciente actualización de espacios, dispone de una superficie construida de 505 m², distribuidos en 3 plantas, sobre una parcela en esquina de 679 m² catastrales. Cuenta con un espectacular jardín con piscina, porche, cenador y zona de barbacoa. Accedemos a la vivienda a través de un hall distribuidor con armarios gabaneros, encontrándonos con una imponente escalera circular en el centro de la planta, bajo un lucernario, inundando de mucha luz natural al interior de la vivienda. En planta principal dispone de un amplio salón (60m2) distribuido en 3 ambientes, zona de estar con chimenea, zona de Tv y comedor. El salón con orientación principal este-sur, disfruta de mucha iluminación natural y con salida directa a una maravillosa terraza circular con acceso al jardín. La cocina completamente equipada y con gran capacidad de almacenaje (24m2), cuenta con un espacio office, despensa y terraza - tendedero. Un despacho con terraza privada, reconvertible en habitación y un aseo de cortesía completan la distribución de esta planta principal. En primera planta, destinada a zona de descanso, se ubican 4 grandes habitaciones (18-20 m2), 3 de ellas con baño en suite. La habitación principal destaca por disponer de un amplio vestidor independiente (10 m2), un baño completo recién reformado y un balcón privado con vistas al jardín. En planta semisótano, con capacidad para albergar grandes reuniones con familiares y amigos, se dispone de un gran salón multiusos (68m2), con chimenea y txoko, perfectamente equipado para todo tipo de celebraciones. En esta planta también se dispone de un almacén, con posibilidad de convertir en gimnasio, una bodega y un baño completo. Garaje cubierto con capacidad para 2 coches de grandes dimensiones, tiene posibilidad de albergar otros 4 coches en exterior. En exteriores, un maravilloso jardín con césped natural y vegetación consolidada, piscina, porche, cenador y área de barbacoa, ofrece grandes posibilidades para disfrutar en privado de este espacio tan especial a sus propietarios. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. Si usted está interesado en visitar esta propiedad no dude en ponerse en contacto con nosotros en el teléfono o bien acudiendo a nuestra oficina de Mirasierra, ubicada en la C/Nuria 34. Si está valorando la posibilidad de poner en venta su propiedad o si ya la tiene en venta, De salas Consultores Inmobiliarios pone a su disposición una larga experiencia de más de 35 años y más de 3.600 inmuebles vendidos en las zonas más exclusivas de la zona norte de Madrid. Optimizaremos su tiempo y le daremos la mejor valoración de mercado posible, realizando un estudio preciso y trazando la mejor estrategia comercial para su hogar. Dotaremos este servicio con un completo asesoramiento jurídico para mayor tranquilidad del propietario.  ¡Estaremos encantados de atenderle!",True,good,False,,3941.0,True,True,False,True,[],False,False,1990000.0,€,True,True,,chalet,"Peñagrande, Madrid",Casa independiente,Top,independantHouse
94329037,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/5e/a6/1284721052.webp,MIV02047,64,,1599000.0,chalet,sale,600.0,,7,6,Barrio Peñagrande,Madrid,Madrid,Fuencarral,es,Peñagrande,40.477497,-3.7249531,False,https://www.idealista.com/inmueble/94329037/,"De Salas Luxury Homes (Ref. MIV02047). Fantástica oportunidad para disfrutar de este chalet pareado en una de las mejores zonas de Peñagrande. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. Construido en 1995 y con continuas actualizaciones de espacios, dispone de una superficie construida de más de 600m2, distribuidos en 4 plantas, sobre una parcela en esquina de 590 m². Cuenta con un espectacular jardín con piscina privada, porche, cenador y zona de barbacoa. Accedemos a la vivienda a través de un hall de entrada con armario gabanero.  En planta principal dispone de un gran salón (60m2) distribuido en 2 ambientes, zona de estar con chimenea y comedor. El salón con orientación principal suroeste, disfruta de mucha iluminación natural y tiene salida directa a un maravilloso porche con acceso directo al jardín. La cocina completamente equipada y con gran capacidad de almacenaje (24m2), cuenta con un amplio espacio office. En primera planta, destinada al área de descanso, se ubican 4 habitaciones. La habitación principal de destacadas dimensiones (36 m2) cuenta con vestidor y baño en suite. Las otras 3 habitaciones, también amplias (28m2, 18m2 y 15m2), disponen de armarios empotrados con muy buena capacidad de almacenaje. 2 baños completos dan servicio a la planta.  En segunda planta, una gran sala multiusos distribuida en 3 ambientes (43m2), dos dormitorios adicionales, 1 Cuarto de baño completo y 2 Closet, completan la distribución principal. En planta semisótano se dispone de un txoko con salida directa al jardín, área de servicio con habitación y baño completo, cuarto de lavandería y un par de despensas/trasteros.   Garaje con puerta motorizada, con capacidad para 2 coches en línea, motos, bicicletas y gran capacidad de almacenaje. La vivienda cuenta con las mejores calidades, ascensor, suelos de mármol y madera, carpintería con aislamiento térmico y acústico, sistema de aire frio/calor por plantas, sistema de calefacción por gas natural, etc… Ubicada en una zona de rápido acceso a través de Cardenal Herrera Oria, M-30 y M-40 la vivienda se encuentra a unos minutos andando de la estación de metro de Lacoma o Avenida de la Ilustración y próxima a las paradas de autobús de las líneas 2 y 815. Entorno completamente residencial, cercano a los campos de golf del Club Puerta de Hierro, de la Real Federación de Golf y de los Montes del Pardo.",True,good,False,,2665.0,True,True,False,True,[],False,False,1599000.0,€,True,True,,chalet,"Peñagrande, Madrid",Chalet pareado,Top,semidetachedHouse
102233469,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/c2/f0/1148793747.webp,MIV01956,78,6,2075000.0,penthouse,sale,284.0,True,4,4,Barrio Mirasierra,Madrid,Madrid,Fuencarral,es,Mirasierra,40.4947427,-3.7004727,False,https://www.idealista.com/inmueble/102233469/,"De Salas Luxury Homes, (Referencia MIV01957) tiene el placer de poder ofrecerle este imponente ATICO DÚPLEX en Mirasierra. Con una superficie de 284 m², cuenta con un diseño único e impresionante terraza de 126m², con piscina privada e inigualables vistas panorámicas. La vivienda cuenta con un cuidado diseño de interiores, con acabados y materiales de alta calidad.  La luz es su principal protagonista. Se distribuye en dos plantas y cuenta con ascensor propio. A la planta baja se accede por un hall de entrada que da paso al salón abierto al exterior a través de grandes ventanales que aportan una gran luminosidad a la estancia. La cocina se encuentra totalmente amueblada y equipada con electrodomésticos de alta gama Siemens. Aseo de cortesía. La zona de descanso de esta planta cuenta con dos dormitorios muy completos y funcionales que comparten un baño y un amplio dormitorio principal con baño en suite y vestidor amueblado con luz interior. A la segunda planta se accede por unas escaleras o a través del ascensor privado de la vivienda. Cuenta con un dormitorio con baño en suite y vestidor. En esta planta se ubica la terraza, con la piscina de diseño elegante, zona de solárium y otra zona ideal para porche o zona de comedor exterior. Una combinación perfecta de confort y privacidad. Dos plazas de garaje y un trastero. Ubicado en un edificio con diseño vanguardista obra de Bueso-Inchausti & Rein, con zonas ajardinadas, parque infantil, piscina comunitaria, sala fitness y seguridad 24 horas. Cuenta además con un innovador sistema de geotermia muy silencioso y de gran eficiencia energética así como con un sistema de domótica avanzado. Localizado en una de las calles más emblemáticas de Mirasierra con una amplia oferta educativa tanto escolar como universitaria. Fácil acceso y cercanía al centro de Madrid a través de transporte público ( metro y autobuses ) o privado.",True,good,False,True,7306.0,True,True,False,True,[],False,False,2075000.0,€,True,True,,flat,"Mirasierra, Madrid",Ático,Top,penthouse
108813058,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/e0/10/1356729939.webp,JE211808,35,2,449000.0,flat,sale,148.0,True,4,4,Barrio Pradolongo,Madrid,Madrid,Usera,es,Pradolongo,40.3793484,-3.7057897,False,https://www.idealista.com/inmueble/108813058/,"Gilmar Madrid Rio vende en el corazón del barrio de Pradolongo, en el distrito de Usera, esta excelente oportunidad de inversión. Este piso de 148 m² construidos está diseñado para maximizar la rentabilidad, ofreciendo cuatro habitaciones con baño en suite, ideales para alquileres individuales, y una zona común que incluye un salón - cocina de 28 m², y un lavadero y una terraza de 30 m² de uso exclusivo en la azotea del edificio. Con una rentabilidad estimada del 8%, este inmueble representa una propuesta especialmente atractiva. Construido en 1976, el piso cuenta con características como aire acondicionado, armarios empotrados, suelos de tarima flotante y una orientación que asegura una luminosidad excepcional.  La zona de Pradolongo, en Usera, es un barrio residencial en constante transformación. Conocido por su multiculturalidad, este distrito cuenta con una amplia oferta de servicios y comercios el Centro Comercial Plaza Río 2 está a pocos minutos, ofreciendo una gran variedad de tiendas, restaurantes y actividades. En términos de transporte, la ubicación es estratégica. Las líneas de metro más cercanas son la 6 (circular) y la 3, con estaciones como Usera y Almendrales a poca distancia. Además, las líneas de autobuses 78, 81 y 116 conectan el barrio con el resto de la ciudad de manera eficiente. Para quienes prefieran el tren, la estación de Cercanías Doce de Octubre (líneas C-5) está a pocos minutos en transporte público. Desde 1983, GILMAR ha sido líder en el sector inmobiliario, ayudando a miles de clientes a encontrar la casa de sus sueños. Nuestro equipo de expertos en la oficina de Madrid Río, ubicada en el Paseo de Extremadura 1, está a tu disposición para ofrecerte un servicio personalizado y profesional. Si deseas más información sobre este inmueble, no dudes en ponerte en contacto con nosotros. Llámanos al o escríbenos a indicando la referencia 211808. Estaremos encantados de atenderte.",True,good,False,False,3034.0,True,True,False,False,[],False,False,449000.0,€,,,,flat,"Pradolongo, Madrid",Piso,Top,
37508988,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/9a/4f/1319209242.webp,W-02926M,86,,2480000.0,chalet,sale,1080.0,,8,6,Ciudalcampo,Madrid,Ciudalcampo,,es,,40.6145133,-3.6037112,False,https://www.idealista.com/inmueble/37508988/,"Chalet en venta con increibles vistas Ciudalcampo E&V vende chalet de campo con espectaculares vistas al encinar sur y a la sierra de Madrid y muy intimo y privado ya que linda con la finca de La pesadilla. Se encuentra situada en una arbolada parcela de 5200m² e incluye una pista de pádel y una preciosa zona de jardín con piscina. La casa cuenta con tres niveles. La planta baja dispone de un patio interior que distribuye las estancias y aporta luz natural a través de una amplia claraboya, la cual se puede abrir permitiendo un sistema de ventilación cruzada por toda la vivienda. A ambos lados del hall de entrada encontramos dos despachos, uno de los cuales incluye una librería hecha a medida. En esta planta de la villa encontramos un aseo de cortesía, además de los 4 dormitorios principales, todos ellos con baño en suite. Destaca la suite principal, en la cual hallamos un amplio dormitorio de 32m² con techos altos, una sala de estar de 24m², una zona de vestidor con armarios y un baño equipado con ducha y bañera. Este dormitorio dispone de salida directa al jardín. En la planta alta de la casa se ubican los altillos de dos dormitorios, una biblioteca que se asoma sobre el salón y una pequeña sala de té marroquí con mucho encanto y vistas al patio central de la planta baja. En el sótano, además de una enorme sala multiusos de 150m² equipada con barbacoa interior, cocina y comedor, encontramos una zona de gimnasio con sauna, baño turco y jacuzzi para 8 personas. El sótano de esta villa ubicada en Ciudalcampo ofrece zona de servicio, lavandería, trasteros y garaje para 4 coches. La urbanización de Ciudalcampo es una de las mejores zonas residenciales de Madrid. En este excepcional emplazamiento se encuentra esta villa a la venta a través de Engel&Völkers, dentro del Parque Regional de la Cuenca Alta del Manzanares, entre los municipios de San Sebastián de los Reyes y Colmenar Viejo. Se trata de un entorno privilegiado y con impresionantes vistas a la sierra norte de Madrid, además de ser un espacio que mantiene el equilibrio entre el desarrollo urbanístico y la conservación del medio natural. Ciudalcampo dispone de un cómodo y rápido acceso en el Km 28 de la N-1, además de contar con la ventaja de encontrarse cercana al aeropuerto de Madrid Barajas, IFEMA, a un parque empresarial con múltiples empresas multinacionales, y a tan solo 10 minutos de uno de los mejores hospitales de la zona Norte, el Hospital Infanta Sofía. Ciudalcampo ofrece a sus habitantes excepcionales dotaciones y servicios dentro de la propia urbanización: Colegio internacional SEK, Club deportivo RACE (Golf, Paddle, Tenis, Piscina, Gimnasio, Hípica, Fútbol), servicio regular de autobuses a Madrid e interno dentro de la propia urbanización y oficina de correos, además del Centro Comercial Santo Domingo, equipado con farmacia, supermercado, frutería, carnicería, pescadería, estanco, servicios de restauración, etc. Ciudalcampo dispone de un sistema de cámaras y vallado perimetral, además de servicio de seguridad 24 horas con patrullas de vigilancia y control de barrera a la entrada.",True,good,False,,2296.0,True,True,False,False,[],False,False,2480000.0,€,True,True,,chalet,Ciudalcampo,Casa independiente,Top,independantHouse
109127260,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/c6/17/1365140056.webp,,24,6,620000.0,flat,sale,140.0,True,3,2,avenida de la Comunidad Valenciana,Madrid,Tres Cantos,Primera Fase - Nuevo Tres Cantos,es,,40.6175935,-3.7194874,False,https://www.idealista.com/inmueble/109127260/,"""Grupo Hogares"" vende en exclusiva magnífica vivienda, en una de las mejores zonas de Tres Cantos. Este piso amplio y luminoso piso de 3 habitaciones y 2 baños se encuentra en una zona tranquila y bien comunicada, perfecta para quienes buscan comodidad y accesibilidad. Al ingresar, te recibe un salón espacioso con grandes ventanales que permiten la entrada de abundante luz natural, creando un ambiente acogedor. La cocina, amplia y equipada, es ideal para aquellos que disfrutan de cocinar y compartir en familia. Las tres habitaciones son amplias, con armarios empotrados y mucha luminosidad, mientras que los dos baños, uno de ellos en suite, están diseñados para brindar funcionalidad y estilo. La ubicación es inmejorable: a pocos pasos de supermercados, farmacias, colegios, restaurantes, centros de salud, parques, zonas verdes y transporte público. Este hogar combina a la perfección tranquilidad y comodidad en un entorno rodeado de servicios, además de una rápida y fácil incorporación a la carretera M-607. Vivienda exterior, con una excelente orientación, lo que garantiza una luz natural abundante desde la mañana hasta el atardecer. Al no tener construcciones ni obstáculos delante, disfruta de sol y luminosidad durante todo el día, creando un ambiente cálido y acogedor en cada estancia, además del buen aislamiento que ofrece la vivienda. De la comunidad, cabe destacar el área de juegos infantiles, piscina, sala multiusos, servicio de conserjería 8h, pista de pádel y videovigilancia. Se completa el inmueble con dos cómodas PLAZAS DE GARAJE y TRASTERO. Nuestro departamento financiero ""FinanHogar"" puede conseguir hasta el 100% de financiación. Pregunte para hacer un estudio financiero sin compromiso. ¡NO PIERDA LA OPORTUNIDAD DE VISTAR ESTA EXCLUSIVA VIVIENDA!",True,good,False,True,4429.0,True,True,False,False,[],False,False,620000.0,€,True,True,,flat,"Primera Fase - Nuevo Tres Cantos, Tres Cantos",Piso en avenida de la Comunidad Valenciana,Top,
