propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,neighborhood,floor,exterior,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108695325,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/47/36/1352396078.webp,26,325000.0,chalet,sale,140.0,4,2,CL ABASTOS,Madrid,Aranjuez,Nuevo Aranjuez-Ciudad de las Artes,es,40.0298217,-3.5931919,False,https://www.idealista.com/inmueble/108695325/,"ARANKEY REAL ESTATE S. L VENDE: Arankey servicios inmobiliarios vende casa baja con patio en una de las calles y barrio más emblemáticos de l municipio de Aranjuez. La vivienda se encuentra distribuida de siguiente de la manera: -Puerta de acceso a la vivienda por la calle abastos que desemboca al pequeño recibidor, y a la escalera de acceso a la segunda planta. El acceso a la vivienda también es posible mediante la puerta del vado que se comparte con el vecino colindante. -Planta baja que se compone de habitación exterior con orientación sur, salón-comedor, cocina amueblada y equipada con electrodomésticos con salida directa al patio separado del vecino colindante mediante muro y vallado con capacidad apara aparcar un coche, así como amplísimo porche y pequeña terraza anexada a la cocina.  Además en esta misma planta tenemos un amplio cuarto de baño adaptado a personas con movilidad reducida. - Planta superior que desemboca tras la subida mediante una cómoda escalera en otro cuarto de baño, así como 3 habitaciones exteriores con orientación sur la principal, y las otras dos al patio interior de la vivienda. Ubicada en la calle abastos en la zona del barrio del Nuevo Aranjuez, el entorno es inmejorable para el día a día puesto que tenemos gran oferta de comercios de barrio, comunicación mediante autobús para ir a cualquier sitio del pueblo y a la RENFE, así como de infraestructuras de sanidad y educación(ambulatorio, colegios, universidad. ). No dude en concertar una visita sin compromiso y ver in situ la distribución y las posibilidades este inmueble.",True,good,False,2321.0,True,False,False,False,[],False,False,325000.0,€,True,True,chalet,semidetachedHouse,"Nuevo Aranjuez-Ciudad de las Artes, Aranjuez",Chalet pareado en CL Abastos,Destacado,,,,,,,,,
106955803,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/c4/fb/1302667659.webp,70,210000.0,chalet,sale,141.0,3,3,avenida de Madrid s/n,Madrid,Patones,,es,40.8630718,-3.4746932,True,https://www.idealista.com/inmueble/106955803/,"Hminmobiliaria tiene TU CHALET ADOSADO EN PATONES! 100% FINANCIACION 141 m construidos! ¡TÚ PROPIEDAD por MENOS de un ALQUILER! COMPRA tú PISO y OLVIDATE del ALQUILER! 100% FINANCIACIÓN! SIN ENTRADA! SIN COMISIONES! Buena opción como PRIMERA VIVIENDA o como INVERSION! Solo con tus INGRESOS y los gastos de escrituras! NADA mas! 8362 - CHALET ADOSADO de 2 planta: Planta BAJA: garaje para un coche, amplio salón-comedor con salida al patio trasero, cocina, aseo y recibidor con armario de cortesía. Tiene patio trasero y delantero! Planta ALTA: 3 dormitorios con armarios empotrados (el principal en suite y con balcón) y un baño  ¡ NO te COBRAMOS COMISIÓN, NI por la VENTA de la VIVIENDA NI por la TRAMITACIÓN del PRÉSTAMO! Solo tienes que disponer de los gastos de escritura y el resto te lo financia el banco hasta el 100% del valor de la compra. Cada cliente es ÚNICO, cada Compra es ÚNICA, cada Vivienda es ÚNICA. 100%! FINANCIACIóN! SIN ENTRADA! Sin COMISIONES, NI por la VENTA, NI por la TRAMITACION de la venta NI del préstamo! Solo con TUS INGRESOS y los gastos de escrituras! NADA mas! HMInmobiliaria convirtiendo desde 1.989 los SueÑoS en HoGaReS!",True,good,False,1489.0,True,False,False,False,[],False,False,210000.0,€,True,True,chalet,terracedHouse,Patones,Chalet adosado en avenida de Madrid s/n,Destacado,8362 ,,,,,,,,
108999235,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/aa/40/1361310490.webp,64,1100000.0,chalet,sale,322.0,5,4,camino Real,Madrid,Las Rozas de Madrid,Molino de la Hoz,es,40.5403401,-3.9289874,False,https://www.idealista.com/inmueble/108999235/,"NO COBRAMOS COMISIÓN A COMPRADOR  Espectacular Chalet Unifamiliar en Molino de la Hoz – Las Rozas de Madrid Se vende vivienda unifamiliar de 322 m² construidos sobre una parcela catastral de 2.611 m² con impresionantes vistas. El terreno, en ligera pendiente, ofrece un jardín totalmente personalizable, un auténtico lienzo en blanco para diseñar a tu gusto. La propiedad destaca por sus excelentes calidades constructivas, acabados interiores y servicios, lo que permite entrar a vivir sin necesidad de reformas costosas. Ubicada en Molino de la Hoz, una de las urbanizaciones más exclusivas de la Comunidad de Madrid, a tan solo 23 km de la capital, con seguridad privada 24h. La urbanización cuenta con club social dotado de pistas de tenis y pádel, piscina olímpica, zonas verdes, supermercado, restaurantes y colegios de prestigio como Bérriz y Logos. Ideal para familias, ya que los niños pueden crecer en un entorno seguro, cercano a sus amigos y centros educativos. Además, dispone de autobús privado gratuito, líneas regulares hacia Las Rozas y conexión directa con el intercambiador de Moncloa (Madrid). Distribución Planta principal: •Recibidor con armario empotrado. •Amplio salón-comedor con salida a terraza y vistas al jardín trasero. •Dormitorio adicional y espacio ideal para despacho. •Cocina con gran ventanal exterior. •Aseo de cortesía. Planta baja: •Dormitorio principal muy luminoso, con baño en suite y amplio vestidor. •Segundo dormitorio con baño completo en suite y armario empotrado. •Dos dormitorios adicionales. •Baño completo independiente. La parcela de 2.611 m² ofrece posibilidad de ampliación o construcción adicional. Construida en 1989, la vivienda se encuentra en excelente estado de conservación gracias al cuidado y mantenimiento de sus actuales propietarios. Extras e instalaciones •Gas natural. •Aire acondicionado por splits en toda la casa. •Cochera lateral con acceso por paso de carruaje. Una oportunidad única de vivir en un entorno natural, seguro y de alto nivel, a pocos minutos de Madrid. Comunidad de Propietarios: 156,74 € IBI: 1.323, 05 €.",True,good,False,3416.0,True,False,False,False,[],False,False,1100000.0,€,True,True,chalet,independantHouse,"Molino de la Hoz, Las Rozas de Madrid",Casa independiente en camino Real,Destacado,AG-MOLINO1.100.000,Molino de la Hoz,,,,,,,
108960942,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/36/43/1360828614.webp,30,245000.0,studio,sale,42.0,0,1,Barrio Valdeacederas,Madrid,Madrid,Tetuán,es,40.466721,-3.7041386,False,https://www.idealista.com/inmueble/108960942/,"Acogedor estudio con garaje en Valdeacederas Engel & Völkers, inmobiliaria de lujo en Madrid, pone a su disposición este luminoso estudio construido en 2011.  La vivienda de 42 metros cuadrados se organiza desde un recibidor por el que se accede al ambiente de día, con salón-comedor con cocina abierta, y al distribuidor de estancias con zona de almacenaje. Cuenta con un baño completo. La cocina está abierta al espacio de salón, con todos los electrodomésticos integrados.  La vivienda se encuentra en muy buen estado, dispone de trastero y garaje en finca y además cuenta con ascensor y unas zonas comunes muy bien conservadas.  En definitiva, es una excelente opción para parejas o personas que disfruten de vivir en una zona en crecimiento y con todo tipo de comodidades así como inversores. La propiedad se ubica en el popular barrio de Valdeacederas, dentro del Distrito de Tetuán, al noroeste de la capital, entre Bravo Murillo y el Paseo de la Dirección. En cuanto a las comunicaciones, la línea 1 y 9 de metro está a 10 minutos. El piso está entre las estaciones de Valdeacederas y Ventilla. Se puede ir caminando a Plaza de Castilla, y sólo dos paradas de metro lo separan de la estación RENFE Chamartín. También los autobuses constituyen la columna vertebral del transporte, destacando las líneas, 49, 177, 44, 11. El acceso al centro de la ciudad y a las principales salidas (M-30, A-1) es rápido, ya sea por el Paseo de la Castellana o Plaza Castilla. El barrio de Valdeacederas acoge edificios históricos como el Mercado de Tetuán o La Iglesia de Nuestra Señora de las Victorias, así como la emblemática plaza de la Remonta, una de las más grandes de Madrid y que se ha convertido en el lugar de encuentro más importante de Tetuán para celebrar todo tipo de actos culturales y deportivos. También dispone de zona arbolada con zona de recreo. Tetuán ofrece una amplia gama de servicios desde grandes almacenes, comercios, farmacias, colegios, iglesias, gimnasios, hoteles, hasta zonas deportivas y una selección muy amplia de bares y restaurantes.",False,good,False,5833.0,False,False,False,False,[],False,False,245000.0,€,True,True,flat,studio,"Valdeacederas, Madrid",Estudio,Destacado,W-0464WY,Valdeacederas,2,True,True,,,,
109173280,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c1/ed/9e/1366430396.webp,11,206999.0,flat,sale,85.0,3,1,calle Reina Victoria,Madrid,Parla,Reyes,es,40.2345199,-3.7685236,False,https://www.idealista.com/inmueble/109173280/,"Empire Real Estate Properties presenta en exclusiva esta magnífica vivienda reformada en venta, situada en una de las zonas más consolidadas y demandadas de Parla, en el barrio de Reyes Católicos. La propiedad destaca por su amplitud, luminosidad y excelente distribución, ofreciendo un espacio ideal tanto para familias como para quienes buscan una residencia cómoda, moderna y bien ubicada. Al acceder a la vivienda, encontramos un recibidor o hall de entrada que actúa como distribuidor principal. Desde él, se accede a una cocina independiente de generosas dimensiones, completamente reformada y equipada con ventilación natural, lo que garantiza un espacio funcional y confortable para el día a día. El hall conduce también al salón-comedor, una estancia amplia y luminosa, perfecta para el descanso y la convivencia familiar. Este espacio cuenta con acceso directo a una terraza exterior, un lugar ideal para disfrutar de momentos al aire libre. Además, dispone de aire acondicionado, proporcionando comodidad durante todo el año. Un pasillo distribuidor conecta la zona de descanso, compuesta por tres dormitorios amplios. El dormitorio principal destaca por su armario empotrado y aire acondicionado, aportando practicidad y confort. Los otros dos dormitorios ofrecen igualmente excelente espacio, versatilidad y luminosidad. La vivienda dispone de un cuarto de baño completo con bañera, reformado, en perfecto estado de conservación. Entre sus extras y ventajas, cabe destacar que la finca cuenta con ascensor, lo que añade un plus de comodidad y accesibilidad. En cuanto a su ubicación, la propiedad se sitúa en un entorno tranquilo y bien comunicado, rodeado de todo tipo de servicios: comercios, colegios, centros de salud, zonas verdes y transporte público, lo que convierte a esta vivienda en una oportunidad única tanto para residencia habitual como para inversión. FINANCIACION A TU MEDIDA, FINANCIAMOS HASTA EL 100% DEL VALOR. ¡VEN A VISITAR TU VIVIENDA!",False,good,False,2435.0,False,False,False,False,[],False,False,206999.0,€,,,flat,,"Reyes, Parla",Piso en calle Reina Victoria,Destacado,SU-5505,,4,True,True,215000.0,8001.0,4.0,
109185311,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fd/96/84/1366796120.webp,45,579000.0,flat,sale,107.0,2,2,"avenida del Talgo, 129",Madrid,Madrid,Moncloa,es,40.4469682,-3.785039,True,https://www.idealista.com/inmueble/109185311/,"Vivienda situada en planta baja exterior con privacidad, dispone de un fantástico patio de uso exclusivo de la vivienda. Distribuido en, hall de entrada, armarios empotrados, dos habitaciones, dos baños completos uno en suite, salón independiente, cocina con lavadero y porche cerrado. Ubicado en una zona tranquila y bien comunicada. Portero físico 24 horas. Zonas comunes; jardín, piscina y pista de pádel. Situación inmejorable, junto a la estación de cercanías de Aravaca, perteneciente al distrito de Moncloa-Aravaca, colindante con los barrios de Valdemarin y El Plantío y a su vez con Pozuelo de Alarcón. La zona se encuentra rodeada de amplias zonas verdes y cuenta con varios polideportivos municipales. Este distrito se ha convertido en uno de los más demandados por sus viviendas de calidad y alto standing, por su belleza paisajística y por su privacidad y seguridad. A diez minutos del centro de Madrid por sus cómodos accesos a través de las autovías A-6, M-500 y M-40 y la estación de tren de cercanías de Aravaca. Entre los lugares más destacados que forman parte de este distrito podemos destacar la Casa de Campo y el Palacio de la Moncloa, así como facultades de la Universidad pública Complutense como facultades de la Universidad privada CEU, ESIC y colegios privados e internacionales de prestigio junto con centros concertados y públicos bilingües. En materia de sanidad, cuenta con el hospital público Puerta de Hierro Majadahonda y los hospitales privados HM Montepríncipe y Quirón Pozuelo.",False,good,False,5411.0,False,False,False,False,[],False,False,579000.0,€,,,flat,,"Aravaca, Madrid","Piso en avenida del Talgo, 129",Destacado,C1-00222-0001,Aravaca,bj,True,True,,,,
107444717,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/50/47/1312817406.webp,35,1095000.0,flat,sale,103.0,3,3,calle de Alfonso X,Madrid,Madrid,Chamberí,es,40.433502,-3.6903387,False,https://www.idealista.com/inmueble/107444717/,"Domus Aurea Capital presenta este piso exterior, amueblado y a estrenar en el corazón de Almagro. Vivienda de 103m2 situada en la planta baja de un edificio de 1939 recién reformada, se entrega a estrenar y totalmente amueblada. Se distribuye en un hall recibidor con armario gabanero de gran dimensión y acondicionado también para ocultar la caldera de gas individual y la lavadora-secadora, un luminoso salón-comedor con cocina de estilo abierta y totalmente amueblada y equipada, y la zona de noche con un gran dormitorio principal con baño en suite completo y dos dormitorios dobles, además de un baño completo y un aseo de cortesía. Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores. La mayoría de las propiedades que tenemos disponibles no están publicadas en los portales inmobiliarios, para conocerlas todas consulta nuestra web.",True,good,False,10631.0,True,False,False,False,[],False,False,1095000.0,€,,,flat,,"Almagro, Madrid",Piso en calle de Alfonso X,Destacado,4151,Almagro,en,True,True,,,,
108580638,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/7b/0b/1349047639.webp,18,170000.0,studio,sale,25.0,0,1,calle de Caravaca,Madrid,Madrid,Centro,es,40.4100065,-3.7022594,False,https://www.idealista.com/inmueble/108580638/,"Agencia inmobiliaria de Madrid zona Lavapies – Embajadores – Tirso De Molina Tecnocasa ESTUDIO REAL DE LAVAPIES SL VENDE Piso en venta en Madrid, en la zona de Lavapiés - Embajadores - Tirso De Molina. Este acogedor inmueble de 25 m² construidos cuenta con una distribución ideal, compuesta por un salón con cocina americana y 1 baño. Se encuentra en la tercera planta. Además, este piso está ubicado en una zona privilegiada, cercano a las estaciones de metro L5 La Latina, L1- Tirso de Molina y Embajadores-L3-L5, lo que garantiza una excelente comunicación. También cuenta con buena conexión de autobuses y se encuentra a solo 5 minutos de la estación de Renfe Embajadores. Este inmueble ofrece condiciones de financiación disponibles y, si necesitas asesoramiento financiero, el equipo de Kiron estará encantado de ayudarte. No pierdas la oportunidad de adquirir este piso en una de las zonas más buscadas de Madrid. ¡Contacta con nosotros para más información!",True,good,False,6800.0,True,False,False,False,[],False,False,170000.0,€,,,flat,studio,"Lavapiés-Embajadores, Madrid",Estudio en calle de Caravaca,Destacado,,Lavapiés-Embajadores,3,False,False,,,,
109078491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/c7/d5/1363746706.webp,44,639000.0,flat,sale,72.0,2,1,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,40.4377167,-3.7014386,False,https://www.idealista.com/inmueble/109078491/,"Housfy vende piso en Chamberí, Madrid, perfecto para personas que busquen un lugar cómodo para su día a día. Detalles del inmueble: - 2º planta exterior con ascensor en finca de 1940. - Encantador piso de 72 m2 en Nuevos Ministerios-Ríos Rosas. (Los metros cuadrados están verificados con la Dirección General de Catastro) - Coqueto salón - comedor que te proporcionará el relax diario, creando un precioso y único espacio. - Acceso a terracita de buen tamaño donde disfrutar los días. - Con una funcional cocina en buen estado, muy completa. - 2 habitaciones de buen tamaño y baño completo con plato de ducha. - Sistema de calefacción y aire acondicionado. - Además dispone de armarios empotrados. - Una puerta blindada para garantizar su seguridad en todo momento. - Bien comunicado con transporte público.  Sobre la ubicación, si escoges este barrio para vivir tendrás todos los servicios esenciales que necesitarás para tu nueva vida. A escasos metros encontramos: centros educativos, centros de salud, parques, equipamientos deportivos y supermercados, farmacias, teatros, cines entre otros. No lo dudes más y contacta con nosotros para agendar una visita, conseguiremos la vivienda de tus sueños. Sobre nosotros Housfy es la plataforma integral de servicios inmobiliarios. Nuestra combinación de expertos y tecnología pone al alcance de todo el mundo servicios cómodos, claros y seguros. AICAT número: 7922 Nos encargamos de la gestión y asesoramiento de la compra. ¡Olvídate de todo! Hacemos los trámites por ti. Y, si además necesitas financiación, ponemos a tu disposición un bróker hipotecario para ayudarte a conseguir las mejores condiciones para tu perfil económico. ¿Tienes alguna duda? Pregúntanos sin compromiso o visítanos en housfy. com.",False,good,False,8875.0,True,True,False,False,[],False,False,639000.0,€,,,flat,,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Santa Engracia,Destacado,903809,Nuevos Ministerios-Ríos Rosas,2,True,True,,,,
99203454,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/46/ff/1319203038.webp,71,1350000.0,chalet,sale,470.0,5,2,Fuente el Saz de Jarama,Madrid,Fuente el Saz de Jarama,,es,40.6518418,-3.49555,False,https://www.idealista.com/inmueble/99203454/,"Espectacular finca en Fuente el Saz del Jarama Engel & Völkers presenta esta exclusiva y amplia propiedad individual. Finca rústica de casi siete mil metros cuadrados con una construcción de casi quinientos metros cuadrados. Dispone de piscina climatizada para el total disfrute durante todo el año. La vivienda consta de un luminoso salón con chimenea, una amplia cocina, hall de entrada, cinco grandes dormitorios con armarios empotrados y calefacción. El dormitorio principal tiene baño en suite y además hay otro baño con ducha. Tenemos en la planta baja una zona de despensa, salón multiusos y bodega. Además, tiene una gran terraza en el piso superior desde que tenemos unas maravillosas vistas. Posee un gran horno para cualquier celebración. La zona exterior tiene una gran cantidad de árboles, viñedos, huerta y posee infinitas posibilidades debido a su amplitud. Cuenta con pozo particular con autonomía de agua potable con los correspondientes controles homologados. En la entrada a la finca tenemos un garaje para un mínimo tres vehículos, así como otra estancia para guarda de maquinaria. La situación de la vivienda es perfecta ya que se encuentra en una zona tranquila pero cercana al núcleo urbano de Fuente el Saz del Jarama donde encontramos gran cantidad de tiendas y servicios como colegio, parques, guarderías, clínicas, polideportivo, iglesia, etc. La parada de transporte público está a unos doscientos metros de la propiedad. Fuente el Saz es un municipio que se encuentra en el Noreste de la Comunidad de Madrid, con una población de unos 6.000 habitantes, se encuentra muy cerca de la ciudad de Madrid y de grandes municipios como Alcobendas y San Sebastián de los Reyes.  El municipio dispone de guarderías públicas y privadas, un colegio público de educación infantil, primaria y secundaria. También dispone de polideportivo y piscina municipal. A pocos kilómetros también tenemos varios colegios concertados y privados. También dispone de centro de salud e hipermercados. Se encuentra situado en un entorno natural, junto a la Vega del Rio Jarama y de la Sierra de Guadarrama. Las principales vías de acceso son la A-1, la M-50, la R-2 y la M-111 que da acceso a Barajas. Cuenta con un Servicio Público de transportes a Madrid- Plaza Castilla (bus 184 y 197). Este magnífico emplazamiento es ideal para aquellos que quieran disfrutar de un ambiente de tranquilidad rodeados de un entorno natural donde disfrutar de diferentes deportes al aire libre como la hípica o el Golf. Cuenta además con un área industrial y amplia oferta gastronómica.",False,good,False,2872.0,False,False,False,False,[],False,False,1350000.0,€,True,True,chalet,independantHouse,Fuente el Saz de Jarama,Casa independiente,Destacado,W-02QH97,,,,,,,,
