propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished
108926006,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/ee/dd/1359145288.webp,RP2402025140537,21,bj,250000.0,flat,sale,91.0,True,3,1,Este,Madrid,Móstoles,Este,es,40.3232285,-3.8531667,False,https://www.idealista.com/inmueble/108926006/,"Piso totalmente reformado de 91 metros, se distribuye en salon con aire acondicionado, amplia cocina y un baño que antes eran dos El piso consta de tres habitaciones y la principal con armario empotrado, suelos de tarima, carpinteria de roble estilo japones y ventanas de climalit.",False,good,False,True,2747.0,False,False,False,False,[],False,False,250000.0,€,flat,"Este, Móstoles",Piso,Destacado,,,,,
108459516,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/f1/90/1345549754.webp,RP2402025138766,20,3,195000.0,flat,sale,78.0,True,3,1,Este,Madrid,Móstoles,Este,es,40.3270768,-3.8581435,False,https://www.idealista.com/inmueble/108459516/,"Piso totalmente reformado de 78m², se distribuye en salón con terraza cerrada, cocina amplia, baño y 3 habitaciones con armarios empotrados. Cuenta con despensa, puertas de roble estilo japonés, climalit en toda la casa, suelo de tarima, paredes lisas, calefacción individual y aire acondicionado. No dude en visitarlo, FINANCIACIÓN con nuestros departamento financiero DCREDIT. 3ª PLANTA SIN ASCENSOR.",False,good,False,False,2500.0,False,False,False,False,[],False,False,195000.0,€,flat,"Este, Móstoles",Piso,Destacado,,,,,
108459658,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/c8/9a/1345555743.webp,RP2402025138751,18,4,172000.0,flat,sale,80.0,True,3,1,Norte - Universidad,Madrid,Móstoles,Norte - Universidad,es,40.328382,-3.8670928,False,https://www.idealista.com/inmueble/108459658/,"Redpiso móstoles este vende cuarta planta sin ascensor, especial inversores, la vivienda se transmite alquilada con el contrato de alquiler en vigor. Oportunidad de inversión: inmueble actualmente alquilado. Renta actual: el inquilino actualmente abona 600€/mes. Fecha fin de contrato: agosto 2026. Alquilado con seguro de proteccion de pagos, demostrable solvencia del inquilino.",False,good,False,False,2150.0,False,False,False,False,[],False,False,172000.0,€,flat,"Norte - Universidad, Móstoles",Piso,Destacado,,,,,
109105952,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/6c/00/1365263326.webp,,12,1,164500.0,flat,sale,77.0,True,3,1,RD SUR,Madrid,Madrid,Puente de Vallecas,es,40.3770255,-3.6701393,False,https://www.idealista.com/inmueble/109105952/,"El período de visita y ofertas está abierto hasta el 09/09/2025, así que no pierdas la oportunidad de presentar tu oferta. Recuerda que las pujas son al alza, aceptando la más alta. Situada en MADRID de 75,85 m². Distribuida en 3 habitaciones y 2 baños. Ubicada en una zona residencial próxima a la calle Cazorla, vía principal del entorno. Cerca de superficies comerciales, centros médicos y centros académicos.",True,good,False,False,2136.0,False,False,False,False,[],False,False,164500.0,€,flat,"Entrevías, Madrid",Piso en Rd Sur,Destacado,Entrevías,,,,
108510833,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/a0/a3/1347068902.webp,RP882025138992,9,4,132500.0,flat,sale,83.0,False,3,1,Villayuventus-Renfe,Madrid,Parla,Villayuventus-Renfe,es,40.2449725,-3.7635593,False,https://www.idealista.com/inmueble/108510833/,"IInversores, atención: ponemos a la venta estupenda vivienda en cuarta planta, de 88 m² construidos, actualmente alquilada, ideal para obtener rentabilidad desde el primer día. Esta distribuida en tres dormitorios, salón, cocina y baño completo. Actualmente se encuentra alquilada por 800 € mensuales y cuenta con seguro de impago, lo que garantiza una inversión segura y rentable desde el primer día. Ubicada en una zona consolidada, con todo tipo de servicios: transporte público, colegios, comercios y zonas verdes. Para más información o concertar una visita, no dude en ponerse en contacto con nosotros. ¡Una oportunidad perfecta para inversores!",False,good,False,False,1596.0,False,False,False,False,[],False,False,132500.0,€,flat,"Villayuventus-Renfe, Parla",Piso,Destacado,,,,,
108722862,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/68/77/1353197251.webp,RP792025139887,7,bj,295000.0,flat,sale,33.0,True,1,1,Barrio Guindalera,Madrid,Madrid,Barrio de Salamanca,es,40.436429,-3.6719441,False,https://www.idealista.com/inmueble/108722862/,"¡OPORTUNIDAD DE INVERSIÓN! REDPISO GUINDALERA-CARTAGENA le ofrece en venta exclusiva planta baja exterior de 33m² en Barrio de La Guindalera (Distrito Salamanca). Vivienda completamente reformada ¡OBRA A ESTRENAR! . Consta de salón-comedor con cocina americana, un dormitorio y un baño.  La vivienda está dotada de aire acondicionado con bomba de calor y agua caliente individual. Excelente ubicación. Finca situada en zona rodeada de todos los servicios: comercios, restaurantes, colegios, hospitales, etc.. . y a escasos metros perfectamente comunicada con transporte público: líneas de autobuses y metro Diego de León (Líneas 4,5 y 6). Cercano al intercambiador de Avenida de América. Muy buenas comunicaciones por carretera. Extraordinaria ocasión para entrar a vivir en uno de los barrios más emblemáticos de Madrid.  No dude en contactar con nosotros y concertar una visita. Disponemos de financiera propia. Aproveche su ASESORAMIENTO GRATUITO sin compromiso.",False,good,False,False,8939.0,False,False,False,False,[],False,False,295000.0,€,flat,"Guindalera, Madrid",Piso,Destacado,Guindalera,,,,
108746268,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/1b/20/1353897570.webp,RP2742025139913,4,5,340000.0,flat,sale,70.0,True,2,1,Barrio Parque oeste - Fuente Cisneros,Madrid,Alcorcón,Parque oeste - Fuente Cisneros,es,40.3416162,-3.8428316,False,https://www.idealista.com/inmueble/108746268/,"¡ REDPISO NUEVO ENSANCHE SUR VENDE VIVIENDA EN PARQUE OESTE! SITUADA EN UNA QUINTA PLANTA, ADAPTADA PARA P. M. R. , COMPUESTA DE 2 DORMITORIOS (ORIGINALMENTE 1), BAÑO, PLAZA DE GARAJE y TRASTERO, EN URBANIZACIÓN PRIVADA, CON PISCINA Y GIMNASIO, CON SERVICIO DE CONSERJERÍA Y ZONAS INFANTILES. La vivienda está ubicada en una quinta planta, en una de las mejores urbanizaciones de Parque Oeste. Cuenta con orientación Este / Oeste, sin edificios delante, haciendo que la vivienda sea especialmente luminosa, favoreciendo también la ventilación cruzada. Consta de 2 dormitorios. El principal cuenta con una gran amplitud y baño en suite. Dispone también de salón de PASO, cocina con tendedero cerrado con ventana. La vivienda en su totalidad cuenta con estancias muy cuadradas, favoreciendo así la distribución del mobiliario. En cuanto a calidades de la vivienda destacar sus suelos de tarima en todas las estancias, excepto en baño y cocina; y las puertas de roble. El baño ADAPTADO en suite cuenta con suelos de gres, Sobre las calidades exteriores destacar que todas las ventanas son de climalit, lo que permite mayor aislamiento, tanto térmico como acústico ¡LA VIVIENDA CUENTA ADEMÁS CON UNA PLAZA DE GARAJE y TRASTERO INCLUIDOS EN EL PRECIO! . Urbanización privada con servicio de conserjería, zonas infantiles, piscina, además de contar con una ubicación excelente en PARQUE OESTE, frente a la estación de cercanías de Las Retamas, cerca de la Universidad Rey Juan Carlos y del Hospital Fundación Alcorcón. Cuenta con todos los servicios necesarios para hacer de tu nueva vivienda una experiencia magnífica, además de contar con todo tipo de servicios como guarderías, colegios desde Infantil a Bachillerato, líneas de autobús urbano (L1 y L2), e interurbano (516) y (517) hacia Madrid – Cuatro Vientos. Salida directa a autovía A-5 y M-50, facilitando la conexión con todas las localidades del Sur y Noroeste de la Comunidad de Madrid, y situada a escasos metros de la zona comercial Parque Oeste. ¡ FINANCIACIÓN HASTA EL 100%! No dudes en contactar con nosotros para concertar una visita “Redpiso, tu hogar nuestro compromiso” **El precio no incluye el Impuesto de Transmisiones Patrimoniales (max. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni el 4% más IVA (21%) sobre el precio final del inmueble equivalente a los honorarios del comprador por la intermediación inmobiliaria, ni los gastos notariales y/o registrales (según el caso).",False,good,False,True,4857.0,False,False,False,False,[],False,False,340000.0,€,flat,"Parque oeste - Fuente Cisneros, Alcorcón",Piso,Destacado,Parque oeste - Fuente Cisneros,True,True,,
108526983,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/0b/fe/1347533095.webp,RP1382025139036,8,bj,159900.0,flat,sale,69.0,False,2,1,Parque Inlasa,Madrid,Parla,Parque Inlasa,es,40.2363143,-3.7791144,False,https://www.idealista.com/inmueble/108526983/,"REDPISO VENDE OPORTUNIDAD DE INVERSION: Acogedora vivienda construida en 1993 de 69m² con inquilina y contrato en vigor. La propiedad destaca por su amplio salón y su patio privado, creando un espacio luminoso y para disfrutar en cualquier época del año. La distribución consta de 2 dormitorios (una doble con armario), 1 baño completo con plato de ducha y mampara. La cocina con vitrocerámica de 4 fuegos. Entre sus cualidades destaca su suelo de tarima y la calefacción de gas natural, aportando calidad y calidez a cada estancia. Ubicada en una zona rodeada de todos los servicios necesarios: parque infantil, colegios, comercios y transporte público. ¡No pierdas la oportunidad de visitarla! Estaremos encantados de atenderle. Para más información sobre esta y otras propiedades, visite nuestra página web.",False,good,False,False,2317.0,False,False,False,False,[],False,False,159900.0,€,flat,"Parque Inlasa, Parla",Piso,Destacado,,,,,
107073540,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/43/e7/1302152535.webp,529-JC,1,bj,84990.0,flat,sale,60.0,True,2,1,calle Samaria,Madrid,Parla,Parque Inlasa,es,40.2395708,-3.7769635,False,https://www.idealista.com/inmueble/107073540/,"INMOBILIARIA JC TAMAYO, vende piso a reformar en la zona Parque Inlasa de Parla! La vivienda cuenta con 56 m2 aprox. se distribuye en dos habitaciones, 1 baño, salón comedor y cocina.  La vivienda se encuentra en una planta baja, NO SE PUEDE VER! SE ENCUENTRA ALQUILDA CON INQUILINOS. Para cualquier consulta o duda ponte en contacto con nosotros y te ayudamos!",False,renew,False,False,1417.0,False,False,False,False,[],False,False,84990.0,€,flat,"Parque Inlasa, Parla",Piso en calle Samaria,Destacado,,,,,
108723357,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b6/6f/41/1353211920.webp,RP792025139893,7,bj,275000.0,studio,sale,30.0,True,0,1,Barrio Guindalera,Madrid,Madrid,Barrio de Salamanca,es,40.4395361,-3.6726203,False,https://www.idealista.com/inmueble/108723357/,"¡OPORTUNIDAD DE INVERSIÓN! REDPISO GUINDALERA-CARTAGENA le ofrece en venta exclusiva planta baja exterior de 30m² en Barrio de La Guindalera (Distrito Salamanca). Estudio completamente reformado ¡OBRA A ESTRENAR! con cocina americana y un baño. La vivienda está dotada de aire acondicionado con bomba de calor y agua caliente individual. Excelente ubicación. Finca situada en zona rodeada de todos los servicios: comercios, restaurantes, colegios, hospitales, etc.. . y a escasos metros perfectamente comunicada con transporte público: líneas de autobuses y metro Diego de León (Líneas 4,5 y 6). Cercano al intercambiador de Avenida de América. Muy buenas comunicaciones por carretera. Extraordinaria ocasión para entrar a vivir en uno de los barrios más emblemáticos de Madrid.  No dude en contactar con nosotros y concertar una visita. Disponemos de financiera propia. Aproveche su ASESORAMIENTO GRATUITO sin compromiso.",False,good,False,False,9167.0,False,False,False,False,[],False,False,275000.0,€,flat,"Guindalera, Madrid",Estudio,Destacado,Guindalera,,,studio,
