propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,floor,exterior,neighborhood,hasLift
108241419,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/4d/ff/1339734667.webp,4941d146-ec38-42cf-957d-7df748b847a8,73,1350000.0,chalet,sale,400.0,5,5,calle San Gregorio,Madrid,Majadahonda,Zona Carretera del Plantío,es,40.4769348,-3.8612392,False,https://www.idealista.com/inmueble/108241419/,"En una ubicación privilegiada de Majadahonda, muy próximo al centro urbano y áreas verdes, se encuentra este chalet adosado único en la zona. RECIÉN REFORMADO. Una propiedad singular, pensada para quienes valoran el confort, la privacidad y el diseño. Déjate llevar... tu nuevo hogar te espera, listo para disfrutarlo desde el primer día. Distribuido en cuatro amplias plantas, esta propiedad destaca por su luminosidad, funcionalidad y espacios amplios bien distribuidos.  En la planta principal, un elegante salón con tres ambientes claramente diferenciados —uno de ellos presidido por una acogedora chimenea—, ofrece un ambiente cálido y sofisticado. Desde aquí se accede directamente a un magnífico porche techado con cierre eléctrico, ideal para disfrutarlo durante todo el año y a un jardín privado muy consolidado, perfectamente cuidado y con una exclusiva piscina de agua salada. El comedor se conecta directamente con una cocina moderna y funcional. Esta planta incluye también un aseo de cortesía. El acceso a las distintas plantas, se realiza a través de una escalera amplia, cómoda y bien integrada, que aporta funcionalidad al conjunto de la vivienda. En la primera planta con acceso a una soleada terraza, se encuentran dos espaciosos dormitorios con baño en suite, y dos dormitorios adicionales que comparten un cuarto de baño completo. Todas las estancias cuentan con armarios empotrados, ofreciendo una excelente capacidad de almacenamiento. La buhardilla, completamente acondicionada con aislamiento térmico, ofrece un espacio versátil y acogedor, con tres ventanas Velux equipadas con persianas y cortinas eléctricas, perfecto como sala de estar, estudio o zona de relax.  La planta baja ofrece una gran estancia polivalente con salida directa al jardín, una habitación con patio inglés y baño en suite, lavadero, trastero y acceso directo al garaje. Una propiedad excepcional, sin comparables en la zona, que combina ubicación, estilo, calidad de vida y una cuidada reforma. Porque hay casas que no se visitan, se sienten. Y esta está lista para empezar una nueva vida en familia.  Majadahonda es uno de los municipios más valorados del noroeste de Madrid, conocido por su excelente calidad de vida, entornos residenciales tranquilos, amplias zonas verdes y una completa oferta de servicios. Con una cuidada planificación urbana, colegios de prestigio, centros deportivos y zonas comerciales como el Centro Oeste o Gran Plaza 2, es una opción ideal para familias que buscan bienestar y comodidad sin renunciar a la cercanía de la capital. En cuanto a comunicaciones, Majadahonda cuenta con excelente conexión por transporte público y privado. La estación de Cercanías Renfe (línea C-10) conecta directamente con Madrid en menos de 20 minutos. Además, varias líneas de autobús comunican el municipio con Moncloa, Príncipe Pío y otros puntos clave de la capital. En coche, los accesos rápidos a la A-6, M-40 y M-503 facilitan una movilidad ágil tanto hacia Madrid como hacia otras zonas del oeste de la Comunidad.",True,good,False,3375.0,False,True,False,False,[],False,False,1350000.0,€,True,True,chalet,terracedHouse,"Zona Carretera del Plantío, Majadahonda",Chalet adosado en calle San Gregorio,Top,,,,,,,
108815152,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/36/f7/1357813872.webp,37d5b5ea-1041-4688-9da1-03f69f5483ac,73,820000.0,chalet,sale,300.0,6,5,calle de los Eucaliptos,Madrid,Rivas-Vaciamadrid,Rivas Urbanizaciones,es,40.3580645,-3.5320429,False,https://www.idealista.com/inmueble/108815152/,"Chalet pareado con piscina y jardín en la mejor zona de Rivas – Calle de los Eucaliptos Ponemos a la venta este magnífico chalet pareado situado en la exclusiva Calle de los Eucaliptos, una de las zonas más demandadas y residenciales de Rivas Vaciamadrid. Tranquilidad, calidad de vida, vistas despejadas y una excelente comunicación se unen en esta propiedad única. Ubicada en la parte alta de Rivas, junto al Parque Regional del Sureste, esta vivienda goza de una luz natural privilegiada y unas vistas excepcionales al entorno natural. La casa cuenta con tres plantas: planta baja con acceso sin escalones desde la entrada, primera planta y segunda, ofreciendo amplitud y versatilidad para adaptarse a diferentes estilos de vida. Distribución y características: 6 habitaciones, todas exteriores, luminosas y con buenas dimensiones 5 baños completos, distribuidos de forma funcional en toda la vivienda Salón-comedor amplio y acogedor, con salida directa al jardín privado Cocina independiente con zona de office, ideal para el día a día en familia Planta baja polivalente, con acceso directo desde la calle (sin barreras arquitectónicas), ideal como sala de juegos, despacho, zona de invitados o incluso vivienda independiente Jardín consolidado, con vegetación y espacios ideales para disfrutar al aire libre Piscina privada, perfecta para relajarse y disfrutar durante los meses cálidos Parking dentro de la parcela con capacidad para tres vehículos La vivienda se encuentra en excelente estado de conservación, lista para entrar a vivir. Ubicada en una calle tranquila, arbolada y rodeada de chalets similares, a pocos minutos de colegios, zonas comerciales, transporte público y accesos directos a la A-3.",True,good,False,2733.0,False,False,False,False,[],False,False,820000.0,€,True,True,chalet,semidetachedHouse,"Rivas Urbanizaciones, Rivas-Vaciamadrid",Chalet pareado en calle de los Eucaliptos,Top,870000.0,50000.0,6.0,,,,
107838857,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/35/4b/1325879311.webp,06f7307c-06b8-4ef7-85e2-95fe17d455fb,26,400000.0,studio,sale,40.0,0,1,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,40.4391815,-3.699373,False,https://www.idealista.com/inmueble/107838857/,"Descubre este encantador apartamento de 40 m² en el corazón de Almagro, Chamberí, Madrid. Recién reformado, ofrece una combinación perfecta de confort y estilo. La propiedad cuenta con un dormitorio acogedor y un baño moderno, ideal para una vida urbana práctica. Ubicado en un edificio clásico con ascensor, este apartamento es accesible para sillas de ruedas, garantizando comodidad para todos. Disfruta del aire acondicionado durante los cálidos veranos de Madrid y relájate en el balcón privado, un espacio perfecto para disfrutar de un café matutino. Totalmente amueblado, este hogar está listo para recibirte sin complicaciones. Aprovecha esta oportunidad única de vivir en uno de los barrios más codiciados de la ciudad, con una ubicación inmejorable cerca de servicios, tiendas y transporte público. ¡No dejes pasar esta oportunidad de vivir en Almagro! La propiedad se encuentra en el exclusivo barrio de Almagro, dentro del distrito de Chamberí, una de las zonas más elegantes de Madrid, que por algo es también conocido como el Triángulo de Oro. Muy cerca del emblemático Paseo de la Castellana, goza de una excelente comunicación gracias a la cercanía de varias estaciones de metro y autobuses. La zona dispone de una amplia oferta educativa con colegios concertados y privados. Está próximo a algunos de los más representativos puntos de interés turístico y zonas comerciales y de negocio de la capital, todo ello unido a la gran oferta de espacios gastronómicos muy de moda en Madrid. En el barrio de Almagro encontramos, además, varias embajadas y galerías o centros culturales tales como el Instituto Goethe, Centro Cultural Coreano, Fundación Norman Foster o el Instituto de cine.",True,good,False,10000.0,False,False,False,False,[],False,False,400000.0,€,,,flat,studio,"Almagro, Madrid",Estudio en calle de Santa Engracia,Top,,,,1,True,Almagro,False
108307603,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/1b/fe/1340217905.webp,BFO-V1390,14,169000.0,flat,sale,46.0,2,1,calle Guacamayo,Madrid,Madrid,Carabanchel,es,40.3889742,-3.7389818,False,https://www.idealista.com/inmueble/108307603/,"CONTACTAR CON EXTENSIÓN Nº2 Piso en venta junto al Metro de Vista Alegre – Inversión con rentabilidad garantizada Fantástica oportunidad de inversión en Carabanchel, ubicado a pocos pasos del Metro Vista Alegre (Línea 5), en una zona bien comunicada y con todos los servicios a mano: supermercados, colegios, centros de salud y zonas comerciales. La vivienda se encuentra en una primera planta sin ascensor, en un edificio del año 1945 con la Inspección Técnica de Edificios (ITE) favorable, lo que garantiza el buen estado estructural del inmueble. Cuenta con aproximadamente 50 m² construidos, distribuidos de forma cómoda y funcional: Distribución de la vivienda: Salón comedor con cocina integrada, que se abre a una agradable terraza exterior. 2 habitaciones, una doble y una simple. Cuarto de baño completo. Buen estado general, vivienda para entrar a vivir. Características destacadas: Buena orientación y ventilación natural. Edificio con pocos vecinos, entorno tranquilo. Actualmente alquilado, con un contrato vigente hasta el 1 de octubre de 2027, lo que ofrece una rentabilidad neta del 4,4%, ideal para inversores que buscan ingresos estables desde el primer día. Una propiedad con alta demanda de alquiler, bien ubicada y con rentabilidad asegurada. ¡No dejes pasar esta oportunidad de inversión en Madrid capital! Contáctanos para más información.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. )  Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",True,renew,False,3674.0,True,True,False,False,[],False,False,169000.0,€,,,flat,,"Vista Alegre, Madrid",Piso en calle Guacamayo,Top,,,,1,True,Vista Alegre,False
108653577,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/4b/e5/1351176469.webp,da69b501-ae98-41d5-af9e-b2c5a60115cb,46,1340000.0,chalet,sale,430.0,4,4,calle Gutiérrez Canales,Madrid,Madrid,San Blas,es,40.4477604,-3.6149243,False,https://www.idealista.com/inmueble/108653577/,"Descubre este impresionante chalet de 430 m² en una exclusiva casa adosada en La Piovera–Canillejas, San Blas, Madrid. Junto a la Clínica Universidad de Navarra y al parque Quinta de los Molinos y otros parques: Juan Carlos I y el parque del Capricho.  Distribuido en 4 plantas con ascensor, cada una de ellas cuenta con su propia terraza. Dispone además de una amplia bodega en el sótano, un solárium, 4 amplios dormitorios, 4 baños y 2 aseos. Equipada con sistema de domótica, esta vivienda es ideal para familias numerosas. El chalet cuenta con garaje con capacidad para varios coches. Se encuentra en buen estado y ofrece comodidades excepcionales como aire acondicionado, calefacción por gas y eléctrica, así como sistema de bomba de calor. Disfruta de un jardín privado y acceso a zonas comunes que incluyen jardín comunitario, piscina privada y piscina comunitaria. El edificio también dispone de zonas comunitarias de relax, la finca cuenta con portero, gimnasio, pista de squash, sauna, baño turco y zona comunitaria amplia con barbacoa. Zona de juego de niños. Amplia zona de reuniones y relax para los vecinos.  La vivienda es accesible para personas con movilidad reducida y cuenta con una zona destinada a celebraciones. El ascensor es de uso privado y exclusivo del chalet. Armarios empotrados amplios y un gran garaje completan esta propiedad funcional y confortable. La Piovera–Canillejas es una zona residencial tranquila y bien comunicada del distrito de San Blas, en Madrid. Ofrece una excelente calidad de vida, con zonas verdes, servicios, colegios y fácil acceso a principales vías y al aeropuerto. No pierdas la oportunidad de vivir en este oasis urbano con todas las comodidades modernas.",True,good,False,3116.0,False,True,False,False,[],False,False,1340000.0,€,True,True,chalet,terracedHouse,"Canillejas, Madrid",Chalet adosado en calle Gutiérrez Canales,Top,,,,,,Canillejas,
108825804,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/6c/3c/1352403939.webp,,28,2390000.0,chalet,sale,328.0,5,5,calle de San Enrique de Ossó,Madrid,La Moraleja,Encinar de los Reyes,es,40.5039512,-3.6348031,False,https://www.idealista.com/inmueble/108825804/,"QUARTIERS Expertos Inmobiliarios. Agents Immobiliers Français. Real Estate Services.  Quartiers presenta este bonito chalet pareado en El Encinar de los Reyes, dentro de una moderna urbanización con zonas verdes, piscina, zona infantil, club social, etc. El chalet se distribuye en amplios y luminosos espacios, y dispone de una agradable zona exterior con 2 porches, jardín privado con piscina (al que se accede desde el salón), y zona de comedor de verano con barbacoa. Su orientación sur le aporta mucha luz a todas las estancias. Además cuenta con dos terrazas, una en la primera planta y otra en el ático.  DISTRIBUCIÓN PLANTA BAJA: Hall de entrada, aseo de invitados, cocina equipada con electrodomésticos y zona de office, salón comedor con acceso al jardín privado y la piscina. PLANTA PRIMERA: 3 dormitorios con dos baños, el principal en suite. Dos de los dormitorios tienen salida a una terraza.  ÁTICO: Salón o dormitorio, baño. Terraza solarium de 12 m2. SEMISÓTANO: Dormitorio de servicio con baño, gimnasio, garaje privado (3 plazas),  CALIDADES: Suelos de mármol y tarima, calefacción de gas por suelo radiante y aire acondicionado por conductos, ventanas de aluminio. Carpintería interior lacada en blanco, paredes lisas.  ZONAS COMUNES: Zonas verdes, zona infantil, piscina infantil y de adultos, club social. Conserje y seguridad 24 horas.",True,good,False,7287.0,True,False,False,False,[],False,False,2390000.0,€,True,True,chalet,semidetachedHouse,"Encinar de los Reyes, La Moraleja",Chalet pareado en calle de San Enrique de Ossó,Top,,,,,,,
104379241,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/c8/eb/1218699424.webp,DS-P33010D,42,1350000.0,flat,sale,138.0,2,2,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,40.4354664,-3.7001673,False,https://www.idealista.com/inmueble/104379241/,"DIZA Consultores les presenta esta vivienda segregada con una reforma de lujo perfecto para alquilar. Se trata de una vivienda de 138m2 totales que ha sido dividida en dos propiedades exteriores con un dormitorio doble y un baño completo en ambos casos. Las cocinas se encuentran totalmente equipadas y abiertas a la zona del salón.  Tenemos una luz natural muy buena gracias a sus grandes ventanales.  Disponemos de calefacción central y aire acondicionado por conductos en todas las estancias. La finca cuenta con portero físico y ascensor. La ubicación es inmejorable, a un paso de la castellana. nmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,9783.0,False,False,False,False,[],False,False,1350000.0,€,,,flat,,"Trafalgar, Madrid",Piso en calle de Santa Engracia,Top,,,,7,True,Trafalgar,True
106892065,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/2a/04/1296901566.webp,DS-P66020,20,620000.0,flat,sale,68.0,2,2,calle de Ilustración,Madrid,Madrid,Moncloa,es,40.4205761,-3.7174646,False,https://www.idealista.com/inmueble/106892065/,"DIZA Consultores les presenta este encantador piso de 68 m² que combina comodidad y estilo en cada rincón.  Este luminoso apartamento cuenta con 2 acogedores dormitorios, con 2 baños completos, uno de ellos en suite. Su diseño funcional permite aprovechar al máximo cada espacio, brindando una atmósfera cálida y acogedora. La vivienda cuenta con un amplio salón-comedor con la cocina abierta totalmente amueblada y equipada con electrodomésticos de ultima generación.  No dejes pasar la oportunidad de visitarlo. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.. . Convertimos Sueños en Hogares.",False,good,False,9118.0,False,False,False,False,[],False,False,620000.0,€,,,flat,,"Argüelles, Madrid",Piso en calle de Ilustración,Top,,,,1,True,Argüelles,True
108003731,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/50/63/1341574501.webp,3f932aa8-c8bc-4082-9c6d-0f9cf9b69873,46,1545000.0,chalet,sale,545.0,4,3,paseo del Embajador,Madrid,Ciudalcampo,,es,40.6141381,-3.6094617,False,https://www.idealista.com/inmueble/108003731/,"El chalet ideal para tu familia, crea momentos inolvidables con tus familiares y amigos en un chalet majestuoso que te representa con lujo, confort y tranquilidad, la mejor zona, además a solo 30 minutos del centro de Madrid. Escríbeme para cita previa Ahora. Ciudalcampo, San Sebastián de los Reyes, Madrid. Con 545 m² de espacio habitable, esta propiedad en buen estado ofrece cuatro amplios dormitorios y tres baños bien equipados. Disfruta de la comodidad del aire acondicionado y un jardín privado que invita a relajarse. La casa cuenta con una terraza ideal para cenas al aire libre y un balcón con vistas despejadas. La cocina está completamente equipada, lista para tus creaciones culinarias. Además, incluye armarios empotrados y un garaje para mayor comodidad. Entre sus amenidades destacan el acceso para silla de ruedas, una piscina refrescante, y una zona de barbacoa perfecta para reuniones. El sistema de calefacción a gas garantiza un ambiente acogedor en invierno. También dispone de un trastero y aparcamiento compartido. Una oportunidad excepcional para vivir en una zona tranquila y bien conectada. ¡No dejes pasar esta oportunidad! En términos de servicios, Ciudalcampo está equipada con colegios de prestigio como el SEK International School, además de contar con pequeños comercios, restaurantes y zonas comunes para sus residentes. Su excelente ubicación, a pocos minutos de la A-1, permite un rápido acceso a Madrid y al aeropuerto Adolfo Suárez Madrid-Barajas, además de estar cerca de San Sebastián de los Reyes y Alcobendas, que ofrecen una amplia variedad de servicios adicionales. Vivir en Ciudalcampo significa disfrutar de un entorno seguro, rodeado de naturaleza y con todas las comodidades de una urbanización de alto nivel, ideal para familias y personas que valoran la privacidad y la exclusividad en su hogar.",True,good,False,2835.0,False,True,False,False,[],False,False,1545000.0,€,True,True,chalet,independantHouse,Ciudalcampo,Casa independiente en paseo del Embajador,Top,,,,,,,
107150334,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/78/d8/1305528241.webp,6377fc3d-1298-4cc7-bc8c-0ce7aea53739,43,1175000.0,flat,sale,169.0,3,2,calle de San Bernardo,Madrid,Madrid,Centro,es,40.4224492,-3.7063718,False,https://www.idealista.com/inmueble/107150334/,"Descubre este piso único en el corazón de Madrid, ubicado en la emblemática esquina de C. de San Bernardo con Gran Vía. Con una superficie de 169 m², esta propiedad recientemente reformada combina diseño contemporáneo y un toque clásico. Dispone instalación por conductos de aire acondicionado con bomba de calor marca Daikin. Suelos de parqué, carpintería interior con puertas lacadas en blanco, armarios empotrados y vestidos con luz interior. También cuenta con calefacción central y termo eléctrico para el agua caliente.  El piso cuenta con tres dormitorios amplios, ideales para acomodar a toda la familia, y dos baños modernos que ofrecen comodidad y funcionalidad.  La reforma ha integrado detalles de diseño que aportan luminosidad y una atmósfera acogedora. La vivienda se entrega amueblada tal y como se ve en el reportaje fotográfico.  La cocina podría entregarse equipada o dejarse sin amueblar. Disfruta del aire acondicionado canalizado, que garantiza el confort en cualquier época del año, y de la excelente distribución que maximiza cada metro cuadrado del espacio.  Gracias a las ventanas con vistas a Gran Vía, podrás contemplar la vibrante vida de esta icónica avenida desde la tranquilidad de tu hogar. No pierdas esta oportunidad de adquirir una vivienda que combina elegancia, ubicación inmejorable y todas las comodidades modernas.  Haciendo esquina con Gran Vía, se encuentra en el corazón del distrito Centro de Madrid, en el barrio Universidad (Malasaña). Esta ubicación privilegiada te sitúa a pasos de los teatros, tiendas, restaurantes y bares más emblemáticos de la capital. La Gran Vía, conocida como la arteria cultural y de ocio de la ciudad, ofrece una mezcla perfecta de historia y modernidad. Además, estarás perfectamente conectado con el resto de la ciudad mediante el transporte público, gracias a las estaciones de metro y autobús cercanas. Vive la experiencia del Madrid más auténtico y dinámico desde una localización que lo tiene todo. ¡Ven a visitarlo y descubre tu nuevo hogar en pleno centro de Madrid!",True,good,False,6953.0,False,False,False,False,[],False,False,1175000.0,€,,,flat,,"Malasaña-Universidad, Madrid",Piso en calle de San Bernardo,Top,,,,1,True,Malasaña-Universidad,True
