propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,district,neighborhood,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
96192494,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/b0/d9/1348300100.webp,F2121,39,1400000.0,countryHouse,sale,3483.0,20,20,Navas del Rey,Madrid,Navas del Rey,es,40.3607683,-4.2522703,False,https://www.idealista.com/inmueble/96192494/,"Magnífica finca de 115 ha a 55km de Madrid. Linda con un rio en uno de sus flancos y con un arroyo. Vallada con malla de espino con pilares de hormigón. Buen acceso.  Suministro de luz y agua. Además, tiene una laguna con carácter permanente, un arroyo estacional y acceso al río con el que linda.  Edificaciones construidas para rehabilitar: 3.483 m²: -Dos viviendas con jardín independiente y vallado -Tercera vivienda sin jardín con dependencias de labor (corral, etc) -Dos hileras de viviendas de menor tamaño -Dependencias varias de uso ganadero y agrario Actualmente se usa para caza menor (con toda la documentación vigente), apicultura y ganadería.",False,renew,False,402.0,False,False,False,False,[],False,False,1400000.0,€,countryHouse,countryHouse,Navas del Rey,Finca rústica,Destacado,,,,,,,,,,,
108734114,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/73/38/bf/1353567914.webp,CASESP0000168262,4,410550.0,flat,sale,96.0,4,2,"CL RIBADAVIA, 33",Madrid,Madrid,es,40.4728645,-3.7088785,True,https://www.idealista.com/inmueble/108734114/,"OPORTUNIDAD DE INVERSIÓN - INMUEBLE ALQUILADO Renta actual: 1.151, 64 €/mes - Fecha de fin de contrato: 02/2027 Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble. Piso a la venta en Madrid, zona Barrio del Pilar Vivienda ubicada en la planta primera de un edificio con ascensor. Dispone de 97 m2 distribuidos en 4 dormitorios, 2 baños, cocina y salón Situado en una zona rodeada de centro de educación infantil, primaria y secundaria. Además de centros de salud, farmacias y supermercados En cuanto a accesibilidad hay diversas paradas de autobús, así como la parada de metro Barrio del Pilar, y la M30.",False,good,False,4277.0,False,False,False,False,[],False,False,410550.0,€,flat,,"Pilar, Madrid","Piso en CL Ribadavia, 33",Destacado,1,True,Fuencarral,Pilar,True,,,,,,
108940945,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/73/05/bb/1359554517.webp,N-2076,18,180000.0,flat,sale,70.0,2,1,Navalafuente,Madrid,Navalafuente,es,40.822171,-3.6752804,False,https://www.idealista.com/inmueble/108940945/,"¡Rayan Consulting Inmobiliario VENDE EN EXCLUSIVA! Precioso piso del 2007. Altura de un primero a la calle y bajo saliendo por la cocina a terraza/patio con acceso directo a piscina y jardín. Entrada con armario empotrado forrado y vestido. Magnifica cocina amueblada con electrodomésticos y salida directa a terraza/patio de 12 m² con acceso directo a piscina y jardines. Salón comedor con balcón de suelo a techo con magnificas vistas. Orientación este, oeste. 2 hab, 1 baño. Ventanas aluminio batientes con doble cristal. Suelos gres, puerta principal acorazada. Carpintería interior en robe. Calefacción pellet y calor azul. MUY LUMINOSO. Garaje para 1 coche grande. No dispone de trastero. Zonas comunes: jardín, piscina. I. B. I. 235,64€ año. Comunidad 76,09€/mes. Para más información contactar con su asesor inmobiliario Natalia Manzanares.",False,good,False,2571.0,False,False,False,False,[],False,False,180000.0,€,flat,,Navalafuente,Piso,Destacado,bj,True,,,False,True,True,,,,
107755666,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/b0/81/1322381562.webp,IDE1250328,36,670000.0,chalet,sale,120.0,3,3,Sector S,Madrid,Boadilla del Monte,es,40.4064806,-3.8842434,False,https://www.idealista.com/inmueble/107755666/,"VOhome propiedades ofrece este maravilloso chalet pareado en venta en el Sector S. La vivienda se distribuye en cuatro plantas: Planta principal: consta de hall recibidor, aseo de cortesía, cocina con office y salón-comedor con doble salida a un amplio jardín privado de 86 m². Primera planta: zona de descanso compuesta por 3 dormitorios y 2 baños completos, uno de ellos en suite en la habitación principal. Buhardilla: amplia estancia diáfana ideal como espacio de ocio, despacho o dormitorio adicional, con acceso a una terraza privada. Área de aparcamiento subterráneo: acceso privado al box garaje con capacidad para dos vehículos y conexión directa con la vivienda. Características adicionales: • Orientación Este/Oeste • Calefacción individual de gas natural • Finca del año 1999 • Urbanización con conserjería, piscina comunitaria al aire libre, zona de solarium y cuidadas zonas ajardinadas Gastos: • Comunidad: 125€/mes  • IBI: 580€/año  ¡No dude en venir a visitarla! Nosotros: En VOhome, queremos que se sienta como en casa. Con más de 10 años de experiencia en el sector y un equipo de más de 150 profesionales, hacemos que la compra de su inmueble sea más fácil. Para ello, contamos con diferentes servicios, propios y externalizados, como son: • Departamento financiero que le asesora completamente gratis en la obtención de su hipoteca, buscando siempre las mejores condiciones. • Departamento de Arquitectura, Jurídico y Gestión de mudanzas y guardamuebles. • Departamento de reformas y decoración, para ayudarle a convertir su inmueble en el hogar ideal. Contacte con nosotros para concertar una visita o solicitar más información. ¡No pierda la oportunidad!  En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales, Notaría-Gestoría, Registro, y/o financiera).",False,good,False,5583.0,False,False,False,False,[],False,False,670000.0,€,chalet,semidetachedHouse,"Sector S, Boadilla del Monte",Chalet pareado,Destacado,,,Sector S,,,,,,,,
108656265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/33/2d/1351273653.webp,00042,22,195000.0,flat,sale,67.0,3,1,El Arroyo - La Fuente,Madrid,Fuenlabrada,es,40.2758453,-3.7977886,False,https://www.idealista.com/inmueble/108656265/,"ESALJE INMOBILIARIA comercializa Inmueble en Fuenlabrada zona Arroyo SIN COMISIONES Vivienda reformada ubicada en 1º planta con ascensor, muy luminosa y consta de 83 m/2, distribuidos en hall, salón comedor, 3 dormitorios, cocina y baño. Próxima a centro médico, colegios e institutos, supermercados, zonas de restauración, parques, zona con gran demanda. La población tiene buen acceso a la A-42 (Madrid-Toledo) y M50, cuenta con Renfe Cercanías y Hospital. No dejes escapar esta gran oportunidad. Contacta con nosotros hoy mismo para ofrecerte amplia información y visitar el inmueble. "".",False,good,False,2910.0,False,False,False,False,[],False,False,195000.0,€,flat,,"El Arroyo - La Fuente, Fuenlabrada",Piso,Destacado,1,True,El Arroyo - La Fuente,,True,,,,,,
106638787,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/93/4e/1289546370.webp,IDE4301030,38,3200000.0,chalet,sale,674.0,6,6,Las Lomas,Madrid,Boadilla del Monte,es,40.4359937,-3.9008724,False,https://www.idealista.com/inmueble/106638787/,"Chalet Independiente en venta, en Las Lomas, Boadilla del Monte, Madrid. Exclusiva y extraordinaria casa independiente de 674 m² con un diseño exclusivo, calidades y confort con de estilo único y moderno en medio de un entorno de mar y naturaleza viva sobre una parcela de 2.900 m² perfectamente consolidada. Esta impresionante casa de dos plantas se ubica en una de las zonas con más prestigiosas de Boadilla del Monte. Esta vivienda de lujo ofrece una alta calidad de vida y garantiza tranquilidad para disfrutar en temporada de verano o durante todo el año. Además, sobre la misma parcela, destacamos que cuenta con una vivienda tipo loft y garaje con espacio suficiente para 3 coches. Piscina de diseño, pistas deportivas, parque infantil y consolidada zona verdea. La vivienda principal se distribuye de la siguiente manera: Amplio hall de entrada que da acceso a espacio multifuncional creado por el salón comedor, sala de estar, zona de televisión y comedor, todos comparten el mismo espacio jugando con barreras físicas y visuales para independizar los ambientes y dotarlos de personalidad propia. Amplios ventanales permiten la fusión del interior con el jardín exterior, además de dotarlo con la entrada de abundante luz natural. En esta planta se encuentra la zona destinada a descanso 4 amplios dormitorios con armarios empotrados a excepción de uno, en la actualidad despacho y sala Multiusos.  3 baños completos + 1 aseo. 2 de ellos en suite. En la primera planta dispone de 2 dormitorios en suite, uno de ellos la master suite con vestidor y baño completo con jacuzzi y ducha. Destacamos el detalle como el diseño completo en mármol. MEJORAS: Electricidad y fontanería nuevo Acometidas generales y secciones nuevas Cubierta y aislamiento Carpintería maciza en puertas interiores y principal blindada Cerámica interior Ventanales Cortizo Suelo radiante/refrescante por aerotermia en todas las estancias con termostato independiente en cada una de ellas. No dude en venir a visitarla. NOSOTROS: En VOhome queremos que se sienta como en casa. Con más de 10 años de experiencia en el sector y más de 150 profesionales que con toda la ilusión, la actitud y la profesionalidad hacemos que la compra de su inmueble sea más fácil. Para ello, contamos con diferentes servicios, propios y externalizados, como son: Departamento financiero que asesora gratis. Le aclaramos cuál sería la mejor opción para poder obtener su hipoteca. Siempre intentando conseguirle las mejores condiciones. Departamento de Arquitectura, Jurídico y Gestión de mudanzas y guardamuebles. También, departamento de reformas y decoración, que le asesorará y hará de su inmueble un hogar ideal. No dude en contactar con nosotros para concertar una visita o también, si lo prefiere, solicitar más información. ¡No pierda la oportunidad! Puede contactar llamando a nuestra oficina en el  VOhome propiedades es tu inmobiliaria de confianza.",False,good,False,4748.0,False,False,False,False,[],False,False,3200000.0,€,chalet,independantHouse,"Las Lomas, Boadilla del Monte",Casa independiente,Destacado,,,Las Lomas,,,,,,,,
108397366,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/56/b0/1342981401.webp,,7,1750000.0,flat,sale,125.0,3,3,calle de O'Donnell,Madrid,Madrid,es,40.420721,-3.6697051,False,https://www.idealista.com/inmueble/108397366/,"Extraordinario piso ubicado en una de las zonas más demandadas de Madrid, muy cerca del parque de el Retiro. Este piso exterior en el barrio de Ibiza ofrece una excelente distribución con 3 dormitorios, los tres con baño en suite, mas aseo de cortesía. La vivienda que esta en la tercera planta, destaca por su luminosidad natural, gracias a su orientación y dos balcones que dan hacia la calle Odonell. El salón y la cocina, totalmente equipada, con las mejores calidades, ofrecen un espacio cómodo y funcional. Se entrega amueblado, listo para entrar a vivir. Una propiedad ideal tanto como residencia habitual como inversión, en una ubicación privilegiada a pocos pasos del Parque del Retiro y rodeada de todos los servicios. Cabe destacar que actualmente se encuentra en proceso de reforma, siendo este un proyecto dirigido por uno de los mejores estudios de Madrid.",False,good,False,14000.0,True,False,False,False,[],False,False,1750000.0,€,flat,,"Ibiza, Madrid",Piso en calle de O'Donnell,Destacado,3,True,Retiro,Ibiza,True,,,,,,
108094312,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/15/0d/1363314764.webp,1091,12,285000.0,flat,sale,62.0,2,1,Alcobendas Centro,Madrid,Alcobendas,es,40.5448452,-3.6439974,False,https://www.idealista.com/inmueble/108094312/,"¡Reserva ya tu vivienda de obra nueva desde 165.000€! Se comercializan estudios y pisos de 1 y 2 dormitorios sobre plano, en un moderno proyecto en construcción ubicado junto al Paseo de la Chopera, en una de las zonas con mayor proyección de Alcobendas. Una oportunidad única para vivir o invertir en una vivienda eficiente, bien conectada y con excelentes calidades. Características de las viviendas: Estudios: (SOLD OUT) Viviendas de 1 dormitorios (SOLD OUT) Viviendas 2 dormitorios en 285.000€ disponible Plantas bajas accesibles, adaptadas para personas con movilidad reducida. Salón luminoso con cocina americana, equipada con electrodomésticos básicos y acabados funcionales y modernos. Baño completo con plato de ducha y materiales actuales. Excelente iluminación natural en todas las estancias. Trastero incluido en el precio (superficie superior a 4 m²).  Calidades y diseño del edificio: Arquitectura contemporánea y distribución eficiente. Viviendas con orientación Norte o Sur (según unidad). Proyecto de alta eficiencia energética. Materiales de construcción y acabados de gama actual y duradera.  Ubicación privilegiada: A pocos metros de Paseo de la Chopera, Marqués de la Valdavia y Avda. de España. Rodeado de comercios, colegios, zonas verdes y todos los servicios. Excelente conexión con transporte público (metro y autobuses).  Ideal para: Parejas o familias que buscan su primer hogar. Inversores que desean una propiedad con alta rentabilidad en el centro de Alcobendas. -Entrega en el 1º Trimestre del 2026. Las imágenes, infografías o recreaciones virtuales incluidas en este anuncio son meramente ilustrativas y no tienen carácter contractual. Pueden no corresponderse de forma exacta con la distribución, acabados o superficies finales de la vivienda. ¡No pierdas la oportunidad de estrenar tu nuevo hogar! Contacta con nosotros para más información sobre esta y otras viviendas disponibles. Nota: Las imágenes utilizadas en este anuncio tienen un carácter meramente orientativo. La Diferencia Esta En Los Pequeños Detalles.",False,good,False,4597.0,True,False,False,False,[],False,False,285000.0,€,flat,,"Alcobendas Centro, Alcobendas",Piso,Destacado,bj,True,Alcobendas Centro,,False,,,,,,
109135837,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fe/88/86/1365408997.webp,020015,28,219000.0,flat,sale,83.0,4,1,Humanes de Madrid,Madrid,Humanes de Madrid,es,40.2546088,-3.8254217,False,https://www.idealista.com/inmueble/109135837/,"prolucisa inmobiliaria Moraleja de enmedio vende. vivienda de 4 dormitorios. con armarios empotrados. completamente amueblado. piso soleado planta baja. todo exterior. con todos los servicios colegios, tiendas, supermercados, centro de salud, muy cerca de renfe central. parada de autobús, comodidad absoluta para sus necesarias diarias.  suelos de parquet, en todas las estancias menos en cocina y baño que es de gres. baño reformado con plato de ducha. ventanas abatibles de aluminio blanco, con climalit oscilobatiente. excelente aislamiento acústico y térmico.  tuberías cambiadas, se vende completamente amueblado con electrodomésticos incluidos. gran oportunidad de compra. En Prolucisa estamos convencidos de que la compra de una propiedad conlleva una decisión muy importante, por lo que estaremos acompañándote hasta el momento de escrituración, haremos todo el trayecto contigo. Proporcionamos asistencia, asesoramiento legal y disponemos de financiero que le ayudará a conseguir la mejor hipoteca. Póngase en contacto para concertar una visita hoy mismo. Prolucisa s. l. Teléfono comercial:  e-mail:.",False,good,False,2639.0,False,False,False,False,[],False,False,219000.0,€,flat,,Humanes de Madrid,Piso,Destacado,bj,True,,,False,,,,,,
107305387,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/6d/c6/1309011335.webp,11496,47,510000.0,flat,sale,196.0,5,3,Juan de Austria,Madrid,Alcalá de Henares,es,40.4870631,-3.3581155,False,https://www.idealista.com/inmueble/107305387/,"Alcalá de Henares. Zona Juan de Austria. Espectacular piso de 196 m2, para entrar a vivir, ubicado cerca del centro de la ciudad. Dispone de 5 dormitorios (4 de ellas con armario empotrado y aire acondicionado), 2 baños completos (1 ubicado en el dormitorio principal), aseo, cocina amueblada con electrodomésticos + zona de office y aire acondicionado, amplio salón independiente, 2 terrazas. Suelo parquet, puertas macizas de roble, pintura en liso, ventanas de aluminio oscilobatientes, ZONAS COMUNES CON PISCINA. Plaza de garaje + trastero incluidos en el precio. MEJOR VER.",False,good,False,2602.0,False,False,False,False,[],False,False,510000.0,€,flat,,"Juan de Austria, Alcalá de Henares",Piso,Destacado,4,True,Juan de Austria,,True,True,True,,,,
