propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108685863,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/42/5a/1352118730.webp,ONM2502004,21,4,826086.0,flat,sale,75.0,True,1,1,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4366164,-3.7009118,False,https://www.idealista.com/obra-nueva/108685863/,"Descubre esta gran oportunidad de inversión. Proyecto residencial de Obra Nueva ubicado en la calle Santa Engracia, en pleno corazón de Madrid, en el Barrio de Chamberí, donde se fusionan la elegancia clásica y la modernidad vanguardista. El edificio está compuesto por 14 apartamentos de 1 y 2 dormitorios, incluyendo un magnífico ático dúplex de 2 dormitorios con terraza y piscina. Existe la posibilidad también de unir 2 viviendas, obteniendo así amplios apartamentos de 2 dormitorios en suit. Además, el edificio cuenta con amenities, gimnasio y sala de ocio o business center. ¿Te imaginas vivir aquí?",False,newdevelopment,True,True,False,11014.0,True,False,False,False,[],False,False,826086.0,€,flat,"Almagro, Madrid",Piso,Top,,,,,,,
107333453,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/e8/d3/1310979275.webp,ef2849fb-4c0d-4415-8df5-5a5be4497550,52,4,279900.0,flat,sale,82.0,True,3,1,calle de Puentelarra,Madrid,Madrid,Villa de Vallecas,es,Santa Eugenia,40.378887,-3.6105943,False,https://www.idealista.com/inmueble/107333453/,"Luminoso y acogedor piso en Santa Eugenia, Villa de Vallecas, Madrid, ideal para quien busca tranquilidad, comodidad y calidad de vida.  Su ubicación es inmejorable, a pocos minutos del Hospital Infanta Leonor y con excelentes conexiones de metro y autobús para desplazarse fácilmente por la ciudad. La vivienda destaca por su luminosidad y ambiente tranquilo. Con 82 m², esta propiedad en buen estado ofrece un espacio ideal para familias con sus 3 dormitorios y 1 baño. O para adaptar a sus necesidades, ya sean como dormitorios, despacho o sala de juegos. La cocina equipada y los armarios empotrados facilitan la organización y el confort diario. El confortable salón da acceso a una encantadora terraza con vistas a un jardín, perfecta para momentos de relax.  Con muy buenas posibilidades de reforma, ideal para personalizarlo a tu gusto y crear el hogar que siempre has soñado. Posibilidad de instalar Gas Natural. Situado en un edificio accesible para personas en silla de ruedas y equipado con ascensor, este piso asegura fácil acceso para todos. No pierdas la oportunidad de visitarlo. Te encantará su entorno tranquilo y gran potencial. Ubicado en el corazón de Villa de Vallecas, el barrio de Santa Eugenia destaca por su ambiente familiar y su completa oferta de servicios. Con calles tranquilas y espacios verdes, esta zona residencial es ideal para familias y profesionales que buscan calidad de vida sin renunciar a la conexión con el centro de Madrid. Santa Eugenia cuenta con colegios, centros de salud, comercios y zonas de ocio, lo que facilita el día a día y fomenta un fuerte sentido de comunidad. Su estratégica ubicación y excelente red de transporte público permiten un fácil acceso a las principales vías de la capital. Vivir en Santa Eugenia es disfrutar de un entorno seguro y acogedor, donde la tradición se une a la modernidad para ofrecer un estilo de vida equilibrado y pleno en Madrid.",True,good,False,True,,3413.0,True,True,False,False,[],False,False,279900.0,€,flat,"Santa Eugenia, Madrid",Piso en calle de Puentelarra,Top,,,,,,,
108590611,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/62/b5/1349332034.webp,M11734V,55,6,1325000.0,flat,sale,134.0,False,3,3,calle de Narváez,Madrid,Madrid,Retiro,es,Ibiza,40.4144026,-3.6772617,False,https://www.idealista.com/inmueble/108590611/,"Experimente la vida urbana en este elegante piso de 134 m² recién reformado a estrenar, situado en la codiciada zona de Ibiza. Esta excepcional propiedad se encuentra en la sexta planta de un edificio moderno de 1969, que ofrece un servicio de conserjería para su tranquilidad. La vivienda se distingue por una distribución optimizada, presentando tres amplios dormitorios, de los cuales dos son suites con baño privado, y un baño completo adicional. Este diseño versátil es ideal para quienes buscan un espacio generoso y adaptable. El interior de la propiedad ha sido objeto de una reforma integral, donde cada detalle ha sido cuidadosamente considerado para ofrecer un ambiente de sofisticación y confort. Se entrega completamente amueblada y equipada con mobiliario de diseño actual y acabados de alta calidad. El salón se integra fluidamente con una luminosa terraza con orientación oeste, un espacio perfecto para el relax y el entretenimiento. La cocina está equipada con electrodomésticos de última generación, y la vivienda incluye un práctico trastero, maximizando la funcionalidad. La ubicación es inmejorable, en el prestigioso barrio de Ibiza, a escasos metros del icónico Parque del Retiro. Esta proximidad le permite disfrutar de un entorno natural privilegiado, ideal para paseos o actividades al aire libre, sin renunciar a las ventajas de la vida urbana. La zona cuenta con una exquisita oferta gastronómica, boutiques exclusivas y una rica propuesta cultural, todo ello accesible cómodamente a pie, garantizando una experiencia de vida cómoda y vibrante. Adquirir esta propiedad no solo significa invertir en un hogar de diseño y calidad superior, sino también en un estilo de vida privilegiado en una de las zonas más deseadas de Madrid. Su ubicación estratégica, junto a las prestaciones y acabados de lujo del inmueble, aseguran una rentabilidad a largo plazo y un confort incomparable. En Walter Haus, estamos a su disposición para acompañarle en el proceso de descubrir su próxima propiedad. Las fotografías presentadas son de un piso similar de los mismos arquitectos y en la misma finca, el resultado final de la reforma será bastante parecido al de las fotos. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",False,good,False,True,,9888.0,True,False,False,False,[],False,False,1325000.0,€,flat,"Ibiza, Madrid",Piso en calle de Narváez,Top,,,,,,,
108683450,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/a0/8d/1352037043.webp,P1 1ºA,2,1,399000.0,flat,sale,99.0,True,3,2,"avenida de las Gardenias, 2",Madrid,Fuenlabrada,Universidad - Hospital,es,,40.2939301,-3.8264731,True,https://www.idealista.com/obra-nueva/108683450/,"Promoción de 62 viviendas en El Vivero, Fuenlabrada Nueva promoción de 62 viviendas en una de las zonas más demandadas de Fuenlabrada: El Vivero.  Viviendas de 2, 3 y 4 dormitorios, todas con plaza de garaje y trastero. Disfruta de unas completas zonas comunes con piscina, perfectas para toda la familia. Una urbanización pensada para el confort, la tranquilidad y el día a día. Buena conexión con transporte público, zonas verdes, centros educativos y todos los servicios a un paso. Tu nuevo hogar en Fuenlabrada empieza aquí. Infórmate sin compromiso.",False,newdevelopment,True,True,False,4030.0,True,False,False,False,[],False,False,399000.0,€,flat,"Universidad - Hospital, Fuenlabrada","Piso en avenida de las Gardenias, 2",Top,True,True,,,,,
104588621,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/d3/7d/1225456414.webp,4ª B,9,4,1882600.0,flat,sale,139.0,True,2,3,"Blanca de Navarra, 4",Madrid,Madrid,Chamberí,es,Almagro,40.4287387,-3.6932683,True,https://www.idealista.com/obra-nueva/104588621/,"¡Descubre tu nuevo hogar en el corazón de Almagro! Este espectacular piso de obra nueva, ubicado junto al emblemático Paseo de la Castellana, ofrece una combinación perfecta de modernidad y confort. Con 139 m² construidos, esta vivienda de 2 dormitorios y 3 baños es ideal para quienes buscan un espacio amplio y luminoso.  Imagina disfrutar de tu tiempo libre en la terraza con piscina o mantenerte en forma en el gimnasio del edificio. Además, cada vivienda incluye un trastero sin coste adicional y la opción de adquirir una plaza de garaje electrificada por solo 80.000 €. La calidad y garantía del Grupo Rosales aseguran que cada detalle esté cuidado al máximo. Con entrega de llaves inmediata y una calificación energética B, este piso no solo es un lugar para vivir, sino un estilo de vida. ¡No pierdas la oportunidad de ser parte de esta exclusiva promoción! Ven a visitarlo y déjate seducir por todo lo que tiene para ofrecer.",True,newdevelopment,True,True,False,13544.0,True,False,False,False,[],False,False,1882600.0,€,flat,"Almagro, Madrid","Piso en Blanca de Navarra, 4",Top,True,False,80000.0,,,,
102907781,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/dd/35/1189594829.webp,DS-P77551,34,2,695000.0,flat,sale,120.0,True,3,2,calle de Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4257139,-3.6722559,False,https://www.idealista.com/inmueble/102907781/,"¡ ¡ ¡ ¡ N U D A P R O P I E D A D! DIZA consultores les presenta la venta de la NUDA PROPIEDAD de luminoso piso en calle Goya. La nuda propiedad es cuando alguien es dueño de un bien pero no puede usarlo ni vivir en él, porque otra persona tiene ese derecho. Por ejemplo, alguien puede comprar una casa, pero dejar que otra persona viva en ella hasta que fallezca. Solo cuando esa persona fallezca, el dueño puede usar la casa. En la segunda planta de un edificio construido a principios del siglo XX, se encuentra esta vivienda para reformar de 120 metros cuadrados.   La vivienda se encuentra para reforma total, pudiendo quedar un piso de tres dormitorios con dos cuartos de baño.  La finca cuenta con ascensor.  El barrio Salamanca es una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",False,renew,False,True,,5792.0,True,False,False,False,[],False,False,695000.0,€,flat,"Goya, Madrid",Piso en calle de Goya,Top,,,,,,,
108587068,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/ab/8d/1349231474.webp,W-030HBR,25,,895000.0,duplex,sale,142.0,True,3,2,El Soto de la Moraleja,Madrid,La Moraleja,El Soto de la Moraleja,es,,40.5232981,-3.6348601,False,https://www.idealista.com/inmueble/108587068/,"Magnifico Duplex con jardín en el Soto de la Moraleja Engel & Volkers vende en EXCLUSIVA este magnífico dúplex de 3 dormitorios de 150 m2 más 40 m2 de jardín. La planta principal nos recibe con un pequeño recibidor que da acceso a la cocina totalmente equipada y a un salón comedor con una preciosa chimenea. Existe la posibilidad de hacer un pequeño aseo de cortesía en esta planta. Desde el salón bajamos a un precioso jardín rodeado de jazmín de aprox 40m2 con un pequeño trastero. La planta de abajo, que se accede desde el comedor, se centra en la zona de descanso con 3 dormitorios, uno principal y otros dos más pequeños y dos baños, con posibilidad de unirlos en suite. La propiedad cuenta con preinstalación de aire acondicionado y calefacción individual de gas. La casa incluye en el precio un trastero ubicado debajo de la casa y dos plazas de garaje, una interior y otra exterior con posibilidad de alquilar dos plazas interiores más. La finca cuenta con portero y piscina. La Moraleja es el área residencial de lujo por excelencia de Madrid y la más conocida de España. Se sitúa en la zona Norte de la capital y está compuesta por La Moraleja, El Soto de la Moraleja y El Encinar de los Reyes. Según algunas publicaciones de prestigio mundial, La Moraleja es la mejor urbanización del mundo, teniendo en cuenta sus cualidades: situada a 10 minutos del centro de Madrid y a 5 minutos de la Terminal Internacional 4 del Aeropuerto Adolfo Suárez Barajas, en el término municipal de Alcobendas. Tiene una extensión de 950 hectáreas, con 1.050 viviendas independientes sobre parcelas de 1.500, 2.500 y 10.000 m2 y con 400 chalets adosados en nueve urbanizaciones diferentes. La Moraleja cuenta con el mayor número de colegios privados nacionales e internacionales de toda España, entre otros, el International College, King’s College, San Patricio, Runymede, Los Sauces, Brains, Saint George, Highlands, Aldovea, Liceo Europeo…. Acoge además uno de los dos campus que la Universidad Europea de Madrid tiene en la Comunidad de Madrid. Cuenta asimismo con varios centros comerciales y médicos, dos campos de golf de 18 hoyos, club de tenis, club de paddle, y una de las ofertas gastronómicas más atractivas de Madrid. Hay que destacar La Plaza de la Moraleja, donde se encuentran los principales y más prestigiosos restaurantes de Madrid (A’Kangas, La Máquina, Aurea, La Penela, Sushi99), cafeterías como Pino, Embassy o farmacia y bancos. La Moraleja es un área que goza de gran seguridad gracias al sistema de alarmas que está conectado con la Entidad de Conservación de La Moraleja y las garitas de seguridad ubicadas en las diferentes entradas de acceso a la zona. Vivir en la Moraleja significa calidad, exclusividad y comodidad en un entorno inigualable y con los mejores servicios.",True,good,False,False,,6303.0,True,False,True,False,[],False,False,895000.0,€,flat,"El Soto de la Moraleja, La Moraleja",Dúplex,Top,True,True,,950000.0,55000.0,6.0,duplex
108717633,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/53/bc/1353039908.webp,,33,2,629900.0,flat,sale,131.0,True,4,2,calle Secundino Zuazo,Madrid,Boadilla del Monte,Sector B,es,,40.4033126,-3.8929595,False,https://www.idealista.com/inmueble/108717633/,"AGENCIA INMOBILIARIA HOGARES BOADILLA DEL MONTE presenta este FABULOSO PISO de 130 m² construidos en el corazón del SECTOR B.  Ubicado en una urbanización privada con conserje, piscina, zonas comunes y todos los servicios a un paso, este piso destaca por su excelente distribución, gran luminosidad y una orientación privilegiada que garantiza luz natural durante todo el día. La vivienda, originalmente de cuatro dormitorios, ha sido reformada para ofrecer espacios más amplios y funcionales, distribuyéndose en una sola planta de forma cómoda y práctica: Nada más acceder, encontramos un hall recibidor que nos da la bienvenida y conecta con una amplia y luminosa cocina independiente, con gran capacidad de almacenaje y acceso a una práctica zona de tendedero cubierto. Desde el hall también accedemos a un amplio y luminoso salón comedor, lleno de luz gracias a sus amplios ventanales y con salida directa a una generosa terraza de aproximadamente 10 m², perfecta para disfrutar del aire libre. La zona de descanso se encuentra perfectamente separada mediante un pasillo que nos conduce a tres habitaciones. Dos de ellas, de buen tamaño, comparten un baño completo, y la habitación principal cuenta con baño en suite. Además, la cuarta habitación original se ha reconvertido en una práctica zona de vestidor y despacho, ideal como espacio de trabajo o almacenamiento adicional. La vivienda cuenta con aire acondicionado por conductos, reformas en baños, paredes en liso, doble ventana con mosquitera y carpinterías lacadas en blanco, además de una cómoda plaza de garaje y trastero incluidos en el precio. La urbanización dispone de piscina comunitaria, zonas ajardinadas y espacios comunes para el disfrute de toda la familia, en un entorno tranquilo, seguro y familiar. Situado en una de las zonas mejor comunicadas de Boadilla del Monte, con fácil acceso a la M-50, M-40, A-6, A-5 y M-501, muy cerca de transporte público, supermercados, restaurantes y una amplia oferta educativa, con centros como Mirabal International School, St. Michael’s, Virgen de Europa, EuroCasvi y Endaze School, entre otros. ¡Una oportunidad única para vivir en uno de los mejores entornos residenciales de Boadilla! ¡No dudes en visitar tu nuevo hogar, te encantará!",True,good,False,True,,4808.0,True,True,False,False,[],False,False,629900.0,€,flat,"Sector B, Boadilla del Monte",Piso en calle Secundino Zuazo,Top,True,True,,,,,
107491784,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/20/57/1314231854.webp,ONM2411005,23,2,1900000.0,flat,sale,210.0,True,4,4,Barrio Fuente del Berro,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4239652,-3.6643265,False,https://www.idealista.com/obra-nueva/107491784/,"El exclusivo bloque de 10 viviendas de lujo en Jorge Juan 171, en pleno centro de Madrid. Este proyecto ofrece 2 áticos con impresionantes vistas y amplias terrazas, 2 bajos con jardín privado y 6 elegantes apartamentos con balcones. - Viviendas con Calefaccion y refrigeracion por Geotermia - Cocinas completamente equipadas con electrodomésticos y muebles de alta gama. - Planta superior con piscina y solárium como parte de sus zonas comunes. - Cada vivienda tiene incluido en el precio 2 plazas de Garaje y un Trastero. Vive la excelencia en un entorno privilegiado, rodeado de todas las comodidades y con acabados de vivienda de primera calidad. ¿Te imaginas vivir aquí? Fuente del Berro es muy similar a la Urbanización “La Finca”, aunque con una ubicación más céntrica en pleno corazón de Madrid. Su ubicación no puede ser más perfecta, se encuentra en plena Barrio de Salamanca, entre la Calle Goya y la Calle de Doctor Esquerdo y es la zona elegida como residencia de muchos políticos y artistas. Es un barrio residencial, tranquilo y seguro, con zonas ajardinadas ideales para familias con niños.",False,newdevelopment,True,True,False,9048.0,True,False,False,False,[],False,False,1900000.0,€,flat,"Fuente del Berro, Madrid",Piso,Top,True,True,,,,,
108778738,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/74/8c/7e/1354864451.webp,DS-P33107,18,2,2189000.0,flat,sale,160.0,True,3,3,calle de Ayala,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4278632,-3.6735158,False,https://www.idealista.com/inmueble/108778738/,"DIZA Consultores les presenta luminoso recién reformado en Ayala. En la segunda planta de un edificio construido a mediados del siglo XX, se encuentra este luminoso piso de 160 metros. La zona noble goza de muchísima luz durante todo el día gracias a los grandes ventanales y altura. Está compuesta por un salón-comedor con cocina integrada totalmente equipada y acceso directo a la terraza. La zona de descanso está compuesta por tres dormitorios, el principal con vestidor y baño en suite. Los otros dos dormitorios tienen también con tamaño doble, cuentan con su propio baño y zona de vestidor.  También, contamos con zona de lavandería independiente. Las calidades de construcción son excelentes, aire acondicionado por conductos, cerramientos con aislamiento térmico y acústico y electrodomésticos de primera. La finca es señorial y dispone de portero físico. El barrio de Almagro, perteneciente al distrito de Chamberí, se trata de uno de los más lujosos y tranquilos de Madrid. Cerca de los mejores restaurantes, tiendas, colegios y universidades de la ciudad, es uno de los mejores barrios para vivir en la capital. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",False,good,False,True,,13681.0,True,False,False,False,[],False,False,2189000.0,€,flat,"Goya, Madrid",Piso en calle de Ayala,Top,,,,,,,
